locus_id,chrom,start,end,description,genome_version
E:373235-373447,CHR_5,373235,373447,between YER106W and YER107C,Genome Release 64-3-1
E:374715-375214,CHR_5,374715,375214,between YER107W-A and YER109C,Genome Release 64-3-1
E:377615-378761,CHR_5,377615,378761,between YER109C and YER110C,Genome Release 64-3-1
E:382104-382594,CHR_5,382104,382594,between YER110C and YER111C,Genome Release 64-3-1
E:385877-387231,CHR_5,385877,387231,between YER111C and YER112W,Genome Release 64-3-1
E:387796-387931,CHR_5,387796,387931,between YER112W and YER113C,Genome Release 64-3-1
E:390053-390589,CHR_5,390053,390589,between YER113C and YER114C,Genome Release 64-3-1
E:393713-394291,CHR_5,393713,394291,between YER114C and YER115C,Genome Release 64-3-1
E:394868-395347,CHR_5,394868,395347,between YER115C and YER116C,Genome Release 64-3-1
E:396173-396768,CHR_5,396173,396768,between YER116C and YER117W,Genome Release 64-3-1
E:397654-397951,CHR_5,397654,397951,between YER117W and YER118C,Genome Release 64-3-1
E:399056-399495,CHR_5,399056,399495,between YER118C and YER119C,Genome Release 64-3-1
E:400843-400866,CHR_5,400843,400866,between YER119C and YER119C-A,Genome Release 64-3-1
E:401870-402374,CHR_5,401870,402374,between YER120W and YER121W,Genome Release 64-3-1
E:402720-402870,CHR_5,402720,402870,between YER121W and YER122C,Genome Release 64-3-1
E:404353-404812,CHR_5,404353,404812,between YER122C and YER123W,Genome Release 64-3-1
E:406388-406751,CHR_5,406388,406751,between YER123W and ARS517,Genome Release 64-3-1
E:406954-407341,CHR_5,406954,407341,between ARS517 and YER124C,Genome Release 64-3-1
E:409064-410188,CHR_5,409064,410188,between YER124C and YER125W,Genome Release 64-3-1
E:412619-413393,CHR_5,412619,413393,between YER125W and YER126C,Genome Release 64-3-1
E:414180-414480,CHR_5,414180,414480,between YER126C and YER127W,Genome Release 64-3-1
E:415555-415858,CHR_5,415555,415858,between YER127W and YER128W,Genome Release 64-3-1
E:416471-417280,CHR_5,416471,417280,between YER128W and YER129W,Genome Release 64-3-1
E:420710-421114,CHR_5,420710,421114,between YER129W and YER130C,Genome Release 64-3-1
E:422447-423951,CHR_5,422447,423951,between YER130C and YER131W,Genome Release 64-3-1
E:424312-424697,CHR_5,424312,424697,between YER131W and YNCE0019W,Genome Release 64-3-1
E:424884-425187,CHR_5,424884,425187,between YNCE0019W and YER132C,Genome Release 64-3-1
E:430450-431128,CHR_5,430450,431128,between YER132C and YNCE0020C,Genome Release 64-3-1
E:431221-431489,CHR_5,431221,431489,between YNCE0020C and YERCdelta14,Genome Release 64-3-1
E:431823-432494,CHR_5,431823,432494,between YERCdelta14 and YER133W,Genome Release 64-3-1
E:433959-434540,CHR_5,433959,434540,between YER133W and YNCE0021C,Genome Release 64-3-1
E:434613-434630,CHR_5,434613,434630,between YNCE0021C and YERCsigma3,Genome Release 64-3-1
E:434972-435127,CHR_5,434972,435127,between YERCsigma3 and YERCdelta15,Genome Release 64-3-1
E:435448-435751,CHR_5,435448,435751,between YERCdelta15 and YNCE0022C,Genome Release 64-3-1
E:435825-435945,CHR_5,435825,435945,between YNCE0022C and YERCdelta16,Genome Release 64-3-1
E:436606-437190,CHR_5,436606,437190,between YERCtau3 and YER133W-A,Genome Release 64-3-1
E:437804-437951,CHR_5,437804,437951,between YER134C and YER135C,Genome Release 64-3-1
E:438345-438699,CHR_5,438345,438699,between YER135C and YNCE0023W,Genome Release 64-3-1
E:438774-438933,CHR_5,438774,438933,between YNCE0023W and ARS518,Genome Release 64-3-1
E:439183-439615,CHR_5,439183,439615,between ARS518 and YER136W,Genome Release 64-3-1
E:440972-441372,CHR_5,440972,441372,between YER136W and YER137C,Genome Release 64-3-1
E:441881-441986,CHR_5,441881,441986,between YER137W-A and YNCE0024W,Genome Release 64-3-1
E:443073-443201,CHR_5,443073,443201,between YERWdelta17 and YNCE0025C,Genome Release 64-3-1
E:443276-443396,CHR_5,443276,443396,between YNCE0025C and YERCdelta19,Genome Release 64-3-1
E:449627-450562,CHR_5,449627,450562,between YELWdelta27 and YER139C,Genome Release 64-3-1
E:451244-451564,CHR_5,451244,451564,between YER139C and YER140W,Genome Release 64-3-1
E:453236-453458,CHR_5,453236,453458,between YER140W and YER141W,Genome Release 64-3-1
E:454920-455145,CHR_5,454920,455145,between YER141W and YER142C,Genome Release 64-3-1
E:456037-456318,CHR_5,456037,456318,between YER142C and YER143W,Genome Release 64-3-1
E:457606-457805,CHR_5,457606,457805,between YER143W and YER144C,Genome Release 64-3-1
E:460224-460525,CHR_5,460224,460525,between YER144C and YER145C,Genome Release 64-3-1
E:461741-462385,CHR_5,461741,462385,between YER145C and YER145C-A,Genome Release 64-3-1
E:462867-462967,CHR_5,462867,462967,between YER146W and YER147C,Genome Release 64-3-1
E:464843-465202,CHR_5,464843,465202,between YER147C and YER147C-A,Genome Release 64-3-1
E:466026-466184,CHR_5,466026,466184,between YER148W and YER148W-A,Genome Release 64-3-1
E:467471-468369,CHR_5,467471,468369,between YER149C and YER150W,Genome Release 64-3-1
E:468817-469456,CHR_5,468817,469456,between YER150W and YNCE0026W,Genome Release 64-3-1
E:469531-469685,CHR_5,469531,469685,between YNCE0026W and YER151C,Genome Release 64-3-1
E:472425-472656,CHR_5,472425,472656,between YER151C and YER152C,Genome Release 64-3-1
E:474806-475019,CHR_5,474806,475019,between YER153C and YER154W,Genome Release 64-3-1
E:476229-476344,CHR_5,476229,476344,between YER154W and YER155C,Genome Release 64-3-1
E:482849-483324,CHR_5,482849,483324,between YER155C and YER156C,Genome Release 64-3-1
E:484342-484787,CHR_5,484342,484787,between YER156C and YER157W,Genome Release 64-3-1
E:487194-487330,CHR_5,487194,487330,between YER157W and YNCE0027C,Genome Release 64-3-1
E:487403-487833,CHR_5,487403,487833,between YNCE0027C and YERWdelta22,Genome Release 64-3-1
E:488166-488856,CHR_5,488166,488856,between YERWdelta22 and YER158C,Genome Release 64-3-1
E:490579-491486,CHR_5,490579,491486,between YER158C and YER158W-A,Genome Release 64-3-1
E:491959-492351,CHR_5,491959,492351,between YER159C and YNCE0028C,Genome Release 64-3-1
E:492425-492694,CHR_5,492425,492694,between YNCE0028C and YERCdelta23,Genome Release 64-3-1
E:498422-498883,CHR_5,498422,498883,between YERCTy1-2 and ARS520,Genome Release 64-3-1
E:499183-499346,CHR_5,499183,499346,between ARS520 and YER161C,Genome Release 64-3-1
E:500349-500629,CHR_5,500349,500629,between YER161C and YER162C,Genome Release 64-3-1
E:502895-503083,CHR_5,502895,503083,between YER162C and YER163C,Genome Release 64-3-1
E:503783-505391,CHR_5,503783,505391,between YER163C and YER164W,Genome Release 64-3-1
E:509799-510372,CHR_5,509799,510372,between YER164W and YER165W,Genome Release 64-3-1
E:512107-512626,CHR_5,512107,512626,between YER165W and YER165C-A,Genome Release 64-3-1
E:517460-518215,CHR_5,517460,518215,between YER166W and YER167W,Genome Release 64-3-1
E:522670-523368,CHR_5,522670,523368,between YER168C and YER169W,Genome Release 64-3-1
E:525760-525973,CHR_5,525760,525973,between YER169W and YER170W,Genome Release 64-3-1
E:526652-527081,CHR_5,526652,527081,between YER170W and YER171W,Genome Release 64-3-1
E:529419-529529,CHR_5,529419,529529,between YER171W and YER172C,Genome Release 64-3-1
E:536022-536274,CHR_5,536022,536274,between YER172C and YER172C-A,Genome Release 64-3-1
E:538280-538433,CHR_5,538280,538433,between YER173W and YER174C,Genome Release 64-3-1
E:539169-539463,CHR_5,539169,539463,between YER174C and YER175C,Genome Release 64-3-1
E:540364-540649,CHR_5,540364,540649,between YER175C and YER175W-A,Genome Release 64-3-1
E:540815-541689,CHR_5,540815,541689,between YER175W-A and YER176W,Genome Release 64-3-1
E:545056-545610,CHR_5,545056,545610,between YER176W and YER177W,Genome Release 64-3-1
E:546415-546816,CHR_5,546415,546816,between YER177W and YER178W,Genome Release 64-3-1
E:548080-548420,CHR_5,548080,548420,between YER178W and YER179W,Genome Release 64-3-1
E:549518-549565,CHR_5,549518,549565,between YER179W and ARS522,Genome Release 64-3-1
E:550528-550864,CHR_5,550528,550864,between YER180C and YER180C-A,Genome Release 64-3-1
E:551123-551284,CHR_5,551123,551284,between YER180C-A and YNCE0029C,Genome Release 64-3-1
E:551359-551441,CHR_5,551359,551441,between YNCE0029C and YERWdelta25,Genome Release 64-3-1
E:551797-552039,CHR_5,551797,552039,between YER181C and YERCdelta26,Genome Release 64-3-1
E:552268-552524,CHR_5,552268,552524,between YERCdelta26 and YER182W,Genome Release 64-3-1
E:553260-553333,CHR_5,553260,553333,between YER182W and YER183C,Genome Release 64-3-1
E:553970-556295,CHR_5,553970,556295,between YER183C and YER184C,Genome Release 64-3-1
E:558681-559453,CHR_5,558681,559453,between YER184C and YER185W,Genome Release 64-3-1
E:560366-561704,CHR_5,560366,561704,between YER185W and YER186C,Genome Release 64-3-1
E:562626-563927,CHR_5,562626,563927,between YER186C and YERComega1,Genome Release 64-3-1
E:564025-566229,CHR_5,564025,566229,between YERComega1 and YER187W,Genome Release 64-3-1
E:566656-568039,CHR_5,566656,568039,between YER187W and YER188W,Genome Release 64-3-1
E:568760-568790,CHR_5,568760,568790,between YER188W and YERWomega2,Genome Release 64-3-1
E:569025-569598,CHR_5,569025,569598,between YERWomega2 and TEL05R,Genome Release 64-3-1
F:5531-6425,CHR_6,5531,6425,between TEL06L and YFL062W,Genome Release 64-3-1
F:7566-9544,CHR_6,7566,9544,between YFL062W and YFL061W,Genome Release 64-3-1
F:10223-10300,CHR_6,10223,10300,between YFL061W and YFL060C,Genome Release 64-3-1
F:10970-11362,CHR_6,10970,11362,between YFL060C and YFL059W,Genome Release 64-3-1
F:12260-12928,CHR_6,12260,12928,between YFL059W and YFL058W,Genome Release 64-3-1
F:13952-14304,CHR_6,13952,14304,between YFL058W and YFL056C,Genome Release 64-3-1
F:15432-17003,CHR_6,15432,17003,between YFL056C and YFL055W,Genome Release 64-3-1
F:18681-20701,CHR_6,18681,20701,between YFL055W and ARS600.4,Genome Release 64-3-1
F:22788-23422,CHR_6,22788,23422,between YFL054C and YFL053W,Genome Release 64-3-1
F:25199-28231,CHR_6,25199,28231,between YFL053W and YFL052W,Genome Release 64-3-1
F:29630-30057,CHR_6,29630,30057,between YFL052W and YFL051C,Genome Release 64-3-1
F:30541-32472,CHR_6,30541,32472,between YFL051C and ARS601,Genome Release 64-3-1
F:33248-33271,CHR_6,33248,33271,between ARS602 and YFL050C,Genome Release 64-3-1
F:35849-36802,CHR_6,35849,36802,between YFL050C and YFL049W,Genome Release 64-3-1
F:38675-38842,CHR_6,38675,38842,between YFL049W and YFL048C,Genome Release 64-3-1
F:40181-40420,CHR_6,40181,40420,between YFL048C and YFL047W,Genome Release 64-3-1
F:42566-42814,CHR_6,42566,42814,between YFL047W and YFL046W,Genome Release 64-3-1
F:43439-43627,CHR_6,43439,43627,between YFL046W and YFL045C,Genome Release 64-3-1
F:44393-44654,CHR_6,44393,44654,between YFL045C and YFL044C,Genome Release 64-3-1
F:45561-45719,CHR_6,45561,45719,between YFL044C and YFL042C,Genome Release 64-3-1
F:47745-48733,CHR_6,47745,48733,between YFL042C and YFL041W-A,Genome Release 64-3-1
F:48926-49138,CHR_6,48926,49138,between YFL041W-A and YFL041W,Genome Release 64-3-1
F:51008-51349,CHR_6,51008,51349,between YFL041W and YFL040W,Genome Release 64-3-1
F:52973-53259,CHR_6,52973,53259,between YFL040W and YFL039C,Genome Release 64-3-1
F:54697-55365,CHR_6,54697,55365,between YFL039C and YFL038C,Genome Release 64-3-1
F:55987-56335,CHR_6,55987,56335,between YFL038C and YFL037W,Genome Release 64-3-1
F:57710-57814,CHR_6,57710,57814,between YFL037W and YNCF0001C,Genome Release 64-3-1
F:58522-58781,CHR_6,58522,58781,between YNCF0001C and YFL036W,Genome Release 64-3-1
F:62838-63015,CHR_6,62838,63015,between YFL036W and YFL034C-B,Genome Release 64-3-1
F:63994-64242,CHR_6,63994,64242,between YFL034C-B and YFL034C-A,Genome Release 64-3-1
F:64933-65476,CHR_6,64933,65476,between YFL034C-A and YFL034W,Genome Release 64-3-1
F:68699-68758,CHR_6,68699,68758,between YFL034W and ARS603,Genome Release 64-3-1
F:68862-69114,CHR_6,68862,69114,between ARS603 and YFL033C,Genome Release 64-3-1
F:74428-74871,CHR_6,74428,74871,between YFL033C and YFL032W,Genome Release 64-3-1
F:76148-76830,CHR_6,76148,76830,between YFL031W and YFL030W,Genome Release 64-3-1
F:77989-78054,CHR_6,77989,78054,between YFL030W and YFL029C,Genome Release 64-3-1
F:79162-79343,CHR_6,79162,79343,between YFL029C and YFL028C,Genome Release 64-3-1
F:80214-80418,CHR_6,80214,80418,between YFL028C and YFL027C,Genome Release 64-3-1
F:81913-82579,CHR_6,81913,82579,between YFL027C and YFL026W,Genome Release 64-3-1
F:83876-84144,CHR_6,83876,84144,between YFL026W and YFL025C,Genome Release 64-3-1
F:87235-87846,CHR_6,87235,87846,between YFL025C and YFL024C,Genome Release 64-3-1
F:90346-90985,CHR_6,90346,90985,between YFL024C and YFL023W,Genome Release 64-3-1
F:93377-93498,CHR_6,93377,93498,between YFL023W and YFL022C,Genome Release 64-3-1
F:95011-95760,CHR_6,95011,95760,between YFL022C and YFL021C-A,Genome Release 64-3-1
F:97499-99230,CHR_6,97499,99230,between YFL021W and YFL020C,Genome Release 64-3-1
F:99600-100251,CHR_6,99600,100251,between YFL020C and YFL019C,Genome Release 64-3-1
F:100902-101375,CHR_6,100902,101375,between YFLWdelta1 and YNCF0002W,Genome Release 64-3-1
F:101479-101627,CHR_6,101479,101627,between YNCF0002W and YFL018C,Genome Release 64-3-1
F:103128-103698,CHR_6,103128,103698,between YFL018C and YFL017W-A,Genome Release 64-3-1
F:103933-103982,CHR_6,103933,103982,between YFL017W-A and YFL017C,Genome Release 64-3-1
F:106237-106414,CHR_6,106237,106414,between YFL016C and YFL015W-A,Genome Release 64-3-1
F:106964-107255,CHR_6,106964,107255,between YFL015C and YFL014W,Genome Release 64-3-1
F:107586-107798,CHR_6,107586,107798,between YFL014W and YFL013W-A,Genome Release 64-3-1
F:110185-110646,CHR_6,110185,110646,between YFL012W-A and YFL012W,Genome Release 64-3-1
F:111094-112344,CHR_6,111094,112344,between YFL012W and YFL011W,Genome Release 64-3-1
F:113986-114989,CHR_6,113986,114989,between YFL011W and YFL010W-A,Genome Release 64-3-1
F:115744-116144,CHR_6,115744,116144,between YFL010C and YFL009W,Genome Release 64-3-1
F:118485-118636,CHR_6,118485,118636,between YFL009W and ARS603.5,Genome Release 64-3-1
F:118958-119428,CHR_6,118958,119428,between ARS603.5 and YFL008W,Genome Release 64-3-1
F:123107-123478,CHR_6,123107,123478,between YFL008W and YFL007W,Genome Release 64-3-1
F:129911-130333,CHR_6,129911,130333,between YFL007W and YFL005W,Genome Release 64-3-1
F:130982-131060,CHR_6,130982,131060,between YFL005W and YNCF0003C,Genome Release 64-3-1
F:131504-131809,CHR_6,131504,131809,between YNCF0003C and YFL004W,Genome Release 64-3-1
F:134297-134520,CHR_6,134297,134520,between YFL004W and YFL003C,Genome Release 64-3-1
F:137158-137485,CHR_6,137158,137485,between YFL003C and YNCF0004C,Genome Release 64-3-1
F:137560-137662,CHR_6,137560,137662,between YNCF0004C and YFLWdelta2,Genome Release 64-3-1
F:143948-144202,CHR_6,143948,144202,between YFLWdelta5 and YFLWtau1,Genome Release 64-3-1
F:144823-145113,CHR_6,144823,145113,between YFLCdelta6 and YFL002C,Genome Release 64-3-1
F:146935-147130,CHR_6,146935,147130,between YFL002C and YFL001W,Genome Release 64-3-1
F:148460-148509,CHR_6,148460,148509,between YFL001W and CEN6,Genome Release 64-3-1
F:148628-149109,CHR_6,148628,149109,between CEN6 and YFR001W,Genome Release 64-3-1
F:149725-150015,CHR_6,149725,150015,between YFR001W and YFR002W,Genome Release 64-3-1
F:152536-152656,CHR_6,152536,152656,between YFR002W and YFR003C,Genome Release 64-3-1
F:153125-153392,CHR_6,153125,153392,between YFR003C and YFR004W,Genome Release 64-3-1
F:154314-154526,CHR_6,154314,154526,between YFR004W and YFR005C,Genome Release 64-3-1
F:155874-156144,CHR_6,155874,156144,between YFR005C and YFR006W,Genome Release 64-3-1
F:157753-157915,CHR_6,157753,157915,between YFR006W and YNCF0005C,Genome Release 64-3-1
F:158008-158375,CHR_6,158008,158375,between YNCF0005C and YFRWdelta7,Genome Release 64-3-1
F:158687-159298,CHR_6,158687,159298,between YFRWdelta7 and YFR007W,Genome Release 64-3-1
F:160361-160534,CHR_6,160361,160534,between YFR007W and YFR008W,Genome Release 64-3-1
F:161201-161803,CHR_6,161201,161803,between YFR008W and YFRCdelta8,Genome Release 64-3-1
F:162136-162227,CHR_6,162136,162227,between YFRCdelta8 and YNCF0006W,Genome Release 64-3-1
F:162299-162487,CHR_6,162299,162487,between YNCF0006W and YFR009W,Genome Release 64-3-1
F:164747-165066,CHR_6,164747,165066,between YFR009W and YFR010W,Genome Release 64-3-1
F:166567-166727,CHR_6,166567,166727,between YFR010W and YFR010W-A,Genome Release 64-3-1
F:167259-167436,CHR_6,167259,167436,between YFR011C and YNCF0007W,Genome Release 64-3-1
F:167526-167546,CHR_6,167526,167546,between YNCF0007W and ARS606,Genome Release 64-3-1
F:167802-167887,CHR_6,167802,167887,between ARS606 and YFR012W,Genome Release 64-3-1
F:168497-169223,CHR_6,168497,169223,between YFR012W and YFR012W-A,Genome Release 64-3-1
F:169311-169921,CHR_6,169311,169921,between YFR012W-A and YFR013W,Genome Release 64-3-1
F:172286-172536,CHR_6,172286,172536,between YFR013W and YFR014C,Genome Release 64-3-1
F:173878-174264,CHR_6,173878,174264,between YFR014C and YFR015C,Genome Release 64-3-1
F:176392-177041,CHR_6,176392,177041,between YFR015C and YFR016C,Genome Release 64-3-1
F:180744-180973,CHR_6,180744,180973,between YFR016C and YNCF0008C,Genome Release 64-3-1
F:181045-182273,CHR_6,181045,182273,between YNCF0008C and YFR017C,Genome Release 64-3-1
F:182862-183130,CHR_6,182862,183130,between YFR017C and YFR018C,Genome Release 64-3-1
F:184223-184501,CHR_6,184223,184501,between YFR018C and YFR019W,Genome Release 64-3-1
F:191339-191512,CHR_6,191339,191512,between YFR019W and YNCF0009C,Genome Release 64-3-1
F:191614-191684,CHR_6,191614,191684,between YNCF0009C and YFRCdelta9,Genome Release 64-3-1
F:191855-192736,CHR_6,191855,192736,between YFRCdelta9 and YFR020W,Genome Release 64-3-1
F:193436-194811,CHR_6,193436,194811,between YFR020W and YFR021W,Genome Release 64-3-1
F:196315-196832,CHR_6,196315,196832,between YFR021W and YFR022W,Genome Release 64-3-1
F:199035-199298,CHR_6,199035,199298,between YFR022W and YNCF0010C,Genome Release 64-3-1
F:199814-199873,CHR_6,199814,199873,between YNCF0010C and YFR023W,Genome Release 64-3-1
F:201710-201959,CHR_6,201710,201959,between YFR023W and YFR024C-A,Genome Release 64-3-1
F:203434-203742,CHR_6,203434,203742,between YFR024C-A and YFR025C,Genome Release 64-3-1
F:204751-204923,CHR_6,204751,204923,between YFR025C and YNCF0011C,Genome Release 64-3-1
F:204997-205747,CHR_6,204997,205747,between YNCF0011C and YFR026C,Genome Release 64-3-1
F:206258-206921,CHR_6,206258,206921,between YFR026C and YFRWdelta10,Genome Release 64-3-1
F:207139-207451,CHR_6,207139,207451,between YFRWdelta10 and YFR027W,Genome Release 64-3-1
F:208298-208412,CHR_6,208298,208412,between YFR027W and YFR028C,Genome Release 64-3-1
F:210069-210618,CHR_6,210069,210618,between YFR028C and YNCF0012C,Genome Release 64-3-1
F:210708-210936,CHR_6,210708,210936,between YNCF0012C and YFR029W,Genome Release 64-3-1
F:212974-213311,CHR_6,212974,213311,between YFR029W and YFR030W,Genome Release 64-3-1
F:220107-220506,CHR_6,220107,220506,between YFR031C and YFR031C-A,Genome Release 64-3-1
F:221419-221713,CHR_6,221419,221713,between YFR031C-A and YNCF0013W,Genome Release 64-3-1
F:221968-222089,CHR_6,221968,222089,between YNCF0013W and YFR032C,Genome Release 64-3-1
F:222960-223257,CHR_6,222960,223257,between YFR032C and YFR032C-A,Genome Release 64-3-1
F:223438-223709,CHR_6,223438,223709,between YFR032C-A and YFR032C-B,Genome Release 64-3-1
F:223974-224325,CHR_6,223974,224325,between YFR032C-B and YFR033C,Genome Release 64-3-1
F:224770-225019,CHR_6,224770,225019,between YFR033C and YFR034C,Genome Release 64-3-1
F:225959-226021,CHR_6,225959,226021,between YFR034C and YFR034W-A,Genome Release 64-3-1
F:226466-226687,CHR_6,226466,226687,between YFR035C and YNCF0014C,Genome Release 64-3-1
F:226761-226962,CHR_6,226761,226962,between YNCF0014C and YFR036W,Genome Release 64-3-1
F:227338-227450,CHR_6,227338,227450,between YFR036W and YFR036W-A,Genome Release 64-3-1
F:229187-229379,CHR_6,229187,229379,between YFR037C and YFR038W,Genome Release 64-3-1
F:231942-232011,CHR_6,231942,232011,between YFR038W and YFR039C,Genome Release 64-3-1
F:233545-234241,CHR_6,233545,234241,between YFR039C and YFR040W,Genome Release 64-3-1
F:237251-237367,CHR_6,237251,237367,between YFR040W and YFR041C,Genome Release 64-3-1
F:238256-238457,CHR_6,238256,238457,between YFR041C and YFR042W,Genome Release 64-3-1
F:239061-239113,CHR_6,239061,239113,between YFR042W and YFR043C,Genome Release 64-3-1
F:239828-239991,CHR_6,239828,239991,between YFR043C and YFR044C,Genome Release 64-3-1
F:241438-241997,CHR_6,241438,241997,between YFR044C and YFR045W,Genome Release 64-3-1
F:243000-243073,CHR_6,243000,243073,between YFR045W and YFR046C,Genome Release 64-3-1
F:244160-244278,CHR_6,244160,244278,between YFR046C and YFR047C,Genome Release 64-3-1
F:245167-246145,CHR_6,245167,246145,between YFR047C and YFR048W,Genome Release 64-3-1
F:248135-248522,CHR_6,248135,248522,between YFR048W and YFR049W,Genome Release 64-3-1
F:248895-249065,CHR_6,248895,249065,between YFR049W and YFR050C,Genome Release 64-3-1
F:249867-250162,CHR_6,249867,250162,between YFR050C and YFR051C,Genome Release 64-3-1
F:251804-252504,CHR_6,251804,252504,between YFR051C and YFR052W,Genome Release 64-3-1
F:253330-253428,CHR_6,253330,253428,between YFR052W and YFR052C-A,Genome Release 64-3-1
F:255050-256276,CHR_6,255050,256276,between YFR053C and ARS609,Genome Release 64-3-1
F:256432-258854,CHR_6,256432,258854,between ARS609 and YFR054C,Genome Release 64-3-1
F:259434-263956,CHR_6,259434,263956,between YFR054C and YFR056C,Genome Release 64-3-1
F:265227-269060,CHR_6,265227,269060,between YFR055W and YFR057W,Genome Release 64-3-1
G:782-837,CHR_7,782,837,between TEL07L and YGLWomega1,Genome Release 64-3-1
G:1080-2789,CHR_7,1080,2789,between YGLWomega1 and YGL263W,Genome Release 64-3-1
G:3933-5311,CHR_7,3933,5311,between YGL263W and YGL262W,Genome Release 64-3-1
G:5840-6289,CHR_7,5840,6289,between YGL262W and YGL261C,Genome Release 64-3-1
G:6653-6859,CHR_7,6653,6859,between YGL261C and YGL260W,Genome Release 64-3-1
G:7091-8469,CHR_7,7091,8469,between YGL260W and YGL259W,Genome Release 64-3-1
G:8968-9161,CHR_7,8968,9161,between YGL259W and YGL258W-A,Genome Release 64-3-1
G:9396-11109,CHR_7,9396,11109,between YGL258W-A and YGL258W,Genome Release 64-3-1
G:11731-12480,CHR_7,11731,12480,between YGL258W and YGL257C,Genome Release 64-3-1
G:14158-15158,CHR_7,14158,15158,between YGL257C and YGL256W,Genome Release 64-3-1
G:16308-20977,CHR_7,16308,20977,between YGL256W and YGL255W,Genome Release 64-3-1
G:22109-22303,CHR_7,22109,22303,between YGL255W and YGL254W,Genome Release 64-3-1
G:23204-23934,CHR_7,23204,23934,between YGL254W and YGL253W,Genome Release 64-3-1
G:25396-25717,CHR_7,25396,25717,between YGL253W and YGL252C,Genome Release 64-3-1
G:27485-27920,CHR_7,27485,27920,between YGL252C and YGL251C,Genome Release 64-3-1
G:31637-31909,CHR_7,31637,31909,between YGL251C and YGL250W,Genome Release 64-3-1
G:32636-33097,CHR_7,32636,33097,between YGL250W and YGL249W,Genome Release 64-3-1
G:35213-35652,CHR_7,35213,35652,between YGL249W and YGL248W,Genome Release 64-3-1
G:36763-36932,CHR_7,36763,36932,between YGL248W and YGL247W,Genome Release 64-3-1
G:37527-37616,CHR_7,37527,37616,between YGL247W and YGL246C,Genome Release 64-3-1
G:38781-39022,CHR_7,38781,39022,between YGL246C and YGL245W,Genome Release 64-3-1
G:41150-41497,CHR_7,41150,41497,between YGL245W and YGL244W,Genome Release 64-3-1
G:43175-43306,CHR_7,43175,43306,between YGL244W and YGL243W,Genome Release 64-3-1
G:44510-44651,CHR_7,44510,44651,between YGL243W and YGL242C,Genome Release 64-3-1
G:45198-45444,CHR_7,45198,45444,between YGL242C and YGL241W,Genome Release 64-3-1
G:48460-48612,CHR_7,48460,48612,between YGL241W and YGL240W,Genome Release 64-3-1
G:49366-49430,CHR_7,49366,49430,between YGL240W and YGL239C,Genome Release 64-3-1
G:52435-52730,CHR_7,52435,52730,between YGL238W and YGL237C,Genome Release 64-3-1
G:53529-53786,CHR_7,53529,53786,between YGL237C and YGL236C,Genome Release 64-3-1
G:55816-56481,CHR_7,55816,56481,between YGL235W and YGL234W,Genome Release 64-3-1
G:58891-59121,CHR_7,58891,59121,between YGL234W and YGL233W,Genome Release 64-3-1
G:61855-62074,CHR_7,61855,62074,between YGL233W and YGL232W,Genome Release 64-3-1
G:63003-63047,CHR_7,63003,63047,between YGL232W and YGL231C,Genome Release 64-3-1
G:63621-63771,CHR_7,63621,63771,between YGL231C and YGL230C,Genome Release 64-3-1
G:64216-64359,CHR_7,64216,64359,between YGL230C and ARS702,Genome Release 64-3-1
G:64465-64502,CHR_7,64465,64502,between ARS702 and YGL229C,Genome Release 64-3-1
G:66960-67597,CHR_7,66960,67597,between YGL229C and YGL228W,Genome Release 64-3-1
G:69332-69670,CHR_7,69332,69670,between YGL228W and YGL227W,Genome Release 64-3-1
G:72548-72748,CHR_7,72548,72748,between YGL227W and YGL226C-A,Genome Release 64-3-1
G:73159-73339,CHR_7,73159,73339,between YGL226C-A and YGL226W,Genome Release 64-3-1
G:73712-73828,CHR_7,73712,73828,between YGL226W and YNCG0002C,Genome Release 64-3-1
G:73903-76893,CHR_7,73903,76893,between YNCG0002C and YGL225W,Genome Release 64-3-1
G:77908-78014,CHR_7,77908,78014,between YGL225W and YGL224C,Genome Release 64-3-1
G:78858-79111,CHR_7,78858,79111,between YGL224C and YGL223C,Genome Release 64-3-1
G:80366-80658,CHR_7,80366,80658,between YGL223C and YGL222C,Genome Release 64-3-1
G:81187-81425,CHR_7,81187,81425,between YGL222C and YGL221C,Genome Release 64-3-1
G:82293-82373,CHR_7,82293,82373,between YGL221C and YGL220W,Genome Release 64-3-1
G:82737-82877,CHR_7,82737,82877,between YGL220W and YGL219C,Genome Release 64-3-1
G:84301-84838,CHR_7,84301,84838,between YGL218W and YGL217C,Genome Release 64-3-1
G:87303-87980,CHR_7,87303,87980,between YGL216W and YGL215W,Genome Release 64-3-1
G:89340-90009,CHR_7,89340,90009,between YGL215W and YGL214W,Genome Release 64-3-1
G:91248-91431,CHR_7,91248,91431,between YGL213C and YGL212W,Genome Release 64-3-1
G:92383-92511,CHR_7,92383,92511,between YGL212W and YGL211W,Genome Release 64-3-1
G:93592-93791,CHR_7,93592,93791,between YGL211W and YGL210W,Genome Release 64-3-1
G:94461-95857,CHR_7,94461,95857,between YGL210W and YGL209W,Genome Release 64-3-1
G:97007-97337,CHR_7,97007,97337,between YGL209W and YGL208W,Genome Release 64-3-1
G:98586-98968,CHR_7,98586,98968,between YGL208W and YGL207W,Genome Release 64-3-1
G:102077-102542,CHR_7,102077,102542,between YGL207W and YGL206C,Genome Release 64-3-1
