chromosome,start,end,gene,score,orientation
chrV,66791,66792,YEL047C,.,-
chrX,68777,68778,YJL196C,.,-
chrIV,943416,943417,YDR239C,.,-
chrXII,146292,146293,YLL002W,.,+
chrXVI,688170,688171,YPR071W,.,+
chrXVI,554331,554332,YPL002C,.,-
chrX,136778,136779,YJL151C,.,-
chrIV,770342,770343,YDR158W,.,+
chrXIII,810793,810794,YMR272C,.,-
chrXII,1012476,1012477,YLR438W,.,+
chrII,182354,182355,YBL020W,.,+
chrXVI,526929,526930,YPL015C,.,-
chrXII,745568,745569,YLR307W,.,+
chrVII,560045,560046,YGR037C,.,-
chrXVI,188571,188572,YPL189C-A,.,-
chrXIII,30549,30550,YML119W,.,+
chrXIV,95153,95154,YNL286W,.,+
chrXIV,365785,365786,YNL139C,.,-
chrVIII,470883,470884,YHR183W,.,+
chrIV,720395,720396,YDR132C,.,-
chrIII,152714,152715,YCR019W,.,+
chrXV,742773,742774,YOR212W,.,+
chrVII,84657,84658,YGL216W,.,+
chrXV,384654,384655,YOR028C,.,-
chrXVI,840060,840061,YPR156C,.,-
chrV,505105,505106,YER164W,.,+
chrXIV,234073,234074,YNL221C,.,-
chrXIV,359568,359569,YNL141W,.,+
chrXI,583598,583599,YKR077W,.,+
chrIX,267885,267886,YIL047C,.,-
chrXVI,98705,98706,YPL240C,.,-
chrXV,110214,110215,YOL109W,.,+
chrIII,50754,50755,YCL040W,.,+
chrXV,31691,31692,YOL155C,.,-
chrXIV,110508,110509,YNL280C,.,-
chrVII,621903,621904,YGR066C,.,-
chrX,79404,79405,YJL187C,.,-
chrV,192736,192737,YER018C,.,-
chrXVI,281962,281963,YPL143W,.,+
chrXV,461736,461737,YOR071C,.,-
chrXV,141319,141320,YOL095C,.,-
chrIX,384635,384636,YIR018W,.,+
chrXI,421193,421194,YKL011C,.,-
chrIV,1103767,1103768,YDR318W,.,+
chrIV,1226527,1226528,YDR375C,.,-
chrVIII,36016,36017,YHL033C,.,-
chrXVI,657532,657533,YPR047W,.,+
chrXVI,544630,544631,YPL006W,.,+
chrI,101145,101146,YAL025C,.,-
chrIV,1090083,1090084,YDR313C,.,-
chrXII,873559,873560,YLR376C,.,-
chrXI,598896,598897,YKR084C,.,-
chrXI,327495,327496,YKL060C,.,-
chrXVI,95120,95121,YPL242C,.,-
chrXVI,205228,205229,YPL180W,.,+
chrXI,309170,309171,YKL068W-A,.,+
chrXVI,551693,551694,YPL004C,.,-
chrIV,751585,751586,YDR147W,.,+
chrXII,853201,853202,YLR363C,.,-
chrXV,315440,315441,YOL006C,.,-
chrVIII,150408,150409,YHR022C,.,-
chrVIII,193618,193619,YHR043C,.,-
chrXVI,84278,84279,YPL247C,.,-
chrXIII,625270,625271,YMR182C,.,-
chrXIV,597643,597644,YNL020C,.,-
chrXVI,301565,301566,YPL132W,.,+
chrXII,862536,862537,YLR371W,.,+
chrXIV,631250,631251,YNR001C,.,-
chrVII,810026,810027,YGR161W-C,.,+
chrXIII,164576,164577,YML055W,.,+
chrVI,90590,90591,YFL024C,.,-
chrIX,333667,333668,YIL011W,.,+
chrXII,425070,425071,YLR142W,.,+
chrIV,362391,362392,YDL053C,.,-
chrX,18676,18677,YJL221C,.,-
chrII,117446,117447,YBL054W,.,+
chrVII,428038,428039,YGL037C,.,-
chrV,460202,460203,YER144C,.,-
chrVI,184519,184520,YFR019W,.,+
chrIV,1450842,1450843,YDR500C,.,-
chrIII,205390,205391,YCR042C,.,-
chrVIII,286767,286768,YHR091C,.,-
chrXV,281498,281499,YOL022C,.,-
chrVIII,75409,75410,YHL015W,.,+
chrXIII,822750,822751,YMR278W,.,+
chrX,310653,310654,YJL070C,.,-
chrXIII,220118,220119,YML028W,.,+
chrIV,289888,289889,YDL093W,.,+
chrXIV,413614,413615,YNL112W,.,+
chrVII,798516,798517,YGR155W,.,+
chrXVI,157624,157625,YPL209C,.,-
chrXV,96405,96406,YOL119C,.,-
chrVII,186009,186010,YGL169W,.,+
chrXII,377291,377292,YLR114C,.,-
chrXI,217281,217282,YKL120W,.,+
chrVII,584830,584831,YGR046W,.,+
chrV,248229,248230,YER048C,.,-
chrVII,78929,78930,YGL224C,.,-
chrXIV,736723,736724,YNR059W,.,+
chrXII,782084,782085,YLR326W,.,+
chrXV,967717,967718,YOR342C,.,-
chrIX,414773,414774,YIR031C,.,-
chrXII,1022519,1022520,YLR443W,.,+
chrXIV,619698,619699,YNL007C,.,-
chrIV,1178471,1178472,YDR351W,.,+
chrX,454880,454881,YJR009C,.,-
chrXV,34389,34390,YOL154W,.,+
chrV,517867,517868,YER167W,.,+
chrIV,538865,538866,YDR040C,.,-
chrVI,12869,12870,YFL058W,.,+
chrIII,154726,154727,YCR020C,.,-
chrXV,165587,165588,YOL083W,.,+
chrXVI,585715,585716,YPR013C,.,-
chrXIII,757058,757059,YMR244W,.,+
chrII,458628,458629,YBR110W,.,+
chrVII,765912,765913,YGR138C,.,-
chrXV,87479,87480,YOL123W,.,+
chrXI,166428,166429,YKL150W,.,+
chrX,161942,161943,YJL132W,.,+
chrXVI,638989,638990,YPR033C,.,-
chrVIII,168543,168544,YHR029C,.,-
chrIX,245547,245548,YIL061C,.,-
chrX,684571,684572,YJR138W,.,+
chrVI,64943,64944,YFL034C-A,.,-
chrX,254456,254457,YJL094C,.,-
chrXIII,896683,896684,YMR310C,.,-
chrXV,316189,316190,YOL005C,.,-
chrVI,220120,220121,YFR031C,.,-
chrXIII,838169,838170,YMR284W,.,+
chrIX,420755,420756,YIR034C,.,-
chrII,379956,379957,YBR070C,.,-
chrXVI,664709,664710,YPR049C,.,-
chrXVI,136710,136711,YPL219W,.,+
chrII,560028,560029,YBR160W,.,+
chrXI,5711,5712,YKL222C,.,-
chrIV,320223,320224,YDL077C,.,-
chrXV,123859,123860,YOL103W,.,+
chrVII,225732,225733,YGL150C,.,-
chrXV,795518,795519,YOR245C,.,-
chrIV,631043,631044,YDR093W,.,+
chrVII,577146,577147,YGR041W,.,+
chrIII,128055,128056,YCR008W,.,+
chrVII,548234,548235,YGR032W,.,+
chrXI,408060,408061,YKL016C,.,-
chrVII,229801,229802,YGL146C,.,-
chrXIV,117209,117210,YNL277W,.,+
chrXIII,551771,551772,YMR143W,.,+
chrXIII,570985,570986,YMR156C,.,-
chrXIV,479788,479789,YNL078W,.,+
chrIX,39452,39453,YIL161W,.,+
chrVII,310157,310158,YGL104C,.,-
chrXII,751758,751759,YLR309C,.,-
chrVII,514560,514561,YGR013W,.,+
chrVII,637569,637570,YGR076C,.,-
chrIX,273840,273841,YIL044C,.,-
chrX,80155,80156,YJL186W,.,+
chrII,436949,436950,YBR097W,.,+
chrIV,178330,178331,YDL154W,.,+
chrIII,279824,279825,YCR092C,.,-
chrXVI,14362,14363,YPL279C,.,-
chrV,461753,461754,YER145C,.,-
chrIX,300026,300027,YIL030C,.,-
chrVII,720387,720388,YGR116W,.,+
chrIX,349099,349100,YIL003W,.,+
chrXVI,444548,444549,YPL059W,.,+
chrIV,1502191,1502192,YDR533C,.,-
chrX,675894,675895,YJR134C,.,-
chrV,422510,422511,YER130C,.,-
chrVII,255595,255596,YGL134W,.,+
chrXIII,493862,493863,YMR111C,.,-
chrIII,96207,96208,YCL014W,.,+
chrVII,668098,668099,YGR092W,.,+
chrIV,356876,356877,YDL055C,.,-
chrXVI,47164,47165,YPL262W,.,+
chrIV,593706,593707,YDR074W,.,+
chrVII,973949,973950,YGR240C,.,-
chrVII,774754,774755,YGR143W,.,+
chrXII,253752,253753,YLR056W,.,+
chrIV,1161431,1161432,YDR343C,.,-
chrV,351583,351584,YER096W,.,+
chrXV,781826,781827,YOR237W,.,+
chrII,561376,561377,YBR161W,.,+
chrIV,10079,10080,YDL246C,.,-
chrXI,338831,338832,YKL054C,.,-
chrX,342342,342343,YJL050W,.,+
chrII,386311,386312,YBR074W,.,+
chrXV,943363,943364,YOR330C,.,-
chrXVI,33031,33032,YPL269W,.,+
chrXV,1000810,1000811,YOR353C,.,-
chrXVI,38184,38185,YPL267W,.,+
chrVII,202728,202729,YGL159W,.,+
chrX,598330,598331,YJR091C,.,-
chrXI,618744,618745,YKR094C,.,-
chrXIV,76581,76582,YNL297C,.,-
chrIV,44065,44066,YDL229W,.,+
chrVIII,159192,159193,YHR024C,.,-
chrII,71140,71141,YBL082C,.,-
chrV,86916,86917,YEL032W,.,+
chrIX,353911,353912,YIL001W,.,+
chrIX,415646,415647,YIR032C,.,-
chrXII,678173,678174,YLR267W,.,+
chrXVI,347433,347434,YPL109C,.,-
chrXII,229634,229635,YLR040C,.,-
chrIX,169749,169750,YIL105C,.,-
chrXII,723931,723932,YLR297W,.,+
chrXIV,237776,237777,YNL219C,.,-
chrV,335323,335324,YER088C,.,-
chrXIII,340876,340877,YMR034C,.,-
chrXVI,88205,88206,YPL244C,.,-
chrIX,282862,282863,YIL038C,.,-
chrXV,762609,762610,YOR227W,.,+
chrXIV,174554,174555,YNL251C,.,-
chrXII,585791,585792,YLR223C,.,-
chrXIV,739819,739820,YNR060W,.,+
chrXVI,517503,517504,YPL018W,.,+
chrVII,1012238,1012239,YGR260W,.,+
chrXII,921609,921610,YLR399C,.,-
chrVII,559115,559116,YGR036C,.,-
chrXIV,300952,300953,YNL180C,.,-
chrX,449225,449226,YJR006W,.,+
chrIV,602851,602852,YDR078C,.,-
chrIX,41841,41842,YIL159W,.,+
chrVII,1031801,1031802,YGR271W,.,+
chrIX,343648,343649,YIL007C,.,-
chrIX,424509,424510,YIR038C,.,-
chrXVI,554601,554602,YPL001W,.,+
chrXI,487380,487381,YKR024C,.,-
chrVII,920565,920566,YGR214W,.,+
chrXIV,488136,488137,YNL074C,.,-
chrX,159861,159862,YJL133C-A,.,-
chrXV,1074197,1074198,YOR389W,.,+
chrXI,196044,196045,YKL130C,.,-
chrXIII,858923,858924,YMR295C,.,-
chrXII,1017732,1017733,YLR440C,.,-
chrV,281648,281649,YER063W,.,+
chrIV,1022393,1022394,YDR281C,.,-
chrX,143197,143198,YJL146W,.,+
chrXI,18449,18450,YKL218C,.,-
chrIV,22682,22683,YDL240W,.,+
chrIV,1181653,1181654,YDR352W,.,+
chrVII,334620,334621,YGL094C,.,-
chrVII,795905,795906,YGR153W,.,+
chrIV,848390,848391,YDR195W,.,+
chrXVI,517231,517232,YPL019C,.,-
chrIX,122426,122427,YIL125W,.,+
chrIV,267509,267510,YDL109C,.,-
chrXVI,198426,198427,YPL184C,.,-
chrXIII,420064,420065,YMR076C,.,-
chrIX,134266,134267,YIL120W,.,+
chrXIII,431263,431264,YMR081C,.,-
chrXII,212128,212129,YLR034C,.,-
chrV,291805,291806,YER067W,.,+
chrXI,571490,571491,YKR069W,.,+
chrII,366566,366567,YBR062C,.,-
chrXV,727207,727208,YOR205C,.,-
chrXIII,540041,540042,YMR135C,.,-
chrIX,68714,68715,YIL148W,.,+
chrXV,949778,949779,YOR336W,.,+
chrXI,122521,122522,YKL173W,.,+
chrXIV,157859,157860,YNL259C,.,-
chrVII,502942,502943,YGR004W,.,+
chrXIV,412056,412057,YNL115C,.,-
chrII,270242,270243,YBR016W,.,+
chrXV,147376,147377,YOL090W,.,+
chrXVI,610036,610037,YPR023C,.,-
chrXV,633575,633576,YOR159C,.,-
chrVII,905923,905924,YGR204W,.,+
chrXV,867086,867087,YOR293W,.,+
chrXVI,420529,420530,YPL071C,.,-
chrXV,624707,624708,YOR154W,.,+
chrXII,125509,125510,YLL012W,.,+
chrX,573953,573954,YJR075W,.,+
chrXV,329387,329388,YOR002W,.,+
chrXVI,837444,837445,YPR155C,.,-
chrXVI,843227,843228,YPR158W,.,+
chrXV,826341,826342,YOR269W,.,+
chrVII,706545,706546,YGR109C,.,-
chrVII,53577,53578,YGL237C,.,-
chrII,568792,568793,YBR165W,.,+
chrIV,819363,819364,YDR179W-A,.,+
chrXIV,370126,370127,YNL137C,.,-
chrVII,650704,650705,YGR086C,.,-
chrXV,515154,515155,YOR101W,.,+
chrVII,472398,472399,YGL013C,.,-
chrXVI,373626,373627,YPL092W,.,+
chrXIII,448266,448267,YMR089C,.,-
chrVIII,554181,554182,YHR216W,.,+
chrXV,493135,493136,YOR090C,.,-
chrXIV,501123,501124,YNL066W,.,+
chrVII,525157,525158,YGR019W,.,+
chrIV,1274525,1274526,YDR403W,.,+
chrXV,233740,233741,YOL052C,.,-
chrXVI,520670,520671,YPL016W,.,+
chrIX,260185,260186,YIL049W,.,+
chrXV,337323,337324,YOR005C,.,-
chrXII,781364,781365,YLR325C,.,-
chrVIII,382738,382739,YHR141C,.,-
chrIV,139530,139531,YDL178W,.,+
chrXV,468213,468214,YOR075W,.,+
chrVIII,393282,393283,YHR147C,.,-
chrXVI,259341,259342,YPL155C,.,-
chrX,63796,63797,YJL197W,.,+
chrXIII,547695,547696,YMR140W,.,+
chrVIII,249659,249660,YHR075C,.,-
chrIV,264985,264986,YDL110C,.,-
chrXIII,131597,131598,YML071C,.,-
chrXV,611413,611414,YOR149C,.,-
chrXII,665033,665034,YLR259C,.,-
chrXI,521969,521970,YKR044W,.,+
chrXII,76791,76792,YLL032C,.,-
chrXIV,129144,129145,YNL272C,.,-
chrIX,301326,301327,YIL029C,.,-
chrXIII,664664,664665,YMR200W,.,+
chrIV,915440,915441,YDR225W,.,+
chrXIII,236052,236053,YML018C,.,-
chrVII,800412,800413,YGR156W,.,+
chrII,63718,63719,YBL085W,.,+
chrXVI,491530,491531,YPL032C,.,-
chrIV,1233716,1233717,YDR379C-A,.,-
chrVII,245435,245436,YGL139W,.,+
chrII,36769,36770,YBL099W,.,+
chrVI,36236,36237,YFL050C,.,-
chrII,429162,429163,YBR092C,.,-
chrIX,18693,18694,YIL172C,.,-
chrIII,199582,199583,YCR038C,.,-
chrIV,488632,488633,YDR022C,.,-
chrXIV,82831,82832,YNL292W,.,+
chrXII,343743,343744,YLR102C,.,-
chrXII,705203,705204,YLR283W,.,+
chrXV,880981,880982,YOR301W,.,+
chrXVI,475724,475725,YPL041C,.,-
chrIV,184936,184937,YDL149W,.,+
chrVIII,388721,388722,YHR144C,.,-
chrVII,45447,45448,YGL241W,.,+
chrXIII,826355,826356,YMR279C,.,-
chrXIV,160379,160380,YNL258C,.,-
chrX,458369,458370,YJR010C-A,.,-
chrXV,916009,916010,YOR321W,.,+
chrXIV,640135,640136,YNR007C,.,-
chrVI,184246,184247,YFR018C,.,-
chrXV,986504,986505,YOR347C,.,-
chrXII,63712,63713,YLL040C,.,-
chrIV,345029,345030,YDL059C,.,-
chrXII,982747,982748,YLR425W,.,+
chrVII,371584,371585,YGL071W,.,+
chrXII,951062,951063,YLR413W,.,+
chrIX,248502,248503,YIL057C,.,-
chrXIV,273753,273754,YNL194C,.,-
chrV,545590,545591,YER177W,.,+
chrVII,393854,393855,YGL058W,.,+
chrII,292072,292073,YBR025C,.,-
chrV,101717,101718,YEL026W,.,+
chrIV,971439,971440,YDR257C,.,-
chrI,57353,57354,YAL046C,.,-
chrII,515688,515689,YBR139W,.,+
chrVI,241417,241418,YFR044C,.,-
chrVIII,493914,493915,YHR197W,.,+
chrXII,143218,143219,YLL003W,.,+
chrXV,606154,606155,YOR145C,.,-
chrV,484800,484801,YER157W,.,+
chrIII,190601,190602,YCR034W,.,+
chrXVI,631521,631522,YPR031W,.,+
chrXV,207170,207171,YOL064C,.,-
chrXII,282452,282453,YLR074C,.,-
chrVII,295931,295932,YGL113W,.,+
chrXI,475901,475902,YKR018C,.,-
chrVII,1022650,1022651,YGR266W,.,+
chrXIII,170395,170396,YML052W,.,+
chrXIV,170011,170012,YNL253W,.,+
chrXII,174988,174989,YLR014C,.,-
chrXII,413261,413262,YLR135W,.,+
chrXVI,16886,16887,YPL277C,.,-
chrVII,1064958,1064959,YGR286C,.,-
chrXIII,273992,273993,YMR004W,.,+
chrIII,38825,38826,YCL050C,.,-
chrXII,1025180,1025181,YLR446W,.,+
chrVII,475511,475512,YGL010W,.,+
chrII,339385,339386,YBR052C,.,-
chrVII,624834,624835,YGR067C,.,-
chrIV,769057,769058,YDR155C,.,-
chrXI,277928,277929,YKL087C,.,-
chrII,246914,246915,YBR006W,.,+
chrXI,22134,22135,YKL217W,.,+
chrXIV,147945,147946,YNL263C,.,-
chrXII,201421,201422,YLR028C,.,-
chrIV,936507,936508,YDR237W,.,+
chrV,439506,439507,YER136W,.,+
chrXVI,386928,386929,YPL085W,.,+
chrIV,326462,326463,YDL073W,.,+
chrX,195040,195041,YJL116C,.,-
chrXVI,335688,335689,YPL115C,.,-
chrXVI,11331,11332,YPL281C,.,-
chrXIV,605266,605267,YNL015W,.,+
chrXI,194983,194984,YKL132C,.,-
chrVII,904882,904883,YGR202C,.,-
chrXVI,40888,40889,YPL265W,.,+
chrIX,353631,353632,YIL002C,.,-
chrXI,630803,630804,YKR097W,.,+
chrXIV,576660,576661,YNL030W,.,+
chrX,529755,529756,YJR051W,.,+
chrXI,615599,615600,YKR093W,.,+
chrIV,1403159,1403160,YDR472W,.,+
chrXIV,699726,699727,YNR040W,.,+
chrXII,121340,121341,YLL014W,.,+
chrV,371995,371996,YER105C,.,-
chrXVI,410079,410080,YPL077C,.,-
chrXII,715095,715096,YLR289W,.,+
chrIV,950276,950277,YDR243C,.,-
chrV,536306,536307,YER173W,.,+
chrIV,158737,158738,YDL169C,.,-
chrXIV,62946,62947,YNL302C,.,-
chrIX,189048,189049,YIL092W,.,+
chrVIII,181949,181950,YHR037W,.,+
chrXVI,502212,502213,YPL026C,.,-
chrVIII,456558,456559,YHR177W,.,+
chrXIII,861881,861882,YMR297W,.,+
chrII,62644,62645,YBL086C,.,-
chrXI,144356,144357,YKL163W,.,+
chrXIII,453522,453523,YMR092C,.,-
chrIV,294814,294815,YDL091C,.,-
chrXIII,611668,611669,YMR176W,.,+
chrVII,979395,979396,YGR244C,.,-
chrVII,909119,909120,YGR205W,.,+
chrII,181369,181370,YBL022C,.,-
chrXVI,313267,313268,YPL125W,.,+
chrVII,508506,508507,YGR008C,.,-
chrVII,368248,368249,YGL075C,.,-
chrXVI,754714,754715,YPR115W,.,+
chrIV,889567,889568,YDR213W,.,+
chrXIV,135602,135603,YNL271C,.,-
chrIV,955746,955747,YDR247W,.,+
chrIV,794215,794216,YDR169C,.,-
chrXI,493910,493911,YKR028W,.,+
chrIV,211065,211066,YDL140C,.,-
chrII,461909,461910,YBR111C,.,-
chrXV,249610,249611,YOL043C,.,-
chrXVI,700599,700600,YPR080W,.,+
chrXIV,652390,652391,YNR014W,.,+
chrXV,254256,254257,YOL039W,.,+
chrXI,49927,49928,YKL206C,.,-
chrIV,458339,458340,YDR005C,.,-
chrIV,285135,285136,YDL098C,.,-
chrXIV,148234,148235,YNL262W,.,+
chrXV,400084,400085,YOR035C,.,-
chrXVI,280491,280492,YPL144W,.,+
chrVII,695426,695427,YGR103W,.,+
chrXIII,244157,244158,YML013W,.,+
chrXIII,854802,854803,YMR292W,.,+
chrIV,296323,296324,YDL090C,.,-
chrVIII,440380,440381,YHR168W,.,+
chrXII,973166,973167,YLR423C,.,-
chrVII,627080,627081,YGR068C,.,-
chrXII,743860,743861,YLR305C,.,-
chrXIV,635294,635295,YNR003C,.,-
chrIV,664907,664908,YDR104C,.,-
chrV,90259,90260,YEL031W,.,+
chrVII,193297,193298,YGL164C,.,-
chrXII,136585,136586,YLL006W,.,+
chrXVI,892330,892331,YPR178W,.,+
chrII,653352,653353,YBR215W,.,+
chrIV,404962,404963,YDL027C,.,-
chrVII,770562,770563,YGR141W,.,+
chrX,246481,246482,YJL096W,.,+
chrXVI,599858,599859,YPR020W,.,+
chrIV,363940,363941,YDL051W,.,+
chrXIII,869639,869640,YMR301C,.,-
chrVII,284427,284428,YGL119W,.,+
chrX,695711,695712,YJR140C,.,-
chrVIII,141417,141418,YHR018C,.,-
chrXIII,133452,133453,YML070W,.,+
chrIV,394192,394193,YDL031W,.,+
chrXI,559639,559640,YKR062W,.,+
chrIV,1298405,1298406,YDR416W,.,+
chrXVI,326290,326291,YPL119C,.,-
chrIV,867549,867550,YDR207C,.,-
chrIX,436012,436013,YIR042C,.,-
chrII,383177,383178,YBR073W,.,+
chrIV,1019326,1019327,YDR279W,.,+
chrXII,454642,454643,YLR154W-C,.,+
chrXII,696886,696887,YLR276C,.,-
chrII,44977,44978,YBL093C,.,-
chrIV,1445527,1445528,YDR497C,.,-
chrXVI,187801,187802,YPL190C,.,-
chrXIV,452295,452296,YNL091W,.,+
chrXII,1032486,1032487,YLR450W,.,+
chrIX,285520,285521,YIL036W,.,+
chrXV,299531,299532,YOL014W,.,+
chrXII,877343,877344,YLR378C,.,-
chrXIV,392339,392340,YNL125C,.,-
chrXII,524683,524684,YLR187W,.,+
chrXVI,725195,725196,YPR097W,.,+
chrXIII,482954,482955,YMR107W,.,+
chrXVI,901915,901916,YPR184W,.,+
chrVII,977202,977203,YGR243W,.,+
chrVII,281314,281315,YGL121C,.,-
chrXIII,675714,675715,YMR206W,.,+
chrVII,738331,738332,YGR123C,.,-
chrVIII,423752,423753,YHR163W,.,+
chrIV,1246110,1246111,YDR386W,.,+
chrI,132223,132224,YAL011W,.,+
chrX,608326,608327,YJR094W-A,.,+
chrIX,99393,99394,YIL133C,.,-
chrXV,849653,849654,YOR285W,.,+
chrVI,221401,221402,YFR031C-A,.,-
chrIV,1114013,1114014,YDR323C,.,-
chrIV,1131013,1131014,YDR332W,.,+
chrXI,416902,416903,YKL014C,.,-
chrXIV,58164,58165,YNL306W,.,+
chrIV,268926,268927,YDL107W,.,+
chrXVI,359401,359402,YPL103C,.,-
chrXVI,493032,493033,YPL031C,.,-
chrXIII,856790,856791,YMR293C,.,-
chrVII,750088,750089,YGR128C,.,-
chrX,60832,60833,YJL198W,.,+
chrXII,620456,620457,YLR241W,.,+
chrIX,235492,235493,YIL068C,.,-
chrIV,1416894,1416895,YDR479C,.,-
chrVII,965684,965685,YGR237C,.,-
chrVII,718857,718858,YGR113W,.,+
chrXI,608403,608404,YKR089C,.,-
chrXII,840280,840281,YLR356W,.,+
chrVII,1004014,1004015,YGR255C,.,-
chrI,105925,105926,YAL024C,.,-
chrIV,1383497,1383498,YDR459C,.,-
chrXII,681115,681116,YLR270W,.,+
chrII,288028,288029,YBR023C,.,-
chrXV,436455,436456,YOR058C,.,-
chrXV,737836,737837,YOR209C,.,-
chrXV,904641,904642,YOR315W,.,+
chrIV,548427,548428,YDR045C,.,-
chrVII,159914,159915,YGL180W,.,+
chrXIII,814138,814139,YMR273C,.,-
chrIV,111410,111411,YDL194W,.,+
chrXII,1002371,1002372,YLR432W,.,+
chrXVI,434322,434323,YPL060W,.,+
chrVIII,320211,320212,YHR103W,.,+
chrII,526877,526878,YBR140C,.,-
chrVII,788687,788688,YGR149W,.,+
chrX,153050,153051,YJL139C,.,-
chrIV,974313,974314,YDR258C,.,-
chrX,339672,339673,YJL051W,.,+
chrII,13905,13906,YBL106C,.,-
chrVIII,187786,187787,YHR039C-A,.,-
chrIV,525239,525240,YDR037W,.,+
chrXIII,568590,568591,YMR155W,.,+
chrVI,40452,40453,YFL047W,.,+
chrXVI,52642,52643,YPL259C,.,-
chrXIII,424701,424702,YMR078C,.,-
chrXIII,115321,115322,YML076C,.,-
chrXV,55576,55577,YOL142W,.,+
chrXV,181700,181701,YOL078W,.,+
chrVII,191147,191148,YGL166W,.,+
chrIII,293851,293852,YCR097W,.,+
chrVII,249884,249885,YGL137W,.,+
chrXIII,794932,794933,YMR263W,.,+
chrXVI,121777,121778,YPL226W,.,+
chrXI,201760,201761,YKL128C,.,-
chrXIII,695359,695360,YMR214W,.,+
chrXVI,176232,176233,YPL195W,.,+
chrXI,73855,73856,YKL197C,.,-
chrVII,640362,640363,YGR078C,.,-
chrXV,474409,474410,YOR079C,.,-
chrII,306948,306949,YBR035C,.,-
chrXVI,267531,267532,YPL151C,.,-
chrII,107934,107935,YBL060W,.,+
chrIV,308425,308426,YDL082W,.,+
chrVIII,505527,505528,YHR203C,.,-
chrXII,963785,963786,YLR420W,.,+
chrXIV,510540,510541,YNL061W,.,+
chrXIII,273116,273117,YMR003W,.,+
chrXVI,626969,626970,YPR029C,.,-
chrVII,405771,405772,YGL050W,.,+
chrXIV,578779,578780,YNL029C,.,-
chrXVI,173140,173141,YPL198W,.,+
chrVII,67583,67584,YGL228W,.,+
chrXII,179620,179621,YLR018C,.,-
chrVII,875123,875124,YGR188C,.,-
chrXIV,585310,585311,YNL025C,.,-
chrVIII,232108,232109,YHR068W,.,+
chrX,513788,513789,YJR041C,.,-
chrXV,1036807,1036808,YOR373W,.,+
chrXI,25187,25188,YKL216W,.,+
chrXIV,457671,457672,YNL088W,.,+
chrX,490846,490847,YJR031C,.,-
chrIX,321000,321001,YIL017C,.,-
chrIII,109066,109067,YCL004W,.,+
chrXI,349179,349180,YKL048C,.,-
chrIV,1469353,1469354,YDR510W,.,+
chrVIII,401379,401380,YHR152W,.,+
chrX,104485,104486,YJL168C,.,-
chrXV,534015,534016,YOR113W,.,+
chrXVI,814330,814331,YPR140W,.,+
chrVIII,362051,362052,YHR128W,.,+
chrIV,946738,946739,YDR242W,.,+
chrIV,227323,227324,YDL131W,.,+
chrII,449586,449587,YBR104W,.,+
chrXIII,46855,46856,YML111W,.,+
chrV,559357,559358,YER185W,.,+
chrXIII,330656,330657,YMR030W,.,+
chrXIV,211776,211777,YNL233W,.,+
chrXV,234789,234790,YOL051W,.,+
chrXV,546690,546691,YOR118W,.,+
chrXV,1015011,1015012,YOR360C,.,-
chrX,654445,654446,YJR124C,.,-
chrIV,439626,439627,YDL006W,.,+
chrVII,180403,180404,YGL173C,.,-
chrVII,465767,465768,YGL014W,.,+
chrIV,1252053,1252054,YDR389W,.,+
chrVII,147903,147904,YGL190C,.,-
chrVII,14505,14506,YGL256W,.,+
chrII,301847,301848,YBR033W,.,+
chrXV,504436,504437,YOR095C,.,-
chrXIV,507637,507638,YNL063W,.,+
chrII,662430,662431,YBR218C,.,-
chrXIV,387203,387204,YNL126W,.,+
chrII,415451,415452,YBR084C-A,.,-
chrXIII,545195,545196,YMR138W,.,+
chrXIV,175436,175437,YNL250W,.,+
chrII,739864,739865,YBR267W,.,+
chrXIV,534958,534959,YNL050C,.,-
chrVIII,47944,47945,YHL029C,.,-
chrXIII,140191,140192,YML067C,.,-
chrIII,52665,52666,YCL039W,.,+
chrX,496431,496432,YJR033C,.,-
chrXII,849104,849105,YLR361C,.,-
chrXVI,704870,704871,YPR083W,.,+
chrXVI,794981,794982,YPR132W,.,+
chrV,306337,306338,YER074W,.,+
chrXII,341823,341824,YLR100W,.,+
chrVI,115729,115730,YFL010C,.,-
chrII,168432,168433,YBL027W,.,+
chrIV,685891,685892,YDR118W,.,+
chrXII,131737,131738,YLL008W,.,+
chrV,400833,400834,YER119C,.,-
chrXII,691561,691562,YLR274W,.,+
chrX,305856,305857,YJL072C,.,-
chrX,381329,381330,YJL034W,.,+
chrVIII,390300,390301,YHR146W,.,+
chrI,152255,152256,YAR002W,.,+
chrIV,454116,454117,YDR003W,.,+
chrXIII,216425,216426,YML030W,.,+
chrIV,1087571,1087572,YDR312W,.,+
chrVIII,217843,217844,YHR056C,.,-
chrV,178829,178830,YER013W,.,+
chrXIV,164333,164334,YNL257C,.,-
chrX,365766,365767,YJL041W,.,+
chrIII,58702,58703,YCL037C,.,-
chrXV,61061,61062,YOL139C,.,-
chrIX,78034,78035,YIL144W,.,+
chrIV,1239450,1239451,YDR382W,.,+
chrIX,113762,113763,YIL128W,.,+
chrXI,294360,294361,YKL075C,.,-
chrIV,998385,998386,YDR264C,.,-
chrIV,1369715,1369716,YDR457W,.,+
chrII,362589,362590,YBR060C,.,-
chrXI,360065,360066,YKL041W,.,+
chrII,583642,583643,YBR176W,.,+
