chromosome,start,end,gene,stable/fragile,gene orientation
chrXI,130301,130302,YKL170W,stable,+
chrVII,634300,634301,YGR071C,stable,-
chrXVI,718700,718701,YPR091C,stable,-
chrXII,194175,194176,YLR025W,stable,+
chrXVI,465623,465624,YPL047W,stable,+
chrIV,667019,667020,YDR105C,stable,-
chrXV,204712,204713,YOL066C,stable,-
chrXIII,793475,793476,YMR262W,stable,+
chrIV,163422,163423,YDL167C,stable,-
chrXII,830715,830716,YLR352W,stable,+
chrIX,270706,270707,YIL045W,stable,+
chrV,213188,213189,YER030W,stable,+
chrXIII,759484,759485,YMR244C-A,stable,-
chrXI,514854,514855,YKR039W,stable,+
chrXV,198696,198697,YOL069W,stable,+
chrIX,35201,35202,YIL164C,stable,-
chrII,110332,110333,YBL059W,stable,+
chrV,42884,42885,YEL059C-A,stable,-
chrXII,665532,665533,YLR260W,stable,+
chrII,209225,209226,YBL008W,stable,+
chrXIV,274164,274165,YNL193W,stable,+
chrXIV,471106,471107,YNL083W,stable,+
chrIV,552971,552972,YDR049W,stable,+
chrII,609948,609949,YBR193C,stable,-
chrXV,546436,546437,YOR118W,stable,+
chrVII,637094,637095,YGR075C,stable,-
chrVII,913514,913515,YGR209C,stable,-
chrXV,784602,784603,YOR239W,stable,+
chrVII,269347,269348,YGL129C,stable,-
chrXV,154977,154978,YOL088C,stable,-
chrXII,722688,722689,YLR295C,stable,-
chrVI,36576,36577,YFL049W,stable,+
chrIV,184694,184695,YDL149W,stable,+
chrXIV,701903,701904,YNR041C,stable,-
chrXIII,818582,818583,YMR276W,stable,+
chrII,356236,356237,YBR058C,stable,-
chrII,14145,14146,YBL106C,stable,-
chrXI,549309,549310,YKR056W,stable,+
chrXV,675909,675910,YOR180C,stable,-
chrX,700624,700625,YJR144W,stable,+
chrVII,281530,281531,YGL121C,stable,-
chrII,683083,683084,YBR233W,stable,+
chrXV,5687,5688,YOL164W,stable,+
chrIV,103640,103641,YDL199C,stable,-
chrXV,949535,949536,YOR336W,stable,+
chrXV,762414,762415,YOR227W,stable,+
chrXV,762414,762415,YOR226C,stable,-
chrI,129012,129013,YAL013W,stable,+
chrXIII,594904,594905,YMR166C,stable,-
chrIV,1182962,1182963,YDR353W,stable,+
chrXV,685464,685465,YOR188W,stable,+
chrXI,489973,489974,YKR026C,stable,-
chrIII,263176,263177,YCR086W,stable,+
chrIV,856337,856338,YDR200C,stable,-
chrXII,805376,805377,YLR337C,stable,-
chrX,529618,529619,YJR051W,stable,+
chrVII,206782,206783,YGL158W,stable,+
chrXVI,860855,860856,YPR160W,stable,+
chrX,315797,315798,YJL065C,stable,-
chrXIII,654724,654725,YMR196W,stable,+
chrXII,493519,493520,YLR163C,stable,-
chrX,585669,585670,YJR085C,stable,-
chrXV,467822,467823,YOR074C,stable,-
chrIV,946478,946479,YDR242W,stable,+
chrXV,960632,960633,YOR341W,stable,+
chrXIII,649800,649801,YMR193W,stable,+
chrVII,842743,842744,YGR171C,stable,-
chrVII,733507,733508,YGR122W,stable,+
chrXV,1050893,1050894,YOR380W,stable,+
chrIV,831849,831850,YDR184C,stable,-
chrIX,260907,260908,YIL048W,stable,+
chrXIII,701462,701463,YMR217W,stable,+
chrIV,314958,314959,YDL079C,stable,-
chrVIII,219036,219037,YHR057C,stable,-
chrX,573177,573178,YJR073C,stable,-
chrXIII,315052,315053,YMR020W,stable,+
chrXIV,719271,719272,YNR051C,stable,-
chrVIII,371817,371818,YHR133C,stable,-
chrXV,560656,560657,YOR127W,stable,+
chrIV,832819,832820,YDR185C,stable,-
chrV,83037,83038,YEL037C,stable,-
chrXV,642400,642401,YOR162C,stable,-
chrIII,224213,224214,YCR060W,stable,+
chrVIII,250928,250929,YHR076W,stable,+
chrXVI,939230,939231,YPR199C,stable,-
chrIV,1261349,1261350,YDR394W,stable,+
chrXIV,670423,670424,YNR022C,stable,-
chrXVI,429878,429879,YPL064C,stable,-
chrIV,1149720,1149721,YDR338C,stable,-
chrXV,658449,658450,YOR174W,stable,+
chrIV,1384846,1384847,YDR461W,stable,+
chrXII,879498,879499,YLR381W,stable,+
chrXIII,745992,745993,YMR238W,stable,+
chrXV,943666,943667,YOR330C,stable,-
chrII,805163,805164,YBR299W,stable,+
chrVI,47903,47904,YFL042C,stable,-
chrVII,61877,61878,YGL232W,stable,+
chrXI,70757,70758,YKL198C,stable,-
chrII,738325,738326,YBR265W,stable,+
chrIV,345227,345228,YDL059C,stable,-
chrXII,247200,247201,YLR051C,stable,-
chrX,50659,50660,YJL205C,stable,-
chrII,749342,749343,YBR274W,stable,+
chrXV,842625,842626,YOR278W,stable,+
chrX,334033,334034,YJL054W,stable,+
chrIX,375137,375138,YIR010W,stable,+
chrXIII,869907,869908,YMR301C,stable,-
chrXII,286579,286580,YLR079W,stable,+
chrX,191457,191458,YJL118W,stable,+
chrXIII,831967,831968,YMR281W,stable,+
chrX,620032,620033,YJR102C,stable,-
chrIV,907056,907057,YDR221W,stable,+
chrXII,928443,928444,YLR404W,stable,+
chrIV,950263,950264,YDR244W,stable,+
chrXV,566472,566473,YOR128C,stable,-
chrV,359293,359294,YER099C,stable,-
chrXIV,370111,370112,YNL136W,stable,+
chrXIV,239933,239934,YNL217W,stable,+
chrXIV,730851,730852,YNR055C,stable,-
chrVII,377174,377175,YGL066W,stable,+
chrI,187855,187856,YAR033W,stable,+
chrXIV,34482,34483,YNL321W,stable,+
chrXIV,34482,34483,YNL322C,stable,-
chrVII,375849,375850,YGL067W,stable,+
chrIV,845116,845117,YDR192C,stable,-
chrVII,53840,53841,YGL237C,stable,-
chrVI,245342,245343,YFR047C,stable,-
chrXIV,227134,227135,YNL223W,stable,+
chrIX,200309,200310,YIL087C,stable,-
chrIX,189215,189216,YIL093C,stable,-
chrVIII,324504,324505,YHR105W,stable,+
chrV,194847,194848,YER020W,stable,+
chrXIII,794643,794644,YMR263W,stable,+
chrVIII,69727,69728,YHL019C,stable,-
chrXI,430861,430862,YKL006C-A,stable,-
chrX,117048,117049,YJL161W,stable,+
chrIV,241153,241154,YDL123W,stable,+
chrX,254726,254727,YJL094C,stable,-
chrXVI,797891,797892,YPR134W,stable,+
chrIV,1428355,1428356,YDR486C,stable,-
chrXII,517688,517689,YLR182W,stable,+
chrXI,392556,392557,YKL025C,stable,-
chrVII,144391,144392,YGL191W,stable,+
chrII,347473,347474,YBR055C,stable,-
chrXII,719691,719692,YLR291C,stable,-
chrV,63574,63575,YEL049W,stable,+
chrXIV,200227,200228,YNL239W,stable,+
chrXIV,200227,200228,YNL240C,stable,-
chrVII,576910,576911,YGR041W,stable,+
chrII,458373,458374,YBR110W,stable,+
chrVIII,70046,70047,YHL017W,stable,+
chrXI,599890,599891,YKR085C,stable,-
chrXIV,488133,488134,YNL073W,stable,+
chrXIII,793721,793722,YMR261C,stable,-
chrX,338044,338045,YJL052W,stable,+
chrXII,620197,620198,YLR241W,stable,+
chrXV,349423,349424,YOR011W,stable,+
chrVII,584543,584544,YGR046W,stable,+
chrIV,781409,781410,YDR162C,stable,-
chrV,378018,378019,YER109C,stable,-
chrVIII,498858,498859,YHR200W,stable,+
chrVII,266135,266136,YGL131C,stable,-
chrIII,179216,179217,YCR032W,stable,+
chrXV,757585,757586,YOR222W,stable,+
chrX,378498,378499,YJL036W,stable,+
chrXII,286821,286822,YLR078C,stable,-
chrV,504855,504856,YER164W,stable,+
chrIV,1075652,1075653,YDR307W,stable,+
chrX,101174,101175,YJL171C,stable,-
chrV,526738,526739,YER171W,stable,+
chrIV,958608,958609,YDR248C,stable,-
chrXV,611762,611763,YOR150W,stable,+
chrV,456080,456081,YER143W,stable,+
chrXV,48646,48647,YOL146W,stable,+
chrI,34867,34868,YAL060W,stable,+
chrIX,378519,378520,YIR011C,stable,-
chrXII,965824,965825,YLR421C,stable,-
chrVII,559244,559245,YGR036C,stable,-
chrV,274207,274208,YER060W,stable,+
chrXIV,743833,743834,YNR061C,stable,-
chrIV,856112,856113,YDR201W,stable,+
chrXIII,733279,733280,YMR231W,stable,+
chrXVI,198676,198677,YPL184C,stable,-
chrVII,1076411,1076412,YGR292W,stable,+
chrIX,310813,310814,YIL022W,stable,+
chrIII,39064,39065,YCL050C,stable,-
chrVIII,371585,371586,YHR134W,stable,+
chrXIII,318430,318431,YMR022W,stable,+
chrX,582579,582580,YJR082C,stable,-
chrXVI,939910,939911,YPR200C,stable,-
chrV,111075,111076,YEL022W,stable,+
chrXIV,44468,44469,YNL315C,stable,-
chrII,181608,181609,YBL022C,stable,-
chrXV,91672,91673,YOL122C,stable,-
chrXIII,217075,217076,YML029W,stable,+
chrVIII,13289,13290,YHL044W,stable,+
chrIV,1144853,1144854,YDR336W,stable,+
chrV,271539,271540,YER058W,stable,+
chrIV,1311758,1311759,YDR421W,stable,+
chrXV,602655,602656,YOR143C,stable,-
chrVII,359253,359254,YGL079W,stable,+
chrV,172105,172106,YER008C,stable,-
chrXIV,724521,724522,YNR054C,stable,-
chrXII,573437,573438,YLR216C,stable,-
chrXII,549008,549009,YLR199C,stable,-
chrXI,451941,451942,YKR008W,stable,+
chrV,298740,298741,YER070W,stable,+
chrV,132989,132990,YEL011W,stable,+
chrXI,399006,399007,YKL021C,stable,-
chrXV,207428,207429,YOL064C,stable,-
chrIV,1302990,1302991,YDR419W,stable,+
chrV,192899,192900,YER018C,stable,-
chrIV,611812,611813,YDR083W,stable,+
chrVII,461401,461402,YGL016W,stable,+
chrIX,113548,113549,YIL128W,stable,+
chrIX,113548,113549,YIL129C,stable,-
chrXII,554190,554191,YLR206W,stable,+
chrXVI,527328,527329,YPL014W,stable,+
chrX,644359,644360,YJR118C,stable,-
chrX,342208,342209,YJL050W,stable,+
chrIV,375519,375520,YDL044C,stable,-
chrIV,1198792,1198793,YDR363W,stable,+
chrXV,1019039,1019040,YOR362C,stable,-
chrII,786823,786824,YBR293W,stable,+
chrXV,109181,109182,YOL111C,stable,-
chrVIII,375262,375263,YHR137W,stable,+
chrVIII,375262,375263,YHR136C,stable,-
chrXIII,572021,572022,YMR158W,stable,+
chrXIII,589896,589897,YMR164C,stable,-
chrVIII,175343,175344,YHR033W,stable,+
chrIV,784432,784433,YDR164C,stable,-
chrIV,525040,525041,YDR037W,stable,+
chrXII,705205,705206,YLR281C,stable,-
chrVIII,105802,105803,YHR001W,stable,+
chrIV,789239,789240,YDR167W,stable,+
chrXVI,383265,383266,YPL087W,stable,+
chrIV,361557,361558,YDL054C,stable,-
chrVII,265885,265886,YGL130W,stable,+
chrXI,358099,358100,YKL042W,stable,+
chrV,431030,431031,YER132C,stable,-
chrVII,522029,522030,YGR016W,stable,+
chrXIII,9845,9846,YML131W,stable,+
chrXIII,523690,523691,YMR127C,stable,-
chrIX,321966,321967,YIL015W,stable,+
chrXIV,602532,602533,YNL016W,stable,+
chrVII,197840,197841,YGL162W,stable,+
chrVII,14488,14489,YGL257C,stable,-
chrXVI,687876,687877,YPR071W,stable,+
chrVIII,280520,280521,YHR087W,stable,+
chrVIII,345441,345442,YHR119W,stable,+
chrXIII,33876,33877,YML117W,stable,+
chrII,71354,71355,YBL082C,stable,-
chrII,71354,71355,YBL081W,stable,+
chrIV,1342178,1342179,YDR440W,stable,+
chrVII,1019448,1019449,YGR263C,stable,-
chrVIII,256131,256132,YHR078W,stable,+
chrII,177840,177841,YBL023C,stable,-
chrII,533388,533389,YBR145W,stable,+
chrXIII,318690,318691,YMR021C,stable,-
chrXIII,181173,181174,YML046W,stable,+
chrIV,974575,974576,YDR258C,stable,-
chrVII,334879,334880,YGL094C,stable,-
chrIII,240797,240798,YCR071C,stable,-
chrXIV,31711,31712,YNL323W,stable,+
chrXIV,437327,437328,YNL100W,stable,+
chrIX,304365,304366,YIL027C,stable,-
chrXII,1041774,1041775,YLR452C,stable,-
chrXV,12129,12130,YOL161C,stable,-
chrIV,1108293,1108294,YDR320C,stable,-
chrXI,349192,349193,YKL047W,stable,+
chrIV,685891,685892,YDR117C,stable,-
chrXI,21934,21935,YKL217W,stable,+
chrII,296271,296272,YBR028C,stable,-
chrXII,669894,669895,YLR262C-A,stable,-
chrVIII,168784,168785,YHR029C,stable,-
chrXV,550500,550501,YOR119C,stable,-
chrXI,336390,336391,YKL055C,stable,-
chrIX,88910,88911,YIL139C,stable,-
chrII,684745,684746,YBR233W-A,stable,+
chrVII,352719,352720,YGL083W,stable,+
chrXVI,292681,292682,YPL138C,stable,-
chrV,540574,540575,YER175C,stable,-
chrII,63438,63439,YBL085W,stable,+
chrXI,307044,307045,YKL069W,stable,+
chrXI,374185,374186,YKL033W-A,stable,+
chrX,732195,732196,YJR158W,stable,+
chrXIII,115593,115594,YML076C,stable,-
chrX,352410,352411,YJL047C,stable,-
chrXV,479512,479513,YOR081C,stable,-
chrII,48834,48835,YBL091C,stable,-
chrXI,294636,294637,YKL075C,stable,-
chrV,399467,399468,YER118C,stable,-
chrVIII,195037,195038,YHR044C,stable,-
chrII,702141,702142,YBR240C,stable,-
chrII,571425,571426,YBR166C,stable,-
chrXVI,469644,469645,YPL043W,stable,+
chrXVI,34963,34964,YPL268W,stable,+
chrVII,527659,527660,YGR020C,stable,-
chrXII,99101,99102,YLL023C,stable,-
chrII,151487,151488,YBL036C,stable,-
chrXIV,674927,674928,YNR026C,stable,-
chrIV,330785,330786,YDL070W,stable,+
chrIX,177622,177623,YIL101C,stable,-
chrX,676770,676771,YJR135W-A,stable,+
chrVIII,78575,78576,YHL013C,stable,-
chrIX,370172,370173,YIR006C,stable,-
chrXII,502390,502391,YLR172C,stable,-
chrX,387428,387429,YJL030W,stable,+
chrXVI,681033,681034,YPR066W,stable,+
chrXV,628210,628211,YOR155C,stable,-
chrXII,68482,68483,YLL036C,stable,-
chrXIV,339344,339345,YNL158W,stable,+
chrXV,97364,97365,YOL117W,stable,+
chrXVI,359963,359964,YPL101W,stable,+
chrII,207194,207195,YBL010C,stable,-
chrXI,219437,219438,YKL119C,stable,-
chrXVI,129668,129669,YPL222W,stable,+
chrIV,296325,296326,YDL089W,stable,+
chrXIV,283828,283829,YNL189W,stable,+
chrVI,244323,244324,YFR046C,stable,-
chrIV,775771,775772,YDR160W,stable,+
chrIX,348895,348896,YIL003W,stable,+
chrII,675142,675143,YBR228W,stable,+
chrVII,843839,843840,YGR172C,stable,-
chrVII,506716,506717,YGR007W,stable,+
chrXVI,227755,227756,YPL171C,stable,-
chrIV,933244,933245,YDR235W,stable,+
chrXIII,749961,749962,YMR239C,stable,-
chrXIV,386949,386950,YNL126W,stable,+
chrXV,803671,803672,YOR251C,stable,-
chrXV,136114,136115,YOL098C,stable,-
chrXV,818707,818708,YOR264W,stable,+
chrVII,313003,313004,YGL100W,stable,+
chrXV,502739,502740,YOR093C,stable,-
chrXIII,777730,777731,YMR255W,stable,+
chrV,73327,73328,YEL042W,stable,+
chrII,92153,92154,YBL068W,stable,+
chrV,259847,259848,YER053C,stable,-
chrX,306100,306101,YJL072C,stable,-
chrIV,963189,963190,YDR252W,stable,+
chrXIV,579301,579302,YNL027W,stable,+
chrXVI,641945,641946,YPR035W,stable,+
chrXIV,272653,272654,YNL195C,stable,-
chrIV,1274352,1274353,YDR403W,stable,+
chrXVI,286621,286622,YPL141C,stable,-
chrX,305855,305856,YJL071W,stable,+
chrXIV,626119,626120,YNL003C,stable,-
chrXVI,826822,826823,YPR147C,stable,-
chrX,387658,387659,YJL031C,stable,-
chrXVI,475214,475215,YPL042C,stable,-
chrIV,494663,494664,YDR026C,stable,-
chrXI,296425,296426,YKL074C,stable,-
chrXVI,729527,729528,YPR100W,stable,+
chrVII,512897,512898,YGR012W,stable,+
chrIV,1087317,1087318,YDR312W,stable,+
chrIV,337253,337254,YDL064W,stable,+
chrXII,602989,602990,YLR228C,stable,-
chrIX,151341,151342,YIL112W,stable,+
chrV,171846,171847,YER009W,stable,+
chrXV,226330,226331,YOL055C,stable,-
chrXV,804173,804174,YOR253W,stable,+
chrXI,362093,362094,YKL040C,stable,-
chrXVI,892328,892329,YPR176C,stable,-
chrVIII,369786,369787,YHR132W-A,stable,+
chrIV,1035763,1035764,YDR287W,stable,+
chrXII,859331,859332,YLR369W,stable,+
chrXII,885013,885014,YLR383W,stable,+
chrIV,1273893,1273894,YDR402C,stable,-
chrIV,903712,903713,YDR217C,stable,-
chrXI,437478,437479,YKL002W,stable,+
chrXIII,230989,230990,YML021C,stable,-
chrIX,202301,202302,YIL085C,stable,-
chrVII,1061895,1061896,YGR284C,stable,-
chrV,390404,390405,YER113C,stable,-
chrIV,219593,219594,YDL135C,stable,-
chrXV,296451,296452,YOL016C,stable,-
chrXII,111853,111854,YLL018C,stable,-
chrXIV,685681,685682,YNR032W,stable,+
chrIV,312916,312917,YDL080C,stable,-
chrXIV,346302,346303,YNL153C,stable,-
chrVII,843579,843580,YGR173W,stable,+
chrXIV,672185,672186,YNR024W,stable,+
chrXIV,370382,370383,YNL137C,stable,-
chrXVI,828418,828419,YPR148C,stable,-
chrXII,849317,849318,YLR361C,stable,-
chrXIII,795545,795546,YMR264W,stable,+
chrII,686849,686850,YBR234C,stable,-
chrV,43047,43048,YEL058W,stable,+
chrXIV,164590,164591,YNL257C,stable,-
chrXI,191732,191733,YKL134C,stable,-
chrVII,165385,165386,YGL179C,stable,-
chrXII,439893,439894,YLR150W,stable,+
chrIV,486763,486764,YDR020C,stable,-
chrII,122358,122359,YBL052C,stable,-
chrXIII,494068,494069,YMR111C,stable,-
chrXVI,670888,670889,YPR056W,stable,+
chrVII,581674,581675,YGR043C,stable,-
chrXII,136577,136578,YLL007C,stable,-
chrXVI,713276,713277,YPR088C,stable,-
chrXII,982522,982523,YLR425W,stable,+
chrXVI,37941,37942,YPL267W,stable,+
chrVII,494215,494216,YGL002W,stable,+
chrXII,845805,845806,YLR360W,stable,+
chrIV,454977,454978,YDR004W,stable,+
chrXV,757853,757854,YOR221C,stable,-
chrXI,476108,476109,YKR018C,stable,-
chrVI,196337,196338,YFR022W,stable,+
chrXIV,60043,60044,YNL304W,stable,+
chrXIV,60043,60044,YNL305C,stable,-
chrIII,252606,252607,YCR079W,stable,+
chrXII,941231,941232,YLR411W,stable,+
chrXIII,327257,327258,YMR028W,stable,+
chrXI,144184,144185,YKL163W,stable,+
chrIV,407597,407598,YDL025C,stable,-
chrXVI,667383,667384,YPR055W,stable,+
chrVII,496770,496771,YGL001C,stable,-
chrVIII,354549,354550,YHR123W,stable,+
chrXVI,895989,895990,YPR179C,stable,-
chrII,495617,495618,YBR129C,stable,-
chrXVI,681925,681926,YPR067W,stable,+
chrXII,541736,541737,YLR194C,stable,-
chrXVI,427681,427682,YPL065W,stable,+
chrIV,1093558,1093559,YDR316W,stable,+
chrVII,349398,349399,YGL085W,stable,+
chrXIII,523406,523407,YMR128W,stable,+
chrXIII,720874,720875,YMR224C,stable,-
chrX,491108,491109,YJR031C,stable,-
chrXI,521690,521691,YKR044W,stable,+
chrVII,858020,858021,YGR181W,stable,+
chrI,52876,52877,YAL049C,stable,-
chrXVI,267543,267544,YPL150W,stable,+
chrIV,604014,604015,YDR079C-A,stable,-
chrXII,398536,398537,YLR127C,stable,-
chrXI,437730,437731,YKL003C,stable,-
chrXIII,610526,610527,YMR174C,stable,-
chrXVI,747058,747059,YPR111W,stable,+
chrXVI,747058,747059,YPR110C,stable,-
chrI,138641,138642,YAL007C,stable,-
chrXI,5947,5948,YKL222C,stable,-
chrXIV,266900,266901,YNL199C,stable,-
chrIV,578333,578334,YDR063W,stable,+
chrXVI,607581,607582,YPR022C,stable,-
chrXIV,264753,264754,YNL200C,stable,-
chrXV,267913,267914,YOL030W,stable,+
chrVII,924693,924694,YGR216C,stable,-
chrIV,458477,458478,YDR005C,stable,-
chrIV,1403004,1403005,YDR472W,stable,+
chrXIII,571154,571155,YMR156C,stable,-
chrVIII,177976,177977,YHR035W,stable,+
chrXII,246945,246946,YLR052W,stable,+
chrVII,58861,58862,YGL233W,stable,+
chrI,177349,177350,YAR020C,stable,-
chrX,224761,224762,YJL105W,stable,+
chrXVI,135470,135471,YPL220W,stable,+
chrXIII,58897,58898,YML105C,stable,-
chrII,366801,366802,YBR062C,stable,-
chrXIV,28555,28556,YNL326C,stable,-
chrXI,483164,483165,YKR023W,stable,+
chrIV,690790,690791,YDR119W-A,stable,+
chrXV,474409,474410,YOR080W,stable,+
chrI,82527,82528,YAL033W,stable,+
chrXIII,413121,413122,YMR073C,stable,-
chrXVI,740062,740063,YPR105C,stable,-
chrIX,203500,203501,YIL084C,stable,-
chrXIV,57907,57908,YNL307C,stable,-
chrXIV,57907,57908,YNL306W,stable,+
chrVIII,242263,242264,YHR073W,stable,+
chrVII,337581,337582,YGL092W,stable,+
chrXVI,143432,143433,YPL217C,stable,-
chrIX,423116,423117,YIR036C,stable,-
chrXIII,544976,544977,YMR138W,stable,+
chrXI,47938,47939,YKL207W,stable,+
chrVII,140401,140402,YGL194C-A,stable,-
chrIV,351214,351215,YDL057W,stable,+
chrVIII,141681,141682,YHR018C,stable,-
chrXVI,299798,299799,YPL134C,stable,-
chrVII,911881,911882,YGR207C,stable,-
chrII,583416,583417,YBR176W,stable,+
chrXV,747538,747539,YOR215C,stable,-
chrXIII,460779,460780,YMR097C,stable,-
chrIV,295020,295021,YDL091C,stable,-
chrXII,694117,694118,YLR275W,stable,+
chrVIII,386933,386934,YHR143W-A,stable,+
chrX,231302,231303,YJL103C,stable,-
chrXIV,635532,635533,YNR003C,stable,-
chrXVI,725190,725191,YPR095C,stable,-
chrXV,44691,44692,YOL149W,stable,+
chrII,494333,494334,YBR128C,stable,-
chrXI,478116,478117,YKR020W,stable,+
chrV,567877,567878,YER188W,stable,+
chrXI,286308,286309,YKL079W,stable,+
chrVIII,499104,499105,YHR199C,stable,-
chrXVI,840186,840187,YPR156C,stable,-
chrXIII,712052,712053,YMR220W,stable,+
chrIII,266926,266927,YCR089W,stable,+
chrXV,474633,474634,YOR079C,stable,-
chrX,335620,335621,YJL053W,stable,+
chrXV,786880,786881,YOR241W,stable,+
chrVI,82284,82285,YFL026W,stable,+
chrVII,502674,502675,YGR004W,stable,+
chrXI,200463,200464,YKL129C,stable,-
chrXII,346212,346213,YLR103C,stable,-
chrXV,24613,24614,YOL157C,stable,-
chrXV,386523,386524,YOR030W,stable,+
chrV,337910,337911,YER089C,stable,-
chrIV,848148,848149,YDR194C,stable,-
chrIV,848148,848149,YDR195W,stable,+
chrXIV,687680,687681,YNR032C-A,stable,-
chrVIII,56393,56394,YHL024W,stable,+
chrXIII,271865,271866,YMR002W,stable,+
chrXVI,316497,316498,YPL124W,stable,+
chrIV,1339398,1339399,YDR439W,stable,+
chrII,792587,792588,YBR295W,stable,+
chrIV,1039769,1039770,YDR289C,stable,-
chrX,191278,191279,YJL121C,stable,-
chrII,623220,623221,YBR201W,stable,+
chrXV,944340,944341,YOR334W,stable,+
chrII,739591,739592,YBR267W,stable,+
chrXIII,777567,777568,YMR253C,stable,-
chrX,165576,165577,YJL131C,stable,-
chrII,462147,462148,YBR111C,stable,-
chrVIII,107496,107497,YHR001W-A,stable,+
chrXIV,330357,330358,YNL163C,stable,-
chrXV,847117,847118,YOR283W,stable,+
chrXII,1024916,1024917,YLR446W,stable,+
chrVIII,417518,417519,YHR158C,stable,-
chrXV,73881,73882,YOL130W,stable,+
chrXII,1022261,1022262,YLR443W,stable,+
chrVI,80444,80445,YFL028C,stable,-
chrX,272802,272803,YJL087C,stable,-
chrXII,433692,433693,YLR146W-A,stable,+
chrVI,112092,112093,YFL011W,stable,+
chrV,188043,188044,YER016W,stable,+
chrXV,633826,633827,YOR159C,stable,-
chrIV,159296,159297,YDL168W,stable,+
chrXV,401349,401350,YOR037W,stable,+
chrVII,73142,73143,YGL226W,stable,+
chrXI,524220,524221,YKR045C,stable,-
chrVII,48391,48392,YGL240W,stable,+
chrXV,310131,310132,YOL008W,stable,+
chrVI,241669,241670,YFR044C,stable,-
chrVIII,516704,516705,YHR207C,stable,-
chrXVI,410339,410340,YPL077C,stable,-
chrVII,418614,418615,YGL041W-A,stable,+
chrIV,74097,74098,YDL215C,stable,-
chrIV,423753,423754,YDL018C,stable,-
chrVII,514310,514311,YGR013W,stable,+
chrXVI,544415,544416,YPL006W,stable,+
chrXII,174983,174984,YLR015W,stable,+
chrVIII,167704,167705,YHR028C,stable,-
chrIX,348716,348717,YIL004C,stable,-
chrIV,463044,463045,YDR009W,stable,+
chrXV,493136,493137,YOR091W,stable,+
chrV,121261,121262,YEL018W,stable,+
chrX,617543,617544,YJR100C,stable,-
chrXI,640577,640578,YKR100C,stable,-
chrII,670521,670522,YBR223C,stable,-
chrII,267634,267635,YBR014C,stable,-
chrXV,820757,820758,YOR266W,stable,+
chrXVI,676910,676911,YPR062W,stable,+
chrX,432427,432428,YJL003W,stable,+
chrX,432427,432428,YJL004C,stable,-
chrIV,202568,202569,YDL141W,stable,+
chrIII,44625,44626,YCL047C,stable,-
chrIV,1411864,1411865,YDR477W,stable,+
chrXI,385513,385514,YKL028W,stable,+
chrXVI,348854,348855,YPL107W,stable,+
chrXV,644565,644566,YOR164C,stable,-
chrVII,996615,996616,YGR252W,stable,+
chrIV,413804,413805,YDL021W,stable,+
chrXV,361148,361149,YOR017W,stable,+
chrIV,167507,167508,YDL161W,stable,+
chrIV,167507,167508,YDL164C,stable,-
chrV,101504,101505,YEL026W,stable,+
chrXII,290003,290004,YLR081W,stable,+
chrXIV,352277,352278,YNL145W,stable,+
chrXVI,672289,672290,YPR057W,stable,+
chrIII,105797,105798,YCL009C,stable,-
chrXIII,545674,545675,YMR139W,stable,+
chrVIII,267283,267284,YHR081W,stable,+
chrVIII,267283,267284,YHR080C,stable,-
chrVII,962335,962336,YGR235C,stable,-
chrVII,910216,910217,YGR206W,stable,+
chrXII,574203,574204,YLR218C,stable,-
chrXIII,325833,325834,YMR026C,stable,-
chrIV,125379,125380,YDL188C,stable,-
chrII,558423,558424,YBR159W,stable,+
chrXIV,378482,378483,YNL131W,stable,+
chrIII,208174,208175,YCR044C,stable,-
chrIV,22401,22402,YDL240W,stable,+
chrIX,254865,254866,YIL053W,stable,+
chrXI,213736,213737,YKL121W,stable,+
chrXVI,301329,301330,YPL132W,stable,+
chrXIII,411605,411606,YMR071C,stable,-
chrVIII,506115,506116,YHR204W,stable,+
chrVIII,453920,453921,YHR176W,stable,+
chrIV,174575,174576,YDL156W,stable,+
chrXV,40548,40549,YOL152W,stable,+
chrIII,152498,152499,YCR019W,stable,+
chrIV,268734,268735,YDL107W,stable,+
chrVI,155836,155837,YFR006W,stable,+
chrVI,42574,42575,YFL046W,stable,+
chrXIII,547417,547418,YMR140W,stable,+
chrXV,943363,943364,YOR332W,stable,+
chrX,330353,330354,YJL057C,stable,-
chrXI,161316,161317,YKL154W,stable,+
chrIV,727812,727813,YDR135C,stable,-
chrIII,274094,274095,YCR091W,stable,+
chrIV,817621,817622,YDR178W,stable,+
chrXII,675699,675700,YLR265C,stable,-
chrXVI,254485,254486,YPL158C,stable,-
chrXV,263260,263261,YOL033W,stable,+
chrXV,210524,210525,YOL063C,stable,-
chrV,272219,272220,YER059W,stable,+
chrI,158643,158644,YAR008W,stable,+
chrX,496660,496661,YJR033C,stable,-
chrXI,362260,362261,YKL039W,stable,+
chrXI,566146,566147,YKR065C,stable,-
chrV,182341,182342,YER014W,stable,+
chrXIV,640389,640390,YNR007C,stable,-
chrIX,276278,276279,YIL041W,stable,+
chrII,81011,81012,YBL078C,stable,-
chrVII,454538,454539,YGL021W,stable,+
chrVII,745500,745501,YGR126W,stable,+
chrVI,12679,12680,YFL058W,stable,+
chrXII,265203,265204,YLR064W,stable,+
chrIV,1199043,1199044,YDR362C,stable,-
chrXIII,722638,722639,YMR226C,stable,-
chrII,711764,711765,YBR245C,stable,-
