CHR|S288C|YJM975|RM11
CHR4|1431968-1434268|1399773-1400596|1367128-1367672
CHR4|1434924-1435874|1401042-1401430|1368196-1369322
CHR4|1436217-1436588|1401432-1402912|1369761-1372414
CHR4|1436930-1438015|1404512-1406337|1372966-1376786
CHR4|1438115-1441150|1406499-1406612|1377500-1379076
CHR4|1441433-1443403|1407483-1410910|1379443-1380344
CHR4|1443713-1445467|1411575-1413565|1380641-1382703
CHR4|1445843-1446994|1414521-1414825|1382929-1383494
CHR4|1447830-1450073|1415138-1415538|1383574-1384433
CHR4|1450198-1450853|1415620-1416138|1384768-1385516
CHR4|1451353-1452918|1416183-1416568|1386039-1387909
CHR4|1453310-1454464|1416677-1418127|1388204-1389384
CHR4|1455042-1455866|1418558-1419900|1390246-1391228
CHR4|1456311-1456694|1420102-1421603|1391532-1393819
CHR4|1456695-1459220|1422365-1423482|1394132-1395747
CHR4|1459728-1461554|1423738-1425290|1396016-1396485
CHR4|1461715-1461829|1425555-1425961|1396772-1397790
CHR4|1462358-1465786|1426215-1428532|1398013-1399727
CHR4|1466453-1468444|1428925-1430432|1403584-1404701
CHR4|1469400-1469705|1430697-1432168|1404938-1405569
CHR4|1470017-1470418|1432673-1434120|1406030-1406706
CHR4|1470500-1471017|1434533-1434621|1407450-1409545
CHR4|1471063-1471448|1434728-1434927|1410067-1413344
CHR4|1471548-1472999|1435035-1435363|1413667-1414988
CHR4|1473429-1474772|1435726-1435964|1415380-1416002
CHR4|1474974-1476476|1436223-1437541|1416543-1417495
CHR4|1477239-1478357|1437605-1438151|1418222-1418744
CHR4|1478608-1480161|1439706-1440976|1418969-1421741
CHR4|1480425-1480832|1441286-1441668|1422185-1423113
CHR4|1481085-1483403|1441912-1442888|1423583-1426719
CHR4|1483795-1485303|1443353-1444455|1427637-1429585
CHR4|1485566-1487038|1444517-1445673|1429883-1431537
CHR4|1487542-1488990|1446569-1447281|1431810-1432867
CHR4|1489403-1489492|1448433-1450081|
CHR4|1489905-1490234|1456034-1456761|--
CHR4|1490596-1490835|1457226-1458736|--
CHR4|1491094-1492413|1462272-1462810|--
CHR4|1492477-1493026|1464745-1465778|--
CHR4|1494586-1495857||--
CHR4|1496791-1497768|--|--
CHR4|1498232-1499335|--|--
CHR4|1499396-1500553|--|--
CHR4|1501447-1502160|--|--
CHR4|1503314-1504900|--|--
CHR4|1508005-1509714|--|--
CHR4|1510902-1511630|--|--
CHR4|1512094-1513605|--|--
CHR4|1517136-1517675|--|--
CHR4|1519664-1520698|--|--
CHR4|1523249-1523611|--|--
CHR4|1526321-1531711|--|--
CHR4||--|--
CHR5|0-264|0-780|0-3651
CHR5|4097-4185|1102-7272|3973-10141
CHR5|4464-5114|7966-9584|10835-12452
CHR5|5114-5345|11073-12807|13941-15684
CHR5|5713-7230|12808-14314|17191-17632
CHR5|7553-13720|14315-14757|19324-21742
CHR5|14415-16355|16450-18870|22073-22285
CHR5|17845-19589|19201-19413|22763-22871
CHR5|21097-21537|19891-19999|23301-23753
CHR5|23231-25646|20429-20881|25638-25893
CHR5|25978-26189|22766-23021|27334-27790
CHR5|26667-26776|24462-24918|29561-30505
CHR5|27206-27657|26689-27634|32351-32631
CHR5|29543-29797|29480-29760|35632-36141
CHR5|31239-31694|32761-33269|38047-38496
CHR5|33466-34407|35175-35624|38719-39346
CHR5|36254-36535|35847-36475|41018-41114
CHR5|39537-40046|38147-38243|41814-43263
CHR5|41953-42400|38943-40392|44467-44566
CHR5|42624-43252|41596-41695|47633-48245
CHR5|44925-45020|44762-45374|48414-48814
CHR5|45721-47168|45543-45943|49310-49994
CHR5|48373-48471|46439-47123|52194-52664
CHR5|51539-52150|49323-49793|54192-54471
CHR5|52320-52721|51321-51600|55240-55758
CHR5|53218-53901|52369-52887|56938-57440
CHR5|56102-56571|54067-54569|57520-57788
CHR5|58100-58378|54649-54915|57877-58402
CHR5|59148-59670|55004-55529|58563-59817
CHR5|60851-61352|55649-55689|60178-60797
CHR5|61433-61699|55690-56944|61254-61471
CHR5|61789-61890|57305-57924|62882-63715
CHR5|61960-63728|58381-58600|64877-65843
CHR5|64090-64709|60011-60844|66342-66564
CHR5|65167-65385|62006-62972|69433-69858
CHR5|66797-67629|63471-63692|71413-72031
CHR5|68792-69757|66561-66986|73517-74140
CHR5|70257-70478|68541-69159|75539-75720
CHR5|73348-73771|70645-71268|76060-76548
CHR5|75327-75944|72664-72845|77230-77469
CHR5|77431-78053|73185-73673|78664-79112
CHR5|79456-79636|74355-74594|80610-81104
CHR5|79977-80462|75789-76237|81603-81735
CHR5|81145-81407|77735-78229|82207-82238
CHR5|82603-83050|78728-78860|82651-82991
CHR5|84552-85045|79332-79363|85905-86312
CHR5|85545-85676|79780-80120|89958-90698
CHR5|86149-86179|83034-83441|92631-92912
CHR5|86598-86604|87087-87827|93849-94723
CHR5|86685-86937|89760-90041|95183-96828
CHR5|89852-90258|90978-91851|97309-98002
CHR5|93905-94644|92311-93315|98381-98640
CHR5|96578-96858|93315-93316|102205-103319
CHR5|97796-98668|93386-93953|103965-104563
CHR5|99129-100133|94434-95127|106610-107480
CHR5|100204-100769|95506-95765|111858-111976
CHR5|101251-101943|99330-100444|112115-112357
CHR5|102323-102581|101090-101688|112619-112813
CHR5|106147-107260|103735-104605|113180-113767
CHR5|107907-108504|108983-109351|115448-115648
CHR5|110552-111421|110153-110395|116450-116621
CHR5|115800-116167|110657-110851|117459-117947
CHR5|116970-117211|111218-111799|118077-118806
CHR5|117474-117667|113480-113680|119818-119886
CHR5|118035-118617|114482-114653|121366-121778
CHR5|120299-120498|115491-115979|123432-123452
CHR5|121301-121471|116109-116838|123756-123974
CHR5|122310-122798|117850-117918|125709-126231
CHR5|122929-123657|119398-119810|126301-126921
CHR5|124670-124737|121464-121484|127699-128271
CHR5|126218-126629|121788-122006|130384-131186
CHR5|128284-128303|123741-124263|131592-133733
CHR5|128608-128825|124333-124953|134577-135327
CHR5|130561-131082|125731-126297|135706-136707
CHR5|131153-131772|128410-129212|138709-139145
CHR5|132551-133120|129618-131759|140151-140725
CHR5|135234-135425|132603-133353|141572-141769
CHR5|135497-136371|133732-134733|142796-142994
CHR5|136778-138666|136735-137171|143416-143540
CHR5|138737-138918|138177-138751|144831-145119
CHR5|139763-140512|139598-139795|145795-148337
CHR5|140892-141892|140822-141020|150624-151618
CHR5|143892-144327|141442-141566|152312-152551
CHR5|145334-145907|142857-143145|153930-154393
CHR5|146755-146951|143821-146363|155087-155363
CHR5|147979-148176|148650-149646|157254-157536
CHR5|148599-148722|150340-150579|159097-159340
CHR5|150014-150301|151957-152420|160895-161050
CHR5|150978-153520|153114-153390|161697-162240
CHR5|155808-156803|155281-155563|162398-162621
CHR5|157498-157736|157124-157367|166630-166928
CHR5|159118-159580|158922-159077|167304-167447
CHR5|160275-160550|159724-160267|168150-170060
CHR5|162442-162723|160425-160648|170641-172611
CHR5|164285-164527|164657-164955|173206-173617
CHR5|166083-166237|165331-165474|177053-177376
CHR5|166885-167427|166177-168087|178507-178994
CHR5|167586-167808|168668-170638|179319-179477
CHR5|171818-172115|171233-171644|181552-183055
CHR5|172492-172634|175080-175403|184088-184283
CHR5|173338-175248|176534-177021|186567-186738
CHR5|176012-177099|177344-177502|187402-187575
CHR5|177170-177835|179577-181080|189007-189051
CHR5|178431-178841|182113-182308|189316-189947
CHR5|182278-182600|184592-184763|191295-191734
CHR5|183731-184219|185427-185600|193304-193596
CHR5|184541-184700|187032-187076|195658-195860
CHR5|186775-188277|187341-187972|196719-196976
CHR5|189311-189503|189320-189752|199746-200035
CHR5|191788-191959|191322-191614|201617-202769
CHR5|192624-192797|193676-193878|203598-204105
CHR5|194230-194273|194737-194994|205357-205818
CHR5|194539-195168|197764-198053|207001-207713
CHR5|196517-196948|199635-200501|208302-208563
CHR5|198519-198812|200571-200572|209007-209220
CHR5|200875-201076|200572-200787|209890-210207
CHR5|201936-202192|201616-202123|212836-213201
CHR5|204963-205251|203375-203836|216430-216988
CHR5|206834-207357|205019-205731|217544-217780
CHR5|207428-207644|206320-206581|218216-218508
CHR5|208474-208979|207025-207247|220339-221049
CHR5|210232-210692|207917-208234|222013-222018
CHR5|211876-212587|210863-211229|223411-223611
CHR5|213177-213437|214458-215019|223616-223990
CHR5|213898-214076|215575-215811|224364-224423
CHR5|214747-215063|216247-216540|224640-224955
CHR5|217693-218057|218371-219073|227146-227621
CHR5|221287-221846|220037-220042|229899-230099
CHR5|222403-222639|221435-221635|230652-230932
CHR5|223076-223367|221640-222014|232280-232732
CHR5|225199-225889|222388-222447|233177-233624
CHR5|226854-226858|222664-222979|234937-235196
CHR5|228252-228451|225170-225645|236664-238335
CHR5|228456-228831|227923-228123|238765-238951
CHR5|229205-229263|228676-228956|241643-242124
CHR5|229481-229795|230304-230756|243298-245537
CHR5|231987-232461|231201-231648|245820-246546
CHR5|234740-234937|232961-233220|248479-248789
CHR5|235491-235770|234688-236359|249201-249474
CHR5|237119-237570|236789-236987|250951-251186
CHR5|238016-238460|239679-240160|252767-253550
CHR5|239774-240032|241334-243573|254451-255754
CHR5|241501-243180|243856-244582|255866-256873
CHR5|243611-243810|246515-246825|258518-259712
CHR5|246503-246982|247240-247510|260604-261332
CHR5|248157-250286|248987-249222|262932-264241
CHR5|250357-250718|250803-251584|265005-265557
CHR5|251002-251728|252485-253788|265945-266588
CHR5|253662-253971|253900-254914|266910-267443
CHR5|254387-254656|256559-257753|268704-269385
CHR5|256134-256375|258645-259374|270970-271390
CHR5|257958-258737|260974-262285|272981-273116
CHR5|259639-260933|263049-263601|274443-274748
CHR5|261046-262052|263989-264632|275499-276528
CHR5|263698-264892|264954-265488|277183-277523
CHR5|265785-266512|266749-267431|279039-280037
CHR5|268113-269423|269016-269436|281709-285038
CHR5|270185-270737|271027-271162|285593-286861
CHR5|271126-271768|272489-272794|287345-287845
CHR5|272091-272624|273545-274574|289607-290205
CHR5|273886-274567|275229-275569|292795-293745
CHR5|276153-276572|277085-278086|296410-296742
CHR5|278164-278298|279758-281286|297121-297601
CHR5|279626-279930|281286-281287|297989-298825
CHR5|280682-281710|281367-283086|300386-301117
CHR5|282366-282705|283642-284910|301989-302447
CHR5|284222-285241|285394-285894|302913-303203
CHR5|286914-288443|287656-288254|305988-307380
CHR5|288524-290242|290844-291794|308287-309324
CHR5|290799-292066|294459-294791|311389-311597
CHR5|292551-293050|295170-295650|313131-313436
CHR5|294813-295410|296038-296874|313599-313710
CHR5|298001-298950|298435-299166|314341-314753
CHR5|301616-301947|300038-300496|316635-317002
CHR5|302327-302806|300962-301252|317476-317551
CHR5|303195-304030|304037-305766|318884-319062
CHR5|305592-306323|306673-307710|320725-320964
CHR5|307196-307653|309775-309983|321820-321855
CHR5|308123-308413|311517-311822|322240-322409
CHR5|311199-312023|311985-312096|322929-323266
CHR5|312095-312590|312727-313139|324995-325365
CHR5|313498-314534|315021-315388|327094-327371
CHR5|316600-316807|315862-315937|327618-327964
CHR5|318342-318646|317270-317448|329975-330697
CHR5|318810-318920|319111-319350|332090-332700
CHR5|319552-319963|320206-320241|334222-334615
CHR5|321846-322212|320626-320795|336917-337606
CHR5|322686-322762|321315-321652|337982-338071
CHR5|324095-324272|323381-323751|342362-342663
CHR5|325936-326174|325480-325757|343150-343480
CHR5|327031-327065|326004-326350|344096-344729
CHR5|327451-327619|328361-329082|345930-346447
CHR5|328140-328477|330475-331085|347984-350218
CHR5|330207-330576|332607-333000|352481-352856
CHR5|332306-332582|335302-335992|353811-354310
CHR5|332830-333176|336368-336457|355061-355250
CHR5|335188-335946|340748-341049|356541-357846
CHR5|337340-337949|341536-341866|358447-359335
CHR5|339472-339864|342482-343116|361262-361548
CHR5|342167-342855|344317-344834|362173-362584
CHR5|343232-343320|346371-348605|366758-367074
CHR5|347612-347912|350868-351243|367981-368196
CHR5|348400-348729|352198-352697|369292-373507
CHR5|349346-349980|353448-353637|376847-377344
CHR5|351182-351698|354928-356233|380624-381981
CHR5|353236-354934|356834-357722|382543-382681
CHR5|355005-355466|359649-359935|384800-385338
CHR5|357730-358105|360560-360971|388459-389039
CHR5|359061-359562|365145-365461|389613-390094
CHR5|360314-360502|366368-366583|390917-391514
CHR5|361794-363100|367679-371895|392397-392697
CHR5|363702-364589|375235-375726|393799-394241
CHR5|366517-366802|379006-380363|395586-395879
CHR5|367428-367838|380925-381063|396612-397119
CHR5|372013-372326|383182-383721|397462-397615
CHR5|373234-373448|386842-387422|399095-399554
CHR5|374545-378762|387996-388477|401127-402081
CHR5|382103-382595|389300-389898|403801-404928
CHR5|385876-387232|390781-391081|407356-408132
CHR5|387795-387932|392183-392625|408916-409219
CHR5|390052-390590|393970-394263|410291-410597
CHR5|393712-394292|394996-395503|411207-412019
CHR5|394867-395348|395846-395999|415446-415853
CHR5|396172-396769|397479-397941|417183-418687
CHR5|397653-397952|399514-400469|419045-419433
CHR5|399055-399496|402189-403316|419617-419923
CHR5|400842-401135|405744-406520|425183-425865
CHR5|401869-402375|407304-407607|425955-426893
CHR5|402719-402871|408679-408985|428355-431665
CHR5|404352-404813|409595-410407|432200-432350
CHR5|406387-407342|413834-414241|432741-434012
CHR5|409063-410189|415571-417075|435366-435769
CHR5|412618-413394|417433-417821|436214-436383
CHR5|414179-414481|418005-418311|436903-438693
CHR5|415554-415859|423571-424252|439372-439695
CHR5|416470-417281|424342-425279|441364-441589
CHR5|420709-421115|426741-428728|443048-443276
CHR5|422446-423952|428728-428768|444165-444449
CHR5|424311-424698|428768-430051|445734-445936
CHR5|424883-425188|430586-430736|448352-448657
CHR5|430449-431129|431127-431481|449870-450534
CHR5|431220-432495|431482-431553|450732-450969
CHR5|433958-434541|431554-432398|451012-451112
CHR5|434612-435752|433752-434155|452985-453447
CHR5|435824-437267|434600-434769|454168-454352
CHR5|437803-437952|435289-436327|455613-456514
CHR5|438344-438700|436430-437416|456959-457830
CHR5|438773-439616|438095-438418|460567-460801
CHR5|440971-441373|440087-440312|462131-462185
CHR5|441819-441987|441771-441999|462948-463164
CHR5|442508-443202|442888-443172|464371-464489
CHR5|443275-443756|444457-444659|470991-471470
CHR5|447702-449024|447075-447380|472485-472933
CHR5|449024-449474|448593-449239|475337-477001
CHR5|449578-450563|449437-449674|478721-479674
CHR5|451243-451565|449717-449820|480101-481760
CHR5|453235-453459|451693-452155|482760-483043
CHR5|454919-455146|452876-453060|485306-485497
CHR5|456036-456319|454321-455222|486194-487804
CHR5|457605-457806|455667-456538|492209-492786
CHR5|460223-460526|459275-459509|494518-495157
CHR5|461740-462386|460839-460893|499871-500620
CHR5|462585-462823|461656-461872|503174-503419
CHR5|462866-462968|463079-463197|505058-505759
CHR5|464842-465303|469699-470178|508148-508364
CHR5|466025-466208|471193-471641|509041-509473
CHR5|467470-468370|474045-475710|511814-511927
CHR5|468816-469457|477430-478383|518414-518694
CHR5|469530-469686|478810-480468|520672-520828
CHR5|472424-472657|481468-481751|521561-521858
CHR5|473988-474041|484014-484205|522756-523044
CHR5|474805-475020|484902-486512|523207-524083
CHR5|476228-476345|490917-491493|527447-527996
CHR5|482848-483325|493225-493864|528798-529202
CHR5|484341-484788|498578-499327|530463-530805
CHR5|487193-487331|501881-502126|531900-532108
CHR5|487402-488857|503765-504467|532910-533249
CHR5|490578-491530|506856-507072|533505-533859
CHR5|491958-492352|507749-508181|534181-534911
CHR5|492424-492856|510516-510629|535644-535720
CHR5|496802-498124|517116-517396|536354-538692
CHR5|498124-499347|519374-519530|541075-541850
CHR5|500348-500630|520263-520560|542760-544101
CHR5|502894-503084|521458-521745|545019-548635
CHR5|503782-505392|521908-522784|549059-1436042
CHR5|509798-510373|526148-526702|
CHR5|517459-518216|529169-529510|--
CHR5|520771-521029|530605-530813|--
CHR5|522669-523369|531615-531954|--
CHR5|525759-525974|532210-532564|--
CHR5|526651-527082|532886-533616|--
CHR5|529418-529530|534349-534425|--
CHR5|536021-536300|535059-537397|--
CHR5|538279-538434|539780-540555|--
CHR5|539168-539464|541465-542805|--
CHR5|540363-540650|543725-547335|--
CHR5|540814-541690|547757-549210|--
CHR5|545055-545611|549649-549652|--
CHR5|546414-546817|549882-549883|--
CHR5|548079-548421|550266-550267|--
CHR5|549517-549724|550310-1468401|--
CHR5|550527-550865||--
CHR5|551358-551473|--|--
CHR5|551796-552525|--|--
CHR5|553259-553334|--|--
CHR5|553969-556296|--|--
CHR5|558680-559454|--|--
CHR5|560365-561705|--|--
CHR5|562625-566230|--|--
CHR5|566655-569608|--|--
CHR5|569907-571155|--|--
CHR5|571480-571523|--|--
CHR5|575680-576162|--|--
CHR5|576525-1531933|--|--
CHR5||--|--
CHR6|0-53|0-631|0-3592
CHR6|535-836|1082-3567|3592-4993
CHR6|1363-1437|6142-7099|4993-12026
CHR6|2615-3030|8969-9139|12477-14963
CHR6|3322-3338|10475-10717|17538-18495
CHR6|3846-6426|12860-13111|20363-20533
CHR6|7565-9545|13733-13924|21869-22111
CHR6|10222-10301|14687-14950|24254-24505
CHR6|10969-11363|15854-16015|25127-25318
CHR6|12259-12929|18038-19031|26081-26344
CHR6|13951-17004|19221-19436|27248-27409
CHR6|18680-20847|21303-21648|29432-30425
CHR6|22787-23423|23269-23558|30615-30830
CHR6|25198-28232|24993-25664|32697-33041
CHR6|29629-30058|26283-26634|34662-34951
CHR6|30540-33272|28006-28113|36386-37057
CHR6|35848-36803|28806-29068|37676-38028
CHR6|38674-38843|33122-33310|39400-39507
CHR6|40180-40421|34287-34538|40199-40461
CHR6|42565-42815|35226-35771|44515-44699
CHR6|43438-43628|38991-39407|45676-45927
CHR6|44392-44655|44727-45494|46615-47161
CHR6|45560-45720|46457-47153|50381-50795
CHR6|47744-48734|48309-48375|56115-56882
CHR6|48925-49139|49480-49664|57844-58540
CHR6|51007-51350|50532-50739|59696-59760
CHR6|52972-53260|52231-52900|60865-61049
CHR6|54696-55366|54194-54467|61917-62123
CHR6|55986-56336|57555-58168|63615-64284
CHR6|57709-57815|60695-61337|65578-65851
CHR6|58521-58782|63729-63853|68939-69552
CHR6|62837-63016|65363-66321|72064-72706
CHR6|63993-64243|67866-69607|75098-75222
CHR6|64932-65477|69974-70628|76732-77690
CHR6|68698-69115|70974-72343|79235-80977
CHR6|74427-75179|73841-74417|81344-81998
CHR6|76147-76831|74649-74697|82344-83368
CHR6|77988-78055|75175-75409|84866-85442
CHR6|79161-79344|76943-77178|85674-85722
CHR6|80213-80419|77665-77961|86200-86427
CHR6|81912-82580|78289-78566|87961-88196
CHR6|83875-84145|80643-81361|88683-88979
CHR6|87234-87847|81806-83057|89307-89584
CHR6|90345-90986|84696-85702|91661-92379
CHR6|93376-93499|85842-85879|92824-94077
CHR6|95010-95966|86424-86827|95716-96722
CHR6|97498-99231|89165-90108|96862-96899
CHR6|99599-100252|93784-94158|97444-97847
CHR6|100605-101376|100588-101015|100185-101128
CHR6|101478-101628|101661-101742|104804-105178
CHR6|103127-103699|102184-102492|111608-112035
CHR6|103932-103983|104977-105203|112681-112762
CHR6|104462-104701|107838-108167|113204-113512
CHR6|106236-106469|108167-108168|115997-116223
CHR6|106963-107256|108168-108239|118858-120026
CHR6|107585-107852|108239-108240|121845-122044
CHR6|109930-110647|108240-109006|123371-124025
CHR6|111093-112345|110825-111024|124638-124930
CHR6|113985-114990|112351-113005|127448-127571
CHR6|115108-115274|113618-113910|128037-128307
CHR6|115743-116145|116428-116551|129226-129441
CHR6|118484-119429|117017-117287|130786-131056
CHR6|123106-123479|118206-118421|132662-134213
CHR6|129910-130334|119766-120035|135273-135453
CHR6|130981-131061|121641-121808|136114-137407
CHR6|131503-131810|121808-121898|139664-139986
CHR6|134296-134521|121898-123192|141484-141665
CHR6|137157-137486|124252-124432|142176-142806
CHR6|137559-138204|125093-126386|143388-144119
CHR6|138204-139520|128643-128966|144204-144809
CHR6|143517-145114|130464-130645|147171-147423
CHR6|146934-147131|131156-131333|148762-149143
CHR6|148459-149110|131420-131421|151268-152901
CHR6|149724-150016|131421-131785|155495-157027
CHR6|152535-152657|132367-133098|157613-157896
CHR6|153124-153393|133183-133788|158986-159267
CHR6|154313-154527|136150-136402|166081-167468
CHR6|155873-156145|137741-138125|168165-169542
CHR6|157752-157916|140250-141883|171043-171563
CHR6|158007-159299|144481-146013|173763-174030
CHR6|160360-160535|146599-146882|174541-174603
CHR6|161200-162228|147972-148253|176437-176689
CHR6|162298-162488|155067-156454|178161-178472
CHR6|164746-165067|157151-158528|179478-180189
CHR6|166566-166746|160029-160549|180518-181179
CHR6|167258-167437|162749-163016|186494-187681
CHR6|167525-167888|163527-163589|188525-188644
CHR6|168496-169224|165423-165675|190298-191137
CHR6|169310-169922|167147-167458|193172-193512
CHR6|172285-172537|168464-169175|196618-196794
CHR6|173877-174265|169505-170701|200305-200707
CHR6|176391-177042|171545-171664|201617-201914
CHR6|180743-180974|173318-174167|202165-202289
CHR6|181044-182274|176202-176542|203157-203457
CHR6|182861-183131|179648-179824|203635-203909
CHR6|184222-184502|183335-183737|204171-204525
CHR6|191338-191513|184647-184944|204967-205219
CHR6|191613-192737|185195-185319|206156-206320
CHR6|193435-194812|186187-186487|206660-207169
CHR6|196314-196833|186665-186939|207542-207710
CHR6|199034-199299|187201-187555|209382-209577
CHR6|199813-199874|187997-188249|212137-212209
CHR6|201709-201960|189186-189350|213725-214424
CHR6|203433-203743|189690-190200|217434-217557
CHR6|204750-204924|190573-190744|218443-218647
CHR6|204996-205748|192416-192611|219248-219303
CHR6|206257-207452|195171-195243|220015-220181
CHR6|208297-208413|196759-197458|221625-222189
CHR6|210068-210619|200468-200591|223190-223266
CHR6|210707-210937|201477-201681|224350-224471
CHR6|212973-213312|202282-202337|225357-226339
CHR6|216419-216594|203049-203215|228326-228716
CHR6|220106-220507|204659-205223|229086-229259
CHR6|221418-221714|206224-206300|230058-230356
CHR6|221967-222090|207384-207505|231995-232698
CHR6|222959-223258|208391-209372|233521-233784
CHR6|223437-223710|211359-211749|235240-239047
CHR6|223973-224326|212119-212292|239624-244396
CHR6|224769-225020|213091-213389|245417-249257
CHR6|225958-226121|215028-215731|249711-251675
CHR6|226465-226688|216554-216818|252400-252401
CHR6|226760-226963|218274-222081|253279-253594
CHR6|227337-227513|222658-227431|254037-254292
CHR6|229186-229380|228452-232288|254292-552808
CHR6|231941-232012|232742-550310|
CHR6|238255-238458|--|--
CHR6|239060-239114|--|--
CHR6|239827-239992|--|--
CHR6|241437-241998|--|--
CHR6|242999-243074|--|--
CHR6|244159-244279|--|--
CHR6|245166-246146|--|--
CHR6|248134-248523|--|--
CHR6|248894-249066|--|--
CHR6|249866-250163|--|--
CHR6|251803-252505|--|--
CHR6|253329-253592|--|--
CHR6|255049-258855|--|--
CHR6|259433-264204|--|--
CHR6|265226-269061|--|--
CHR6|269516-576874|--|--
CHR6||--|--
CHR7|0-2790|0-2216|0-20284
CHR7|3932-5312|3358-4739|22132-24181
CHR7|5839-6290|5265-5716|25601-26915
CHR7|6652-6860|5717-5844|28683-30963
CHR7|7090-8470|6077-6078|32089-32754
CHR7|8967-9162|6078-8662|34054-34317
CHR7|9395-11110|8893-10612|35248-35867
CHR7|11730-12481|11231-11991|36891-37183
CHR7|14157-15159|13666-14669|38123-38649
CHR7|16307-20978|15816-20499|43081-44181
CHR7|22108-22304|21622-21819|44995-45945
CHR7|23203-23935|22717-23454|47104-47506
CHR7|25395-25718|24913-25235|49213-49384
CHR7|27484-27921|27000-27438|50300-50465
CHR7|31636-31910|31152-31427|52125-52198
CHR7|32635-33098|32151-32615|52670-52852
CHR7|33109-35013|32626-34529|56051-56708
CHR7|35212-35653|34728-35170|57231-57446
CHR7|36762-36933|36278-36450|58146-58253
CHR7|37526-37617|37042-37134|64155-64438
CHR7|38780-39023|38296-38540|68576-69294
CHR7|41149-41498|40665-41015|69889-70212
CHR7|43174-43307|42690-42823|70942-71186
CHR7|44509-44652|44023-44169|73290-74094
CHR7|45197-45445|44713-44963|76348-76706
CHR7|48459-48613|47976-48131|77979-78185
CHR7|49365-49552|48882-49069|78969-79194
CHR7|52434-52731|51950-52245|81622-81855
CHR7|53528-53787|53043-53302|83458-85166
CHR7|55279-55796|54794-55310|88260-88627
CHR7|55815-56482|55329-55999|89726-89830
CHR7|58890-59122|58406-58639|91307-91972
CHR7|61854-62075|61370-61592|93410-93694
CHR7|63002-63048|62518-62565|95006-96796
CHR7|63620-63772|63136-63289|97577-97748
CHR7|64215-64503|63731-64020|99066-99707
CHR7|66959-67598|66475-67115|100296-102417
CHR7|69331-69671|68847-69210|104761-106516
CHR7|72547-72749|72085-72288|107885-109209
CHR7|73158-73340|72696-72877|109975-110267
CHR7|73711-73829|73247-77110|110985-111680
CHR7|73902-76894|78122-78230|113469-113885
CHR7|77907-78015|79071-79308|116187-116634
CHR7|78857-79112|80560-80832|117916-118177
CHR7|80365-80659|81358-81599|118616-119372
CHR7|81186-81426|82464-82547|121077-121176
CHR7|82292-82374|82908-83051|121375-122219
CHR7|82736-82878|84429-85062|125181-125900
CHR7|84257-84885|87478-88160|126765-127267
CHR7|87302-87981|89516-90232|129914-130299
CHR7|89339-90054|91424-91610|132655-133137
CHR7|91247-91432|92559-92692|133423-133893
CHR7|92382-92512|93770-93972|134593-134851
CHR7|93591-93792|94639-96038|136049-137739
CHR7|94460-95858|97185-97518|141271-141300
CHR7|97006-97338|98764-99152|141981-142470
CHR7|98585-98969|102258-102728|143401-143643
CHR7|102076-102543|107688-108344|144055-145053
CHR7|107504-108158|110589-111302|146569-146941
CHR7|110404-110625|111606-112078|148517-148919
CHR7|110696-111700|114290-115690|150792-151291
CHR7|112005-112475|117191-117485|153131-153723
CHR7|114664-115488|120528-122316|155068-155134
CHR7|115583-116059|122926-123213|156014-156266
CHR7|117561-117854|123919-124320|156266-156443
CHR7|120907-122269|128782-129505|156478-156946
CHR7|122341-122694|130790-131147|158813-159055
CHR7|123305-123591|139158-139341|159863-160143
CHR7|124298-124698|139582-139955|163396-164750
CHR7|129161-129883|141312-141485|170868-171103
CHR7|131169-131525|141503-141811|172931-173058
CHR7|139543-139719|141831-143632|173389-173777
CHR7|139961-140368|143700-144393|174990-176100
CHR7|141726-141898|144781-145390|177052-177119
CHR7|141916-142227|146969-147808|178524-178864
CHR7|142246-144048|148166-148403|180323-180827
CHR7|144120-144808|148542-149283|182061-182338
CHR7|145197-145809|149749-150616|182651-182753
CHR7|147389-148229|152354-152746|183681-183937
CHR7|148588-148824|153884-154194|184721-184828
CHR7|148964-149704|155590-156124|185132-185468
CHR7|150171-151037|156865-157487|186339-186377
CHR7|152776-153167|158622-159664|186489-186776
CHR7|154306-154615|162356-163008|189615-189867
CHR7|156012-156543|164689-166957|190312-190803
CHR7|157285-157906|170174-171018|192076-192354
CHR7|159096-160065|172681-172887|193030-193281
CHR7|162758-163409|173923-174147|195646-195770
CHR7|165091-167352|174946-175129|198048-198405
CHR7|170571-171415|179714-180304|200857-201413
CHR7|173079-173285|181721-181994|203055-203367
CHR7|174322-174545|183687-183757|205819-205931
CHR7|175345-175527|184997-185662|206670-207682
CHR7|180113-180700|186941-187034|209483-209814
CHR7|182118-182390|187186-187365|211045-211745
CHR7|184084-184153|190037-190698|212742-213328
CHR7|185394-185714|191374-191547|215138-217367
CHR7|185786-186059|192868-193277|218365-220400
CHR7|187339-187464|195972-197682|223464-224093
CHR7|187616-187796|198580-198754|225276-225530
CHR7|190468-191129|199685-200105|227736-227991
CHR7|191806-191978|201816-202265|229174-229758
CHR7|193300-193707|203376-204848|235609-236034
CHR7|196403-198138|204887-206916|236446-236906
CHR7|199037-199210|208453-208909|237222-239210
CHR7|200142-200561|209951-210319|240246-240617
CHR7|202273-202721|213569-213983|241836-242296
CHR7|203833-205521|215112-215179|244463-245075
CHR7|205634-207033|215996-216174|246681-247085
