Chromosome_Name,strand,feature_type,gene_class,husinga_classification,systematic_id,common_name,NFR/NDR_Start,NFR/NDR_End,NFR/NDR_Length,nucleosome_stability,TATA_type
CHR14,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YNL090W_NFR/NDR,RHO2,456120.0,456459.0,339.0,fragile,TATA_like
CHR16,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YPR165W_NFR/NDR,RHO1,874836.0,875196.0,360.0,stable,TATA_like
CHR7,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YGR080W_NFR/NDR,TWF1,641762.0,642026.0,264.0,stable,TATA_like
CHR2,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YBL031W_NFR/NDR,SHE1,161273.0,161723.0,450.0,stable,TATA_like
CHR4,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YDR480W_NFR/NDR,DIG2,1417122.0,1417361.0,239.0,stable,TATA_like
CHR16,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YPL232W_NFR/NDR,SSO1,106731.0,107159.0,428.0,nan,TATA_like
CHR5,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YER100W_NFR/NDR,UBC6,359042.0,359288.0,246.0,stable,TATA_like
CHR10,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YJR105W_NFR/NDR,ADO1,623256.0,623595.0,339.0,fragile,TATA_like
CHR2,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YBR290W_NFR/NDR,BSD2,782326.0,782631.0,305.0,stable,TATA_box
CHR12,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YLR439W_NFR/NDR,MRPL4,1014192.0,1014496.0,304.0,stable,TATA_like
CHR3,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YCR036W_NFR/NDR,RBK1,192993.0,193333.0,340.0,stable,TATA_like
CHR11,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YKL094W_NFR/NDR,YJU3,263120.0,263383.0,263.0,stable,TATA_box
CHR15,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YOR262W_NFR/NDR,GPN2,817007.0,817279.0,272.0,stable,TATA_like
CHR7,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YGR017W_NFR/NDR,nan,523377.0,523666.0,289.0,stable,TATA_like
CHR12,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YLR007W_NFR/NDR,NSE1,164028.0,164415.0,387.0,fragile,TATA_box
CHR14,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YNL312W_NFR/NDR,RFA2,47993.0,48301.0,308.0,fragile,TATA_like
CHR3,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YCL034W_NFR/NDR,LSB5,61395.0,61663.0,268.0,stable,TATA_box
CHR14,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YNL141W_NFR/NDR,AAH1,359218.0,359544.0,326.0,fragile,TATA_like
CHR2,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YBL050W_NFR/NDR,SEC17,124776.0,125094.0,318.0,fragile,TATA_like
CHR4,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YDR347W_NFR/NDR,MRP1,1168797.0,1169119.0,322.0,fragile,TATA_like
CHR11,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YKR030W_NFR/NDR,GMH1,499808.0,500034.0,226.0,stable,TATA_box
CHR16,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YPL266W_NFR/NDR,DIM1,38809.0,39110.0,301.0,stable,TATA_like
CHR16,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YPL001W_NFR/NDR,HAT1,554335.0,554605.0,270.0,stable,TATA_like
CHR7,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YGL115W_NFR/NDR,SNF4,291681.0,291961.0,280.0,stable,TATA_like
CHR12,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YLR063W_NFR/NDR,BMT6,263789.0,264274.0,485.0,nan,TATA_like
CHR13,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YML119W_NFR/NDR,nan,30278.0,30560.0,282.0,stable,TATA_like
CHR13,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YML106W_NFR/NDR,URA5,56229.0,56547.0,318.0,fragile,TATA_like
CHR2,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YBR187W_NFR/NDR,GDT1,602196.0,602556.0,360.0,fragile,TATA_like
CHR5,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YER004W_NFR/NDR,FMP52,159112.0,159376.0,264.0,stable,TATA_like
CHR16,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YPR129W_NFR/NDR,SCD6,792421.0,792702.0,281.0,stable,TATA_like
CHR2,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YBR039W_NFR/NDR,ATP3,315253.0,315551.0,298.0,fragile,TATA_like
CHR14,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YNL332W_NFR/NDR,THI12,14020.0,14807.0,787.0,nan, 
CHR4,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YDR191W_NFR/NDR,HST4,841976.0,842352.0,376.0,fragile,TATA_like
CHR5,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YEL072W_NFR/NDR,RMD6,13309.0,13657.0,348.0,fragile,TATA_like
CHR7,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YGL100W_NFR/NDR,SEH1,312981.0,313244.0,263.0,stable,TATA_like
CHR7,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YGR025W_NFR/NDR,nan,532573.0,532877.0,304.0,nan, 
CHR11,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YKL019W_NFR/NDR,RAM2,402065.0,402370.0,305.0,stable,TATA_like
CHR12,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YLR375W_NFR/NDR,STP3,871352.0,871692.0,340.0,fragile,TATA_like
CHR2,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YBR119W_NFR/NDR,MUD1,479189.0,479347.0,158.0,fragile,TATA_like
CHR2,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YBR104W_NFR/NDR,YMC2,449270.0,449590.0,320.0,fragile,TATA_like
CHR8,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YHR040W_NFR/NDR,BCD1,187644.0,187952.0,308.0,fragile,TATA_like
CHR13,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YMR069W_NFR/NDR,NAT4,407495.0,407822.0,327.0,nan,TATA_like
CHR7,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YGL043W_NFR/NDR,DST1,417200.0,417490.0,290.0,stable,TATA_like
CHR11,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YKL107W_NFR/NDR,nan,235890.0,236067.0,177.0,nan, 
CHR12,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YLR307W_NFR/NDR,CDA1,745190.0,745568.0,378.0,stable, 
CHR2,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YBL016W_NFR/NDR,FUS3,192025.0,192401.0,376.0,stable,TATA_box
CHR16,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YPL215W_NFR/NDR,CBP3,147115.0,147438.0,323.0,fragile,TATA_like
CHR2,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YBR076W_NFR/NDR,ECM8,389881.0,390132.0,251.0,nan, 
CHR3,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YCR069W_NFR/NDR,CPR4,238654.0,238961.0,307.0,fragile,TATA_like
CHR12,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YLR426W_NFR/NDR,TDA5,986835.0,987101.0,266.0,stable,TATA_like
CHR13,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YMR200W_NFR/NDR,ROT1,664382.0,664670.0,288.0,fragile,TATA_box
CHR16,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YPL152W_NFR/NDR,RRD2,264724.0,264989.0,265.0,stable,TATA_like
CHR11,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YKL095W_NFR/NDR,YJU2,261870.0,262162.0,292.0,fragile, 
CHR13,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YML121W_NFR/NDR,GTR1,26419.0,26922.0,503.0,fragile,TATA_like
CHR4,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YDL179W_NFR/NDR,PCL9,137817.0,138116.0,299.0,stable,TATA_like
CHR14,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YNL191W_NFR/NDR,DUG3,280139.0,280413.0,274.0,fragile,TATA_box
CHR3,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YCR105W_NFR/NDR,ADH7,308771.0,309005.0,234.0,nan, 
CHR2,+,03_TFO,03b_COF_NFR/NDR,SAGA-dominated,YBR183W_NFR/NDR,YPC1,595520.0,595926.0,406.0,fragile,TATA_like
CHR10,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YJR007W_NFR/NDR,SUI2,450638.0,450965.0,327.0,fragile,TATA_like
CHR3,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YCR107W_NFR/NDR,AAD3,313573.0,313967.0,394.0,nan, 
CHR7,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YGL225W_NFR/NDR,VRG4,76465.0,76884.0,419.0,stable,TATA_box
CHR7,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YGR012W_NFR/NDR,MCY1,512901.0,513191.0,290.0,stable,TATA_like
CHR7,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YGR144W_NFR/NDR,THI4,779916.0,780201.0,285.0,stable, 
CHR15,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YOR186W_NFR/NDR,nan,682176.0,682491.0,315.0,nan, 
CHR15,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YOL010W_NFR/NDR,RCL1,307600.0,307938.0,338.0,fragile,TATA_like
CHR8,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YHR052W_NFR/NDR,CIC1,210509.0,210864.0,355.0,fragile,TATA_like
CHR9,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YIL106W_NFR/NDR,MOB1,165893.0,166368.0,475.0,fragile, 
CHR4,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YDR438W_NFR/NDR,THI74,1337829.0,1338257.0,428.0,nan, 
CHR4,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YDR322W_NFR/NDR,MRPL35,1110368.0,1110613.0,245.0,stable,TATA_like
CHR12,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YLR150W_NFR/NDR,STM1,439561.0,440311.0,750.0,stable,TATA_like
CHR4,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YDR489W_NFR/NDR,SLD5,1430748.0,1431051.0,303.0,stable,TATA_like
CHR10,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YJL174W_NFR/NDR,KRE9,94762.0,95017.0,255.0,stable,TATA_like
CHR14,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YNL001W_NFR/NDR,DOM34,627117.0,627447.0,330.0,fragile,TATA_like
CHR13,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YMR214W_NFR/NDR,SCJ1,695073.0,695356.0,283.0,stable, 
CHR4,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YDR083W_NFR/NDR,RRP8,611815.0,612104.0,289.0,stable,TATA_like
CHR6,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YFL062W_NFR/NDR,COS4,6232.0,6470.0,238.0,nan, 
CHR13,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YML132W_NFR/NDR,COS3,6424.0,7174.0,750.0,nan, 
CHR8,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YHL048W_NFR/NDR,COS8,6166.0,6446.0,280.0,stable, 
CHR14,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YNL336W_NFR/NDR,COS1,7510.0,8260.0,750.0,nan, 
CHR12,+,03_TFO,03a_TF_NFR/NDR,SAGA-dominated,YLR174W_NFR/NDR,IDP2,504046.0,504576.0,530.0,nan, 
CHR11,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YKR055W_NFR/NDR,RHO4,547919.0,548208.0,289.0,stable,TATA_like
CHR4,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YDL248W_NFR/NDR,COS7,1579.0,1855.0,276.0,nan, 
CHR7,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YGL148W_NFR/NDR,ARO2,226064.0,226392.0,328.0,stable,TATA_like
CHR9,+,03_TFO,03a_TF_NFR/NDR,SAGA-dominated,YIL116W_NFR/NDR,HIS5,142665.0,142873.0,208.0,stable,TATA_like
CHR14,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YNL136W_NFR/NDR,EAF7,370113.0,370395.0,282.0,stable,TATA_like
CHR7,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YGL105W_NFR/NDR,ARC1,307104.0,307468.0,364.0,fragile,TATA_like
CHR16,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YPR054W_NFR/NDR,SMK1,665959.0,666311.0,352.0,nan, 
CHR7,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YGR173W_NFR/NDR,RBG2,843567.0,843847.0,280.0,stable,TATA_box
CHR4,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YDR517W_NFR/NDR,GRH1,1476912.0,1477186.0,274.0,stable,TATA_like
CHR15,+,03_TFO,03a_TF_NFR/NDR,SAGA-dominated,YOR173W_NFR/NDR,DCS2,656610.0,657042.0,432.0,stable, 
CHR9,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YIR021W_NFR/NDR,MRS1,396397.0,397147.0,750.0,stable,TATA_like
CHR10,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YJR032W_NFR/NDR,CPR7,490842.0,491108.0,266.0,stable, 
CHR12,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YLR191W_NFR/NDR,PEX13,536975.0,537290.0,315.0,stable,TATA_like
CHR15,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YOR057W_NFR/NDR,SGT1,431925.0,432157.0,232.0,stable,TATA_like
CHR12,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YLL033W_NFR/NDR,IRC19,73155.0,73439.0,284.0,fragile, 
CHR6,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YFR012W_NFR/NDR,DCV1,167641.0,167990.0,349.0,nan, 
CHR13,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YMR024W_NFR/NDR,MRPL3,321645.0,321948.0,303.0,fragile,TATA_box
CHR11,+,03_TFO,03b_COF_NFR/NDR,SAGA-dominated,YKR076W_NFR/NDR,ECM4,581770.0,582229.0,459.0,stable, 
CHR15,+,03_TFO,03a_TF_NFR/NDR,SAGA-dominated,YOR385W_NFR/NDR,nan,1064356.0,1065048.0,692.0,stable,TATA_box
CHR7,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YGR111W_NFR/NDR,nan,715220.0,715813.0,593.0,stable,TATA_like
CHR8,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YHR111W_NFR/NDR,UBA4,332827.0,333094.0,267.0,stable,TATA_box
CHR8,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YHR208W_NFR/NDR,BAT1,517226.0,517563.0,337.0,fragile,TATA_like
CHR16,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YPR191W_NFR/NDR,QCR2,919011.0,919334.0,323.0,fragile,TATA_box
CHR4,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YDR161W_NFR/NDR,ACL4,778573.0,779048.0,475.0,fragile,TATA_like
CHR7,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YGL181W_NFR/NDR,GTS1,157561.0,157884.0,323.0,fragile,TATA_like
CHR5,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YEL056W_NFR/NDR,HAT2,46858.0,47150.0,292.0,stable,TATA_like
CHR4,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YDR035W_NFR/NDR,ARO3,521408.0,521747.0,339.0,fragile,TATA_like
CHR2,+,03_TFO,03a_TF_NFR/NDR,SAGA-dominated,YBR145W_NFR/NDR,ADH5,533488.0,533661.0,173.0,stable,TATA_box
CHR13,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YMR210W_NFR/NDR,MGL2,687249.0,687533.0,284.0,stable,TATA_like
CHR10,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YJL134W_NFR/NDR,LCB3,157720.0,158191.0,471.0,stable,TATA_like
CHR1,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YAL042W_NFR/NDR,ERV46,61022.0,61332.0,310.0,fragile,TATA_like
CHR4,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YDL014W_NFR/NDR,NOP1,426916.0,427270.0,354.0,fragile, 
CHR11,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YKL080W_NFR/NDR,VMA5,284702.0,284963.0,261.0,fragile,TATA_like
CHR13,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YMR005W_NFR/NDR,TAF4,275687.0,275997.0,310.0,fragile,TATA_like
CHR13,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YMR139W_NFR/NDR,RIM11,545668.0,545940.0,272.0,stable,TATA_like
CHR14,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YNL304W_NFR/NDR,YPT11,60034.0,60301.0,267.0,stable,TATA_like
CHR4,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YDR331W_NFR/NDR,GPI8,1128723.0,1129473.0,750.0,stable,TATA_like
CHR14,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YNL253W_NFR/NDR,TEX1,169608.0,170010.0,402.0,stable,TATA_like
CHR14,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YNL181W_NFR/NDR,PBR1,297637.0,298277.0,640.0,stable,TATA_like
CHR12,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YLR208W_NFR/NDR,SEC13,559216.0,559488.0,272.0,fragile,TATA_like
CHR14,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YNL288W_NFR/NDR,CAF40,89914.0,90214.0,300.0,fragile,TATA_like
CHR15,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YOR266W_NFR/NDR,PNT1,820173.0,820923.0,750.0,stable,TATA_like
CHR15,+,03_TFO,03a_TF_NFR/NDR,SAGA-dominated,YOR338W_NFR/NDR,nan,956535.0,956810.0,275.0,fragile, 
CHR3,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YCL063W_NFR/NDR,VAC17,17114.0,17316.0,202.0,fragile,TATA_like
CHR5,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YEL006W_NFR/NDR,YEA6,144002.0,144314.0,312.0,fragile,TATA_box
CHR7,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YGR010W_NFR/NDR,NMA2,511018.0,511464.0,446.0,stable,TATA_like
CHR11,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YKL195W_NFR/NDR,MIA40,75546.0,75836.0,290.0,fragile,TATA_like
CHR13,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YMR079W_NFR/NDR,SEC14,424703.0,424985.0,282.0,fragile,TATA_like
CHR16,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YPR122W_NFR/NDR,AXL1,781523.0,782189.0,666.0,fragile,TATA_like
CHR2,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YBL058W_NFR/NDR,SHP1,111163.0,111456.0,293.0,stable,TATA_box
CHR4,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YDR245W_NFR/NDR,MNN10,952461.0,952760.0,299.0,fragile,TATA_like
CHR10,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YJL053W_NFR/NDR,PEP8,335608.0,335916.0,308.0,stable,TATA_box
CHR15,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YOR142W_NFR/NDR,LSC1,592570.0,592885.0,315.0,fragile,TATA_box
CHR10,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YJR078W_NFR/NDR,BNA2,578612.0,578915.0,303.0,fragile, 
CHR12,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YLR080W_NFR/NDR,EMP46,287825.0,287971.0,146.0,stable, 
CHR13,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YMR065W_NFR/NDR,KAR5,399632.0,399901.0,269.0,stable,TATA_like
CHR15,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YOL116W_NFR/NDR,MSN1,99442.0,99720.0,278.0,stable,TATA_like
CHR16,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YPR106W_NFR/NDR,ISR1,739807.0,740069.0,262.0,stable,TATA_like
CHR2,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YBL013W_NFR/NDR,FMT1,201724.0,202042.0,318.0,nan,TATA_like
CHR15,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YOR334W_NFR/NDR,MRS2,944349.0,944614.0,265.0,stable,TATA_like
CHR4,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YDL193W_NFR/NDR,NUS1,114349.0,114597.0,248.0,stable,TATA_like
CHR16,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YPL255W_NFR/NDR,BBP1,67464.0,67737.0,273.0,stable, 
CHR10,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YJL183W_NFR/NDR,MNN11,83776.0,84049.0,273.0,stable,TATA_box
CHR8,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YHR123W_NFR/NDR,EPT1,354556.0,354829.0,273.0,stable,TATA_like
CHR15,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YOL140W_NFR/NDR,ARG8,57939.0,58689.0,750.0,stable,TATA_like
CHR15,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YOR222W_NFR/NDR,ODC2,757583.0,757873.0,290.0,stable,TATA_like
CHR16,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YPL028W_NFR/NDR,ERG10,497699.0,498006.0,307.0,fragile,TATA_box
CHR11,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YKL172W_NFR/NDR,EBP2,125448.0,125787.0,339.0,fragile,TATA_like
CHR16,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YPL168W_NFR/NDR,MRX4,230819.0,231128.0,309.0,fragile,TATA_like
CHR8,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YHR190W_NFR/NDR,ERG9,484560.0,484829.0,269.0,nan,TATA_box
CHR10,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YJL060W_NFR/NDR,BNA3,323100.0,323394.0,294.0,stable,TATA_box
CHR2,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YBL046W_NFR/NDR,PSY4,132165.0,132456.0,291.0,fragile,TATA_like
CHR8,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YHR066W_NFR/NDR,SSF1,229026.0,229351.0,325.0,fragile,TATA_like
CHR15,+,03_TFO,03a_TF_NFR/NDR,SAGA-dominated,YOR393W_NFR/NDR,ERR1,1079456.0,1080206.0,750.0,stable, 
CHR7,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YGR156W_NFR/NDR,PTI1,800122.0,800408.0,286.0,fragile,TATA_like
CHR2,+,03_TFO,03a_TF_NFR/NDR,SAGA-dominated,YBR147W_NFR/NDR,RTC2,536178.0,536469.0,291.0,nan, 
CHR14,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YNR021W_NFR/NDR,nan,668075.0,668397.0,322.0,fragile,TATA_like
CHR15,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YOR197W_NFR/NDR,MCA1,716824.0,717126.0,302.0,fragile,TATA_like
CHR16,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YPR178W_NFR/NDR,PRP4,892067.0,892338.0,271.0,stable,TATA_like
CHR14,+,03_TFO,03a_TF_NFR/NDR,SAGA-dominated,YNL190W_NFR/NDR,nan,281371.0,282121.0,750.0,fragile,TATA_box
CHR13,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YML051W_NFR/NDR,GAL80,171149.0,171583.0,434.0,stable, 
CHR15,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YOR237W_NFR/NDR,HES1,781493.0,781814.0,321.0,fragile, 
CHR15,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YOL144W_NFR/NDR,NOP8,52795.0,53094.0,299.0,stable, 
CHR13,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YML102W_NFR/NDR,CAC2,67974.0,68329.0,355.0,fragile,TATA_like
CHR13,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YMR203W_NFR/NDR,TOM40,668182.0,668516.0,334.0,fragile,TATA_like
CHR2,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YBR110W_NFR/NDR,ALG1,458675.0,458851.0,176.0,stable,TATA_like
CHR8,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YHR001W_NFR/NDR,OSH7,105798.0,106060.0,262.0,stable,TATA_like
CHR3,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YCR094W_NFR/NDR,CDC50,286430.0,286751.0,321.0,stable,TATA_like
CHR4,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YDL066W_NFR/NDR,IDP1,334364.0,334639.0,275.0,stable,TATA_like
CHR15,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YOR104W_NFR/NDR,PIN2,517455.0,517684.0,229.0,stable,TATA_box
CHR7,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YGR141W_NFR/NDR,VPS62,770266.0,770563.0,297.0,fragile,TATA_like
CHR15,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YOR117W_NFR/NDR,RPT5,544753.0,545001.0,248.0,stable,TATA_like
CHR2,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YBR279W_NFR/NDR,PAF1,760854.0,761278.0,424.0,fragile,TATA_like
CHR4,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YDR312W_NFR/NDR,SSF2,1087312.0,1087574.0,262.0,stable,TATA_like
CHR7,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YGR252W_NFR/NDR,GCN5,996570.0,996869.0,299.0,stable,TATA_like
CHR8,+,03_TFO,03b_COF_NFR/NDR,TFIID-dominated,YHR146W_NFR/NDR,CRP1,389970.0,390322.0,352.0,fragile,TATA_like
CHR5,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YEL017W_NFR/NDR,GTT3,122981.0,123287.0,306.0,fragile,TATA_like
CHR3,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YCL048W_NFR/NDR,SPS22,41834.0,42126.0,292.0,nan, 
CHR5,+,03_TFO,03a_TF_NFR/NDR,TFIID-dominated,YER059W_NFR/NDR,PCL6,272226.0,272503.0,277.0,stable,TATA_like
