SNP,Chr,Pos,Effect,SE,SSH1_ERG11_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
570,2,451779,-0.271969267442705,0.100675550984087,0.0072370333659208,YBR105C,VID24,SGDID:S000000309,ORF,Verified ORF,"""GID Complex regulatory subunit; binds GID Complex in response to glucose through interactions with complex member Vid28p; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; promotes proteasome-dependent catabolite degradation of FBPase; peripheral membrane protein located at Vid (vacuole import and degradation) vesicles""",Verified ORF
571,2,451784,-0.270808263288687,0.10105488020989,0.0077114787218045,YBR105C,VID24,SGDID:S000000309,ORF,Verified ORF,"""GID Complex regulatory subunit; binds GID Complex in response to glucose through interactions with complex member Vid28p; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; promotes proteasome-dependent catabolite degradation of FBPase; peripheral membrane protein located at Vid (vacuole import and degradation) vesicles""",Verified ORF
572,2,453525,-0.244349361918572,0.101277984954261,0.0163457280354995,YBR106W,SND3,SGDID:S000000310,Close to 3'-UTR,Close to 3'-UTR,"""Involved in SRP-independent protein targeting to the ER; component of an alternative ER-targeting pathway partially redundant with the GET pathway that can compensate for SRP loss; preference for substrates with downstream transmembrane domains; interacts with Snd1p ; Env10p/Snd2p ; and Sec61p-translocon subunits; role in establishing nucleus-vacuole junctions (NVJs) in high glucose; targeted to the NVJ during glucose starvation to facilitate expansion; role in phosphate transport with Pho86p""",Verified ORF
573,2,453768,-0.249866377676712,0.101375773233096,0.014186240273498,YBR106W,SND3,SGDID:S000000310,Close to 3'-UTR,Close to 3'-UTR,"""Involved in SRP-independent protein targeting to the ER; component of an alternative ER-targeting pathway partially redundant with the GET pathway that can compensate for SRP loss; preference for substrates with downstream transmembrane domains; interacts with Snd1p ; Env10p/Snd2p ; and Sec61p-translocon subunits; role in establishing nucleus-vacuole junctions (NVJs) in high glucose; targeted to the NVJ during glucose starvation to facilitate expansion; role in phosphate transport with Pho86p""",Verified ORF
574,2,454027,-0.219208376249999,0.101147375650463,0.0308864459994355,YBR107C,IML3,SGDID:S000000311,ORF,Verified ORF,"""Outer kinetochore protein and component of the Ctf19 complex; involved in the establishment of pericentromeric cohesion during mitosis; prevents non-disjunction of sister chromatids during meiosis II; forms a stable complex with Chl4p; required for localization of Sgo1p to pericentric sites during meiosis I; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-L and fission yeast fta1""",Verified ORF
575,2,455029,-0.195030200001212,0.101341524087165,0.0550973868778909,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
576,2,455247,-0.233871796617762,0.100776859237957,0.0208728947931284,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
577,2,455272,-0.410416801488054,0.201156838906868,0.0420659699176764,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
578,2,455272,-0.133355009210251,0.231207178505045,0.564457645841359,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
579,2,455756,-0.184429537256702,0.108648896146987,0.0904869484803592,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
580,2,457024,-0.229642616631797,0.101555991074697,0.0243524106342018,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
581,2,457298,-0.22669977418395,0.1018724097582,0.0266903737152342,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
582,2,460202,-0.214837005253592,0.102179488848546,0.0362132761348024,YBR110W,ALG1,SGDID:S000000314,ORF,Verified ORF,"""Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability; human homolog ALG1 complements yeast null mutant""",Verified ORF
583,2,460262,-0.0902953184519912,0.580940638653054,0.876571560594233,YBR110W,ALG1,SGDID:S000000314,Close to 3'-UTR,Close to 3'-UTR,"""Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability; human homolog ALG1 complements yeast null mutant""",Verified ORF
584,2,460263,0.438800007409808,0.408066190033683,0.282967795887128,YBR110W,ALG1,SGDID:S000000314,Close to 3'-UTR,Close to 3'-UTR,"""Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability; human homolog ALG1 complements yeast null mutant""",Verified ORF
585,2,464079,0.768228086029807,0.343945977176189,0.0261372581215255,YBR112C,CYC8,SGDID:S000000316,ORF,Verified ORF,"""General transcriptional co-repressor; acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form the prion [OCT+]""",Verified ORF
586,2,464424,-0.222346472765194,0.101597825670088,0.0292882663728226,YBR112C,CYC8,SGDID:S000000316,ORF,Verified ORF,"""General transcriptional co-repressor; acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form the prion [OCT+]""",Verified ORF
587,2,465824,-0.125598896223623,0.103073739398154,0.223834697707932,YBR113W,YBR113W,SGDID:S000000317,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene CYC8""",Dubious ORF
588,2,470145,-0.141549339706806,0.101538944813591,0.164182419409348,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
589,2,470686,-0.10970974187813,0.101588635198997,0.28090571126411,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
590,2,471144,-0.142922217630107,0.101647848559517,0.160588132967277,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
591,2,471830,-0.132539823295001,0.101396964972647,0.19201666364691,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
592,2,472403,-0.139983727304541,0.101459590058733,0.168552542315121,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
593,2,473668,-0.156749254667894,0.10206324485489,0.125481974843281,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
594,2,473888,-0.0999481868362517,0.101565999413237,0.325754441585964,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
595,2,474138,-0.131099086607417,0.102827894050959,0.203170051780708,YBR115C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
596,2,474141,-0.131099086607417,0.102827894050959,0.203170051780708,YBR115C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
597,2,475703,-0.101745856129535,0.101449125792627,0.316584072499079,SUT018,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
598,2,476732,-0.199916102785974,0.100816199357214,0.0481448002156555,SUT018,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
599,2,477089,-0.192627066810495,0.113889908401591,0.0916536158680233,YBR117C,TKL2,SGDID:S000000321,Close to 3'-UTR,Close to 3'-UTR,"""Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog ; TKL1 ; that arose from the whole genome duplication""",Verified ORF
600,2,477272,-0.222708537907196,0.10101781161985,0.0281234765270389,YBR117C,TKL2,SGDID:S000000321,Close to 3'-UTR,Close to 3'-UTR,"""Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog ; TKL1 ; that arose from the whole genome duplication""",Verified ORF
601,2,477273,-0.222708537907196,0.10101781161985,0.0281234765270389,YBR117C,TKL2,SGDID:S000000321,Close to 3'-UTR,Close to 3'-UTR,"""Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog ; TKL1 ; that arose from the whole genome duplication""",Verified ORF
602,2,477508,-0.120490169395155,0.111565791811021,0.280883046499893,YBR118W,TEF2,SGDID:S000000322,Close to 3'-UTR,Close to 3'-UTR,"""Translational elongation factor EF-1 alpha; GTP-bound active form ; binds to and delivers aminoacylated tRNA to the A-site of ribosomes for elongation of nascent polypeptides; moonlighting function as an actin binding and bundling protein; association with GTPase Rho1p on the vacuolar membrane may facilitate F-actin remodeling; involved in tRNA re-export from the nucleus; Tef2p-RFP levels increase during replicative aging""",Verified ORF
603,2,479414,-0.0682972279789034,0.105157247382173,0.516452391805575,YBR118W,TEF2,SGDID:S000000322,Close to 3'-UTR,Close to 3'-UTR,"""Translational elongation factor EF-1 alpha; GTP-bound active form ; binds to and delivers aminoacylated tRNA to the A-site of ribosomes for elongation of nascent polypeptides; moonlighting function as an actin binding and bundling protein; association with GTPase Rho1p on the vacuolar membrane may facilitate F-actin remodeling; involved in tRNA re-export from the nucleus; Tef2p-RFP levels increase during replicative aging""",Verified ORF
604,2,480275,-0.113431737259575,0.101577054597684,0.264879438343901,YBR119W,MUD1,SGDID:S000000323,Close to 3'-UTR,Close to 3'-UTR,"""U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing""",Verified ORF
605,2,480340,-0.130173619584386,0.103093413255869,0.20753896767863,YBR119W,MUD1,SGDID:S000000323,Close to 3'-UTR,Close to 3'-UTR,"""U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing""",Verified ORF
606,2,481293,-0.0607975027070543,0.107201956659263,0.570985958586369,YBR119W,MUD1,SGDID:S000000323,Close to 3'-UTR,Close to 3'-UTR,"""U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing""",Verified ORF
607,2,481312,-0.0878683599505793,0.103343642083573,0.395760129865408,YBR119W,MUD1,SGDID:S000000323,Close to 3'-UTR,Close to 3'-UTR,"""U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing""",Verified ORF
608,2,483628,-0.118278585924597,0.101981155816647,0.246910740264568,YBR121C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
609,2,484021,-0.0944157141147637,0.101401330418999,0.352433409580174,CUT026,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
610,2,484651,-0.113663792728715,0.103192151382472,0.271439529986112,YBR122C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
611,2,485249,-0.110501445900482,0.101818711064424,0.278539849280815,YBR123C,TFC1,SGDID:S000000327,ORF,Verified ORF,"""Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes; human homolog is TFIIIC-63""",Verified ORF
612,2,485603,-0.0937434512669009,0.101253299881145,0.355166283275258,YBR123C,TFC1,SGDID:S000000327,ORF,Verified ORF,"""Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes; human homolog is TFIIIC-63""",Verified ORF
613,2,486033,-0.111493644704409,0.101658831659153,0.273501223868852,YBR123C,TFC1,SGDID:S000000327,ORF,Verified ORF,"""Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes; human homolog is TFIIIC-63""",Verified ORF
614,2,486970,0.0642959945336798,0.259872013550587,0.804731620119617,YBR123C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
615,2,488757,-0.108681679573954,0.102055877737135,0.287638519374255,YBR125C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
616,2,490612,-0.0514051142684446,0.101695987098494,0.613538404961004,YBR126W-A_NFR/NDR,,,Promoter,Promoter,,Promoter
617,2,491316,0.0316583163494686,0.103355599292193,0.759553162400064,YBR127C,VMA2,SGDID:S000000331,ORF,Verified ORF,"""Subunit B of V1 peripheral membrane domain of vacuolar H+-ATPase; electrogenic proton pump found throughout the endomembrane system; contains nucleotide binding sites; also detected in the cytoplasm; protein abundance increases in response to DNA replication stress; human homolog ATP6V1B1 ; implicated in autosomal-recessive distal renal tubular acidosis (RTA) with sensorineural deafness ; complements yeast null mutant""",Verified ORF
618,2,495558,0.0462933405920334,0.104297864601173,0.657417898820201,YBR129C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
619,2,495559,0.0491566238610446,0.104202395741995,0.637402559248689,YBR129C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
620,2,498324,0.008929064474908,0.104218452353342,0.931772215769156,YBR131W,CCZ1,SGDID:S000000335,ORF,Verified ORF,"""Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex ; which stimulates nucleotide exchange and activation of Ypt7p ; a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy ; the CVT pathway and mitophagy""",Verified ORF
621,2,498889,-0.0025696961444723,0.106383182116441,0.980742543157564,YBR131W,CCZ1,SGDID:S000000335,ORF,Verified ORF,"""Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex ; which stimulates nucleotide exchange and activation of Ypt7p ; a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy ; the CVT pathway and mitophagy""",Verified ORF
622,2,499266,0.0129278626176079,0.107049547700061,0.903945704430995,YBR131W,CCZ1,SGDID:S000000335,ORF,Verified ORF,"""Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex ; which stimulates nucleotide exchange and activation of Ypt7p ; a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy ; the CVT pathway and mitophagy""",Verified ORF
623,2,499294,-0.0465500870439743,0.11038962858795,0.673508743695252,YBR131W,CCZ1,SGDID:S000000335,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex ; which stimulates nucleotide exchange and activation of Ypt7p ; a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy ; the CVT pathway and mitophagy""",Verified ORF
624,2,499384,-0.0066105830956768,0.120416088612914,0.956250910104062,YBR131W,CCZ1,SGDID:S000000335,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex ; which stimulates nucleotide exchange and activation of Ypt7p ; a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy ; the CVT pathway and mitophagy""",Verified ORF
625,2,500276,0.084858804801041,0.104003982860705,0.415096793633529,YBR132C,AGP2,SGDID:S000000336,ORF,Verified ORF,"""Plasma membrane regulator of polyamine and carnitine transport; has similarity to transporters but lacks transport activity; may act as a sensor that transduces environmental signals; has a positive or negative regulatory effect on transcription of many transporter genes""",Verified ORF
626,2,500320,0.0509176926915662,0.103895874371162,0.624378999047678,YBR132C,AGP2,SGDID:S000000336,ORF,Verified ORF,"""Plasma membrane regulator of polyamine and carnitine transport; has similarity to transporters but lacks transport activity; may act as a sensor that transduces environmental signals; has a positive or negative regulatory effect on transcription of many transporter genes""",Verified ORF
627,2,500677,0.0250460746973467,0.103982394546708,0.809796937568187,YBR132C,AGP2,SGDID:S000000336,ORF,Verified ORF,"""Plasma membrane regulator of polyamine and carnitine transport; has similarity to transporters but lacks transport activity; may act as a sensor that transduces environmental signals; has a positive or negative regulatory effect on transcription of many transporter genes""",Verified ORF
628,2,501170,0.0188992715040843,0.103567557302639,0.855308803351087,YBR132C,AGP2,SGDID:S000000336,ORF,Verified ORF,"""Plasma membrane regulator of polyamine and carnitine transport; has similarity to transporters but lacks transport activity; may act as a sensor that transduces environmental signals; has a positive or negative regulatory effect on transcription of many transporter genes""",Verified ORF
629,2,501746,0.0495554498638697,0.102944668158583,0.630545088585682,YBR132C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
630,2,505207,-0.0139894020837157,0.106910506067914,0.895967306203172,YBR135W,CKS1,SGDID:S000000339,ORF,Verified ORF,"""Cyclin-dependent protein kinase regulatory subunit and adaptor; interacts with Cdc28p (aka Cdk1p); required for G1/S and G2/M phase transitions and budding; mediates phosphorylation and degradation of Sic1p; modulates proteolysis of M-phase targets through interactions with the proteasome; role in transcriptional regulation ; recruiting proteasomal subunits to target gene promoters; human homologs CKS1B and CKS2 can each complement yeast cks1 null mutant""",Verified ORF
631,2,505430,0.0001211946128218,0.227612122093173,0.999575458260478,YBR136W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
632,2,507274,0.0404741260150447,0.106289170019387,0.70358622944186,YBR136W,MEC1,SGDID:S000000340,ORF,Verified ORF,"""Genome integrity checkpoint protein and PI kinase superfamily member; Mec1p and Dun1p function in same pathway to regulate dNTP pools and telomere length; signal transducer required for cell cycle arrest and transcriptional responses to damaged or unreplicated DNA; facilitates replication fork progression and regulates P-body formation under replication stress; promotes interhomolog recombination by phosphorylating Hop1p; associates with shortened ; dysfunctional telomeres""",Verified ORF
633,2,507491,0.0094731546165873,0.106312579488744,0.929047708852698,YBR136W,MEC1,SGDID:S000000340,ORF,Verified ORF,"""Genome integrity checkpoint protein and PI kinase superfamily member; Mec1p and Dun1p function in same pathway to regulate dNTP pools and telomere length; signal transducer required for cell cycle arrest and transcriptional responses to damaged or unreplicated DNA; facilitates replication fork progression and regulates P-body formation under replication stress; promotes interhomolog recombination by phosphorylating Hop1p; associates with shortened ; dysfunctional telomeres""",Verified ORF
634,2,510017,0.0061313584454332,0.105830591305252,0.953832709773697,YBR136W,MEC1,SGDID:S000000340,ORF,Verified ORF,"""Genome integrity checkpoint protein and PI kinase superfamily member; Mec1p and Dun1p function in same pathway to regulate dNTP pools and telomere length; signal transducer required for cell cycle arrest and transcriptional responses to damaged or unreplicated DNA; facilitates replication fork progression and regulates P-body formation under replication stress; promotes interhomolog recombination by phosphorylating Hop1p; associates with shortened ; dysfunctional telomeres""",Verified ORF
635,2,510140,0.0258994508195651,0.105675394050363,0.806533053318714,YBR136W,MEC1,SGDID:S000000340,ORF,Verified ORF,"""Genome integrity checkpoint protein and PI kinase superfamily member; Mec1p and Dun1p function in same pathway to regulate dNTP pools and telomere length; signal transducer required for cell cycle arrest and transcriptional responses to damaged or unreplicated DNA; facilitates replication fork progression and regulates P-body formation under replication stress; promotes interhomolog recombination by phosphorylating Hop1p; associates with shortened ; dysfunctional telomeres""",Verified ORF
636,2,517548,0.0554994794264387,0.107117045523783,0.604699154145324,YBR140C,IRA1,SGDID:S000000344,ORF,Verified ORF,"""GTPase-activating protein; negatively regulates RAS by converting it from GTP- to the GDP-bound inactive form ; required for reducing cAMP levels under nutrient limiting conditions ; mediates membrane association of adenylate cyclase; mutations cause catalase T deficiency ; defective glycogen synthesis and defective trehalose accumulation; IRA1 has a paralog ; IRA2 ; that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis""",Verified ORF
637,2,517869,0.0329713905000792,0.107367837655078,0.758957354755915,YBR140C,IRA1,SGDID:S000000344,ORF,Verified ORF,"""GTPase-activating protein; negatively regulates RAS by converting it from GTP- to the GDP-bound inactive form ; required for reducing cAMP levels under nutrient limiting conditions ; mediates membrane association of adenylate cyclase; mutations cause catalase T deficiency ; defective glycogen synthesis and defective trehalose accumulation; IRA1 has a paralog ; IRA2 ; that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis""",Verified ORF
638,2,518106,0.0545946864483566,0.107685144416449,0.612482325438464,YBR140C,IRA1,SGDID:S000000344,ORF,Verified ORF,"""GTPase-activating protein; negatively regulates RAS by converting it from GTP- to the GDP-bound inactive form ; required for reducing cAMP levels under nutrient limiting conditions ; mediates membrane association of adenylate cyclase; mutations cause catalase T deficiency ; defective glycogen synthesis and defective trehalose accumulation; IRA1 has a paralog ; IRA2 ; that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis""",Verified ORF
639,2,518133,0.0564118249153451,0.107575712331259,0.600335159876145,YBR140C,IRA1,SGDID:S000000344,ORF,Verified ORF,"""GTPase-activating protein; negatively regulates RAS by converting it from GTP- to the GDP-bound inactive form ; required for reducing cAMP levels under nutrient limiting conditions ; mediates membrane association of adenylate cyclase; mutations cause catalase T deficiency ; defective glycogen synthesis and defective trehalose accumulation; IRA1 has a paralog ; IRA2 ; that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis""",Verified ORF
640,2,518385,0.0315784768656946,0.107144585812659,0.768375154923649,YBR140C,IRA1,SGDID:S000000344,ORF,Verified ORF,"""GTPase-activating protein; negatively regulates RAS by converting it from GTP- to the GDP-bound inactive form ; required for reducing cAMP levels under nutrient limiting conditions ; mediates membrane association of adenylate cyclase; mutations cause catalase T deficiency ; defective glycogen synthesis and defective trehalose accumulation; IRA1 has a paralog ; IRA2 ; that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis""",Verified ORF
641,2,518844,0.042906290016552,0.10713343102743,0.689035016534478,YBR140C,IRA1,SGDID:S000000344,ORF,Verified ORF,"""GTPase-activating protein; negatively regulates RAS by converting it from GTP- to the GDP-bound inactive form ; required for reducing cAMP levels under nutrient limiting conditions ; mediates membrane association of adenylate cyclase; mutations cause catalase T deficiency ; defective glycogen synthesis and defective trehalose accumulation; IRA1 has a paralog ; IRA2 ; that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis""",Verified ORF
642,2,523217,0.0469525139111622,0.107983563244189,0.663964821052081,YBR140C,IRA1,SGDID:S000000344,ORF,Verified ORF,"""GTPase-activating protein; negatively regulates RAS by converting it from GTP- to the GDP-bound inactive form ; required for reducing cAMP levels under nutrient limiting conditions ; mediates membrane association of adenylate cyclase; mutations cause catalase T deficiency ; defective glycogen synthesis and defective trehalose accumulation; IRA1 has a paralog ; IRA2 ; that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis""",Verified ORF
643,2,524731,0.057431235893016,0.106934436851023,0.591557886665159,YBR140C,IRA1,SGDID:S000000344,ORF,Verified ORF,"""GTPase-activating protein; negatively regulates RAS by converting it from GTP- to the GDP-bound inactive form ; required for reducing cAMP levels under nutrient limiting conditions ; mediates membrane association of adenylate cyclase; mutations cause catalase T deficiency ; defective glycogen synthesis and defective trehalose accumulation; IRA1 has a paralog ; IRA2 ; that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis""",Verified ORF
644,2,528468,-0.0372473425797613,0.105738624641475,0.724854523077167,YBR142W,MAK5,SGDID:S000000346,ORF,Verified ORF,"""Essential nucleolar protein; putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus; involved in biogenesis of large (60S) ribosomal subunits""",Verified ORF
645,2,528729,0.277418918490083,0.162144332037355,0.0879710428606097,YBR142W,MAK5,SGDID:S000000346,ORF,Verified ORF,"""Essential nucleolar protein; putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus; involved in biogenesis of large (60S) ribosomal subunits""",Verified ORF
646,2,530047,-0.0073092184269696,0.105360517414307,0.944731674345021,YBR142W,MAK5,SGDID:S000000346,ORF,Verified ORF,"""Essential nucleolar protein; putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus; involved in biogenesis of large (60S) ribosomal subunits""",Verified ORF
647,2,533672,0.0419336835566244,0.1065216450055,0.694067163234594,YBR144C,YBR144C,SGDID:S000000348,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved across S. cerevisiae strains; YBR144C is not an essential gene""",Uncharacterized ORF
648,2,538868,0.118135542541409,0.105828488888646,0.265056248834447,YBR148W,YSW1,SGDID:S000000352,ORF,Verified ORF,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication""",Verified ORF
649,2,538990,0.11853267525156,0.108974032166174,0.277463103267731,YBR148W,YSW1,SGDID:S000000352,ORF,Verified ORF,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication""",Verified ORF
650,2,541028,-0.214378882424183,0.123678472846446,0.0839055398073333,YBR149W,ARA1,SGDID:S000000353,Close to 3'-UTR,Close to 3'-UTR,"""NADP+ dependent arabinose dehydrogenase; involved in carbohydrate metabolism; purified as homodimer; naturally occurs with a N-terminus degradation product""",Verified ORF
