SNP,Chr,Pos,Effect,SE,SSH1_PIS1_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
1010,3,101685,-0.317436644348702,0.104493864417475,0.0025601591299001,YCL014W,BUD3,SGDID:S000000520,Close to 3'-UTR,Close to 3'-UTR,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis""",Verified ORF
1011,3,101814,-0.338849159139421,0.104979073989888,0.0013644288051946,YCL012C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1012,3,105429,-0.140600587067665,0.103283593197486,0.17428527045997,YCL009C,ILV6,SGDID:S000000515,ORF,Verified ORF,"""Regulatory subunit of acetolactate synthase; acetolactate synthase catalyzes the first step of branched-chain amino acid biosynthesis; enhances activity of the Ilv2p catalytic subunit ; localizes to mitochondria""",Verified ORF
1013,3,111179,-0.203609524389351,0.10085755337616,0.0442654276114591,YCL002C,YCL002C,SGDID:S000000508,ORF,Uncharacterized ORF,"""Putative protein of unknown function; YCL002C is not an essential gene""",Uncharacterized ORF
1014,3,114371,-0.209266419442742,0.106449069893891,0.0500955412059364,ARS308,ARS308,SGDID:S000028485,Other features,Replication,"""Autonomously Replicating Sequence on Chromosome III""",ARS
1015,3,114395,-0.311162101861064,0.132126785030093,0.0190681628121153,ARS308,ARS308,SGDID:S000028485,Other features,Replication,"""Autonomously Replicating Sequence on Chromosome III""",ARS
1016,3,114885,-0.203842385730301,0.101444418597689,0.0452555000127356,ARS308,ARS308,SGDID:S000028485,Other features,Replication,"""Autonomously Replicating Sequence on Chromosome III""",ARS
1017,3,118719,-0.194645420051629,0.100844418339813,0.0543884121614169,YCR003W,MRPL32,SGDID:S000000596,ORF,Verified ORF,"""Mitochondrial ribosomal protein of the large subunit; protein abundance increases in response to DNA replication stress""",Verified ORF
1018,3,119698,-0.211661784062019,0.101445887850035,0.0376551441693462,YCR004C,YCP4,SGDID:S000000597,ORF,Verified ORF,"""Protein of unknown function; has sequence and structural similarity to flavodoxins; predicted to be palmitoylated; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Verified ORF
1019,3,120341,-0.281412625274903,0.100717491005033,0.0054888620473832,CUT043_NFR/NDR,,,Promoter,Promoter,,Promoter
1020,3,122628,-0.235800824693788,0.100691761576062,0.0197460047180669,YCR006C,YCR006C,SGDID:S000000599,ORF,Uncharacterized ORF,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YCR006C is not an essential gene""",Uncharacterized ORF
1021,3,123478,-0.241576692550113,0.101331801352848,0.0176526508344057,tP(AGG)C_NFR/NDR,,,Promoter,Promoter,,Promoter
1022,3,125079,-0.244305209836771,0.101800761679943,0.0169198817307951,SUT031_NFR/NDR,,,Promoter,Promoter,,Promoter
1023,3,126125,-0.224538188248486,0.100979290523194,0.0268073608605411,YCR007C,YCR007C,SGDID:S000000600,ORF,Uncharacterized ORF,"""Putative integral membrane protein; member of DUP240 gene family; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; YCR007C is not an essential gene""",Uncharacterized ORF
1024,3,126954,-0.224894349899806,0.099886614157458,0.0249685393634602,YCR007C,YCR007C,SGDID:S000000600,Close to 3'-UTR,Close to 3'-UTR,"""Putative integral membrane protein; member of DUP240 gene family; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; YCR007C is not an essential gene""",Uncharacterized ORF
1025,3,130489,-0.217269633965723,0.173496782759475,0.211290429830256,YCR008W,SAT4,SGDID:S000000601,Close to 3'-UTR,Close to 3'-UTR,"""Ser/Thr protein kinase involved in salt tolerance ; nutrient response; functions in regulation of Trk1p-Trk2p potassium transporter; overexpression affects the Fe-S and lipoamide containing proteins in the mitochondrion; required for lipoylation of Lat1p ; Kgd2p and Gcv3p; partially redundant with Hal5p; has similarity to Npr1p; localizes to the cytoplasm and mitochondrion""",Verified ORF
1026,3,131971,-0.155847612763613,0.0998958336672339,0.119632004687939,CUT044,,,Unstable transcript,CUT,ncRNA_TFO,Unstable transcript
1027,3,134374,-0.145902133138766,0.0987762673437346,0.140541192360403,YCR011C,ADP1,SGDID:S000000604,ORF,Verified ORF,"""Putative ATP-dependent permease of the ABC transporter family""",Verified ORF
1028,3,135728,-0.115437008013157,0.0999869846520636,0.249067877661614,YCR011C,ADP1,SGDID:S000000604,ORF,Verified ORF,"""Putative ATP-dependent permease of the ABC transporter family""",Verified ORF
1029,3,135857,-0.121398216929268,0.0990551876585284,0.221180798692813,YCR011C,ADP1,SGDID:S000000604,ORF,Verified ORF,"""Putative ATP-dependent permease of the ABC transporter family""",Verified ORF
1030,3,136159,-0.136740825291986,0.0986108363403789,0.166417057224269,YCR011C,ADP1,SGDID:S000000604,ORF,Verified ORF,"""Putative ATP-dependent permease of the ABC transporter family""",Verified ORF
1031,3,136656,-0.150843787250309,0.0986473114205747,0.127129739929923,YCR011C,ADP1,SGDID:S000000604,ORF,Verified ORF,"""Putative ATP-dependent permease of the ABC transporter family""",Verified ORF
1032,3,136789,-0.162067908776871,0.0985020714562659,0.100792926552006,YCR011C,ADP1,SGDID:S000000604,ORF,Verified ORF,"""Putative ATP-dependent permease of the ABC transporter family""",Verified ORF
1033,3,137654,-0.163544520593798,0.104114859739692,0.11712298281529,YCR012W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1034,3,139688,-0.146030124808239,0.0986967828129229,0.139876301434994,YCR014C,POL4,SGDID:S000000607,ORF,Verified ORF,"""DNA polymerase IV; undergoes pair-wise interactions with Dnl4p-Lif1p and Rad27p to mediate repair of DNA double-strand breaks by non-homologous end joining (NHEJ); homologous to mammalian DNA polymerase beta""",Verified ORF
1035,3,142872,-0.161423130938168,0.106834579534218,0.131692427823989,YCRCdelta7,YCRCdelta7,SGDID:S000006833,Other features,LTR,"""Ty1 LTR""",reverse complement
1036,3,143226,-0.160129706578396,0.0999393781146475,0.10999068775773,YCR016W,YCR016W,SGDID:S000000609,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus and nucleus; predicted to be involved in ribosome biogenesis""",Uncharacterized ORF
1037,3,143428,-0.146119499421487,0.0998499029269007,0.144250126219903,YCR016W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1038,3,143912,-0.184352349511051,0.100506894768291,0.0674620367125879,YCR016W,YCR016W,SGDID:S000000609,ORF,Uncharacterized ORF,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus and nucleus; predicted to be involved in ribosome biogenesis""",Uncharacterized ORF
1039,3,145017,-0.145924050820563,0.0982099998221868,0.138214764809053,YCR017C,CWH43,SGDID:S000000610,ORF,Verified ORF,"""GPI lipid remodelase; responsible for introducing ceramides into GPI anchors having a C26:0 fatty acid in sn-2 of the glycerol moiety; can also use lyso-GPI protein anchors and various base resistant lipids as substrates; contains 14-16 transmembrane segments and several putative glycosylation and phosphorylation sites; null mutation is synthetically lethal with pkc1 deletion""",Verified ORF
1040,3,145505,-0.145082208226789,0.0982992718828793,0.140855853839259,YCR017C,CWH43,SGDID:S000000610,ORF,Verified ORF,"""GPI lipid remodelase; responsible for introducing ceramides into GPI anchors having a C26:0 fatty acid in sn-2 of the glycerol moiety; can also use lyso-GPI protein anchors and various base resistant lipids as substrates; contains 14-16 transmembrane segments and several putative glycosylation and phosphorylation sites; null mutation is synthetically lethal with pkc1 deletion""",Verified ORF
1041,3,146875,-0.133037094484068,0.099864253381671,0.183660666494773,YCR017C,CWH43,SGDID:S000000610,ORF,Verified ORF,"""GPI lipid remodelase; responsible for introducing ceramides into GPI anchors having a C26:0 fatty acid in sn-2 of the glycerol moiety; can also use lyso-GPI protein anchors and various base resistant lipids as substrates; contains 14-16 transmembrane segments and several putative glycosylation and phosphorylation sites; null mutation is synthetically lethal with pkc1 deletion""",Verified ORF
1042,3,147639,-0.160391186093315,0.0983306473547597,0.103752305652251,YCR017C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1043,3,147975,-0.175743866246908,0.0998022443941581,0.0791175865846684,XUT_3F-65,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
1044,3,147986,-0.177646874741892,0.0992970773378539,0.0744649445739352,XUT_3F-65,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
1045,3,148171,-0.108623103002386,0.105039217241233,0.301788227918603,XUT_3F-65,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
1046,3,148833,-0.210603341549646,0.101065183387272,0.0378938297877403,YCR018C,SRD1,SGDID:S000000611,ORF,Verified ORF,"""Protein involved in the processing of pre-rRNA to mature rRNA; contains a C2/C2 zinc finger motif; srd1 mutation suppresses defects caused by the rrp1-1 mutation""",Verified ORF
1047,3,149289,-0.150214670511308,0.0987627940989678,0.129164039830219,YCR018C,SRD1,SGDID:S000000611,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in the processing of pre-rRNA to mature rRNA; contains a C2/C2 zinc finger motif; srd1 mutation suppresses defects caused by the rrp1-1 mutation""",Verified ORF
1048,3,150845,-0.223057670261465,0.103035484049573,0.031067859721649,YCRCtau1,YCRCtau1,SGDID:S000007429,Other features,LTR,"""Ty4 LTR""",reverse complement
1049,3,151509,-0.145188430184411,0.114501686176411,0.205632721517694,YCR018C-A,YCR018C-A,SGDID:S000007230,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; encoded opposite a Ty1 LTR""",Dubious ORF
1050,3,151520,-0.290994950987205,0.204826607260754,0.156289816357406,YCR018C-A,YCR018C-A,SGDID:S000007230,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; encoded opposite a Ty1 LTR""",Dubious ORF
1051,3,151537,-0.406505624244604,0.210433902108499,0.0541905080112012,YCRWdelta10,YCRWdelta10,SGDID:S000006837,Other features,LTR,"""Ty1 LTR""",long_terminal_repeat
1052,3,151544,-0.3992149492816,0.209932784879207,0.0580331842147781,YCRWdelta10,YCRWdelta10,SGDID:S000006837,Other features,LTR,"""Ty1 LTR""",long_terminal_repeat
1053,3,151549,-0.350720437264698,0.215493543862205,0.10451852862264,YCRWdelta10,YCRWdelta10,SGDID:S000006837,Other features,LTR,"""Ty1 LTR""",long_terminal_repeat
1054,3,151550,-0.144854595479561,0.217489409435303,0.505826565485283,YCRWdelta10,YCRWdelta10,SGDID:S000006837,Other features,LTR,"""Ty1 LTR""",long_terminal_repeat
1055,3,151550,-0.430943569848451,0.404489642554632,0.287422786978179,YCRWdelta10,YCRWdelta10,SGDID:S000006837,Other features,LTR,"""Ty1 LTR""",long_terminal_repeat
1056,3,152080,-0.144513032339195,0.102377758134723,0.158958397150357,YCR018C-A,YCR018C-A,SGDID:S000007230,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; encoded opposite a Ty1 LTR""",Dubious ORF
1057,3,152269,-0.162260852131008,0.0984410588390544,0.100179874872107,YCR018C-A,YCR018C-A,SGDID:S000007230,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; encoded opposite a Ty1 LTR""",Dubious ORF
1058,3,153973,-0.19656636733537,0.197104497893584,0.319316670251297,YCR019W,MAK32,SGDID:S000000612,Close to 3'-UTR,Close to 3'-UTR,"""Protein necessary for stability of L-A dsRNA-containing particles""",Verified ORF
1059,3,156729,-0.136446824470379,0.0981157051594958,0.165200776274739,YCR021C,HSP30,SGDID:S000000615,ORF,Verified ORF,"""Negative regulator of the H(+)-ATPase Pma1p; stress-responsive protein; hydrophobic plasma membrane localized; induced by heat shock ; ethanol treatment ; weak organic acid ; glucose limitation ; and entry into stationary phase""",Verified ORF
1060,3,158006,-0.11370454292646,0.0983495824832149,0.248411336511846,SUT032,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
1061,3,163856,-0.144372461244666,0.0982617177643483,0.142651657428641,YCR025C,YCR025C,SGDID:S000000620,ORF,Uncharacterized ORF,"""Putative protein of unknown function; conserved across S. cerevisiae strains; YCR025C is not an essential gene""",Uncharacterized ORF
1062,3,165283,-0.181115073631022,0.0974769264652821,0.0639970859304282,YCR026C,NPP1,SGDID:S000000621,ORF,Verified ORF,"""Nucleotide pyrophosphatase/phosphodiesterase; mediates extracellular nucleotide phosphate hydrolysis along with Npp2p and Pho5p; activity and expression enhanced during conditions of phosphate starvation; involved in spore wall assembly; NPP1 has a paralog ; NPP2 ; that arose from the whole genome duplication ; and an npp1 npp2 double mutant exhibits reduced dityrosine fluorescence relative to the single mutants""",Verified ORF
1063,3,165304,-0.142734992751293,0.0978802118823165,0.145657468675207,YCR026C,NPP1,SGDID:S000000621,ORF,Verified ORF,"""Nucleotide pyrophosphatase/phosphodiesterase; mediates extracellular nucleotide phosphate hydrolysis along with Npp2p and Pho5p; activity and expression enhanced during conditions of phosphate starvation; involved in spore wall assembly; NPP1 has a paralog ; NPP2 ; that arose from the whole genome duplication ; and an npp1 npp2 double mutant exhibits reduced dityrosine fluorescence relative to the single mutants""",Verified ORF
1064,3,166390,-0.159425140925869,0.098258597633883,0.105587815688889,YCR026C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1065,3,166515,-0.0846748852301797,0.100705619666701,0.401020258854972,ARS310,ARS310,SGDID:S000028487,Other features,Replication,"""Compound autonomously replicating sequence on Chromosome III""",ARS
1066,3,168031,-0.126209414235835,0.0980057191690635,0.198667522974062,YCR027C,RHB1,SGDID:S000000622,Close to 3'-UTR,Close to 3'-UTR,"""Putative Rheb-related GTPase; involved in regulating canavanine resistance and arginine uptake; member of the Ras superfamily of G-proteins""",Verified ORF
1067,3,170404,-0.100673140941237,0.0981137564405143,0.305553704123652,YCR028C,FEN2,SGDID:S000000623,Close to 3'-UTR,Close to 3'-UTR,"""Plasma membrane H+-pantothenate symporter; confers sensitivity to the antifungal agent fenpropimorph; relocalizes from vacuole to cytoplasm upon DNA replication stress""",Verified ORF
1068,3,177081,-0.139855685260049,0.0986706684081183,0.15724839126164,snR65_NFR/NDR,,,Promoter,Promoter,,Promoter
1069,3,177336,-0.132459133188717,0.0995708669994328,0.184278203573841,YCR030C,SYP1,SGDID:S000000626,Close to 3'-UTR,Close to 3'-UTR,"""Negative regulator of WASP-Arp23 complex; involved in endocytic site formation; directly inhibits Las17p stimulation of Arp23 complex-mediated actin assembly in vitro; may regulate assembly and disassembly of the septin ring; colocalizes and interacts with septin subunits; potential role in actin cytoskeletal organization""",Verified ORF
1070,3,178885,-0.150667012601203,0.102408300125716,0.142117549975508,CUT048_NFR/NDR,,,Promoter,Promoter,,Promoter
1071,3,181268,-0.210038275835268,0.0983352634488151,0.0333718051340791,YCR032W,BPH1,SGDID:S000000628,ORF,Verified ORF,"""Protein homologous to Chediak-Higashi syndrome and Beige proteins; both of which are implicated in disease syndromes in human and mouse ; respectively ; due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting""",Verified ORF
1072,3,181487,-0.177935547610926,0.100655284708377,0.0779629236673737,YCR032W,BPH1,SGDID:S000000628,ORF,Verified ORF,"""Protein homologous to Chediak-Higashi syndrome and Beige proteins; both of which are implicated in disease syndromes in human and mouse ; respectively ; due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting""",Verified ORF
1073,3,186935,-0.293141040297418,0.0968248221524945,0.0026467985552898,YCR033W,SNT1,SGDID:S000000629,ORF,Verified ORF,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia""",Verified ORF
1074,3,187346,-0.26639242916454,0.0972625371453433,0.0064772525200029,YCR033W,SNT1,SGDID:S000000629,ORF,Verified ORF,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia""",Verified ORF
1075,3,187956,-0.320441397941974,0.0994874404957463,0.0013965205201863,YCR033W,SNT1,SGDID:S000000629,ORF,Verified ORF,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia""",Verified ORF
1076,3,188758,-0.283097584903347,0.0968984017207543,0.0037066282867539,YCR033W,SNT1,SGDID:S000000629,ORF,Verified ORF,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia""",Verified ORF
1077,3,188786,-0.292808212731932,0.0967046874594665,0.0026440746488303,YCR033W,SNT1,SGDID:S000000629,ORF,Verified ORF,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia""",Verified ORF
1078,3,188904,-0.281504586875598,0.0969225931658417,0.0039109549450093,YCR033W,SNT1,SGDID:S000000629,ORF,Verified ORF,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia""",Verified ORF
1079,3,188979,-0.26726856809072,0.0971456365068079,0.0062436769245083,YCR033W,SNT1,SGDID:S000000629,ORF,Verified ORF,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia""",Verified ORF
1080,3,189025,-0.246763256391786,0.0972376774452885,0.0115867753293365,YCR033W,SNT1,SGDID:S000000629,ORF,Verified ORF,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia""",Verified ORF
1081,3,189052,-0.255203967404631,0.0973474874710043,0.0091311082777824,YCR033W,SNT1,SGDID:S000000629,ORF,Verified ORF,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia""",Verified ORF
1082,3,189158,-0.260425302876492,0.0970264361623988,0.0076160647621881,YCR033W,SNT1,SGDID:S000000629,ORF,Verified ORF,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia""",Verified ORF
1083,3,190765,-0.235410800296251,0.0974855143720788,0.0162503614401957,YCR034W,ELO2,SGDID:S000000630,ORF,Verified ORF,"""Fatty acid elongase ; involved in sphingolipid biosynthesis; acts on fatty acids of up to 24 carbons in length; mutations have regulatory effects on 1,3-beta-glucan synthase ; vacuolar ATPase ; and the secretory pathway; ELO2 has a paralog ; ELO1 ; that arose from the whole genome duplication; lethality of the elo2 elo3 double null mutation is functionally complemented by human ELOVL1 and weakly complemented by human ELOVL3 or ELOV7""",Verified ORF
1084,3,195779,-0.279153008036731,0.0970509058914106,0.0042673317509925,YCR037C,PHO87,SGDID:S000000633,ORF,Verified ORF,"""Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog ; PHO90 ; that arose from the whole genome duplication""",Verified ORF
1085,3,196679,-0.257081528869835,0.0975617760436855,0.0087829555287619,YCR037C,PHO87,SGDID:S000000633,ORF,Verified ORF,"""Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog ; PHO90 ; that arose from the whole genome duplication""",Verified ORF
1086,3,196680,-0.250406541714078,0.0977796938339723,0.0108545337598213,YCR037C,PHO87,SGDID:S000000633,ORF,Verified ORF,"""Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog ; PHO90 ; that arose from the whole genome duplication""",Verified ORF
1087,3,196733,-0.244376675702243,0.0978221013200966,0.0129377211675122,YCR037C,PHO87,SGDID:S000000633,ORF,Verified ORF,"""Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog ; PHO90 ; that arose from the whole genome duplication""",Verified ORF
1088,3,197297,-0.270338348165264,0.0976838729835406,0.0059468234893059,YCR037C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1089,3,198109,-0.268562826184589,0.0966971586786996,0.0057728462676693,YCR038C,BUD5,SGDID:S000000634,ORF,Verified ORF,"""GTP/GDP exchange factor for Rsr1p (Bud1p); required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types""",Verified ORF
1090,3,198110,-0.268562826184589,0.0966971586786996,0.0057728462676693,YCR038C,BUD5,SGDID:S000000634,ORF,Verified ORF,"""GTP/GDP exchange factor for Rsr1p (Bud1p); required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types""",Verified ORF
1091,3,198164,-0.268562826184589,0.0966971586786996,0.0057728462676693,YCR038C,BUD5,SGDID:S000000634,ORF,Verified ORF,"""GTP/GDP exchange factor for Rsr1p (Bud1p); required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types""",Verified ORF
1092,3,198348,-0.249112290177728,0.0972419950330469,0.0108284690584653,YCR038C,BUD5,SGDID:S000000634,ORF,Verified ORF,"""GTP/GDP exchange factor for Rsr1p (Bud1p); required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types""",Verified ORF
1093,3,198615,-0.271755017361932,0.097233995625559,0.0054759769574793,YCR038C,BUD5,SGDID:S000000634,ORF,Verified ORF,"""GTP/GDP exchange factor for Rsr1p (Bud1p); required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types""",Verified ORF
1094,3,201026,-0.229388081063917,0.19665463148797,0.244219397187653,MATALPHA,MATALPHA,SGDID:S000029699,Other features,Mating-related region,"""Mating type locus; note that the systematic sequence in SGD contains MATalpha sequences""",mating_type_region
1095,3,203261,-0.135830839642316,0.0978539649575463,0.165982792948857,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF
1096,3,204854,-0.0638966621054761,0.0981603123150438,0.515507468229524,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF
1097,3,204897,-0.0761212813014138,0.0983842749662084,0.439617831092825,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF
1098,3,204903,-0.0869087901984837,0.0982705792935175,0.377091672447066,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF
1099,3,207966,-0.0463187262794362,0.0974400179468079,0.634827038154979,YCR044C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1100,3,207999,-0.0556187634180448,0.0978680610920589,0.570190217198909,YCR044C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1101,3,208066,-0.0900417245428986,0.0997157368636889,0.367150093324381,YCR044C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1102,3,208086,-0.0763522301071817,0.102038748958279,0.454797348986135,YCR044C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1103,3,208234,-0.0838473603477098,0.097514908795177,0.390460010884595,YCR045C,RRT12,SGDID:S000000641,ORF,Verified ORF,"""Probable subtilisin-family protease; role in formation of the dityrosine layer of spore walls; localizes to the spore wall and also the nuclear envelope and ER region in mature spores""",Verified ORF
1104,3,208660,-0.0349093643875963,0.0981108822500205,0.722191342569,YCR045C,RRT12,SGDID:S000000641,ORF,Verified ORF,"""Probable subtilisin-family protease; role in formation of the dityrosine layer of spore walls; localizes to the spore wall and also the nuclear envelope and ER region in mature spores""",Verified ORF
1105,3,208696,-0.0261482921774443,0.0975901377550197,0.788902072243276,YCR045C,RRT12,SGDID:S000000641,ORF,Verified ORF,"""Probable subtilisin-family protease; role in formation of the dityrosine layer of spore walls; localizes to the spore wall and also the nuclear envelope and ER region in mature spores""",Verified ORF
1106,3,208702,-0.0250598142843156,0.0977211041687265,0.797758798355774,YCR045C,RRT12,SGDID:S000000641,ORF,Verified ORF,"""Probable subtilisin-family protease; role in formation of the dityrosine layer of spore walls; localizes to the spore wall and also the nuclear envelope and ER region in mature spores""",Verified ORF
1107,3,210472,-0.0305560658793214,0.0977344281850152,0.754735889559164,XUT_3F-99,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
1108,3,210757,0.0352805250584791,0.0977461403743601,0.718359953414481,XUT_3F-99,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
1109,3,211348,0.0300669008000376,0.097415215665511,0.757772235915006,YCR047C,BUD23,SGDID:S000000643,ORF,Verified ORF,"""Methyltransferase that methylates residue G1575 of 18S rRNA; required for rRNA processing and nuclear export of 40S ribosomal subunits independently of methylation activity; functions with DEAH-box RNA helicase Ecm16p; diploid mutant displays random budding pattern; functional homolog of human WBSCR22""",Verified ORF
1110,3,211722,0.0148261997783948,0.113760554684697,0.896381065246269,YCR048W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
