SNP,Chr,Pos,Effect,SE,HNM1_ERG11_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
495,2,363190,-0.0014288086392879,0.0535876516206261,0.978743574794569,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
496,2,363588,0.0175381992310746,0.0537910211685189,0.744584833070648,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
497,2,363888,0.0202936175796867,0.0533265008393895,0.703763055158494,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
498,2,363954,0.0090325319579957,0.053123336495694,0.865084374941858,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
499,2,364199,-0.0024662218965886,0.0530531725406935,0.962949297745436,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
500,2,365863,-0.0024354967204522,0.0543307740736083,0.964270387902386,YBR061C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
501,2,365981,0.0087264492781012,0.0541209941148549,0.871996906539681,CUT019,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
502,2,366047,0.0226285810894132,0.0531345845652038,0.670459984833626,CUT019,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
503,2,366936,0.0127067514694386,0.0537556068252776,0.813274897085246,XUT_2F-146,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
504,2,369530,0.0111492981871927,0.053056718188069,0.833680239491426,YBR065C,ECM2,SGDID:S000000269,ORF,Verified ORF,"""Pre-mRNA splicing factor; facilitates the cooperative formation of U2/U6 helix II in association with stem II in the spliceosome ; function may be regulated by Slu7p""",Verified ORF
505,2,369788,0.0867555277422856,0.151544994450819,0.567365498591356,YBR065C_NFR/NDR,,,Promoter,Promoter,,Promoter
506,2,369931,0.006617136755544,0.0534228730959196,0.901493958519511,YBR065C_NFR/NDR,,,Promoter,Promoter,,Promoter
507,2,371033,0.0078955112938678,0.053280546786281,0.882279403240151,YBR066C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
508,2,372919,0.0207036747488767,0.0530406331403265,0.696523456507205,YBR067C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
509,2,373518,0.0229735037529406,0.0530078533638579,0.664990285380894,YBR067C,TIP1,SGDID:S000000271,Close to 3'-UTR,Close to 3'-UTR,"""Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins""",Verified ORF
510,2,376157,0.0097339988611069,0.053136446924148,0.854755098057254,YBR068C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
511,2,376172,0.0220160051889599,0.0535102598817257,0.681003120883377,YBR068C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
512,2,381364,0.0322410026703603,0.0553664598693563,0.56072282577956,YBR071W,YBR071W,SGDID:S000000275,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function found in the cytoplasm and bud neck; mRNA expression may be regulated by the cell cycle and/or cell wall stress; overexpression of YBR071W affects endocytic protein trafficking""",Verified ORF
513,2,381368,0.0346817195288764,0.0560620874406397,0.536558754377307,YBR071W,YBR071W,SGDID:S000000275,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function found in the cytoplasm and bud neck; mRNA expression may be regulated by the cell cycle and/or cell wall stress; overexpression of YBR071W affects endocytic protein trafficking""",Verified ORF
514,2,381433,0.0279840720769001,0.053463687314725,0.601009012788112,CUT023,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
515,2,381922,0.018169878141681,0.053891163905394,0.736197597644216,YBR072W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
516,2,382146,0.0154222353814027,0.0530826207690018,0.77157937147788,YBR072W,HSP26,SGDID:S000000276,ORF,Verified ORF,"""Small heat shock protein (sHSP) with chaperone activity; forms hollow ; sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity""",Verified ORF
517,2,384206,0.0335612056715179,0.0532242607744199,0.528734838879333,YBR073W,RDH54,SGDID:S000000277,ORF,Verified ORF,"""DNA-dependent ATPase; DNA recombination/repair translocase ; supercoils DNA ; promotes DNA strand opening; stimulates strand exchange by modifying dsDNA topology; involved in recombinational repair of DNA double-strand breaks (DSBs) during mitosis ; meiosis; implicated in cell divisions in telomerase-negative strains through adaptation to DNA damage ; which allows bypass of cell cycle arrest and contributes senescence-specific genome instability; phosphorylated in response to DNA damage""",Verified ORF
518,2,384955,0.0130951107639701,0.0531310350563371,0.805463075435444,YBR073W,RDH54,SGDID:S000000277,ORF,Verified ORF,"""DNA-dependent ATPase; DNA recombination/repair translocase ; supercoils DNA ; promotes DNA strand opening; stimulates strand exchange by modifying dsDNA topology; involved in recombinational repair of DNA double-strand breaks (DSBs) during mitosis ; meiosis; implicated in cell divisions in telomerase-negative strains through adaptation to DNA damage ; which allows bypass of cell cycle arrest and contributes senescence-specific genome instability; phosphorylated in response to DNA damage""",Verified ORF
519,2,386207,-0.0127537245739151,0.0772112489682319,0.868897159676957,YBR074W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
520,2,387301,0.0303002856963356,0.0533817276119887,0.570657028063011,YBR074W,PFF1,SGDID:S000000278,ORF,Verified ORF,"""Multi-spanning vacuolar membrane protease; glycosylated transmembrane protein bearing homology to the M28 family of metalloproteases; has a lumenal-facing protease domain; proposed role in vacuole physiology""",Verified ORF
521,2,388313,0.0370406414784328,0.0530523486680437,0.48551778336123,YBR074W,PFF1,SGDID:S000000278,ORF,Verified ORF,"""Multi-spanning vacuolar membrane protease; glycosylated transmembrane protein bearing homology to the M28 family of metalloproteases; has a lumenal-facing protease domain; proposed role in vacuole physiology""",Verified ORF
522,2,389425,0.037021198168091,0.0882503170497087,0.675104360933685,ARS213,ARS213,SGDID:S000130152,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
523,2,389428,0.0519997949716897,0.0882289130332785,0.555987662270892,ARS213,ARS213,SGDID:S000130152,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
524,2,390138,0.0173657877587768,0.0532462058122619,0.744510698720043,ARS213,ARS213,SGDID:S000130152,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
525,2,391233,0.0301900455947562,0.0535260857882471,0.573095341353207,YBR076W,ECM8,SGDID:S000000280,ORF,Verified ORF,"""Non-essential protein of unknown function""",Verified ORF
526,2,391319,0.0146221451336627,0.0548478300802539,0.789936837072397,YBR076W,ECM8,SGDID:S000000280,Close to 3'-UTR,Close to 3'-UTR,"""Non-essential protein of unknown function""",Verified ORF
527,2,393340,-0.246132456646332,0.708555071165901,0.728518602129069,YBR078W,ECM33,SGDID:S000000282,Close to 3'-UTR,Close to 3'-UTR,"""GPI-anchored protein involved in efficient glucose uptake; possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; phosphorylated in mitochondria; similar to Sps2p; ECM33 has a paralog ; PST1 ; that arose from the whole genome duplication""",Verified ORF
528,2,395042,0.220175933567575,0.117945377618268,0.0627636784612882,YBR078W,ECM33,SGDID:S000000282,Close to 3'-UTR,Close to 3'-UTR,"""GPI-anchored protein involved in efficient glucose uptake; possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; phosphorylated in mitochondria; similar to Sps2p; ECM33 has a paralog ; PST1 ; that arose from the whole genome duplication""",Verified ORF
529,2,395228,0.0739348318245922,0.0551463567137357,0.180879346111531,YBR078W,ECM33,SGDID:S000000282,Close to 3'-UTR,Close to 3'-UTR,"""GPI-anchored protein involved in efficient glucose uptake; possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; phosphorylated in mitochondria; similar to Sps2p; ECM33 has a paralog ; PST1 ; that arose from the whole genome duplication""",Verified ORF
530,2,395606,0.0771593503134451,0.0530807787660571,0.146939773735323,YBR079C,RPG1,SGDID:S000000283,ORF,Verified ORF,"""eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; essential for loading mRNA onto ribosome at entry and exit channels of preinitiation complex; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough""",Verified ORF
531,2,395726,0.0917702152711883,0.0529953361775718,0.0842067040020697,YBR079C,RPG1,SGDID:S000000283,ORF,Verified ORF,"""eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; essential for loading mRNA onto ribosome at entry and exit channels of preinitiation complex; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough""",Verified ORF
532,2,395853,0.0873468569770696,0.0531686498388956,0.10130929203858,YBR079C,RPG1,SGDID:S000000283,ORF,Verified ORF,"""eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; essential for loading mRNA onto ribosome at entry and exit channels of preinitiation complex; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough""",Verified ORF
533,2,396484,0.0885229368603397,0.0529263024514993,0.0952980127103899,YBR079C,RPG1,SGDID:S000000283,ORF,Verified ORF,"""eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; essential for loading mRNA onto ribosome at entry and exit channels of preinitiation complex; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough""",Verified ORF
534,2,396705,0.104028182268656,0.0528205553809091,0.0496814409166702,YBR079C,RPG1,SGDID:S000000283,ORF,Verified ORF,"""eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; essential for loading mRNA onto ribosome at entry and exit channels of preinitiation complex; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough""",Verified ORF
535,2,398759,0.0766090727762134,0.0533886911056955,0.152192213882856,YBR080C,SEC18,SGDID:S000000284,ORF,Verified ORF,"""AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi ; the 'priming' step in homotypic vacuole fusion ; autophagy ; and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)""",Verified ORF
536,2,400386,0.099091846941281,0.0529834813014208,0.062277841936293,YBR080C,SEC18,SGDID:S000000284,ORF,Verified ORF,"""AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi ; the 'priming' step in homotypic vacuole fusion ; autophagy ; and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)""",Verified ORF
537,2,400847,0.116296243431077,0.0528349496576253,0.0283740808663219,YBR080C,SEC18,SGDID:S000000284,ORF,Verified ORF,"""AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi ; the 'priming' step in homotypic vacuole fusion ; autophagy ; and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)""",Verified ORF
538,2,401130,0.096176648668087,0.0534391551912489,0.0727552839810463,YBR080C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
539,2,401143,0.0826826743429685,0.0533963099167946,0.122404804564463,YBR080C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
540,2,401979,0.0971163826429189,0.0532940884943548,0.0692595141772275,YBR081C,SPT7,SGDID:S000000285,ORF,Verified ORF,"""Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex""",Verified ORF
541,2,403598,0.105024028131477,0.0529664326941268,0.0481599221359043,YBR081C,SPT7,SGDID:S000000285,ORF,Verified ORF,"""Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex""",Verified ORF
542,2,404844,0.117861235441373,0.0534889455907992,0.0282070046972746,YBR081C,SPT7,SGDID:S000000285,ORF,Verified ORF,"""Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex""",Verified ORF
543,2,405100,0.122922992448963,0.0529599702708233,0.020852933544273,YBR081C,SPT7,SGDID:S000000285,ORF,Verified ORF,"""Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex""",Verified ORF
544,2,405576,0.0044062870848815,0.0646462934675552,0.945696911742854,YBR081C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
545,2,405578,0.131560452544692,0.0850214998730821,0.122667990708019,YBR081C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
546,2,405579,-0.0111553185290418,0.0660211047840534,0.865920203296889,YBR081C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
547,2,405730,0.227046076872921,0.106382662420479,0.033511769375436,YBR081C,SPT7,SGDID:S000000285,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex""",Verified ORF
548,2,406181,0.102711204947752,0.0531165351093891,0.0539497533627935,YBR081C,SPT7,SGDID:S000000285,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex""",Verified ORF
549,2,406688,0.119344534541505,0.0527075861199888,0.0241632595234977,YBR082C,UBC4,SGDID:S000000286,ORF,Verified ORF,"""Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of abnormal or excess proteins ; including calmodulin and histone H3; regulates levels of DNA Polymerase-{alpha} to promote efficient and accurate DNA replication; interacts with many SCF ubiquitin protein ligases; component of the cellular stress response; UBC4 has a paralog ; UBC5 ; that arose from the whole genome duplication""",Verified ORF
550,2,407621,0.121825419452613,0.0531301740129634,0.0224376782488456,YBR082C,UBC4,SGDID:S000000286,Close to 3'-UTR,Close to 3'-UTR,"""Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of abnormal or excess proteins ; including calmodulin and histone H3; regulates levels of DNA Polymerase-{alpha} to promote efficient and accurate DNA replication; interacts with many SCF ubiquitin protein ligases; component of the cellular stress response; UBC4 has a paralog ; UBC5 ; that arose from the whole genome duplication""",Verified ORF
551,2,409016,0.138789830026994,0.0535533282283965,0.0099490901224338,YBR083W,TEC1,SGDID:S000000287,Close to 3'-UTR,Close to 3'-UTR,"""Transcription factor targeting filamentation genes and Ty1 expression; Ste12p activation of most filamentation gene promoters depends on Tec1p and Tec1p transcriptional activity is dependent on its association with Ste12p; binds to TCS elements upstream of filamentation genes ; which are regulated by Tec1p/Ste12p/Dig1p complex; competes with Dig2p for binding to Ste12p/Dig1p; positive regulator of chronological life span; TEA/ATTS DNA-binding domain family member""",Verified ORF
552,2,410647,0.14786536888466,0.0526879088109727,0.005287134862624,YBR083W,TEC1,SGDID:S000000287,Close to 3'-UTR,Close to 3'-UTR,"""Transcription factor targeting filamentation genes and Ty1 expression; Ste12p activation of most filamentation gene promoters depends on Tec1p and Tec1p transcriptional activity is dependent on its association with Ste12p; binds to TCS elements upstream of filamentation genes ; which are regulated by Tec1p/Ste12p/Dig1p complex; competes with Dig2p for binding to Ste12p/Dig1p; positive regulator of chronological life span; TEA/ATTS DNA-binding domain family member""",Verified ORF
553,2,418057,0.139407772511958,0.0604952986161432,0.021777894145185,ARS215,ARS215,SGDID:S000118349,Other features,Replication,"""Autonomously Replicating Sequence; replication origin of very weak function""",ARS
554,2,419803,0.0910354617510035,0.0534272322801369,0.0892769982472435,YBR085C-A,YBR085C-A,SGDID:S000007522,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus; protein abundance increases in response to DNA replication stress""",Verified ORF
555,2,419943,0.112263922833587,0.0536313590527097,0.0370399726076445,YBR085C-A,YBR085C-A,SGDID:S000007522,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus; protein abundance increases in response to DNA replication stress""",Verified ORF
556,2,422349,0.10852523529331,0.0529873982030392,0.0412863464486715,YBR086C,IST2,SGDID:S000000290,ORF,Verified ORF,"""Cortical ER protein involved in ER-plasma membrane (PM) tethering; one of 6 proteins (Ist2 ; Scs2 ; Scs22 ; Tcb1 ; Tcb2 ; Tcb3) that connect ER to PM ; regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1 phosphatase to PI4P; required to locate Osh6 ; Osh7 in ER/PM contact site to allow phosphatidylserine transport from ER to PM; localizes to mother in small-budded cells ; to bud in medium- ; large-budded cells; mRNA transported to bud tip by actomyosin-driven process""",Verified ORF
557,2,425467,0.0962212266998067,0.0528624610750128,0.0695724355713821,YBR088C,POL30,SGDID:S000000292,ORF,Verified ORF,"""Proliferating cell nuclear antigen (PCNA); functions as the sliding replication clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic chromosomal DNA replication and for DNA repair; PCNA ubiquitination at K164 plays a crucial role during Okazaki fragment processing""",Verified ORF
558,2,427842,0.163013325794704,0.10573706072595,0.124045896142678,XUT_2F-177,,,Unstable transcript,XUT,ncRNA_STM,Unstable transcript
559,2,427869,0.147908260381875,0.105589020510262,0.162154701724001,XUT_2F-177,,,Unstable transcript,XUT,ncRNA_STM,Unstable transcript
560,2,429095,0.0609028022752182,0.0533260310820025,0.254193223003061,XUT_2F-177,,,Unstable transcript,XUT,ncRNA_STM,Unstable transcript
561,2,431266,0.0741447244842406,0.0533076920667499,0.165137228221942,XUT_2F-177,,,Unstable transcript,XUT,ncRNA_STM,Unstable transcript
562,2,431446,0.0815642002652122,0.0534935921828122,0.128217574662769,XUT_2F-177,,,Unstable transcript,XUT,ncRNA_STM,Unstable transcript
563,2,432524,0.100279380823302,0.0528854821565419,0.0587551296723633,YBR094W,PBY1,SGDID:S000000298,ORF,Verified ORF,"""Putative tubulin tyrosine ligase associated with P-bodies; may have a role in mRNA metabolism; yeast knockout collection strain identified as a pby1 null mutant is actually wild-type for PBY1 and deleted for mms4""",Verified ORF
564,2,434090,0.0852935675338603,0.0534514602832108,0.111446146039383,YBR094W,PBY1,SGDID:S000000298,ORF,Verified ORF,"""Putative tubulin tyrosine ligase associated with P-bodies; may have a role in mRNA metabolism; yeast knockout collection strain identified as a pby1 null mutant is actually wild-type for PBY1 and deleted for mms4""",Verified ORF
565,2,441927,0.0895488528531507,0.0528552143137864,0.0911037354851731,YBR098W,MMS4,SGDID:S000000302,ORF,Verified ORF,"""Subunit of structure-specific Mms4p-Mus81p endonuclease; cleaves branched DNA; involved in recombination ; DNA repair ; and joint molecule formation/resolution during meiotic recombination; phosphorylation of the non-catalytic subunit Mms4p by Cdc28p and Cdc5p during mitotic cell cycle activates the function of Mms4p-Mus81p""",Verified ORF
566,2,446471,0.1069481941145,0.0534178207567618,0.0460378651162837,YBR102C,EXO84,SGDID:S000000306,ORF,Verified ORF,"""Exocyst subunit with dual roles in exocytosis and spliceosome assembly; subunit of the the exocyst complex which mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane (PM) prior to SNARE-mediated fusion; required for exocyst assembly and targeting the complex to specific sites on the bud tip PM; associates the U1 snRNP; role in pre-mRNA splicing and prespliceosome formation; possible Cdc28 substrate""",Verified ORF
567,2,449325,0.111968383475304,0.0530725386842668,0.0355856227035143,YBR103C-A,YBR103C-A,SGDID:S000007593,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; identified by homology to related yeast""",Dubious ORF
568,2,449537,0.128299436968033,0.0552102952000677,0.0207017403318623,YBR104W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
569,2,450017,0.093799343287485,0.0528747907362974,0.0769267878708561,YBR104W,YMC2,SGDID:S000000308,ORF,Verified ORF,"""Putative mitochondrial inner membrane transporter; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; YMC2 has a paralog ; YMC1 ; that arose from the whole genome duplication""",Verified ORF
570,2,451779,0.0621071078941783,0.0532055109059718,0.243874737193951,YBR105C,VID24,SGDID:S000000309,ORF,Verified ORF,"""GID Complex regulatory subunit; binds GID Complex in response to glucose through interactions with complex member Vid28p; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; promotes proteasome-dependent catabolite degradation of FBPase; peripheral membrane protein located at Vid (vacuole import and degradation) vesicles""",Verified ORF
571,2,451784,0.0602635233040778,0.0534040768177027,0.259898684774433,YBR105C,VID24,SGDID:S000000309,ORF,Verified ORF,"""GID Complex regulatory subunit; binds GID Complex in response to glucose through interactions with complex member Vid28p; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; promotes proteasome-dependent catabolite degradation of FBPase; peripheral membrane protein located at Vid (vacuole import and degradation) vesicles""",Verified ORF
572,2,453525,0.0416535948062837,0.0534711292395113,0.436506180293351,YBR106W,SND3,SGDID:S000000310,Close to 3'-UTR,Close to 3'-UTR,"""Involved in SRP-independent protein targeting to the ER; component of an alternative ER-targeting pathway partially redundant with the GET pathway that can compensate for SRP loss; preference for substrates with downstream transmembrane domains; interacts with Snd1p ; Env10p/Snd2p ; and Sec61p-translocon subunits; role in establishing nucleus-vacuole junctions (NVJs) in high glucose; targeted to the NVJ during glucose starvation to facilitate expansion; role in phosphate transport with Pho86p""",Verified ORF
573,2,453768,0.0633068674301877,0.0534816675441204,0.237323761011035,YBR106W,SND3,SGDID:S000000310,Close to 3'-UTR,Close to 3'-UTR,"""Involved in SRP-independent protein targeting to the ER; component of an alternative ER-targeting pathway partially redundant with the GET pathway that can compensate for SRP loss; preference for substrates with downstream transmembrane domains; interacts with Snd1p ; Env10p/Snd2p ; and Sec61p-translocon subunits; role in establishing nucleus-vacuole junctions (NVJs) in high glucose; targeted to the NVJ during glucose starvation to facilitate expansion; role in phosphate transport with Pho86p""",Verified ORF
574,2,454027,0.0647514546017445,0.0532528648131115,0.224826235635903,YBR107C,IML3,SGDID:S000000311,ORF,Verified ORF,"""Outer kinetochore protein and component of the Ctf19 complex; involved in the establishment of pericentromeric cohesion during mitosis; prevents non-disjunction of sister chromatids during meiosis II; forms a stable complex with Chl4p; required for localization of Sgo1p to pericentric sites during meiosis I; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-L and fission yeast fta1""",Verified ORF
575,2,455029,0.0677574828619995,0.053270483919732,0.204227579090784,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
576,2,455247,0.0646142050931137,0.053108720432941,0.224553967358416,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
577,2,455272,0.0461481584185366,0.106020477351702,0.663628188558002,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
578,2,455272,0.17209747638925,0.120889476570009,0.155447428448415,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
579,2,455756,0.0617340496167875,0.0570818534794111,0.280212832374978,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
580,2,457024,0.066946585974226,0.0534924813514235,0.21157574073728,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
581,2,457298,0.0615397278668074,0.0536660998584163,0.252276049405082,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
582,2,460202,0.0773969469961793,0.0537303037110654,0.150620511409487,YBR110W,ALG1,SGDID:S000000314,ORF,Verified ORF,"""Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability; human homolog ALG1 complements yeast null mutant""",Verified ORF
583,2,460262,0.651421327867611,0.302509088548619,0.0319644965202251,YBR110W,ALG1,SGDID:S000000314,Close to 3'-UTR,Close to 3'-UTR,"""Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability; human homolog ALG1 complements yeast null mutant""",Verified ORF
584,2,460263,0.329999164833267,0.213501943932995,0.123085248274529,YBR110W,ALG1,SGDID:S000000314,Close to 3'-UTR,Close to 3'-UTR,"""Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability; human homolog ALG1 complements yeast null mutant""",Verified ORF
585,2,464079,-0.252196705395317,0.181039312485228,0.164481477748541,YBR112C,CYC8,SGDID:S000000316,ORF,Verified ORF,"""General transcriptional co-repressor; acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form the prion [OCT+]""",Verified ORF
586,2,464424,0.0905564510689991,0.0533917555805787,0.0907532210807672,YBR112C,CYC8,SGDID:S000000316,ORF,Verified ORF,"""General transcriptional co-repressor; acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form the prion [OCT+]""",Verified ORF
587,2,465824,0.0782369588389326,0.0539754955337479,0.148088508282402,YBR113W,YBR113W,SGDID:S000000317,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene CYC8""",Dubious ORF
588,2,470145,0.0610280078364173,0.0532653201770063,0.252680425871832,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
589,2,470686,0.0872266904254276,0.0531294507028381,0.10152685511457,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
590,2,471144,0.0761147865508334,0.0532702106324189,0.153933521413977,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
