SNP,Chr,Pos,Effect,SE,SRO9_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
2292,4,974820,0.12465336681755,0.0669352539698632,0.0633917900028918,CUT075,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
2293,4,974882,0.0900578507784483,0.0669811146082479,0.179641669496726,CUT075,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
2294,4,974883,0.0919254162554375,0.0670647273494451,0.171340363242885,CUT075,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
2295,4,974990,0.0911982156249951,0.0676044976708602,0.178202846091686,CUT075,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
2296,4,975039,0.0724628380860635,0.0670511181577101,0.280563749863916,YDR259C,YAP6,SGDID:S000002667,ORF,Verified ORF,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2297,4,975090,0.103206054263216,0.0658567542020438,0.117980406557428,YDR259C,YAP6,SGDID:S000002667,ORF,Verified ORF,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2298,4,975108,0.105895467855254,0.0663755657267619,0.111518043239593,YDR259C,YAP6,SGDID:S000002667,ORF,Verified ORF,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2299,4,975149,0.108207137565426,0.0676099937476653,0.110390958302444,YDR259C,YAP6,SGDID:S000002667,ORF,Verified ORF,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2300,4,975156,0.117072820762352,0.0675681381430613,0.0840289497162984,YDR259C,YAP6,SGDID:S000002667,ORF,Verified ORF,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2301,4,975252,0.104993054706659,0.064825321435999,0.106204710103539,YDR259C,YAP6,SGDID:S000002667,ORF,Verified ORF,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2302,4,975354,0.121468948058049,0.0649235750608729,0.0621787209498178,YDR259C,YAP6,SGDID:S000002667,ORF,Verified ORF,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2303,4,975573,0.111727979932709,0.0650674113066778,0.0868359729335547,YDR259C,YAP6,SGDID:S000002667,ORF,Verified ORF,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2304,4,975702,0.112871464346554,0.0648895805983172,0.0828292432734014,YDR259C,YAP6,SGDID:S000002667,ORF,Verified ORF,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2305,4,976036,0.100840677171492,0.0665617365857899,0.130668632143217,YDR259C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2306,4,976174,0.127817089721674,0.0677993825691366,0.0602205658740161,YDR259C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2307,4,976264,0.0991126849340942,0.0668538473786877,0.139092095839676,YDR259C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2308,4,976271,0.0960025815732516,0.0667671194596689,0.151356223006836,YDR259C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2309,4,976707,0.0919474842901925,0.0650712127493446,0.158528434285828,YDR259C,YAP6,SGDID:S000002667,Close to 3'-UTR,Close to 3'-UTR,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2310,4,977037,0.104739915840755,0.0648203322388628,0.10702014804919,YDR260C,SWM1,SGDID:S000002668,ORF,Verified ORF,"""Subunit of the anaphase-promoting complex (APC); APC is an E3 ubiquitin ligase that regulates the metaphase-anaphase transition and exit from mitosis; required for activation of the daughter-specific gene expression and spore wall maturation""",Verified ORF
2311,4,977428,0.081708776766169,0.0665416225697587,0.220289568092501,YDR260C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2312,4,979983,0.068537868864436,0.0657019840767595,0.297586738307577,XUT_4F-449,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2313,4,980596,0.0903745240363933,0.065250128545252,0.166912621823452,YDR261W-A,YDR261W-A,SGDID:S000007396,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag""",transposable_element_gene
2314,4,980779,0.0948251961117431,0.0650491818480041,0.145799571010058,YDR261W-A,YDR261W-A,SGDID:S000007396,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag""",transposable_element_gene
2315,4,980835,0.113600713679712,0.0652412608394079,0.0825126571733533,YDRWdelta19_NFR/NDR,,,Promoter,Promoter,,Promoter
2316,4,996583,0.0769624182304484,0.0654853336598722,0.240682048716657,YDR264C,AKR1,SGDID:S000002672,ORF,Verified ORF,"""Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats; AKR1 has a paralog ; AKR2 ; that arose from the whole genome duplication; any of several human homologs encoding DHHC-type zinc fingers (ZDHHC) can complement temperature sensitivity of yeast akr1 null mutant""",Verified ORF
2317,4,997624,0.0709523705364101,0.0651332374355909,0.276746202655772,YDR264C,AKR1,SGDID:S000002672,ORF,Verified ORF,"""Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats; AKR1 has a paralog ; AKR2 ; that arose from the whole genome duplication; any of several human homologs encoding DHHC-type zinc fingers (ZDHHC) can complement temperature sensitivity of yeast akr1 null mutant""",Verified ORF
2318,4,998174,0.0352862854411998,0.0652155860295431,0.58879967911257,YDR264C,AKR1,SGDID:S000002672,ORF,Verified ORF,"""Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats; AKR1 has a paralog ; AKR2 ; that arose from the whole genome duplication; any of several human homologs encoding DHHC-type zinc fingers (ZDHHC) can complement temperature sensitivity of yeast akr1 null mutant""",Verified ORF
2319,4,1000959,0.0373010810584753,0.0653208370593926,0.568333081869022,YDR266C,HEL2,SGDID:S000002674,ORF,Verified ORF,"""RING finger ubiquitin ligase (E3); subunit of ribosome-associated quality control trigger complex (RQT); involved in ubiquitination and degradation of excess histones; interacts with Ubc4p and Rad53p; required to trigger ribosome-associated quality control (RQC) and canonical no-go decay; ubiquitinates Rps20 and Rps3; binds to ribosomal RNA ; mRNA and tRNA""",Verified ORF
2320,4,1006085,0.0815767341271784,0.0651993466638052,0.211693937730834,YDR270W,CCC2,SGDID:S000002678,ORF,Verified ORF,"""Cu(+2)-transporting P-type ATPase; required for export of copper from the cytosol into an extracytosolic compartment; similar to human proteins involved in Menkes and Wilsons diseases; protein abundance increases in response to DNA replication stress; affects TBSV model (+)RNA virus replication by regulating copper metabolism; human homologs ATP7A and ATP7B both complement yeast null mutant""",Verified ORF
2321,4,1013362,0.106305208268059,0.0662765811084141,0.109616423205122,YDR275W,BSC2,SGDID:S000002683,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression; null mutant displays increased translation rate and increased readthrough of premature stop codons; BSC2 has a paralog ; IRC23 ; that arose from the whole genome duplication""",Verified ORF
2322,4,1013533,0.0711087748158944,0.0649555711163893,0.274381583526514,YDR276C,PMP3,SGDID:S000002684,ORF,Verified ORF,"""Small plasma membrane protein; confers resistance to amphotericin B and is a potential target of this common antifungal drug; related to a family of plant polypeptides that are overexpressed under high salt concentration or low temperature; not essential for viability; deletion causes hyperpolarization of the plasma membrane potential""",Verified ORF
2323,4,1013882,0.0991466156931357,0.0649530681222863,0.127797108971276,YDR276C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2324,4,1014176,0.0788364967311089,0.0651281950226222,0.226903933139656,YDR276C,PMP3,SGDID:S000002684,Close to 3'-UTR,Close to 3'-UTR,"""Small plasma membrane protein; confers resistance to amphotericin B and is a potential target of this common antifungal drug; related to a family of plant polypeptides that are overexpressed under high salt concentration or low temperature; not essential for viability; deletion causes hyperpolarization of the plasma membrane potential""",Verified ORF
2325,4,1015219,0.0887074076464907,0.065167777503262,0.174313779670768,YDR277C,MTH1,SGDID:S000002685,ORF,Verified ORF,"""Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p ; triggering Mth1p degradation; MTH1 has a paralog ; STD1 ; that arose from the whole genome duplication""",Verified ORF
2326,4,1015754,0.0713210511933393,0.0657869047375922,0.279050461111858,YDR277C,MTH1,SGDID:S000002685,Close to 3'-UTR,Close to 3'-UTR,"""Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p ; triggering Mth1p degradation; MTH1 has a paralog ; STD1 ; that arose from the whole genome duplication""",Verified ORF
2327,4,1016051,0.089873964070539,0.0665217153405839,0.177545678014134,YDR277C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2328,4,1016202,0.0728543999822611,0.0664685709228567,0.273794073008838,YDR277C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2329,4,1016647,0.0810954213631721,0.065477500473145,0.216344995150255,YDR277C,MTH1,SGDID:S000002685,Close to 3'-UTR,Close to 3'-UTR,"""Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p ; triggering Mth1p degradation; MTH1 has a paralog ; STD1 ; that arose from the whole genome duplication""",Verified ORF
2330,4,1016717,0.103960545739242,0.0668509448138971,0.120816033135812,ARS430,ARS430,SGDID:S000118442,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
2331,4,1017795,0.115124049268028,0.065527880625091,0.0798067147759064,YDR278C,YDR278C,SGDID:S000002686,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YDR278C is not an essential gene""",Uncharacterized ORF
2332,4,1018597,0.0724424569936645,0.0652247224744628,0.267470896818475,YDR279W,RNH202,SGDID:S000002687,Close to 3'-UTR,Close to 3'-UTR,"""Ribonuclease H2 subunit; required for RNase H2 activity; role in ribonucleotide excision repair; related to human AGS2 that causes Aicardi-Goutieres syndrome""",Verified ORF
2333,4,1018955,0.0886765708711427,0.0660344694164005,0.180172649101627,YDR279W,RNH202,SGDID:S000002687,Close to 3'-UTR,Close to 3'-UTR,"""Ribonuclease H2 subunit; required for RNase H2 activity; role in ribonucleotide excision repair; related to human AGS2 that causes Aicardi-Goutieres syndrome""",Verified ORF
2334,4,1019310,0.0773981618280702,0.0659955554263393,0.24167547555282,YDR279W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2335,4,1020874,0.0712297144859058,0.065040269648888,0.274191765666697,YDR280W,RRP45,SGDID:S000002688,ORF,Verified ORF,"""Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp45p (PM/SCL-75 ; EXOSC9); protein abundance increases in response to DNA replication stress""",Verified ORF
2336,4,1022771,0.0985461909391022,0.0656957731724981,0.134498252238428,YDR281C,PHM6,SGDID:S000002689,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; expression is regulated by phosphate levels""",Verified ORF
2337,4,1026744,0.0645052244668749,0.0651646022001156,0.322910137104238,YDR283C,GCN2,SGDID:S000002691,ORF,Verified ORF,"""Protein kinase; phosphorylates the alpha-subunit of translation initiation factor eIF2 (Sui2p) in response to starvation; activated by uncharged tRNAs and the Gcn1p-Gcn20p complex; contributes to DNA damage checkpoint control""",Verified ORF
2338,4,1028509,0.0706683677865733,0.0656998227906527,0.282829638889285,YDR283C,GCN2,SGDID:S000002691,ORF,Verified ORF,"""Protein kinase; phosphorylates the alpha-subunit of translation initiation factor eIF2 (Sui2p) in response to starvation; activated by uncharged tRNAs and the Gcn1p-Gcn20p complex; contributes to DNA damage checkpoint control""",Verified ORF
2339,4,1029308,0.0382056862310948,0.0657696344768997,0.561677453452451,YDR283C,GCN2,SGDID:S000002691,ORF,Verified ORF,"""Protein kinase; phosphorylates the alpha-subunit of translation initiation factor eIF2 (Sui2p) in response to starvation; activated by uncharged tRNAs and the Gcn1p-Gcn20p complex; contributes to DNA damage checkpoint control""",Verified ORF
2340,4,1036857,0.0871052683668446,0.0654934684214747,0.184382208280046,YDR287W,INM2,SGDID:S000002695,ORF,Verified ORF,"""Inositol monophosphatase; involved in biosynthesis of inositol; enzymatic activity requires magnesium ions and is inhibited by lithium and sodium ions; inm1 inm2 double mutant lacks inositol auxotrophy""",Verified ORF
2341,4,1040300,0.0871193430922399,0.065169699537311,0.182146374488049,YDR291W,HRQ1,SGDID:S000002699,ORF,Verified ORF,"""3'-5' DNA helicase of the conserved RecQ family; involved in Pso2p-mediated interstrand crosslink repair; acts with Rad4p in nucleotide-excision repair; binds telomeres ; modulates telomerase activity with Pif1p and inhibits telomere addition to dsDNA breaks; role in telomerase-independent telomere maintenance; lacks ssDNA annealing and strand exchange activities; human RecQL4 ; a structural and functional homolog ; is involved in Rothmund-Thomson ; Baller-Gerold and RAPADILINO syndromes""",Verified ORF
2342,4,1043992,0.0754865451755184,0.0650276942465502,0.246492658114076,YDR292C,SRP101,SGDID:S000002700,ORF,Verified ORF,"""Signal recognition particle (SRP) receptor alpha subunit; contain GTPase domains; involved in SRP-dependent protein targeting; interacts with the beta subunit ; Srp102p""",Verified ORF
2343,4,1045331,0.0743287258323604,0.0743025216555845,0.317825092137956,YDR292C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2344,4,1046913,0.0749038594079391,0.0651330843928946,0.250917229817355,YDR293C,SSD1,SGDID:S000002701,ORF,Verified ORF,"""Translational repressor with a role in polar growth and wall integrity; regulated by Cbk1p phosphorylation to effect bud-specific translational control and localization of specific mRNAs; interacts with TOR pathway components; contains a functional N-terminal nuclear localization sequence and nucleocytoplasmic shuttling appears to be critical to Ssd1p function""",Verified ORF
2345,4,1047131,0.0648207332990616,0.0650756891545985,0.319892521202587,YDR293C,SSD1,SGDID:S000002701,ORF,Verified ORF,"""Translational repressor with a role in polar growth and wall integrity; regulated by Cbk1p phosphorylation to effect bud-specific translational control and localization of specific mRNAs; interacts with TOR pathway components; contains a functional N-terminal nuclear localization sequence and nucleocytoplasmic shuttling appears to be critical to Ssd1p function""",Verified ORF
2346,4,1049568,0.0109104285474689,0.0658969573852253,0.868591698766203,YDR293C,SSD1,SGDID:S000002701,Close to 3'-UTR,Close to 3'-UTR,"""Translational repressor with a role in polar growth and wall integrity; regulated by Cbk1p phosphorylation to effect bud-specific translational control and localization of specific mRNAs; interacts with TOR pathway components; contains a functional N-terminal nuclear localization sequence and nucleocytoplasmic shuttling appears to be critical to Ssd1p function""",Verified ORF
2347,4,1051775,0.0682304911889111,0.0651724333043344,0.295851602047367,YDR294C,DPL1,SGDID:S000002702,ORF,Verified ORF,"""Dihydrosphingosine phosphate lyase; regulates intracellular levels of sphingolipid long-chain base phosphates (LCBPs) ; degrades phosphorylated long chain bases ; prefers C16 dihydrosphingosine-l-phosphate as a substrate""",Verified ORF
2348,4,1051793,0.0799450412411011,0.0654962094658034,0.223050091625198,YDR294C,DPL1,SGDID:S000002702,ORF,Verified ORF,"""Dihydrosphingosine phosphate lyase; regulates intracellular levels of sphingolipid long-chain base phosphates (LCBPs) ; degrades phosphorylated long chain bases ; prefers C16 dihydrosphingosine-l-phosphate as a substrate""",Verified ORF
2349,4,1052459,0.0640215232442697,0.065568872546818,0.329534348595124,YDR294C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2350,4,1057927,-0.178217008248966,0.210742132853494,0.398313132826237,ARS431,ARS431,SGDID:S000118443,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
2351,4,1057929,0.113977226484667,0.17858114471383,0.523732756856547,ARS431,ARS431,SGDID:S000118443,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
2352,4,1062037,-0.0011413122763749,0.0660896992756428,0.986231660887647,YDR300C,PRO1,SGDID:S000002708,ORF,Verified ORF,"""Gamma-glutamyl kinase; catalyzes the first step in proline biosynthesis; required for nitrogen starvation-induced ribophagy but not for nonselective autophagy; PRO1 has a paralog ; YHR033W ; that arose from the whole genome duplication""",Verified ORF
2353,4,1062762,0.0104398346648021,0.0652402572407403,0.872955774953079,YDR300C,PRO1,SGDID:S000002708,ORF,Verified ORF,"""Gamma-glutamyl kinase; catalyzes the first step in proline biosynthesis; required for nitrogen starvation-induced ribophagy but not for nonselective autophagy; PRO1 has a paralog ; YHR033W ; that arose from the whole genome duplication""",Verified ORF
2354,4,1064285,0.0394527216597118,0.0655818118189595,0.547839732435178,YDR301W,CFT1,SGDID:S000002709,ORF,Verified ORF,"""RNA-binding subunit of the mRNA cleavage and polyadenylation factor; involved in poly(A) site recognition and required for both pre-mRNA cleavage and polyadenylation ; 51% sequence similarity with mammalian AAUAA-binding subunit of CPSF""",Verified ORF
2355,4,1066022,0.0364858256446298,0.0652198973319933,0.576224537336274,YDR301W,CFT1,SGDID:S000002709,ORF,Verified ORF,"""RNA-binding subunit of the mRNA cleavage and polyadenylation factor; involved in poly(A) site recognition and required for both pre-mRNA cleavage and polyadenylation ; 51% sequence similarity with mammalian AAUAA-binding subunit of CPSF""",Verified ORF
2356,4,1066228,0.0303011937328749,0.0654135398649105,0.643488483119401,YDR301W,CFT1,SGDID:S000002709,ORF,Verified ORF,"""RNA-binding subunit of the mRNA cleavage and polyadenylation factor; involved in poly(A) site recognition and required for both pre-mRNA cleavage and polyadenylation ; 51% sequence similarity with mammalian AAUAA-binding subunit of CPSF""",Verified ORF
2357,4,1071689,0.0942980394422517,0.0650616827144478,0.148123837478262,YDR303C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2358,4,1077589,0.0414395670963505,0.0652486421985269,0.525773097842746,YDR307W,PMT7,SGDID:S000002715,ORF,Uncharacterized ORF,"""Putative protein mannosyltransferase similar to Pmt1p; has a potential role in protein O-glycosylation""",Uncharacterized ORF
2359,4,1077718,0.0497981477978151,0.0652093818406918,0.445576770459178,YDR307W,PMT7,SGDID:S000002715,ORF,Uncharacterized ORF,"""Putative protein mannosyltransferase similar to Pmt1p; has a potential role in protein O-glycosylation""",Uncharacterized ORF
2360,4,1077851,0.0763483929773266,0.0660565489714391,0.248543202830029,YDR307W,PMT7,SGDID:S000002715,ORF,Uncharacterized ORF,"""Putative protein mannosyltransferase similar to Pmt1p; has a potential role in protein O-glycosylation""",Uncharacterized ORF
2361,4,1079690,0.0585948680122906,0.0652242918498931,0.369606213362159,YDR309C,GIC2,SGDID:S000002717,ORF,Verified ORF,"""Rho-family GTPase interacting protein and Cdc42p effector; required with Gic1p for cell polarity establishment and initiation of budding; involved in recruitment of septins to the presumptive bud site; interacts with Cdc42p via the Cdc42/Rac-interactive binding (CRIB) domain and with PI(4,5)P2 via a polybasic region; gic1 gic2 double mutants are defective for polarizing Cdc42p at elevated temperature ; so may function both up- and downstream of Cdc42p; regulates mitotic exit""",Verified ORF
2362,4,1079853,0.0653486335219534,0.0653455920745742,0.317972999452124,YDR309C,GIC2,SGDID:S000002717,ORF,Verified ORF,"""Rho-family GTPase interacting protein and Cdc42p effector; required with Gic1p for cell polarity establishment and initiation of budding; involved in recruitment of septins to the presumptive bud site; interacts with Cdc42p via the Cdc42/Rac-interactive binding (CRIB) domain and with PI(4,5)P2 via a polybasic region; gic1 gic2 double mutants are defective for polarizing Cdc42p at elevated temperature ; so may function both up- and downstream of Cdc42p; regulates mitotic exit""",Verified ORF
2363,4,1080944,0.064281864314621,0.105112377202798,0.541226713264574,SUT066,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
2364,4,1086372,0.0271644364129192,0.0656561335837196,0.679317254944695,YDR311W,TFB1,SGDID:S000002719,ORF,Verified ORF,"""Subunit of TFIIH and nucleotide excision repair factor 3 complexes; required for nucleotide excision repair ; target for transcriptional activators; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2365,4,1091087,0.0118317458172191,0.0650586071956599,0.855794720068689,YDR314C,RAD34,SGDID:S000002722,ORF,Verified ORF,"""Protein involved in nucleotide excision repair (NER); homologous to RAD4""",Verified ORF
2366,4,1091200,-2.88220995438224e-05,0.0656133261216098,0.999649759766495,YDR314C,RAD34,SGDID:S000002722,ORF,Verified ORF,"""Protein involved in nucleotide excision repair (NER); homologous to RAD4""",Verified ORF
2367,4,1091234,0.0221280466106294,0.0659229748176696,0.73732278147148,YDR314C,RAD34,SGDID:S000002722,ORF,Verified ORF,"""Protein involved in nucleotide excision repair (NER); homologous to RAD4""",Verified ORF
2368,4,1091966,0.0288396724203518,0.0654528455591711,0.659759597958309,YDR314C,RAD34,SGDID:S000002722,ORF,Verified ORF,"""Protein involved in nucleotide excision repair (NER); homologous to RAD4""",Verified ORF
2369,4,1094122,-0.0208606353635884,0.0660024007542652,0.752144721365874,YDR316W,OMS1,SGDID:S000002724,ORF,Verified ORF,"""Protein integral to the mitochondrial membrane; has a conserved methyltransferase motif and is predicted to be an RNA methyltransferase; multicopy suppressor of respiratory defects caused by OXA1 mutations""",Verified ORF
2370,4,1095022,0.0025550148195381,0.0654395097941441,0.968877445861859,YDR316W,OMS1,SGDID:S000002724,ORF,Verified ORF,"""Protein integral to the mitochondrial membrane; has a conserved methyltransferase motif and is predicted to be an RNA methyltransferase; multicopy suppressor of respiratory defects caused by OXA1 mutations""",Verified ORF
2371,4,1095148,-0.0266953546502924,0.0663610511556449,0.687725537767385,YDR316W,OMS1,SGDID:S000002724,ORF,Verified ORF,"""Protein integral to the mitochondrial membrane; has a conserved methyltransferase motif and is predicted to be an RNA methyltransferase; multicopy suppressor of respiratory defects caused by OXA1 mutations""",Verified ORF
2372,4,1095215,-0.0106693113181082,0.0655215083757071,0.87074012694735,YDR316W,OMS1,SGDID:S000002724,Close to 3'-UTR,Close to 3'-UTR,"""Protein integral to the mitochondrial membrane; has a conserved methyltransferase motif and is predicted to be an RNA methyltransferase; multicopy suppressor of respiratory defects caused by OXA1 mutations""",Verified ORF
2373,4,1101892,0.0018275829465126,0.0690496994002843,0.978899296021322,YDR316W-B,YDR316W-B,SGDID:S000007399,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag) ; reverse transcriptase (RT) ; protease (PR) ; and integrase (IN); similar to retroviral genes""",transposable_element_gene
2374,4,1101983,-0.0988389338698475,0.0849153944371781,0.245222451858435,YDR317W_NFR/NDR,,,Promoter,Promoter,,Promoter
2375,4,1102947,-0.0198623211316116,0.066268845377621,0.764564583289586,YDR317W,HIM1,SGDID:S000002725,ORF,Verified ORF,"""Protein of unknown function involved in DNA repair""",Verified ORF
2376,4,1103400,-0.0332302754420642,0.0660115231152238,0.614996250617163,YDR317W,HIM1,SGDID:S000002725,ORF,Verified ORF,"""Protein of unknown function involved in DNA repair""",Verified ORF
2377,4,1105164,-0.0129225858582022,0.0653349673039429,0.843323424895906,YDR319C,YFT2,SGDID:S000002727,ORF,Uncharacterized ORF,"""Protein required for normal ER membrane biosynthesis in response to ER stress; member of the highly conserved FIT family of proteins involved in triglyceride droplet biosynthesis; homologous to human FIT2/FITM2 ; a fatty acyl-CoA diphosphatase; interacts with Sst2p and Hsp82p in high-throughput two-hybrid screens""",Uncharacterized ORF
2378,4,1105360,-0.0301939662372945,0.0653239938794371,0.644209305061471,YDR319C,YFT2,SGDID:S000002727,ORF,Uncharacterized ORF,"""Protein required for normal ER membrane biosynthesis in response to ER stress; member of the highly conserved FIT family of proteins involved in triglyceride droplet biosynthesis; homologous to human FIT2/FITM2 ; a fatty acyl-CoA diphosphatase; interacts with Sst2p and Hsp82p in high-throughput two-hybrid screens""",Uncharacterized ORF
2379,4,1105583,-0.0293787180593212,0.0661629470333165,0.657288761666339,YDR319C,YFT2,SGDID:S000002727,ORF,Uncharacterized ORF,"""Protein required for normal ER membrane biosynthesis in response to ER stress; member of the highly conserved FIT family of proteins involved in triglyceride droplet biosynthesis; homologous to human FIT2/FITM2 ; a fatty acyl-CoA diphosphatase; interacts with Sst2p and Hsp82p in high-throughput two-hybrid screens""",Uncharacterized ORF
2380,4,1107094,-0.0337593929180926,0.0656832096965218,0.607592487813011,YDR320C,SWA2,SGDID:S000002728,ORF,Verified ORF,"""Auxilin-like protein involved in vesicular transport; clathrin-binding protein required for uncoating of clathrin-coated vesicles; required for propagation of [URE3] prion variant""",Verified ORF
2381,4,1108564,-0.0287502245204877,0.0671669950101302,0.668882335333631,YDR320W-B,YDR320W-B,SGDID:S000028821,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps the verified gene DAD4/YDR320C-A""",Dubious ORF
2382,4,1108600,-0.0056424570170361,0.0833476294939508,0.946064472625287,YDR320W-B,YDR320W-B,SGDID:S000028821,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps the verified gene DAD4/YDR320C-A""",Dubious ORF
