SNP,Chr,Pos,Effect,SE,SSH1_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
2470,4,1234689,0.0657188984111482,0.14106401361026,0.641588742006505,YDR380W,ARO10,SGDID:S000002788,ORF,Verified ORF,"""Phenylpyruvate decarboxylase; catalyzes decarboxylation of phenylpyruvate to phenylacetaldehyde ; which is the first specific step in the Ehrlich pathway; involved in protein N-terminal Met and Ala catabolism""",Verified ORF
2471,4,1235338,0.0470024832138101,0.140685757524283,0.738505863201484,YDR380W,ARO10,SGDID:S000002788,ORF,Verified ORF,"""Phenylpyruvate decarboxylase; catalyzes decarboxylation of phenylpyruvate to phenylacetaldehyde ; which is the first specific step in the Ehrlich pathway; involved in protein N-terminal Met and Ala catabolism""",Verified ORF
2472,4,1235719,0.0553597178117797,0.140661548215215,0.694138489498191,YDR380W,ARO10,SGDID:S000002788,ORF,Verified ORF,"""Phenylpyruvate decarboxylase; catalyzes decarboxylation of phenylpyruvate to phenylacetaldehyde ; which is the first specific step in the Ehrlich pathway; involved in protein N-terminal Met and Ala catabolism""",Verified ORF
2473,4,1237546,0.0999242125482504,0.1460446723208,0.494295870101356,YDR381W,YRA1,SGDID:S000002789,Close to 3'-UTR,Close to 3'-UTR,"""Nuclear polyadenylated RNA-binding protein; required for export of poly(A)+ mRNA from the nucleus; proposed to couple mRNA export with 3' end processing via its interactions with Mex67p and Pcf11p; interacts with DBP2; inhibits the helicase activity of Dbp2; functionally redundant with Yra2p ; another REF family member""",Verified ORF
2474,4,1240855,0.108712426598806,0.145909620911254,0.456727053897412,CUT088,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
2475,4,1242195,0.0158359568155428,0.141480472054236,0.910942261469755,YDR384C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2476,4,1242241,-0.0200512990443652,0.14208073186254,0.887850828142081,YDR384C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2477,4,1242383,0.001548923924705,0.140674567549532,0.991221138710673,YDR384C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2478,4,1246177,0.10140790354056,0.142270008560376,0.476449808337127,YDR386W,MUS81,SGDID:S000002794,ORF,Verified ORF,"""Subunit of structure-specific Mms4p-Mus81p endonuclease; cleaves branched DNA; involved in DNA repair ; replication fork stability ; and joint molecule formation/resolution during meiotic recombination; promotes template switching during break-induced replication (BIR) ; causing non-reciprocal translocations (NRTs); helix-hairpin-helix protein; phosphorylation of non-catalytic subunit Mms4p by Cdc28p and Cdcp during mitotic cell cycle activates function of Mms4p-Mus81p""",Verified ORF
2479,4,1248530,0.0934419986204277,0.140985988320131,0.507907137758172,YDR387C,CIN10,SGDID:S000002795,ORF,Uncharacterized ORF,"""Putative transporter; member of the sugar porter family; non-essential gene; overexpression results in elevated colony sectoring ; an indicator of chromosomal instability""",Uncharacterized ORF
2480,4,1248695,0.126432295313395,0.143175968954463,0.377807373718074,YDR387C,CIN10,SGDID:S000002795,ORF,Uncharacterized ORF,"""Putative transporter; member of the sugar porter family; non-essential gene; overexpression results in elevated colony sectoring ; an indicator of chromosomal instability""",Uncharacterized ORF
2481,4,1250650,0.121414317920724,0.142349380565189,0.394275456989077,YDR388W,RVS167,SGDID:S000002796,ORF,Verified ORF,"""Calmodulin-binding actin-associated protein; roles in endocytic membrane tabulation and constriction ; and exocytosis; N-BAR domain protein that interacts with Rvs161p to regulate actin cytoskeleton ; endocytosis ; and viability following starvation or osmotic stress; recruited to bud tips by Gyl1p and Gyp5p during polarized growth; homolog of mammalian amphiphysin; necessary for efficient trafficking of CoQ6 to mitochondria""",Verified ORF
2482,4,1256208,0.103887658878394,0.140857543314783,0.461285775096654,YDR390C,UBA2,SGDID:S000002798,ORF,Verified ORF,"""Subunit of heterodimeric nuclear SUMO activating enzyme E1 with Aos1p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation) ; which may play a role in protein targeting; essential for viability""",Verified ORF
2483,4,1256509,0.113442449640793,0.140438113743694,0.419763890819808,YDR390C,UBA2,SGDID:S000002798,ORF,Verified ORF,"""Subunit of heterodimeric nuclear SUMO activating enzyme E1 with Aos1p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation) ; which may play a role in protein targeting; essential for viability""",Verified ORF
2484,4,1257382,0.0951158931266725,0.142621850334202,0.505265502152577,YDR391C,YDR391C,SGDID:S000002799,ORF,Uncharacterized ORF,"""Putative protein of unknown function; possibly involved in zinc homeostasis; Bdf1p-dependent transcription induced by salt stress; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus""",Uncharacterized ORF
2485,4,1257441,0.125807476577033,0.140779999741522,0.372120200370608,YDR391C,YDR391C,SGDID:S000002799,ORF,Uncharacterized ORF,"""Putative protein of unknown function; possibly involved in zinc homeostasis; Bdf1p-dependent transcription induced by salt stress; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus""",Uncharacterized ORF
2486,4,1259337,0.0022737626603947,0.140898820292992,0.98713376858949,YDR392W,SPT3,SGDID:S000002800,ORF,Verified ORF,"""Subunit of the SAGA and SAGA-like transcriptional regulatory complexes; interacts with Spt15p to activate transcription of some RNA polymerase II-dependent genes ; also functions to inhibit transcription at some promoters; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2487,4,1260055,0.0680760719044702,0.141484182130624,0.630703189730358,YDR393W,SHE9,SGDID:S000002801,ORF,Verified ORF,"""Protein required for normal mitochondrial morphology; localized to mitochondrial inner membrane; may be involved in fission of the inner membrane; forms a homo-oligomeric complex""",Verified ORF
2488,4,1260275,0.105735653275862,0.142261083131079,0.457824264178358,YDR393W,SHE9,SGDID:S000002801,ORF,Verified ORF,"""Protein required for normal mitochondrial morphology; localized to mitochondrial inner membrane; may be involved in fission of the inner membrane; forms a homo-oligomeric complex""",Verified ORF
2489,4,1261102,0.0743198775452746,0.140037942565804,0.595951784829029,YDR393W,SHE9,SGDID:S000002801,ORF,Verified ORF,"""Protein required for normal mitochondrial morphology; localized to mitochondrial inner membrane; may be involved in fission of the inner membrane; forms a homo-oligomeric complex""",Verified ORF
2490,4,1261236,0.103966368645238,0.140378931684107,0.459420858517764,YDR393W,SHE9,SGDID:S000002801,ORF,Verified ORF,"""Protein required for normal mitochondrial morphology; localized to mitochondrial inner membrane; may be involved in fission of the inner membrane; forms a homo-oligomeric complex""",Verified ORF
2491,4,1261386,0.115601930265337,0.141342329393099,0.413973930201741,YDR394W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2492,4,1261899,0.0855941887620696,0.140654294551754,0.543218759470263,YDR394W,RPT3,SGDID:S000002802,ORF,Verified ORF,"""ATPase of the 19S regulatory particle of the 26S proteasome; one of ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; substrate of N-acetyltransferase B""",Verified ORF
2493,4,1264269,0.113162315903446,0.144920555008703,0.435409585181566,YDR395W,SXM1,SGDID:S000002803,ORF,Verified ORF,"""Nuclear transport factor (karyopherin); involved in protein transport between the cytoplasm and nucleoplasm; similar to Nmd5p ; Cse1p ; Lph2p ; and the human cellular apoptosis susceptibility protein ; CAS1""",Verified ORF
2494,4,1266919,0.0692888947160341,0.140632925106513,0.622535650290676,YDR397C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2495,4,1267444,0.0775312097433939,0.141524866212913,0.584156600993987,YDR398W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2496,4,1268273,0.0620481812568543,0.141580562686669,0.66147057593924,YDR398W,UTP5,SGDID:S000002806,ORF,Verified ORF,"""Subunit of U3-containing Small Subunit (SSU) processome complex; involved in production of 18S rRNA and assembly of small ribosomal subunit""",Verified ORF
2497,4,1268325,0.0775217622432182,0.142831407421789,0.587644372687663,YDR398W,UTP5,SGDID:S000002806,ORF,Verified ORF,"""Subunit of U3-containing Small Subunit (SSU) processome complex; involved in production of 18S rRNA and assembly of small ribosomal subunit""",Verified ORF
2498,4,1270033,0.120692243608239,0.141599673227626,0.394598702594076,YDR398W,UTP5,SGDID:S000002806,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of U3-containing Small Subunit (SSU) processome complex; involved in production of 18S rRNA and assembly of small ribosomal subunit""",Verified ORF
2499,4,1270573,0.104376474169247,0.141510069326071,0.461253370774845,YDR399W,HPT1,SGDID:S000002807,ORF,Verified ORF,"""Dimeric hypoxanthine-guanine phosphoribosyltransferase; catalyzes the transfer of the phosphoribosyl portion of 5-phosphoribosyl-alpha-1-pyrophosphate to a purine base (either guanine or hypoxanthine) to form pyrophosphate and a purine nucleotide (either guanosine monophosphate or inosine monophosphate); mutations in the human homolog HPRT1 can cause Lesch-Nyhan syndrome and Kelley-Seegmiller syndrome""",Verified ORF
2500,4,1271005,0.0747270035763119,0.140725382897895,0.595743727401111,YDR400W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2501,4,1272102,0.102399202297031,0.154814823560171,0.508767942666519,YDR400W,URH1,SGDID:S000002808,Close to 3'-UTR,Close to 3'-UTR,"""Uridine nucleosidase (uridine-cytidine N-ribohydrolase); cleaves N-glycosidic bonds in nucleosides; involved in the pyrimidine salvage and nicotinamide riboside salvage pathways""",Verified ORF
2502,4,1272320,0.112345359009507,0.143374519267692,0.433812209013147,YDR401W,YDR401W,SGDID:S000002809,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
2503,4,1276141,0.0467164757712834,0.141231765585815,0.74100781570411,YDR403W,DIT1,SGDID:S000002811,ORF,Verified ORF,"""Sporulation-specific enzyme required for spore wall maturation; involved in the production of a soluble LL-dityrosine-containing precursor of the spore wall; transcripts accumulate at the time of prospore enclosure""",Verified ORF
2504,4,1276325,0.0773750124347528,0.152756653190065,0.612804598033897,ARS434,ARS434,SGDID:S000118446,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
2505,4,1278407,0.0143980818516071,0.140593535319701,0.918489972035047,YDR405W,MRP20,SGDID:S000002813,ORF,Verified ORF,"""Mitochondrial ribosomal protein of the large subunit""",Verified ORF
2506,4,1278618,0.0265528147583891,0.141794099139387,0.851561871101263,YDR406W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2507,4,1278772,0.0098568750141145,0.141747754725325,0.944600650716066,YDR406W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2508,4,1278850,0.0352910324478257,0.14063867819782,0.802011101052208,YDR406W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2509,4,1279912,0.113271770255024,0.140646844455763,0.421152352125167,YDR406W,PDR15,SGDID:S000002814,ORF,Verified ORF,"""Plasma membrane ATP binding cassette (ABC) transporter; multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p ; Pdr3p and Pdr8p; promoter contains a PDR responsive element; PDR15 has a paralog ; PDR5 ; that arose from the whole genome duplication""",Verified ORF
2510,4,1282030,0.109214098520667,0.140953872574679,0.438963797924876,YDR406W,PDR15,SGDID:S000002814,ORF,Verified ORF,"""Plasma membrane ATP binding cassette (ABC) transporter; multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p ; Pdr3p and Pdr8p; promoter contains a PDR responsive element; PDR15 has a paralog ; PDR5 ; that arose from the whole genome duplication""",Verified ORF
2511,4,1284773,0.0759437631724333,0.146288251278555,0.603989955913812,YDR407C,TRS120,SGDID:S000002815,ORF,Verified ORF,"""Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating intra-Golgi and endosome-Golgi traffic""",Verified ORF
2512,4,1285240,0.117130563566942,0.141084435574107,0.406977758315489,YDR407C,TRS120,SGDID:S000002815,ORF,Verified ORF,"""Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating intra-Golgi and endosome-Golgi traffic""",Verified ORF
2513,4,1287974,0.0592940946647888,0.140462483536302,0.673183649334912,YDR407C,TRS120,SGDID:S000002815,Close to 3'-UTR,Close to 3'-UTR,"""Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating intra-Golgi and endosome-Golgi traffic""",Verified ORF
2514,4,1291036,-0.0172968802210844,0.30189120192475,0.954342557840278,YDR409W,SIZ1,SGDID:S000002817,ORF,Verified ORF,"""SUMO E3 ligase; promotes attachment of small ubiquitin-related modifier sumo (Smt3p) to primarily cytoplasmic proteins; regulates Rsp5p ubiquitin ligase activity and is in turn itself regulated by Rsp5p; required for sumoylation of septins and histone H3 variant Cse4p ; a prerequisite for STUbL-mediated Ub-dependent degradation; localizes to the septin ring; acts as an adapter between E2 ; Ubc9p and substrates; tends to compensate for survival of DNA damage in absence of Nfi1p""",Verified ORF
2515,4,1291435,-0.0081559072023606,0.141295829028339,0.954002563820168,YDR409W,SIZ1,SGDID:S000002817,ORF,Verified ORF,"""SUMO E3 ligase; promotes attachment of small ubiquitin-related modifier sumo (Smt3p) to primarily cytoplasmic proteins; regulates Rsp5p ubiquitin ligase activity and is in turn itself regulated by Rsp5p; required for sumoylation of septins and histone H3 variant Cse4p ; a prerequisite for STUbL-mediated Ub-dependent degradation; localizes to the septin ring; acts as an adapter between E2 ; Ubc9p and substrates; tends to compensate for survival of DNA damage in absence of Nfi1p""",Verified ORF
2516,4,1292515,-0.0479613168762475,0.141968977946922,0.735692445749848,YDR410C,STE14,SGDID:S000002818,ORF,Verified ORF,"""Farnesyl cysteine-carboxyl methyltransferase; mediates the carboxyl methylation step during C-terminal CAAX motif processing of a-factor and RAS proteins in the endoplasmic reticulum ; localizes to the ER membrane""",Verified ORF
2517,4,1296513,-0.0762808148941091,0.140237774958469,0.586826729736127,YDR414C,ERD1,SGDID:S000002822,ORF,Verified ORF,"""Predicted membrane protein required for lumenal ER protein retention; recycles inorganic phosphate byproduct of glycosylation from ER and Golgi; mutants secrete the endogenous ER protein ; BiP (Kar2p)""",Verified ORF
2518,4,1298073,-0.0611214921865008,0.140481345420534,0.663765753011973,YDR415C,YDR415C,SGDID:S000002823,ORF,Uncharacterized ORF,"""Putative aminopeptidase; SWAT-GFP fusion protein localizes to the endoplasmic reticulum and vacuole ; while mCherry fusion localizes to the vacuole""",Uncharacterized ORF
2519,4,1300999,0.0535170167676603,0.140887980307026,0.704281414584293,YDR416W,SYF1,SGDID:S000002824,ORF,Verified ORF,"""Member of the NineTeen Complex (NTC); that contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2 ; U5 ; and U6 snRNAs; null mutant has splicing defect and arrests in G2/M; relocalizes to the cytosol in response to hypoxia; homologs in human and C. elegans""",Verified ORF
2520,4,1301046,0.0088604683136313,0.141126812763289,0.949974252979847,CUT532_NFR/NDR,,,Promoter,Promoter,,Promoter
2521,4,1301309,0.0341469736169227,0.140095205502836,0.807572853095589,YDR418W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2522,4,1304354,0.0978190292902221,0.141387156351958,0.489484883760604,YDR419W,RAD30,SGDID:S000002827,ORF,Verified ORF,"""DNA polymerase eta; involved in translesion synthesis during post-replication repair; catalyzes the synthesis of DNA opposite cyclobutane pyrimidine dimers and other lesions; involved in formation of post-replicative damage-induced genome-wide cohesion; may also have a role in protection against mitochondrial mutagenesis; may be involved in meiosis; mutations in human pol eta are responsible for XPV""",Verified ORF
2523,4,1305853,0.13315049250244,0.144867540707712,0.35866100313079,ARS436,ARS436,SGDID:S000130176,Other features,Replication,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",ARS
2524,4,1306124,0.16178250701392,0.143075139732039,0.258927127788137,ARS436,ARS436,SGDID:S000130176,Other features,Replication,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",ARS
2525,4,1306509,0.21263260295096,0.140218613829945,0.130304019407862,YDR420W,HKR1,SGDID:S000002828,ORF,Verified ORF,"""Mucin family member that functions as an osmosensor in the HOG pathway; large ; highly glycosylated protein that functions redundantly with Msb2p in Sho1p-mediated osmostresss induction of the HOG signaling pathway; cytoplasmic domain interacts with Ahk1p a scaffold protein that prevents cross talk with the Kss1p MAPK of the filamentous growth pathway; mutant displays defects in beta-1,3 glucan synthesis and bud site selection""",Verified ORF
2526,4,1307383,0.171337082855847,0.140581036533308,0.223742290381142,YDR420W,HKR1,SGDID:S000002828,ORF,Verified ORF,"""Mucin family member that functions as an osmosensor in the HOG pathway; large ; highly glycosylated protein that functions redundantly with Msb2p in Sho1p-mediated osmostresss induction of the HOG signaling pathway; cytoplasmic domain interacts with Ahk1p a scaffold protein that prevents cross talk with the Kss1p MAPK of the filamentous growth pathway; mutant displays defects in beta-1,3 glucan synthesis and bud site selection""",Verified ORF
2527,4,1307724,0.288254163939266,0.241323158063568,0.233094699051055,YDR420W,HKR1,SGDID:S000002828,ORF,Verified ORF,"""Mucin family member that functions as an osmosensor in the HOG pathway; large ; highly glycosylated protein that functions redundantly with Msb2p in Sho1p-mediated osmostresss induction of the HOG signaling pathway; cytoplasmic domain interacts with Ahk1p a scaffold protein that prevents cross talk with the Kss1p MAPK of the filamentous growth pathway; mutant displays defects in beta-1,3 glucan synthesis and bud site selection""",Verified ORF
2528,4,1311626,0.214332119075923,0.141441143858492,0.130579980504842,YDR420W,HKR1,SGDID:S000002828,ORF,Verified ORF,"""Mucin family member that functions as an osmosensor in the HOG pathway; large ; highly glycosylated protein that functions redundantly with Msb2p in Sho1p-mediated osmostresss induction of the HOG signaling pathway; cytoplasmic domain interacts with Ahk1p a scaffold protein that prevents cross talk with the Kss1p MAPK of the filamentous growth pathway; mutant displays defects in beta-1,3 glucan synthesis and bud site selection""",Verified ORF
2529,4,1312702,0.214567886903834,0.139830948308993,0.125807199728714,YDR421W,ARO80,SGDID:S000002829,ORF,Verified ORF,"""Zinc finger transcriptional activator of the Zn2Cys6 family; activates transcription of aromatic amino acid catabolic genes in the presence of aromatic amino acids""",Verified ORF
2530,4,1316036,0.272546525165407,0.14003222114012,0.0524102663215524,YDR422C,SIP1,SGDID:S000002830,ORF,Verified ORF,"""One of three alternate beta-subunits of the Snf1p kinase complex; may confer substrate specificity; vacuolar protein containing KIS (Kinase-Interacting Sequence) and ASC (Association with Snf1 kinase Complex) domains involved in protein interactions""",Verified ORF
2531,4,1317259,0.230211985557508,0.14018466905155,0.101437992233112,YDR422C,SIP1,SGDID:S000002830,ORF,Verified ORF,"""One of three alternate beta-subunits of the Snf1p kinase complex; may confer substrate specificity; vacuolar protein containing KIS (Kinase-Interacting Sequence) and ASC (Association with Snf1 kinase Complex) domains involved in protein interactions""",Verified ORF
2532,4,1318086,0.194823895171012,0.139788954836197,0.164284934018334,YDR423C,CAD1,SGDID:S000002831,ORF,Verified ORF,"""AP-1-like basic leucine zipper (bZIP) transcriptional activator; involved in stress responses ; iron metabolism ; and pleiotropic drug resistance; controls a set of genes involved in stabilizing proteins; binds consensus sequence TTACTAA; CAD1 has a paralog ; YAP1 ; that arose from the whole genome duplication""",Verified ORF
2533,4,1318331,0.218796420375488,0.140772794802074,0.121020342804881,YDR423C,CAD1,SGDID:S000002831,ORF,Verified ORF,"""AP-1-like basic leucine zipper (bZIP) transcriptional activator; involved in stress responses ; iron metabolism ; and pleiotropic drug resistance; controls a set of genes involved in stabilizing proteins; binds consensus sequence TTACTAA; CAD1 has a paralog ; YAP1 ; that arose from the whole genome duplication""",Verified ORF
2534,4,1318792,0.213869294961269,0.139816257626497,0.127000116240857,YDR423C,CAD1,SGDID:S000002831,ORF,Verified ORF,"""AP-1-like basic leucine zipper (bZIP) transcriptional activator; involved in stress responses ; iron metabolism ; and pleiotropic drug resistance; controls a set of genes involved in stabilizing proteins; binds consensus sequence TTACTAA; CAD1 has a paralog ; YAP1 ; that arose from the whole genome duplication""",Verified ORF
2535,4,1321563,0.129765439182808,0.142328506790738,0.362532067996175,YDR425W,SNX41,SGDID:S000002833,ORF,Verified ORF,"""Sorting nexin; involved in the retrieval of late-Golgi SNAREs from the post-Golgi endosome to the trans-Golgi network; interacts with Snx4p""",Verified ORF
2536,4,1321800,0.135648350355124,0.143367130427354,0.34471380802059,YDR425W,SNX41,SGDID:S000002833,ORF,Verified ORF,"""Sorting nexin; involved in the retrieval of late-Golgi SNAREs from the post-Golgi endosome to the trans-Golgi network; interacts with Snx4p""",Verified ORF
2537,4,1323799,0.100605306332441,0.140022244695959,0.472927315572683,YDR428C,BNA7,SGDID:S000002836,ORF,Verified ORF,"""Formylkynurenine formamidase; involved in the de novo biosynthesis of NAD from tryptophan via kynurenine""",Verified ORF
2538,4,1324081,0.04789187924077,0.140288839040754,0.733020240545209,YDR428C,BNA7,SGDID:S000002836,ORF,Verified ORF,"""Formylkynurenine formamidase; involved in the de novo biosynthesis of NAD from tryptophan via kynurenine""",Verified ORF
2539,4,1330149,0.0187539437394973,0.151636766166199,0.901641603851641,YDR432W,NPL3,SGDID:S000002840,Close to 3'-UTR,Close to 3'-UTR,"""RNA-binding protein; promotes elongation ; regulates termination ; and carries poly(A) mRNA from nucleus to cytoplasm; represses translation initiation by binding eIF4G; required for pre-mRNA splicing; interacts with E3 ubiquitin ligase Bre1p ; linking histone ubiquitination to mRNA processing; may have role in telomere maintenance; dissociation from mRNAs promoted by Mtr10p; phosphorylated by Sky1p in cytoplasm; protein abundance increases in response to DNA replication stress""",Verified ORF
2540,4,1330414,-0.105589618034971,0.280421989752567,0.706742974139962,YDR432W,NPL3,SGDID:S000002840,Close to 3'-UTR,Close to 3'-UTR,"""RNA-binding protein; promotes elongation ; regulates termination ; and carries poly(A) mRNA from nucleus to cytoplasm; represses translation initiation by binding eIF4G; required for pre-mRNA splicing; interacts with E3 ubiquitin ligase Bre1p ; linking histone ubiquitination to mRNA processing; may have role in telomere maintenance; dissociation from mRNAs promoted by Mtr10p; phosphorylated by Sky1p in cytoplasm; protein abundance increases in response to DNA replication stress""",Verified ORF
2541,4,1333470,-0.0462825539247368,0.141058910687175,0.74302455010773,YDR435C,PPM1,SGDID:S000002843,ORF,Verified ORF,"""Carboxyl methyltransferase; methylates the C terminus of the protein phosphatase 2A catalytic subunit (Pph21p or Pph22p) ; which is important for complex formation with regulatory subunits; required for methionine to inhibit autophagy and promote growth""",Verified ORF
2542,4,1333527,-0.0077462060968857,0.140751973934496,0.956142160455319,YDR435C,PPM1,SGDID:S000002843,ORF,Verified ORF,"""Carboxyl methyltransferase; methylates the C terminus of the protein phosphatase 2A catalytic subunit (Pph21p or Pph22p) ; which is important for complex formation with regulatory subunits; required for methionine to inhibit autophagy and promote growth""",Verified ORF
2543,4,1335020,-0.0653722632147287,0.141409616729197,0.644158114202412,YDR436W,PPZ2,SGDID:S000002844,ORF,Verified ORF,"""Serine/threonine protein phosphatase Z ; isoform of Ppz1p; involved in regulation of potassium transport ; which affects osmotic stability ; cell cycle progression ; and halotolerance""",Verified ORF
2544,4,1335357,-0.0775253318556365,0.141161813527297,0.583219014659342,YDR436W,PPZ2,SGDID:S000002844,ORF,Verified ORF,"""Serine/threonine protein phosphatase Z ; isoform of Ppz1p; involved in regulation of potassium transport ; which affects osmotic stability ; cell cycle progression ; and halotolerance""",Verified ORF
2545,4,1335426,-0.129422792537904,0.140607363620815,0.35796347102592,YDR436W,PPZ2,SGDID:S000002844,ORF,Verified ORF,"""Serine/threonine protein phosphatase Z ; isoform of Ppz1p; involved in regulation of potassium transport ; which affects osmotic stability ; cell cycle progression ; and halotolerance""",Verified ORF
2546,4,1335638,-0.110413800927451,0.140421613756793,0.432218074100441,YDR436W,PPZ2,SGDID:S000002844,ORF,Verified ORF,"""Serine/threonine protein phosphatase Z ; isoform of Ppz1p; involved in regulation of potassium transport ; which affects osmotic stability ; cell cycle progression ; and halotolerance""",Verified ORF
2547,4,1337043,-0.221820762552126,0.142450427829216,0.120324139065227,YDR437W_NFR/NDR,,,Promoter,Promoter,,Promoter
2548,4,1337078,-0.213477225190502,0.15178464073817,0.160470796769152,YDR437W_NFR/NDR,,,Promoter,Promoter,,Promoter
2549,4,1337113,-0.249585071171826,0.147849475456287,0.0922747613786631,YDR437W_NFR/NDR,,,Promoter,Promoter,,Promoter
2550,4,1337514,-0.165137882854284,0.140266089854611,0.239861524749156,YDR437W,GPI19,SGDID:S000002845,ORF,Verified ORF,"""Subunit of GPI-GlcNAc transferase involved in synthesis of GlcNAc-PI; N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI) is the first intermediate in glycosylphosphatidylinositol (GPI) anchor synthesis; shares similarity with mammalian PIG-P""",Verified ORF
2551,4,1338262,-0.101608106188219,0.140835359379812,0.471099633047767,YDR437W,GPI19,SGDID:S000002845,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of GPI-GlcNAc transferase involved in synthesis of GlcNAc-PI; N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI) is the first intermediate in glycosylphosphatidylinositol (GPI) anchor synthesis; shares similarity with mammalian PIG-P""",Verified ORF
2552,4,1338321,-0.0943573528509284,0.140188941573145,0.501341418398466,YDR438W,THI74,SGDID:S000002846,ORF,Verified ORF,"""Mitochondrial transporter repressible by thiamine; THI74 has a paralog ; YML018C ; that arose from the whole genome duplication; shows sequence homology to human gene SLC35F3 ; a thiamine transporter implicated in hypertension""",Verified ORF
2553,4,1341560,-0.0370019483017363,0.143752259782182,0.797019354476716,YDR439W,LRS4,SGDID:S000002847,Close to 3'-UTR,Close to 3'-UTR,"""Nucleolar protein that forms a complex with Csm1p; and then Mam1p at kinetochores during meiosis I to mediate accurate homolog segregation; required for condensin recruitment to the replication fork barrier site and rDNA repeat segregation""",Verified ORF
2554,4,1342082,-0.0236008059188611,0.141280760883402,0.867427165966529,YDR440W,DOT1,SGDID:S000002848,Close to 3'-UTR,Close to 3'-UTR,"""Nucleosomal histone H3-Lys79 methylase; methylation is required for telomeric silencing ; meiotic checkpoint control ; and DNA damage response; single DOT1 gene produces two Dot1p isoforms from alternative translation start sites as a result of leaky scanning by the ribosome""",Verified ORF
2555,4,1342134,-0.0285616592010674,0.140673057452404,0.839224072477734,YDR440W,DOT1,SGDID:S000002848,Close to 3'-UTR,Close to 3'-UTR,"""Nucleosomal histone H3-Lys79 methylase; methylation is required for telomeric silencing ; meiotic checkpoint control ; and DNA damage response; single DOT1 gene produces two Dot1p isoforms from alternative translation start sites as a result of leaky scanning by the ribosome""",Verified ORF
2556,4,1342485,-0.0051241843053457,0.140681006779146,0.970964756819965,YDR440W,DOT1,SGDID:S000002848,Close to 3'-UTR,Close to 3'-UTR,"""Nucleosomal histone H3-Lys79 methylase; methylation is required for telomeric silencing ; meiotic checkpoint control ; and DNA damage response; single DOT1 gene produces two Dot1p isoforms from alternative translation start sites as a result of leaky scanning by the ribosome""",Verified ORF
2557,4,1345539,0.0280449284602409,0.141072521734251,0.842535246199345,YDR441C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2558,4,1345604,0.0007115916438663,0.141681575815999,0.995995501660554,YDR441C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2559,4,1345654,0.0261987465066571,0.141270442248855,0.852981811077546,YDR442W,YDR442W,SGDID:S000002850,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
2560,4,1348313,0.0204150554236981,0.143997486133502,0.88733964045214,YDR443C,SSN2,SGDID:S000002851,ORF,Verified ORF,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; required for stable association of Srb10p-Srb11p kinase; essential for transcriptional regulation""",Verified ORF
2561,4,1350135,0.0258303509976287,0.140494533042114,0.854234286987526,YDR444W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
