SNP,Chr,Pos,Effect,SE,ERV25_EMP47_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
544,2,405576,0.136638818393877,0.0724224468197344,0.0600222920682521,YBR081C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
545,2,405578,0.187543702931574,0.0955309623440646,0.0504109795939189,YBR081C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
546,2,405579,0.136286294766075,0.0739823696584131,0.0662924336093323,YBR081C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
547,2,405730,-0.0059102189995554,0.120547681461231,0.960924661762044,YBR081C,SPT7,SGDID:S000000285,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex""",Verified ORF
548,2,406181,0.0346695946196594,0.0600922618547198,0.564348115831598,YBR081C,SPT7,SGDID:S000000285,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex""",Verified ORF
549,2,406688,0.0167334237442287,0.0597670036475959,0.779658661493936,YBR082C,UBC4,SGDID:S000000286,ORF,Verified ORF,"""Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of abnormal or excess proteins ; including calmodulin and histone H3; regulates levels of DNA Polymerase-{alpha} to promote efficient and accurate DNA replication; interacts with many SCF ubiquitin protein ligases; component of the cellular stress response; UBC4 has a paralog ; UBC5 ; that arose from the whole genome duplication""",Verified ORF
550,2,407621,0.0204749231497348,0.0602540214749981,0.73420166077587,YBR082C,UBC4,SGDID:S000000286,Close to 3'-UTR,Close to 3'-UTR,"""Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of abnormal or excess proteins ; including calmodulin and histone H3; regulates levels of DNA Polymerase-{alpha} to promote efficient and accurate DNA replication; interacts with many SCF ubiquitin protein ligases; component of the cellular stress response; UBC4 has a paralog ; UBC5 ; that arose from the whole genome duplication""",Verified ORF
551,2,409016,0.0317490323392048,0.0608439329008462,0.602129195214584,YBR083W,TEC1,SGDID:S000000287,Close to 3'-UTR,Close to 3'-UTR,"""Transcription factor targeting filamentation genes and Ty1 expression; Ste12p activation of most filamentation gene promoters depends on Tec1p and Tec1p transcriptional activity is dependent on its association with Ste12p; binds to TCS elements upstream of filamentation genes ; which are regulated by Tec1p/Ste12p/Dig1p complex; competes with Dig2p for binding to Ste12p/Dig1p; positive regulator of chronological life span; TEA/ATTS DNA-binding domain family member""",Verified ORF
552,2,410647,0.0026090924883124,0.0599800642681773,0.965328095018662,YBR083W,TEC1,SGDID:S000000287,Close to 3'-UTR,Close to 3'-UTR,"""Transcription factor targeting filamentation genes and Ty1 expression; Ste12p activation of most filamentation gene promoters depends on Tec1p and Tec1p transcriptional activity is dependent on its association with Ste12p; binds to TCS elements upstream of filamentation genes ; which are regulated by Tec1p/Ste12p/Dig1p complex; competes with Dig2p for binding to Ste12p/Dig1p; positive regulator of chronological life span; TEA/ATTS DNA-binding domain family member""",Verified ORF
553,2,418057,0.0956494290220637,0.0684338579787476,0.163083415629043,ARS215,ARS215,SGDID:S000118349,Other features,Replication,"""Autonomously Replicating Sequence; replication origin of very weak function""",ARS
554,2,419803,-0.007009868818517,0.0604002151666791,0.907673348096542,YBR085C-A,YBR085C-A,SGDID:S000007522,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus; protein abundance increases in response to DNA replication stress""",Verified ORF
555,2,419943,-0.0251877932147849,0.0607431465032599,0.678642213077517,YBR085C-A,YBR085C-A,SGDID:S000007522,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus; protein abundance increases in response to DNA replication stress""",Verified ORF
556,2,422349,0.0300116761829557,0.0599914506191779,0.61719959773858,YBR086C,IST2,SGDID:S000000290,ORF,Verified ORF,"""Cortical ER protein involved in ER-plasma membrane (PM) tethering; one of 6 proteins (Ist2 ; Scs2 ; Scs22 ; Tcb1 ; Tcb2 ; Tcb3) that connect ER to PM ; regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1 phosphatase to PI4P; required to locate Osh6 ; Osh7 in ER/PM contact site to allow phosphatidylserine transport from ER to PM; localizes to mother in small-budded cells ; to bud in medium- ; large-budded cells; mRNA transported to bud tip by actomyosin-driven process""",Verified ORF
557,2,425467,0.0175589972617009,0.0597899725555848,0.769176584830884,YBR088C,POL30,SGDID:S000000292,ORF,Verified ORF,"""Proliferating cell nuclear antigen (PCNA); functions as the sliding replication clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic chromosomal DNA replication and for DNA repair; PCNA ubiquitination at K164 plays a crucial role during Okazaki fragment processing""",Verified ORF
558,2,427842,0.0084554551056577,0.119450165431482,0.943607788294604,XUT_2F-177,,,Unstable transcript,XUT,ncRNA_STM,Unstable transcript
559,2,427869,0.111412680909868,0.119066602289052,0.35005843431881,XUT_2F-177,,,Unstable transcript,XUT,ncRNA_STM,Unstable transcript
560,2,429095,0.0274710618511005,0.0601336044311064,0.648071505863239,XUT_2F-177,,,Unstable transcript,XUT,ncRNA_STM,Unstable transcript
561,2,431266,-0.0292496482519738,0.0601640060092068,0.627151678110305,XUT_2F-177,,,Unstable transcript,XUT,ncRNA_STM,Unstable transcript
562,2,431446,-0.0171374109785297,0.0604203370395449,0.776855266524376,XUT_2F-177,,,Unstable transcript,XUT,ncRNA_STM,Unstable transcript
563,2,432524,0.0277438539330412,0.0598287850763934,0.643133577116706,YBR094W,PBY1,SGDID:S000000298,ORF,Verified ORF,"""Putative tubulin tyrosine ligase associated with P-bodies; may have a role in mRNA metabolism; yeast knockout collection strain identified as a pby1 null mutant is actually wild-type for PBY1 and deleted for mms4""",Verified ORF
564,2,434090,-0.0180553577834323,0.0603907971325391,0.765134811023307,YBR094W,PBY1,SGDID:S000000298,ORF,Verified ORF,"""Putative tubulin tyrosine ligase associated with P-bodies; may have a role in mRNA metabolism; yeast knockout collection strain identified as a pby1 null mutant is actually wild-type for PBY1 and deleted for mms4""",Verified ORF
565,2,441927,-0.036575345743169,0.0597201977816244,0.54063758732217,YBR098W,MMS4,SGDID:S000000302,ORF,Verified ORF,"""Subunit of structure-specific Mms4p-Mus81p endonuclease; cleaves branched DNA; involved in recombination ; DNA repair ; and joint molecule formation/resolution during meiotic recombination; phosphorylation of the non-catalytic subunit Mms4p by Cdc28p and Cdc5p during mitotic cell cycle activates the function of Mms4p-Mus81p""",Verified ORF
566,2,446471,-0.035572667016339,0.0604547727225717,0.556628151516161,YBR102C,EXO84,SGDID:S000000306,ORF,Verified ORF,"""Exocyst subunit with dual roles in exocytosis and spliceosome assembly; subunit of the the exocyst complex which mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane (PM) prior to SNARE-mediated fusion; required for exocyst assembly and targeting the complex to specific sites on the bud tip PM; associates the U1 snRNP; role in pre-mRNA splicing and prespliceosome formation; possible Cdc28 substrate""",Verified ORF
567,2,449325,0.0124266967763056,0.060127047269175,0.836383629345556,YBR103C-A,YBR103C-A,SGDID:S000007593,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; identified by homology to related yeast""",Dubious ORF
568,2,449537,0.028176162980867,0.0626177909993046,0.65300785773072,YBR104W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
569,2,450017,0.0203160178732922,0.0597874987320389,0.73420639494809,YBR104W,YMC2,SGDID:S000000308,ORF,Verified ORF,"""Putative mitochondrial inner membrane transporter; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; YMC2 has a paralog ; YMC1 ; that arose from the whole genome duplication""",Verified ORF
570,2,451779,0.0040159542634379,0.0600199841528919,0.946691005015702,YBR105C,VID24,SGDID:S000000309,ORF,Verified ORF,"""GID Complex regulatory subunit; binds GID Complex in response to glucose through interactions with complex member Vid28p; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; promotes proteasome-dependent catabolite degradation of FBPase; peripheral membrane protein located at Vid (vacuole import and degradation) vesicles""",Verified ORF
571,2,451784,0.0047818556433349,0.0602362421575792,0.93677136169888,YBR105C,VID24,SGDID:S000000309,ORF,Verified ORF,"""GID Complex regulatory subunit; binds GID Complex in response to glucose through interactions with complex member Vid28p; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; promotes proteasome-dependent catabolite degradation of FBPase; peripheral membrane protein located at Vid (vacuole import and degradation) vesicles""",Verified ORF
572,2,453525,-0.0504407055540511,0.0601958084505403,0.402629252564665,YBR106W,SND3,SGDID:S000000310,Close to 3'-UTR,Close to 3'-UTR,"""Involved in SRP-independent protein targeting to the ER; component of an alternative ER-targeting pathway partially redundant with the GET pathway that can compensate for SRP loss; preference for substrates with downstream transmembrane domains; interacts with Snd1p ; Env10p/Snd2p ; and Sec61p-translocon subunits; role in establishing nucleus-vacuole junctions (NVJs) in high glucose; targeted to the NVJ during glucose starvation to facilitate expansion; role in phosphate transport with Pho86p""",Verified ORF
573,2,453768,-0.0117857337292461,0.0603319153276353,0.845232722832087,YBR106W,SND3,SGDID:S000000310,Close to 3'-UTR,Close to 3'-UTR,"""Involved in SRP-independent protein targeting to the ER; component of an alternative ER-targeting pathway partially redundant with the GET pathway that can compensate for SRP loss; preference for substrates with downstream transmembrane domains; interacts with Snd1p ; Env10p/Snd2p ; and Sec61p-translocon subunits; role in establishing nucleus-vacuole junctions (NVJs) in high glucose; targeted to the NVJ during glucose starvation to facilitate expansion; role in phosphate transport with Pho86p""",Verified ORF
574,2,454027,-0.0305608968293826,0.0600615829112658,0.611192045451308,YBR107C,IML3,SGDID:S000000311,ORF,Verified ORF,"""Outer kinetochore protein and component of the Ctf19 complex; involved in the establishment of pericentromeric cohesion during mitosis; prevents non-disjunction of sister chromatids during meiosis II; forms a stable complex with Chl4p; required for localization of Sgo1p to pericentric sites during meiosis I; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-L and fission yeast fta1""",Verified ORF
575,2,455029,-0.0139493953912244,0.0601107146288263,0.816624554701397,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
576,2,455247,-0.030356606536403,0.0598993308739505,0.612615953583869,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
577,2,455272,-0.0631997530311637,0.119354634700642,0.596782924056133,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
578,2,455272,-0.0386006326166657,0.136485912769888,0.77748234827098,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
579,2,455756,-0.0542923195112381,0.0643107875422787,0.399119395505613,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
580,2,457024,-0.0231229085245278,0.060348884299203,0.701836310071059,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
581,2,457298,-0.023520857100658,0.0605229322507506,0.697786240801059,YBR108W,AIM3,SGDID:S000000312,ORF,Verified ORF,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",Verified ORF
582,2,460202,-0.0016644030448798,0.0606732033467844,0.978130470322581,YBR110W,ALG1,SGDID:S000000314,ORF,Verified ORF,"""Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability; human homolog ALG1 complements yeast null mutant""",Verified ORF
583,2,460262,0.0836101695629394,0.342800299743027,0.807447301616706,YBR110W,ALG1,SGDID:S000000314,Close to 3'-UTR,Close to 3'-UTR,"""Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability; human homolog ALG1 complements yeast null mutant""",Verified ORF
584,2,460263,-0.0558778777839688,0.241178670678279,0.816915647501667,YBR110W,ALG1,SGDID:S000000314,Close to 3'-UTR,Close to 3'-UTR,"""Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability; human homolog ALG1 complements yeast null mutant""",Verified ORF
585,2,464079,0.271436504542514,0.203883088014125,0.18393823190876,YBR112C,CYC8,SGDID:S000000316,ORF,Verified ORF,"""General transcriptional co-repressor; acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form the prion [OCT+]""",Verified ORF
586,2,464424,-0.0245944149598676,0.0603448031510863,0.683840299063655,YBR112C,CYC8,SGDID:S000000316,ORF,Verified ORF,"""General transcriptional co-repressor; acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form the prion [OCT+]""",Verified ORF
587,2,465824,-0.0319145979561967,0.0609287065185386,0.600744734174801,YBR113W,YBR113W,SGDID:S000000317,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene CYC8""",Dubious ORF
588,2,470145,-0.0360325614508027,0.0600529892024366,0.548882679889909,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
589,2,470686,-0.0044095074141521,0.0600467107422126,0.941501861393846,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
590,2,471144,-0.0255102823762904,0.0601355697680311,0.671668982781768,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
591,2,471830,-0.0271181191191786,0.0599623787405882,0.651365074305385,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
592,2,472403,-0.0049882500846635,0.0600326968545282,0.933825309281692,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
593,2,473668,-0.0314694788385748,0.0604059569579105,0.602716761879928,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
594,2,473888,-0.0451297235281765,0.0599689305248839,0.452220857210826,YBR115C,LYS2,SGDID:S000000319,ORF,Verified ORF,"""Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde ; which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p""",Verified ORF
595,2,474138,-0.0474968617353833,0.0607664992533163,0.434956525809765,YBR115C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
596,2,474141,-0.0474968617353833,0.0607664992533163,0.434956525809765,YBR115C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
597,2,475703,-0.0550573744716009,0.0598794644106592,0.358477628620968,SUT018,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
598,2,476732,-0.0436289659248923,0.0597777496407288,0.465964124892146,SUT018,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
599,2,477089,-0.0517672139954983,0.0674227870508352,0.443119313032921,YBR117C,TKL2,SGDID:S000000321,Close to 3'-UTR,Close to 3'-UTR,"""Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog ; TKL1 ; that arose from the whole genome duplication""",Verified ORF
600,2,477272,-0.0587635755263055,0.059938817714769,0.327563774345965,YBR117C,TKL2,SGDID:S000000321,Close to 3'-UTR,Close to 3'-UTR,"""Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog ; TKL1 ; that arose from the whole genome duplication""",Verified ORF
601,2,477273,-0.0587635755263055,0.059938817714769,0.327563774345965,YBR117C,TKL2,SGDID:S000000321,Close to 3'-UTR,Close to 3'-UTR,"""Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog ; TKL1 ; that arose from the whole genome duplication""",Verified ORF
602,2,477508,0.0361600546471382,0.0659164019651758,0.583644293029644,YBR118W,TEF2,SGDID:S000000322,Close to 3'-UTR,Close to 3'-UTR,"""Translational elongation factor EF-1 alpha; GTP-bound active form ; binds to and delivers aminoacylated tRNA to the A-site of ribosomes for elongation of nascent polypeptides; moonlighting function as an actin binding and bundling protein; association with GTPase Rho1p on the vacuolar membrane may facilitate F-actin remodeling; involved in tRNA re-export from the nucleus; Tef2p-RFP levels increase during replicative aging""",Verified ORF
603,2,479414,0.0112977041863359,0.0620882381097307,0.855716938850105,YBR118W,TEF2,SGDID:S000000322,Close to 3'-UTR,Close to 3'-UTR,"""Translational elongation factor EF-1 alpha; GTP-bound active form ; binds to and delivers aminoacylated tRNA to the A-site of ribosomes for elongation of nascent polypeptides; moonlighting function as an actin binding and bundling protein; association with GTPase Rho1p on the vacuolar membrane may facilitate F-actin remodeling; involved in tRNA re-export from the nucleus; Tef2p-RFP levels increase during replicative aging""",Verified ORF
604,2,480275,-0.0239966420699297,0.0600335846082682,0.6896042924685,YBR119W,MUD1,SGDID:S000000323,Close to 3'-UTR,Close to 3'-UTR,"""U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing""",Verified ORF
605,2,480340,-0.0248985519758612,0.060959028686783,0.683192951831342,YBR119W,MUD1,SGDID:S000000323,Close to 3'-UTR,Close to 3'-UTR,"""U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing""",Verified ORF
606,2,481293,-0.034879082498608,0.0632622643061884,0.581748720086477,YBR119W,MUD1,SGDID:S000000323,Close to 3'-UTR,Close to 3'-UTR,"""U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing""",Verified ORF
607,2,481312,-0.0253037415616142,0.0610314193045407,0.67868520503552,YBR119W,MUD1,SGDID:S000000323,Close to 3'-UTR,Close to 3'-UTR,"""U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing""",Verified ORF
608,2,483628,-0.038945423508249,0.0602587602946627,0.518503037193328,YBR121C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
609,2,484021,-0.019174355611086,0.0599024324571701,0.749087129742116,CUT026,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
610,2,484651,-0.0270919767472876,0.0609819778262394,0.657125383698142,YBR122C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
611,2,485249,-0.0141019035631182,0.0601794640831638,0.814864007911748,YBR123C,TFC1,SGDID:S000000327,ORF,Verified ORF,"""Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes; human homolog is TFIIIC-63""",Verified ORF
612,2,485603,-0.0292084008238407,0.0598026325908452,0.625560387920443,YBR123C,TFC1,SGDID:S000000327,ORF,Verified ORF,"""Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes; human homolog is TFIIIC-63""",Verified ORF
613,2,486033,-0.0275917805151192,0.0600738161614633,0.646302927081361,YBR123C,TFC1,SGDID:S000000327,ORF,Verified ORF,"""Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes; human homolog is TFIIIC-63""",Verified ORF
614,2,486970,0.0719738251028907,0.153317881081044,0.639043690492603,YBR123C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
615,2,488757,0.0071011769732095,0.0603194204824519,0.906351552068986,YBR125C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
616,2,490612,0.048125896352324,0.0599786127341207,0.422870556825687,YBR126W-A_NFR/NDR,,,Promoter,Promoter,,Promoter
617,2,491316,-0.0080460186804932,0.060997520232301,0.895132758695622,YBR127C,VMA2,SGDID:S000000331,ORF,Verified ORF,"""Subunit B of V1 peripheral membrane domain of vacuolar H+-ATPase; electrogenic proton pump found throughout the endomembrane system; contains nucleotide binding sites; also detected in the cytoplasm; protein abundance increases in response to DNA replication stress; human homolog ATP6V1B1 ; implicated in autosomal-recessive distal renal tubular acidosis (RTA) with sensorineural deafness ; complements yeast null mutant""",Verified ORF
618,2,495558,-0.009904254713017,0.0615618719622747,0.872277633565698,YBR129C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
619,2,495559,-0.010680962593324,0.0615073722064172,0.862237421533463,YBR129C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
620,2,498324,-0.0443930304919463,0.0614553291668602,0.470549852222118,YBR131W,CCZ1,SGDID:S000000335,ORF,Verified ORF,"""Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex ; which stimulates nucleotide exchange and activation of Ypt7p ; a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy ; the CVT pathway and mitophagy""",Verified ORF
621,2,498889,-0.0417292119549418,0.062738268794507,0.506400572723771,YBR131W,CCZ1,SGDID:S000000335,ORF,Verified ORF,"""Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex ; which stimulates nucleotide exchange and activation of Ypt7p ; a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy ; the CVT pathway and mitophagy""",Verified ORF
622,2,499266,-0.0270714080354473,0.0631556163313457,0.668442244151714,YBR131W,CCZ1,SGDID:S000000335,ORF,Verified ORF,"""Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex ; which stimulates nucleotide exchange and activation of Ypt7p ; a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy ; the CVT pathway and mitophagy""",Verified ORF
623,2,499294,-0.0312365463186324,0.0651369437956797,0.631843011658153,YBR131W,CCZ1,SGDID:S000000335,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex ; which stimulates nucleotide exchange and activation of Ypt7p ; a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy ; the CVT pathway and mitophagy""",Verified ORF
624,2,499384,-0.0081466227077241,0.071057422610463,0.908788965710286,YBR131W,CCZ1,SGDID:S000000335,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex ; which stimulates nucleotide exchange and activation of Ypt7p ; a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy ; the CVT pathway and mitophagy""",Verified ORF
625,2,500276,-0.0544723794515323,0.0613629256413012,0.375302106445565,YBR132C,AGP2,SGDID:S000000336,ORF,Verified ORF,"""Plasma membrane regulator of polyamine and carnitine transport; has similarity to transporters but lacks transport activity; may act as a sensor that transduces environmental signals; has a positive or negative regulatory effect on transcription of many transporter genes""",Verified ORF
626,2,500320,-0.0438478438153811,0.0612861739614668,0.474797420990723,YBR132C,AGP2,SGDID:S000000336,ORF,Verified ORF,"""Plasma membrane regulator of polyamine and carnitine transport; has similarity to transporters but lacks transport activity; may act as a sensor that transduces environmental signals; has a positive or negative regulatory effect on transcription of many transporter genes""",Verified ORF
627,2,500677,-0.0444772499401953,0.0613201597690004,0.468731174933174,YBR132C,AGP2,SGDID:S000000336,ORF,Verified ORF,"""Plasma membrane regulator of polyamine and carnitine transport; has similarity to transporters but lacks transport activity; may act as a sensor that transduces environmental signals; has a positive or negative regulatory effect on transcription of many transporter genes""",Verified ORF
628,2,501170,-0.0603157673389011,0.0610345106537731,0.323719838518329,YBR132C,AGP2,SGDID:S000000336,ORF,Verified ORF,"""Plasma membrane regulator of polyamine and carnitine transport; has similarity to transporters but lacks transport activity; may act as a sensor that transduces environmental signals; has a positive or negative regulatory effect on transcription of many transporter genes""",Verified ORF
629,2,501746,-0.0580308920247249,0.0606898163065581,0.339631481052847,YBR132C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
630,2,505207,-0.0630528188240609,0.063000905884657,0.317597450635898,YBR135W,CKS1,SGDID:S000000339,ORF,Verified ORF,"""Cyclin-dependent protein kinase regulatory subunit and adaptor; interacts with Cdc28p (aka Cdk1p); required for G1/S and G2/M phase transitions and budding; mediates phosphorylation and degradation of Sic1p; modulates proteolysis of M-phase targets through interactions with the proteasome; role in transcriptional regulation ; recruiting proteasomal subunits to target gene promoters; human homologs CKS1B and CKS2 can each complement yeast cks1 null mutant""",Verified ORF
631,2,505430,-0.212962407158401,0.133836504001042,0.112456704702223,YBR136W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
