SNP,Chr,Pos,Effect,SE,PMC1_GTR2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
3896,7,34805,0.0355498607173991,0.184887182462016,0.847634493725841,YNCG0001C,RME3,SGDID:S000144910,Non-coding RNA,ncRNA gene,"ncRNA_gene ; ""Antisense transcript that represses the meiosis-specific ZIP2 gene; expressed in haploid cells under sporulation inducing conditions; regulates ZIP2 in a cis-dependent manner; RME3 is repressed by the MAT a1/alpha2 complex in diploid cells""",ncRNA_gene
3897,7,34808,0.0312673321388796,0.184611428413166,0.865603934490898,YNCG0001C,RME3,SGDID:S000144910,Non-coding RNA,ncRNA gene,"ncRNA_gene ; ""Antisense transcript that represses the meiosis-specific ZIP2 gene; expressed in haploid cells under sporulation inducing conditions; regulates ZIP2 in a cis-dependent manner; RME3 is repressed by the MAT a1/alpha2 complex in diploid cells""",ncRNA_gene
3898,7,35435,-0.0579277676947301,0.184058710720399,0.753156857252375,YGL248W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3899,7,35488,-0.0315838336632721,0.183908588867581,0.863743027465626,YGL248W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3900,7,35577,-0.0553717701564726,0.190155558734616,0.771075532992322,YGL249W,ZIP2,SGDID:S000003218,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific protein; involved in normal synaptonemal complex formation and pairing between homologous chromosomes during meiosis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress""",Verified ORF
3901,7,36074,-0.0789783869503611,0.182369646699195,0.665230141395093,YGL248W,PDE1,SGDID:S000003217,ORF,Verified ORF,"""Low-affinity cyclic AMP phosphodiesterase; controls glucose and intracellular acidification-induced cAMP signaling ; target of the cAMP-protein kinase A (PKA) pathway; glucose induces transcription and inhibits translation""",Verified ORF
3902,7,36180,-0.0163712274397871,0.18312776172494,0.928816434205829,YGL248W,PDE1,SGDID:S000003217,ORF,Verified ORF,"""Low-affinity cyclic AMP phosphodiesterase; controls glucose and intracellular acidification-induced cAMP signaling ; target of the cAMP-protein kinase A (PKA) pathway; glucose induces transcription and inhibits translation""",Verified ORF
3903,7,37288,-0.0972423269557433,0.182163628527584,0.593803047617828,YGL247W,BRR6,SGDID:S000003216,ORF,Verified ORF,"""Essential nuclear envelope integral membrane protein; interacts and functions with Apq12p and Brl1p in lipid homeostasis; mutants are defective in nuclear pore complex biogenesis ; nuclear envelope morphology ; mRNA nuclear export ; and are sensitive to sterol biosynthesis inhibitors and membrane fluidizing agents; exhibits synthetic lethal genetic interactions with genes involved in lipid metabolism; homologous to Brl1p""",Verified ORF
3904,7,41301,-0.0276601734457465,0.184577286788419,0.880963128752725,YGL244W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3905,7,42627,-0.0172971910061925,0.182850220153544,0.924688133491525,YGL244W,RTF1,SGDID:S000003213,ORF,Verified ORF,"""Subunit of RNAPII-associated chromatin remodeling Paf1 complex; regulates gene expression by directing cotranscriptional histone modification ; influences transcription and chromatin structure through several independent functional domains; directly or indirectly regulates DNA-binding properties of Spt15p and relative activities of different TATA elements; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay""",Verified ORF
3906,7,43266,0.155530183447391,0.209979799323318,0.459373107510719,YGL243W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3907,7,43683,0.0625039403074701,0.183283266534296,0.733288612963364,YGL243W,TAD1,SGDID:S000003212,ORF,Verified ORF,"""tRNA-specific adenosine deaminase; deaminates adenosine-37 to inosine in tRNA-Ala""",Verified ORF
3908,7,45345,-0.053298497715025,0.207324329932877,0.797268437406845,YGL241W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3909,7,45353,0.608489345650987,0.365451797080877,0.096793386995992,YGL241W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3910,7,45353,-0.0236258692265983,0.688255336414683,0.972635647943517,YGL241W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3911,7,45565,-0.0648991307617949,0.183033251481626,0.72311926097525,YGL241W,KAP114,SGDID:S000003210,ORF,Verified ORF,"""Karyopherin ; responsible for nuclear import of specific proteins; cargoes include Spt15p ; Sua7p ; histones H2A and H2B ; and Nap1p; amino terminus shows similarity to those of other importins ; particularly Cse1p; localization is primarily nuclear; function is regulated by sumoylation; protein abundance increases in response to DNA replication stress""",Verified ORF
3912,7,46270,0.0699188829622164,0.192925643959536,0.717259831817999,YGL241W,KAP114,SGDID:S000003210,ORF,Verified ORF,"""Karyopherin ; responsible for nuclear import of specific proteins; cargoes include Spt15p ; Sua7p ; histones H2A and H2B ; and Nap1p; amino terminus shows similarity to those of other importins ; particularly Cse1p; localization is primarily nuclear; function is regulated by sumoylation; protein abundance increases in response to DNA replication stress""",Verified ORF
3913,7,47250,0.0185074696579603,0.182818024888713,0.919421879726165,YGL241W,KAP114,SGDID:S000003210,ORF,Verified ORF,"""Karyopherin ; responsible for nuclear import of specific proteins; cargoes include Spt15p ; Sua7p ; histones H2A and H2B ; and Nap1p; amino terminus shows similarity to those of other importins ; particularly Cse1p; localization is primarily nuclear; function is regulated by sumoylation; protein abundance increases in response to DNA replication stress""",Verified ORF
3914,7,48435,0.0154409843691103,0.182651120239488,0.932676509982939,YGL241W,KAP114,SGDID:S000003210,ORF,Verified ORF,"""Karyopherin ; responsible for nuclear import of specific proteins; cargoes include Spt15p ; Sua7p ; histones H2A and H2B ; and Nap1p; amino terminus shows similarity to those of other importins ; particularly Cse1p; localization is primarily nuclear; function is regulated by sumoylation; protein abundance increases in response to DNA replication stress""",Verified ORF
3915,7,50874,0.0138105371660868,0.18458169428213,0.940399729630534,YGL238W,CSE1,SGDID:S000003207,ORF,Verified ORF,"""Nuclear envelope protein that acts as a recycling factor; mediates the nuclear export of Srp1p (importin alpha) back to the cytoplasm after its import substrates have been released into the nucleoplasm ; thereby allowing the participation of Srp1p in multiple rounds of nuclear import; required for accurate chromosome segregation; homolog of metazoan CAS and human CSE1L ; overexpression of which is implicated in cancer progression""",Verified ORF
3916,7,53407,0.193667612274632,0.181942511582498,0.287855180345636,YGL237C,HAP2,SGDID:S000003206,ORF,Verified ORF,"""Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding; respiratory defect of the null mutant is functionally complemented by human NFYA""",Verified ORF
3917,7,53416,0.198970338696234,0.18192917467107,0.274845821916187,YGL237C,HAP2,SGDID:S000003206,ORF,Verified ORF,"""Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding; respiratory defect of the null mutant is functionally complemented by human NFYA""",Verified ORF
3918,7,53455,0.180621387969408,0.182238088042941,0.32230165409807,YGL237C,HAP2,SGDID:S000003206,ORF,Verified ORF,"""Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding; respiratory defect of the null mutant is functionally complemented by human NFYA""",Verified ORF
3919,7,53544,0.215281534388012,0.183963487135052,0.242693624425391,YGL237C,HAP2,SGDID:S000003206,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding; respiratory defect of the null mutant is functionally complemented by human NFYA""",Verified ORF
3920,7,53637,0.21211998976828,0.183970917948078,0.249687136078121,YGL237C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3921,7,53662,0.261450244793277,0.183088256963583,0.154175624683001,YGL237C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3922,7,53700,0.242305371168478,0.182859236594911,0.185997586987083,YGL237C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3923,7,53702,0.242305371168478,0.182859236594911,0.185997586987083,YGL237C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3924,7,54897,0.211136908492881,0.181959323047525,0.24668957328089,YGL236C,MTO1,SGDID:S000003205,ORF,Verified ORF,"""Mitochondrial protein; forms heterodimer complex with Mss1p that performs 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; required for respiration in paromomycin-resistant 15S rRNA mutants; human homolog MTO1 can complement yeast null mutant""",Verified ORF
3925,7,55912,-0.0593571350867964,0.18335195269302,0.746331661192072,YGL236C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3926,7,56225,0.0059253552194918,0.269373126607309,0.982462911618492,YGL234W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
3927,7,62689,0.163440396674144,0.183327966354945,0.373257979835458,YGL233W,SEC15,SGDID:S000003202,Close to 3'-UTR,Close to 3'-UTR,"""Essential 113 kDa subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis prior to SNARE-mediated fusion; interacts with and functions as a downstream effector of active ; GTP-bound Sec4p ; a Rab family GTPase""",Verified ORF
3928,7,65725,0.0804987609668324,0.18228725426507,0.659046252312236,YGL229C,SAP4,SGDID:S000003198,ORF,Verified ORF,"""Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p ; including Sap155p ; Sap185p ; and Sap190p; SAP4 has a paralog ; SAP155 ; that arose from the whole genome duplication""",Verified ORF
3929,7,66339,0.175965873217848,0.183939432084932,0.339398049798158,YGL229C,SAP4,SGDID:S000003198,ORF,Verified ORF,"""Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p ; including Sap155p ; Sap185p ; and Sap190p; SAP4 has a paralog ; SAP155 ; that arose from the whole genome duplication""",Verified ORF
3930,7,66622,0.134944954361868,0.182325591513449,0.45971203342241,YGL229C,SAP4,SGDID:S000003198,ORF,Verified ORF,"""Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p ; including Sap155p ; Sap185p ; and Sap190p; SAP4 has a paralog ; SAP155 ; that arose from the whole genome duplication""",Verified ORF
3931,7,68513,0.117287943784857,0.182442335435334,0.520721397360243,YGL228W,SHE10,SGDID:S000003197,ORF,Verified ORF,"""Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; putative GPI-anchored protein; overexpression causes growth arrest;; SWAT-GFP ; seamless-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; SHE10 has a paralog ; OSW7/YFR039C ; that arose from the whole genome duplication; paralogs are redundant for spore wall dityrosine assembly""",Verified ORF
3932,7,69394,-0.274911183074265,0.548088770477978,0.616274610448829,YGL227W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3933,7,69396,-0.0641863760290082,0.442869010168508,0.884846411576354,YGL227W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3934,7,70413,0.0159636387575432,0.182888237325226,0.930493430588015,YGL227W,VID30,SGDID:S000003196,ORF,Verified ORF,"""Central component of GID Complex ; involved in FBPase degradation; interacts strongly with Gid8p to serve as a scaffold for other GID Complex subunits; contains SPRY domain and 3 domains that are also found in Gid8p - LisH ; CTLH ; and CRA; required for association of Vid vesicles and actin patches in vacuole import and degradation pathway; shifts the balance of nitrogen metabolism toward glutamate production; localizes to the nucleus and the cytoplasm""",Verified ORF
3935,7,73728,0.343502357794204,0.361121273247672,0.342148331760067,tV(AAC)G3_NFR/NDR,,,Promoter,Promoter,,Promoter
3936,7,74414,0.125437673074149,0.18342449341328,0.494508799530431,SUT111_NFR/NDR,,,Promoter,Promoter,,Promoter
3937,7,80505,0.0229153736973945,0.185670524501948,0.901845113085073,YGL223C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3938,7,80602,-0.240824033570928,0.559368507913454,0.667074046127275,YGL223C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3939,7,80604,0.990680210424533,0.551076220414689,0.0730759856910164,YGL223C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3940,7,80608,0.315023186633677,0.425224162970043,0.459282799462159,YGL223C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3941,7,80609,0.144776334945212,0.422181657541159,0.731859555073553,YGL223C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3942,7,83968,-0.217227482994085,0.181939012723721,0.233296234007492,YGL219C,MDM34,SGDID:S000003187,ORF,Verified ORF,"""Mitochondrial component of the ERMES complex; links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; required for mitophagy; ERMES complex is often co-localized with peroxisomes and with concentrated areas of pyruvate dehydrogenase""",Verified ORF
3943,7,84763,-0.0339823843321723,0.409881040797111,0.933971749395765,YGL219C,MDM34,SGDID:S000003187,Close to 3'-UTR,Close to 3'-UTR,"""Mitochondrial component of the ERMES complex; links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; required for mitophagy; ERMES complex is often co-localized with peroxisomes and with concentrated areas of pyruvate dehydrogenase""",Verified ORF
3944,7,87147,-0.392730775853178,0.181043028264113,0.0307292737286028,YGL216W,KIP3,SGDID:S000003184,ORF,Verified ORF,"""Kinesin-related antiparallel sliding motor protein; involved in mitotic spindle positioning; sliding activity promotes bipolar spindle assembly and maintenance of genome stability; inhibits spindle elongation ; destabilizing late anaphase spindle microtubules that polymerize beyond the midzone""",Verified ORF
3945,7,87586,-0.316853601519768,0.196051907697572,0.106950444298878,YGL216W,KIP3,SGDID:S000003184,Close to 3'-UTR,Close to 3'-UTR,"""Kinesin-related antiparallel sliding motor protein; involved in mitotic spindle positioning; sliding activity promotes bipolar spindle assembly and maintenance of genome stability; inhibits spindle elongation ; destabilizing late anaphase spindle microtubules that polymerize beyond the midzone""",Verified ORF
3946,7,87833,-0.363407993511703,0.182875595599768,0.0476741877629124,YGL216W,KIP3,SGDID:S000003184,Close to 3'-UTR,Close to 3'-UTR,"""Kinesin-related antiparallel sliding motor protein; involved in mitotic spindle positioning; sliding activity promotes bipolar spindle assembly and maintenance of genome stability; inhibits spindle elongation ; destabilizing late anaphase spindle microtubules that polymerize beyond the midzone""",Verified ORF
3947,7,87999,-0.403322944636543,0.181486061852969,0.0268938642641479,YGL215W,CLG1,SGDID:S000003183,ORF,Verified ORF,"""Cyclin-like protein that interacts with Pho85p; has sequence similarity to G1 cyclins PCL1 and PCL2""",Verified ORF
3948,7,88913,-0.405657555656869,0.181735478723299,0.0262331824788153,YGL215W,CLG1,SGDID:S000003183,ORF,Verified ORF,"""Cyclin-like protein that interacts with Pho85p; has sequence similarity to G1 cyclins PCL1 and PCL2""",Verified ORF
3949,7,89733,-0.054047612309617,0.477350452367932,0.909917191247289,YGL215W,CLG1,SGDID:S000003183,Close to 3'-UTR,Close to 3'-UTR,"""Cyclin-like protein that interacts with Pho85p; has sequence similarity to G1 cyclins PCL1 and PCL2""",Verified ORF
3950,7,90591,-0.368383163420121,0.181493083079616,0.0431329642851573,YGL213C,SKI8,SGDID:S000003181,ORF,Verified ORF,"""Ski complex component and WD-repeat protein; mediates 3'-5' RNA degradation by the cytoplasmic exosome; also required for meiotic double-strand break recombination; null mutants have superkiller phenotype""",Verified ORF
3951,7,92844,-0.299071856697667,0.182248577085525,0.10168585048146,YGL211W,NCS6,SGDID:S000003179,ORF,Verified ORF,"""Protein required for uridine thiolation of Gln ; Lys ; and Glu tRNAs; required for the thiolation of uridine at the wobble position of Gln ; Lys ; and Glu tRNAs; has a role in urmylation and in invasive and pseudohyphal growth; inhibits replication of Brome mosaic virus in S. cerevisiae""",Verified ORF
3952,7,98223,-0.0832990297606351,0.182437616147999,0.648247215714218,YGL208W,SIP2,SGDID:S000003176,ORF,Verified ORF,"""One of three alternate beta subunits of the Snf1 kinase complex; involved in the response to glucose starvation; null mutants exhibit accelerated aging; N-myristoylprotein localized to the cytoplasm and the plasma membrane; SIP2 has a paralog ; GAL83 ; that arose from the whole genome duplication""",Verified ORF
3953,7,101935,-0.123069089581036,0.18237388443021,0.500233446881052,YGL207W,SPT16,SGDID:S000003175,ORF,Verified ORF,"""Subunit of the heterodimeric FACT complex (Spt16p-Pob3p); FACT associates with chromatin via interaction with Nhp6Ap and Nhp6Bp ; and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases; specifically required for diauxic shift-induced H2B deposition onto rDNA genes; mutations cause reduced nucleosome occupancy over highly transcribed regions; coregulates transcription with Mot1p through preinitiation complex assembly and nucleosome organization""",Verified ORF
3954,7,102167,-0.169127666693398,0.183092302990475,0.356258414506522,YGL207W,SPT16,SGDID:S000003175,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the heterodimeric FACT complex (Spt16p-Pob3p); FACT associates with chromatin via interaction with Nhp6Ap and Nhp6Bp ; and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases; specifically required for diauxic shift-induced H2B deposition onto rDNA genes; mutations cause reduced nucleosome occupancy over highly transcribed regions; coregulates transcription with Mot1p through preinitiation complex assembly and nucleosome organization""",Verified ORF
3955,7,102487,-1.18891823037663,0.738522254438037,0.108322035338747,YGL207W,SPT16,SGDID:S000003175,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the heterodimeric FACT complex (Spt16p-Pob3p); FACT associates with chromatin via interaction with Nhp6Ap and Nhp6Bp ; and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases; specifically required for diauxic shift-induced H2B deposition onto rDNA genes; mutations cause reduced nucleosome occupancy over highly transcribed regions; coregulates transcription with Mot1p through preinitiation complex assembly and nucleosome organization""",Verified ORF
3956,7,103626,-0.130526700471986,0.182616235064905,0.475230038535725,YGL206C,CHC1,SGDID:S000003174,ORF,Verified ORF,"""Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function""",Verified ORF
3957,7,103929,-0.156326268855779,0.182561719112319,0.392416780233335,YGL206C,CHC1,SGDID:S000003174,ORF,Verified ORF,"""Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function""",Verified ORF
3958,7,105525,-0.144881998467915,0.182073917100402,0.426722718167142,YGL206C,CHC1,SGDID:S000003174,ORF,Verified ORF,"""Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function""",Verified ORF
3959,7,109520,-0.147072171202301,0.181845451800023,0.419188963634033,YGL205W,POX1,SGDID:S000003173,ORF,Verified ORF,"""Fatty-acyl coenzyme A oxidase; involved in the fatty acid beta-oxidation pathway; localized to the peroxisomal matrix; component of a light sensing pathway ; converting light into a hydrogen peroxide signal ; modulating nucleo-cytoplasmic shuttling of stress-responsive transcription factor ; Msn2p""",Verified ORF
3960,7,109762,-0.153165992485997,0.18232660182655,0.401441175316861,YGL205W,POX1,SGDID:S000003173,ORF,Verified ORF,"""Fatty-acyl coenzyme A oxidase; involved in the fatty acid beta-oxidation pathway; localized to the peroxisomal matrix; component of a light sensing pathway ; converting light into a hydrogen peroxide signal ; modulating nucleo-cytoplasmic shuttling of stress-responsive transcription factor ; Msn2p""",Verified ORF
3961,7,112259,-0.186661152307224,0.204816006456432,0.36272755318359,ARS704,ARS704,SGDID:S000118452,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
3962,7,114462,-0.0764326661176005,0.182463417457857,0.675549026541408,YGL203C,KEX1,SGDID:S000003171,ORF,Verified ORF,"""Cell death protease essential for hypochlorite-induced apoptosis; involved in the processing of killer toxin and alpha factor precursor; cleaves Lys and Arg residues from the C-terminus of peptides and proteins""",Verified ORF
3963,7,115291,0.182463628840093,0.392070278244693,0.641942744666648,YGL203C,KEX1,SGDID:S000003171,Close to 3'-UTR,Close to 3'-UTR,"""Cell death protease essential for hypochlorite-induced apoptosis; involved in the processing of killer toxin and alpha factor precursor; cleaves Lys and Arg residues from the C-terminus of peptides and proteins""",Verified ORF
3964,7,115293,0.198116671622987,0.396026018420056,0.617202501895143,YGL203C,KEX1,SGDID:S000003171,Close to 3'-UTR,Close to 3'-UTR,"""Cell death protease essential for hypochlorite-induced apoptosis; involved in the processing of killer toxin and alpha factor precursor; cleaves Lys and Arg residues from the C-terminus of peptides and proteins""",Verified ORF
3965,7,115294,0.238732231380745,0.400307346730287,0.551308748245501,YGL203C,KEX1,SGDID:S000003171,Close to 3'-UTR,Close to 3'-UTR,"""Cell death protease essential for hypochlorite-induced apoptosis; involved in the processing of killer toxin and alpha factor precursor; cleaves Lys and Arg residues from the C-terminus of peptides and proteins""",Verified ORF
3966,7,115759,-0.146582948536742,0.183635754578148,0.425275658787643,YGL202W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
3967,7,120910,-0.140476592198937,0.182092308041172,0.440951526520142,YGL201C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3968,7,121864,-0.0998418929620144,0.183451429895991,0.586618852266297,YGL201C,MCM6,SGDID:S000003169,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; forms a subcomplex with Mcm4p and Mcm7p""",Verified ORF
3969,7,122646,-0.101732989282709,0.183721636777962,0.580111202264246,YGL200C,EMP24,SGDID:S000003168,Close to 3'-UTR,Close to 3'-UTR,"""Component of the p24 complex; role in misfolded protein quality control; binds to GPI anchor proteins and mediates their efficient transport from the ER to the Golgi; integral membrane protein that associates with endoplasmic reticulum-derived COPII-coated vesicles""",Verified ORF
3970,7,128719,-0.148802570437789,0.183942195486999,0.419080886417174,YGL197W,MDS3,SGDID:S000003165,ORF,Verified ORF,"""Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required ; with Pmd1p ; for growth under alkaline conditions; has an N-terminal kelch-like domain; MDS3 has a paralog ; PMD1 ; that arose from the whole genome duplication""",Verified ORF
3971,7,129502,-0.197432578130728,0.181681648994677,0.277913005950358,YGL197W,MDS3,SGDID:S000003165,Close to 3'-UTR,Close to 3'-UTR,"""Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required ; with Pmd1p ; for growth under alkaline conditions; has an N-terminal kelch-like domain; MDS3 has a paralog ; PMD1 ; that arose from the whole genome duplication""",Verified ORF
3972,7,129866,-0.208235424773059,0.184010248631754,0.258549265262298,YGL197W,MDS3,SGDID:S000003165,Close to 3'-UTR,Close to 3'-UTR,"""Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required ; with Pmd1p ; for growth under alkaline conditions; has an N-terminal kelch-like domain; MDS3 has a paralog ; PMD1 ; that arose from the whole genome duplication""",Verified ORF
3973,7,130581,-0.216132818736362,0.183432226376022,0.239482376679966,YGL196W,DSD1,SGDID:S000003164,ORF,Verified ORF,"""D-serine dehydratase (aka D-serine ammonia-lyase); converts D-serine to pyruvate and ammonia by a reaction dependent on pyridoxal 5'-phosphate and zinc; may play a role in D-serine detoxification; L-serine is not a substrate""",Verified ORF
3974,7,131402,-0.199488698359458,0.187019308586281,0.286847894041319,YGL195W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
3975,7,131475,-0.185262575004188,0.18328090096799,0.312798657567128,YGL195W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
3976,7,131572,-0.169480766284166,0.181755869840485,0.351734218326142,YGL195W,GCN1,SGDID:S000003163,ORF,Verified ORF,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
3977,7,133091,-0.187537628168594,0.18171134441435,0.302748986951734,YGL195W,GCN1,SGDID:S000003163,ORF,Verified ORF,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
3978,7,134263,-0.174125166948616,0.182516079638257,0.340723083887175,YGL195W,GCN1,SGDID:S000003163,ORF,Verified ORF,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
3979,7,134556,-0.247048638659763,0.182277569571057,0.17617485708247,YGL195W,GCN1,SGDID:S000003163,ORF,Verified ORF,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
3980,7,139381,-0.216062993777664,0.181871061412206,0.235631729744054,YGL195W,GCN1,SGDID:S000003163,ORF,Verified ORF,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
3981,7,139844,-0.199902343704835,0.184012643482938,0.278064936316032,YGL194C-A,YGL194C-A,SGDID:S000087160,ORF,Uncharacterized ORF,"""Putative protein of unknown function; identified based on comparisons of the genome sequences of six Saccharomyces species; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum""",Uncharacterized ORF
3982,7,140293,-1.00971113505567,0.535529670328848,0.0601909382101318,YGL194C-A_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3983,7,140294,-0.0150688543678505,1.00007552565794,0.987986668958739,YGL194C-A_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3984,7,140416,-0.191152376117906,0.185395578900324,0.303222604074941,YGL194C,HOS2,SGDID:S000003162,ORF,Verified ORF,"""Histone deacetylase and subunit of Set3 and Rpd3L complexes; required for gene activation via specific deacetylation of lysines in H3 and H4 histone tails; subunit of the Set3 complex ; a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity; co-localizes with Cmr1p in nuclear foci in response to DNA damage by MMS""",Verified ORF
3985,7,140907,-0.190006985537783,0.181956317514793,0.297086592037087,YGL194C,HOS2,SGDID:S000003162,ORF,Verified ORF,"""Histone deacetylase and subunit of Set3 and Rpd3L complexes; required for gene activation via specific deacetylation of lysines in H3 and H4 histone tails; subunit of the Set3 complex ; a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity; co-localizes with Cmr1p in nuclear foci in response to DNA damage by MMS""",Verified ORF
3986,7,142582,-0.134711393945555,0.182867218768185,0.461817000331351,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
3987,7,142616,-0.133796685346759,0.182141014492769,0.463084545672246,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
3988,7,142656,-0.135431163180569,0.182117490555597,0.457584608132796,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
