SNP,Chr,Pos,Effect,SE,ALO1_HYR1_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
229,2,59191,0.0320451472235977,0.0573392144852356,0.576605031026682,YBL088C,TEL1,SGDID:S000000184,CDS,CDS,"""Protein kinase primarily involved in telomere length regulation; contributes to cell cycle checkpoint control in response to DNA damage; acts with Red1p and Mec1p to promote interhomolog recombination by phosphorylation of Hop1; functionally redundant with Mec1p; regulates P-body formation induced by replication stress; homolog of human ataxia-telangiectasia mutated (ATM) gene""",Verified ORF
230,2,59383,0.0380968644096352,0.0573452582880009,0.506905150514724,YBL088C,TEL1,SGDID:S000000184,Close to 3'-UTR,Close to 3'-UTR,"""Protein kinase primarily involved in telomere length regulation; contributes to cell cycle checkpoint control in response to DNA damage; acts with Red1p and Mec1p to promote interhomolog recombination by phosphorylation of Hop1; functionally redundant with Mec1p; regulates P-body formation induced by replication stress; homolog of human ataxia-telangiectasia mutated (ATM) gene""",Verified ORF
231,2,59477,0.0268986164521299,0.0582268718377456,0.644392968062689,YBL088C,TEL1,SGDID:S000000184,Close to 3'-UTR,Close to 3'-UTR,"""Protein kinase primarily involved in telomere length regulation; contributes to cell cycle checkpoint control in response to DNA damage; acts with Red1p and Mec1p to promote interhomolog recombination by phosphorylation of Hop1; functionally redundant with Mec1p; regulates P-body formation induced by replication stress; homolog of human ataxia-telangiectasia mutated (ATM) gene""",Verified ORF
233,2,60471,0.0171481817819153,0.0574511300169545,0.765510222097645,YBL087C,RPL23A,SGDID:S000000183,Close to 3'-UTR,Close to 3'-UTR,"""Ribosomal 60S subunit protein L23A; homologous to mammalian ribosomal protein L23 and bacterial L14; RPL23A has a paralog ; RPL23B ; that arose from the whole genome duplication""",Verified ORF
234,2,60478,0.0167433618464928,0.0575170431595705,0.771143804400925,YBL087C,RPL23A,SGDID:S000000183,Close to 3'-UTR,Close to 3'-UTR,"""Ribosomal 60S subunit protein L23A; homologous to mammalian ribosomal protein L23 and bacterial L14; RPL23A has a paralog ; RPL23B ; that arose from the whole genome duplication""",Verified ORF
235,2,60786,0.028926760200313,0.0574087202096557,0.614664251959509,YBL087C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
236,2,61035,0.0149148604134071,0.0574197325658416,0.79520690915394,YBL087C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
237,2,61071,0.0043065970002468,0.0571642565726633,0.939989073014652,YBL087C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
238,2,61675,0.0227742518586339,0.0573164726899431,0.691355297229175,YBL086C,YBL086C,SGDID:S000000182,CDS,CDS,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery""",Uncharacterized ORF
240,2,62939,0.0271043531131991,0.0572120075955802,0.635969010834752,YBL086C,YBL086C,SGDID:S000000182,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery""",Uncharacterized ORF
241,2,63527,0.0323497310479433,0.0574192069418284,0.573523198090246,YBL086C,YBL086C,SGDID:S000000182,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery""",Uncharacterized ORF
242,2,63857,-0.0047053093744098,0.0574578336905543,0.934779389915337,YBL085W,BOI1,SGDID:S000000181,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in polar growth ; functionally redundant with Boi2p; required for fusion of secretory vesicles with plasma membrane at sites of polarized growth; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; relocalizes from bud neck to cytoplasm upon DNA replication stress; BOI1 has a paralog ; BOI2 ; that arose from the whole genome duplication""",Verified ORF
243,2,65527,-0.0218881980913398,0.0572570972955826,0.70248431816339,YBL085W,BOI1,SGDID:S000000181,CDS,CDS,"""Protein involved in polar growth ; functionally redundant with Boi2p; required for fusion of secretory vesicles with plasma membrane at sites of polarized growth; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; relocalizes from bud neck to cytoplasm upon DNA replication stress; BOI1 has a paralog ; BOI2 ; that arose from the whole genome duplication""",Verified ORF
247,2,67976,-0.0272067938580069,0.0580757653708794,0.639737171395188,YBL084C,CDC27,SGDID:S000000180,CDS,CDS,"""Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors ; including mitotic cyclins ; during the metaphase/anaphase transition""",Verified ORF
250,2,72389,-0.0254081120564372,0.0577197196356994,0.660063033436849,YBL081W,YBL081W,SGDID:S000000177,CDS,CDS,"""Non-essential protein of unknown function; null mutation results in a decrease in plasma membrane electron transport""",Uncharacterized ORF
251,2,72392,-0.0543104599249206,0.0580562288112827,0.350180324750086,YBL081W,YBL081W,SGDID:S000000177,CDS,CDS,"""Non-essential protein of unknown function; null mutation results in a decrease in plasma membrane electron transport""",Uncharacterized ORF
252,2,73646,-0.0035241495216392,0.0569360993187462,0.950680225775824,YBL080C,PET112,SGDID:S000000176,CDS,CDS,"""Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog""",Verified ORF
253,2,74564,0.0140453136528967,0.0568196955089316,0.804904163528056,YBL080C,PET112,SGDID:S000000176,CDS,CDS,"""Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog""",Verified ORF
254,2,74739,0.0361167103050772,0.0569790391961742,0.526582962702385,YBL080C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
257,2,80873,0.0699867099339071,0.0570259427925113,0.220535792328001,YBL078C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
258,2,81501,0.0792430379718994,0.0569820754276261,0.165202765843737,YBL076C,ILS1,SGDID:S000000172,CDS,CDS,"""Cytoplasmic isoleucine-tRNA synthetase; target of the G1-specific inhibitor reveromycin A""",Verified ORF
259,2,83526,0.0489327455314325,0.0569898372835674,0.391131571006739,YBL076C,ILS1,SGDID:S000000172,CDS,CDS,"""Cytoplasmic isoleucine-tRNA synthetase; target of the G1-specific inhibitor reveromycin A""",Verified ORF
260,2,83845,0.0805526795913143,0.0569423575006978,0.158056852343117,YBL076C,ILS1,SGDID:S000000172,CDS,CDS,"""Cytoplasmic isoleucine-tRNA synthetase; target of the G1-specific inhibitor reveromycin A""",Verified ORF
263,2,84447,0.0779768615130524,0.0576834955133614,0.177303099730909,YBL076C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
264,2,87391,0.0875861042150824,0.0566599332551219,0.123043850406655,YBL074C,AAR2,SGDID:S000000170,CDS,CDS,"""Component of the U5 snRNP complex; required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron""",Verified ORF
265,2,87562,0.0880504379685813,0.0568022538892059,0.122008221118089,YBL074C,AAR2,SGDID:S000000170,CDS,CDS,"""Component of the U5 snRNP complex; required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron""",Verified ORF
266,2,87849,0.0829424549581634,0.0568186154579304,0.145240970521301,YBL073W,YBL073W,SGDID:S000000169,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the essential gene AAR2/YBL074C""",Dubious ORF
267,2,87878,0.0933174313552975,0.0570188339958298,0.102603764226253,YBL073W,YBL073W,SGDID:S000000169,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the essential gene AAR2/YBL074C""",Dubious ORF
269,2,89785,0.0803276923759848,0.0570812361742564,0.160232510774601,YBL071W-A_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
272,2,93721,0.054914624956727,0.0569933795014464,0.335943007838013,YBL067C,UBP13,SGDID:S000000163,CDS,CDS,"""Ubiquitin-specific protease that cleaves Ub-protein fusions; UBP13 has a paralog ; UBP9 ; that arose from the whole genome duplication""",Verified ORF
273,2,93952,0.0717595335705771,0.0567767192876999,0.207103450263161,YBL067C,UBP13,SGDID:S000000163,CDS,CDS,"""Ubiquitin-specific protease that cleaves Ub-protein fusions; UBP13 has a paralog ; UBP9 ; that arose from the whole genome duplication""",Verified ORF
274,2,95085,0.0365875798441433,0.0569511749251563,0.521006066167192,YBL067C,UBP13,SGDID:S000000163,CDS,CDS,"""Ubiquitin-specific protease that cleaves Ub-protein fusions; UBP13 has a paralog ; UBP9 ; that arose from the whole genome duplication""",Verified ORF
276,2,107124,0.0702712135586994,0.0568899936791681,0.217573019789914,YBL061C,SKT5,SGDID:S000000157,CDS,CDS,"""Activator of Chs3p (chitin synthase III) during vegetative growth; recruits Chs3p to the bud neck via interaction with Bni4p; SKT5 has a paralog ; SHC1 ; that arose from the whole genome duplication""",Verified ORF
277,2,111645,0.0569378250586559,0.0569687694873526,0.318258059486218,YBL058W,SHP1,SGDID:S000000154,CDS,CDS,"""UBX domain-containing substrate adaptor for Cdc48p; ubiquitin regulatory X domain-containing protein that acts as a substrate recruiting cofactor for Cdc48p; positively regulates Glc7p PPase activity to promote growth and mitotic progression in complex with Cdc48p; ubiquitinated protein interactor involved in ER-associated degradation (ERAD); regulated by nuclear Ub-dependent degradation (INMAD pathway) independent of the Asi and Doa10 complexes; homolog of human p47 (NSFL1C)""",Verified ORF
278,2,111916,0.0564137547456084,0.0571049056970764,0.323879830881295,YBL058W,SHP1,SGDID:S000000154,CDS,CDS,"""UBX domain-containing substrate adaptor for Cdc48p; ubiquitin regulatory X domain-containing protein that acts as a substrate recruiting cofactor for Cdc48p; positively regulates Glc7p PPase activity to promote growth and mitotic progression in complex with Cdc48p; ubiquitinated protein interactor involved in ER-associated degradation (ERAD); regulated by nuclear Ub-dependent degradation (INMAD pathway) independent of the Asi and Doa10 complexes; homolog of human p47 (NSFL1C)""",Verified ORF
279,2,111931,0.0579848154296433,0.0571880148244784,0.311309179077406,YBL058W,SHP1,SGDID:S000000154,CDS,CDS,"""UBX domain-containing substrate adaptor for Cdc48p; ubiquitin regulatory X domain-containing protein that acts as a substrate recruiting cofactor for Cdc48p; positively regulates Glc7p PPase activity to promote growth and mitotic progression in complex with Cdc48p; ubiquitinated protein interactor involved in ER-associated degradation (ERAD); regulated by nuclear Ub-dependent degradation (INMAD pathway) independent of the Asi and Doa10 complexes; homolog of human p47 (NSFL1C)""",Verified ORF
280,2,111999,0.0563588586152707,0.0569866721252043,0.323348784949505,YBL058W,SHP1,SGDID:S000000154,CDS,CDS,"""UBX domain-containing substrate adaptor for Cdc48p; ubiquitin regulatory X domain-containing protein that acts as a substrate recruiting cofactor for Cdc48p; positively regulates Glc7p PPase activity to promote growth and mitotic progression in complex with Cdc48p; ubiquitinated protein interactor involved in ER-associated degradation (ERAD); regulated by nuclear Ub-dependent degradation (INMAD pathway) independent of the Asi and Doa10 complexes; homolog of human p47 (NSFL1C)""",Verified ORF
281,2,114528,0.0502358878277587,0.0573316398661698,0.381499128778904,YBL056W,PTC3,SGDID:S000000152,CDS,CDS,"""Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p (see also Ptc2p) to limit maximal kinase activity induced by osmotic stress; dephosphorylates T169 phosphorylated Cdc28p (see also Ptc2p); role in DNA damage checkpoint inactivation; PTC3 has a paralog ; PTC2 ; that arose from the whole genome duplication""",Verified ORF
282,2,116024,0.0838481658101147,0.0573570666699498,0.144668426821364,YBL055C,YBL055C,SGDID:S000000151,CDS,CDS,"""3'-->5' exonuclease and endonuclease with a possible role in apoptosis; has similarity to mammalian and C. elegans apoptotic nucleases""",Verified ORF
286,2,120090,0.0824171380487454,0.0571350621308676,0.150048982289681,YBL052C,SAS3,SGDID:S000000148,CDS,CDS,"""Histone acetyltransferase catalytic subunit of NuA3 complex; acetylates histone H3 ; involved in transcriptional silencing; homolog of the mammalian MOZ proto-oncogene; mutant has aneuploidy tolerance; sas3gcn5 double mutation is lethal""",Verified ORF
287,2,120291,0.0738372408645818,0.0578251204585518,0.202474751304668,YBL052C,SAS3,SGDID:S000000148,CDS,CDS,"""Histone acetyltransferase catalytic subunit of NuA3 complex; acetylates histone H3 ; involved in transcriptional silencing; homolog of the mammalian MOZ proto-oncogene; mutant has aneuploidy tolerance; sas3gcn5 double mutation is lethal""",Verified ORF
288,2,120726,0.0676580516582839,0.0575110180124391,0.240213271950136,YBL052C,SAS3,SGDID:S000000148,CDS,CDS,"""Histone acetyltransferase catalytic subunit of NuA3 complex; acetylates histone H3 ; involved in transcriptional silencing; homolog of the mammalian MOZ proto-oncogene; mutant has aneuploidy tolerance; sas3gcn5 double mutation is lethal""",Verified ORF
289,2,121716,0.0350860383222561,0.0575279023021595,0.542323086083311,YBL052C,SAS3,SGDID:S000000148,CDS,CDS,"""Histone acetyltransferase catalytic subunit of NuA3 complex; acetylates histone H3 ; involved in transcriptional silencing; homolog of the mammalian MOZ proto-oncogene; mutant has aneuploidy tolerance; sas3gcn5 double mutation is lethal""",Verified ORF
290,2,123100,0.0599612567765733,0.0575491795494007,0.298164913142396,YBL051C,PIN4,SGDID:S000000147,CDS,CDS,"""Protein involved in G2/M phase progression and response to DNA damage; interacts with Rad53p; contains an RNA recognition motif ; a nuclear localization signal ; and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage""",Verified ORF
291,2,124677,0.0632788104726233,0.0574595815822945,0.271527261697933,YBL051C,PIN4,SGDID:S000000147,CDS,CDS,"""Protein involved in G2/M phase progression and response to DNA damage; interacts with Rad53p; contains an RNA recognition motif ; a nuclear localization signal ; and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage""",Verified ORF
293,2,127887,0.0442695628925651,0.0579049166374519,0.445067192170765,YBL049W,MOH1,SGDID:S000000145,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function ; essential for stationary phase survival; not required for growth on nonfermentable carbon sources; possibly linked with vacuolar transport""",Verified ORF
294,2,128935,0.0485620869201666,0.0578403290200492,0.401707278236994,YBL047C,EDE1,SGDID:S000000143,CDS,CDS,"""Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15""",Verified ORF
295,2,129053,0.036468214425159,0.0580418466706527,0.530207834573442,YBL047C,EDE1,SGDID:S000000143,CDS,CDS,"""Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15""",Verified ORF
296,2,130040,0.0450075568547549,0.0583796229674046,0.441254440335244,YBL047C,EDE1,SGDID:S000000143,CDS,CDS,"""Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15""",Verified ORF
297,2,130976,0.0509670985321921,0.0578893118600902,0.37922904762981,YBL047C,EDE1,SGDID:S000000143,CDS,CDS,"""Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15""",Verified ORF
298,2,132199,0.003137281433846,0.0582211979666041,0.957056829763546,YBL046W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
299,2,133355,0.0213606301404036,0.058604253158993,0.715710818784226,YBL046W,PSY4,SGDID:S000000142,CDS,CDS,"""Regulatory subunit of protein phosphatase PP4; presence of Psy4p in the PP4 complex (along with catalytic subunit Pph3p and Psy2p) is required for dephosphorylation of the histone variant H2AX ; but not for dephosphorylation of Rad53p ; during recovery from the DNA damage checkpoint; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; required for cisplatin resistance; homolog of mammalian R2""",Verified ORF
300,2,133435,0.0018320558336937,0.0587418628321623,0.975137037411648,YBL046W,PSY4,SGDID:S000000142,CDS,CDS,"""Regulatory subunit of protein phosphatase PP4; presence of Psy4p in the PP4 complex (along with catalytic subunit Pph3p and Psy2p) is required for dephosphorylation of the histone variant H2AX ; but not for dephosphorylation of Rad53p ; during recovery from the DNA damage checkpoint; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; required for cisplatin resistance; homolog of mammalian R2""",Verified ORF
302,2,135183,0.0283195635437088,0.0587551473664168,0.630109692879622,YBL045C,COR1,SGDID:S000000141,CDS,CDS,"""Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain""",Verified ORF
303,2,135402,0.0317274338436555,0.058741331955697,0.58945409052558,YBL045C,COR1,SGDID:S000000141,CDS,CDS,"""Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain""",Verified ORF
304,2,135898,0.0040499760653045,0.0590768623945842,0.9453831696985,YBL044W_NFR/NDR,,,Promoter,Promoter,,Promoter
305,2,135912,0.0020745754666626,0.0591207895723566,0.972027445561942,YBL044W_NFR/NDR,,,Promoter,Promoter,,Promoter
306,2,135925,-0.0103852038632717,0.0588504834399988,0.86002779395453,YBL044W_NFR/NDR,,,Promoter,Promoter,,Promoter
307,2,136002,-0.0224258971125892,0.058796929381137,0.703126488083318,YBL044W,YBL044W,SGDID:S000000140,CDS,CDS,"""Putative protein of unknown function; YBL044W is not an essential protein""",Uncharacterized ORF
308,2,136173,0.0122942610026522,0.0592214937042637,0.835662612423539,YBL044W,YBL044W,SGDID:S000000140,CDS,CDS,"""Putative protein of unknown function; YBL044W is not an essential protein""",Uncharacterized ORF
310,2,138318,-0.0070293735010975,0.0607875392141914,0.908004885013081,YBL043W,ECM13,SGDID:S000000139,Close to 3'-UTR,Close to 3'-UTR,"""Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; ECM13 has a paralog ; YJR115W ; that arose from the whole genome duplication""",Verified ORF
311,2,138695,-0.0184835828410967,0.0597387087846626,0.757194393972396,YBL042C,FUI1,SGDID:S000000138,CDS,CDS,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
312,2,138818,-0.0203464921055916,0.0596274090140942,0.733135585611846,YBL042C,FUI1,SGDID:S000000138,CDS,CDS,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
313,2,139728,-0.003775065869624,0.0595299875248278,0.949472314363797,YBL042C,FUI1,SGDID:S000000138,CDS,CDS,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
314,2,140174,-0.019774211865917,0.0595210221877038,0.739918575844859,YBL042C,FUI1,SGDID:S000000138,CDS,CDS,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
315,2,140863,-0.0332799901211105,0.0594798782482254,0.576163911141887,YBL041W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
316,2,141152,-0.0202486513427653,0.0596641366471818,0.734527360041054,YBL042C,FUI1,SGDID:S000000138,Close to 3'-UTR,Close to 3'-UTR,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
317,2,141292,-0.0330264354548293,0.0592187219761443,0.577400971609445,YBL041W,PRE7,SGDID:S000000137,CDS,CDS,"""Beta 6 subunit of the 20S proteasome""",Verified ORF
318,2,141545,-0.0349496292650016,0.0595043339504276,0.557346877324304,YBL041W,PRE7,SGDID:S000000137,CDS,CDS,"""Beta 6 subunit of the 20S proteasome""",Verified ORF
322,2,146723,-0.0466794271014175,0.0593740648473631,0.432282321013382,YBL038W,MRPL16,SGDID:S000000134,CDS,CDS,"""Mitochondrial ribosomal protein of the large subunit; homologous to bacterial L16 ribosomal protein; synthetic lethality with hac1 mutation suggests a possible role in synthesis of precursors for protein glycosylation""",Verified ORF
323,2,147946,-0.0725167571525585,0.0598460533445991,0.226429431169954,YBL037W,APL3,SGDID:S000000133,CDS,CDS,"""Alpha-adaptin; large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport""",Verified ORF
326,2,151397,-0.0631259169414322,0.0600263547000304,0.293685630395821,YBL036C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
327,2,153035,-0.0794024881116957,0.059315474927367,0.181547066592482,XUT_2F-43,,,Unstable transcript,XUT,ncRNA_TFO,Unstable transcript
328,2,153228,-0.0605920906036157,0.0598128796799469,0.311740880721489,YBL035C,POL12,SGDID:S000000131,CDS,CDS,"""B subunit of DNA polymerase alpha-primase complex; required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation""",Verified ORF
329,2,153455,-0.0474899640048012,0.0602989091237907,0.431473344573076,YBL035C,POL12,SGDID:S000000131,CDS,CDS,"""B subunit of DNA polymerase alpha-primase complex; required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation""",Verified ORF
331,2,153815,-0.0633053318919545,0.0600258194361004,0.292313571058447,YBL035C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
332,2,154160,-0.0944201403693052,0.0592777365010456,0.112090372691855,YBL034C,STU1,SGDID:S000000130,CDS,CDS,"""Microtubule plus-end-tracking non-motor protein; binds to MTs ; stabilizing interpolar MT plus ends ; facilitating polymerization of spindle MTs and producing an outward force on spindle poles; required for structural integrity of the mitotic spindle; binds detached kinetochores (KTs) and promotes capture; relocalizes to MTs and stabilizes the spindle once captured KTs reach a spindle pole; localizes to the spindle ; spindles poles ; and detached KTs; CLASP family member homologous to human CLASP1/2""",Verified ORF
333,2,154235,-0.0754291641716849,0.0599501621306775,0.209151795549783,YBL034C,STU1,SGDID:S000000130,CDS,CDS,"""Microtubule plus-end-tracking non-motor protein; binds to MTs ; stabilizing interpolar MT plus ends ; facilitating polymerization of spindle MTs and producing an outward force on spindle poles; required for structural integrity of the mitotic spindle; binds detached kinetochores (KTs) and promotes capture; relocalizes to MTs and stabilizes the spindle once captured KTs reach a spindle pole; localizes to the spindle ; spindles poles ; and detached KTs; CLASP family member homologous to human CLASP1/2""",Verified ORF
335,2,159870,-0.004881442714264,0.0585663173225016,0.933621300876057,YBL032W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
336,2,161229,-0.032827838881724,0.0594401647126721,0.581103443432031,YBL032W,HEK2,SGDID:S000000128,CDS,CDS,"""RNA binding protein involved in asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA ; an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K""",Verified ORF
339,2,162696,-0.0081884655800363,0.0592083667469755,0.890082871008605,YBL031W,SHE1,SGDID:S000000127,CDS,CDS,"""Mitotic spindle protein; interacts with components of the Dam1 (DASH) complex ; its effector Sli15p ; and microtubule-associated protein Bim1p; also localizes to nuclear microtubules and to the bud neck in a ring-shaped structure; inhibits dynein function""",Verified ORF
340,2,163284,-0.0018745385255652,0.0584252723891201,0.974422894450356,YBL030C,PET9,SGDID:S000000126,CDS,CDS,"""Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog ; AAC3 ; that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant""",Verified ORF
341,2,164166,-0.0007604981276306,0.058967823152843,0.989717387538552,YBL030C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
342,2,165270,-0.0193394342046815,0.0584628755459302,0.740992922274244,YBL029C-A_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
343,2,165675,0.0166136460991815,0.0594316883483514,0.779992718199127,YBL029C-A,YBL029C-A,SGDID:S000007591,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; protein abundance increases in response to DNA replication stress; has potential orthologs in Saccharomyces species and in Yarrowia lipolytica""",Verified ORF
346,2,168062,0.0353546480101912,0.0588741010073303,0.548549911169289,YBL027W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
347,2,168518,-0.0085604798240701,0.0585651212776234,0.883870406643715,YBL028C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
348,2,168980,-0.0055622426282396,0.05853834044626,0.924353811549358,YBL027W,RPL19B,SGDID:S000000123,Close to 3'-UTR,Close to 3'-UTR,"""Ribosomal 60S subunit protein L19B; rpl19a and rpl19b single null mutations result in slow growth ; while the double null mutation is lethal; homologous to mammalian ribosomal protein L19 ; no bacterial homolog; RPL19B has a paralog ; RPL19A ; that arose from the whole genome duplication""",Verified ORF
349,2,169651,-0.002273966375791,0.0585667685553941,0.96905034247039,YBL027W,RPL19B,SGDID:S000000123,Close to 3'-UTR,Close to 3'-UTR,"""Ribosomal 60S subunit protein L19B; rpl19a and rpl19b single null mutations result in slow growth ; while the double null mutation is lethal; homologous to mammalian ribosomal protein L19 ; no bacterial homolog; RPL19B has a paralog ; RPL19A ; that arose from the whole genome duplication""",Verified ORF
352,2,170725,0.0032141688608177,0.0586708972108007,0.956342320946077,YBL026W,LSM2,SGDID:S000000122,Close to 3'-UTR,Close to 3'-UTR,"""Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA ; snoRNA ; and rRNA; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress""",Verified ORF
353,2,171254,0.0163316745382402,0.0587596638147871,0.781220958054362,YBL025W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
354,2,172242,0.0293600629897207,0.0580504079992505,0.613334906779567,YBL024W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
355,2,173254,0.0121478224475563,0.0576228116037515,0.833152335340209,YBL024W,NCL1,SGDID:S000000120,CDS,CDS,"""S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide ; causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120""",Verified ORF
