SNP,Chr,Pos,Effect,SE,ADE17_GIS2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
3185,5,366361,-0.262997785951997,0.151690228950974,0.0838298789227161,YER103W,SSA4,SGDID:S000000905,CDS,CDS,"""Heat shock protein that is highly induced upon stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the HSP70 family; cytoplasmic protein that concentrates in nuclei upon starvation; SSA4 has a paralog ; SSA3 ; that arose from the whole genome duplication""",Verified ORF
3186,5,371014,-0.265704264152822,0.150824145865829,0.0789885400135922,YER105C,NUP157,SGDID:S000000907,CDS,CDS,"""Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC assembly and tethering of DNA to the nuclear periphery; both Nup170p and NUP157p are similar to human Nup155p; NUP157 has a paralog ; NUP170 ; that arose from the whole genome duplication""",Verified ORF
3187,5,371457,-0.193170494627959,0.153962168387943,0.210431523616342,YER105C,NUP157,SGDID:S000000907,CDS,CDS,"""Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC assembly and tethering of DNA to the nuclear periphery; both Nup170p and NUP157p are similar to human Nup155p; NUP157 has a paralog ; NUP170 ; that arose from the whole genome duplication""",Verified ORF
3188,5,372989,-0.15861655844176,0.154563044861552,0.305487937763749,YER106W,MAM1,SGDID:S000000908,CDS,CDS,"""Monopolin; meiosis-specific kinetochore-associated protein involved in monopolar attachment of sister kinetochores to the meiotic spindle; subunit of monopolin ; a complex that prevents biorientation of sister kinetochores to ensure homolog biorientation during meiosis I; regulates the conformation ; enzyme kinetics and substrate specificity of the Dsn1p kinase ; Hrr1p; expressed only during the first meiotic division""",Verified ORF
3189,5,374614,-0.26765304991737,0.151757760097251,0.0786498575955665,YER107W-A,YER107W-A,SGDID:S000028755,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps verified ORF GLE2/YER107C""",Dubious ORF
3190,5,377631,-0.174764619256128,0.152442422232047,0.252393640967815,YER109C,FLO8,SGDID:S000000911,Close to 3'-UTR,Close to 3'-UTR,"""Transcription factor; required for flocculation ; diploid filamentous growth ; and haploid invasive growth; forms a heterodimer with Mss1p that interacts with the Swi/Snf complex during transcriptional activation of FLO1 ; FLO11 ; and STA1; S. cerevisiae genome reference strain S288C contains an internal in-frame stop at codon 142 ; which in other strains encodes tryptophan""",blocked_reading_frame
3191,5,378702,0.0028417251262558,0.156392048464768,0.985513084682407,SUT096,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
3192,5,378741,0.0054832057108442,0.155596726110878,0.971908402476128,XUT_5F-191,,,Unstable transcript,XUT,ncRNA_STM,Unstable transcript
3193,5,379541,0.059817669549215,0.152759090628977,0.695603558699604,YER110C,KAP123,SGDID:S000000912,CDS,CDS,"""Karyopherin beta; mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4; localizes to the nuclear pore ; nucleus ; and cytoplasm; exhibits genetic interactions with RAI1""",Verified ORF
3194,5,380460,-0.0231978531220964,0.15327254576842,0.879785810572338,YER110C,KAP123,SGDID:S000000912,CDS,CDS,"""Karyopherin beta; mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4; localizes to the nuclear pore ; nucleus ; and cytoplasm; exhibits genetic interactions with RAI1""",Verified ORF
3198,5,382808,0.0278086284345478,0.153479234279338,0.856323831427027,YER111C,SWI4,SGDID:S000000913,CDS,CDS,"""DNA binding component of the SBF complex (Swi4p-Swi6p); a transcriptional activator that in concert with MBF (Mbp1-Swi6p) regulates late G1-specific transcription of targets including cyclins and genes required for DNA synthesis and repair; Slt2p-independent regulator of cold growth; acetylation at two sites ; K1016 and K1066 ; regulates interaction with Swi6p""",Verified ORF
3199,5,384156,0.0249439798744897,0.1553647067699,0.872538781662549,YER111C,SWI4,SGDID:S000000913,CDS,CDS,"""DNA binding component of the SBF complex (Swi4p-Swi6p); a transcriptional activator that in concert with MBF (Mbp1-Swi6p) regulates late G1-specific transcription of targets including cyclins and genes required for DNA synthesis and repair; Slt2p-independent regulator of cold growth; acetylation at two sites ; K1016 and K1066 ; regulates interaction with Swi6p""",Verified ORF
3200,5,387695,0.0703824487527652,0.152869409680909,0.645506175543293,YER112W,LSM4,SGDID:S000000914,CDS,CDS,"""Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA ; snoRNA ; and rRNA; forms cytoplasmic foci upon DNA replication stress""",Verified ORF
3201,5,388185,0.0610816331842186,0.15419112777624,0.692239367470313,YER113C,TMN3,SGDID:S000000915,CDS,CDS,"""Protein with a role in cellular adhesion and filamentous growth; similar to Emp70p and Tmn2p; member of Transmembrane Nine family with 9 transmembrane segments; localizes to Golgi; induced by 8-methoxypsoralen plus UVA irradiation""",Verified ORF
3203,5,391916,0.105995917046774,0.152529688101291,0.487562646505867,YER114C,BOI2,SGDID:S000000916,CDS,CDS,"""Protein involved in polar growth; functionally redundant with Boi1p; required for fusion of secretory vesicles with plasma membrane at sites of polarized growth and for inhibition of membrane abscission until the end of cytokinesis; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; relocalizes from bud neck to cytoplasm upon DNA replication stress; BOI2 has a paralog ; BOI1 ; that arose from the whole genome duplication""",Verified ORF
3204,5,392497,0.0953601088371787,0.152940860225087,0.533352298223443,YER114C,BOI2,SGDID:S000000916,CDS,CDS,"""Protein involved in polar growth; functionally redundant with Boi1p; required for fusion of secretory vesicles with plasma membrane at sites of polarized growth and for inhibition of membrane abscission until the end of cytokinesis; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; relocalizes from bud neck to cytoplasm upon DNA replication stress; BOI2 has a paralog ; BOI1 ; that arose from the whole genome duplication""",Verified ORF
3205,5,393006,0.122358280928102,0.152904950470314,0.424118963578611,YER114C,BOI2,SGDID:S000000916,CDS,CDS,"""Protein involved in polar growth; functionally redundant with Boi1p; required for fusion of secretory vesicles with plasma membrane at sites of polarized growth and for inhibition of membrane abscission until the end of cytokinesis; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; relocalizes from bud neck to cytoplasm upon DNA replication stress; BOI2 has a paralog ; BOI1 ; that arose from the whole genome duplication""",Verified ORF
3206,5,393290,0.0587354969549455,0.152756592922519,0.70083658040924,YER114C,BOI2,SGDID:S000000916,CDS,CDS,"""Protein involved in polar growth; functionally redundant with Boi1p; required for fusion of secretory vesicles with plasma membrane at sites of polarized growth and for inhibition of membrane abscission until the end of cytokinesis; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; relocalizes from bud neck to cytoplasm upon DNA replication stress; BOI2 has a paralog ; BOI1 ; that arose from the whole genome duplication""",Verified ORF
3208,5,396266,0.159061052958889,0.153542975707495,0.30094004302933,YER117W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
3209,5,398009,0.19974550911036,0.152673867907163,0.191617724911559,YER118C,SHO1,SGDID:S000000920,CDS,CDS,"""Transmembrane osmosensor for filamentous growth and HOG pathways; involved in activation of the Cdc42p- and MAP kinase-dependent filamentous growth pathway and the high-osmolarity glycerol (HOG) response pathway; phosphorylated by Hog1p; interacts with Pbs2p ; Msb2p ; Hkr1p ; and Ste11p""",Verified ORF
3210,5,398644,0.160596765136241,0.152713240904493,0.293691878943487,YER118C,SHO1,SGDID:S000000920,CDS,CDS,"""Transmembrane osmosensor for filamentous growth and HOG pathways; involved in activation of the Cdc42p- and MAP kinase-dependent filamentous growth pathway and the high-osmolarity glycerol (HOG) response pathway; phosphorylated by Hog1p; interacts with Pbs2p ; Msb2p ; Hkr1p ; and Ste11p""",Verified ORF
3211,5,401545,-0.0303882073519789,0.151834046255532,0.8414856127884,YER120W,SCS2,SGDID:S000000922,CDS,CDS,"""Integral ER membrane protein ; regulates phospholipid metabolism; one of 6 proteins (Ist2p ; Scs2p ; Scs22p ; Tcb1p ; Tcb2p ; Tcb3p) that connect ER to plasma membrane (PM) and regulate PI4P levels by controlling access of Sac1p phosphatase to substrate PI4P in the PM; interacts with FFAT motifs in Opi1p ; Swh1p ; Osh2p ; and Osh3p; involved in telomeric silencing; VAP homolog; SCS2 has a paralog ; SCS22 ; that arose from the whole genome duplication""",Verified ORF
3212,5,402468,-0.0476214820916017,0.15182150444025,0.75395880291827,YER121W,YER121W,SGDID:S000000923,CDS,CDS,"""Putative protein of unknown function; may be involved in phosphatase regulation and/or generation of precursor metabolites and energy""",Uncharacterized ORF
3213,5,403529,0.0130006181881297,0.154102662965476,0.932815362348536,YER122C,GLO3,SGDID:S000000924,CDS,CDS,"""ADP-ribosylation factor GTPase activating protein (ARF GAP); involved in ER-Golgi transport; shares functional similarity with Gcs1p""",Verified ORF
3214,5,405417,0.0678794746459415,0.152518972384091,0.656552107142452,YER123W,YCK3,SGDID:S000000925,CDS,CDS,"""Palmitoylated vacuolar membrane-localized casein kinase I isoform; negatively regulates vacuole fusion during hypertonic stress via phosphorylation of Vps41p; shares essential functions with Hrr25p; regulates vesicle fusion in AP-3 pathway""",Verified ORF
3215,5,406230,0.0559963760332075,0.153413842262025,0.715328414493558,YER123W,YCK3,SGDID:S000000925,CDS,CDS,"""Palmitoylated vacuolar membrane-localized casein kinase I isoform; negatively regulates vacuole fusion during hypertonic stress via phosphorylation of Vps41p; shares essential functions with Hrr25p; regulates vesicle fusion in AP-3 pathway""",Verified ORF
3217,5,407785,0.0890708004092878,0.152088210647884,0.558483462477066,YER124C,DSE1,SGDID:S000000926,CDS,CDS,"""Daughter cell-specific protein; may regulate cross-talk between the mating and filamentation pathways; deletion affects cell separation after division and sensitivity to alpha-factor and drugs affecting the cell wall; relocalizes from bud neck to cytoplasm upon DNA replication stress""",Verified ORF
3218,5,409900,0.204305234784746,0.152338340015428,0.180741113202182,YER124C,DSE1,SGDID:S000000926,Close to 3'-UTR,Close to 3'-UTR,"""Daughter cell-specific protein; may regulate cross-talk between the mating and filamentation pathways; deletion affects cell separation after division and sensitivity to alpha-factor and drugs affecting the cell wall; relocalizes from bud neck to cytoplasm upon DNA replication stress""",Verified ORF
3223,5,417297,0.194822035675937,0.152251891191264,0.201525035003174,YER129W,SAK1,SGDID:S000000931,CDS,CDS,"""Upstream serine/threonine kinase for the SNF1 complex; plays a role in pseudohyphal groth; partially redundant with Elm1p and Tos3p; members of this family have functional orthology with LKB1 ; a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome; SAK1 has a paralog ; TOS3 ; that arose from the whole genome duplication""",Verified ORF
3224,5,419108,0.222041840684569,0.151966086138433,0.144869962682631,YER129W,SAK1,SGDID:S000000931,CDS,CDS,"""Upstream serine/threonine kinase for the SNF1 complex; plays a role in pseudohyphal groth; partially redundant with Elm1p and Tos3p; members of this family have functional orthology with LKB1 ; a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome; SAK1 has a paralog ; TOS3 ; that arose from the whole genome duplication""",Verified ORF
3225,5,421695,0.220509118227293,0.152145238749927,0.148132388966,YER130C,COM2,SGDID:S000000932,CDS,CDS,"""Transcription factor that binds IME1 Upstream Activation Signal (UAS)ru; COM2 transcription is regulated by Haa1p ; Sok2p and Zap1p transcriptional activators; may bind the IME1 promoter under all growth conditions to negatively regulate its transcription in the absence of a positive regulator that binds more effectively; repressor activity may depend on phosphorylation by PKA; C. albicans homolog (MNL1) plays a role in adaptation to stress""",Verified ORF
3226,5,422560,0.206267923950302,0.151377580787592,0.173875543387362,CUT116,,,Unstable transcript,CUT,ncRNA_TFO,Unstable transcript
3227,5,424852,0.160104781839672,0.151289038378654,0.290655598673887,YNCE0019W,SNR4,SGDID:S000006493,Non-coding RNA,snoRNA_gene,"""C/D box small nucleolar RNA (snoRNA) but not shown to be active; no target site is predicted within the ribosomal RNAs""",snoRNA_gene
3228,5,425327,0.153836525901645,0.151063168957786,0.309204851428356,YER132C,PMD1,SGDID:S000000934,CDS,CDS,"""Protein with an N-terminal kelch-like domain; putative negative regulator of early meiotic gene expression; required ; with Mds3p ; for growth under alkaline conditions; PMD1 has a paralog ; MDS3 ; that arose from the whole genome duplication""",Verified ORF
3229,5,427844,0.224024560597188,0.151123953888473,0.139128848922039,YER132C,PMD1,SGDID:S000000934,CDS,CDS,"""Protein with an N-terminal kelch-like domain; putative negative regulator of early meiotic gene expression; required ; with Mds3p ; for growth under alkaline conditions; PMD1 has a paralog ; MDS3 ; that arose from the whole genome duplication""",Verified ORF
3230,5,430235,0.174549409286381,0.153287381309794,0.255597576933499,YER132C,PMD1,SGDID:S000000934,CDS,CDS,"""Protein with an N-terminal kelch-like domain; putative negative regulator of early meiotic gene expression; required ; with Mds3p ; for growth under alkaline conditions; PMD1 has a paralog ; MDS3 ; that arose from the whole genome duplication""",Verified ORF
3232,5,430883,0.157811398554143,0.151295864393951,0.297632055073442,YER132C,PMD1,SGDID:S000000934,Close to 3'-UTR,Close to 3'-UTR,"""Protein with an N-terminal kelch-like domain; putative negative regulator of early meiotic gene expression; required ; with Mds3p ; for growth under alkaline conditions; PMD1 has a paralog ; MDS3 ; that arose from the whole genome duplication""",Verified ORF
3234,5,431369,0.230966840505244,0.151399913656764,0.128019532690182,snR52_NFR/NDR,,,Promoter,Promoter,,Promoter
3235,5,432378,0.218326543648773,0.155235407456519,0.160478449281237,YER133W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
3236,5,432587,0.147089001756785,0.152005539338957,0.333878927107756,YER133W,GLC7,SGDID:S000000935,CDS,CDS,"""Type 1 S/T protein phosphatase (PP1) catalytic subunit; involved in glycogen metabolism ; sporulation and mitotic progression; interacts with multiple regulatory subunits; regulates actomyosin ring formation; subunit of CPF; recruited to mating projections by Afr1p interaction; regulates nucleocytoplasmic shuttling of Hxk2p; import into the nucleus is inhibited during spindle assembly checkpoint arrest; involved in dephosphorylating Rps6a/b and Bnr1p""",Verified ORF
3237,5,434634,0.277030921164921,0.150643809953379,0.0667579391517004,YERCsigma3,YERCsigma3,SGDID:S000006906,Other features,LTR,"""Ty3 LTR""",reverse complement
3238,5,441308,0.347198665088173,0.151098177449362,0.0221554326915804,SCR1_NFR/NDR,,,Promoter,Promoter,,Promoter
3239,5,441594,0.315304619906132,0.150506287429139,0.0368868188776391,YER137C,YER137C,SGDID:S000000939,CDS,CDS,"""Protein of unknown function""",Verified ORF
3245,5,451448,0.288261820572933,0.152239082533707,0.0591114488843737,YER140W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3246,5,456087,0.202693857547356,0.151640625198729,0.182190404492787,YER143W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3247,5,458086,0.198665445886517,0.151590246636704,0.190864435561584,YER144C,UBP5,SGDID:S000000946,CDS,CDS,"""Putative ubiquitin-specific protease; concentrates at the bud neck; UBP5 has a paralog ; DOA4 ; that arose from the whole genome duplication""",Verified ORF
3248,5,461234,0.256478448111461,0.150395402174636,0.0890068434806963,YER145C,FTR1,SGDID:S000000947,CDS,CDS,"""High affinity iron permease; involved in the transport of iron across the plasma membrane; forms complex with Fet3p; expression is regulated by iron; protein abundance increases in response to DNA replication stress""",Verified ORF
3250,5,463004,0.1907527955008,0.151996020234211,0.210314243971405,YER147C,SCC4,SGDID:S000000949,CDS,CDS,"""Subunit of cohesin loading factor (Scc2p-Scc4p); complex is required for the loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during double-strand break repair via phosphorylated histone H2AX""",Verified ORF
3251,5,465043,0.10037795336149,0.153449481708242,0.513445402862391,YER148W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3252,5,467724,0.0737629053446989,0.151687038850641,0.627067916590775,YER149C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3253,5,468076,0.0618743378842214,0.152218788258947,0.684634124479893,YER150W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3254,5,469078,0.0574656489662729,0.152927851915429,0.707313847681195,YER150W,SPI1,SGDID:S000000952,Close to 3'-UTR,Close to 3'-UTR,"""GPI-anchored cell wall protein involved in weak acid resistance; basal expression requires Msn2p/Msn4p; expression is induced under conditions of stress and during the diauxic shift; SPI1 has a paralog ; SED1 ; that arose from the whole genome duplication""",Verified ORF
3255,5,469404,0.0608711144712423,0.153621908571877,0.692167535565164,tV(AAC)E2_NFR/NDR,,,Promoter,Promoter,,Promoter
3256,5,475322,0.135607637623501,0.151195102430075,0.370380895101517,YER154W,OXA1,SGDID:S000000956,CDS,CDS,"""Mitochondrial inner membrane insertase; mediates the insertion of both mitochondrial- and nuclear-encoded proteins from the matrix into the inner membrane; also has a role in insertion of carrier proteins into the inner membrane; acts as a voltage-gated ion channel ; activated by substrate peptides; interacts with mitochondrial ribosomes; conserved from bacteria to animals""",Verified ORF
3257,5,475607,0.142593272381558,0.150994187602531,0.345630266964088,YER154W,OXA1,SGDID:S000000956,CDS,CDS,"""Mitochondrial inner membrane insertase; mediates the insertion of both mitochondrial- and nuclear-encoded proteins from the matrix into the inner membrane; also has a role in insertion of carrier proteins into the inner membrane; acts as a voltage-gated ion channel ; activated by substrate peptides; interacts with mitochondrial ribosomes; conserved from bacteria to animals""",Verified ORF
3258,5,475736,0.151567893531013,0.15083131391773,0.315641285827326,YER154W,OXA1,SGDID:S000000956,CDS,CDS,"""Mitochondrial inner membrane insertase; mediates the insertion of both mitochondrial- and nuclear-encoded proteins from the matrix into the inner membrane; also has a role in insertion of carrier proteins into the inner membrane; acts as a voltage-gated ion channel ; activated by substrate peptides; interacts with mitochondrial ribosomes; conserved from bacteria to animals""",Verified ORF
3259,5,478715,0.0949934444399255,0.152820601758823,0.534605460430054,YER155C,BEM2,SGDID:S000000957,CDS,CDS,"""Rho GTPase activating protein (RhoGAP); contains RhoGAP activity specific for both Rho1p and Cdc42p ; and potentially Rho4p; acts with the RhoGAP Bem3p to negatively regulate Cdc42p-dependent signal transduction; involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence and for the morphogenesis checkpoint in response to actin depolymerization; localizes to sites of polarized growth and the plasma membrane""",Verified ORF
3260,5,478932,0.0944372668252011,0.152684981080129,0.536637753212561,YER155C,BEM2,SGDID:S000000957,CDS,CDS,"""Rho GTPase activating protein (RhoGAP); contains RhoGAP activity specific for both Rho1p and Cdc42p ; and potentially Rho4p; acts with the RhoGAP Bem3p to negatively regulate Cdc42p-dependent signal transduction; involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence and for the morphogenesis checkpoint in response to actin depolymerization; localizes to sites of polarized growth and the plasma membrane""",Verified ORF
3261,5,479996,0.057204776456562,0.152244641872306,0.707334061766628,YER155C,BEM2,SGDID:S000000957,CDS,CDS,"""Rho GTPase activating protein (RhoGAP); contains RhoGAP activity specific for both Rho1p and Cdc42p ; and potentially Rho4p; acts with the RhoGAP Bem3p to negatively regulate Cdc42p-dependent signal transduction; involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence and for the morphogenesis checkpoint in response to actin depolymerization; localizes to sites of polarized growth and the plasma membrane""",Verified ORF
3262,5,482003,0.016731880603398,0.151551401621655,0.912151723465226,YER155C,BEM2,SGDID:S000000957,CDS,CDS,"""Rho GTPase activating protein (RhoGAP); contains RhoGAP activity specific for both Rho1p and Cdc42p ; and potentially Rho4p; acts with the RhoGAP Bem3p to negatively regulate Cdc42p-dependent signal transduction; involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence and for the morphogenesis checkpoint in response to actin depolymerization; localizes to sites of polarized growth and the plasma membrane""",Verified ORF
3263,5,482536,0.0706596444948107,0.151507348145464,0.641232862491577,YER155C,BEM2,SGDID:S000000957,CDS,CDS,"""Rho GTPase activating protein (RhoGAP); contains RhoGAP activity specific for both Rho1p and Cdc42p ; and potentially Rho4p; acts with the RhoGAP Bem3p to negatively regulate Cdc42p-dependent signal transduction; involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence and for the morphogenesis checkpoint in response to actin depolymerization; localizes to sites of polarized growth and the plasma membrane""",Verified ORF
3265,5,484954,-0.039837530181659,0.151731448925282,0.79304837462255,YER157W,COG3,SGDID:S000000959,CDS,CDS,"""Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments""",Verified ORF
3266,5,486157,-0.0620135000042336,0.151474907220401,0.682496022780896,YER157W,COG3,SGDID:S000000959,CDS,CDS,"""Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments""",Verified ORF
3267,5,486882,-0.0945840288288689,0.154729453542871,0.541403355114138,YER157W,COG3,SGDID:S000000959,CDS,CDS,"""Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments""",Verified ORF
3270,5,487404,-0.0572441361602884,0.153057731979529,0.70862620945673,tE(UUC)E3_NFR/NDR,,,Promoter,Promoter,,Promoter
3273,5,489636,-0.0786735081136955,0.151688478043258,0.604328516869469,YER158C,YER158C,SGDID:S000000960,CDS,CDS,"""Protein of unknown function; potentially phosphorylated by Cdc28p; YER158C has a paralog ; AFR1 ; that arose from the whole genome duplication""",Uncharacterized ORF
3274,5,490549,0.0032595952471355,0.151163279371513,0.982808407510805,YER158C,YER158C,SGDID:S000000960,CDS,CDS,"""Protein of unknown function; potentially phosphorylated by Cdc28p; YER158C has a paralog ; AFR1 ; that arose from the whole genome duplication""",Uncharacterized ORF
3275,5,491806,-0.0013599183068656,0.150961466697614,0.992817538430801,YER159C,BUR6,SGDID:S000000961,CDS,CDS,"""Subunit of a heterodimeric NC2 transcription regulator complex; complex binds to TBP and can repress transcription by preventing preinitiation complex assembly or stimulate activated transcription; homologous to human NC2alpha; complex also includes Ncb2p; bur6 ncb2 double mutation is functionally complemented by coexpression of human DRAP1 and DR1 ; although the single bur6 mutation is not complemented by its ortholog DRAP1""",Verified ORF
3276,5,491888,-0.0458411591973978,0.151419365069021,0.762264011834635,YER159C,BUR6,SGDID:S000000961,CDS,CDS,"""Subunit of a heterodimeric NC2 transcription regulator complex; complex binds to TBP and can repress transcription by preventing preinitiation complex assembly or stimulate activated transcription; homologous to human NC2alpha; complex also includes Ncb2p; bur6 ncb2 double mutation is functionally complemented by coexpression of human DRAP1 and DR1 ; although the single bur6 mutation is not complemented by its ortholog DRAP1""",Verified ORF
3279,5,499612,-0.0619622299043362,0.150977646466371,0.681756654070117,YER161C,SPT2,SGDID:S000000963,CDS,CDS,"""Protein involved in negative regulation of transcription; required for RNA polyadenylation; exhibits regulated interactions with both histones and SWI-SNF components; relocalizes to the cytosol in response to hypoxia; similar to mammalian HMG1 proteins""",Verified ORF
3280,5,502460,0.0104155958545336,0.152135587904014,0.945456164728609,YER162C,RAD4,SGDID:S000000964,CDS,CDS,"""Damaged-DNA binding subunit of Nuclear Excision Repair Factor 2; recognizes and binds damaged DNA with Rad23p during nucleotide excision repair (NER); also involved with Rad23p in turnover of ubiquitylated proteins; Rad4p-Rad23p heterodimer binds to promoters of DNA damage response genes to repress their transcription in the absence of DNA damage; RAD4 and RAD51 pathways confer resistance to benzo[a]pyrene dihydrodiol""",Verified ORF
3281,5,504765,0.0608703238803878,0.152733335334261,0.690473226786944,SUT098,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
3282,5,504884,0.0719108608883472,0.152088445372632,0.636631928915385,SUT098,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
3283,5,509836,0.146651029212093,0.15355163473252,0.340200904580667,YER164W,CHD1,SGDID:S000000966,Close to 3'-UTR,Close to 3'-UTR,"""Chromatin remodeler that regulates various aspects of transcription; acts in in conjunction with Isw1b to regulate chromatin structure and maintain chromatin integrity during transcription elongation by RNAP II by preventing trans-histone exchange over coding regions; contains a chromo domain ; a helicase domain and a DNA-binding domain; component of both the SAGA and SLIK complexes""",Verified ORF
3285,5,511350,0.0545249965451937,0.152481566851268,0.720868216685205,YER165W,PAB1,SGDID:S000000967,CDS,CDS,"""Poly(A) binding protein; interacts with the cleavage factor complex CF I ; mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail ; involved in control of poly(A) tail length ; interacts with translation factor eIF-4G; stimulates ; but is not required for the deadenylation activity of the Pan2p-Pan3p poly(A)-ribonuclease complex""",Verified ORF
3286,5,512696,0.0245458737186713,0.153650514399193,0.873168334461401,YER165C-A,YER165C-A,SGDID:S000028762,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps the verified gene DNF1/YER166W""",Dubious ORF
3287,5,512931,0.0554722023355758,0.151525256071484,0.714515639086182,YER165C-A,YER165C-A,SGDID:S000028762,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps the verified gene DNF1/YER166W""",Dubious ORF
3288,5,514582,0.080520865283265,0.151541421881761,0.595513501120221,YER166W,DNF1,SGDID:S000000968,CDS,CDS,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog ; DNF2 ; that arose from the whole genome duplication""",Verified ORF
3289,5,515315,0.0528280776003529,0.151628787781628,0.727744481609285,YER166W,DNF1,SGDID:S000000968,CDS,CDS,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog ; DNF2 ; that arose from the whole genome duplication""",Verified ORF
3290,5,515397,0.0875230280688411,0.151439232917611,0.563672048395538,YER166W,DNF1,SGDID:S000000968,CDS,CDS,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog ; DNF2 ; that arose from the whole genome duplication""",Verified ORF
3291,5,515950,0.104055480971163,0.151409606205013,0.492379666579349,YER166W,DNF1,SGDID:S000000968,CDS,CDS,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog ; DNF2 ; that arose from the whole genome duplication""",Verified ORF
3292,5,516091,0.0852934755199386,0.151250203376547,0.573164589480538,YER166W,DNF1,SGDID:S000000968,CDS,CDS,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog ; DNF2 ; that arose from the whole genome duplication""",Verified ORF
3293,5,518207,0.113003483811229,0.151391435500319,0.455903027156868,YER166W,DNF1,SGDID:S000000968,Close to 3'-UTR,Close to 3'-UTR,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog ; DNF2 ; that arose from the whole genome duplication""",Verified ORF
