SNP,Chr,Pos,Effect,SE,ERV25_ORM2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
2254,4,749708,0.0130887976083335,0.105676943935414,0.901499230340144,YDR146C,SWI5,SGDID:S000002553,CDS,CDS,"""Transcription factor that recruits Mediator and Swi/Snf complexes; activates transcription of genes expressed at the M/G1 phase boundary and in G1 phase; required for expression of the HO gene controlling mating type switching; localization to nucleus occurs during G1 and appears to be regulated by phosphorylation by Cdc28p kinase; SWI5 has a paralog ; ACE2 ; that arose from the whole genome duplication""",Verified ORF
2256,4,755257,0.0157564237520458,0.105810808456176,0.881708666876012,YDR148C,KGD2,SGDID:S000002555,Close to 3'-UTR,Close to 3'-UTR,"""Dihydrolipoyl transsuccinylase; component of the mitochondrial alpha-ketoglutarate dehydrogenase complex ; which catalyzes the oxidative decarboxylation of alpha-ketoglutarate to succinyl-CoA in the TCA cycle; phosphorylated""",Verified ORF
2257,4,756788,0.0652094173851641,0.106102779589818,0.539223252267219,YDR150W,NUM1,SGDID:S000002557,CDS,CDS,"""Protein required for nuclear migration; component of the mitochondria-ER-cortex-anchor (MECA); required for the association of mitochondria with the cell cortex and for accurate distribution of mitochondrial network; interacts with Mdm36p to link the ER and mitochondria at the cortex; localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex""",Verified ORF
2258,4,756811,0.0479323755331579,0.106196351786601,0.652010048265005,YDR150W,NUM1,SGDID:S000002557,CDS,CDS,"""Protein required for nuclear migration; component of the mitochondria-ER-cortex-anchor (MECA); required for the association of mitochondria with the cell cortex and for accurate distribution of mitochondrial network; interacts with Mdm36p to link the ER and mitochondria at the cortex; localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex""",Verified ORF
2263,4,760553,0.0479323755331579,0.106196351786601,0.652010048265005,YDR150W,NUM1,SGDID:S000002557,CDS,CDS,"""Protein required for nuclear migration; component of the mitochondria-ER-cortex-anchor (MECA); required for the association of mitochondria with the cell cortex and for accurate distribution of mitochondrial network; interacts with Mdm36p to link the ER and mitochondria at the cortex; localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex""",Verified ORF
2264,4,760734,0.080869427803527,0.10776348675016,0.453493020964695,YDR150W,NUM1,SGDID:S000002557,CDS,CDS,"""Protein required for nuclear migration; component of the mitochondria-ER-cortex-anchor (MECA); required for the association of mitochondria with the cell cortex and for accurate distribution of mitochondrial network; interacts with Mdm36p to link the ER and mitochondria at the cortex; localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex""",Verified ORF
2265,4,762727,0.0567086416381609,0.106594311529074,0.595057613494976,YDR150W,NUM1,SGDID:S000002557,CDS,CDS,"""Protein required for nuclear migration; component of the mitochondria-ER-cortex-anchor (MECA); required for the association of mitochondria with the cell cortex and for accurate distribution of mitochondrial network; interacts with Mdm36p to link the ER and mitochondria at the cortex; localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex""",Verified ORF
2266,4,764905,0.011178365108932,0.106319987960492,0.916325319128974,YDR151C,CTH1,SGDID:S000002558,CDS,CDS,"""mRNA binding protein ; member of the CCCH zinc finger family; similar to mammalian Tis11 protein ; which activates transcription and also has a role in mRNA degradation; functions with Tis11p in regulation of iron homeostasis; CTH1 has a paralog ; TIS11 ; that arose from the whole genome duplication""",Verified ORF
2267,4,765852,-0.0201728163205919,0.106791672430666,0.850280708273422,YDR152W,GIR2,SGDID:S000002559,CDS,CDS,"""Highly-acidic RWD domain-containing cytoplasmic protein; forms a highly conserved complex with Rbg2p that is responsible for efficient cell growth under amino acid starvation and binds translational activator Gcn1p in dose-dependent manner according to stress level; associates with translating ribosomes; intrinsically unstructured protein whose stability is enhanced upon binding Rbg2p""",Verified ORF
2268,4,767117,-0.0096488356145145,0.106528372030201,0.927881458166838,YDR153C,ENT5,SGDID:S000002560,CDS,CDS,"""Protein containing an N-terminal epsin-like domain; involved in clathrin recruitment and traffic between the Golgi and endosomes; associates with the clathrin adaptor Gga2p ; clathrin adaptor complex AP-1 ; and clathrin""",Verified ORF
2269,4,769065,-0.0154974649544842,0.106044453087144,0.883893331084042,YDR156W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2270,4,769779,-0.09577149952927,0.105599525490653,0.365061872933519,YDR156W,RPA14,SGDID:S000002563,CDS,CDS,"""RNA polymerase I subunit A14""",Verified ORF
2271,4,769848,-0.0136993466453526,0.106206767485599,0.89744099052604,YDR156W,RPA14,SGDID:S000002563,CDS,CDS,"""RNA polymerase I subunit A14""",Verified ORF
2272,4,769943,0.03774770902815,0.107069318371239,0.724633282858356,YDR157W,YDR157W,SGDID:S000002564,CDS,CDS,"""Putative protein of unknown function; conserved across S. cerevisiae strains""",Uncharacterized ORF
2273,4,778367,0.0705070564285007,0.107791174151674,0.513468206258262,YDR160W,SSY1,SGDID:S000002567,CDS,CDS,"""Component of the SPS plasma membrane amino acid sensor system; senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes; other members are Ssy1p ; Ptr3p ; and Ssy5p""",Verified ORF
2274,4,778573,0.0695277857733161,0.106547183604856,0.514468596589703,YDR160W,SSY1,SGDID:S000002567,CDS,CDS,"""Component of the SPS plasma membrane amino acid sensor system; senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes; other members are Ssy1p ; Ptr3p ; and Ssy5p""",Verified ORF
2275,4,781689,0.12348207565444,0.106728960130181,0.248067425427184,YDR163W,CWC15,SGDID:S000002570,CDS,CDS,"""Non-essential protein involved in pre-mRNA splicing; component of a complex containing Cef1p; has similarity to S. pombe Cwf15p""",Verified ORF
2276,4,782125,0.0858997557268831,0.105615250453596,0.416578720668468,YDR164C,SEC1,SGDID:S000002571,CDS,CDS,"""Sm-like protein involved in docking and fusion of exocytic vesicles; binds to assembled SNARE complexes at the membrane and stimulates membrane fusion; localization to sites of secretion (bud neck and bud tip) is dependent on SNARE function; interacts directly with essential exocyst subunit Sec6p""",Verified ORF
2277,4,782960,0.0803832357223363,0.106069911179635,0.449056812768554,YDR164C,SEC1,SGDID:S000002571,CDS,CDS,"""Sm-like protein involved in docking and fusion of exocytic vesicles; binds to assembled SNARE complexes at the membrane and stimulates membrane fusion; localization to sites of secretion (bud neck and bud tip) is dependent on SNARE function; interacts directly with essential exocyst subunit Sec6p""",Verified ORF
2278,4,783543,0.0801903930272717,0.10562297203882,0.448231481825753,YDR164C,SEC1,SGDID:S000002571,CDS,CDS,"""Sm-like protein involved in docking and fusion of exocytic vesicles; binds to assembled SNARE complexes at the membrane and stimulates membrane fusion; localization to sites of secretion (bud neck and bud tip) is dependent on SNARE function; interacts directly with essential exocyst subunit Sec6p""",Verified ORF
2279,4,784282,0.0451975441741037,0.106434388996265,0.671349303604481,YDR164C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2280,4,789241,0.0532237848940594,0.105751177565384,0.615072466455635,YDR167W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2281,4,794376,0.0385779317166643,0.106293360274398,0.716868195724692,YDR169C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2282,4,794951,0.0550663876338766,0.106438223898804,0.605232129392282,CUT071,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
2283,4,795775,0.0168632109559301,0.106918751168611,0.874767725481365,YDR170C,SEC7,SGDID:S000002577,Close to 3'-UTR,Close to 3'-UTR,"""Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors; involved in proliferation of the Golgi ; intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles""",Verified ORF
2284,4,795937,0.0286646081993714,0.1076852327927,0.790249179791523,YDR170C,SEC7,SGDID:S000002577,Close to 3'-UTR,Close to 3'-UTR,"""Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors; involved in proliferation of the Golgi ; intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles""",Verified ORF
2285,4,797067,0.0180862825926162,0.107219871197996,0.866141773087359,YDR170C,SEC7,SGDID:S000002577,CDS,CDS,"""Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors; involved in proliferation of the Golgi ; intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles""",Verified ORF
2286,4,797405,0.0248900998735155,0.108074361961062,0.817987937877039,YDR170C,SEC7,SGDID:S000002577,CDS,CDS,"""Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors; involved in proliferation of the Golgi ; intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles""",Verified ORF
2289,4,802519,0.024870315311191,0.105561409835355,0.813879351356316,YDR170C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2292,4,808113,0.0414907252509939,0.105837009636352,0.695276510071213,YDR172W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2295,4,811690,0.0236489040108976,0.10600493451283,0.823592566761284,YDR173C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2296,4,812053,0.0339478494620903,0.105718694083082,0.748313340516695,YDR174W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2297,4,814423,0.0287978715841508,0.105865661521138,0.785763534586523,YDR176W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2299,4,816707,0.0385695493333186,0.105539805470602,0.714994208321667,YDR177W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2300,4,817314,-0.0052756350978946,0.108194314028006,0.961137544108149,YDR177W,UBC1,SGDID:S000002584,CDS,CDS,"""Ubiquitin-conjugating enzyme; key E2 partner with Ubc4p for the anaphase-promoting complex (APC); mediates selective degradation of short-lived and abnormal proteins; plays a role in vesicle biogenesis and ER-associated protein degradation (ERAD); component of the cellular stress response; protein abundance increases in response to DNA replication stress key E2 partner with Ubc4p for the anaphase-promoting complex (APC)""",Verified ORF
2301,4,817489,0.056242432914386,0.106724231565395,0.598532647349008,YDR177W,UBC1,SGDID:S000002584,CDS,CDS,"""Ubiquitin-conjugating enzyme; key E2 partner with Ubc4p for the anaphase-promoting complex (APC); mediates selective degradation of short-lived and abnormal proteins; plays a role in vesicle biogenesis and ER-associated protein degradation (ERAD); component of the cellular stress response; protein abundance increases in response to DNA replication stress key E2 partner with Ubc4p for the anaphase-promoting complex (APC)""",Verified ORF
2302,4,817645,0.0411972261953558,0.106133512735005,0.698128531999093,YDR178W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2303,4,817729,0.04266414499623,0.105835688056543,0.687106337926407,YDR178W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2305,4,820654,0.082679370291422,0.10621699500852,0.436854338213967,YDR179W-A,NVJ3,SGDID:S000002587,CDS,CDS,"""Protein with a potential role in tethering ER and vacuoles; localizes to nucleus-vacuole junctions in an Mdm1p-dependent manner; contains a lipid-binding PXA domain""",Verified ORF
2306,4,821138,0.0101219269981462,0.106456809720305,0.924305132065644,YDR180W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2307,4,825050,0.030239019299499,0.105844468757097,0.775280867528969,YDR180W,SCC2,SGDID:S000002588,CDS,CDS,"""Subunit of cohesin loading factor (Scc2p-Scc4p); a complex required for loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during DSB repair via histone H2AX; promotes gene expression program that supports translational fidelity; evolutionarily-conserved adherin; relocalizes to cytosol in response to hypoxia; human disorder Cornelia de Lange syndrome is caused by mutations in NIPBL ; the human ortholog of SCC2; conserved role in NHEJ""",Verified ORF
2308,4,825273,0.0307764547272044,0.105844029929115,0.771396644397519,YDR180W,SCC2,SGDID:S000002588,CDS,CDS,"""Subunit of cohesin loading factor (Scc2p-Scc4p); a complex required for loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during DSB repair via histone H2AX; promotes gene expression program that supports translational fidelity; evolutionarily-conserved adherin; relocalizes to cytosol in response to hypoxia; human disorder Cornelia de Lange syndrome is caused by mutations in NIPBL ; the human ortholog of SCC2; conserved role in NHEJ""",Verified ORF
2309,4,826151,0.0157615809040712,0.106029229256402,0.881912198726367,YDR181C,SAS4,SGDID:S000002589,CDS,CDS,"""Subunit of the SAS complex (Sas2p ; Sas4p ; Sas5p); acetylates free histones and nucleosomes and regulates transcriptional silencing; required for the HAT activity of Sas2p""",Verified ORF
2310,4,826324,-0.0008160710700204,0.106020788863787,0.993862872609665,YDR181C,SAS4,SGDID:S000002589,CDS,CDS,"""Subunit of the SAS complex (Sas2p ; Sas4p ; Sas5p); acetylates free histones and nucleosomes and regulates transcriptional silencing; required for the HAT activity of Sas2p""",Verified ORF
2313,4,831973,-0.170628491540945,0.107542681964689,0.113495909713103,SUT061,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
2314,4,832289,-0.182907639369001,0.105119881624942,0.0827321319630187,SUT061,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
2315,4,834790,-0.165265299614982,0.105367614421091,0.11766883580903,YDR186C,SND1,SGDID:S000002594,CDS,CDS,"""Protein involved in SRP-independent targeting of substrates to the ER; component of an alternative ER targeting pathway that has partial functional redundancy with the GET pathway; preference for substrates with downstream transmembrane domains; interacts with Env10p/Snd2p and Pho88p/Snd3p; can compensate for loss of SRP; co-purifies with ribosomes; GFP-fusion protein localizes to the cytoplasm""",Verified ORF
2316,4,835165,-0.19245568553198,0.105393514975945,0.0686846548946154,YDR186C,SND1,SGDID:S000002594,CDS,CDS,"""Protein involved in SRP-independent targeting of substrates to the ER; component of an alternative ER targeting pathway that has partial functional redundancy with the GET pathway; preference for substrates with downstream transmembrane domains; interacts with Env10p/Snd2p and Pho88p/Snd3p; can compensate for loss of SRP; co-purifies with ribosomes; GFP-fusion protein localizes to the cytoplasm""",Verified ORF
2317,4,835337,-0.186669669752404,0.10554580913887,0.0778220826921975,YDR186C,SND1,SGDID:S000002594,CDS,CDS,"""Protein involved in SRP-independent targeting of substrates to the ER; component of an alternative ER targeting pathway that has partial functional redundancy with the GET pathway; preference for substrates with downstream transmembrane domains; interacts with Env10p/Snd2p and Pho88p/Snd3p; can compensate for loss of SRP; co-purifies with ribosomes; GFP-fusion protein localizes to the cytoplasm""",Verified ORF
2318,4,838720,-0.187679313058954,0.106449693626283,0.0787522060569336,YDR189W,SLY1,SGDID:S000002597,CDS,CDS,"""Hydrophilic protein involved in ER/Golgi vesicle trafficking; SM (Sec1/Munc-18) family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex""",Verified ORF
2319,4,839960,-0.216590206974778,0.107594934564874,0.0448718512107047,YDR189W,SLY1,SGDID:S000002597,CDS,CDS,"""Hydrophilic protein involved in ER/Golgi vesicle trafficking; SM (Sec1/Munc-18) family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex""",Verified ORF
2320,4,842152,-0.231331626216463,0.107325226753149,0.0318040108775249,YDR191W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2321,4,842326,-0.227995262755247,0.105774554308902,0.0317995434900262,YDR191W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2322,4,842566,-0.141066849915836,0.106519059582098,0.186248827113803,YDR191W,HST4,SGDID:S000002599,CDS,CDS,"""NAD(+)-dependent protein deacetylase; deacetylation targets are primarily mitochondrial proteins; involved along with Hst3p in silencing at telomeres ; cell cycle progression ; radiation resistance ; genomic stability and short-chain fatty acid metabolism; accumulates in mitochondria in response to biotin starvation and may link biotin metabolism with energy homeostasis; member of the Sir2 family and may be the functional equivalent of human SIRT3""",Verified ORF
2323,4,843045,-0.182046992079293,0.105568680584244,0.0855036051309082,YDR191W,HST4,SGDID:S000002599,CDS,CDS,"""NAD(+)-dependent protein deacetylase; deacetylation targets are primarily mitochondrial proteins; involved along with Hst3p in silencing at telomeres ; cell cycle progression ; radiation resistance ; genomic stability and short-chain fatty acid metabolism; accumulates in mitochondria in response to biotin starvation and may link biotin metabolism with energy homeostasis; member of the Sir2 family and may be the functional equivalent of human SIRT3""",Verified ORF
2324,4,843203,-0.164820739611945,0.107055980612305,0.124559807803643,YDR191W,HST4,SGDID:S000002599,CDS,CDS,"""NAD(+)-dependent protein deacetylase; deacetylation targets are primarily mitochondrial proteins; involved along with Hst3p in silencing at telomeres ; cell cycle progression ; radiation resistance ; genomic stability and short-chain fatty acid metabolism; accumulates in mitochondria in response to biotin starvation and may link biotin metabolism with energy homeostasis; member of the Sir2 family and may be the functional equivalent of human SIRT3""",Verified ORF
2325,4,843659,-0.168989977850656,0.106909056639417,0.114844721307108,YDR192C,NUP42,SGDID:S000002600,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2326,4,843707,-0.177483479652828,0.105284571606241,0.092727591738983,YDR192C,NUP42,SGDID:S000002600,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2327,4,843818,-0.158398002750764,0.106598262721604,0.13818906221922,YDR192C,NUP42,SGDID:S000002600,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2328,4,843920,-0.148285990173684,0.105582179352139,0.161061056842947,YDR192C,NUP42,SGDID:S000002600,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2329,4,843927,-0.136428364083894,0.106525862987825,0.201137593586633,YDR192C,NUP42,SGDID:S000002600,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2330,4,844384,-0.121702533082467,0.106566090634979,0.254212249226748,YDR192C,NUP42,SGDID:S000002600,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2331,4,844958,-0.0616099759533022,0.10647912867303,0.563220780233532,YDR192C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2332,4,845665,-0.048847135271482,0.105973809454627,0.645128433972207,YDR192C,NUP42,SGDID:S000002600,Close to 3'-UTR,Close to 3'-UTR,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2333,4,845722,-0.0795970995473515,0.105624243334758,0.451599342171279,YDR192C,NUP42,SGDID:S000002600,Close to 3'-UTR,Close to 3'-UTR,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2335,4,846867,-0.141018156124067,0.105610383068299,0.182649075877538,YDR194C,MSS116,SGDID:S000002602,CDS,CDS,"""Mitochondrial transcription elongation factor; DEAD-box protein; required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing; promotes RNA folding by stabilizing an early assembly intermediate""",Verified ORF
2336,4,847743,-0.144826601041961,0.105452778478226,0.170506280233722,YDR194C,MSS116,SGDID:S000002602,CDS,CDS,"""Mitochondrial transcription elongation factor; DEAD-box protein; required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing; promotes RNA folding by stabilizing an early assembly intermediate""",Verified ORF
2337,4,847796,-0.0586927827033542,0.106876873855319,0.583241071423657,YDR194C,MSS116,SGDID:S000002602,CDS,CDS,"""Mitochondrial transcription elongation factor; DEAD-box protein; required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing; promotes RNA folding by stabilizing an early assembly intermediate""",Verified ORF
2338,4,847822,-0.0132028305529507,0.105904524963188,0.90085791277277,YDR194C,MSS116,SGDID:S000002602,CDS,CDS,"""Mitochondrial transcription elongation factor; DEAD-box protein; required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing; promotes RNA folding by stabilizing an early assembly intermediate""",Verified ORF
2339,4,848136,-0.0087645564666002,0.10649115084299,0.934452302202059,YDR194W-A,YDR194W-A,SGDID:S000028541,CDS,CDS,"""Putative protein of unknown function; identified by fungal homology and RT-PCR""",Uncharacterized ORF
2340,4,849577,0.0863128975746564,0.106430508823076,0.417924222215821,YDR195W,REF2,SGDID:S000002603,CDS,CDS,"""RNA-binding protein; involved in the cleavage step of mRNA 3'-end formation prior to polyadenylation ; and in snoRNA maturation; part of holo-CPF subcomplex APT ; which associates with 3'-ends of snoRNA- and mRNA-encoding genes; putative regulatory subunit of type 1 protein phosphatase Glc7p ; required for actomyosin ring formation ; and for timely dephosphorylation and release of Bnr1p from the division site; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2341,4,850450,-0.0630769076495364,0.107178569565199,0.556558577861614,YDR196C,CAB5,SGDID:S000002604,CDS,CDS,"""Subunit of the CoA-Synthesizing Protein Complex (CoA-SPC); subunits of this complex are: Cab2p ; Cab3p ; Cab4p ; Cab5p ; Sis2p and Vhs3p; probable dephospho-CoA kinase (DPCK) that catalyzes the last step in coenzyme A biosynthesis; involved in histone acylation; null mutant lethality is complemented by human homolog DCAKD and by E. coli coaE (encoding DPCK); detected in purified mitochondria in high-throughput studies; also localized to lipid droplets""",Verified ORF
2342,4,851053,-0.0400246022976443,0.105835267159321,0.705525452339162,YDR197W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2343,4,851208,0.0117666534379826,0.106459729285285,0.912054406338976,YDR197W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2344,4,851282,0.0328311489918486,0.105852306924584,0.756622336212249,YDR197W,CBS2,SGDID:S000002605,CDS,CDS,"""Mitochondrial translational activator of the COB mRNA; interacts with translating ribosomes ; acts on the COB mRNA 5'-untranslated leader""",Verified ORF
2345,4,851750,0.0161843639968696,0.106162776138544,0.878920243996688,YDR197W,CBS2,SGDID:S000002605,CDS,CDS,"""Mitochondrial translational activator of the COB mRNA; interacts with translating ribosomes ; acts on the COB mRNA 5'-untranslated leader""",Verified ORF
2346,4,852621,0.0534945030369858,0.105838466256833,0.613568525546112,YDR198C,RKM2,SGDID:S000002606,CDS,CDS,"""Ribosomal protein lysine methyltransferase; responsible for trimethylation of the lysine residue at position 3 of Rpl12Ap and Rpl12Bp""",Verified ORF
2347,4,855191,0.0476680328966911,0.105896548698217,0.652887438415129,YDR200C,VPS64,SGDID:S000002608,CDS,CDS,"""Protein required for cytoplasm to vacuole targeting of proteins; forms a complex with Far3p and Far7p to Far11p involved in recovery from pheromone-induced cell cycle arrest; mutant has increased aneuploidy tolerance; VPS64 has a paralog ; FAR10 ; that arose from the whole genome duplication""",Verified ORF
2348,4,855322,0.0604872918058575,0.105841179419014,0.568030482424726,YDR200C,VPS64,SGDID:S000002608,CDS,CDS,"""Protein required for cytoplasm to vacuole targeting of proteins; forms a complex with Far3p and Far7p to Far11p involved in recovery from pheromone-induced cell cycle arrest; mutant has increased aneuploidy tolerance; VPS64 has a paralog ; FAR10 ; that arose from the whole genome duplication""",Verified ORF
2349,4,855709,0.0610299474136252,0.107330770766199,0.569978613742243,YDR200C,VPS64,SGDID:S000002608,CDS,CDS,"""Protein required for cytoplasm to vacuole targeting of proteins; forms a complex with Far3p and Far7p to Far11p involved in recovery from pheromone-induced cell cycle arrest; mutant has increased aneuploidy tolerance; VPS64 has a paralog ; FAR10 ; that arose from the whole genome duplication""",Verified ORF
2350,4,856696,0.0768614367649787,0.105868856410576,0.468316100020165,YDR201W,SPC19,SGDID:S000002609,CDS,CDS,"""Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; also localized to nuclear side of spindle pole body""",Verified ORF
2351,4,857609,0.0695529283206229,0.10610929858231,0.512583251386329,YDR202C,RAV2,SGDID:S000002610,CDS,CDS,"""Subunit of RAVE complex (Rav1p ; Rav2p ; Skp1p); the RAVE complex associates with the V1 domain of the vacuolar membrane (H+)-ATPase (V-ATPase) and promotes assembly and reassembly of the holoenzyme""",Verified ORF
2352,4,857970,-0.0553425652697719,0.170610610538843,0.745842952108146,YDR203W,YDR203W,SGDID:S000002611,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; almost completely overlaps ORF RAV2/YDR202C""",Dubious ORF
2353,4,858371,0.220975547867873,0.105902358093051,0.03764176232735,YDR204W,COQ4,SGDID:S000002612,CDS,CDS,"""Protein with a role in ubiquinone (Coenzyme Q) biosynthesis; possibly functioning in stabilization of Coq7p; located on matrix face of mitochondrial inner membrane; component of a mitochondrial ubiquinone-synthesizing complex; human homolog COQ4 can complement yeast coq4 null mutant""",Verified ORF
2354,4,861346,0.196431595318725,0.105044072746989,0.0623124045444641,YDR205W,MSC2,SGDID:S000002613,CDS,CDS,"""Endoplasmic reticulum zinc transporter; part of a heterodimeric transporter with Zrg17p that transfers zinc from the cytosol to the ER lumen; member of the cation diffusion facilitator family of efflux pumps; localizes to ER and nucleus; mutations affect the cellular distribution of zinc and also confer defects in meiotic recombination between homologous chromatids""",Verified ORF
2355,4,861441,0.196362649173261,0.105943911051294,0.0646508373764349,YDR205W,MSC2,SGDID:S000002613,CDS,CDS,"""Endoplasmic reticulum zinc transporter; part of a heterodimeric transporter with Zrg17p that transfers zinc from the cytosol to the ER lumen; member of the cation diffusion facilitator family of efflux pumps; localizes to ER and nucleus; mutations affect the cellular distribution of zinc and also confer defects in meiotic recombination between homologous chromatids""",Verified ORF
2356,4,861470,0.191655383515757,0.106490193627711,0.0727543981410957,YDR205W,MSC2,SGDID:S000002613,CDS,CDS,"""Endoplasmic reticulum zinc transporter; part of a heterodimeric transporter with Zrg17p that transfers zinc from the cytosol to the ER lumen; member of the cation diffusion facilitator family of efflux pumps; localizes to ER and nucleus; mutations affect the cellular distribution of zinc and also confer defects in meiotic recombination between homologous chromatids""",Verified ORF
2357,4,861549,0.213416253838996,0.105617928223886,0.0440712544474962,YDR206W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2358,4,861716,0.149742417338734,0.106807653649624,0.161799300648148,YDR206W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
