SNP,Chr,Pos,Effect,SE,MID2_MAM33_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
3985,7,64143,0.0957852735911522,0.0546875675718202,0.0807282726323141,SUT110,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
3986,7,65725,0.0898979388957382,0.0549490046853207,0.102725632252263,YGL229C,SAP4,SGDID:S000003198,CDS,CDS,"""Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p ; including Sap155p ; Sap185p ; and Sap190p; SAP4 has a paralog ; SAP155 ; that arose from the whole genome duplication""",Verified ORF
3987,7,66075,0.0714263751999241,0.0548059618869531,0.193335677328753,YGL229C,SAP4,SGDID:S000003198,CDS,CDS,"""Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p ; including Sap155p ; Sap185p ; and Sap190p; SAP4 has a paralog ; SAP155 ; that arose from the whole genome duplication""",Verified ORF
3988,7,66339,0.0608717721131892,0.0548359737032783,0.267724443435799,YGL229C,SAP4,SGDID:S000003198,CDS,CDS,"""Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p ; including Sap155p ; Sap185p ; and Sap190p; SAP4 has a paralog ; SAP155 ; that arose from the whole genome duplication""",Verified ORF
3989,7,66563,0.0568322417833174,0.0547687545702682,0.300131024409305,YGL229C,SAP4,SGDID:S000003198,CDS,CDS,"""Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p ; including Sap155p ; Sap185p ; and Sap190p; SAP4 has a paralog ; SAP155 ; that arose from the whole genome duplication""",Verified ORF
3990,7,66622,0.0651801731880844,0.0548176123654695,0.235224302544151,YGL229C,SAP4,SGDID:S000003198,CDS,CDS,"""Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p ; including Sap155p ; Sap185p ; and Sap190p; SAP4 has a paralog ; SAP155 ; that arose from the whole genome duplication""",Verified ORF
3993,7,68261,0.0654306629896348,0.054821098614423,0.233463104102195,YGL228W,SHE10,SGDID:S000003197,CDS,CDS,"""Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; putative GPI-anchored protein; overexpression causes growth arrest;; SWAT-GFP ; seamless-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; SHE10 has a paralog ; OSW7/YFR039C ; that arose from the whole genome duplication; paralogs are redundant for spore wall dityrosine assembly""",Verified ORF
3994,7,68513,0.07127836554973,0.0548143127699146,0.19432578543499,YGL228W,SHE10,SGDID:S000003197,CDS,CDS,"""Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; putative GPI-anchored protein; overexpression causes growth arrest;; SWAT-GFP ; seamless-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; SHE10 has a paralog ; OSW7/YFR039C ; that arose from the whole genome duplication; paralogs are redundant for spore wall dityrosine assembly""",Verified ORF
3999,7,70413,0.0788926127830286,0.054776948521218,0.150682399349302,YGL227W,VID30,SGDID:S000003196,CDS,CDS,"""Central component of GID Complex ; involved in FBPase degradation; interacts strongly with Gid8p to serve as a scaffold for other GID Complex subunits; contains SPRY domain and 3 domains that are also found in Gid8p - LisH ; CTLH ; and CRA; required for association of Vid vesicles and actin patches in vacuole import and degradation pathway; shifts the balance of nitrogen metabolism toward glutamate production; localizes to the nucleus and the cytoplasm""",Verified ORF
4002,7,74414,0.0574027602240868,0.0549638575788328,0.297027573489059,SUT111_NFR/NDR,,,Promoter,Promoter,,Promoter
4003,7,80505,-0.0050990935207298,0.054924014584091,0.926084091612854,YGL223C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4008,7,83968,-0.0157304150392925,0.0549949681026124,0.775020080957118,YGL219C,MDM34,SGDID:S000003187,CDS,CDS,"""Mitochondrial component of the ERMES complex; links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; required for mitophagy; ERMES complex is often co-localized with peroxisomes and with concentrated areas of pyruvate dehydrogenase""",Verified ORF
4010,7,87147,0.0051589208954702,0.05500065546493,0.925323277300348,YGL216W,KIP3,SGDID:S000003184,CDS,CDS,"""Kinesin-related antiparallel sliding motor protein; involved in mitotic spindle positioning; sliding activity promotes bipolar spindle assembly and maintenance of genome stability; inhibits spindle elongation ; destabilizing late anaphase spindle microtubules that polymerize beyond the midzone""",Verified ORF
4012,7,87833,-0.0093111744376808,0.0549991081140743,0.865660144203495,YGL216W,KIP3,SGDID:S000003184,Close to 3'-UTR,Close to 3'-UTR,"""Kinesin-related antiparallel sliding motor protein; involved in mitotic spindle positioning; sliding activity promotes bipolar spindle assembly and maintenance of genome stability; inhibits spindle elongation ; destabilizing late anaphase spindle microtubules that polymerize beyond the midzone""",Verified ORF
4013,7,87999,-0.0016552644056138,0.0551586136455165,0.976076696093736,YGL215W,CLG1,SGDID:S000003183,CDS,CDS,"""Cyclin-like protein that interacts with Pho85p; has sequence similarity to G1 cyclins PCL1 and PCL2""",Verified ORF
4014,7,88913,-0.030611960453867,0.0550625002922838,0.578597690512348,YGL215W,CLG1,SGDID:S000003183,CDS,CDS,"""Cyclin-like protein that interacts with Pho85p; has sequence similarity to G1 cyclins PCL1 and PCL2""",Verified ORF
4016,7,90591,-0.0357877708902926,0.0551240333283962,0.516616653286179,YGL213C,SKI8,SGDID:S000003181,CDS,CDS,"""Ski complex component and WD-repeat protein; mediates 3'-5' RNA degradation by the cytoplasmic exosome; also required for meiotic double-strand break recombination; null mutants have superkiller phenotype""",Verified ORF
4017,7,92844,-0.0478303015789273,0.0548864344879659,0.384105568588348,YGL211W,NCS6,SGDID:S000003179,CDS,CDS,"""Protein required for uridine thiolation of Gln ; Lys ; and Glu tRNAs; required for the thiolation of uridine at the wobble position of Gln ; Lys ; and Glu tRNAs; has a role in urmylation and in invasive and pseudohyphal growth; inhibits replication of Brome mosaic virus in S. cerevisiae""",Verified ORF
4018,7,98223,-0.0047403523375825,0.0560058821112029,0.932595373534219,YGL208W,SIP2,SGDID:S000003176,CDS,CDS,"""One of three alternate beta subunits of the Snf1 kinase complex; involved in the response to glucose starvation; null mutants exhibit accelerated aging; N-myristoylprotein localized to the cytoplasm and the plasma membrane; SIP2 has a paralog ; GAL83 ; that arose from the whole genome duplication""",Verified ORF
4019,7,101935,-0.0494279192831706,0.0550167626987076,0.369576390434941,YGL207W,SPT16,SGDID:S000003175,CDS,CDS,"""Subunit of the heterodimeric FACT complex (Spt16p-Pob3p); FACT associates with chromatin via interaction with Nhp6Ap and Nhp6Bp ; and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases; specifically required for diauxic shift-induced H2B deposition onto rDNA genes; mutations cause reduced nucleosome occupancy over highly transcribed regions; coregulates transcription with Mot1p through preinitiation complex assembly and nucleosome organization""",Verified ORF
4020,7,102167,-0.0647544200721477,0.0557863375457737,0.246524825493078,YGL207W,SPT16,SGDID:S000003175,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the heterodimeric FACT complex (Spt16p-Pob3p); FACT associates with chromatin via interaction with Nhp6Ap and Nhp6Bp ; and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases; specifically required for diauxic shift-induced H2B deposition onto rDNA genes; mutations cause reduced nucleosome occupancy over highly transcribed regions; coregulates transcription with Mot1p through preinitiation complex assembly and nucleosome organization""",Verified ORF
4022,7,103626,-0.0763883025917776,0.0549599814693157,0.165438287465415,YGL206C,CHC1,SGDID:S000003174,CDS,CDS,"""Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function""",Verified ORF
4023,7,103929,-0.0401635821963473,0.0549858608367944,0.465608987008803,YGL206C,CHC1,SGDID:S000003174,CDS,CDS,"""Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function""",Verified ORF
4024,7,105525,-0.0476782124975841,0.0548790146537252,0.385553557860036,YGL206C,CHC1,SGDID:S000003174,CDS,CDS,"""Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function""",Verified ORF
4025,7,109520,-0.0407632195078546,0.0548844122954851,0.458151029372847,YGL205W,POX1,SGDID:S000003173,CDS,CDS,"""Fatty-acyl coenzyme A oxidase; involved in the fatty acid beta-oxidation pathway; localized to the peroxisomal matrix; component of a light sensing pathway ; converting light into a hydrogen peroxide signal ; modulating nucleo-cytoplasmic shuttling of stress-responsive transcription factor ; Msn2p""",Verified ORF
4026,7,109762,-0.0347474345252783,0.0549754502915883,0.527760946947871,YGL205W,POX1,SGDID:S000003173,CDS,CDS,"""Fatty-acyl coenzyme A oxidase; involved in the fatty acid beta-oxidation pathway; localized to the peroxisomal matrix; component of a light sensing pathway ; converting light into a hydrogen peroxide signal ; modulating nucleo-cytoplasmic shuttling of stress-responsive transcription factor ; Msn2p""",Verified ORF
4028,7,114462,-0.026616822344188,0.055064020400049,0.629125936508498,YGL203C,KEX1,SGDID:S000003171,CDS,CDS,"""Cell death protease essential for hypochlorite-induced apoptosis; involved in the processing of killer toxin and alpha factor precursor; cleaves Lys and Arg residues from the C-terminus of peptides and proteins""",Verified ORF
4032,7,115759,0.0279050144344378,0.0550299730700825,0.612410010420392,YGL202W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4033,7,120910,0.0206551048730487,0.0549344422125458,0.707146079409544,YGL201C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4034,7,121864,0.0032155745185564,0.0549936981923753,0.953405996728654,YGL201C,MCM6,SGDID:S000003169,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; forms a subcomplex with Mcm4p and Mcm7p""",Verified ORF
4035,7,122646,-0.0101954006165719,0.0550612682866055,0.853206233765855,YGL200C,EMP24,SGDID:S000003168,Close to 3'-UTR,Close to 3'-UTR,"""Component of the p24 complex; role in misfolded protein quality control; binds to GPI anchor proteins and mediates their efficient transport from the ER to the Golgi; integral membrane protein that associates with endoplasmic reticulum-derived COPII-coated vesicles""",Verified ORF
4036,7,128719,0.0002683910399994,0.0551494922178341,0.996119771833607,YGL197W,MDS3,SGDID:S000003165,CDS,CDS,"""Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required ; with Pmd1p ; for growth under alkaline conditions; has an N-terminal kelch-like domain; MDS3 has a paralog ; PMD1 ; that arose from the whole genome duplication""",Verified ORF
4037,7,129502,-0.0193523020295531,0.0550177578493121,0.725238281835498,YGL197W,MDS3,SGDID:S000003165,Close to 3'-UTR,Close to 3'-UTR,"""Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required ; with Pmd1p ; for growth under alkaline conditions; has an N-terminal kelch-like domain; MDS3 has a paralog ; PMD1 ; that arose from the whole genome duplication""",Verified ORF
4038,7,129866,-0.0222462845243098,0.0549534667679578,0.685854726738717,YGL197W,MDS3,SGDID:S000003165,Close to 3'-UTR,Close to 3'-UTR,"""Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required ; with Pmd1p ; for growth under alkaline conditions; has an N-terminal kelch-like domain; MDS3 has a paralog ; PMD1 ; that arose from the whole genome duplication""",Verified ORF
4039,7,130581,0.0045551583142482,0.0550038447210003,0.934045365875413,YGL196W,DSD1,SGDID:S000003164,CDS,CDS,"""D-serine dehydratase (aka D-serine ammonia-lyase); converts D-serine to pyruvate and ammonia by a reaction dependent on pyridoxal 5'-phosphate and zinc; may play a role in D-serine detoxification; L-serine is not a substrate""",Verified ORF
4041,7,131475,-0.0355099741323414,0.0549862363457988,0.518830076337864,YGL195W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4042,7,131572,0.0154219545096154,0.0551876315287554,0.780066348011866,YGL195W,GCN1,SGDID:S000003163,CDS,CDS,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
4043,7,133091,0.0119453274682652,0.0559534160797921,0.831070367519874,YGL195W,GCN1,SGDID:S000003163,CDS,CDS,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
4044,7,134263,-0.013778461466566,0.0554726169922667,0.803982429471997,YGL195W,GCN1,SGDID:S000003163,CDS,CDS,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
4045,7,134556,0.0091030505515374,0.055412656972739,0.869606747061235,YGL195W,GCN1,SGDID:S000003163,CDS,CDS,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
4046,7,139381,-0.0030365791144875,0.0558197397592483,0.956647463374118,YGL195W,GCN1,SGDID:S000003163,CDS,CDS,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
4047,7,139844,0.0011545235893727,0.0554067534376805,0.98338726721352,YGL194C-A,YGL194C-A,SGDID:S000087160,CDS,CDS,"""Putative protein of unknown function; identified based on comparisons of the genome sequences of six Saccharomyces species; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum""",Uncharacterized ORF
4050,7,140416,0.0134075041620704,0.0551168955037445,0.807948541886833,YGL194C,HOS2,SGDID:S000003162,CDS,CDS,"""Histone deacetylase and subunit of Set3 and Rpd3L complexes; required for gene activation via specific deacetylation of lysines in H3 and H4 histone tails; subunit of the Set3 complex ; a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity; co-localizes with Cmr1p in nuclear foci in response to DNA damage by MMS""",Verified ORF
4051,7,140907,0.0149790886719078,0.0560641237492427,0.789488298397875,YGL194C,HOS2,SGDID:S000003162,CDS,CDS,"""Histone deacetylase and subunit of Set3 and Rpd3L complexes; required for gene activation via specific deacetylation of lysines in H3 and H4 histone tails; subunit of the Set3 complex ; a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity; co-localizes with Cmr1p in nuclear foci in response to DNA damage by MMS""",Verified ORF
4052,7,142582,0.0192987362384261,0.055040428611457,0.72607630632588,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4053,7,142616,0.0086619393489011,0.0550480817896717,0.875057209709069,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4054,7,142656,0.0013569388015813,0.0552913071086987,0.980434444842801,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4055,7,142710,-0.0174510388107545,0.0551859195450692,0.752020401840808,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4056,7,142737,0.0360541861695649,0.0550828572688455,0.513187244328287,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4057,7,142798,0.0507762604690877,0.0550041226150991,0.356567118653666,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4058,7,142863,0.0472284713104223,0.056217023657909,0.401415476914953,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4059,7,142935,0.0169924691025497,0.0555102228102996,0.759698131610647,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4060,7,144443,0.0318373098605415,0.0554355455547814,0.56612234110899,YGL191W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4061,7,149219,0.0346937077020227,0.0559714170221084,0.53575850292815,YGL189C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4062,7,149745,0.0259809103811289,0.0554112876554807,0.639449152369676,YGL187C,COX4,SGDID:S000003155,CDS,CDS,"""Subunit IV of cytochrome c oxidase; the terminal member of the mitochondrial inner membrane electron transport chain; precursor N-terminal 25 residues are cleaved during mitochondrial import; phosphorylated; spermidine enhances translation""",Verified ORF
4063,7,153512,0.0293052197234168,0.0554501878338865,0.59748701186442,CUT129,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
4064,7,154206,0.0356585797369582,0.0555818543800429,0.521581267940157,CUT129,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
4065,7,154349,0.0212581147238771,0.0554980254862716,0.701918644185809,YGL185C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4067,7,158616,0.0330182003481463,0.0558554999406277,0.554807577147623,YGL181W,GTS1,SGDID:S000003149,CDS,CDS,"""Protein involved in Arf3p regulation and in transcription regulation; localizes to the nucleus and to endocytic patches; contains an N-terminal Zn-finger and ArfGAP homology domain ; a C-terminal glutamine-rich region ; and a UBA (ubiquitin associated) domain; gts1 mutations affect budding ; cell size ; heat tolerance ; sporulation ; life span ; ultradian rhythms ; endocytosis; expression oscillates in a pattern similar to metabolic oscillations""",Verified ORF
4069,7,159442,0.0095119246631436,0.0555572856762391,0.864157282966967,YGL180W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4072,7,164509,-0.0053636642653007,0.0554607035776155,0.92301072751787,YGL179C,TOS3,SGDID:S000003147,CDS,CDS,"""Protein kinase; related to and functionally redundant with Elm1p and Sak1p for the phosphorylation and activation of Snf1p; functionally orthologous to LKB1 ; a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome; TOS3 has a paralog ; SAK1 ; that arose from the whole genome duplication""",Verified ORF
4073,7,166144,0.009104686819249,0.0553068754454099,0.869336330574326,G:165092-167351,,,Intergenic region,Intergenic region,between YGL179C and YGL178W,Intergenic region
4077,7,166833,0.0081345849375336,0.0553073037528747,0.883153030765569,CUT130,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
4078,7,169205,-0.012676409751964,0.0562111364095878,0.821709778410806,YGL178W,MPT5,SGDID:S000003146,Close to 3'-UTR,Close to 3'-UTR,"""mRNA-binding protein of the PUF family; binds to specific mRNAs ; often in the 3' UTR; has broad specificity and binds to more than 1000 mRNAs (16% of the transcriptome); recruits the CCR4-NOT deadenylase complex to mRNAs along with Dhh1p and Dcp1p to promote deadenylation ; decapping ; and decay; also interacts with the Caf20p translational initiation repressor ; affecting its mRNA target specificity""",Verified ORF
4081,7,171892,-0.0198394098500274,0.0562150019865944,0.72435890725047,YGL176C,YGL176C,SGDID:S000003144,CDS,CDS,"""Putative protein of unknown function; deletion mutant is viable and has no detectable phenotype""",Uncharacterized ORF
4083,7,174147,-0.0208784926131305,0.0555064674715212,0.707034897183147,YGL175C,SAE2,SGDID:S000003143,CDS,CDS,"""Endonuclease required for telomere elongation; required for telomeric 5' C-rich strand resection; involved in ds-break repair and processing hairpin DNA structures with the MRX complex; function requires sumoylation and phosphorylation; exists as inactive oligomers that are transiently released into smaller active units by phosphorylation; DNA damage triggers Sae2p removal ; so active Sae2p is present only transiently; sequence and functional similarity with human CtIP/RBBP8""",Verified ORF
4084,7,175201,-0.0733325670739381,0.0554286044314908,0.186688591227445,YGL174W,BUD13,SGDID:S000003142,CDS,CDS,"""Subunit of the RES complex; RES complex is required for nuclear pre-mRNA retention and splicing; involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern due to a specific defect in MATa1 pre-mRNA splicing which leads to haploid gene expression in diploids""",Verified ORF
4085,7,175569,-0.076194640390002,0.0553236807874942,0.169307065821177,YGL173C,XRN1,SGDID:S000003141,CDS,CDS,"""Evolutionarily-conserved 5'-3' exonuclease; component of cytoplasmic processing (P) bodies involved in mRNA decay; enters the nucleus and positively regulates transcription initiation and elongation; involved in microtubule-mediated processes ; filamentous growth ; ribosomal RNA maturation ; telomere maintenance ; and turnover of tRNA introns; negative regulator of autophagy; activated by the scavenger decapping enzyme Dcs1p; expression regulated by Ash1p in rich conditions""",Verified ORF
4086,7,176862,-0.0694776220496982,0.0553487268428251,0.210210921482324,YGL173C,XRN1,SGDID:S000003141,CDS,CDS,"""Evolutionarily-conserved 5'-3' exonuclease; component of cytoplasmic processing (P) bodies involved in mRNA decay; enters the nucleus and positively regulates transcription initiation and elongation; involved in microtubule-mediated processes ; filamentous growth ; ribosomal RNA maturation ; telomere maintenance ; and turnover of tRNA introns; negative regulator of autophagy; activated by the scavenger decapping enzyme Dcs1p; expression regulated by Ash1p in rich conditions""",Verified ORF
4087,7,178295,0.000693520406785,0.0557723882558894,0.990085718020612,YGL173C,XRN1,SGDID:S000003141,CDS,CDS,"""Evolutionarily-conserved 5'-3' exonuclease; component of cytoplasmic processing (P) bodies involved in mRNA decay; enters the nucleus and positively regulates transcription initiation and elongation; involved in microtubule-mediated processes ; filamentous growth ; ribosomal RNA maturation ; telomere maintenance ; and turnover of tRNA introns; negative regulator of autophagy; activated by the scavenger decapping enzyme Dcs1p; expression regulated by Ash1p in rich conditions""",Verified ORF
4088,7,181053,0.020441208106188,0.0556036053266651,0.713374087784311,YGL172W,NUP49,SGDID:S000003140,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier; found in stable complex with Nic96p and two other FG-nucleoproteins (Nsp1p and Nup57p)""",Verified ORF
4089,7,181165,0.0256408170134346,0.0559769910975608,0.647191220673161,YGL172W,NUP49,SGDID:S000003140,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier; found in stable complex with Nic96p and two other FG-nucleoproteins (Nsp1p and Nup57p)""",Verified ORF
4090,7,183625,0.0338598753769725,0.0564618259531271,0.549094241534802,YGL171W,ROK1,SGDID:S000003139,CDS,CDS,"""RNA-dependent ATPase; involved in pre-rRNA processing at sites A0 ; A1 ; and A2 ; and in control of cell cycle progression; contains two upstream open reading frames (uORFs) in 5' untranslated region which regulate translation""",Verified ORF
4091,7,191252,0.0805108519314109,0.0554183387594043,0.147172172813225,YGL166W,CUP2,SGDID:S000003134,CDS,CDS,"""Copper-binding transcription factor; activates transcription of the metallothionein genes CUP1-1 and CUP1-2 in response to elevated copper concentrations; required for regulation of copper genes in response to DNA-damaging reagents; CUP2 has a paralog ; HAA1 ; that arose from the whole genome duplication""",Verified ORF
4092,7,191676,0.0846086446768321,0.0551674777413766,0.126006858453587,YGL166W,CUP2,SGDID:S000003134,CDS,CDS,"""Copper-binding transcription factor; activates transcription of the metallothionein genes CUP1-1 and CUP1-2 in response to elevated copper concentrations; required for regulation of copper genes in response to DNA-damaging reagents; CUP2 has a paralog ; HAA1 ; that arose from the whole genome duplication""",Verified ORF
4093,7,192137,0.088186074601896,0.0549832378779871,0.109636576639563,YGL164C,YRB30,SGDID:S000003132,CDS,CDS,"""RanGTP-binding protein; inhibits RanGAP1 (Rna1p)-mediated GTP hydrolysis of RanGTP (Gsp1p); shares similarity to proteins in other fungi but not in higher eukaryotes""",Verified ORF
4094,7,192700,0.053598967265322,0.0558431218457393,0.337806167845772,YGL164C,YRB30,SGDID:S000003132,CDS,CDS,"""RanGTP-binding protein; inhibits RanGAP1 (Rna1p)-mediated GTP hydrolysis of RanGTP (Gsp1p); shares similarity to proteins in other fungi but not in higher eukaryotes""",Verified ORF
4095,7,196064,0.0104453994395182,0.0551817274477536,0.849973607834121,YGL163C,RAD54,SGDID:S000003131,CDS,CDS,"""DNA-dependent ATPase that stimulates strand exchange; modifies the topology of double-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; member of the SWI/SNF family of DNA translocases; forms nuclear foci upon DNA replication stress""",Verified ORF
4096,7,197274,0.0045945915413639,0.0553836348717394,0.933930866918006,YGL163C,RAD54,SGDID:S000003131,Close to 3'-UTR,Close to 3'-UTR,"""DNA-dependent ATPase that stimulates strand exchange; modifies the topology of double-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; member of the SWI/SNF family of DNA translocases; forms nuclear foci upon DNA replication stress""",Verified ORF
4097,7,199802,0.0032698684980122,0.0553414109225222,0.952917534262894,YGL161C,YIP5,SGDID:S000003129,CDS,CDS,"""Protein that interacts with Rab GTPases; localized to late Golgi vesicles; computational analysis of large-scale protein-protein interaction data suggests a possible role in vesicle-mediated transport""",Verified ORF
4098,7,201855,-0.002677198261464,0.0549417956357948,0.961163699887042,YGL160W,AIM14,SGDID:S000003128,CDS,CDS,"""NADPH oxidase localized to the perinuclear ER; produces superoxide from NADPH; overexpression causes MCA1 dependent apoptosis; likely involved in superoxide-mediated regulation of the actin cytoskeleton; member of a conserved superfamily of NADPH oxidases (NOX enzymes); has similarity to iron/copper reductases (FRE1-8) ; particularly Fre8p""",Verified ORF
4099,7,202039,0.0295318984293721,0.0550571935725386,0.592029776153287,YGL160W,AIM14,SGDID:S000003128,CDS,CDS,"""NADPH oxidase localized to the perinuclear ER; produces superoxide from NADPH; overexpression causes MCA1 dependent apoptosis; likely involved in superoxide-mediated regulation of the actin cytoskeleton; member of a conserved superfamily of NADPH oxidases (NOX enzymes); has similarity to iron/copper reductases (FRE1-8) ; particularly Fre8p""",Verified ORF
4100,7,202122,0.0331408133869562,0.0548238540811567,0.545902103883213,YGL160W,AIM14,SGDID:S000003128,CDS,CDS,"""NADPH oxidase localized to the perinuclear ER; produces superoxide from NADPH; overexpression causes MCA1 dependent apoptosis; likely involved in superoxide-mediated regulation of the actin cytoskeleton; member of a conserved superfamily of NADPH oxidases (NOX enzymes); has similarity to iron/copper reductases (FRE1-8) ; particularly Fre8p""",Verified ORF
4101,7,202957,0.0328871124993078,0.0560102907447722,0.557470283171961,YGL159W,YGL159W,SGDID:S000003127,CDS,CDS,"""Putative protein of unknown function; deletion mutant has no detectable phenotype""",Uncharacterized ORF
