SNP,Chr,Pos,Effect,SE,ERV25_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
1271,4,6,0.120807907005826,0.204565858119729,0.55519481769705,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1272,4,6,0.205746319434141,0.14343035827983,0.152323924472994,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1273,4,7,0.159263762431223,0.14228425340625,0.263758252621532,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1274,4,7,0.208036321841778,0.134976267027704,0.124144397826019,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1278,4,8,0.228641743610069,0.134881810334767,0.0909332461927214,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1279,4,8,0.115825262837976,0.116016057943411,0.318790888839611,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1280,4,8,-0.0164706664809238,0.110424422607397,0.881514276507938,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1281,4,8,-0.0007227482363383,0.106989635859267,0.994613898831491,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1282,4,9,-0.0429741694486907,0.103064367835883,0.676957915716857,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1283,4,9,-0.0129714781748138,0.095372704031534,0.891892257030489,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1284,4,9,-0.0187468776631547,0.0960200075933055,0.84531795235556,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1285,4,10,-0.0240285811903096,0.0841651862325282,0.775433821479715,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1286,4,13,-0.0473155611066334,0.0793481751021535,0.551354960517651,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1287,4,20,-0.0631306076748137,0.0757319734754831,0.405066888906879,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1288,4,23,-0.0827794928722438,0.0765609815589237,0.280336031840992,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1289,4,26,-0.0813069185600286,0.0752594875007087,0.280721948931423,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1290,4,30,-0.0783027749759997,0.0756646532808732,0.301439927744409,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1291,4,30,-0.0882358544877615,0.0725592654460517,0.224777589423909,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1292,4,31,-0.0936135333802959,0.0730898235615645,0.201104355833322,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1293,4,32,-0.0673223148830298,0.0723539953139564,0.352770147819569,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1294,4,33,-0.0727913832642582,0.0717391074409208,0.310959020414008,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1295,4,34,-0.0641370394820262,0.0712181054968293,0.368429845642363,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1297,4,36,-0.0740196526470074,0.0725834953937816,0.308528225337267,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1299,4,43,-0.0974100278555365,0.0730774056506769,0.183401134221387,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1301,4,44,-0.0725134036762265,0.07258780241396,0.318491058661093,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1302,4,55,-0.0568818593942755,0.0715076722065023,0.426877540838592,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1304,4,57,-0.0529998932908136,0.07234666002063,0.464299283465875,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1305,4,58,-0.0465973606286054,0.0720885045968562,0.518446189693348,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1306,4,60,-0.031006871401603,0.0695153312267836,0.655839187216044,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1307,4,73,-0.0019528462589057,0.0687324881849739,0.977349391048024,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1309,4,80,-0.0047425052409284,0.0669689747891838,0.943583939474798,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1310,4,81,-0.0151112524173507,0.0675442487141952,0.823101686216423,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1311,4,81,-0.0316836952514703,0.0659194882173067,0.631068478903513,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1312,4,82,-0.023425608844343,0.0659596698883674,0.7226889591889,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1313,4,85,-0.0332874784250747,0.0657356727673319,0.61290337617602,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1314,4,86,-0.0332874784250747,0.0657356727673319,0.61290337617602,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1316,4,112,-0.0400194799174702,0.0659370579915854,0.544284500264214,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1317,4,118,-0.0344413439952169,0.0656826359112105,0.600357304295159,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1318,4,135,-0.0326516635994705,0.0657880475253658,0.619980346349142,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1319,4,148,-0.0632583270334601,0.066225522908726,0.340132460440758,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1321,4,155,-0.050970380778447,0.065619177765262,0.437820304447151,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1322,4,165,-0.0812364848146747,0.0650423093210456,0.212500325126137,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1323,4,211,-0.0370192097157209,0.0636616650660138,0.561275159722204,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1324,4,275,-0.0461005827030996,0.0627616972659045,0.463111166962001,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1325,4,306,-0.0332309373637811,0.0634879329727078,0.601009514026099,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1326,4,314,-0.0721501832853053,0.0637658574341802,0.258618617051048,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1328,4,423,-0.0465553133244352,0.0632106097281647,0.461908909547912,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1330,4,486,-0.0675315850442908,0.0627650555763501,0.282687821492498,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1331,4,501,-0.0576343551360918,0.0629319634559978,0.360386472185189,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1332,4,573,-0.0764588520004355,0.0627950903509807,0.224192025413237,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1333,4,593,-0.0760335730400239,0.0626214448781966,0.225491461758781,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1334,4,624,-0.0669195945472896,0.0628134943885558,0.287436807709168,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1335,4,633,-0.0671312139913236,0.0633470474011542,0.289988801857578,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1336,4,650,-0.0667750684567017,0.0629464742789821,0.289495601115197,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1337,4,684,-0.10048016589541,0.0622067438279829,0.107147442937584,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1338,4,697,-0.0995751087097475,0.0620919553178925,0.109680763836873,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1339,4,704,-0.0734496353084046,0.0623207955222313,0.239361898653515,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1340,4,771,-0.0714237470762233,0.0622016710839134,0.251638399614718,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1341,4,835,0.0071693896133899,0.0623875693283619,0.908576282199346,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1342,4,851,0.0336220592827395,0.0620370976060338,0.588183176474261,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1345,4,935,-0.0082492048780957,0.0621105724068203,0.894415504848161,ARS400,ARS400,SGDID:S000121226,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
1346,4,959,-0.0099403391069657,0.0622918665169802,0.873305691595878,ARS400,ARS400,SGDID:S000121226,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
1347,4,975,-0.0260751532234242,0.0620265313856361,0.674458480880903,ARS400,ARS400,SGDID:S000121226,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
1348,4,999,-0.0137013251522952,0.062317987128429,0.826106119965465,ARS400,ARS400,SGDID:S000121226,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
1349,4,1046,-0.0249260176631249,0.0618829885486795,0.687344536875806,ARS400,ARS400,SGDID:S000121226,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
1350,4,1309,-0.0284532960603517,0.061983413099421,0.646482989491441,ARS400,ARS400,SGDID:S000121226,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
1351,4,1418,-0.0341872561116671,0.0625146598569811,0.584815065256299,X4L_NFR/NDR,,,Promoter,Promoter,,Promoter
1352,4,1685,-0.0387226404132216,0.0622564931175759,0.534352867592937,YDL248W_NFR/NDR,,,Promoter,Promoter,,Promoter
1353,4,1834,-0.0418665102095218,0.0621414916947692,0.500924668511979,YDL248W,COS7,SGDID:S000002407,CDS,CDS,"""Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved ; often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Verified ORF
1358,4,2947,-0.0528740761213663,0.0619399937616089,0.393886769158722,YDL248W,COS7,SGDID:S000002407,CDS,CDS,"""Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved ; often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Verified ORF
1359,4,3400,-0.0670498232265627,0.0625111265669713,0.284180550062961,YDL248W,COS7,SGDID:S000002407,Close to 3'-UTR,Close to 3'-UTR,"""Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved ; often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Verified ORF
1360,4,3501,-0.0609984500157537,0.0630492686051243,0.333970118645585,YDL248W,COS7,SGDID:S000002407,Close to 3'-UTR,Close to 3'-UTR,"""Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved ; often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Verified ORF
1361,4,3576,-0.0175578772242259,0.0632427907474196,0.781461578247462,YDL248W,COS7,SGDID:S000002407,Close to 3'-UTR,Close to 3'-UTR,"""Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved ; often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Verified ORF
1362,4,4193,-0.0168191664556897,0.0629624219868501,0.789524883556097,YDL247W-A,YDL247W-A,SGDID:S000007602,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; identified by sequence comparison with hemiascomycetous yeast species""",Dubious ORF
1363,4,4217,-0.0395117170354935,0.0623184838630928,0.526472620410033,YDL247W-A,YDL247W-A,SGDID:S000007602,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; identified by sequence comparison with hemiascomycetous yeast species""",Dubious ORF
1364,4,4354,-0.0336504258996166,0.0625088771452318,0.590688272987832,YDL247W-A,YDL247W-A,SGDID:S000007602,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; identified by sequence comparison with hemiascomycetous yeast species""",Dubious ORF
1366,4,5164,-0.0361717961306822,0.0623242289379915,0.562028033978755,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1367,4,5243,-0.0338191619021073,0.0629155705307879,0.591238554166437,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1368,4,5360,-0.0367439212162091,0.0623444539773546,0.555990414158966,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1369,4,5373,-0.0398391065193858,0.0626117188984817,0.525000849393597,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1372,4,5583,-0.0331093055317213,0.0617301783122744,0.592050880129332,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1379,4,6085,-0.0636269646739077,0.0622684842800847,0.307567511448682,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1380,4,6124,-0.0451076505007253,0.0620612238710297,0.467814858770505,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1381,4,6371,-0.0366061980539716,0.0619045223361751,0.554675668556431,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1382,4,6383,-0.0412502597199638,0.0621047120931197,0.506992729225532,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1383,4,6424,-0.0411567292771614,0.0618919809598791,0.506499553860649,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1384,4,6509,-0.0583806413929016,0.062707496528186,0.352490139002503,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1385,4,6795,-0.0020004335437696,0.0630560123084945,0.974709520546806,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1386,4,6930,-0.0479943491415517,0.0630340706558527,0.446924574820989,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1387,4,6965,-0.0441589536743571,0.06226333116745,0.478650599620635,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1388,4,7094,-0.0567348385600225,0.062621380936568,0.365554953276806,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1389,4,7383,-0.0302560389483167,0.0621540816263381,0.62670865374883,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1391,4,7893,-0.0172907053666852,0.0620878891592087,0.78080116517867,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1392,4,8452,-0.0130972270020697,0.0619046167538053,0.832563764135944,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1393,4,8550,-0.009371750794642,0.062515783187221,0.88092111446688,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1396,4,8644,-0.0256495345790398,0.0624511426129839,0.681531734675614,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1397,4,9487,-0.0042575843293,0.0618598785107367,0.945166881835233,YDL246C,SOR2,SGDID:S000002405,CDS,CDS,"""Sorbitol dehydrogenase; protein sequence is 99% identical to the Sor1p sorbitol dehydrogenase""",Verified ORF
