SNP,Chr,Pos,Effect,SE,SNA4_GTR2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
233,2,60471,0.061702666096996,0.0969759063285212,0.525014086370525,YBL087C,RPL23A,SGDID:S000000183,Close to 3'-UTR,Close to 3'-UTR,"""Ribosomal 60S subunit protein L23A; homologous to mammalian ribosomal protein L23 and bacterial L14; RPL23A has a paralog ; RPL23B ; that arose from the whole genome duplication""",Verified ORF
234,2,60478,0.0684064398255474,0.0970739685058006,0.481471777927406,YBL087C,RPL23A,SGDID:S000000183,Close to 3'-UTR,Close to 3'-UTR,"""Ribosomal 60S subunit protein L23A; homologous to mammalian ribosomal protein L23 and bacterial L14; RPL23A has a paralog ; RPL23B ; that arose from the whole genome duplication""",Verified ORF
235,2,60786,0.0532697208244963,0.0969410424312168,0.583005451515512,YBL087C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
236,2,61035,0.068703113696249,0.0969065341136142,0.478815602793065,YBL087C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
237,2,61071,0.0619572734049178,0.0964792412172137,0.52117156225509,YBL087C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
238,2,61675,0.0441858997010396,0.0967849310277308,0.648284663112556,YBL086C,YBL086C,SGDID:S000000182,CDS,CDS,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery""",Uncharacterized ORF
240,2,62939,0.0073940521202453,0.0966453523906213,0.939059037182297,YBL086C,YBL086C,SGDID:S000000182,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery""",Uncharacterized ORF
241,2,63527,0.0226994253332726,0.0970014086980087,0.815111867118312,YBL086C,YBL086C,SGDID:S000000182,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery""",Uncharacterized ORF
242,2,63857,0.002489474072949,0.0970314081861619,0.97954591846766,YBL085W,BOI1,SGDID:S000000181,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in polar growth ; functionally redundant with Boi2p; required for fusion of secretory vesicles with plasma membrane at sites of polarized growth; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; relocalizes from bud neck to cytoplasm upon DNA replication stress; BOI1 has a paralog ; BOI2 ; that arose from the whole genome duplication""",Verified ORF
243,2,65527,-0.0013076445785855,0.0967115754852762,0.989219709179342,YBL085W,BOI1,SGDID:S000000181,CDS,CDS,"""Protein involved in polar growth ; functionally redundant with Boi2p; required for fusion of secretory vesicles with plasma membrane at sites of polarized growth; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; relocalizes from bud neck to cytoplasm upon DNA replication stress; BOI1 has a paralog ; BOI2 ; that arose from the whole genome duplication""",Verified ORF
247,2,67976,0.0293619599636467,0.098092128822118,0.764864089457692,YBL084C,CDC27,SGDID:S000000180,CDS,CDS,"""Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors ; including mitotic cyclins ; during the metaphase/anaphase transition""",Verified ORF
250,2,72389,0.0916895739174189,0.0973773708255219,0.347046427029435,YBL081W,YBL081W,SGDID:S000000177,CDS,CDS,"""Non-essential protein of unknown function; null mutation results in a decrease in plasma membrane electron transport""",Uncharacterized ORF
251,2,72392,0.0319923620134354,0.0981477847609637,0.744646916061032,YBL081W,YBL081W,SGDID:S000000177,CDS,CDS,"""Non-essential protein of unknown function; null mutation results in a decrease in plasma membrane electron transport""",Uncharacterized ORF
252,2,73646,0.0638096705059145,0.096090031549182,0.507084582802434,YBL080C,PET112,SGDID:S000000176,CDS,CDS,"""Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog""",Verified ORF
253,2,74564,0.0573664753243156,0.0959126526067552,0.550148975462213,YBL080C,PET112,SGDID:S000000176,CDS,CDS,"""Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog""",Verified ORF
254,2,74739,0.0399059198781334,0.0962533358496855,0.678692004599775,YBL080C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
257,2,80873,-0.0068623266259679,0.0965057748359495,0.943352118871201,YBL078C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
258,2,81501,0.0117791708735167,0.0964883503579267,0.902906169834678,YBL076C,ILS1,SGDID:S000000172,CDS,CDS,"""Cytoplasmic isoleucine-tRNA synthetase; target of the G1-specific inhibitor reveromycin A""",Verified ORF
259,2,83526,0.067922461703145,0.0962728518948652,0.480951738555338,YBL076C,ILS1,SGDID:S000000172,CDS,CDS,"""Cytoplasmic isoleucine-tRNA synthetase; target of the G1-specific inhibitor reveromycin A""",Verified ORF
260,2,83845,0.0329451622611883,0.0964163202734615,0.732782291150927,YBL076C,ILS1,SGDID:S000000172,CDS,CDS,"""Cytoplasmic isoleucine-tRNA synthetase; target of the G1-specific inhibitor reveromycin A""",Verified ORF
263,2,84447,0.0485390334480866,0.0976292924872697,0.61937379222713,YBL076C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
264,2,87391,0.0615298216970171,0.0959505770313873,0.521766142420002,YBL074C,AAR2,SGDID:S000000170,CDS,CDS,"""Component of the U5 snRNP complex; required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron""",Verified ORF
265,2,87562,0.0542747925468314,0.0962060446163763,0.573009227859202,YBL074C,AAR2,SGDID:S000000170,CDS,CDS,"""Component of the U5 snRNP complex; required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron""",Verified ORF
266,2,87849,0.0465866811393162,0.0962083418646242,0.628525029400664,YBL073W,YBL073W,SGDID:S000000169,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the essential gene AAR2/YBL074C""",Dubious ORF
267,2,87878,0.0396945250064088,0.0966307529207285,0.681478970508595,YBL073W,YBL073W,SGDID:S000000169,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the essential gene AAR2/YBL074C""",Dubious ORF
269,2,89785,0.0567317209391764,0.0966174471639605,0.557458962261564,YBL071W-A_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
272,2,93721,0.04524700170622,0.0963426259526544,0.638897386943606,YBL067C,UBP13,SGDID:S000000163,CDS,CDS,"""Ubiquitin-specific protease that cleaves Ub-protein fusions; UBP13 has a paralog ; UBP9 ; that arose from the whole genome duplication""",Verified ORF
273,2,93952,0.068914104202004,0.0960270319447362,0.473445804160544,YBL067C,UBP13,SGDID:S000000163,CDS,CDS,"""Ubiquitin-specific protease that cleaves Ub-protein fusions; UBP13 has a paralog ; UBP9 ; that arose from the whole genome duplication""",Verified ORF
274,2,95085,0.0619123673000046,0.0961747393540901,0.520156390829979,YBL067C,UBP13,SGDID:S000000163,CDS,CDS,"""Ubiquitin-specific protease that cleaves Ub-protein fusions; UBP13 has a paralog ; UBP9 ; that arose from the whole genome duplication""",Verified ORF
276,2,107124,-0.0338841982196816,0.0962621561015387,0.725048930648928,YBL061C,SKT5,SGDID:S000000157,CDS,CDS,"""Activator of Chs3p (chitin synthase III) during vegetative growth; recruits Chs3p to the bud neck via interaction with Bni4p; SKT5 has a paralog ; SHC1 ; that arose from the whole genome duplication""",Verified ORF
277,2,111645,-0.0670512029040665,0.096274582043935,0.486600384466678,YBL058W,SHP1,SGDID:S000000154,CDS,CDS,"""UBX domain-containing substrate adaptor for Cdc48p; ubiquitin regulatory X domain-containing protein that acts as a substrate recruiting cofactor for Cdc48p; positively regulates Glc7p PPase activity to promote growth and mitotic progression in complex with Cdc48p; ubiquitinated protein interactor involved in ER-associated degradation (ERAD); regulated by nuclear Ub-dependent degradation (INMAD pathway) independent of the Asi and Doa10 complexes; homolog of human p47 (NSFL1C)""",Verified ORF
278,2,111916,-0.0478195387752558,0.0965342458688662,0.620651795712218,YBL058W,SHP1,SGDID:S000000154,CDS,CDS,"""UBX domain-containing substrate adaptor for Cdc48p; ubiquitin regulatory X domain-containing protein that acts as a substrate recruiting cofactor for Cdc48p; positively regulates Glc7p PPase activity to promote growth and mitotic progression in complex with Cdc48p; ubiquitinated protein interactor involved in ER-associated degradation (ERAD); regulated by nuclear Ub-dependent degradation (INMAD pathway) independent of the Asi and Doa10 complexes; homolog of human p47 (NSFL1C)""",Verified ORF
279,2,111931,-0.0613619205789804,0.0966602948789455,0.525956830937343,YBL058W,SHP1,SGDID:S000000154,CDS,CDS,"""UBX domain-containing substrate adaptor for Cdc48p; ubiquitin regulatory X domain-containing protein that acts as a substrate recruiting cofactor for Cdc48p; positively regulates Glc7p PPase activity to promote growth and mitotic progression in complex with Cdc48p; ubiquitinated protein interactor involved in ER-associated degradation (ERAD); regulated by nuclear Ub-dependent degradation (INMAD pathway) independent of the Asi and Doa10 complexes; homolog of human p47 (NSFL1C)""",Verified ORF
280,2,111999,-0.0606212121734022,0.0963141151201291,0.529486817837794,YBL058W,SHP1,SGDID:S000000154,CDS,CDS,"""UBX domain-containing substrate adaptor for Cdc48p; ubiquitin regulatory X domain-containing protein that acts as a substrate recruiting cofactor for Cdc48p; positively regulates Glc7p PPase activity to promote growth and mitotic progression in complex with Cdc48p; ubiquitinated protein interactor involved in ER-associated degradation (ERAD); regulated by nuclear Ub-dependent degradation (INMAD pathway) independent of the Asi and Doa10 complexes; homolog of human p47 (NSFL1C)""",Verified ORF
281,2,114528,-0.0710931480448993,0.0968488123496452,0.463397512363944,YBL056W,PTC3,SGDID:S000000152,CDS,CDS,"""Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p (see also Ptc2p) to limit maximal kinase activity induced by osmotic stress; dephosphorylates T169 phosphorylated Cdc28p (see also Ptc2p); role in DNA damage checkpoint inactivation; PTC3 has a paralog ; PTC2 ; that arose from the whole genome duplication""",Verified ORF
282,2,116024,-0.082504064423146,0.097053869206305,0.395853878571509,YBL055C,YBL055C,SGDID:S000000151,CDS,CDS,"""3'-->5' exonuclease and endonuclease with a possible role in apoptosis; has similarity to mammalian and C. elegans apoptotic nucleases""",Verified ORF
286,2,120090,-0.0706484077735213,0.0966963737347987,0.46549527257481,YBL052C,SAS3,SGDID:S000000148,CDS,CDS,"""Histone acetyltransferase catalytic subunit of NuA3 complex; acetylates histone H3 ; involved in transcriptional silencing; homolog of the mammalian MOZ proto-oncogene; mutant has aneuploidy tolerance; sas3gcn5 double mutation is lethal""",Verified ORF
287,2,120291,-0.0630763216772014,0.0978184919224652,0.519456037613979,YBL052C,SAS3,SGDID:S000000148,CDS,CDS,"""Histone acetyltransferase catalytic subunit of NuA3 complex; acetylates histone H3 ; involved in transcriptional silencing; homolog of the mammalian MOZ proto-oncogene; mutant has aneuploidy tolerance; sas3gcn5 double mutation is lethal""",Verified ORF
288,2,120726,-0.0419372190751212,0.097284990789583,0.666676269499695,YBL052C,SAS3,SGDID:S000000148,CDS,CDS,"""Histone acetyltransferase catalytic subunit of NuA3 complex; acetylates histone H3 ; involved in transcriptional silencing; homolog of the mammalian MOZ proto-oncogene; mutant has aneuploidy tolerance; sas3gcn5 double mutation is lethal""",Verified ORF
289,2,121716,-0.0802850359268742,0.0971061014390836,0.408922290858394,YBL052C,SAS3,SGDID:S000000148,CDS,CDS,"""Histone acetyltransferase catalytic subunit of NuA3 complex; acetylates histone H3 ; involved in transcriptional silencing; homolog of the mammalian MOZ proto-oncogene; mutant has aneuploidy tolerance; sas3gcn5 double mutation is lethal""",Verified ORF
290,2,123100,-0.182594598251921,0.0968477583966807,0.0601999015203667,YBL051C,PIN4,SGDID:S000000147,CDS,CDS,"""Protein involved in G2/M phase progression and response to DNA damage; interacts with Rad53p; contains an RNA recognition motif ; a nuclear localization signal ; and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage""",Verified ORF
291,2,124677,-0.270300801758714,0.0961294891600255,0.0052010918639156,YBL051C,PIN4,SGDID:S000000147,CDS,CDS,"""Protein involved in G2/M phase progression and response to DNA damage; interacts with Rad53p; contains an RNA recognition motif ; a nuclear localization signal ; and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage""",Verified ORF
293,2,127887,-0.278721969388244,0.0967356110702122,0.0042028160257167,YBL049W,MOH1,SGDID:S000000145,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function ; essential for stationary phase survival; not required for growth on nonfermentable carbon sources; possibly linked with vacuolar transport""",Verified ORF
294,2,128935,-0.271879913809308,0.0966972107443589,0.0052039095720723,YBL047C,EDE1,SGDID:S000000143,CDS,CDS,"""Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15""",Verified ORF
295,2,129053,-0.273933288372433,0.0969817710471263,0.0050031156874107,YBL047C,EDE1,SGDID:S000000143,CDS,CDS,"""Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15""",Verified ORF
296,2,130040,-0.241752056897607,0.09782761578273,0.0139372661499199,YBL047C,EDE1,SGDID:S000000143,CDS,CDS,"""Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15""",Verified ORF
297,2,130976,-0.296585744840532,0.0965850126016513,0.0023009982567163,YBL047C,EDE1,SGDID:S000000143,CDS,CDS,"""Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15""",Verified ORF
298,2,132199,-0.275831567083566,0.0972178396467259,0.00481314795678,YBL046W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
299,2,133355,-0.287599071274535,0.0977944388272556,0.0034889864592023,YBL046W,PSY4,SGDID:S000000142,CDS,CDS,"""Regulatory subunit of protein phosphatase PP4; presence of Psy4p in the PP4 complex (along with catalytic subunit Pph3p and Psy2p) is required for dephosphorylation of the histone variant H2AX ; but not for dephosphorylation of Rad53p ; during recovery from the DNA damage checkpoint; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; required for cisplatin resistance; homolog of mammalian R2""",Verified ORF
300,2,133435,-0.306690056527571,0.0978468371836139,0.0018664153951662,YBL046W,PSY4,SGDID:S000000142,CDS,CDS,"""Regulatory subunit of protein phosphatase PP4; presence of Psy4p in the PP4 complex (along with catalytic subunit Pph3p and Psy2p) is required for dephosphorylation of the histone variant H2AX ; but not for dephosphorylation of Rad53p ; during recovery from the DNA damage checkpoint; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; required for cisplatin resistance; homolog of mammalian R2""",Verified ORF
302,2,135183,-0.262815341970226,0.098263377213006,0.0078299272805483,YBL045C,COR1,SGDID:S000000141,CDS,CDS,"""Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain""",Verified ORF
303,2,135402,-0.263220620100516,0.0982451592632143,0.0077248384449393,YBL045C,COR1,SGDID:S000000141,CDS,CDS,"""Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain""",Verified ORF
304,2,135898,-0.273260046598985,0.0986994931611749,0.0059267818341505,YBL044W_NFR/NDR,,,Promoter,Promoter,,Promoter
305,2,135912,-0.267560802765854,0.0988181695911766,0.007106721174557,YBL044W_NFR/NDR,,,Promoter,Promoter,,Promoter
306,2,135925,-0.274929080936633,0.0983036340844604,0.0054449540797809,YBL044W_NFR/NDR,,,Promoter,Promoter,,Promoter
307,2,136002,-0.272314207536939,0.0982490821074942,0.0058724584880464,YBL044W,YBL044W,SGDID:S000000140,CDS,CDS,"""Putative protein of unknown function; YBL044W is not an essential protein""",Uncharacterized ORF
308,2,136173,-0.229623528966644,0.0992654841336417,0.0212843737123411,YBL044W,YBL044W,SGDID:S000000140,CDS,CDS,"""Putative protein of unknown function; YBL044W is not an essential protein""",Uncharacterized ORF
310,2,138318,-0.19397211942089,0.10213501577632,0.0583566857669908,YBL043W,ECM13,SGDID:S000000139,Close to 3'-UTR,Close to 3'-UTR,"""Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; ECM13 has a paralog ; YJR115W ; that arose from the whole genome duplication""",Verified ORF
311,2,138695,-0.189851121720977,0.10038875846727,0.059421635697456,YBL042C,FUI1,SGDID:S000000138,CDS,CDS,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
312,2,138818,-0.211027851934072,0.100082720069305,0.035688955083619,YBL042C,FUI1,SGDID:S000000138,CDS,CDS,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
313,2,139728,-0.236194196328,0.0997413293809863,0.018419523002153,YBL042C,FUI1,SGDID:S000000138,CDS,CDS,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
314,2,140174,-0.258995623940932,0.0995808558521465,0.0096901133232306,YBL042C,FUI1,SGDID:S000000138,CDS,CDS,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
315,2,140863,-0.268907568849375,0.0994653187227534,0.0071926560772159,YBL041W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
316,2,141152,-0.272846243136192,0.099720990240246,0.0065315331650993,YBL042C,FUI1,SGDID:S000000138,Close to 3'-UTR,Close to 3'-UTR,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
317,2,141292,-0.268367068251415,0.0990234008315752,0.0070538419507069,YBL041W,PRE7,SGDID:S000000137,CDS,CDS,"""Beta 6 subunit of the 20S proteasome""",Verified ORF
318,2,141545,-0.274289605406704,0.0994700273575507,0.0061272483979968,YBL041W,PRE7,SGDID:S000000137,CDS,CDS,"""Beta 6 subunit of the 20S proteasome""",Verified ORF
322,2,146723,-0.176147311820384,0.0999154155594641,0.0787717303041665,YBL038W,MRPL16,SGDID:S000000134,CDS,CDS,"""Mitochondrial ribosomal protein of the large subunit; homologous to bacterial L16 ribosomal protein; synthetic lethality with hac1 mutation suggests a possible role in synthesis of precursors for protein glycosylation""",Verified ORF
323,2,147946,-0.253102833111914,0.100373623285264,0.0121215245586052,YBL037W,APL3,SGDID:S000000133,CDS,CDS,"""Alpha-adaptin; large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport""",Verified ORF
326,2,151397,-0.243821013073712,0.10069397240597,0.0159640607583394,YBL036C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
327,2,153035,-0.192417179268953,0.0998979618370529,0.0548899882752944,XUT_2F-43,,,Unstable transcript,XUT,ncRNA_TFO,Unstable transcript
328,2,153228,-0.14679465960656,0.100852131330771,0.146407599721666,YBL035C,POL12,SGDID:S000000131,CDS,CDS,"""B subunit of DNA polymerase alpha-primase complex; required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation""",Verified ORF
329,2,153455,-0.207025381246452,0.101320399082798,0.0417673860424196,YBL035C,POL12,SGDID:S000000131,CDS,CDS,"""B subunit of DNA polymerase alpha-primase complex; required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation""",Verified ORF
331,2,153815,-0.188845304375877,0.101028010495066,0.062417649072079,YBL035C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
332,2,154160,-0.166793939162937,0.100069987556538,0.0964465395192655,YBL034C,STU1,SGDID:S000000130,CDS,CDS,"""Microtubule plus-end-tracking non-motor protein; binds to MTs ; stabilizing interpolar MT plus ends ; facilitating polymerization of spindle MTs and producing an outward force on spindle poles; required for structural integrity of the mitotic spindle; binds detached kinetochores (KTs) and promotes capture; relocalizes to MTs and stabilizes the spindle once captured KTs reach a spindle pole; localizes to the spindle ; spindles poles ; and detached KTs; CLASP family member homologous to human CLASP1/2""",Verified ORF
333,2,154235,-0.163902257288139,0.101090487081935,0.10583713135298,YBL034C,STU1,SGDID:S000000130,CDS,CDS,"""Microtubule plus-end-tracking non-motor protein; binds to MTs ; stabilizing interpolar MT plus ends ; facilitating polymerization of spindle MTs and producing an outward force on spindle poles; required for structural integrity of the mitotic spindle; binds detached kinetochores (KTs) and promotes capture; relocalizes to MTs and stabilizes the spindle once captured KTs reach a spindle pole; localizes to the spindle ; spindles poles ; and detached KTs; CLASP family member homologous to human CLASP1/2""",Verified ORF
335,2,159870,-0.206439109274606,0.0982912469756842,0.0364133368485428,YBL032W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
336,2,161229,-0.17606068077268,0.0999833808944682,0.0791212371938673,YBL032W,HEK2,SGDID:S000000128,CDS,CDS,"""RNA binding protein involved in asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA ; an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K""",Verified ORF
339,2,162696,-0.156611457466183,0.0996414051893454,0.116904211905013,YBL031W,SHE1,SGDID:S000000127,CDS,CDS,"""Mitotic spindle protein; interacts with components of the Dam1 (DASH) complex ; its effector Sli15p ; and microtubule-associated protein Bim1p; also localizes to nuclear microtubules and to the bud neck in a ring-shaped structure; inhibits dynein function""",Verified ORF
340,2,163284,-0.121614253577847,0.0984519052633193,0.217553164869893,YBL030C,PET9,SGDID:S000000126,CDS,CDS,"""Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog ; AAC3 ; that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant""",Verified ORF
341,2,164166,-0.15208427265193,0.0992510196269656,0.126339296824736,YBL030C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
342,2,165270,-0.152110083646202,0.0984106617326055,0.123081081082293,YBL029C-A_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
343,2,165675,-0.178275526974819,0.0999254891998653,0.0752687652210345,YBL029C-A,YBL029C-A,SGDID:S000007591,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; protein abundance increases in response to DNA replication stress; has potential orthologs in Saccharomyces species and in Yarrowia lipolytica""",Verified ORF
346,2,168062,-0.0810077476291949,0.0993795498883135,0.415544664784237,YBL027W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
347,2,168518,-0.117020661020141,0.098707167131356,0.236603978247638,YBL028C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
348,2,168980,-0.11416898474543,0.0986695839789598,0.248020468929257,YBL027W,RPL19B,SGDID:S000000123,Close to 3'-UTR,Close to 3'-UTR,"""Ribosomal 60S subunit protein L19B; rpl19a and rpl19b single null mutations result in slow growth ; while the double null mutation is lethal; homologous to mammalian ribosomal protein L19 ; no bacterial homolog; RPL19B has a paralog ; RPL19A ; that arose from the whole genome duplication""",Verified ORF
349,2,169651,-0.0760186781818045,0.0988206806658179,0.442254095392728,YBL027W,RPL19B,SGDID:S000000123,Close to 3'-UTR,Close to 3'-UTR,"""Ribosomal 60S subunit protein L19B; rpl19a and rpl19b single null mutations result in slow growth ; while the double null mutation is lethal; homologous to mammalian ribosomal protein L19 ; no bacterial homolog; RPL19B has a paralog ; RPL19A ; that arose from the whole genome duplication""",Verified ORF
352,2,170725,-0.0638282929649755,0.0990212715595609,0.519610447747942,YBL026W,LSM2,SGDID:S000000122,Close to 3'-UTR,Close to 3'-UTR,"""Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA ; snoRNA ; and rRNA; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress""",Verified ORF
353,2,171254,-0.0963553630497772,0.0991072669970037,0.331600327796525,YBL025W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
354,2,172242,-0.0582161455982393,0.0980178227289076,0.552936477965981,YBL024W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
355,2,173254,-0.0811348283927057,0.0972194439311781,0.40453356456749,YBL024W,NCL1,SGDID:S000000120,CDS,CDS,"""S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide ; causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120""",Verified ORF
356,2,173340,-0.080611470557392,0.0972088888739397,0.407517532005284,YBL024W,NCL1,SGDID:S000000120,CDS,CDS,"""S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide ; causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120""",Verified ORF
357,2,173385,-0.0819578449327567,0.0972954015007423,0.400156302029214,YBL024W,NCL1,SGDID:S000000120,CDS,CDS,"""S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide ; causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120""",Verified ORF
