SNP,Chr,Pos,Effect,SE,ADE17_PGM2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
2582,4,1234689,-0.0815540528250821,0.073921708481287,0.270670569594696,YDR380W,ARO10,SGDID:S000002788,CDS,CDS,"""Phenylpyruvate decarboxylase; catalyzes decarboxylation of phenylpyruvate to phenylacetaldehyde ; which is the first specific step in the Ehrlich pathway; involved in protein N-terminal Met and Ala catabolism""",Verified ORF
2583,4,1235338,-0.0397432015146394,0.0741254417083922,0.592184688994622,YDR380W,ARO10,SGDID:S000002788,CDS,CDS,"""Phenylpyruvate decarboxylase; catalyzes decarboxylation of phenylpyruvate to phenylacetaldehyde ; which is the first specific step in the Ehrlich pathway; involved in protein N-terminal Met and Ala catabolism""",Verified ORF
2584,4,1235719,-0.0499303967881403,0.0740013383356598,0.500293496262989,YDR380W,ARO10,SGDID:S000002788,CDS,CDS,"""Phenylpyruvate decarboxylase; catalyzes decarboxylation of phenylpyruvate to phenylacetaldehyde ; which is the first specific step in the Ehrlich pathway; involved in protein N-terminal Met and Ala catabolism""",Verified ORF
2586,4,1242195,-0.0897001700670923,0.074001771145722,0.226271209566826,YDR384C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2587,4,1242241,-0.0779465044350992,0.0741543582713289,0.293914002939,YDR384C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2588,4,1242383,-0.0719730755902615,0.0743688354071489,0.33381412799976,YDR384C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2589,4,1246177,-0.057222699996471,0.0738842485759456,0.439158805239421,YDR386W,MUS81,SGDID:S000002794,CDS,CDS,"""Subunit of structure-specific Mms4p-Mus81p endonuclease; cleaves branched DNA; involved in DNA repair ; replication fork stability ; and joint molecule formation/resolution during meiotic recombination; promotes template switching during break-induced replication (BIR) ; causing non-reciprocal translocations (NRTs); helix-hairpin-helix protein; phosphorylation of non-catalytic subunit Mms4p by Cdc28p and Cdcp during mitotic cell cycle activates function of Mms4p-Mus81p""",Verified ORF
2590,4,1248530,-0.0630180019841321,0.0741803832697943,0.396165658254652,YDR387C,CIN10,SGDID:S000002795,CDS,CDS,"""Putative transporter; member of the sugar porter family; non-essential gene; overexpression results in elevated colony sectoring ; an indicator of chromosomal instability""",Uncharacterized ORF
2591,4,1248695,-0.0822587323829298,0.0740639123295088,0.267477020395474,YDR387C,CIN10,SGDID:S000002795,CDS,CDS,"""Putative transporter; member of the sugar porter family; non-essential gene; overexpression results in elevated colony sectoring ; an indicator of chromosomal instability""",Uncharacterized ORF
2592,4,1257382,-0.0827148992809625,0.0743443261444158,0.266640811271398,YDR391C,YDR391C,SGDID:S000002799,CDS,CDS,"""Putative protein of unknown function; possibly involved in zinc homeostasis; Bdf1p-dependent transcription induced by salt stress; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus""",Uncharacterized ORF
2593,4,1257441,-0.0059627762901446,0.0745936619752209,0.936332843984332,YDR391C,YDR391C,SGDID:S000002799,CDS,CDS,"""Putative protein of unknown function; possibly involved in zinc homeostasis; Bdf1p-dependent transcription induced by salt stress; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus""",Uncharacterized ORF
2594,4,1259337,-0.0377940526027704,0.0752763161679339,0.61593062434479,YDR392W,SPT3,SGDID:S000002800,CDS,CDS,"""Subunit of the SAGA and SAGA-like transcriptional regulatory complexes; interacts with Spt15p to activate transcription of some RNA polymerase II-dependent genes ; also functions to inhibit transcription at some promoters; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2595,4,1261236,-0.0111072110689021,0.0741673503338375,0.881040467190429,YDR393W,SHE9,SGDID:S000002801,CDS,CDS,"""Protein required for normal mitochondrial morphology; localized to mitochondrial inner membrane; may be involved in fission of the inner membrane; forms a homo-oligomeric complex""",Verified ORF
2596,4,1261386,-0.0088175173889452,0.0743704542331436,0.905689729742748,YDR394W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2597,4,1261899,-0.0083619434778981,0.0741495879386803,0.910275995764863,YDR394W,RPT3,SGDID:S000002802,CDS,CDS,"""ATPase of the 19S regulatory particle of the 26S proteasome; one of ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; substrate of N-acetyltransferase B""",Verified ORF
2599,4,1266919,-0.047822468967636,0.074509692576667,0.521400879661121,YDR397C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2600,4,1267444,-0.0509283611643005,0.074600720917669,0.4952573246835,YDR398W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2601,4,1268273,-0.0466074471840067,0.0744927875404876,0.531939716438338,YDR398W,UTP5,SGDID:S000002806,CDS,CDS,"""Subunit of U3-containing Small Subunit (SSU) processome complex; involved in production of 18S rRNA and assembly of small ribosomal subunit""",Verified ORF
2602,4,1268325,-0.0225566980502953,0.0744815381680203,0.762182929259292,YDR398W,UTP5,SGDID:S000002806,CDS,CDS,"""Subunit of U3-containing Small Subunit (SSU) processome complex; involved in production of 18S rRNA and assembly of small ribosomal subunit""",Verified ORF
2603,4,1272320,-0.010312363202064,0.0748444751503204,0.890489772358007,YDR401W,YDR401W,SGDID:S000002809,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
2604,4,1276141,-0.0027535703059851,0.074436996503705,0.970512327365276,YDR403W,DIT1,SGDID:S000002811,CDS,CDS,"""Sporulation-specific enzyme required for spore wall maturation; involved in the production of a soluble LL-dityrosine-containing precursor of the spore wall; transcripts accumulate at the time of prospore enclosure""",Verified ORF
2606,4,1278618,-0.0123155321524776,0.0746674365516605,0.869086828948233,YDR406W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2607,4,1278772,-0.0185030599161624,0.0744966043256681,0.803989058215053,YDR406W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2608,4,1278850,0.0073261214331058,0.0743046962674681,0.921515269484205,YDR406W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2609,4,1279912,-0.0184963681466819,0.074219611753356,0.803342257587765,YDR406W,PDR15,SGDID:S000002814,CDS,CDS,"""Plasma membrane ATP binding cassette (ABC) transporter; multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p ; Pdr3p and Pdr8p; promoter contains a PDR responsive element; PDR15 has a paralog ; PDR5 ; that arose from the whole genome duplication""",Verified ORF
2611,4,1285240,-0.0222178521278977,0.0739899744418459,0.764138877066002,YDR407C,TRS120,SGDID:S000002815,CDS,CDS,"""Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating intra-Golgi and endosome-Golgi traffic""",Verified ORF
2612,4,1287974,-0.0208966622694742,0.0743719083636404,0.778894030779008,YDR407C,TRS120,SGDID:S000002815,Close to 3'-UTR,Close to 3'-UTR,"""Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating intra-Golgi and endosome-Golgi traffic""",Verified ORF
2613,4,1291435,0.0175296902435739,0.0740478385912781,0.812999955824761,YDR409W,SIZ1,SGDID:S000002817,CDS,CDS,"""SUMO E3 ligase; promotes attachment of small ubiquitin-related modifier sumo (Smt3p) to primarily cytoplasmic proteins; regulates Rsp5p ubiquitin ligase activity and is in turn itself regulated by Rsp5p; required for sumoylation of septins and histone H3 variant Cse4p ; a prerequisite for STUbL-mediated Ub-dependent degradation; localizes to the septin ring; acts as an adapter between E2 ; Ubc9p and substrates; tends to compensate for survival of DNA damage in absence of Nfi1p""",Verified ORF
2614,4,1292515,0.058195237089569,0.0741050020966506,0.432799867028746,YDR410C,STE14,SGDID:S000002818,CDS,CDS,"""Farnesyl cysteine-carboxyl methyltransferase; mediates the carboxyl methylation step during C-terminal CAAX motif processing of a-factor and RAS proteins in the endoplasmic reticulum ; localizes to the ER membrane""",Verified ORF
2615,4,1296513,0.0403266562265296,0.0741210266771013,0.586740214763862,YDR414C,ERD1,SGDID:S000002822,CDS,CDS,"""Predicted membrane protein required for lumenal ER protein retention; recycles inorganic phosphate byproduct of glycosylation from ER and Golgi; mutants secrete the endogenous ER protein ; BiP (Kar2p)""",Verified ORF
2616,4,1311626,0.0424717098402167,0.0741270270056683,0.567037574710466,YDR420W,HKR1,SGDID:S000002828,CDS,CDS,"""Mucin family member that functions as an osmosensor in the HOG pathway; large ; highly glycosylated protein that functions redundantly with Msb2p in Sho1p-mediated osmostresss induction of the HOG signaling pathway; cytoplasmic domain interacts with Ahk1p a scaffold protein that prevents cross talk with the Kss1p MAPK of the filamentous growth pathway; mutant displays defects in beta-1,3 glucan synthesis and bud site selection""",Verified ORF
2617,4,1317259,0.0882291346587076,0.0739327994154448,0.233526182295065,YDR422C,SIP1,SGDID:S000002830,CDS,CDS,"""One of three alternate beta-subunits of the Snf1p kinase complex; may confer substrate specificity; vacuolar protein containing KIS (Kinase-Interacting Sequence) and ASC (Association with Snf1 kinase Complex) domains involved in protein interactions""",Verified ORF
2618,4,1318331,0.0483885790201151,0.0739394256841717,0.513257472689121,YDR423C,CAD1,SGDID:S000002831,CDS,CDS,"""AP-1-like basic leucine zipper (bZIP) transcriptional activator; involved in stress responses ; iron metabolism ; and pleiotropic drug resistance; controls a set of genes involved in stabilizing proteins; binds consensus sequence TTACTAA; CAD1 has a paralog ; YAP1 ; that arose from the whole genome duplication""",Verified ORF
2619,4,1318792,-0.0552066379482635,0.0752809177804893,0.463836762597928,YDR423C,CAD1,SGDID:S000002831,CDS,CDS,"""AP-1-like basic leucine zipper (bZIP) transcriptional activator; involved in stress responses ; iron metabolism ; and pleiotropic drug resistance; controls a set of genes involved in stabilizing proteins; binds consensus sequence TTACTAA; CAD1 has a paralog ; YAP1 ; that arose from the whole genome duplication""",Verified ORF
2620,4,1321563,-0.078376257379743,0.0740223269419231,0.290406128903994,YDR425W,SNX41,SGDID:S000002833,CDS,CDS,"""Sorting nexin; involved in the retrieval of late-Golgi SNAREs from the post-Golgi endosome to the trans-Golgi network; interacts with Snx4p""",Verified ORF
2621,4,1323799,-0.0474824831236454,0.0748346189287136,0.526166273343365,YDR428C,BNA7,SGDID:S000002836,CDS,CDS,"""Formylkynurenine formamidase; involved in the de novo biosynthesis of NAD from tryptophan via kynurenine""",Verified ORF
2622,4,1333470,-0.0717344240265513,0.073952300392624,0.332705978337218,YDR435C,PPM1,SGDID:S000002843,CDS,CDS,"""Carboxyl methyltransferase; methylates the C terminus of the protein phosphatase 2A catalytic subunit (Pph21p or Pph22p) ; which is important for complex formation with regulatory subunits; required for methionine to inhibit autophagy and promote growth""",Verified ORF
2623,4,1333527,-0.0731539623239987,0.0745273675734595,0.326983099322999,YDR435C,PPM1,SGDID:S000002843,CDS,CDS,"""Carboxyl methyltransferase; methylates the C terminus of the protein phosphatase 2A catalytic subunit (Pph21p or Pph22p) ; which is important for complex formation with regulatory subunits; required for methionine to inhibit autophagy and promote growth""",Verified ORF
2624,4,1335357,-0.0986700805404463,0.0743936757157582,0.18559003345989,YDR436W,PPZ2,SGDID:S000002844,CDS,CDS,"""Serine/threonine protein phosphatase Z ; isoform of Ppz1p; involved in regulation of potassium transport ; which affects osmotic stability ; cell cycle progression ; and halotolerance""",Verified ORF
2625,4,1335426,-0.120074636972316,0.0743506538383706,0.107208972970118,YDR436W,PPZ2,SGDID:S000002844,CDS,CDS,"""Serine/threonine protein phosphatase Z ; isoform of Ppz1p; involved in regulation of potassium transport ; which affects osmotic stability ; cell cycle progression ; and halotolerance""",Verified ORF
2626,4,1335638,-0.0814524967151612,0.0747105545540976,0.276350724764818,YDR436W,PPZ2,SGDID:S000002844,CDS,CDS,"""Serine/threonine protein phosphatase Z ; isoform of Ppz1p; involved in regulation of potassium transport ; which affects osmotic stability ; cell cycle progression ; and halotolerance""",Verified ORF
2628,4,1337514,-0.100028482010224,0.0742417425732608,0.17873661453967,YDR437W,GPI19,SGDID:S000002845,CDS,CDS,"""Subunit of GPI-GlcNAc transferase involved in synthesis of GlcNAc-PI; N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI) is the first intermediate in glycosylphosphatidylinositol (GPI) anchor synthesis; shares similarity with mammalian PIG-P""",Verified ORF
2629,4,1338262,-0.118392634199043,0.0760121321939196,0.120236211560527,YDR437W,GPI19,SGDID:S000002845,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of GPI-GlcNAc transferase involved in synthesis of GlcNAc-PI; N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI) is the first intermediate in glycosylphosphatidylinositol (GPI) anchor synthesis; shares similarity with mammalian PIG-P""",Verified ORF
2630,4,1338321,-0.087648335328453,0.0743485709040067,0.239238391825119,YDR438W,THI74,SGDID:S000002846,CDS,CDS,"""Mitochondrial transporter repressible by thiamine; THI74 has a paralog ; YML018C ; that arose from the whole genome duplication; shows sequence homology to human gene SLC35F3 ; a thiamine transporter implicated in hypertension""",Verified ORF
2632,4,1342134,-0.0946146604582921,0.0745039132026463,0.204946489142343,YDR440W,DOT1,SGDID:S000002848,Close to 3'-UTR,Close to 3'-UTR,"""Nucleosomal histone H3-Lys79 methylase; methylation is required for telomeric silencing ; meiotic checkpoint control ; and DNA damage response; single DOT1 gene produces two Dot1p isoforms from alternative translation start sites as a result of leaky scanning by the ribosome""",Verified ORF
2633,4,1342485,-0.0582760743353014,0.0743475511827265,0.433663643944142,YDR440W,DOT1,SGDID:S000002848,Close to 3'-UTR,Close to 3'-UTR,"""Nucleosomal histone H3-Lys79 methylase; methylation is required for telomeric silencing ; meiotic checkpoint control ; and DNA damage response; single DOT1 gene produces two Dot1p isoforms from alternative translation start sites as a result of leaky scanning by the ribosome""",Verified ORF
2634,4,1345539,-0.0721507433761135,0.074740657695698,0.335031411326552,YDR441C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2635,4,1345654,-0.0718340863080708,0.0747832338826298,0.337428888979426,YDR442W,YDR442W,SGDID:S000002850,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
2638,4,1352461,-0.079925119918003,0.0743708394770901,0.283250438264516,YDR445C,YDR445C,SGDID:S000002853,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
2640,4,1353994,-0.066677772678968,0.0742439853286464,0.369749768392827,YDR446W,ECM11,SGDID:S000002854,CDS,CDS,"""Meiosis-specific protein; component of the Synaptonemal Complex (SC) along with Gmc2p; required for efficient crossover formation and for the efficient loading of the SC transverse filament protein ; Zip1p; is SUMOlytaed in a Gmc2p manner ; and SUMOylation is required for its function in meiosis; GFP fusion protein is present in discrete clusters in the nucleus throughout mitosis; may be involved in maintaining chromatin structure""",Verified ORF
2641,4,1354278,-0.066677772678968,0.0742439853286464,0.369749768392827,YDR446W,ECM11,SGDID:S000002854,CDS,CDS,"""Meiosis-specific protein; component of the Synaptonemal Complex (SC) along with Gmc2p; required for efficient crossover formation and for the efficient loading of the SC transverse filament protein ; Zip1p; is SUMOlytaed in a Gmc2p manner ; and SUMOylation is required for its function in meiosis; GFP fusion protein is present in discrete clusters in the nucleus throughout mitosis; may be involved in maintaining chromatin structure""",Verified ORF
2642,4,1354322,-0.074986769770177,0.074567174051836,0.315283816144075,YDR446W,ECM11,SGDID:S000002854,CDS,CDS,"""Meiosis-specific protein; component of the Synaptonemal Complex (SC) along with Gmc2p; required for efficient crossover formation and for the efficient loading of the SC transverse filament protein ; Zip1p; is SUMOlytaed in a Gmc2p manner ; and SUMOylation is required for its function in meiosis; GFP fusion protein is present in discrete clusters in the nucleus throughout mitosis; may be involved in maintaining chromatin structure""",Verified ORF
2645,4,1357789,-0.0829287792744506,0.0746624882677672,0.267446834153905,YDR449C,UTP6,SGDID:S000002857,CDS,CDS,"""Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA""",Verified ORF
2646,4,1358780,-0.0861054245975228,0.074748400780925,0.250126650886298,YDR449C,UTP6,SGDID:S000002857,CDS,CDS,"""Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA""",Verified ORF
2647,4,1359163,-0.0912818124524042,0.0746813803906466,0.222415973353488,YDR450W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2648,4,1363156,-0.0745321336088821,0.0744367939406287,0.317376926102086,YDR452W,PPN1,SGDID:S000002860,CDS,CDS,"""Dual endo- and exopolyphosphatase with a role in phosphate metabolism; acts as both an endopolyphosphatase cleaving long chains of polyphosphate distributively to generate shorter polymer chains and as an exopolyphosphatase catalyzing the hydrolysis of terminal phosphate from polyphosphate; localizes to the vacuole ; nucleus and cytosol; functions as a homodimer; relocalizes from vacuole to cytoplasm upon DNA replication stress""",Verified ORF
2649,4,1365131,-0.0831258230517912,0.0742805779100674,0.263867411818051,YDR453C,TSA2,SGDID:S000002861,CDS,CDS,"""Stress inducible cytoplasmic thioredoxin peroxidase; cooperates with Tsa1p in the removal of reactive oxygen ; nitrogen and sulfur species using thioredoxin as hydrogen donor; deletion enhances the mutator phenotype of tsa1 mutants; protein abundance increases in response to DNA replication stress; TSA2 has a paralog ; TSA1 ; that arose from the whole genome duplication""",Verified ORF
2650,4,1367398,-0.078616443659081,0.0742624343385213,0.290492159396966,CUT097,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
2651,4,1372531,-0.0987928915199677,0.0746748670208746,0.186700437218344,YDR457W,TOM1,SGDID:S000002865,CDS,CDS,"""E3 ubiquitin ligase of the hect-domain class; has a role in mRNA export from the nucleus and may regulate transcriptional coactivators; involved in degradation of excess histones; interacts with Dia2p and is required for Dia2p degradation; required to target Cdc6p for ubiquitin-mediated destruction during G1 phase""",Verified ORF
2652,4,1375354,-0.112151273010159,0.0743826992941535,0.132510328392091,YDR457W,TOM1,SGDID:S000002865,CDS,CDS,"""E3 ubiquitin ligase of the hect-domain class; has a role in mRNA export from the nucleus and may regulate transcriptional coactivators; involved in degradation of excess histones; interacts with Dia2p and is required for Dia2p degradation; required to target Cdc6p for ubiquitin-mediated destruction during G1 phase""",Verified ORF
2653,4,1379287,-0.0794364709358241,0.074366960560564,0.286174274997756,YDR457W,TOM1,SGDID:S000002865,CDS,CDS,"""E3 ubiquitin ligase of the hect-domain class; has a role in mRNA export from the nucleus and may regulate transcriptional coactivators; involved in degradation of excess histones; interacts with Dia2p and is required for Dia2p degradation; required to target Cdc6p for ubiquitin-mediated destruction during G1 phase""",Verified ORF
2654,4,1381192,-0.125498301538463,0.0756006074542024,0.0977990285436772,YDR458C,HEH2,SGDID:S000002866,CDS,CDS,"""Inner nuclear membrane (INM) protein; contains helix-extension-helix (HEH) motif ; nuclear localization signal sequence; targeting to the INM requires the Srp1p-Kap95p karyopherins and the Ran cycle; HEH2 has a paralog ; SRC1 ; that arose from the whole genome duplication""",Verified ORF
2655,4,1381394,-0.0860657139003125,0.0763704141363566,0.260528677904728,YDR458C,HEH2,SGDID:S000002866,CDS,CDS,"""Inner nuclear membrane (INM) protein; contains helix-extension-helix (HEH) motif ; nuclear localization signal sequence; targeting to the INM requires the Srp1p-Kap95p karyopherins and the Ran cycle; HEH2 has a paralog ; SRC1 ; that arose from the whole genome duplication""",Verified ORF
2656,4,1383768,-0.0826473940009469,0.0762638888754547,0.279236200220424,YDR459C,PFA5,SGDID:S000002867,Close to 3'-UTR,Close to 3'-UTR,"""Palmitoyltransferase with autoacylation activity; likely functions in pathway(s) outside Ras; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain""",Verified ORF
2657,4,1385147,-0.0843807349485617,0.0759131921154729,0.267091406135901,YDR461W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2659,4,1389763,-0.105881073382819,0.0753615214323765,0.16090801077059,YDR464W,SPP41,SGDID:S000002872,CDS,CDS,"""Protein of unknown function; involved in negative regulation of expression of spliceosome components PRP4 and PRP3; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2660,4,1391816,-0.085018942453776,0.0762160481283209,0.265395359362989,YDR464W,SPP41,SGDID:S000002872,CDS,CDS,"""Protein of unknown function; involved in negative regulation of expression of spliceosome components PRP4 and PRP3; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2661,4,1392181,-0.0821973043589295,0.0758440198644948,0.27920744870941,YDR464W,SPP41,SGDID:S000002872,CDS,CDS,"""Protein of unknown function; involved in negative regulation of expression of spliceosome components PRP4 and PRP3; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2662,4,1392182,-0.0778324167546026,0.0751252295598808,0.30089469696371,YDR464W,SPP41,SGDID:S000002872,CDS,CDS,"""Protein of unknown function; involved in negative regulation of expression of spliceosome components PRP4 and PRP3; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2663,4,1392187,-0.0698948324292821,0.0758808511755044,0.357620542819446,YDR464W,SPP41,SGDID:S000002872,CDS,CDS,"""Protein of unknown function; involved in negative regulation of expression of spliceosome components PRP4 and PRP3; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2664,4,1411483,-0.0522713720657274,0.0756203514982605,0.489872704398827,YDR476C,YDR476C,SGDID:S000002884,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YDR476C is not an essential gene""",Uncharacterized ORF
2665,4,1411837,-0.0423358017364776,0.0752731570412898,0.574180788471503,YDR476C,YDR476C,SGDID:S000002884,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YDR476C is not an essential gene""",Uncharacterized ORF
2666,4,1411853,-0.0624557791994257,0.0753858897051268,0.407957934338989,YDR476C,YDR476C,SGDID:S000002884,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YDR476C is not an essential gene""",Uncharacterized ORF
2668,4,1418662,-0.093310294025602,0.0751614182816692,0.215258192139837,YDR481C,PHO8,SGDID:S000002889,CDS,CDS,"""Repressible vacuolar alkaline phosphatase; controls polyphosphate content; regulated by levels of Pi and by Pho4p ; Pho9p ; Pho80p ; Pho81p and Pho85p; dephosphorylates phosphotyrosyl peptides; contributes to NAD+ metabolism by producing nicotinamide riboside from NMN""",Verified ORF
2669,4,1429971,-0.0579147258753545,0.0759739283447579,0.446391586357684,YDR488C,PAC11,SGDID:S000002896,CDS,CDS,"""Dynein intermediate chain ; microtubule motor protein; required for intracellular transport and cell division; acts in cytoplasmic dynein pathway; forms complex with dynein light chain Dyn2p that promotes Dyn1p homodimerization and potentiates motor processivity; Dyn2p-Pac11p complex is also important for interaction of dynein motor complex with dynactin complex; forms cortical cytoplasmic microtubule capture site with Num1p; essential in the absence of CIN8""",Verified ORF
2670,4,1432529,-0.032142352664736,0.0764151600850922,0.674282725935167,YDR490C,PKH1,SGDID:S000002898,CDS,CDS,"""Serine/threonine protein kinase; involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p ; components of signaling cascade required for maintenance of cell wall integrity; contains a PH-like domain; redundant with Pkh2p; PKH1 has a paralog ; PKH2 ; that arose from the whole genome duplication""",Verified ORF
2671,4,1432812,-0.0398693394543618,0.0762222811719128,0.601255978663876,YDR490C,PKH1,SGDID:S000002898,CDS,CDS,"""Serine/threonine protein kinase; involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p ; components of signaling cascade required for maintenance of cell wall integrity; contains a PH-like domain; redundant with Pkh2p; PKH1 has a paralog ; PKH2 ; that arose from the whole genome duplication""",Verified ORF
2672,4,1433591,0.0036076461777409,0.0763724486003573,0.962350625597035,YDR490C,PKH1,SGDID:S000002898,CDS,CDS,"""Serine/threonine protein kinase; involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p ; components of signaling cascade required for maintenance of cell wall integrity; contains a PH-like domain; redundant with Pkh2p; PKH1 has a paralog ; PKH2 ; that arose from the whole genome duplication""",Verified ORF
2673,4,1434295,-0.0012107159469709,0.0762460452383406,0.987339841992772,YDR490C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2674,4,1435743,0.0068795014740455,0.0767242687393439,0.928604075316736,YDR492W,IZH1,SGDID:S000002900,CDS,CDS,"""Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family; transcription is regulated directly by Zap1p ; expression induced by zinc deficiency and fatty acids; deletion increases sensitivity to elevated zinc; IZH1 has a paralog ; IZH4 ; that arose from the whole genome duplication""",Verified ORF
2675,4,1436351,0.0008266011180954,0.077233227273557,0.991466720338764,YDR493W,MZM1,SGDID:S000002901,CDS,CDS,"""Protein required for assembly of the cytochrome bc(1) complex; acts as a chaperone for Rip1p and facilitates its insertion into the complex at a late stage of assembly; localized to the mitochondrial matrix; null mutant exhibits a respiratory growth defect and reduced mitochondrial zinc levels ; which is characteristic of mutations affecting bc(1) complex assembly; member of the LYR protein family; human LYRM7 is a functional ortholog""",Verified ORF
2676,4,1438464,-0.0108810078472099,0.0769974271716874,0.887700516485221,YDR495C,VPS3,SGDID:S000002903,CDS,CDS,"""Component of CORVET membrane tethering complex; cytoplasmic protein required for the sorting and processing of soluble vacuolar proteins ; acidification of the vacuolar lumen ; and assembly of the vacuolar H+-ATPase""",Verified ORF
2679,4,1443836,-0.0104937694660545,0.077166327210548,0.891907516160066,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
2680,4,1443911,-0.0494185025016011,0.0771486660454529,0.522222896090756,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
2681,4,1444256,-0.0120617125628192,0.0786764347624739,0.878243134308677,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
2682,4,1444337,-0.0373416070240506,0.0772793894154615,0.629251399612259,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
2683,4,1444364,-0.0058278096820627,0.0778859095327849,0.940396370573303,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
2684,4,1444711,-0.017587047996832,0.0773998693638414,0.820381705868841,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
