SNP,Chr,Pos,Effect,SE,FMP45_MEP1_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
393,2,208682,-0.0153292666667928,0.0510182889480677,0.763998521632747,YBL009W,ALK2,SGDID:S000000105,CDS,CDS,"""Atypical protein kinase; along with its paralog ; ALK1 ; required for proper spindle positioning and nuclear segregation following mitotic arrest ; proper organization of cell polarity factors in mitosis ; proper localization of formins and polarity factors ; and survival in cells that activate spindle assembly checkpoint; negatively regulates the morphogenesis checkpoint in response to polarity insults in opposition to ALK1; phosphorylated in response to DNA damage; similar to mammalian haspins""",Verified ORF
394,2,210102,-0.0099680946660528,0.051153836467262,0.845610703254949,YBL008W,HIR1,SGDID:S000000104,CDS,CDS,"""Subunit of the HIR complex; HIR is a nucleosome assembly complex involved in regulation of histone gene transcription; contributes to nucleosome formation ; heterochromatic gene silencing ; and formation of functional kinetochores""",Verified ORF
396,2,214801,-0.0307256260640725,0.051128005872488,0.548255693612647,YBL007C,SLA1,SGDID:S000000103,CDS,CDS,"""Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains""",Verified ORF
397,2,215016,-0.0174356150292362,0.0511165426651253,0.733234731628918,YBL007C,SLA1,SGDID:S000000103,CDS,CDS,"""Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains""",Verified ORF
398,2,218876,-0.0146024099146289,0.0516476716080538,0.777548584201017,YBL005W,PDR3,SGDID:S000000101,CDS,CDS,"""Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); has a role in response to drugs and organic solvents; post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate""",Verified ORF
399,2,227511,-0.038691145772153,0.0519783371685885,0.457147532970867,YBL004W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
400,2,230378,-0.0395040539926722,0.0513205173011677,0.441961996808027,YBL004W,UTP20,SGDID:S000000100,CDS,CDS,"""Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA""",Verified ORF
401,2,231943,-0.0518294929568722,0.0514369123438449,0.314321218293473,YBL004W,UTP20,SGDID:S000000100,CDS,CDS,"""Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA""",Verified ORF
402,2,232156,-0.0380537605781718,0.0514498665378934,0.460017336637446,YBL004W,UTP20,SGDID:S000000100,CDS,CDS,"""Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA""",Verified ORF
403,2,232789,-0.0544797448827751,0.0512253890854084,0.288268590620257,YBL004W,UTP20,SGDID:S000000100,CDS,CDS,"""Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA""",Verified ORF
404,2,238524,-0.0388656643321798,0.0513379371254864,0.449521657173072,SUT008,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
405,2,241518,-0.0307013326735911,0.0517998758494477,0.553767286830514,YBR001C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
406,2,250396,-0.0842747025425923,0.0512765345948896,0.101162926473209,YBR007C,DSF2,SGDID:S000000211,CDS,CDS,"""Deletion suppressor of mpt5 mutation; relocalizes from bud neck to cytoplasm upon DNA replication stress""",Verified ORF
407,2,250466,-0.0799798432192925,0.0512777776995301,0.119718108748807,YBR007C,DSF2,SGDID:S000000211,CDS,CDS,"""Deletion suppressor of mpt5 mutation; relocalizes from bud neck to cytoplasm upon DNA replication stress""",Verified ORF
408,2,252305,-0.0864147740465337,0.0513851264432729,0.0935098913276719,YBR008C,FLR1,SGDID:S000000212,Close to 3'-UTR,Close to 3'-UTR,"""Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; involved in efflux of fluconazole ; diazaborine ; benomyl ; methotrexate ; and other drugs; expression induced in cells treated with the mycotoxin patulin; relocalizes from nucleus to plasma membrane upon DNA replication stress""",Verified ORF
409,2,254571,-0.0822840067983492,0.0521315272467797,0.115371145347633,YBR008C,FLR1,SGDID:S000000212,Close to 3'-UTR,Close to 3'-UTR,"""Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; involved in efflux of fluconazole ; diazaborine ; benomyl ; methotrexate ; and other drugs; expression induced in cells treated with the mycotoxin patulin; relocalizes from nucleus to plasma membrane upon DNA replication stress""",Verified ORF
410,2,254742,-0.0785031241022096,0.0521006501007622,0.132766782907036,CUT009_NFR/NDR,,,Promoter,Promoter,,Promoter
411,2,254908,-0.0856450840950015,0.0524695356126217,0.103511754481291,CUT009,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
413,2,255862,-0.0641609234485532,0.0522384160365204,0.220177956165993,YBR009C,HHF1,SGDID:S000000213,Close to 3'-UTR,Close to 3'-UTR,"""Histone H4; core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF2); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity""",Verified ORF
414,2,255975,-0.0507330554281613,0.052090977353225,0.330757351656221,YBR009C,HHF1,SGDID:S000000213,Close to 3'-UTR,Close to 3'-UTR,"""Histone H4; core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF2); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity""",Verified ORF
415,2,258311,-0.0689653793770342,0.0511681237703201,0.17858086973399,YBR011C,IPP1,SGDID:S000000215,Close to 3'-UTR,Close to 3'-UTR,"""Cytoplasmic inorganic pyrophosphatase (PPase); homodimer that catalyzes the rapid exchange of oxygens from Pi with water ; highly expressed and essential for viability ; active-site residues show identity to those from E. coli PPase""",Verified ORF
416,2,259284,-0.0746170138894346,0.0513189058892148,0.146838453074839,YBR012C,YBR012C,SGDID:S000000216,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; expression induced by iron-regulated transcriptional activator Aft2p""",Dubious ORF
417,2,266330,-0.0800931902060469,0.0515175959430383,0.120919222804848,YBRCdelta14_NFR/NDR,,,Promoter,Promoter,,Promoter
418,2,267100,-0.0693062442176328,0.0515581078866954,0.179735440745267,YBR014C,GRX7,SGDID:S000000218,CDS,CDS,"""Cis-golgi localized monothiol glutaredoxin; more similar in activity to dithiol than other monothiol glutaredoxins; involved in the oxidative stress response; does not bind metal ions; GRX7 has a paralog ; GRX6 ; that arose from the whole genome duplication""",Verified ORF
419,2,268086,-0.0635247467925912,0.0515829774002379,0.218953453902872,YBR015C,MNN2,SGDID:S000000219,CDS,CDS,"""Alpha-1,2-mannosyltransferase; responsible for addition of the first alpha-1,2-linked mannose to form the branches on the mannan backbone of oligosaccharides ; localizes to an early Golgi compartment""",Verified ORF
420,2,274614,-0.0711603139863255,0.0512398079925021,0.165778252618815,YBR018C,GAL7,SGDID:S000000222,CDS,CDS,"""Galactose-1-phosphate uridyl transferase; synthesizes glucose-1-phosphate and UDP-galactose from UDP-D-glucose and alpha-D-galactose-1-phosphate in the second step of galactose catabolism; human homolog UGP2 can complement yeast null mutant""",Verified ORF
421,2,274729,-0.0737133326037666,0.051511426540161,0.153312200007036,YBR018C,GAL7,SGDID:S000000222,CDS,CDS,"""Galactose-1-phosphate uridyl transferase; synthesizes glucose-1-phosphate and UDP-galactose from UDP-D-glucose and alpha-D-galactose-1-phosphate in the second step of galactose catabolism; human homolog UGP2 can complement yeast null mutant""",Verified ORF
422,2,275746,-0.0765100427554649,0.0514772505528985,0.138095409727056,YBR018C,GAL7,SGDID:S000000222,Close to 3'-UTR,Close to 3'-UTR,"""Galactose-1-phosphate uridyl transferase; synthesizes glucose-1-phosphate and UDP-galactose from UDP-D-glucose and alpha-D-galactose-1-phosphate in the second step of galactose catabolism; human homolog UGP2 can complement yeast null mutant""",Verified ORF
423,2,277029,-0.0777621396608223,0.0512311936550008,0.129942969560385,SUT013,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
424,2,277741,-0.0798641159069907,0.0512422800419135,0.119996850560724,SUT013,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
425,2,278218,-0.0820773292207606,0.051139164345598,0.109392457353201,SUT013,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
426,2,278379,-0.0823658359948817,0.052412568800909,0.116964699391562,SUT013,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
427,2,279910,-0.0837863506976283,0.0511132215923354,0.102056135559981,YNCB0008W,YNCB0008W,SGDID:S000303802,Non-coding RNA,ncRNA_gene,"""lncRNA antisense to GAL10 and overlapping GAL1 mRNAs; GAL10-ncRNA transcription recruits Set2p methyltransferase  and histone deacetylation activities in cis ; leading to stable changes in chromatin structure; acts to enhance glucose repression of GAL110 induction at low environmental sugar concentrations; expression driven by Reb1p; does not appear to control GAL1 induction""",ncRNA_gene
429,2,283431,-0.0864767004317408,0.0518549713416303,0.0962691410902776,YBR021W,FUR4,SGDID:S000000225,Close to 3'-UTR,Close to 3'-UTR,"""Plasma membrane localized uracil permease; expression is tightly regulated by uracil levels and environmental cues; conformational alterations induced by unfolding or substrate binding result in Rsp5p-mediated ubiquitination and degradation""",Verified ORF
430,2,283573,-0.0921382019052941,0.0512000410298036,0.0727819429490649,YBR022W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
431,2,286762,-0.0661763934556292,0.0514455864728867,0.19916827858986,YBR023C,CHS3,SGDID:S000000227,CDS,CDS,"""Chitin synthase III; catalyzes the transfer of N-acetylglucosamine (GlcNAc) to chitin; required for synthesis of the majority of cell wall chitin ; the chitin ring during bud emergence ; and spore wall chitosan; contains overlapping di-leucine and di-acidic signals that mediate ; respectively ; intracellular trafficking by AP-1 and trafficking to plasma membrane by exomer complex; requires AP-3 complex for its intracellular retention""",Verified ORF
432,2,287187,-0.0694787704181462,0.0511920224501251,0.175578851725149,YBR023C,CHS3,SGDID:S000000227,CDS,CDS,"""Chitin synthase III; catalyzes the transfer of N-acetylglucosamine (GlcNAc) to chitin; required for synthesis of the majority of cell wall chitin ; the chitin ring during bud emergence ; and spore wall chitosan; contains overlapping di-leucine and di-acidic signals that mediate ; respectively ; intracellular trafficking by AP-1 and trafficking to plasma membrane by exomer complex; requires AP-3 complex for its intracellular retention""",Verified ORF
433,2,288379,-0.0476461881028566,0.0508732904930368,0.349622201876397,YBR023C,CHS3,SGDID:S000000227,Close to 3'-UTR,Close to 3'-UTR,"""Chitin synthase III; catalyzes the transfer of N-acetylglucosamine (GlcNAc) to chitin; required for synthesis of the majority of cell wall chitin ; the chitin ring during bud emergence ; and spore wall chitosan; contains overlapping di-leucine and di-acidic signals that mediate ; respectively ; intracellular trafficking by AP-1 and trafficking to plasma membrane by exomer complex; requires AP-3 complex for its intracellular retention""",Verified ORF
434,2,294941,-0.0872022012019187,0.050755158169811,0.0866561130424079,YBR028C,YPK3,SGDID:S000000232,CDS,CDS,"""AGC kinase; phosphorylated by cAMP-dependent protein kinase (PKA) in a TORC1-dependent manner; directly phosphorylated by TORC1; phosphorylates ribosomal protein Rps6a/b (S6) ; in a TORC-dependent manner; undergoes autophosphorylation""",Verified ORF
439,2,297610,-0.0631003238746991,0.0511146802282462,0.217843247750463,YBR029C,CDS1,SGDID:S000000233,CDS,CDS,"""Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase); an enzyme that catalyzes that conversion of CTP + phosphate into diphosphate + CDP-diaclglyerol ; a critical step in the synthesis of all major yeast phospholipids; human homolog CDS1 can complement yeast cds1 null mutant""",Verified ORF
441,2,299680,-0.0280734599704,0.0510452797544862,0.582686577694784,YBR030W,RKM3,SGDID:S000000234,CDS,CDS,"""Ribosomal lysine methyltransferase; specific for monomethylation of Rpl42ap and Rpl42bp (lysine 40); nuclear SET domain containing protein; relocalizes to the cytosol in response to hypoxia""",Verified ORF
442,2,299708,-0.0256839761553861,0.0511565961736613,0.61593426966515,YBR030W,RKM3,SGDID:S000000234,CDS,CDS,"""Ribosomal lysine methyltransferase; specific for monomethylation of Rpl42ap and Rpl42bp (lysine 40); nuclear SET domain containing protein; relocalizes to the cytosol in response to hypoxia""",Verified ORF
443,2,299759,-0.0297421930389213,0.050976901082988,0.559966679573568,YBR030W,RKM3,SGDID:S000000234,CDS,CDS,"""Ribosomal lysine methyltransferase; specific for monomethylation of Rpl42ap and Rpl42bp (lysine 40); nuclear SET domain containing protein; relocalizes to the cytosol in response to hypoxia""",Verified ORF
444,2,300111,-0.0339320751308769,0.0513260565975525,0.508974192487286,YBR031W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
446,2,301710,-0.0351800931335002,0.0509807769566424,0.490606201471204,YBR032W,YBR032W,SGDID:S000000236,CDS,CDS,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YBR032W is not an essential gene""",Uncharacterized ORF
447,2,303446,-0.0391163773925537,0.0512942494106236,0.446218430710704,YBR033W,EDS1,SGDID:S000000237,CDS,CDS,"""Putative zinc cluster protein ; predicted to be a transcription factor; not an essential gene; EDS1 has a paralog ; RGT1 ; that arose from the whole genome duplication""",Uncharacterized ORF
448,2,303854,-0.0388165044148985,0.0513047475126095,0.449801983694066,YBR033W,EDS1,SGDID:S000000237,CDS,CDS,"""Putative zinc cluster protein ; predicted to be a transcription factor; not an essential gene; EDS1 has a paralog ; RGT1 ; that arose from the whole genome duplication""",Uncharacterized ORF
449,2,304472,-0.0266226634589168,0.0508927182516821,0.601223529495672,YBR033W,EDS1,SGDID:S000000237,CDS,CDS,"""Putative zinc cluster protein ; predicted to be a transcription factor; not an essential gene; EDS1 has a paralog ; RGT1 ; that arose from the whole genome duplication""",Uncharacterized ORF
450,2,304691,-0.0482234597274794,0.0516735622179655,0.351337698337237,YBR033W,EDS1,SGDID:S000000237,CDS,CDS,"""Putative zinc cluster protein ; predicted to be a transcription factor; not an essential gene; EDS1 has a paralog ; RGT1 ; that arose from the whole genome duplication""",Uncharacterized ORF
451,2,308097,-0.0240746851734456,0.0511758884375312,0.638338192351614,YNCB0010W,TLC1,SGDID:S000006657,Non-coding RNA,telomerase_RNA_gene,"""RNA template component of telomerase; flexible scaffold that tethers telomerase holoenzyme protein subunits to the complex; contains template sequence that Est2p uses to add irregular repeats of TG(1-3) residues onto a DNA end; promoter regulated by the cell cycle dependent transcriptional activators Swi4p/Swi6p and Mbp1p/Swi6p""",telomerase_RNA_gene
453,2,309402,-0.0231438418634627,0.050865556983831,0.64938875038814,YBR036C,CSG2,SGDID:S000000240,CDS,CDS,"""Endoplasmic reticulum membrane protein; required for mannosylation of inositolphosphorylceramide and for growth at high calcium concentrations; protein abundance increases in response to DNA replication stress""",Verified ORF
454,2,310030,-0.0140354718724906,0.0511608756888898,0.78398386237279,YBR036C,CSG2,SGDID:S000000240,CDS,CDS,"""Endoplasmic reticulum membrane protein; required for mannosylation of inositolphosphorylceramide and for growth at high calcium concentrations; protein abundance increases in response to DNA replication stress""",Verified ORF
455,2,310113,-0.0118922556896089,0.0510196784016458,0.815825418336609,YBR036C,CSG2,SGDID:S000000240,CDS,CDS,"""Endoplasmic reticulum membrane protein; required for mannosylation of inositolphosphorylceramide and for growth at high calcium concentrations; protein abundance increases in response to DNA replication stress""",Verified ORF
456,2,310972,-0.0617476296446404,0.0509952928727313,0.226763106625526,YBR037C,SCO1,SGDID:S000000241,CDS,CDS,"""Copper-binding protein of mitochondrial inner membrane; required for cytochrome c oxidase activity and respiration; may function to deliver copper to cytochrome c oxidase; similar to thioredoxins; SCO1 has a paralog ; SCO2 ; that arose from the whole genome duplication""",Verified ORF
457,2,312659,-0.0135307220595746,0.0508977485431173,0.790516652485409,YBR038W,CHS2,SGDID:S000000242,CDS,CDS,"""Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to chitin upon activation of zymogenic form; required for chitin synthesis in the primary septum during cytokinesis; localization regulated by Cdk1p during mitosis; phosphorylation by Dbf2p kinase regulates its dynamics and chitin synthesis during cytokinesis""",Verified ORF
460,2,318265,0.0055280621176539,0.051563517625196,0.914684249762209,YBR041W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
461,2,318379,0.0170007944383415,0.0517092143110546,0.742519294208651,YBR041W,FAT1,SGDID:S000000245,CDS,CDS,"""Very long chain fatty acyl-CoA synthetase and fatty acid transporter; activates imported fatty acids with a preference for very long lengths (C20-C26); has a separate function in the transport of long chain fatty acids""",Verified ORF
462,2,321266,0.0299689814394565,0.0513461952470977,0.55981840356425,YBR042C,CST26,SGDID:S000000246,CDS,CDS,"""Acyltransferase; enzyme mainly responsible for the introduction of saturated very long chain fatty acids into neo-synthesized molecules of phosphatidylinositol; required for incorporation of stearic acid into phosphatidylinositol; affects chromosome stability when overexpressed; CST26 has a paralog ; YDR018C ; that arose from the whole genome duplication""",Verified ORF
463,2,322957,0.0506176297431275,0.0508411094251196,0.320124387664759,YBR043C,QDR3,SGDID:S000000247,CDS,CDS,"""Multidrug transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; has a role in polyamine homeostasis; involved in spore wall asembly; sequence similarity to DTR1 and QDR1 ; and the triple mutant dtr1 qdr1 qdr3 exhibits reduced dityrosine fluorescence relative to the single mutants; expression is upregulated under polyamine stress; required for resistance to quinidine ; barban ; cisplatin ; and bleomycin""",Verified ORF
464,2,325221,0.123034395565464,0.0507713612885079,0.0158823314049035,YBR044C,TCM62,SGDID:S000000248,CDS,CDS,"""Protein involved in assembly of the succinate dehydrogenase complex; mitochondrial; putative chaperone""",Verified ORF
465,2,332691,0.0563791812007487,0.0516262220658138,0.275549374400485,YBR048W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
466,2,333006,0.0829544321858171,0.0514225965821749,0.107596749301968,YBR047W,FMP23,SGDID:S000000251,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; proposed to be involved in iron or copper homeostasis; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Uncharacterized ORF
468,2,335046,0.0842236753343944,0.0508975878687573,0.0988604586799408,YBR049C,REB1,SGDID:S000000253,CDS,CDS,"""RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription; Reb1p bound to DNA acts to block RNA polymerase II readthrough transcription""",Verified ORF
469,2,335049,0.0786568534829268,0.0511408260429166,0.124933647959285,YBR049C,REB1,SGDID:S000000253,CDS,CDS,"""RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription; Reb1p bound to DNA acts to block RNA polymerase II readthrough transcription""",Verified ORF
470,2,335995,0.114466333250788,0.0506569462550324,0.0244529035565774,YBR049C,REB1,SGDID:S000000253,CDS,CDS,"""RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription; Reb1p bound to DNA acts to block RNA polymerase II readthrough transcription""",Verified ORF
471,2,336060,0.114920786031191,0.0505848274986692,0.0236972014062068,YBR049C,REB1,SGDID:S000000253,CDS,CDS,"""RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription; Reb1p bound to DNA acts to block RNA polymerase II readthrough transcription""",Verified ORF
472,2,338292,0.073894180130699,0.0507980561244934,0.146650485987831,YBR051W,YBR051W,SGDID:S000000255,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the REG2/YBR050C regulatory subunit of the Glc7p type-1 protein phosphatase""",Dubious ORF
473,2,339568,0.0823881150961538,0.050838057233252,0.105996523874732,YBR052C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
474,2,340466,0.103857287024723,0.0511709245116958,0.0431453835050627,YBR053C,YBR053C,SGDID:S000000257,CDS,CDS,"""Putative protein of unknown function; induced by cell wall perturbation""",Uncharacterized ORF
478,2,348480,0.0272482622140875,0.0509302396961125,0.592978778699727,YBR056W,YBR056W,SGDID:S000000260,CDS,CDS,"""Putative glycoside hydrolase of the mitochondrial intermembrane space""",Verified ORF
479,2,350086,0.0263038334257763,0.0509340527993708,0.60587801587153,YBR056W,YBR056W,SGDID:S000000260,Close to 3'-UTR,Close to 3'-UTR,"""Putative glycoside hydrolase of the mitochondrial intermembrane space""",Verified ORF
480,2,351083,0.0595952850519216,0.0515142350544411,0.248107641606628,YBR056W-A_NFR/NDR,,,Promoter,Promoter,,Promoter
481,2,351335,0.0486574495553908,0.0509659032500697,0.340379748094731,YBR056W-A,MNC1,SGDID:S000028736,CDS,CDS,"""Putative membrane protein upregulated in toxic manganese levels; mRNA identified as translated by ribosome profiling data; partially overlaps dubious ORF YBR056C-B; YBR056W-A has a paralog ; YDR034W-B ; that arose from the whole genome duplication""",Uncharacterized ORF
482,2,351417,0.0447477661571516,0.0509679880736443,0.380563532901594,YBR056W-A,MNC1,SGDID:S000028736,CDS,CDS,"""Putative membrane protein upregulated in toxic manganese levels; mRNA identified as translated by ribosome profiling data; partially overlaps dubious ORF YBR056C-B; YBR056W-A has a paralog ; YDR034W-B ; that arose from the whole genome duplication""",Uncharacterized ORF
483,2,351450,0.0655320295596815,0.0509608437648086,0.199310685772933,YBR056W-A,MNC1,SGDID:S000028736,CDS,CDS,"""Putative membrane protein upregulated in toxic manganese levels; mRNA identified as translated by ribosome profiling data; partially overlaps dubious ORF YBR056C-B; YBR056W-A has a paralog ; YDR034W-B ; that arose from the whole genome duplication""",Uncharacterized ORF
484,2,352302,0.056761378486329,0.0513947949772049,0.270163737420433,YBR057C,MUM2,SGDID:S000000261,CDS,CDS,"""Protein essential for meiotic DNA replication and sporulation; cytoplasmic protein; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation; also interacts with Orc2p ; which is a component of the origin recognition complex""",Verified ORF
485,2,352469,0.0528405145492682,0.0508852544279394,0.299783049097335,YBR057C,MUM2,SGDID:S000000261,CDS,CDS,"""Protein essential for meiotic DNA replication and sporulation; cytoplasmic protein; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation; also interacts with Orc2p ; which is a component of the origin recognition complex""",Verified ORF
486,2,352562,0.0623555074139298,0.0510634623133765,0.222848937252311,YBR057C,MUM2,SGDID:S000000261,CDS,CDS,"""Protein essential for meiotic DNA replication and sporulation; cytoplasmic protein; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation; also interacts with Orc2p ; which is a component of the origin recognition complex""",Verified ORF
487,2,352944,0.0625798587960746,0.050914772540052,0.219849228636568,YBR057C,MUM2,SGDID:S000000261,CDS,CDS,"""Protein essential for meiotic DNA replication and sporulation; cytoplasmic protein; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation; also interacts with Orc2p ; which is a component of the origin recognition complex""",Verified ORF
490,2,355266,0.0408997440142823,0.0509771462941654,0.422910402710878,YBR058C,UBP14,SGDID:S000000262,CDS,CDS,"""Ubiquitin-specific protease; specifically disassembles unanchored ubiquitin chains; involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; similar to human isopeptidase T""",Verified ORF
491,2,358277,0.0592144345019363,0.0509342441439383,0.245790867076505,YBR059C,AKL1,SGDID:S000000263,CDS,CDS,"""Ser/Thr protein kinase; phosphorylates Pan1p ; Sla1p and Ent1p to negatively regulate endocytosis in response to membrane stress; regulates actin cytoskeleton organization and clathrin-dependent endocytosis; phosphorylated and inhibited by upstream kinase ; Fpk1p; member ; along with Ark1p and Prk1p ; of the Ark kinase family""",Verified ORF
492,2,358926,0.0534847835167912,0.0510274048763846,0.295282920990381,YBR059C,AKL1,SGDID:S000000263,CDS,CDS,"""Ser/Thr protein kinase; phosphorylates Pan1p ; Sla1p and Ent1p to negatively regulate endocytosis in response to membrane stress; regulates actin cytoskeleton organization and clathrin-dependent endocytosis; phosphorylated and inhibited by upstream kinase ; Fpk1p; member ; along with Ark1p and Prk1p ; of the Ark kinase family""",Verified ORF
493,2,358948,0.0600843455097074,0.051022819166003,0.239750420187198,YBR059C,AKL1,SGDID:S000000263,CDS,CDS,"""Ser/Thr protein kinase; phosphorylates Pan1p ; Sla1p and Ent1p to negatively regulate endocytosis in response to membrane stress; regulates actin cytoskeleton organization and clathrin-dependent endocytosis; phosphorylated and inhibited by upstream kinase ; Fpk1p; member ; along with Ark1p and Prk1p ; of the Ark kinase family""",Verified ORF
494,2,359515,0.0539110674613531,0.0509654560016562,0.290871673791055,YBR059C,AKL1,SGDID:S000000263,CDS,CDS,"""Ser/Thr protein kinase; phosphorylates Pan1p ; Sla1p and Ent1p to negatively regulate endocytosis in response to membrane stress; regulates actin cytoskeleton organization and clathrin-dependent endocytosis; phosphorylated and inhibited by upstream kinase ; Fpk1p; member ; along with Ark1p and Prk1p ; of the Ark kinase family""",Verified ORF
495,2,363190,0.0896278496453623,0.0513244479414777,0.0816288072076261,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
496,2,363588,0.093986794133149,0.0515066738378326,0.0688838483302423,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
497,2,363888,0.0978226797041136,0.051040063454177,0.0560976983695981,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
498,2,363954,0.117419026933747,0.0507174885033612,0.0211771653010637,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
499,2,364199,0.0986364048180342,0.0507608995498399,0.0527918122918648,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
501,2,365981,0.110260279134292,0.0517287240829147,0.0337374253699444,CUT019,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
502,2,366047,0.104181689951069,0.0508213310582386,0.04110668327536,CUT019,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
503,2,366936,0.102744094825088,0.051421298562541,0.0464742886740658,XUT_2F-146,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
504,2,369530,0.0985297932667385,0.0507679667402725,0.0530799410157902,YBR065C,ECM2,SGDID:S000000269,CDS,CDS,"""Pre-mRNA splicing factor; facilitates the cooperative formation of U2/U6 helix II in association with stem II in the spliceosome ; function may be regulated by Slu7p""",Verified ORF
506,2,369931,0.0879210423847717,0.0511747210329276,0.0866632775610039,YBR065C_NFR/NDR,,,Promoter,Promoter,,Promoter
507,2,371033,0.103091641121423,0.0509572405899899,0.0438160425145979,YBR066C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
508,2,372919,0.0666213351060266,0.0509071067339843,0.191492649523424,YBR067C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
509,2,373518,0.0855109303530363,0.0507979937475413,0.0931909693694583,YBR067C,TIP1,SGDID:S000000271,Close to 3'-UTR,Close to 3'-UTR,"""Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins""",Verified ORF
510,2,376157,0.0805340959280341,0.0509339887016702,0.114740110085594,YBR068C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
511,2,376172,0.0859115508570522,0.0512800472860903,0.0947529311567106,YBR068C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
514,2,381433,0.001324270194045,0.0514462787536527,0.979478597808991,CUT023,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
515,2,381922,0.0025667971299284,0.0518457272486825,0.960542172112106,YBR072W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
