SNP,Chr,Pos,Effect,SE,MID2_TPO4_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
289,2,121716,0.194293811475394,0.169925222337411,0.253644170892339,YBL052C,SAS3,SGDID:S000000148,CDS,CDS,"""Histone acetyltransferase catalytic subunit of NuA3 complex; acetylates histone H3 ; involved in transcriptional silencing; homolog of the mammalian MOZ proto-oncogene; mutant has aneuploidy tolerance; sas3gcn5 double mutation is lethal""",Verified ORF
290,2,123100,0.187018063498059,0.170183583532927,0.272552094832566,YBL051C,PIN4,SGDID:S000000147,CDS,CDS,"""Protein involved in G2/M phase progression and response to DNA damage; interacts with Rad53p; contains an RNA recognition motif ; a nuclear localization signal ; and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage""",Verified ORF
291,2,124677,0.100204048485377,0.170156038974759,0.556308325269769,YBL051C,PIN4,SGDID:S000000147,CDS,CDS,"""Protein involved in G2/M phase progression and response to DNA damage; interacts with Rad53p; contains an RNA recognition motif ; a nuclear localization signal ; and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage""",Verified ORF
293,2,127887,0.179452026502361,0.171140482997481,0.295095462109646,YBL049W,MOH1,SGDID:S000000145,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function ; essential for stationary phase survival; not required for growth on nonfermentable carbon sources; possibly linked with vacuolar transport""",Verified ORF
294,2,128935,0.162514622970484,0.171026169977296,0.342644252828919,YBL047C,EDE1,SGDID:S000000143,CDS,CDS,"""Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15""",Verified ORF
295,2,129053,0.212706143063628,0.171392533682237,0.215412590037734,YBL047C,EDE1,SGDID:S000000143,CDS,CDS,"""Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15""",Verified ORF
296,2,130040,0.200682844418949,0.172484002145258,0.24541792883403,YBL047C,EDE1,SGDID:S000000143,CDS,CDS,"""Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15""",Verified ORF
297,2,130976,0.0895897974602317,0.171340462676197,0.601388645558519,YBL047C,EDE1,SGDID:S000000143,CDS,CDS,"""Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15""",Verified ORF
298,2,132199,0.174193497640376,0.17195147406861,0.311735528198458,YBL046W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
299,2,133355,0.197006066214001,0.173048722886226,0.255707678790903,YBL046W,PSY4,SGDID:S000000142,CDS,CDS,"""Regulatory subunit of protein phosphatase PP4; presence of Psy4p in the PP4 complex (along with catalytic subunit Pph3p and Psy2p) is required for dephosphorylation of the histone variant H2AX ; but not for dephosphorylation of Rad53p ; during recovery from the DNA damage checkpoint; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; required for cisplatin resistance; homolog of mammalian R2""",Verified ORF
300,2,133435,0.203980501962843,0.173401198075702,0.240247707487491,YBL046W,PSY4,SGDID:S000000142,CDS,CDS,"""Regulatory subunit of protein phosphatase PP4; presence of Psy4p in the PP4 complex (along with catalytic subunit Pph3p and Psy2p) is required for dephosphorylation of the histone variant H2AX ; but not for dephosphorylation of Rad53p ; during recovery from the DNA damage checkpoint; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; required for cisplatin resistance; homolog of mammalian R2""",Verified ORF
302,2,135183,0.173635704709977,0.173591136647896,0.317871435466101,YBL045C,COR1,SGDID:S000000141,CDS,CDS,"""Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain""",Verified ORF
303,2,135402,0.204773801530984,0.173468654729165,0.238609850097148,YBL045C,COR1,SGDID:S000000141,CDS,CDS,"""Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain""",Verified ORF
304,2,135898,0.247092136267597,0.174236863870761,0.157032285968557,YBL044W_NFR/NDR,,,Promoter,Promoter,,Promoter
305,2,135912,0.230465829067572,0.174430783068134,0.18727538478611,YBL044W_NFR/NDR,,,Promoter,Promoter,,Promoter
306,2,135925,0.233051944464495,0.173626928727484,0.180375324539961,YBL044W_NFR/NDR,,,Promoter,Promoter,,Promoter
307,2,136002,0.188344417978351,0.17365009163922,0.278830048208851,YBL044W,YBL044W,SGDID:S000000140,CDS,CDS,"""Putative protein of unknown function; YBL044W is not an essential protein""",Uncharacterized ORF
308,2,136173,0.184705131526277,0.174893715156469,0.29164508237588,YBL044W,YBL044W,SGDID:S000000140,CDS,CDS,"""Putative protein of unknown function; YBL044W is not an essential protein""",Uncharacterized ORF
310,2,138318,0.222386995962338,0.179404353942084,0.215952277186171,YBL043W,ECM13,SGDID:S000000139,Close to 3'-UTR,Close to 3'-UTR,"""Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; ECM13 has a paralog ; YJR115W ; that arose from the whole genome duplication""",Verified ORF
311,2,138695,0.190410494959175,0.17642197724753,0.281195315531546,YBL042C,FUI1,SGDID:S000000138,CDS,CDS,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
312,2,138818,0.172008488243697,0.176151013037817,0.329493815315306,YBL042C,FUI1,SGDID:S000000138,CDS,CDS,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
313,2,139728,0.221186864964802,0.175678526316472,0.208846642327808,YBL042C,FUI1,SGDID:S000000138,CDS,CDS,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
314,2,140174,0.205284585026171,0.175733197490711,0.243530362756603,YBL042C,FUI1,SGDID:S000000138,CDS,CDS,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
315,2,140863,0.191692431700514,0.175705343667833,0.276022245365989,YBL041W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
316,2,141152,0.188285938188771,0.176212356413966,0.286017407393124,YBL042C,FUI1,SGDID:S000000138,Close to 3'-UTR,Close to 3'-UTR,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress""",Verified ORF
317,2,141292,0.198180383435174,0.174910287148008,0.257966346612176,YBL041W,PRE7,SGDID:S000000137,CDS,CDS,"""Beta 6 subunit of the 20S proteasome""",Verified ORF
318,2,141545,0.246599511976657,0.175591777540612,0.161081696028459,YBL041W,PRE7,SGDID:S000000137,CDS,CDS,"""Beta 6 subunit of the 20S proteasome""",Verified ORF
322,2,146723,0.270906339300473,0.175171612564524,0.122875131384939,YBL038W,MRPL16,SGDID:S000000134,CDS,CDS,"""Mitochondrial ribosomal protein of the large subunit; homologous to bacterial L16 ribosomal protein; synthetic lethality with hac1 mutation suggests a possible role in synthesis of precursors for protein glycosylation""",Verified ORF
323,2,147946,0.274412284170947,0.176771747388065,0.121473662714673,YBL037W,APL3,SGDID:S000000133,CDS,CDS,"""Alpha-adaptin; large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport""",Verified ORF
326,2,151397,0.191904198179143,0.177523938427526,0.280433016610503,YBL036C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
327,2,153035,0.271258862451007,0.175288229012075,0.122638295950266,XUT_2F-43,,,Unstable transcript,XUT,ncRNA_TFO,Unstable transcript
328,2,153228,0.204661176909565,0.176830010196017,0.247895850614564,YBL035C,POL12,SGDID:S000000131,CDS,CDS,"""B subunit of DNA polymerase alpha-primase complex; required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation""",Verified ORF
329,2,153455,0.206989292225306,0.178162092404069,0.246100341850117,YBL035C,POL12,SGDID:S000000131,CDS,CDS,"""B subunit of DNA polymerase alpha-primase complex; required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation""",Verified ORF
331,2,153815,0.224809127833805,0.177414499805867,0.20594032242129,YBL035C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
332,2,154160,0.250498006047741,0.1754485335512,0.154245649819186,YBL034C,STU1,SGDID:S000000130,CDS,CDS,"""Microtubule plus-end-tracking non-motor protein; binds to MTs ; stabilizing interpolar MT plus ends ; facilitating polymerization of spindle MTs and producing an outward force on spindle poles; required for structural integrity of the mitotic spindle; binds detached kinetochores (KTs) and promotes capture; relocalizes to MTs and stabilizes the spindle once captured KTs reach a spindle pole; localizes to the spindle ; spindles poles ; and detached KTs; CLASP family member homologous to human CLASP1/2""",Verified ORF
333,2,154235,0.200259067520079,0.177391499048499,0.25970233255648,YBL034C,STU1,SGDID:S000000130,CDS,CDS,"""Microtubule plus-end-tracking non-motor protein; binds to MTs ; stabilizing interpolar MT plus ends ; facilitating polymerization of spindle MTs and producing an outward force on spindle poles; required for structural integrity of the mitotic spindle; binds detached kinetochores (KTs) and promotes capture; relocalizes to MTs and stabilizes the spindle once captured KTs reach a spindle pole; localizes to the spindle ; spindles poles ; and detached KTs; CLASP family member homologous to human CLASP1/2""",Verified ORF
335,2,159870,0.325483380098078,0.172354561574031,0.0597849552014751,YBL032W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
336,2,161229,0.275635619527379,0.17526888607127,0.116697028790417,YBL032W,HEK2,SGDID:S000000128,CDS,CDS,"""RNA binding protein involved in asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA ; an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K""",Verified ORF
339,2,162696,0.389761719977202,0.173891982967503,0.0256210460056823,YBL031W,SHE1,SGDID:S000000127,CDS,CDS,"""Mitotic spindle protein; interacts with components of the Dam1 (DASH) complex ; its effector Sli15p ; and microtubule-associated protein Bim1p; also localizes to nuclear microtubules and to the bud neck in a ring-shaped structure; inhibits dynein function""",Verified ORF
340,2,163284,0.388166111476094,0.171564906041813,0.0242736263199211,YBL030C,PET9,SGDID:S000000126,CDS,CDS,"""Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog ; AAC3 ; that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant""",Verified ORF
341,2,164166,0.267469366838611,0.173826895801139,0.124770720167742,YBL030C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
342,2,165270,0.227323579748189,0.172518386295328,0.188466189847144,YBL029C-A_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
343,2,165675,0.204636056802082,0.175462530312188,0.244294079414846,YBL029C-A,YBL029C-A,SGDID:S000007591,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; protein abundance increases in response to DNA replication stress; has potential orthologs in Saccharomyces species and in Yarrowia lipolytica""",Verified ORF
346,2,168062,0.0901563276800432,0.17415444856839,0.605005605271285,YBL027W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
347,2,168518,0.0660194832594163,0.17318735336952,0.703282189109028,YBL028C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
348,2,168980,0.100808838247066,0.173057602571857,0.560590991355773,YBL027W,RPL19B,SGDID:S000000123,Close to 3'-UTR,Close to 3'-UTR,"""Ribosomal 60S subunit protein L19B; rpl19a and rpl19b single null mutations result in slow growth ; while the double null mutation is lethal; homologous to mammalian ribosomal protein L19 ; no bacterial homolog; RPL19B has a paralog ; RPL19A ; that arose from the whole genome duplication""",Verified ORF
349,2,169651,0.117765318486885,0.173109556579926,0.496764519544427,YBL027W,RPL19B,SGDID:S000000123,Close to 3'-UTR,Close to 3'-UTR,"""Ribosomal 60S subunit protein L19B; rpl19a and rpl19b single null mutations result in slow growth ; while the double null mutation is lethal; homologous to mammalian ribosomal protein L19 ; no bacterial homolog; RPL19B has a paralog ; RPL19A ; that arose from the whole genome duplication""",Verified ORF
352,2,170725,0.138578598400679,0.17337452366955,0.424652830484881,YBL026W,LSM2,SGDID:S000000122,Close to 3'-UTR,Close to 3'-UTR,"""Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA ; snoRNA ; and rRNA; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress""",Verified ORF
353,2,171254,0.233008473969369,0.173369158805414,0.179810937756746,YBL025W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
354,2,172242,0.0518859371763143,0.17173538548974,0.762732999666024,YBL024W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
355,2,173254,0.0424291998078604,0.170426457456878,0.803537285961082,YBL024W,NCL1,SGDID:S000000120,CDS,CDS,"""S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide ; causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120""",Verified ORF
356,2,173340,0.0425172778525134,0.17040576697531,0.803114447696426,YBL024W,NCL1,SGDID:S000000120,CDS,CDS,"""S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide ; causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120""",Verified ORF
357,2,173385,0.0398809984706067,0.170564534069778,0.815262086835624,YBL024W,NCL1,SGDID:S000000120,CDS,CDS,"""S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide ; causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120""",Verified ORF
358,2,173973,0.102754960988105,0.170036667021705,0.546025350363466,YBL024W,NCL1,SGDID:S000000120,CDS,CDS,"""S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide ; causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120""",Verified ORF
360,2,177341,0.178374144476144,0.169278917214819,0.292727610542546,YBL023C,MCM2,SGDID:S000000119,CDS,CDS,"""Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
361,2,180314,0.0426175915915903,0.169586655096869,0.801726280150311,YBL022C,PIM1,SGDID:S000000118,CDS,CDS,"""ATP-dependent Lon protease; involved in degradation of misfolded mitochondrial proteins; required for mitochondrial maintenance and biogenesis; regulates mitochondrial DNA copy number with Mrx6p; subunit of a complex containing Mrx6p ; Pet20p ; and Mam33p that may regulate mtDNA replication; protease-independent ; chaperone-like function in mitochondrial membrane complex assembly; localizes to the mitochondrial matrix""",Verified ORF
362,2,180339,0.032820768217049,0.170021332637245,0.847039348973841,YBL022C,PIM1,SGDID:S000000118,CDS,CDS,"""ATP-dependent Lon protease; involved in degradation of misfolded mitochondrial proteins; required for mitochondrial maintenance and biogenesis; regulates mitochondrial DNA copy number with Mrx6p; subunit of a complex containing Mrx6p ; Pet20p ; and Mam33p that may regulate mtDNA replication; protease-independent ; chaperone-like function in mitochondrial membrane complex assembly; localizes to the mitochondrial matrix""",Verified ORF
363,2,182758,0.15043207446579,0.16923122787051,0.374654421484227,YBL020W,RFT1,SGDID:S000000116,CDS,CDS,"""Membrane protein required for translocation of Man5GlcNac2-PP-Dol; required for translocation of Man5GlcNac2-PP-Dol from the cytoplasmic side to the lumenal side of the ER membrane but is not the flippase; mutation is suppressed by expression of human p53 protein; essential gene""",Verified ORF
364,2,183619,0.0963705303966431,0.17001032434763,0.571175636378148,YBL020W,RFT1,SGDID:S000000116,CDS,CDS,"""Membrane protein required for translocation of Man5GlcNac2-PP-Dol; required for translocation of Man5GlcNac2-PP-Dol from the cytoplasmic side to the lumenal side of the ER membrane but is not the flippase; mutation is suppressed by expression of human p53 protein; essential gene""",Verified ORF
367,2,187176,0.01429543751942,0.171011989572977,0.9334272661834,YBL017C,PEP1,SGDID:S000000113,CDS,CDS,"""Type I transmembrane sorting receptor for multiple vacuolar hydrolases; cycles between the late-Golgi and prevacuolar endosome-like compartments""",Verified ORF
368,2,191066,0.0491093887761223,0.172272263412614,0.775758870198406,YBL017C,PEP1,SGDID:S000000113,CDS,CDS,"""Type I transmembrane sorting receptor for multiple vacuolar hydrolases; cycles between the late-Golgi and prevacuolar endosome-like compartments""",Verified ORF
371,2,191599,0.0077056466190157,0.169904331853943,0.963851703024899,YBL017C,PEP1,SGDID:S000000113,Close to 3'-UTR,Close to 3'-UTR,"""Type I transmembrane sorting receptor for multiple vacuolar hydrolases; cycles between the late-Golgi and prevacuolar endosome-like compartments""",Verified ORF
373,2,191763,0.0009344597563204,0.170577734354027,0.995632141401239,YBL017C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
374,2,191959,-0.0236915573759817,0.170156866314129,0.889344938383354,YBL017C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
376,2,195759,0.150045611936203,0.171436721662943,0.382046904723688,YBL015W,ACH1,SGDID:S000000111,Close to 3'-UTR,Close to 3'-UTR,"""Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth""",Verified ORF
377,2,196912,0.171760101595312,0.1685990078318,0.309019753502818,B:195703-197015,,,Intergenic region,Intergenic region,between YBL015W and YBLCdelta7,Intergenic region
379,2,198110,0.127685054685149,0.169722516982954,0.45236208463394,YBL014C,RRN6,SGDID:S000000110,Close to 3'-UTR,Close to 3'-UTR,"""Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p ; Rrn7p ; and Rrn11p""",Verified ORF
381,2,198805,0.126154108128202,0.170457956603906,0.459737746424367,YBL014C,RRN6,SGDID:S000000110,Close to 3'-UTR,Close to 3'-UTR,"""Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p ; Rrn7p ; and Rrn11p""",Verified ORF
382,2,198891,0.132636990279172,0.169114077037702,0.433387236013676,YBL014C,RRN6,SGDID:S000000110,Close to 3'-UTR,Close to 3'-UTR,"""Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p ; Rrn7p ; and Rrn11p""",Verified ORF
383,2,199248,0.13046739420404,0.169505739132432,0.441996715991464,YBL014C,RRN6,SGDID:S000000110,CDS,CDS,"""Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p ; Rrn7p ; and Rrn11p""",Verified ORF
384,2,201782,0.114436430819398,0.169329933979657,0.499597900785229,YBL013W_NFR/NDR,,,Promoter,Promoter,,Promoter
385,2,203285,0.28487828802884,0.168100087796647,0.0910153206155146,YBL011W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
386,2,203783,0.247358491332953,0.167903719143861,0.141583836777704,YBL012C,YBL012C,SGDID:S000000108,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
387,2,204179,0.242548812413354,0.168332322566879,0.150501410759518,YBL011W,SCT1,SGDID:S000000107,CDS,CDS,"""Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; dual substrate-specific acyltransferase of the glycerolipid biosynthesis pathway; prefers 16-carbon fatty acids; similar to Gpt2p; gene is constitutively transcribed""",Verified ORF
388,2,205406,0.154863480981535,0.170361918747111,0.363956402686285,YBL011W,SCT1,SGDID:S000000107,CDS,CDS,"""Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; dual substrate-specific acyltransferase of the glycerolipid biosynthesis pathway; prefers 16-carbon fatty acids; similar to Gpt2p; gene is constitutively transcribed""",Verified ORF
389,2,205834,0.167886331214359,0.169508931901583,0.322643540566966,YBL011W,SCT1,SGDID:S000000107,Close to 3'-UTR,Close to 3'-UTR,"""Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; dual substrate-specific acyltransferase of the glycerolipid biosynthesis pathway; prefers 16-carbon fatty acids; similar to Gpt2p; gene is constitutively transcribed""",Verified ORF
391,2,207192,0.101885255554869,0.169498840960396,0.548161119250561,YBL009W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
392,2,207561,0.0879184863524634,0.168771118221078,0.602739891163555,YBL009W,ALK2,SGDID:S000000105,CDS,CDS,"""Atypical protein kinase; along with its paralog ; ALK1 ; required for proper spindle positioning and nuclear segregation following mitotic arrest ; proper organization of cell polarity factors in mitosis ; proper localization of formins and polarity factors ; and survival in cells that activate spindle assembly checkpoint; negatively regulates the morphogenesis checkpoint in response to polarity insults in opposition to ALK1; phosphorylated in response to DNA damage; similar to mammalian haspins""",Verified ORF
393,2,208682,0.0667660015307759,0.168514482806053,0.692194403745563,YBL009W,ALK2,SGDID:S000000105,CDS,CDS,"""Atypical protein kinase; along with its paralog ; ALK1 ; required for proper spindle positioning and nuclear segregation following mitotic arrest ; proper organization of cell polarity factors in mitosis ; proper localization of formins and polarity factors ; and survival in cells that activate spindle assembly checkpoint; negatively regulates the morphogenesis checkpoint in response to polarity insults in opposition to ALK1; phosphorylated in response to DNA damage; similar to mammalian haspins""",Verified ORF
394,2,210102,0.0741633993739206,0.16894113637677,0.66093765879498,YBL008W,HIR1,SGDID:S000000104,CDS,CDS,"""Subunit of the HIR complex; HIR is a nucleosome assembly complex involved in regulation of histone gene transcription; contributes to nucleosome formation ; heterochromatic gene silencing ; and formation of functional kinetochores""",Verified ORF
396,2,214801,0.081226472343509,0.168923889520912,0.630923437395304,YBL007C,SLA1,SGDID:S000000103,CDS,CDS,"""Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains""",Verified ORF
397,2,215016,0.0698860705460934,0.168841819054619,0.679188122573769,YBL007C,SLA1,SGDID:S000000103,CDS,CDS,"""Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains""",Verified ORF
398,2,218876,-0.0281570517701508,0.170622193073897,0.869018192576912,YBL005W,PDR3,SGDID:S000000101,CDS,CDS,"""Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); has a role in response to drugs and organic solvents; post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate""",Verified ORF
399,2,227511,-0.082315523271317,0.171780598426814,0.632100269842219,YBL004W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
400,2,230378,-0.0291944966788141,0.169663862447689,0.863479083589179,YBL004W,UTP20,SGDID:S000000100,CDS,CDS,"""Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA""",Verified ORF
401,2,231943,-0.0482742465494989,0.170138033041936,0.776779218580276,YBL004W,UTP20,SGDID:S000000100,CDS,CDS,"""Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA""",Verified ORF
402,2,232156,-0.047860119211615,0.170068606834458,0.778555821945943,YBL004W,UTP20,SGDID:S000000100,CDS,CDS,"""Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA""",Verified ORF
403,2,232789,-0.0274877082846333,0.169479089010982,0.8712495202351,YBL004W,UTP20,SGDID:S000000100,CDS,CDS,"""Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA""",Verified ORF
404,2,238524,-0.0198466482913727,0.169720629855556,0.906976352923444,SUT008,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
405,2,241518,-0.108984339889099,0.171099059002165,0.524559633666055,YBR001C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
406,2,250396,-0.2483283842224,0.169515813731663,0.14383073851099,YBR007C,DSF2,SGDID:S000000211,CDS,CDS,"""Deletion suppressor of mpt5 mutation; relocalizes from bud neck to cytoplasm upon DNA replication stress""",Verified ORF
407,2,250466,-0.211640884693418,0.169596580406017,0.2128919848331,YBR007C,DSF2,SGDID:S000000211,CDS,CDS,"""Deletion suppressor of mpt5 mutation; relocalizes from bud neck to cytoplasm upon DNA replication stress""",Verified ORF
408,2,252305,-0.18280179476214,0.170142828647238,0.283376391857941,YBR008C,FLR1,SGDID:S000000212,Close to 3'-UTR,Close to 3'-UTR,"""Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; involved in efflux of fluconazole ; diazaborine ; benomyl ; methotrexate ; and other drugs; expression induced in cells treated with the mycotoxin patulin; relocalizes from nucleus to plasma membrane upon DNA replication stress""",Verified ORF
409,2,254571,-0.0567388726652673,0.172788022434355,0.74282456624488,YBR008C,FLR1,SGDID:S000000212,Close to 3'-UTR,Close to 3'-UTR,"""Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; involved in efflux of fluconazole ; diazaborine ; benomyl ; methotrexate ; and other drugs; expression induced in cells treated with the mycotoxin patulin; relocalizes from nucleus to plasma membrane upon DNA replication stress""",Verified ORF
