SNP,Chr,Pos,Effect,SE,HNM1_MAM33_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
1115,3,217647,0.0037002531375751,0.0672718280695984,0.956165997716602,YCR053W,THR4,SGDID:S000000649,CDS,CDS,"""Threonine synthase; conserved protein that catalyzes formation of threonine from O-phosphohomoserine; expression is regulated by the GCN4-mediated general amino acid control pathway""",Verified ORF
1117,3,218769,-0.0262318169384197,0.0680327314731423,0.70004264948753,YCR054C,CTR86,SGDID:S000000650,CDS,CDS,"""Essential protein of unknown function; with orthologs in Ashbya gossypii and Candida albicans; similar to human ATXN10 ; mutations in which cause spinocerebellar ataxia type 10; codon usage corresponds to that observed for yeast genes expressed at low levels; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
1118,3,219050,-0.0390280741835791,0.0673781545970814,0.562797171258183,YCR054C,CTR86,SGDID:S000000650,CDS,CDS,"""Essential protein of unknown function; with orthologs in Ashbya gossypii and Candida albicans; similar to human ATXN10 ; mutations in which cause spinocerebellar ataxia type 10; codon usage corresponds to that observed for yeast genes expressed at low levels; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
1119,3,221006,-0.0735762037228511,0.067169262046098,0.27409477928047,YCR057C,PWP2,SGDID:S000000653,CDS,CDS,"""Conserved 90S pre-ribosomal component; essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0 ; A1 ; and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis""",Verified ORF
1120,3,221813,-0.078566002425682,0.0670603985086758,0.242159585832311,YCR057C,PWP2,SGDID:S000000653,CDS,CDS,"""Conserved 90S pre-ribosomal component; essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0 ; A1 ; and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis""",Verified ORF
1121,3,222829,-0.0640042802454576,0.0672950336183076,0.34220455106614,YCR057C,PWP2,SGDID:S000000653,CDS,CDS,"""Conserved 90S pre-ribosomal component; essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0 ; A1 ; and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis""",Verified ORF
1122,3,224310,-0.0070721768589673,0.0680427028228151,0.917278108281831,YCR060W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1124,3,226294,-0.0929407899074519,0.0670595268687029,0.16663870423864,YCR061W,YCR061W,SGDID:S000000657,CDS,CDS,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; non-essential gene; upregulated by and required for tolerance to 4-Methylcyclohexane methanol; induced by treatment with 8-methoxypsoralen and UVA irradiation; contains 10-11 predicted transmembrane domains""",Verified ORF
1125,3,226510,-0.0885706421884682,0.0670058974549246,0.187079543826804,YCR061W,YCR061W,SGDID:S000000657,CDS,CDS,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; non-essential gene; upregulated by and required for tolerance to 4-Methylcyclohexane methanol; induced by treatment with 8-methoxypsoralen and UVA irradiation; contains 10-11 predicted transmembrane domains""",Verified ORF
1126,3,227816,-0.074109775857048,0.0683918103797168,0.279279101207789,tS(CGA)C_NFR/NDR,,,Promoter,Promoter,,Promoter
1127,3,228048,-0.0717809128344694,0.0671988332541866,0.286166150719271,tS(CGA)C_NFR/NDR,,,Promoter,Promoter,,Promoter
1130,3,229351,-0.0555405057825051,0.0672911226917793,0.409715351543445,YCR065W,HCM1,SGDID:S000000661,CDS,CDS,"""Forkhead transcription factor; drives S-phase activation of genes involved in chromosome segregation ; spindle dynamics ; budding; also activates genes involved in respiration ; use of alternative energy sources ; NAD synthesis ; oxidative stress resistance; regulated by cell wall integrity checkpoint; key factor in early adaptation to nutrient deficiency and diauxic shift; suppressor of calmodulin mutants with specific SPB assembly defects; ortholog of C. elegans lifespan regulator PHA-4""",Verified ORF
1131,3,230175,-0.0396295723973495,0.0670165275791378,0.554670915505926,YCR065W,HCM1,SGDID:S000000661,CDS,CDS,"""Forkhead transcription factor; drives S-phase activation of genes involved in chromosome segregation ; spindle dynamics ; budding; also activates genes involved in respiration ; use of alternative energy sources ; NAD synthesis ; oxidative stress resistance; regulated by cell wall integrity checkpoint; key factor in early adaptation to nutrient deficiency and diauxic shift; suppressor of calmodulin mutants with specific SPB assembly defects; ortholog of C. elegans lifespan regulator PHA-4""",Verified ORF
1132,3,233663,-0.0033734506022865,0.0672100827321214,0.959997275183185,YCR067C,SED4,SGDID:S000000663,CDS,CDS,"""Integral ER membrane protein that stimulates Sar1p GTPase activity; involved in COPII vesicle budding through disassociation of coat proteins from membranes onto liposomes; binds Sec16p; SED4 has a paralog ; SEC12 ; that arose from the whole genome duplication""",Verified ORF
1133,3,234438,-0.0153543979283744,0.0671013218039588,0.819138161392349,YCR067C,SED4,SGDID:S000000663,CDS,CDS,"""Integral ER membrane protein that stimulates Sar1p GTPase activity; involved in COPII vesicle budding through disassociation of coat proteins from membranes onto liposomes; binds Sec16p; SED4 has a paralog ; SEC12 ; that arose from the whole genome duplication""",Verified ORF
1134,3,235617,0.0120623611935005,0.0672930714855174,0.857843334697725,YCR067C,SED4,SGDID:S000000663,CDS,CDS,"""Integral ER membrane protein that stimulates Sar1p GTPase activity; involved in COPII vesicle budding through disassociation of coat proteins from membranes onto liposomes; binds Sec16p; SED4 has a paralog ; SEC12 ; that arose from the whole genome duplication""",Verified ORF
1135,3,237105,-0.041460087785408,0.0669405823699678,0.536081027518424,YCR068W_NFR/NDR,,,Promoter,Promoter,,Promoter
1136,3,238714,-0.0258700767575874,0.0669101953368564,0.69925659856518,YCR068W,ATG15,SGDID:S000000664,CDS,CDS,"""Phospholipase; preferentially hydrolyses phosphatidylserine ; with minor activity against cardiolipin and phosphatidylethanolamine; required for lysis of autophagic and CVT bodies; targeted to intravacuolar vesicles during autophagy via the multivesicular body (MVB) pathway; required for the maintenance of lipid droplet quantity after the diauxic shift; regulates lipolysis; expression regulated by Yap1p during autophagy""",Verified ORF
1137,3,238914,-0.019801786392862,0.0672942903052752,0.768734817139504,YCR069W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1138,3,241126,-0.0266076803079109,0.0671900804881354,0.692339789875039,YCR072C,RSA4,SGDID:S000000668,CDS,CDS,"""Ribosomal large subunit (60S) assembly factor; association of the N-terminal ubiquitin-like (UBL) domain of this preribosomal factor with the MIDAS domain in the Rea1p tail ; promoted by the GTPase Nog2p ; is required for the ATP-dependent dissociation of preribosomal factors including the Rix1p subcomplex ; Rea1p ; Nog2p and Rsa1p itself prior to nuclear export of pre-60S particles; contains WD-repeats and a UBL domain; localizes to the nucleolus""",Verified ORF
1140,3,242578,-0.0297020345176801,0.0673900174123145,0.659665030072943,XUT_3F-108,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
1141,3,245238,-0.0507281163402411,0.0675307910408796,0.453041816360603,YCR073C,SSK22,SGDID:S000000669,CDS,CDS,"""MAP kinase kinase kinase of HOG1 mitogen-activated signaling pathway; functionally redundant with Ssk2p; interacts with and is activated by Ssk1p; phosphorylates Pbs2p; SSK22 has a paralog ; SSK2 ; that arose from the whole genome duplication""",Verified ORF
1142,3,247158,-0.0738415878026743,0.0668025473692191,0.269751737805304,YCR073W-A,SOL2,SGDID:S000000718,CDS,CDS,"""Protein with a possible role in tRNA export; shows similarity to 6-phosphogluconolactonase non-catalytic domains but does not exhibit this enzymatic activity; homologous to Sol3p and Sol4p; SOL2 has a paralog ; SOL1 ; that arose from the whole genome duplication""",Verified ORF
1144,3,248454,-0.0479157640240379,0.0669726702645362,0.474802431723036,YCR075C,ERS1,SGDID:S000000671,CDS,CDS,"""Protein involved in cystine transport; localizes to the vacuole ; plasma membrane and endosome; similarity to human cystinosin ; a H(+)-driven transporter involved in L-cystine export from lysosomes and implicated in the disease cystinosis; contains seven transmembrane domains; mutation is functionally complemented by human CTNS""",Verified ORF
1146,3,249928,-0.0687618647188734,0.0671874527722022,0.306803938111832,YCR076C,FUB1,SGDID:S000000672,CDS,CDS,"""Proteasome-binding protein; interacts physically with multiple subunits of the 20S proteasome and genetically with genes encoding 20S core particle and 19S regulatory particle subunits; exhibits boundary activity which blocks the propagation of heterochromatic silencing; contains a PI31 proteasome regulator domain and sequence similarity with human PSMF1 ; a proteasome inhibitor; not an essential gene""",Verified ORF
1147,3,251255,-0.110610819091301,0.0671838688623347,0.10057353906332,YCR077C,PAT1,SGDID:S000000673,CDS,CDS,"""Deadenylation-dependent mRNA-decapping factor; also required for faithful chromosome transmission ; maintenance of rDNA locus stability ; and protection of mRNA 3'-UTRs from trimming; associated with topoisomerase II; binds to mRNAs under glucose starvation ; most often in the 3' UTR; functionally linked to Pab1p; forms cytoplasmic foci upon DNA replication stress; phosphorylation by PKA inhibits P body foci formation""",Verified ORF
1148,3,251274,-0.112150628536787,0.0671766368247696,0.0959071078763044,YCR077C,PAT1,SGDID:S000000673,CDS,CDS,"""Deadenylation-dependent mRNA-decapping factor; also required for faithful chromosome transmission ; maintenance of rDNA locus stability ; and protection of mRNA 3'-UTRs from trimming; associated with topoisomerase II; binds to mRNAs under glucose starvation ; most often in the 3' UTR; functionally linked to Pab1p; forms cytoplasmic foci upon DNA replication stress; phosphorylation by PKA inhibits P body foci formation""",Verified ORF
1149,3,251879,-0.114320049363669,0.0671204506265538,0.0894094360893082,YCR077C,PAT1,SGDID:S000000673,CDS,CDS,"""Deadenylation-dependent mRNA-decapping factor; also required for faithful chromosome transmission ; maintenance of rDNA locus stability ; and protection of mRNA 3'-UTRs from trimming; associated with topoisomerase II; binds to mRNAs under glucose starvation ; most often in the 3' UTR; functionally linked to Pab1p; forms cytoplasmic foci upon DNA replication stress; phosphorylation by PKA inhibits P body foci formation""",Verified ORF
1150,3,251939,-0.109530887430479,0.0670678192956862,0.103331929211674,YCR077C,PAT1,SGDID:S000000673,CDS,CDS,"""Deadenylation-dependent mRNA-decapping factor; also required for faithful chromosome transmission ; maintenance of rDNA locus stability ; and protection of mRNA 3'-UTRs from trimming; associated with topoisomerase II; binds to mRNAs under glucose starvation ; most often in the 3' UTR; functionally linked to Pab1p; forms cytoplasmic foci upon DNA replication stress; phosphorylation by PKA inhibits P body foci formation""",Verified ORF
1151,3,252801,-0.13671010960454,0.066905363236858,0.0417613020473159,YCR079W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1152,3,253109,-0.133870825893953,0.0666328952881615,0.045289547947181,YCR079W,PTC6,SGDID:S000002133,CDS,CDS,"""Mitochondrial type 2C protein phosphatase (PP2C); has similarity to mammalian PP1Ks; involved in mitophagy; null mutant is sensitive to rapamycin and has decreased phosphorylation of the Pda1 subunit of pyruvate dehydrogenase""",Verified ORF
1153,3,253118,-0.133297574906219,0.0666573718111459,0.0462939834206706,YCR079W,PTC6,SGDID:S000002133,CDS,CDS,"""Mitochondrial type 2C protein phosphatase (PP2C); has similarity to mammalian PP1Ks; involved in mitophagy; null mutant is sensitive to rapamycin and has decreased phosphorylation of the Pda1 subunit of pyruvate dehydrogenase""",Verified ORF
1154,3,253321,-0.152582028595562,0.0666040151396305,0.0225589498721166,YCR079W,PTC6,SGDID:S000002133,CDS,CDS,"""Mitochondrial type 2C protein phosphatase (PP2C); has similarity to mammalian PP1Ks; involved in mitophagy; null mutant is sensitive to rapamycin and has decreased phosphorylation of the Pda1 subunit of pyruvate dehydrogenase""",Verified ORF
1155,3,253394,-0.147235792990006,0.0668721945068405,0.0283294302417475,YCR079W,PTC6,SGDID:S000002133,CDS,CDS,"""Mitochondrial type 2C protein phosphatase (PP2C); has similarity to mammalian PP1Ks; involved in mitophagy; null mutant is sensitive to rapamycin and has decreased phosphorylation of the Pda1 subunit of pyruvate dehydrogenase""",Verified ORF
1156,3,254361,-0.0630599290789016,0.0673911401375435,0.350051774863508,YCR081W_NFR/NDR,,,Promoter,Promoter,,Promoter
1157,3,254926,-0.11338908453726,0.0670834937968001,0.0918594831662425,YCR081W,SRB8,SGDID:S000000677,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression""",Verified ORF
1158,3,256359,-0.112026936801831,0.0671497192128088,0.096139765275406,YCR081W,SRB8,SGDID:S000000677,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression""",Verified ORF
1159,3,256593,-0.0942680745173324,0.0674476587501604,0.16309655509017,YCR081W,SRB8,SGDID:S000000677,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression""",Verified ORF
1160,3,256989,-0.09030053052257,0.0671151879315593,0.179341634432606,YCR081W,SRB8,SGDID:S000000677,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression""",Verified ORF
1161,3,257462,-0.0959908904037987,0.0669694865687763,0.152642174715802,YCR081W,SRB8,SGDID:S000000677,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression""",Verified ORF
1162,3,258273,-0.0807175055092553,0.0671091517868737,0.229867808240911,YCR081W,SRB8,SGDID:S000000677,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression""",Verified ORF
1163,3,258343,-0.0773713986746818,0.0672284093541254,0.250563228250567,YCR081W,SRB8,SGDID:S000000677,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression""",Verified ORF
1164,3,258579,-0.0751453414575918,0.0671884130083391,0.264145153497831,YCR081W,SRB8,SGDID:S000000677,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression""",Verified ORF
1165,3,258768,-0.0768441960759404,0.0673673185309297,0.254778607572546,YCR082W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1166,3,258781,-0.0746606894370507,0.0672370916107269,0.267578510793936,YCR082W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1167,3,258828,-0.0655360085948963,0.0670267192470238,0.328862899774059,YCR082W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1168,3,259020,-0.0429287906354197,0.0676535274799995,0.526140246532155,YCR082W,AHC2,SGDID:S000000678,CDS,CDS,"""Component of the ADA histone acetyltransferase complex; Ahc2p and Ahc1p are unique to the ADA complex and not shared with the related SAGA and SLIK complexes; may tether Ahc1p to the complex""",Verified ORF
1169,3,259458,-0.0108482734238117,0.0673519419934097,0.872131622961815,YCR083W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1171,3,261281,-0.0662811506344009,0.067237318029949,0.324916646521691,YCR084C,TUP1,SGDID:S000000680,CDS,CDS,"""General repressor of transcription ; forms complex with Cyc8p; involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4 and stabilization of nucleosomes over promoters; appears to enhance expression of some genes""",Verified ORF
1172,3,262631,-0.0326439965434104,0.0673186180060444,0.628035426448307,YCR085W_NFR/NDR,,,Promoter,Promoter,,Promoter
1173,3,265059,-0.144420447055286,0.0670424460245824,0.0319035965381152,YCR088W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1174,3,267625,-0.111043470274725,0.067512291604667,0.100903509235104,YCR089W,FIG2,SGDID:S000000685,CDS,CDS,"""Cell wall adhesin ; expressed specifically during mating; may be involved in maintenance of cell wall integrity during mating; FIG2 has a paralog ; AGA1 ; that arose from the whole genome duplication""",Verified ORF
1178,3,274530,-0.0653816351822928,0.0679502789249906,0.336608697576793,YCR091W,KIN82,SGDID:S000000687,CDS,CDS,"""Putative serine/threonine protein kinase; implicated in the regulation of phospholipid asymmetry through the activation of phospholipid translocases (flippases); involved in the phosphorylation of upstream inhibitory kinase Ypk1p along with Fpk1p; has a redundant role in the cellular response to mating pheromone; KIN82 has a paralog ; FPK1 ; that arose from the whole genome duplication""",Verified ORF
1179,3,274845,-0.0687766369912465,0.0673090896879085,0.307573842496628,YCR091W,KIN82,SGDID:S000000687,CDS,CDS,"""Putative serine/threonine protein kinase; implicated in the regulation of phospholipid asymmetry through the activation of phospholipid translocases (flippases); involved in the phosphorylation of upstream inhibitory kinase Ypk1p along with Fpk1p; has a redundant role in the cellular response to mating pheromone; KIN82 has a paralog ; FPK1 ; that arose from the whole genome duplication""",Verified ORF
1180,3,275765,-0.0571851519572142,0.067782512304566,0.399432753625966,YCR091W,KIN82,SGDID:S000000687,CDS,CDS,"""Putative serine/threonine protein kinase; implicated in the regulation of phospholipid asymmetry through the activation of phospholipid translocases (flippases); involved in the phosphorylation of upstream inhibitory kinase Ypk1p along with Fpk1p; has a redundant role in the cellular response to mating pheromone; KIN82 has a paralog ; FPK1 ; that arose from the whole genome duplication""",Verified ORF
1181,3,278462,-0.0694154216004017,0.0677534380542454,0.306286631945484,YCR092C,MSH3,SGDID:S000000688,CDS,CDS,"""Mismatch repair protein; forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends ; contains a PCNA (Pol30p) binding motif required for genome stability""",Verified ORF
1182,3,278675,-0.0656261002184853,0.0678916592720537,0.334390910065654,YCR092C,MSH3,SGDID:S000000688,CDS,CDS,"""Mismatch repair protein; forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends ; contains a PCNA (Pol30p) binding motif required for genome stability""",Verified ORF
1183,3,278791,-0.0719016169150485,0.0682909778303017,0.293120098137039,YCR092C,MSH3,SGDID:S000000688,CDS,CDS,"""Mismatch repair protein; forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends ; contains a PCNA (Pol30p) binding motif required for genome stability""",Verified ORF
1184,3,282537,-0.0607453966306668,0.0690638062338726,0.379698934194542,YCR093W,CDC39,SGDID:S000000689,CDS,CDS,"""Subunit of the CCR4-NOT1 core complex; this complex has multiple roles in the regulation of mRNA levels including regulation of transcription and destabilization of mRNA by deadenylation; basal transcription factor that increases initiation and elongation; activates the ATPase activity of Dhh1p ; resulting in processing body disassembly""",Verified ORF
1185,3,284743,-0.0519088508140555,0.0681974262630893,0.447072317132113,YCR093W,CDC39,SGDID:S000000689,CDS,CDS,"""Subunit of the CCR4-NOT1 core complex; this complex has multiple roles in the regulation of mRNA levels including regulation of transcription and destabilization of mRNA by deadenylation; basal transcription factor that increases initiation and elongation; activates the ATPase activity of Dhh1p ; resulting in processing body disassembly""",Verified ORF
1186,3,285299,-0.0373859255449565,0.0684529009808302,0.585304081761873,YCR093W,CDC39,SGDID:S000000689,CDS,CDS,"""Subunit of the CCR4-NOT1 core complex; this complex has multiple roles in the regulation of mRNA levels including regulation of transcription and destabilization of mRNA by deadenylation; basal transcription factor that increases initiation and elongation; activates the ATPase activity of Dhh1p ; resulting in processing body disassembly""",Verified ORF
1187,3,285659,-0.0452959428818591,0.0688089029599301,0.510783410842154,YCR093W,CDC39,SGDID:S000000689,CDS,CDS,"""Subunit of the CCR4-NOT1 core complex; this complex has multiple roles in the regulation of mRNA levels including regulation of transcription and destabilization of mRNA by deadenylation; basal transcription factor that increases initiation and elongation; activates the ATPase activity of Dhh1p ; resulting in processing body disassembly""",Verified ORF
1191,3,289803,-0.0317098621524616,0.068306179371986,0.642768248142367,YCR095C,OCA4,SGDID:S000000691,Close to 3'-UTR,Close to 3'-UTR,"""Cytoplasmic protein required for replication of Brome mosaic virus; S. cerevisiae is a model system for studying replication of positive-strand RNA viruses in their natural hosts""",Uncharacterized ORF
1192,3,289856,-0.0415444752255905,0.0682459864382503,0.543084300727413,YCR095C,OCA4,SGDID:S000000691,Close to 3'-UTR,Close to 3'-UTR,"""Cytoplasmic protein required for replication of Brome mosaic virus; S. cerevisiae is a model system for studying replication of positive-strand RNA viruses in their natural hosts""",Uncharacterized ORF
1193,3,289942,-0.0415444752255905,0.0682459864382503,0.543084300727413,YCR095C,OCA4,SGDID:S000000691,Close to 3'-UTR,Close to 3'-UTR,"""Cytoplasmic protein required for replication of Brome mosaic virus; S. cerevisiae is a model system for studying replication of positive-strand RNA viruses in their natural hosts""",Uncharacterized ORF
1194,3,290417,-0.0400594544165469,0.0689040885822488,0.561355457907843,YCR095W-A,YCR095W-A,SGDID:S000029724,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function""",Uncharacterized ORF
1195,3,290527,-0.0287816533603613,0.069664582098218,0.679750391270089,YCR095W-A,YCR095W-A,SGDID:S000029724,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function""",Uncharacterized ORF
1196,3,290957,-0.0517667453660842,0.0690601925352156,0.454001662950209,C:289798-291372,,,Intergenic region,Intergenic region,between YCR095W-A and YCRWdelta12,Intergenic region
1197,3,290963,-0.055990175898557,0.0690786680526233,0.418183027420872,C:289798-291372,,,Intergenic region,Intergenic region,between YCR095W-A and YCRWdelta12,Intergenic region
1198,3,291002,-0.0402185812711759,0.0691689558932639,0.561305458650115,C:289798-291372,,,Intergenic region,Intergenic region,between YCR095W-A and YCRWdelta12,Intergenic region
1199,3,291045,-0.02632560935518,0.0688952850168363,0.702609364192711,C:289798-291372,,,Intergenic region,Intergenic region,between YCR095W-A and YCRWdelta12,Intergenic region
1200,3,291075,-0.0250622632366577,0.0686536187908205,0.7152898765403,C:289798-291372,,,Intergenic region,Intergenic region,between YCR095W-A and YCRWdelta12,Intergenic region
1201,3,291159,-0.0236064014397346,0.0689221736371027,0.732172411924827,YCRWdelta12_NFR/NDR,,,Promoter,Promoter,,Promoter
1206,3,291349,-0.0500827220721254,0.0693907921464147,0.470926719340479,YCRWdelta12_NFR/NDR,,,Promoter,Promoter,,Promoter
1213,3,293851,-0.150972885273569,0.0778496360712573,0.0532627512616144,HMR,HMR,SGDID:S000029655,Other features,Mating-related region,"""Mating-type cassette - right; unexpressed complete copy of the mating-type genes ; silenced by the Sir2 histone deacetylase and its associated SIR1 ; SIR3 and SIR4 proteins; mating-type switching involves replacement of the Ya or Yalpha sequences present at the MAT locus with either the a or alpha genes located at one of the HM loci in a process stimulated by the HO endonuclease; sequence replacement occurs by gene conversion ; leaving the donor unaltered""",silent_mating_type_cassette_array
1214,3,293855,-0.134360122752455,0.0765087385556379,0.0799315198633796,HMR,HMR,SGDID:S000029655,Other features,Mating-related region,"""Mating-type cassette - right; unexpressed complete copy of the mating-type genes ; silenced by the Sir2 histone deacetylase and its associated SIR1 ; SIR3 and SIR4 proteins; mating-type switching involves replacement of the Ya or Yalpha sequences present at the MAT locus with either the a or alpha genes located at one of the HM loci in a process stimulated by the HO endonuclease; sequence replacement occurs by gene conversion ; leaving the donor unaltered""",silent_mating_type_cassette_array
1215,3,295047,-0.0227308569688831,0.069402110336553,0.743465743388423,YCRWdelta13,YCRWdelta13,SGDID:S000006840,Other features,LTR,"""Ty1 LTR""",long_terminal_repeat
1216,3,295867,-0.0347009459745529,0.0691043444481969,0.615873060369374,C:295557-295957,,,Intergenic region,Intergenic region,between YNCC0014W and YCRCdelta14,Intergenic region
1218,3,297295,-0.0250588668205221,0.0681691207391119,0.713392927706499,YCR098C,GIT1,SGDID:S000000695,CDS,CDS,"""Plasma membrane permease; mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate; expression and transport rate are regulated by phosphate and inositol availability""",Verified ORF
1219,3,298996,-0.06833217181451,0.0676963362993572,0.313477834237429,YCR098C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1220,3,299045,-0.0535795664471118,0.0677941444333656,0.429867225619011,YCR098C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1223,3,299701,-0.0806711439200054,0.0680451682864475,0.236596369005717,C:298606-300831,,,Intergenic region,Intergenic region,between YCR098C and YCR099C,Intergenic region
1224,3,302380,-0.0130753998529788,0.067917962991945,0.847447528706709,YCR100C_NFR/NDR,,,Promoter,Promoter,,Promoter
1233,3,306783,-0.0156604853444562,0.0711532888054634,0.82592437171465,YCR102W-A,YCR102W-A,SGDID:S000007231,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
1247,3,311452,-0.0676063361243086,0.0673414898484788,0.316098636071254,YCR106W,RDS1,SGDID:S000000703,CDS,CDS,"""Putative zinc cluster transcription factor; involved in conferring resistance to cycloheximide""",Verified ORF
1248,3,312012,0.136778795406233,0.122639736700423,0.265485121299051,YCR106W,RDS1,SGDID:S000000703,CDS,CDS,"""Putative zinc cluster transcription factor; involved in conferring resistance to cycloheximide""",Verified ORF
1253,4,0,0.0631687576091711,0.073764617283296,0.392381941178098,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1254,4,0,0.0719199549562122,0.0781443542044704,0.358019743412389,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1255,4,0,0.0837815809485729,0.0781033074722325,0.284137581381991,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1257,4,1,0.0892057456177966,0.0849848848656138,0.294589781452361,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1259,4,2,0.0750160909183091,0.107745132320172,0.486738913070501,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1261,4,2,0.0905459305403458,0.116709540945574,0.438373037882167,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1262,4,2,0.10790736522033,0.113837963368548,0.343827206726187,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1263,4,2,0.106798267794977,0.119399732095338,0.371685347579359,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1264,4,3,0.0788592422239454,0.152942971490356,0.606448145188582,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1265,4,3,0.0842982985007446,0.15380859048465,0.583988352754131,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
