SNP,Chr,Pos,Effect,SE,ERG11_TPO4_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
3215,5,406230,0.0673647135679938,0.0576211189857925,0.243153142417972,YER123W,YCK3,SGDID:S000000925,CDS,CDS,"""Palmitoylated vacuolar membrane-localized casein kinase I isoform; negatively regulates vacuole fusion during hypertonic stress via phosphorylation of Vps41p; shares essential functions with Hrr25p; regulates vesicle fusion in AP-3 pathway""",Verified ORF
3217,5,407785,0.0547389525423687,0.0571765185817451,0.339036899853884,YER124C,DSE1,SGDID:S000000926,CDS,CDS,"""Daughter cell-specific protein; may regulate cross-talk between the mating and filamentation pathways; deletion affects cell separation after division and sensitivity to alpha-factor and drugs affecting the cell wall; relocalizes from bud neck to cytoplasm upon DNA replication stress""",Verified ORF
3218,5,409900,0.0620841507342771,0.0573677645073619,0.279896522950671,YER124C,DSE1,SGDID:S000000926,Close to 3'-UTR,Close to 3'-UTR,"""Daughter cell-specific protein; may regulate cross-talk between the mating and filamentation pathways; deletion affects cell separation after division and sensitivity to alpha-factor and drugs affecting the cell wall; relocalizes from bud neck to cytoplasm upon DNA replication stress""",Verified ORF
3223,5,417297,0.0497820052268496,0.057356024337644,0.386012855765654,YER129W,SAK1,SGDID:S000000931,CDS,CDS,"""Upstream serine/threonine kinase for the SNF1 complex; plays a role in pseudohyphal groth; partially redundant with Elm1p and Tos3p; members of this family have functional orthology with LKB1 ; a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome; SAK1 has a paralog ; TOS3 ; that arose from the whole genome duplication""",Verified ORF
3224,5,419108,0.0559527777103876,0.0572722198753031,0.329257040951923,YER129W,SAK1,SGDID:S000000931,CDS,CDS,"""Upstream serine/threonine kinase for the SNF1 complex; plays a role in pseudohyphal groth; partially redundant with Elm1p and Tos3p; members of this family have functional orthology with LKB1 ; a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome; SAK1 has a paralog ; TOS3 ; that arose from the whole genome duplication""",Verified ORF
3225,5,421695,0.0622304945690763,0.0573188106518686,0.278356752723656,YER130C,COM2,SGDID:S000000932,CDS,CDS,"""Transcription factor that binds IME1 Upstream Activation Signal (UAS)ru; COM2 transcription is regulated by Haa1p ; Sok2p and Zap1p transcriptional activators; may bind the IME1 promoter under all growth conditions to negatively regulate its transcription in the absence of a positive regulator that binds more effectively; repressor activity may depend on phosphorylation by PKA; C. albicans homolog (MNL1) plays a role in adaptation to stress""",Verified ORF
3226,5,422560,0.0583411455157929,0.0570206348585461,0.306933575547472,CUT116,,,Unstable transcript,CUT,ncRNA_TFO,Unstable transcript
3227,5,424852,0.0475819413776215,0.0569561674363454,0.404050100542767,YNCE0019W,SNR4,SGDID:S000006493,Non-coding RNA,snoRNA_gene,"""C/D box small nucleolar RNA (snoRNA) but not shown to be active; no target site is predicted within the ribosomal RNAs""",snoRNA_gene
3228,5,425327,0.0451693338172637,0.0568698702651776,0.427579033287457,YER132C,PMD1,SGDID:S000000934,CDS,CDS,"""Protein with an N-terminal kelch-like domain; putative negative regulator of early meiotic gene expression; required ; with Mds3p ; for growth under alkaline conditions; PMD1 has a paralog ; MDS3 ; that arose from the whole genome duplication""",Verified ORF
3229,5,427844,0.0568999492327846,0.0569563545132799,0.318474309722108,YER132C,PMD1,SGDID:S000000934,CDS,CDS,"""Protein with an N-terminal kelch-like domain; putative negative regulator of early meiotic gene expression; required ; with Mds3p ; for growth under alkaline conditions; PMD1 has a paralog ; MDS3 ; that arose from the whole genome duplication""",Verified ORF
3230,5,430235,0.0622737902808558,0.0576847745404989,0.281078192879851,YER132C,PMD1,SGDID:S000000934,CDS,CDS,"""Protein with an N-terminal kelch-like domain; putative negative regulator of early meiotic gene expression; required ; with Mds3p ; for growth under alkaline conditions; PMD1 has a paralog ; MDS3 ; that arose from the whole genome duplication""",Verified ORF
3232,5,430883,0.0491913886764909,0.0569522939504385,0.388322875762695,YER132C,PMD1,SGDID:S000000934,Close to 3'-UTR,Close to 3'-UTR,"""Protein with an N-terminal kelch-like domain; putative negative regulator of early meiotic gene expression; required ; with Mds3p ; for growth under alkaline conditions; PMD1 has a paralog ; MDS3 ; that arose from the whole genome duplication""",Verified ORF
3234,5,431369,0.049659100520918,0.0570902538492229,0.384981663274024,snR52_NFR/NDR,,,Promoter,Promoter,,Promoter
3235,5,432378,0.035723087831722,0.0585395754818775,0.542096648991861,YER133W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
3236,5,432587,0.0532932943003344,0.0571973124317217,0.352105268177297,YER133W,GLC7,SGDID:S000000935,CDS,CDS,"""Type 1 S/T protein phosphatase (PP1) catalytic subunit; involved in glycogen metabolism ; sporulation and mitotic progression; interacts with multiple regulatory subunits; regulates actomyosin ring formation; subunit of CPF; recruited to mating projections by Afr1p interaction; regulates nucleocytoplasmic shuttling of Hxk2p; import into the nucleus is inhibited during spindle assembly checkpoint arrest; involved in dephosphorylating Rps6a/b and Bnr1p""",Verified ORF
3237,5,434634,0.0274812495372173,0.0569315221758105,0.629602932265623,YERCsigma3,YERCsigma3,SGDID:S000006906,Other features,LTR,"""Ty3 LTR""",reverse complement
3238,5,441308,0.0237812762315935,0.057260015074531,0.678159391872859,SCR1_NFR/NDR,,,Promoter,Promoter,,Promoter
3239,5,441594,0.0318906082412548,0.0569533618955825,0.575873798491372,YER137C,YER137C,SGDID:S000000939,CDS,CDS,"""Protein of unknown function""",Verified ORF
3245,5,451448,-0.0047010569462954,0.0575692749512962,0.93496405877618,YER140W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3246,5,456087,-0.0213789668997699,0.0571873901829241,0.708747360553427,YER143W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3247,5,458086,-0.0414080674878815,0.0571316385644588,0.469065009538388,YER144C,UBP5,SGDID:S000000946,CDS,CDS,"""Putative ubiquitin-specific protease; concentrates at the bud neck; UBP5 has a paralog ; DOA4 ; that arose from the whole genome duplication""",Verified ORF
3248,5,461234,-0.021875344940463,0.0568066780712892,0.70040707386551,YER145C,FTR1,SGDID:S000000947,CDS,CDS,"""High affinity iron permease; involved in the transport of iron across the plasma membrane; forms complex with Fet3p; expression is regulated by iron; protein abundance increases in response to DNA replication stress""",Verified ORF
3250,5,463004,-0.0838837007559567,0.0571415006252974,0.142994782853358,YER147C,SCC4,SGDID:S000000949,CDS,CDS,"""Subunit of cohesin loading factor (Scc2p-Scc4p); complex is required for the loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during double-strand break repair via phosphorylated histone H2AX""",Verified ORF
3251,5,465043,-0.0736450679475834,0.0576369323690294,0.202180421140548,YER148W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3252,5,467724,-0.0618316939746639,0.0569961468056888,0.27873290431559,YER149C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3253,5,468076,-0.0610976018482883,0.0571930633491707,0.286128975153538,YER150W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3254,5,469078,-0.0565839026821724,0.0574714706857937,0.325516358737111,YER150W,SPI1,SGDID:S000000952,Close to 3'-UTR,Close to 3'-UTR,"""GPI-anchored cell wall protein involved in weak acid resistance; basal expression requires Msn2p/Msn4p; expression is induced under conditions of stress and during the diauxic shift; SPI1 has a paralog ; SED1 ; that arose from the whole genome duplication""",Verified ORF
3255,5,469404,-0.0482637892510208,0.0577557102536405,0.403914845850225,tV(AAC)E2_NFR/NDR,,,Promoter,Promoter,,Promoter
3256,5,475322,-0.0819651606426,0.0567843224893894,0.149781424704685,YER154W,OXA1,SGDID:S000000956,CDS,CDS,"""Mitochondrial inner membrane insertase; mediates the insertion of both mitochondrial- and nuclear-encoded proteins from the matrix into the inner membrane; also has a role in insertion of carrier proteins into the inner membrane; acts as a voltage-gated ion channel ; activated by substrate peptides; interacts with mitochondrial ribosomes; conserved from bacteria to animals""",Verified ORF
3257,5,475607,-0.0611945506275385,0.0567896761383794,0.281963880345512,YER154W,OXA1,SGDID:S000000956,CDS,CDS,"""Mitochondrial inner membrane insertase; mediates the insertion of both mitochondrial- and nuclear-encoded proteins from the matrix into the inner membrane; also has a role in insertion of carrier proteins into the inner membrane; acts as a voltage-gated ion channel ; activated by substrate peptides; interacts with mitochondrial ribosomes; conserved from bacteria to animals""",Verified ORF
3258,5,475736,-0.07415463602454,0.0566938943427041,0.191730269941598,YER154W,OXA1,SGDID:S000000956,CDS,CDS,"""Mitochondrial inner membrane insertase; mediates the insertion of both mitochondrial- and nuclear-encoded proteins from the matrix into the inner membrane; also has a role in insertion of carrier proteins into the inner membrane; acts as a voltage-gated ion channel ; activated by substrate peptides; interacts with mitochondrial ribosomes; conserved from bacteria to animals""",Verified ORF
3259,5,478715,-0.0396170342258381,0.0574912707946063,0.491215213271089,YER155C,BEM2,SGDID:S000000957,CDS,CDS,"""Rho GTPase activating protein (RhoGAP); contains RhoGAP activity specific for both Rho1p and Cdc42p ; and potentially Rho4p; acts with the RhoGAP Bem3p to negatively regulate Cdc42p-dependent signal transduction; involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence and for the morphogenesis checkpoint in response to actin depolymerization; localizes to sites of polarized growth and the plasma membrane""",Verified ORF
3260,5,478932,-0.0352538199554761,0.0574479246866965,0.539831502093096,YER155C,BEM2,SGDID:S000000957,CDS,CDS,"""Rho GTPase activating protein (RhoGAP); contains RhoGAP activity specific for both Rho1p and Cdc42p ; and potentially Rho4p; acts with the RhoGAP Bem3p to negatively regulate Cdc42p-dependent signal transduction; involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence and for the morphogenesis checkpoint in response to actin depolymerization; localizes to sites of polarized growth and the plasma membrane""",Verified ORF
3261,5,479996,-0.0439399444310568,0.0572454643621715,0.443255346367801,YER155C,BEM2,SGDID:S000000957,CDS,CDS,"""Rho GTPase activating protein (RhoGAP); contains RhoGAP activity specific for both Rho1p and Cdc42p ; and potentially Rho4p; acts with the RhoGAP Bem3p to negatively regulate Cdc42p-dependent signal transduction; involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence and for the morphogenesis checkpoint in response to actin depolymerization; localizes to sites of polarized growth and the plasma membrane""",Verified ORF
3262,5,482003,-0.0146235415338437,0.0570166044922588,0.797730676506626,YER155C,BEM2,SGDID:S000000957,CDS,CDS,"""Rho GTPase activating protein (RhoGAP); contains RhoGAP activity specific for both Rho1p and Cdc42p ; and potentially Rho4p; acts with the RhoGAP Bem3p to negatively regulate Cdc42p-dependent signal transduction; involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence and for the morphogenesis checkpoint in response to actin depolymerization; localizes to sites of polarized growth and the plasma membrane""",Verified ORF
3263,5,482536,-0.0666596123833552,0.056911432593245,0.242273501593712,YER155C,BEM2,SGDID:S000000957,CDS,CDS,"""Rho GTPase activating protein (RhoGAP); contains RhoGAP activity specific for both Rho1p and Cdc42p ; and potentially Rho4p; acts with the RhoGAP Bem3p to negatively regulate Cdc42p-dependent signal transduction; involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence and for the morphogenesis checkpoint in response to actin depolymerization; localizes to sites of polarized growth and the plasma membrane""",Verified ORF
3265,5,484954,-0.0220184661114164,0.0570822198239207,0.699927160000336,YER157W,COG3,SGDID:S000000959,CDS,CDS,"""Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments""",Verified ORF
3266,5,486157,-0.0041735918202573,0.0570052471169123,0.941677158152454,YER157W,COG3,SGDID:S000000959,CDS,CDS,"""Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments""",Verified ORF
3267,5,486882,0.0061127464481934,0.0582465644878344,0.916478228626878,YER157W,COG3,SGDID:S000000959,CDS,CDS,"""Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments""",Verified ORF
3270,5,487404,0.015780847919972,0.0575929705114343,0.784239896771075,tE(UUC)E3_NFR/NDR,,,Promoter,Promoter,,Promoter
3273,5,489636,-0.0026968438237262,0.0570940682015659,0.962352567274169,YER158C,YER158C,SGDID:S000000960,CDS,CDS,"""Protein of unknown function; potentially phosphorylated by Cdc28p; YER158C has a paralog ; AFR1 ; that arose from the whole genome duplication""",Uncharacterized ORF
3274,5,490549,0.0676818509829628,0.0567607423929418,0.233903012192775,YER158C,YER158C,SGDID:S000000960,CDS,CDS,"""Protein of unknown function; potentially phosphorylated by Cdc28p; YER158C has a paralog ; AFR1 ; that arose from the whole genome duplication""",Uncharacterized ORF
3275,5,491806,-0.0400679065705312,0.0567589270272002,0.480696442218073,YER159C,BUR6,SGDID:S000000961,CDS,CDS,"""Subunit of a heterodimeric NC2 transcription regulator complex; complex binds to TBP and can repress transcription by preventing preinitiation complex assembly or stimulate activated transcription; homologous to human NC2alpha; complex also includes Ncb2p; bur6 ncb2 double mutation is functionally complemented by coexpression of human DRAP1 and DR1 ; although the single bur6 mutation is not complemented by its ortholog DRAP1""",Verified ORF
3276,5,491888,-0.0317557816014377,0.0569535753104179,0.577489325721507,YER159C,BUR6,SGDID:S000000961,CDS,CDS,"""Subunit of a heterodimeric NC2 transcription regulator complex; complex binds to TBP and can repress transcription by preventing preinitiation complex assembly or stimulate activated transcription; homologous to human NC2alpha; complex also includes Ncb2p; bur6 ncb2 double mutation is functionally complemented by coexpression of human DRAP1 and DR1 ; although the single bur6 mutation is not complemented by its ortholog DRAP1""",Verified ORF
3279,5,499612,0.004318323560013,0.0568181437344882,0.939460128167516,YER161C,SPT2,SGDID:S000000963,CDS,CDS,"""Protein involved in negative regulation of transcription; required for RNA polyadenylation; exhibits regulated interactions with both histones and SWI-SNF components; relocalizes to the cytosol in response to hypoxia; similar to mammalian HMG1 proteins""",Verified ORF
3280,5,502460,0.0044938890227189,0.0572406115849209,0.937467851488009,YER162C,RAD4,SGDID:S000000964,CDS,CDS,"""Damaged-DNA binding subunit of Nuclear Excision Repair Factor 2; recognizes and binds damaged DNA with Rad23p during nucleotide excision repair (NER); also involved with Rad23p in turnover of ubiquitylated proteins; Rad4p-Rad23p heterodimer binds to promoters of DNA damage response genes to repress their transcription in the absence of DNA damage; RAD4 and RAD51 pathways confer resistance to benzo[a]pyrene dihydrodiol""",Verified ORF
3281,5,504765,0.044746439887374,0.0574291976424231,0.436408453891409,SUT098,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
3282,5,504884,0.0565644627127216,0.0571618839407308,0.32307259102547,SUT098,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
3283,5,509836,0.0368580453968168,0.0578148372055415,0.524200249253049,YER164W,CHD1,SGDID:S000000966,Close to 3'-UTR,Close to 3'-UTR,"""Chromatin remodeler that regulates various aspects of transcription; acts in in conjunction with Isw1b to regulate chromatin structure and maintain chromatin integrity during transcription elongation by RNAP II by preventing trans-histone exchange over coding regions; contains a chromo domain ; a helicase domain and a DNA-binding domain; component of both the SAGA and SLIK complexes""",Verified ORF
3285,5,511350,0.0134992719455773,0.0573767965109911,0.814132452024236,YER165W,PAB1,SGDID:S000000967,CDS,CDS,"""Poly(A) binding protein; interacts with the cleavage factor complex CF I ; mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail ; involved in control of poly(A) tail length ; interacts with translation factor eIF-4G; stimulates ; but is not required for the deadenylation activity of the Pan2p-Pan3p poly(A)-ribonuclease complex""",Verified ORF
3286,5,512696,0.0170303070320329,0.057805702978271,0.768462768244856,YER165C-A,YER165C-A,SGDID:S000028762,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps the verified gene DNF1/YER166W""",Dubious ORF
3287,5,512931,0.0021042302896386,0.0570218067596239,0.970583842428165,YER165C-A,YER165C-A,SGDID:S000028762,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps the verified gene DNF1/YER166W""",Dubious ORF
3288,5,514582,0.0169550255813094,0.0570328348995679,0.76642353961844,YER166W,DNF1,SGDID:S000000968,CDS,CDS,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog ; DNF2 ; that arose from the whole genome duplication""",Verified ORF
3289,5,515315,0.0196474011777956,0.0570502734693008,0.730759957834543,YER166W,DNF1,SGDID:S000000968,CDS,CDS,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog ; DNF2 ; that arose from the whole genome duplication""",Verified ORF
3290,5,515397,0.0246546761717829,0.0569905744868458,0.665562503416964,YER166W,DNF1,SGDID:S000000968,CDS,CDS,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog ; DNF2 ; that arose from the whole genome duplication""",Verified ORF
3291,5,515950,0.0108050187631516,0.0570027789811867,0.849768763027788,YER166W,DNF1,SGDID:S000000968,CDS,CDS,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog ; DNF2 ; that arose from the whole genome duplication""",Verified ORF
3292,5,516091,0.020881017515932,0.0569223859794526,0.71396327876257,YER166W,DNF1,SGDID:S000000968,CDS,CDS,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog ; DNF2 ; that arose from the whole genome duplication""",Verified ORF
3293,5,518207,0.0053800301179547,0.0570049607252755,0.924862216703615,YER166W,DNF1,SGDID:S000000968,Close to 3'-UTR,Close to 3'-UTR,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog ; DNF2 ; that arose from the whole genome duplication""",Verified ORF
3294,5,518275,-0.003072128188639,0.0568451767798769,0.956930856690444,YER167W,BCK2,SGDID:S000000969,CDS,CDS,"""Serine/threonine-rich protein involved in PKC1 signaling pathway; protein kinase C (PKC1) signaling pathway controls cell integrity; overproduction suppresses pkc1 mutations""",Verified ORF
3295,5,519067,0.0030199758972716,0.0571398240309071,0.957879420219898,YER167W,BCK2,SGDID:S000000969,CDS,CDS,"""Serine/threonine-rich protein involved in PKC1 signaling pathway; protein kinase C (PKC1) signaling pathway controls cell integrity; overproduction suppresses pkc1 mutations""",Verified ORF
3296,5,522215,0.0371132053322363,0.0570677732961215,0.51589848401354,YER168C,CCA1,SGDID:S000000970,CDS,CDS,"""ATP (CTP):tRNA-specific tRNA nucleotidyltransferase; different forms targeted to the nucleus ; cytosol ; and mitochondrion are generated via the use of multiple transcriptional and translational start sites; human homolog TRNT1 complements yeast null mutant""",Verified ORF
3298,5,523232,0.0202249056550581,0.0578942479068929,0.727040700641035,YER168C,CCA1,SGDID:S000000970,Close to 3'-UTR,Close to 3'-UTR,"""ATP (CTP):tRNA-specific tRNA nucleotidyltransferase; different forms targeted to the nucleus ; cytosol ; and mitochondrion are generated via the use of multiple transcriptional and translational start sites; human homolog TRNT1 complements yeast null mutant""",Verified ORF
3299,5,524247,0.0384180682370484,0.0574972856187509,0.504460538763638,YER169W,RPH1,SGDID:S000000971,CDS,CDS,"""JmjC domain-containing histone demethylase; targets tri- and dimethylated H3K36; associates with actively transcribed regions and promotes elongation; repressor of autophagy-related genes in nutrient-replete conditions; damage-responsive repressor of PHR1; phosphorylated by the Rad53p-dependent DNA damage checkpoint pathway and by a Rim1p-mediated event during starvation; target of stress-induced hormesis; RPH1 has a paralog ; GIS1 ; that arose from the whole genome duplication""",Verified ORF
3300,5,524532,0.0233909081603096,0.057115589626389,0.682394514557881,YER169W,RPH1,SGDID:S000000971,CDS,CDS,"""JmjC domain-containing histone demethylase; targets tri- and dimethylated H3K36; associates with actively transcribed regions and promotes elongation; repressor of autophagy-related genes in nutrient-replete conditions; damage-responsive repressor of PHR1; phosphorylated by the Rad53p-dependent DNA damage checkpoint pathway and by a Rim1p-mediated event during starvation; target of stress-induced hormesis; RPH1 has a paralog ; GIS1 ; that arose from the whole genome duplication""",Verified ORF
3301,5,524625,0.0278801812682837,0.0571008050497653,0.625667080439096,YER169W,RPH1,SGDID:S000000971,CDS,CDS,"""JmjC domain-containing histone demethylase; targets tri- and dimethylated H3K36; associates with actively transcribed regions and promotes elongation; repressor of autophagy-related genes in nutrient-replete conditions; damage-responsive repressor of PHR1; phosphorylated by the Rad53p-dependent DNA damage checkpoint pathway and by a Rim1p-mediated event during starvation; target of stress-induced hormesis; RPH1 has a paralog ; GIS1 ; that arose from the whole genome duplication""",Verified ORF
3302,5,525863,0.0050285103108386,0.0571735060760881,0.929964892394946,YER170W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3303,5,526004,0.0003988119368628,0.0571114640006637,0.994432325928284,YER170W,ADK2,SGDID:S000000972,CDS,CDS,"""Mitochondrial adenylate kinase; catalyzes the reversible synthesis of GTP and AMP from GDP and ADP; may serve as a back-up for synthesizing GTP or ADP depending on metabolic conditions; 3' sequence of ADK2 varies with strain background""",Verified ORF
3304,5,526007,-0.00502042431177,0.0570936233375164,0.929979640527279,YER170W,ADK2,SGDID:S000000972,CDS,CDS,"""Mitochondrial adenylate kinase; catalyzes the reversible synthesis of GTP and AMP from GDP and ADP; may serve as a back-up for synthesizing GTP or ADP depending on metabolic conditions; 3' sequence of ADK2 varies with strain background""",Verified ORF
3305,5,529382,-0.011989136693707,0.0572238652608668,0.834168743225504,YER171W,RAD3,SGDID:S000000973,CDS,CDS,"""5' to 3' DNA helicase; involved in nucleotide excision repair and transcription; subunit of RNA polII initiation factor TFIIH and of Nucleotide Excision Repair Factor 3 (NEF3); homolog of human XPD protein; mutant has aneuploidy tolerance; protein abundance increases in response to DNA replication stress""",Verified ORF
3307,5,532205,-0.007965512718669,0.0572811235954885,0.889482040391521,YER172C,BRR2,SGDID:S000000974,CDS,CDS,"""RNA-dependent ATPase RNA helicase (DEIH box); required for disruption of U4/U6 base-pairing in native snRNPs to activate the spliceosome for catalysis; homologous to human U5-200kD""",Verified ORF
3308,5,532256,-0.01016527417053,0.0568804273067447,0.858265551548857,YER172C,BRR2,SGDID:S000000974,CDS,CDS,"""RNA-dependent ATPase RNA helicase (DEIH box); required for disruption of U4/U6 base-pairing in native snRNPs to activate the spliceosome for catalysis; homologous to human U5-200kD""",Verified ORF
3309,5,533988,-0.0152922045788743,0.0569530357225863,0.788467071151553,YER172C,BRR2,SGDID:S000000974,CDS,CDS,"""RNA-dependent ATPase RNA helicase (DEIH box); required for disruption of U4/U6 base-pairing in native snRNPs to activate the spliceosome for catalysis; homologous to human U5-200kD""",Verified ORF
3310,5,535074,-0.0029278005552907,0.0570352451590364,0.959089063295688,YER172C,BRR2,SGDID:S000000974,CDS,CDS,"""RNA-dependent ATPase RNA helicase (DEIH box); required for disruption of U4/U6 base-pairing in native snRNPs to activate the spliceosome for catalysis; homologous to human U5-200kD""",Verified ORF
3311,5,537503,-0.005651181958374,0.0570527352495537,0.921153284705428,YER173W,RAD24,SGDID:S000000975,CDS,CDS,"""Checkpoint protein; involved in the activation of the DNA damage and meiotic pachytene checkpoints; subunit of a clamp loader that loads Rad17p-Mec3p-Ddc1p onto DNA; homolog of human and S. pombe Rad17 protein""",Verified ORF
3312,5,538956,0.0207639077062275,0.0572459699047203,0.717035706216682,YER174C,GRX4,SGDID:S000000976,CDS,CDS,"""Glutathione-dependent oxidoreductase and glutathione S-transferase; hydroperoxide/superoxide-radical responsive monothiol glutaredoxin subfamily member with Grx3p and Grx5p; protects cells from oxidative damage with GRX3 and GRX5; with Grx3p ; promotes dissociation of Aft1p from iron regulon gene promoters and subsequent nuclear export in iron-replete conditions ; regulating iron homeostasis; involved with Grx3p in Sir2p deglutathionylation ; restoring deacetylase activity after disulfide stress""",Verified ORF
3313,5,540169,-0.0023265124404048,0.0568927226075604,0.967404339931296,YER175C,TMT1,SGDID:S000000977,CDS,CDS,"""Trans-aconitate methyltransferase; cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate ; an intermediate of the leucine biosynthetic pathway ; and trans-aconitate ; which inhibits the citric acid cycle""",Verified ORF
3315,5,540682,0.0051050177988185,0.0574663672218289,0.929263514734254,YER175W-A,YER175W-A,SGDID:S000028625,CDS,CDS,"""Putative protein of unknown function; identified by gene-trapping ; microarray-based expression analysis ; and genome-wide homology searching""",Uncharacterized ORF
3317,5,542346,0.0044295306142319,0.0570119561188046,0.938114876805228,YER176W,ECM32,SGDID:S000000978,CDS,CDS,"""DNA dependent ATPase/DNA helicase; helicase belonging to the Dna2p- and Nam7p-like family of helicases that is involved in modulating translation termination; interacts with the translation termination factors ; localized to polysomes""",Verified ORF
3318,5,542361,-0.0002931772781882,0.0571987075100055,0.99591328196744,YER176W,ECM32,SGDID:S000000978,CDS,CDS,"""DNA dependent ATPase/DNA helicase; helicase belonging to the Dna2p- and Nam7p-like family of helicases that is involved in modulating translation termination; interacts with the translation termination factors ; localized to polysomes""",Verified ORF
3319,5,543103,0.0075500349804798,0.0571972980361858,0.895059611370595,YER176W,ECM32,SGDID:S000000978,CDS,CDS,"""DNA dependent ATPase/DNA helicase; helicase belonging to the Dna2p- and Nam7p-like family of helicases that is involved in modulating translation termination; interacts with the translation termination factors ; localized to polysomes""",Verified ORF
3321,5,545826,-0.0235291549797019,0.0569554313314737,0.679773031866554,YER177W,BMH1,SGDID:S000000979,CDS,CDS,"""14-3-3 protein ; major isoform; controls proteome at post-transcriptional level ; binds proteins and DNA ; involved in regulation of exocytosis ; vesicle transport ; Ras/MAPK and rapamycin-sensitive signaling ; aggresome formation ; spindle position checkpoint; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; antiapoptotic gene similar to human 14-3-3; BMH1 has a paralog ; BMH2 ; that arose from whole genome duplication""",Verified ORF
3322,5,546667,-0.0087234244094921,0.057010552951887,0.878474500930571,YER178W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
3323,5,547620,-0.0099840941026948,0.0569667192696887,0.860974352143386,YER178W,PDA1,SGDID:S000000980,CDS,CDS,"""E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix ; often near the ERMES complex and near peroxisomes""",Verified ORF
3325,5,548310,-0.0315263275799624,0.0574134189697218,0.583276594253524,YER178W,PDA1,SGDID:S000000980,Close to 3'-UTR,Close to 3'-UTR,"""E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix ; often near the ERMES complex and near peroxisomes""",Verified ORF
