SNP,Chr,Pos,Effect,SE,MID2_WSC2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
3938,7,41124,0.0624575700935491,0.0547529101117152,0.254761063876622,YGL245W,GUS1,SGDID:S000003214,CDS,CDS,"""Glutamyl-tRNA synthetase (GluRS); forms a complex with methionyl-tRNA synthetase (Mes1p) and Arc1p; complex formation increases the catalytic efficiency of both tRNA synthetases and ensures their correct localization to the cytoplasm; protein abundance increases in response to DNA replication stress""",Verified ORF
3939,7,41301,0.0663879517054202,0.0552374303578819,0.23022137373751,YGL244W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3940,7,41497,0.0694668028980043,0.0548814730891531,0.206433581636673,YGL244W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3942,7,41874,0.0711222361452541,0.0549546056533567,0.196442470195458,YGL244W,RTF1,SGDID:S000003213,CDS,CDS,"""Subunit of RNAPII-associated chromatin remodeling Paf1 complex; regulates gene expression by directing cotranscriptional histone modification ; influences transcription and chromatin structure through several independent functional domains; directly or indirectly regulates DNA-binding properties of Spt15p and relative activities of different TATA elements; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay""",Verified ORF
3943,7,41917,0.0571837364734981,0.05486067907556,0.297965236053098,YGL244W,RTF1,SGDID:S000003213,CDS,CDS,"""Subunit of RNAPII-associated chromatin remodeling Paf1 complex; regulates gene expression by directing cotranscriptional histone modification ; influences transcription and chromatin structure through several independent functional domains; directly or indirectly regulates DNA-binding properties of Spt15p and relative activities of different TATA elements; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay""",Verified ORF
3944,7,42056,0.088113377505582,0.0548633404524837,0.109156628326117,YGL244W,RTF1,SGDID:S000003213,CDS,CDS,"""Subunit of RNAPII-associated chromatin remodeling Paf1 complex; regulates gene expression by directing cotranscriptional histone modification ; influences transcription and chromatin structure through several independent functional domains; directly or indirectly regulates DNA-binding properties of Spt15p and relative activities of different TATA elements; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay""",Verified ORF
3945,7,42627,0.0378177931747775,0.0548908033571385,0.49129843414776,YGL244W,RTF1,SGDID:S000003213,CDS,CDS,"""Subunit of RNAPII-associated chromatin remodeling Paf1 complex; regulates gene expression by directing cotranscriptional histone modification ; influences transcription and chromatin structure through several independent functional domains; directly or indirectly regulates DNA-binding properties of Spt15p and relative activities of different TATA elements; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay""",Verified ORF
3947,7,43683,-0.030066430023756,0.0549043798921363,0.584302759158853,YGL243W,TAD1,SGDID:S000003212,CDS,CDS,"""tRNA-specific adenosine deaminase; deaminates adenosine-37 to inosine in tRNA-Ala""",Verified ORF
3948,7,45046,-0.0266062433232421,0.0551569251532937,0.629839556516919,YGL242C,YGL242C,SGDID:S000003211,CDS,CDS,"""Protein of unknown function; N-terminally propionylated in vivo; deletion mutant is viable""",Verified ORF
3949,7,45136,-0.0308773634847614,0.054980449249336,0.574740699625447,YGL242C,YGL242C,SGDID:S000003211,CDS,CDS,"""Protein of unknown function; N-terminally propionylated in vivo; deletion mutant is viable""",Verified ORF
3953,7,45565,-0.0200550857947574,0.0549955184745472,0.71557788109821,YGL241W,KAP114,SGDID:S000003210,CDS,CDS,"""Karyopherin ; responsible for nuclear import of specific proteins; cargoes include Spt15p ; Sua7p ; histones H2A and H2B ; and Nap1p; amino terminus shows similarity to those of other importins ; particularly Cse1p; localization is primarily nuclear; function is regulated by sumoylation; protein abundance increases in response to DNA replication stress""",Verified ORF
3954,7,45777,-0.03130002833471,0.0548258385039492,0.56843121129326,YGL241W,KAP114,SGDID:S000003210,CDS,CDS,"""Karyopherin ; responsible for nuclear import of specific proteins; cargoes include Spt15p ; Sua7p ; histones H2A and H2B ; and Nap1p; amino terminus shows similarity to those of other importins ; particularly Cse1p; localization is primarily nuclear; function is regulated by sumoylation; protein abundance increases in response to DNA replication stress""",Verified ORF
3956,7,46298,-0.0217369228773035,0.0547717196371294,0.691707587960688,YGL241W,KAP114,SGDID:S000003210,CDS,CDS,"""Karyopherin ; responsible for nuclear import of specific proteins; cargoes include Spt15p ; Sua7p ; histones H2A and H2B ; and Nap1p; amino terminus shows similarity to those of other importins ; particularly Cse1p; localization is primarily nuclear; function is regulated by sumoylation; protein abundance increases in response to DNA replication stress""",Verified ORF
3958,7,47015,-0.0134820255169702,0.0549282108909642,0.806252117631219,YGL241W,KAP114,SGDID:S000003210,CDS,CDS,"""Karyopherin ; responsible for nuclear import of specific proteins; cargoes include Spt15p ; Sua7p ; histones H2A and H2B ; and Nap1p; amino terminus shows similarity to those of other importins ; particularly Cse1p; localization is primarily nuclear; function is regulated by sumoylation; protein abundance increases in response to DNA replication stress""",Verified ORF
3959,7,47250,-0.0046147213790501,0.05493234874917,0.933098203165762,YGL241W,KAP114,SGDID:S000003210,CDS,CDS,"""Karyopherin ; responsible for nuclear import of specific proteins; cargoes include Spt15p ; Sua7p ; histones H2A and H2B ; and Nap1p; amino terminus shows similarity to those of other importins ; particularly Cse1p; localization is primarily nuclear; function is regulated by sumoylation; protein abundance increases in response to DNA replication stress""",Verified ORF
3960,7,47587,-0.0341808557204971,0.0552920481481501,0.536850359732046,YGL241W,KAP114,SGDID:S000003210,CDS,CDS,"""Karyopherin ; responsible for nuclear import of specific proteins; cargoes include Spt15p ; Sua7p ; histones H2A and H2B ; and Nap1p; amino terminus shows similarity to those of other importins ; particularly Cse1p; localization is primarily nuclear; function is regulated by sumoylation; protein abundance increases in response to DNA replication stress""",Verified ORF
3961,7,48435,-0.020499155948951,0.0548428810164734,0.708792610064267,YGL241W,KAP114,SGDID:S000003210,CDS,CDS,"""Karyopherin ; responsible for nuclear import of specific proteins; cargoes include Spt15p ; Sua7p ; histones H2A and H2B ; and Nap1p; amino terminus shows similarity to those of other importins ; particularly Cse1p; localization is primarily nuclear; function is regulated by sumoylation; protein abundance increases in response to DNA replication stress""",Verified ORF
3967,7,49339,-0.0399150659203206,0.0551989229210739,0.470089230356353,YGL240W,DOC1,SGDID:S000003209,CDS,CDS,"""Processivity factor; required for the ubiquitination activity of the anaphase promoting complex (APC) ; mediates the activity of the APC by contributing to substrate recognition; involved in cyclin proteolysis; contains a conserved DOC1 homology domain""",Verified ORF
3968,7,50874,-0.0493094343544978,0.0552596817890243,0.372828186011716,YGL238W,CSE1,SGDID:S000003207,CDS,CDS,"""Nuclear envelope protein that acts as a recycling factor; mediates the nuclear export of Srp1p (importin alpha) back to the cytoplasm after its import substrates have been released into the nucleoplasm ; thereby allowing the participation of Srp1p in multiple rounds of nuclear import; required for accurate chromosome segregation; homolog of metazoan CAS and human CSE1L ; overexpression of which is implicated in cancer progression""",Verified ORF
3971,7,53407,0.0192284093640676,0.0554061884732691,0.728764739310562,YGL237C,HAP2,SGDID:S000003206,CDS,CDS,"""Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding; respiratory defect of the null mutant is functionally complemented by human NFYA""",Verified ORF
3972,7,53416,0.0018649328586713,0.0547752490387226,0.972858915858193,YGL237C,HAP2,SGDID:S000003206,CDS,CDS,"""Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding; respiratory defect of the null mutant is functionally complemented by human NFYA""",Verified ORF
3973,7,53455,-0.0089154231235076,0.055483171065388,0.872431862179677,YGL237C,HAP2,SGDID:S000003206,CDS,CDS,"""Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding; respiratory defect of the null mutant is functionally complemented by human NFYA""",Verified ORF
3974,7,53544,-0.0085001169159806,0.0553174628022549,0.877965123272262,YGL237C,HAP2,SGDID:S000003206,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding; respiratory defect of the null mutant is functionally complemented by human NFYA""",Verified ORF
3975,7,53637,-0.0278875906034701,0.055225137681964,0.613887984176481,YGL237C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3976,7,53662,-0.03030762176845,0.0547498611541989,0.580226843562085,YGL237C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3977,7,53700,-0.0267397985457893,0.0547568462975735,0.625614306574816,YGL237C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3978,7,53702,-0.0238265734286511,0.0549912558158792,0.665076500679282,YGL237C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3979,7,54897,-0.0175342294848272,0.054997958929909,0.750054601085727,YGL236C,MTO1,SGDID:S000003205,CDS,CDS,"""Mitochondrial protein; forms heterodimer complex with Mss1p that performs 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; required for respiration in paromomycin-resistant 15S rRNA mutants; human homolog MTO1 can complement yeast null mutant""",Verified ORF
3980,7,55912,-0.0137156948172014,0.0548454217589212,0.802671636961943,YGL236C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3983,7,61773,-0.0196307655663787,0.0554682139044449,0.723617488016494,YGL233W,SEC15,SGDID:S000003202,CDS,CDS,"""Essential 113 kDa subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis prior to SNARE-mediated fusion; interacts with and functions as a downstream effector of active ; GTP-bound Sec4p ; a Rab family GTPase""",Verified ORF
3984,7,62689,-0.0377649282313959,0.0558495967151393,0.499362921270806,YGL233W,SEC15,SGDID:S000003202,Close to 3'-UTR,Close to 3'-UTR,"""Essential 113 kDa subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis prior to SNARE-mediated fusion; interacts with and functions as a downstream effector of active ; GTP-bound Sec4p ; a Rab family GTPase""",Verified ORF
3985,7,64143,-0.0358669963858783,0.0548179130254489,0.5133488670899,SUT110,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
3986,7,65725,-0.0179049229682566,0.0550748358821688,0.745296692601105,YGL229C,SAP4,SGDID:S000003198,CDS,CDS,"""Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p ; including Sap155p ; Sap185p ; and Sap190p; SAP4 has a paralog ; SAP155 ; that arose from the whole genome duplication""",Verified ORF
3987,7,66075,-0.0178358362421185,0.0548558822018815,0.745267807112376,YGL229C,SAP4,SGDID:S000003198,CDS,CDS,"""Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p ; including Sap155p ; Sap185p ; and Sap190p; SAP4 has a paralog ; SAP155 ; that arose from the whole genome duplication""",Verified ORF
3988,7,66339,-0.0152289464761107,0.0548520614875049,0.781453769260048,YGL229C,SAP4,SGDID:S000003198,CDS,CDS,"""Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p ; including Sap155p ; Sap185p ; and Sap190p; SAP4 has a paralog ; SAP155 ; that arose from the whole genome duplication""",Verified ORF
3989,7,66563,-0.0144945789490612,0.0547733451037124,0.791450235123865,YGL229C,SAP4,SGDID:S000003198,CDS,CDS,"""Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p ; including Sap155p ; Sap185p ; and Sap190p; SAP4 has a paralog ; SAP155 ; that arose from the whole genome duplication""",Verified ORF
3990,7,66622,-0.0139600192487001,0.0548487004041672,0.799243071355429,YGL229C,SAP4,SGDID:S000003198,CDS,CDS,"""Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p ; including Sap155p ; Sap185p ; and Sap190p; SAP4 has a paralog ; SAP155 ; that arose from the whole genome duplication""",Verified ORF
3993,7,68261,-0.0095412153806467,0.0548556994301116,0.862017833859281,YGL228W,SHE10,SGDID:S000003197,CDS,CDS,"""Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; putative GPI-anchored protein; overexpression causes growth arrest;; SWAT-GFP ; seamless-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; SHE10 has a paralog ; OSW7/YFR039C ; that arose from the whole genome duplication; paralogs are redundant for spore wall dityrosine assembly""",Verified ORF
3994,7,68513,-0.0142783790463322,0.0548666087342324,0.794831886875771,YGL228W,SHE10,SGDID:S000003197,CDS,CDS,"""Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; putative GPI-anchored protein; overexpression causes growth arrest;; SWAT-GFP ; seamless-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; SHE10 has a paralog ; OSW7/YFR039C ; that arose from the whole genome duplication; paralogs are redundant for spore wall dityrosine assembly""",Verified ORF
3999,7,70413,-0.0154312344316836,0.0548579476849997,0.778649405361206,YGL227W,VID30,SGDID:S000003196,CDS,CDS,"""Central component of GID Complex ; involved in FBPase degradation; interacts strongly with Gid8p to serve as a scaffold for other GID Complex subunits; contains SPRY domain and 3 domains that are also found in Gid8p - LisH ; CTLH ; and CRA; required for association of Vid vesicles and actin patches in vacuole import and degradation pathway; shifts the balance of nitrogen metabolism toward glutamate production; localizes to the nucleus and the cytoplasm""",Verified ORF
4002,7,74414,-0.0485006085709566,0.0549143581781964,0.377726867873381,SUT111_NFR/NDR,,,Promoter,Promoter,,Promoter
4003,7,80505,-0.0174233278948369,0.0548433033297811,0.750905740278736,YGL223C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4008,7,83968,1.27466768575189e-05,0.0549276961984939,0.999814971735184,YGL219C,MDM34,SGDID:S000003187,CDS,CDS,"""Mitochondrial component of the ERMES complex; links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; required for mitophagy; ERMES complex is often co-localized with peroxisomes and with concentrated areas of pyruvate dehydrogenase""",Verified ORF
4010,7,87147,0.019347709358834,0.0549180423383567,0.72482239132449,YGL216W,KIP3,SGDID:S000003184,CDS,CDS,"""Kinesin-related antiparallel sliding motor protein; involved in mitotic spindle positioning; sliding activity promotes bipolar spindle assembly and maintenance of genome stability; inhibits spindle elongation ; destabilizing late anaphase spindle microtubules that polymerize beyond the midzone""",Verified ORF
4012,7,87833,0.0183824248846595,0.0549189816727166,0.738035887505453,YGL216W,KIP3,SGDID:S000003184,Close to 3'-UTR,Close to 3'-UTR,"""Kinesin-related antiparallel sliding motor protein; involved in mitotic spindle positioning; sliding activity promotes bipolar spindle assembly and maintenance of genome stability; inhibits spindle elongation ; destabilizing late anaphase spindle microtubules that polymerize beyond the midzone""",Verified ORF
4013,7,87999,0.0193043745034309,0.0550752454258536,0.726165729533216,YGL215W,CLG1,SGDID:S000003183,CDS,CDS,"""Cyclin-like protein that interacts with Pho85p; has sequence similarity to G1 cyclins PCL1 and PCL2""",Verified ORF
4014,7,88913,0.0167425212796788,0.0550056242605536,0.761019013903761,YGL215W,CLG1,SGDID:S000003183,CDS,CDS,"""Cyclin-like protein that interacts with Pho85p; has sequence similarity to G1 cyclins PCL1 and PCL2""",Verified ORF
4016,7,90591,0.0369043484335512,0.0550480477633498,0.503039595249976,YGL213C,SKI8,SGDID:S000003181,CDS,CDS,"""Ski complex component and WD-repeat protein; mediates 3'-5' RNA degradation by the cytoplasmic exosome; also required for meiotic double-strand break recombination; null mutants have superkiller phenotype""",Verified ORF
4017,7,92844,-0.0103439645268367,0.0548691095792887,0.850576799321215,YGL211W,NCS6,SGDID:S000003179,CDS,CDS,"""Protein required for uridine thiolation of Gln ; Lys ; and Glu tRNAs; required for the thiolation of uridine at the wobble position of Gln ; Lys ; and Glu tRNAs; has a role in urmylation and in invasive and pseudohyphal growth; inhibits replication of Brome mosaic virus in S. cerevisiae""",Verified ORF
4018,7,98223,-0.0097649723724584,0.055929045102563,0.861497398041614,YGL208W,SIP2,SGDID:S000003176,CDS,CDS,"""One of three alternate beta subunits of the Snf1 kinase complex; involved in the response to glucose starvation; null mutants exhibit accelerated aging; N-myristoylprotein localized to the cytoplasm and the plasma membrane; SIP2 has a paralog ; GAL83 ; that arose from the whole genome duplication""",Verified ORF
4019,7,101935,0.0149003131704494,0.0550001590648316,0.78661551785987,YGL207W,SPT16,SGDID:S000003175,CDS,CDS,"""Subunit of the heterodimeric FACT complex (Spt16p-Pob3p); FACT associates with chromatin via interaction with Nhp6Ap and Nhp6Bp ; and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases; specifically required for diauxic shift-induced H2B deposition onto rDNA genes; mutations cause reduced nucleosome occupancy over highly transcribed regions; coregulates transcription with Mot1p through preinitiation complex assembly and nucleosome organization""",Verified ORF
4020,7,102167,0.0166156289686001,0.0558108566448312,0.766097199760942,YGL207W,SPT16,SGDID:S000003175,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the heterodimeric FACT complex (Spt16p-Pob3p); FACT associates with chromatin via interaction with Nhp6Ap and Nhp6Bp ; and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases; specifically required for diauxic shift-induced H2B deposition onto rDNA genes; mutations cause reduced nucleosome occupancy over highly transcribed regions; coregulates transcription with Mot1p through preinitiation complex assembly and nucleosome organization""",Verified ORF
4022,7,103626,0.0044587753512369,0.0550358585446458,0.935475282318335,YGL206C,CHC1,SGDID:S000003174,CDS,CDS,"""Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function""",Verified ORF
4023,7,103929,0.030995077923285,0.0549289517799851,0.5729247976011,YGL206C,CHC1,SGDID:S000003174,CDS,CDS,"""Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function""",Verified ORF
4024,7,105525,0.0470541496407122,0.0548069044526316,0.391174622669669,YGL206C,CHC1,SGDID:S000003174,CDS,CDS,"""Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function""",Verified ORF
4025,7,109520,0.0441705075857118,0.0548033302118283,0.420795736831719,YGL205W,POX1,SGDID:S000003173,CDS,CDS,"""Fatty-acyl coenzyme A oxidase; involved in the fatty acid beta-oxidation pathway; localized to the peroxisomal matrix; component of a light sensing pathway ; converting light into a hydrogen peroxide signal ; modulating nucleo-cytoplasmic shuttling of stress-responsive transcription factor ; Msn2p""",Verified ORF
4026,7,109762,0.0517034183698118,0.054863925662043,0.346635601613129,YGL205W,POX1,SGDID:S000003173,CDS,CDS,"""Fatty-acyl coenzyme A oxidase; involved in the fatty acid beta-oxidation pathway; localized to the peroxisomal matrix; component of a light sensing pathway ; converting light into a hydrogen peroxide signal ; modulating nucleo-cytoplasmic shuttling of stress-responsive transcription factor ; Msn2p""",Verified ORF
4028,7,114462,0.0506077169470327,0.0549425010489936,0.357625577761797,YGL203C,KEX1,SGDID:S000003171,CDS,CDS,"""Cell death protease essential for hypochlorite-induced apoptosis; involved in the processing of killer toxin and alpha factor precursor; cleaves Lys and Arg residues from the C-terminus of peptides and proteins""",Verified ORF
4032,7,115759,0.0349838435993927,0.0549447612038625,0.524726841185886,YGL202W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4033,7,120910,0.0333672266227859,0.0548431241595611,0.543305388852212,YGL201C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4034,7,121864,0.0309559461464999,0.0548956097481382,0.573176396342342,YGL201C,MCM6,SGDID:S000003169,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; forms a subcomplex with Mcm4p and Mcm7p""",Verified ORF
4035,7,122646,-0.0034109183638427,0.0549899140415721,0.950575581753835,YGL200C,EMP24,SGDID:S000003168,Close to 3'-UTR,Close to 3'-UTR,"""Component of the p24 complex; role in misfolded protein quality control; binds to GPI anchor proteins and mediates their efficient transport from the ER to the Golgi; integral membrane protein that associates with endoplasmic reticulum-derived COPII-coated vesicles""",Verified ORF
4036,7,128719,0.0056376798993244,0.0550748336262454,0.918525885805347,YGL197W,MDS3,SGDID:S000003165,CDS,CDS,"""Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required ; with Pmd1p ; for growth under alkaline conditions; has an N-terminal kelch-like domain; MDS3 has a paralog ; PMD1 ; that arose from the whole genome duplication""",Verified ORF
4037,7,129502,-0.0007257920391303,0.0549537056670579,0.989469838224,YGL197W,MDS3,SGDID:S000003165,Close to 3'-UTR,Close to 3'-UTR,"""Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required ; with Pmd1p ; for growth under alkaline conditions; has an N-terminal kelch-like domain; MDS3 has a paralog ; PMD1 ; that arose from the whole genome duplication""",Verified ORF
4038,7,129866,0.0013538085868682,0.0548925763775028,0.980337805519549,YGL197W,MDS3,SGDID:S000003165,Close to 3'-UTR,Close to 3'-UTR,"""Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required ; with Pmd1p ; for growth under alkaline conditions; has an N-terminal kelch-like domain; MDS3 has a paralog ; PMD1 ; that arose from the whole genome duplication""",Verified ORF
4039,7,130581,0.0232846637257044,0.0549167481325591,0.671824568673734,YGL196W,DSD1,SGDID:S000003164,CDS,CDS,"""D-serine dehydratase (aka D-serine ammonia-lyase); converts D-serine to pyruvate and ammonia by a reaction dependent on pyridoxal 5'-phosphate and zinc; may play a role in D-serine detoxification; L-serine is not a substrate""",Verified ORF
4041,7,131475,-0.0730167154416828,0.0548074290194541,0.18364036010193,YGL195W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4042,7,131572,0.0083104997392196,0.0551180583757822,0.880238262546923,YGL195W,GCN1,SGDID:S000003163,CDS,CDS,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
4043,7,133091,0.0209639864988026,0.0558709630899105,0.707721090881924,YGL195W,GCN1,SGDID:S000003163,CDS,CDS,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
4044,7,134263,0.018917359458015,0.0553940321904793,0.732926359540794,YGL195W,GCN1,SGDID:S000003163,CDS,CDS,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
4045,7,134556,0.0243242569184869,0.0553254311403008,0.660454014746978,YGL195W,GCN1,SGDID:S000003163,CDS,CDS,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
4046,7,139381,0.0209058340186713,0.0557341267546625,0.707811856775756,YGL195W,GCN1,SGDID:S000003163,CDS,CDS,"""Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA""",Verified ORF
4047,7,139844,0.0507424205883925,0.0552666498758567,0.359173429192371,YGL194C-A,YGL194C-A,SGDID:S000087160,CDS,CDS,"""Putative protein of unknown function; identified based on comparisons of the genome sequences of six Saccharomyces species; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum""",Uncharacterized ORF
4050,7,140416,0.0404605825785823,0.0550055701368739,0.462479375638988,YGL194C,HOS2,SGDID:S000003162,CDS,CDS,"""Histone deacetylase and subunit of Set3 and Rpd3L complexes; required for gene activation via specific deacetylation of lysines in H3 and H4 histone tails; subunit of the Set3 complex ; a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity; co-localizes with Cmr1p in nuclear foci in response to DNA damage by MMS""",Verified ORF
4051,7,140907,0.0530529550173286,0.0559234735985669,0.343437173984134,YGL194C,HOS2,SGDID:S000003162,CDS,CDS,"""Histone deacetylase and subunit of Set3 and Rpd3L complexes; required for gene activation via specific deacetylation of lysines in H3 and H4 histone tails; subunit of the Set3 complex ; a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity; co-localizes with Cmr1p in nuclear foci in response to DNA damage by MMS""",Verified ORF
4052,7,142582,0.0174245355876558,0.0549684794937977,0.751437514927011,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4053,7,142616,0.0235778580205331,0.0549619778055292,0.66819589940827,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4054,7,142656,-0.0016566201911944,0.0552172509021675,0.976082525217443,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4055,7,142710,0.0027718861142573,0.0551196357310146,0.959920896895736,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4056,7,142737,0.0016565799457713,0.0550424044108764,0.976007155171915,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4057,7,142798,-0.0249311455314463,0.0549807276985186,0.650501598914276,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4058,7,142863,-0.0269644249858022,0.0561795192556869,0.631546734502932,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4059,7,142935,-0.0568090183383319,0.0553607445897592,0.305518512769208,YNCG0006C,RME2,SGDID:S000144908,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex""",ncRNA_gene
4060,7,144443,-0.0510908061382611,0.0553203842060972,0.35635464888036,YGL191W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4061,7,149219,-0.039427765982246,0.0558874993487953,0.480974032824552,YGL189C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
