SNP,Chr,Pos,Effect,SE,ERG11_ERG5_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
1299,4,43,-0.0788338741555381,0.0647025771893458,0.223884185043698,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1301,4,44,-0.0739034007871391,0.0642129835427616,0.250548024592476,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1302,4,55,-0.0589102422145675,0.0632656976166125,0.352409182774537,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1304,4,57,-0.0526450298207632,0.0640165447392432,0.411423760762532,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1305,4,58,-0.0485229952151833,0.0637861922822225,0.447336242728103,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1306,4,60,-0.0368266722027064,0.0615094764980408,0.549746664666839,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1307,4,73,-0.0232409308359056,0.0608180130356563,0.702588265082882,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1309,4,80,-0.0260712743244735,0.0592539294188907,0.660211933821921,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1310,4,81,-0.0384775475688577,0.0597480405907166,0.519995703429723,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1311,4,81,-0.0243481339095368,0.0583456210422274,0.676706325908043,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1312,4,82,-0.0356784702289468,0.0583560253192259,0.541332901091921,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1313,4,85,-0.0444488485933621,0.0581512646037029,0.445159811098391,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1314,4,86,-0.0444488485933621,0.0581512646037029,0.445159811098391,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1316,4,112,-0.0306641436464787,0.0583640992425331,0.59963922130322,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1317,4,118,-0.0278318724286819,0.0581350668787005,0.632416447671088,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1318,4,135,-0.0252668244839656,0.058229378864388,0.664612453646309,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1319,4,148,-0.0359749657586983,0.0586562288428419,0.54006055990078,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1321,4,155,-0.0383669731373428,0.0580888673651009,0.509371781046977,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1322,4,165,-0.0354639400930863,0.0576607571011839,0.53892150670971,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1323,4,211,-0.0457932477942086,0.0563169373949884,0.416689003027758,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1324,4,275,-0.0447726887115049,0.0555375063386203,0.420687412333752,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1325,4,306,-0.0307940166357116,0.0561868175375566,0.583993814912823,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1326,4,314,-0.0341324857640751,0.056507941017705,0.546211747798144,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1328,4,423,-0.0243164591790103,0.0559714828742732,0.664231692876623,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1330,4,486,-0.0315344629949511,0.0556148374494947,0.571064168468615,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1331,4,501,-0.0335138011263646,0.0557344574644325,0.548018103549698,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1332,4,573,-0.0339643080006591,0.0556629633873671,0.542136598131407,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1333,4,593,-0.0341520029738693,0.0555079004740939,0.538776943087476,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1334,4,624,-0.0174255996229221,0.0556735937257177,0.754468710815395,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1335,4,633,-0.031685422562112,0.0561280100656924,0.572758355216914,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1336,4,650,-0.0089265821620281,0.0557964148514222,0.872984497968257,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1337,4,684,-0.0160730955963938,0.0552514850194895,0.771292574080495,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1338,4,697,-0.0234750651447535,0.0551390933961106,0.670554814613803,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1339,4,704,-0.0220638974117688,0.0552518948763088,0.689889442801062,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1340,4,771,-0.0390196373668205,0.0551141327411335,0.479425618547748,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1341,4,835,-0.032962239373327,0.0551882132415942,0.550710339764206,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1342,4,851,-0.0126221803275797,0.0549236097373377,0.818369896007449,TEL04L,TEL04L,SGDID:S000028875,Other features,Telomere,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",reverse complement
1345,4,935,-0.0106342275532407,0.0549683672092275,0.846709324752399,ARS400,ARS400,SGDID:S000121226,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
1346,4,959,-0.0377331688536035,0.0550957560278913,0.493878386093422,ARS400,ARS400,SGDID:S000121226,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
1347,4,975,-0.0409039703764201,0.0548660914406451,0.456451320057471,ARS400,ARS400,SGDID:S000121226,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
1348,4,999,-0.0412382398371489,0.0551135644985117,0.454812895030176,ARS400,ARS400,SGDID:S000121226,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
1349,4,1046,-0.0355275459232871,0.0547484275018682,0.516809719188741,ARS400,ARS400,SGDID:S000121226,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
1350,4,1309,-0.0402370349143382,0.0548319317911297,0.463542585762408,ARS400,ARS400,SGDID:S000121226,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
1351,4,1418,-0.0399064165487769,0.0553102028402664,0.471078376697073,X4L_NFR/NDR,,,Promoter,Promoter,,Promoter
1352,4,1685,-0.0457373216348202,0.0550754633852103,0.406846696588482,YDL248W_NFR/NDR,,,Promoter,Promoter,,Promoter
1353,4,1834,-0.0502787866756403,0.0549675174050589,0.360973534625038,YDL248W,COS7,SGDID:S000002407,CDS,CDS,"""Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved ; often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Verified ORF
1358,4,2947,-0.0545109666118892,0.0547987398592946,0.320539957694924,YDL248W,COS7,SGDID:S000002407,CDS,CDS,"""Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved ; often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Verified ORF
1359,4,3400,-0.0620173403782676,0.0553160961763371,0.26298844448537,YDL248W,COS7,SGDID:S000002407,Close to 3'-UTR,Close to 3'-UTR,"""Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved ; often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Verified ORF
1360,4,3501,-0.061271660279819,0.0557793643604116,0.272750295490052,YDL248W,COS7,SGDID:S000002407,Close to 3'-UTR,Close to 3'-UTR,"""Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved ; often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Verified ORF
1361,4,3576,-0.0305224368355209,0.0559544906567242,0.585763258040187,YDL248W,COS7,SGDID:S000002407,Close to 3'-UTR,Close to 3'-UTR,"""Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved ; often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Verified ORF
1362,4,4193,-0.0343997420428971,0.0556993705338424,0.537239481359174,YDL247W-A,YDL247W-A,SGDID:S000007602,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; identified by sequence comparison with hemiascomycetous yeast species""",Dubious ORF
1363,4,4217,-0.0298802400878131,0.0551623908182239,0.588382236766638,YDL247W-A,YDL247W-A,SGDID:S000007602,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; identified by sequence comparison with hemiascomycetous yeast species""",Dubious ORF
1364,4,4354,-0.0311662123670352,0.0553202601150284,0.573535259841797,YDL247W-A,YDL247W-A,SGDID:S000007602,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; identified by sequence comparison with hemiascomycetous yeast species""",Dubious ORF
1366,4,5164,-0.0342058099935971,0.0551552723405237,0.535544046216634,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1367,4,5243,-0.0449543835750094,0.0556537321971882,0.419777639382292,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1368,4,5360,-0.0476990304269392,0.0551456332144365,0.387645540073726,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1369,4,5373,-0.0464626990768053,0.0553900304410839,0.402133596930916,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1372,4,5583,-0.0279167962092316,0.0546353025123966,0.609694097514725,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1379,4,6085,-0.0395229133209788,0.0551510034246557,0.474075725955493,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1380,4,6124,-0.0354804558751893,0.0549348679159767,0.518787029777365,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1381,4,6371,-0.0192521757074503,0.054805097165735,0.725584568383827,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1382,4,6383,-0.0212957055043937,0.0549873762836867,0.698779703975303,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1383,4,6424,-0.026813903257873,0.0547921615521784,0.624880317319092,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1384,4,6509,0.0201579987874008,0.055555939917829,0.716940471126406,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1385,4,6795,0.0163349133792674,0.0557999600145675,0.769892437709336,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1386,4,6930,-0.0022436645792057,0.0558328976060841,0.967968074453066,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1387,4,6965,-0.0094905056349803,0.0551420376074951,0.863449543065531,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1388,4,7094,-0.0272040355604451,0.055467494095995,0.624120175359594,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1389,4,7383,-0.008803266557236,0.0550248801479513,0.872982806008513,YDL247W,MPH2,SGDID:S000002406,CDS,CDS,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1391,4,7893,-0.0086954703964961,0.0549539194721511,0.874364441606329,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1392,4,8452,0.0016236132030628,0.0547910355990925,0.976376631880236,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1393,4,8550,-0.0226422548244297,0.0553171680926248,0.682555318318741,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1396,4,8644,-0.0002116623382801,0.0552845269469542,0.996947389345884,YDL247W,MPH2,SGDID:S000002406,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucoside permease; transports maltose ; maltotriose ; alpha-methylglucoside ; and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication""",Verified ORF
1397,4,9487,0.0183280877858381,0.0547397112366766,0.737957838443831,YDL246C,SOR2,SGDID:S000002405,CDS,CDS,"""Sorbitol dehydrogenase; protein sequence is 99% identical to the Sor1p sorbitol dehydrogenase""",Verified ORF
1398,4,13362,0.0319993381550516,0.0556140852217052,0.565399618477283,YDL245C,HXT15,SGDID:S000002404,Close to 3'-UTR,Close to 3'-UTR,"""Putative transmembrane polyol transporter; supports growth on and uptake of mannitol ; sorbitol and xylitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose""",Verified ORF
1399,4,13533,0.010567397355265,0.0551294784333864,0.848100541304114,YDL245C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1400,4,13882,-0.0121321824766683,0.0547445945216411,0.824742329977919,YDL245C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1401,4,14176,0.0440805201063242,0.0546767759006232,0.42066922999402,YDL245C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1402,4,15219,0.0231762307576974,0.0546753957495584,0.671905855946716,YDL244W,THI13,SGDID:S000002403,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5 ; THI11 ; THI12 ; and THI13; hydroxymethylpyrimidine is also known as HMP""",Verified ORF
1403,4,15754,0.0293965834886357,0.0546864630319801,0.591228033384753,YDL244W,THI13,SGDID:S000002403,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5 ; THI11 ; THI12 ; and THI13; hydroxymethylpyrimidine is also known as HMP""",Verified ORF
1404,4,16051,0.0269774292448927,0.0546734946251053,0.622017087806916,YDL244W,THI13,SGDID:S000002403,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5 ; THI11 ; THI12 ; and THI13; hydroxymethylpyrimidine is also known as HMP""",Verified ORF
1405,4,16202,0.0202044948178087,0.0546488213824039,0.711816472083606,YDL244W,THI13,SGDID:S000002403,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5 ; THI11 ; THI12 ; and THI13; hydroxymethylpyrimidine is also known as HMP""",Verified ORF
1406,4,16647,0.0269485433415387,0.0545356027970912,0.621510507483381,YDL244W,THI13,SGDID:S000002403,CDS,CDS,"""Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5 ; THI11 ; THI12 ; and THI13; hydroxymethylpyrimidine is also known as HMP""",Verified ORF
1409,4,17795,0.0750827272532196,0.0549842042777725,0.172955183330841,YDL243C,AAD4,SGDID:S000002402,CDS,CDS,"""Putative aryl-alcohol dehydrogenase; involved in oxidative stress response; similar to P. chrysosporium aryl-alcohol dehydrogenase; expression induced in cells treated with the mycotoxin patulin; members of the AAD gene family comprise three pairs (AAD3 + AAD15 ; AAD6/AAD16 + AAD4 ; AAD10 + AAD14) whose two genes are more related to one another than to other members of the family""",Verified ORF
1412,4,18597,0.0746848441189494,0.0545329143484364,0.171702072848776,YDL243C_NFR/NDR,,,Promoter,Promoter,,Promoter
1413,4,18955,0.0764237797393434,0.0542881058428138,0.160086740237541,YDL243C,AAD4,SGDID:S000002402,Close to 3'-UTR,Close to 3'-UTR,"""Putative aryl-alcohol dehydrogenase; involved in oxidative stress response; similar to P. chrysosporium aryl-alcohol dehydrogenase; expression induced in cells treated with the mycotoxin patulin; members of the AAD gene family comprise three pairs (AAD3 + AAD15 ; AAD6/AAD16 + AAD4 ; AAD10 + AAD14) whose two genes are more related to one another than to other members of the family""",Verified ORF
1414,4,19310,0.0287155900917381,0.0546562349489769,0.599645117408722,YDL242W,YDL242W,SGDID:S000002401,CDS,CDS,"""Putative protein of unknown function; conserved across S. cerevisiae strains""",Uncharacterized ORF
1415,4,20302,0.0362842524647194,0.0547767118278175,0.508145281722589,YDL242W,YDL242W,SGDID:S000002401,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved across S. cerevisiae strains""",Uncharacterized ORF
1416,4,20874,0.0383824884604291,0.0555123484375374,0.489754513985341,YDL241W,YDL241W,SGDID:S000002400,CDS,CDS,"""Putative protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; YDL241W is not an essential gene""",Uncharacterized ORF
1417,4,21871,0.0343995349719304,0.0547382575657293,0.530124233474512,YDL241W,YDL241W,SGDID:S000002400,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; YDL241W is not an essential gene""",Uncharacterized ORF
1418,4,22141,0.0476189688830184,0.0546214310763104,0.383909993729794,YDL240C-A,YDL240C-A,SGDID:S000007601,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; identified by sequence comparison with hemiascomycetous yeast species""",Dubious ORF
1419,4,22771,0.0435273485408941,0.0556088308324183,0.434303611182736,YDL240C-A,YDL240C-A,SGDID:S000007601,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; identified by sequence comparison with hemiascomycetous yeast species""",Dubious ORF
1421,4,26744,0.0338827071701766,0.0551184150005692,0.539131904914199,YDL239C,ADY3,SGDID:S000002398,CDS,CDS,"""Protein required for spore wall formation; subunit of leading edge protein (LEP) complex (Ssp1-Ady3-Don1-Irc10) that forms ring-like structure at leading edge of prospore membrane during meiosis II; mediates assembly of LEP complex ; formation of ring-like structure via interaction with spindle pole body components ; and prospore membrane maturation; potentially phosphorylated by Cdc28p; ADY3 has a paralog ; CNM67 ; that arose from the whole genome duplication""",Verified ORF
1424,4,28509,0.033573238493893,0.0545432926017207,0.538598915799403,YDL239C,ADY3,SGDID:S000002398,CDS,CDS,"""Protein required for spore wall formation; subunit of leading edge protein (LEP) complex (Ssp1-Ady3-Don1-Irc10) that forms ring-like structure at leading edge of prospore membrane during meiosis II; mediates assembly of LEP complex ; formation of ring-like structure via interaction with spindle pole body components ; and prospore membrane maturation; potentially phosphorylated by Cdc28p; ADY3 has a paralog ; CNM67 ; that arose from the whole genome duplication""",Verified ORF
1425,4,29308,0.0275287344817474,0.0549958748199808,0.616992764327344,YDL238C,GUD1,SGDID:S000002397,CDS,CDS,"""Guanine deaminase; a catabolic enzyme of the guanine salvage pathway producing xanthine and ammonia from guanine; activity is low in exponentially-growing cultures but expression is increased in post-diauxic and stationary-phase cultures""",Verified ORF
