SNP,Chr,Pos,Effect,SE,HUG1_ADE17_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
720,2,630554,0.14292791019114,0.150177955176588,0.341888341331947,YBR203W,COS111,SGDID:S000000407,CDS,CDS,"""Protein required for antifungal drug ciclopirox olamine resistance; not related to the subtelomerically-encoded COS family; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Verified ORF
721,2,633052,-0.0496186798919716,0.149858762115763,0.74076317424066,YBR204C,LDH1,SGDID:S000000408,CDS,CDS,"""Serine hydrolase; exhibits active esterase plus weak triacylglycerol lipase activities; proposed role in lipid homeostasis ; regulating phospholipid and non-polar lipid levels and required for mobilization of LD-stored lipids; localizes to the lipid droplet (LD) surface; contains a classical serine containing catalytic triad (GxSxG motif)""",Verified ORF
722,2,633130,-0.0954942532728405,0.149924424427777,0.524570731692652,YBR204C,LDH1,SGDID:S000000408,CDS,CDS,"""Serine hydrolase; exhibits active esterase plus weak triacylglycerol lipase activities; proposed role in lipid homeostasis ; regulating phospholipid and non-polar lipid levels and required for mobilization of LD-stored lipids; localizes to the lipid droplet (LD) surface; contains a classical serine containing catalytic triad (GxSxG motif)""",Verified ORF
723,2,633281,-0.190012663797746,0.156014357659208,0.224068650737751,YBR204C,LDH1,SGDID:S000000408,CDS,CDS,"""Serine hydrolase; exhibits active esterase plus weak triacylglycerol lipase activities; proposed role in lipid homeostasis ; regulating phospholipid and non-polar lipid levels and required for mobilization of LD-stored lipids; localizes to the lipid droplet (LD) surface; contains a classical serine containing catalytic triad (GxSxG motif)""",Verified ORF
724,2,633308,-0.158995217066127,0.151250413154482,0.293883450563195,YBR204C,LDH1,SGDID:S000000408,CDS,CDS,"""Serine hydrolase; exhibits active esterase plus weak triacylglycerol lipase activities; proposed role in lipid homeostasis ; regulating phospholipid and non-polar lipid levels and required for mobilization of LD-stored lipids; localizes to the lipid droplet (LD) surface; contains a classical serine containing catalytic triad (GxSxG motif)""",Verified ORF
725,2,633859,-0.0795160559198428,0.149884131404426,0.596087210728377,YBR205W,KTR3,SGDID:S000000409,CDS,CDS,"""Putative alpha-1,2-mannosyltransferase; involved in O- and N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family; Svp26p mediates uptake of Ktr3p into COPII vesicles; relocalizes from nucleus to vacuole upon DNA replication stress""",Verified ORF
726,2,635476,-0.0007107979142464,0.150189603736181,0.996226562723468,YBR207W,FTH1,SGDID:S000000411,CDS,CDS,"""Putative high affinity iron transporter; involved in transport of intravacuolar stores of iron; forms complex with Fet5p; expression is regulated by iron; proposed to play indirect role in endocytosis; protein abundance increases in response to DNA replication stress""",Verified ORF
727,2,635959,-0.0348612649397209,0.149180018955922,0.815364305386666,YBR207W,FTH1,SGDID:S000000411,CDS,CDS,"""Putative high affinity iron transporter; involved in transport of intravacuolar stores of iron; forms complex with Fet5p; expression is regulated by iron; proposed to play indirect role in endocytosis; protein abundance increases in response to DNA replication stress""",Verified ORF
728,2,636093,0.0080644742716027,0.149360017759727,0.956970864624999,YBR207W,FTH1,SGDID:S000000411,CDS,CDS,"""Putative high affinity iron transporter; involved in transport of intravacuolar stores of iron; forms complex with Fet5p; expression is regulated by iron; proposed to play indirect role in endocytosis; protein abundance increases in response to DNA replication stress""",Verified ORF
729,2,637041,0.0444379618821473,0.150050335006762,0.76728685594692,YBR208C,DUR1%2C2,SGDID:S000000412,CDS,CDS,"""Urea amidolyase; contains both urea carboxylase and allophanate hydrolase activities ; degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate ; an intermediate in allantoin degradation; protein abundance increases in response to DNA replication stress""",Verified ORF
730,2,637229,0.0082916342046273,0.149139356651961,0.955694663662694,YBR208C,DUR1%2C2,SGDID:S000000412,CDS,CDS,"""Urea amidolyase; contains both urea carboxylase and allophanate hydrolase activities ; degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate ; an intermediate in allantoin degradation; protein abundance increases in response to DNA replication stress""",Verified ORF
731,2,638637,0.0084142968381965,0.149223716648311,0.955065312936872,YBR208C,DUR1%2C2,SGDID:S000000412,CDS,CDS,"""Urea amidolyase; contains both urea carboxylase and allophanate hydrolase activities ; degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate ; an intermediate in allantoin degradation; protein abundance increases in response to DNA replication stress""",Verified ORF
734,2,645476,-0.0205445280265658,0.151986181306143,0.892551617842483,YBR210W,ERV15,SGDID:S000000414,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in export of proteins from the endoplasmic reticulum; ERV15 has a paralog ; ERV14 ; that arose from the whole genome duplication""",Verified ORF
735,2,646360,-0.0330873495898524,0.150790519786435,0.826445099086988,YBR211C,AME1,SGDID:S000000415,CDS,CDS,"""Essential kinetochore protein associated with microtubules and SPBs; component of the kinetochore sub-complex COMA (Ctf19p ; Okp1p ; Mcm21p ; Ame1p); involved in spindle checkpoint maintenance; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-U and fission yeast Mis17; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
736,2,647193,-0.0446745219865846,0.149639016988388,0.765460136964374,YBR212W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
737,2,647884,-0.095268370223424,0.150532973814039,0.527225833818472,YBR211C,AME1,SGDID:S000000415,Close to 3'-UTR,Close to 3'-UTR,"""Essential kinetochore protein associated with microtubules and SPBs; component of the kinetochore sub-complex COMA (Ctf19p ; Okp1p ; Mcm21p ; Ame1p); involved in spindle checkpoint maintenance; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-U and fission yeast Mis17; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
738,2,649511,-0.0701883171812087,0.149356281093199,0.638688893921302,YBR212W,NGR1,SGDID:S000000416,CDS,CDS,"""RNA binding protein that negatively regulates growth rate; interacts with the 3' UTR of the mitochondrial porin (POR1) mRNA and enhances its degradation; overexpression impairs mitochondrial function; interacts with Dhh1p to mediate POR1 mRNA decay; expressed in stationary phase""",Verified ORF
741,2,650924,-0.0712493617982956,0.149791267347083,0.634612512284577,YBR213W,MET8,SGDID:S000000417,CDS,CDS,"""Bifunctional dehydrogenase and ferrochelatase; involved in the biosynthesis of siroheme ; a prosthetic group used by sulfite reductase; required for sulfate assimilation and methionine biosynthesis""",Verified ORF
742,2,654520,-0.138903639127839,0.150581912229132,0.356926175787094,YBR215W,HPC2,SGDID:S000000419,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the HIR complex; HIR is a nucleosome assembly complex involved in regulation of histone gene transcription; mutants display synthetic defects with subunits of FACT ; a complex that allows passage of RNA Pol II through nucleosomes""",Verified ORF
743,2,657722,-0.116273729231292,0.15021428271404,0.439417886733578,YBR217W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
744,2,660189,-0.087807354305257,0.149842455240605,0.558251451478672,YBR218C,PYC2,SGDID:S000000422,CDS,CDS,"""Pyruvate carboxylase isoform; cytoplasmic enzyme that converts pyruvate to oxaloacetate; differentially regulated than isoform Pyc1p; mutations in the human homolog are associated with lactic acidosis; PYC2 has a paralog ; PYC1 ; that arose from the whole genome duplication""",Verified ORF
745,2,662669,0.0427102207771656,0.150324523031466,0.77648491473413,YBR218C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
746,2,668152,0.0459589391199106,0.151747805554641,0.762171944076973,YBR222C,PCS60,SGDID:S000000426,CDS,CDS,"""Oxalyl-CoA synthetase; capable of catalyzing conversion of oxalate to oxalyl-CoA; catalyzes first step in pathway of oxalate degradation that functions to protect yeast from inhibitory effects of oxalate; peroxisomal protein that binds mRNA; localizes to both peroxisomal peripheral membrane and matrix ; expression is highly inducible by oleic acid; similar to E. coli long chain acyl-CoA synthetase""",Verified ORF
747,2,671051,0.172929484124175,0.150634998612187,0.251744561209042,YBR225W,YBR225W,SGDID:S000000429,CDS,CDS,"""Putative protein of unknown function; non-essential gene identified in a screen for mutants affected in mannosylphophorylation of cell wall components""",Uncharacterized ORF
748,2,671554,0.218015824661321,0.152203296859273,0.152914629038761,YBR225W,YBR225W,SGDID:S000000429,CDS,CDS,"""Putative protein of unknown function; non-essential gene identified in a screen for mutants affected in mannosylphophorylation of cell wall components""",Uncharacterized ORF
749,2,672334,0.163012465659728,0.150977173018534,0.281005836912002,YBR225W,YBR225W,SGDID:S000000429,CDS,CDS,"""Putative protein of unknown function; non-essential gene identified in a screen for mutants affected in mannosylphophorylation of cell wall components""",Uncharacterized ORF
750,2,678375,0.0570437899448981,0.150054966250752,0.704060749215308,YBR229C,ROT2,SGDID:S000000433,CDS,CDS,"""Glucosidase II catalytic subunit; required to trim the final glucose in N-linked glycans; required for normal cell wall synthesis; mutations in rot2 suppress tor2 mutations ; and are synthetically lethal with rot1 mutations""",Verified ORF
751,2,679565,0.0008719558979103,0.150779011741269,0.995389121403588,YBR230C,OM14,SGDID:S000000434,CDS,CDS,"""Mitochondrial outer membrane receptor for cytosolic ribosomes; integral protein of the outer membrane that interacts with the nascent chain-associated complex (NAC) bound to ribosomes ; contributing to co-translational mitochondrial import; interacts with porin (Por1p) and Om45p; abundance is decreased in cells grown in glucose relative to other carbon sources""",Verified ORF
752,2,680493,0.0045436005430981,0.150763097797697,0.975974543188755,YBR230W-A,COQ21,SGDID:S000029722,CDS,CDS,"""Mitochondrial protein of unknown function; YBR230W-A has a paralog ; COQ8 ; that arose from the whole genome duplication""",Verified ORF
754,2,682076,0.0787000866695156,0.151558100816008,0.603895531239205,LSR1_NFR/NDR,,,Promoter,Promoter,,Promoter
755,2,682239,0.0861404993360719,0.151687143218014,0.570475657477269,YBR231C,SWC5,SGDID:S000000435,CDS,CDS,"""Component of the SWR1 complex; complex exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; protein abundance increases in response to DNA replication stress; relocalizes to the cytosol in response to hypoxia""",Verified ORF
757,2,687998,-0.0323387532872348,0.151471051388424,0.83106187066569,YBR235W,VHC1,SGDID:S000000439,CDS,CDS,"""Vacuolar membrane cation-chloride cotransporter (CCC); likely mediates K+ and Cl- cotransport into the vacuole; has a role in potassium homeostasis and salt tolerance; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); similar to mammalian electroneutral Na(+)-(K+)-C1- cotransporter family""",Verified ORF
758,2,689964,-0.065309259718344,0.151572430686608,0.666819898734388,YBR235W,VHC1,SGDID:S000000439,CDS,CDS,"""Vacuolar membrane cation-chloride cotransporter (CCC); likely mediates K+ and Cl- cotransport into the vacuole; has a role in potassium homeostasis and salt tolerance; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); similar to mammalian electroneutral Na(+)-(K+)-C1- cotransporter family""",Verified ORF
759,2,690583,-0.0232388940081671,0.152942188234455,0.879316637998851,YBR236C,ABD1,SGDID:S000000440,CDS,CDS,"""Methyltransferase; catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA; nuclear protein that relocalizes to the cytosol in response to hypoxia""",Verified ORF
760,2,694474,-0.0604580320980604,0.151581823534018,0.690246731835207,YBR237W,PRP5,SGDID:S000000441,CDS,CDS,"""RNA helicase in the DEAD-box family; necessary for prespliceosome formation ; bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA""",Verified ORF
762,2,696541,-0.062344019445445,0.151590735276406,0.681127529059776,YBR238C,YBR238C,SGDID:S000000442,CDS,CDS,"""Mitochondrial membrane protein; not required for respiratory growth but causes a synthetic respiratory defect in combination with rmd9 mutations; transcriptionally up-regulated by TOR; deletion increases life span; YBR238C has a paralog ; RMD9 ; that arose from the whole genome duplication""",Verified ORF
763,2,697507,-0.0314142685558447,0.152344130402,0.836748905192386,YBR238C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
764,2,698030,-0.066598917147505,0.153211465242228,0.664055784952346,SUT021,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
767,2,699381,-0.0992380615845144,0.15211828491571,0.514584310834724,YBR239C,ERT1,SGDID:S000000443,CDS,CDS,"""Transcriptional regulator; involved in regulation of gluconeogenesis and fermentable carbon utilization; GFP-fusion protein localizes to cytoplasm ; nucleus; null mutation affects periodicity of transcriptional and metabolic oscillation; plays role in restricting Ty1 transposition; member of the zinc cluster family of proteins ; similar to Rds2p""",Verified ORF
768,2,699384,-0.108436586696033,0.152100496349097,0.476361785942439,YBR239C,ERT1,SGDID:S000000443,CDS,CDS,"""Transcriptional regulator; involved in regulation of gluconeogenesis and fermentable carbon utilization; GFP-fusion protein localizes to cytoplasm ; nucleus; null mutation affects periodicity of transcriptional and metabolic oscillation; plays role in restricting Ty1 transposition; member of the zinc cluster family of proteins ; similar to Rds2p""",Verified ORF
769,2,699889,0.0011058668801901,0.152819782728414,0.994230316896666,YBR239C,ERT1,SGDID:S000000443,CDS,CDS,"""Transcriptional regulator; involved in regulation of gluconeogenesis and fermentable carbon utilization; GFP-fusion protein localizes to cytoplasm ; nucleus; null mutation affects periodicity of transcriptional and metabolic oscillation; plays role in restricting Ty1 transposition; member of the zinc cluster family of proteins ; similar to Rds2p""",Verified ORF
770,2,699929,-0.0481656549061436,0.151880562587027,0.751333579887265,YBR239C,ERT1,SGDID:S000000443,CDS,CDS,"""Transcriptional regulator; involved in regulation of gluconeogenesis and fermentable carbon utilization; GFP-fusion protein localizes to cytoplasm ; nucleus; null mutation affects periodicity of transcriptional and metabolic oscillation; plays role in restricting Ty1 transposition; member of the zinc cluster family of proteins ; similar to Rds2p""",Verified ORF
771,2,701195,-0.0883133197724781,0.151694713017254,0.560818445561045,YBR240C,THI2,SGDID:S000000444,CDS,CDS,"""Transcriptional activator of thiamine biosynthetic genes; interacts with regulatory factor Thi3p to control expression of thiamine biosynthetic genes with respect to thiamine availability; acts together with Pdc2p to respond to thiaminediphosphate demand ; possibly as related to carbon source availability; zinc finger protein of the Zn(II)2Cys6 type""",Verified ORF
772,2,703873,-0.210912317635676,0.150373900207814,0.161619189654452,YBR241C,YBR241C,SGDID:S000000445,CDS,CDS,"""Putative transporter ; member of the sugar porter family; localizes to the vacuolar membrane; non-essential gene; upregulated by and required for tolerance to 4-Methylcyclohexane methanol; YBR241C has a paralog ; VPS73 ; that arose from the whole genome duplication""",Verified ORF
773,2,704219,-0.137280969547488,0.15077175428879,0.363168698069786,YBR241C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
776,2,705106,-0.155049549559052,0.150064616728033,0.302208954672922,YBR242W,YBR242W,SGDID:S000000446,CDS,CDS,"""5'-deoxynucleotidase involved in deoxyribonucleoside monophosphate degradation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; non-essential gene; YBR242W has a paralog ; YGL101W ; that arose from the whole genome duplication""",Verified ORF
777,2,705558,-0.143781317049136,0.149990923099151,0.338416316125918,YBR243C,ALG7,SGDID:S000000447,CDS,CDS,"""UDP-N-acetyl-glucosamine-1-P transferase; transfers Glc-Nac-P from UDP-GlcNac to Dol-P in the ER in the first step of the dolichol pathway of protein asparagine-linked glycosylation; inhibited by tunicamycin; human homolog DPAGT1 can complement yeast ALG7 mutant""",Verified ORF
778,2,707207,-0.096639941630381,0.15106675409064,0.522771674241755,YBR244W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
779,2,707848,-0.12361340670838,0.152567259276563,0.418358240320162,YBR244W,GPX2,SGDID:S000000448,CDS,CDS,"""Phospholipid hydroperoxide glutathione peroxidase; protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress; induced by glucose starvation; protein abundance increases in response to DNA replication stress""",Verified ORF
780,2,712159,-0.056299045830925,0.150915312937946,0.709334702562272,YBR246W,RRT2,SGDID:S000000450,CDS,CDS,"""Methylesterase performing penultimate step of diphthamide biosynthesis; hydrolyzes methylated diphthine to produce diphthine and allows Dph6-catalyzed amidation reaction to occur; deletion leads to resistance to sordarin and accumulation of methylatediphthine; WD40 domain-containing protein; involved in endosomal recycling; forms complex with Rtt10p that functions in retromer-mediated pathway for recycling internalized cell-surface proteins""",Verified ORF
781,2,712303,-0.0500107602606558,0.151023679955759,0.740731329832863,YBR246W,RRT2,SGDID:S000000450,CDS,CDS,"""Methylesterase performing penultimate step of diphthamide biosynthesis; hydrolyzes methylated diphthine to produce diphthine and allows Dph6-catalyzed amidation reaction to occur; deletion leads to resistance to sordarin and accumulation of methylatediphthine; WD40 domain-containing protein; involved in endosomal recycling; forms complex with Rtt10p that functions in retromer-mediated pathway for recycling internalized cell-surface proteins""",Verified ORF
782,2,712456,-0.110638419590077,0.150499570950951,0.462741683872053,YBR246W,RRT2,SGDID:S000000450,CDS,CDS,"""Methylesterase performing penultimate step of diphthamide biosynthesis; hydrolyzes methylated diphthine to produce diphthine and allows Dph6-catalyzed amidation reaction to occur; deletion leads to resistance to sordarin and accumulation of methylatediphthine; WD40 domain-containing protein; involved in endosomal recycling; forms complex with Rtt10p that functions in retromer-mediated pathway for recycling internalized cell-surface proteins""",Verified ORF
783,2,712761,-0.17171265975282,0.152856396463307,0.262048311926405,YBR246W,RRT2,SGDID:S000000450,Close to 3'-UTR,Close to 3'-UTR,"""Methylesterase performing penultimate step of diphthamide biosynthesis; hydrolyzes methylated diphthine to produce diphthine and allows Dph6-catalyzed amidation reaction to occur; deletion leads to resistance to sordarin and accumulation of methylatediphthine; WD40 domain-containing protein; involved in endosomal recycling; forms complex with Rtt10p that functions in retromer-mediated pathway for recycling internalized cell-surface proteins""",Verified ORF
786,2,712962,-0.182953883310869,0.152292576622019,0.230427996429619,YBR246W,RRT2,SGDID:S000000450,Close to 3'-UTR,Close to 3'-UTR,"""Methylesterase performing penultimate step of diphthamide biosynthesis; hydrolyzes methylated diphthine to produce diphthine and allows Dph6-catalyzed amidation reaction to occur; deletion leads to resistance to sordarin and accumulation of methylatediphthine; WD40 domain-containing protein; involved in endosomal recycling; forms complex with Rtt10p that functions in retromer-mediated pathway for recycling internalized cell-surface proteins""",Verified ORF
788,2,714775,-0.163796243547232,0.151066563287232,0.278987131498704,CUT037,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
789,2,717833,-0.0174219528890422,0.150615495841281,0.907978495355902,YBR249C,ARO4,SGDID:S000000453,CDS,CDS,"""3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by tyrosine or high concentrations of phenylalanine or tryptophan; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
791,2,718552,-0.0502073494182452,0.151097764035855,0.7398721421298,XUT_2F-291,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
792,2,718598,-0.0528610413338911,0.150958919179145,0.726421171779446,XUT_2F-291,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
793,2,718839,-0.0141551951221258,0.152968071926148,0.926323948413891,XUT_2F-291,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
794,2,718965,-0.0325346601068807,0.151624543750345,0.830223494711401,XUT_2F-291,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
795,2,719785,-0.0433343967627928,0.150830400621378,0.774047026874915,YBR250W,SPO23,SGDID:S000000454,CDS,CDS,"""Protein of unknown function; associates with meiosis-specific protein Spo1p""",Verified ORF
797,2,722169,-0.020074930068663,0.151785974805451,0.894855472853215,YBR251W,MRPS5,SGDID:S000000455,CDS,CDS,"""Mitochondrial ribosomal protein of the small subunit""",Verified ORF
798,2,723281,0.0654738050421106,0.150875692019503,0.664583602521762,YBR253W,SRB6,SGDID:S000000457,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation""",Verified ORF
800,2,725477,0.157788063821823,0.150439631271361,0.29496638130186,YBR255W,MTC4,SGDID:S000000459,CDS,CDS,"""Protein of unknown function; required for normal growth rate at 15 degrees C; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; mtc4 is synthetically sick with cdc13-1""",Verified ORF
801,2,725577,0.181390539734231,0.151515802531257,0.232042684991186,YBR255W,MTC4,SGDID:S000000459,CDS,CDS,"""Protein of unknown function; required for normal growth rate at 15 degrees C; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; mtc4 is synthetically sick with cdc13-1""",Verified ORF
802,2,734490,0.241583529706748,0.150641893435424,0.109675791664012,YBR260C,RGD1,SGDID:S000000464,CDS,CDS,"""GTPase-activating protein (RhoGAP) for Rho3p and Rho4p; involved in repolarization of actin cytoskeleton during adaptation to heat shock stress; phosphorylated by Pkc1p""",Verified ORF
803,2,734586,0.265535420984754,0.14983160110861,0.0772195855284755,YBR260C,RGD1,SGDID:S000000464,CDS,CDS,"""GTPase-activating protein (RhoGAP) for Rho3p and Rho4p; involved in repolarization of actin cytoskeleton during adaptation to heat shock stress; phosphorylated by Pkc1p""",Verified ORF
804,2,735866,0.200919887985521,0.149603817646876,0.180130579278456,CUT038,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
805,2,737571,0.1494860609778,0.150841096013301,0.322356180736071,YBR263W,SHM1,SGDID:S000000467,CDS,CDS,"""Mitochondrial serine hydroxymethyltransferase; converts serine to glycine plus 5,10 methylenetetrahydrofolate; involved in generating precursors for purine ; pyrimidine ; amino acid ; and lipid biosynthesis; reverse reaction generates serine""",Verified ORF
807,2,738941,0.13029880505574,0.149746491122668,0.384821061957439,YBR265W,TSC10,SGDID:S000000469,CDS,CDS,"""3-ketosphinganine reductase; catalyzes the second step in phytosphingosine synthesis; essential for growth in the absence of exogenous dihydrosphingosine or phytosphingosine; localized to lipid droplets; member of short chain dehydrogenase/reductase protein family; mutations in human homolog KDSR cause recessive progressive symmetric erythrokeratoderma""",Verified ORF
808,2,741443,0.149253682068425,0.149733288818475,0.319545877766985,YBR268W,MRPL37,SGDID:S000000472,CDS,CDS,"""Mitochondrial ribosomal protein of the large subunit""",Verified ORF
809,2,741554,0.116234002697344,0.150070517693403,0.439136350475157,YBR268W,MRPL37,SGDID:S000000472,CDS,CDS,"""Mitochondrial ribosomal protein of the large subunit""",Verified ORF
810,2,742609,0.17907208729084,0.149307887700975,0.231197145587122,YBR269C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
811,2,742620,0.161413105379814,0.149139275063682,0.279858995946288,YBR269C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
812,2,742623,0.161413105379814,0.149139275063682,0.279858995946288,YBR269C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
813,2,742956,0.121830584305695,0.150487154575392,0.418730050186048,YBR270C,BIT2,SGDID:S000000474,CDS,CDS,"""Subunit of TORC2 membrane-associated complex; involved in regulation of actin cytoskeletal dynamics during polarized growth and cell wall integrity; interacts with Slm1p and Slm2p ; homologous PH domain-containing TORC2 substrates; BIT2 has a paralog ; BIT61 ; that arose from the whole genome duplication""",Verified ORF
814,2,744118,0.171278594094305,0.149422688666185,0.252460290384625,YBR270C,BIT2,SGDID:S000000474,CDS,CDS,"""Subunit of TORC2 membrane-associated complex; involved in regulation of actin cytoskeletal dynamics during polarized growth and cell wall integrity; interacts with Slm1p and Slm2p ; homologous PH domain-containing TORC2 substrates; BIT2 has a paralog ; BIT61 ; that arose from the whole genome duplication""",Verified ORF
815,2,744147,0.172858863391268,0.149176084753665,0.2473384507761,YBR270C,BIT2,SGDID:S000000474,CDS,CDS,"""Subunit of TORC2 membrane-associated complex; involved in regulation of actin cytoskeletal dynamics during polarized growth and cell wall integrity; interacts with Slm1p and Slm2p ; homologous PH domain-containing TORC2 substrates; BIT2 has a paralog ; BIT61 ; that arose from the whole genome duplication""",Verified ORF
816,2,744252,0.191947344580652,0.149476291885574,0.199937806492247,YBR270C,BIT2,SGDID:S000000474,CDS,CDS,"""Subunit of TORC2 membrane-associated complex; involved in regulation of actin cytoskeletal dynamics during polarized growth and cell wall integrity; interacts with Slm1p and Slm2p ; homologous PH domain-containing TORC2 substrates; BIT2 has a paralog ; BIT61 ; that arose from the whole genome duplication""",Verified ORF
817,2,744413,0.192424477141681,0.149593688406892,0.199176460676372,YBR270C,BIT2,SGDID:S000000474,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of TORC2 membrane-associated complex; involved in regulation of actin cytoskeletal dynamics during polarized growth and cell wall integrity; interacts with Slm1p and Slm2p ; homologous PH domain-containing TORC2 substrates; BIT2 has a paralog ; BIT61 ; that arose from the whole genome duplication""",Verified ORF
818,2,744417,0.192424477141681,0.149593688406892,0.199176460676372,YBR270C,BIT2,SGDID:S000000474,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of TORC2 membrane-associated complex; involved in regulation of actin cytoskeletal dynamics during polarized growth and cell wall integrity; interacts with Slm1p and Slm2p ; homologous PH domain-containing TORC2 substrates; BIT2 has a paralog ; BIT61 ; that arose from the whole genome duplication""",Verified ORF
819,2,744466,0.204609636491191,0.15022413056438,0.17405720844134,YBR270C,BIT2,SGDID:S000000474,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of TORC2 membrane-associated complex; involved in regulation of actin cytoskeletal dynamics during polarized growth and cell wall integrity; interacts with Slm1p and Slm2p ; homologous PH domain-containing TORC2 substrates; BIT2 has a paralog ; BIT61 ; that arose from the whole genome duplication""",Verified ORF
820,2,746573,0.063548863050239,0.149606664181177,0.671260991312556,YBR272C,HSM3,SGDID:S000000476,CDS,CDS,"""Evolutionarily conserved 19S regulatory particle assembly-chaperone; involved in the assembly of the base subcomplex of the 19S proteasomal regulatory particle (RP); involved in DNA mismatch repair during slow growth; weak similarity to Msh1p; structural study suggests Hsm3p is a scaffold protein for Rpt1p-Rpt2p complex formation; ortholog of human 19S subunit S5b""",Verified ORF
821,2,747212,0.141389588965535,0.150249418691866,0.347331709260115,YBR272C,HSM3,SGDID:S000000476,CDS,CDS,"""Evolutionarily conserved 19S regulatory particle assembly-chaperone; involved in the assembly of the base subcomplex of the 19S proteasomal regulatory particle (RP); involved in DNA mismatch repair during slow growth; weak similarity to Msh1p; structural study suggests Hsm3p is a scaffold protein for Rpt1p-Rpt2p complex formation; ortholog of human 19S subunit S5b""",Verified ORF
824,2,750067,0.0907631328381243,0.149508942212062,0.544191447589476,YBR274W,CHK1,SGDID:S000000478,CDS,CDS,"""Serine/threonine kinase and DNA damage checkpoint effector; mediates cell cycle arrest via phosphorylation of Pds1p; phosphorylated by checkpoint signal transducer Mec1p; homolog of S. pombe and mammalian Chk1 checkpoint kinase""",Verified ORF
825,2,751443,0.0881621086124897,0.150664843112418,0.558818144347692,YBR275C,RIF1,SGDID:S000000479,CDS,CDS,"""Protein that binds to the Rap1p C-terminus; involved in control of DNA replication; binds to replication origins to protect DNA at replication forks; contributes to resection of DNA double strand breaks (DSBs); acts synergistically with Rif2p to help control telomere length and establish telomeric silencing; deletion results in telomere elongation""",Verified ORF
827,2,758111,-0.036517808858371,0.150320749453866,0.808198716071089,YBR276C,PPS1,SGDID:S000000480,CDS,CDS,"""Protein phosphatase; has specificity for serine ; threonine ; and tyrosine residues; has a role in the DNA synthesis phase of the cell cycle""",Verified ORF
828,2,760471,0.176865975329772,0.149286918503025,0.236917837536338,YBR277C,YBR277C,SGDID:S000000481,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene YBR278W""",Dubious ORF
829,2,762267,0.116503013075667,0.149194207928727,0.435395478016909,YBR279W,PAF1,SGDID:S000000483,CDS,CDS,"""Component of the Paf1p complex involved in transcription elongation; binds to and modulates the activity of RNA polymerases I and II; required for expression of a subset of genes ; including cell cycle-regulated genes; involved in SER3 repression by helping to maintain SRG1 transcription-dependent nucleosome occupancy; homolog of human PD2/hPAF1""",Verified ORF
