SNP,Chr,Pos,Effect,SE,HUG1_ADE17_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
439,2,297610,0.149686518522014,0.14702729586996,0.309334059147631,YBR029C,CDS1,SGDID:S000000233,CDS,CDS,"""Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase); an enzyme that catalyzes that conversion of CTP + phosphate into diphosphate + CDP-diaclglyerol ; a critical step in the synthesis of all major yeast phospholipids; human homolog CDS1 can complement yeast cds1 null mutant""",Verified ORF
441,2,299680,0.262297657701595,0.146124156572982,0.0735037976717082,YBR030W,RKM3,SGDID:S000000234,CDS,CDS,"""Ribosomal lysine methyltransferase; specific for monomethylation of Rpl42ap and Rpl42bp (lysine 40); nuclear SET domain containing protein; relocalizes to the cytosol in response to hypoxia""",Verified ORF
442,2,299708,0.29537232207016,0.146256659859749,0.0441855523889655,YBR030W,RKM3,SGDID:S000000234,CDS,CDS,"""Ribosomal lysine methyltransferase; specific for monomethylation of Rpl42ap and Rpl42bp (lysine 40); nuclear SET domain containing protein; relocalizes to the cytosol in response to hypoxia""",Verified ORF
443,2,299759,0.286108145937865,0.145807738463869,0.050521101715531,YBR030W,RKM3,SGDID:S000000234,CDS,CDS,"""Ribosomal lysine methyltransferase; specific for monomethylation of Rpl42ap and Rpl42bp (lysine 40); nuclear SET domain containing protein; relocalizes to the cytosol in response to hypoxia""",Verified ORF
444,2,300111,0.24525557122615,0.147046816425123,0.0962275114461389,YBR031W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
446,2,301710,0.290621823109423,0.145821982714664,0.0470319552887399,YBR032W,YBR032W,SGDID:S000000236,CDS,CDS,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YBR032W is not an essential gene""",Uncharacterized ORF
447,2,303446,0.26585816597262,0.146883731086705,0.0711475395815978,YBR033W,EDS1,SGDID:S000000237,CDS,CDS,"""Putative zinc cluster protein ; predicted to be a transcription factor; not an essential gene; EDS1 has a paralog ; RGT1 ; that arose from the whole genome duplication""",Uncharacterized ORF
448,2,303854,0.290994317299315,0.146777147192581,0.0481916436345736,YBR033W,EDS1,SGDID:S000000237,CDS,CDS,"""Putative zinc cluster protein ; predicted to be a transcription factor; not an essential gene; EDS1 has a paralog ; RGT1 ; that arose from the whole genome duplication""",Uncharacterized ORF
449,2,304472,0.257656778569807,0.145700899198127,0.077858484480923,YBR033W,EDS1,SGDID:S000000237,CDS,CDS,"""Putative zinc cluster protein ; predicted to be a transcription factor; not an essential gene; EDS1 has a paralog ; RGT1 ; that arose from the whole genome duplication""",Uncharacterized ORF
450,2,304691,0.211097550247456,0.148290738527859,0.155463406041593,YBR033W,EDS1,SGDID:S000000237,CDS,CDS,"""Putative zinc cluster protein ; predicted to be a transcription factor; not an essential gene; EDS1 has a paralog ; RGT1 ; that arose from the whole genome duplication""",Uncharacterized ORF
451,2,308097,0.376328951023981,0.145778602392242,0.0102395473282398,YNCB0010W,TLC1,SGDID:S000006657,Non-coding RNA,telomerase_RNA_gene,"""RNA template component of telomerase; flexible scaffold that tethers telomerase holoenzyme protein subunits to the complex; contains template sequence that Est2p uses to add irregular repeats of TG(1-3) residues onto a DNA end; promoter regulated by the cell cycle dependent transcriptional activators Swi4p/Swi6p and Mbp1p/Swi6p""",telomerase_RNA_gene
453,2,309402,0.176975558221519,0.145949314381455,0.226100440495668,YBR036C,CSG2,SGDID:S000000240,CDS,CDS,"""Endoplasmic reticulum membrane protein; required for mannosylation of inositolphosphorylceramide and for growth at high calcium concentrations; protein abundance increases in response to DNA replication stress""",Verified ORF
454,2,310030,0.149245024456113,0.146859974261924,0.310210980041718,YBR036C,CSG2,SGDID:S000000240,CDS,CDS,"""Endoplasmic reticulum membrane protein; required for mannosylation of inositolphosphorylceramide and for growth at high calcium concentrations; protein abundance increases in response to DNA replication stress""",Verified ORF
455,2,310113,0.146374627974107,0.146457325553356,0.318268441119063,YBR036C,CSG2,SGDID:S000000240,CDS,CDS,"""Endoplasmic reticulum membrane protein; required for mannosylation of inositolphosphorylceramide and for growth at high calcium concentrations; protein abundance increases in response to DNA replication stress""",Verified ORF
456,2,310972,0.158908807630397,0.146643399141896,0.279263572651435,YBR037C,SCO1,SGDID:S000000241,CDS,CDS,"""Copper-binding protein of mitochondrial inner membrane; required for cytochrome c oxidase activity and respiration; may function to deliver copper to cytochrome c oxidase; similar to thioredoxins; SCO1 has a paralog ; SCO2 ; that arose from the whole genome duplication""",Verified ORF
457,2,312659,-0.0045237888114394,0.146317072003777,0.975352639000684,YBR038W,CHS2,SGDID:S000000242,CDS,CDS,"""Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to chitin upon activation of zymogenic form; required for chitin synthesis in the primary septum during cytokinesis; localization regulated by Cdk1p during mitosis; phosphorylation by Dbf2p kinase regulates its dynamics and chitin synthesis during cytokinesis""",Verified ORF
460,2,318265,-0.186065053048214,0.147887540379055,0.209168230496533,YBR041W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
461,2,318379,-0.154672184620457,0.148429771584206,0.298098697617426,YBR041W,FAT1,SGDID:S000000245,CDS,CDS,"""Very long chain fatty acyl-CoA synthetase and fatty acid transporter; activates imported fatty acids with a preference for very long lengths (C20-C26); has a separate function in the transport of long chain fatty acids""",Verified ORF
462,2,321266,-0.127428924554462,0.147507016037801,0.388238321952476,YBR042C,CST26,SGDID:S000000246,CDS,CDS,"""Acyltransferase; enzyme mainly responsible for the introduction of saturated very long chain fatty acids into neo-synthesized molecules of phosphatidylinositol; required for incorporation of stearic acid into phosphatidylinositol; affects chromosome stability when overexpressed; CST26 has a paralog ; YDR018C ; that arose from the whole genome duplication""",Verified ORF
463,2,322957,-0.220891694952265,0.145871837691931,0.130848134356753,YBR043C,QDR3,SGDID:S000000247,CDS,CDS,"""Multidrug transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; has a role in polyamine homeostasis; involved in spore wall asembly; sequence similarity to DTR1 and QDR1 ; and the triple mutant dtr1 qdr1 qdr3 exhibits reduced dityrosine fluorescence relative to the single mutants; expression is upregulated under polyamine stress; required for resistance to quinidine ; barban ; cisplatin ; and bleomycin""",Verified ORF
464,2,325221,-0.134676309448679,0.146973531507963,0.360119217997708,YBR044C,TCM62,SGDID:S000000248,CDS,CDS,"""Protein involved in assembly of the succinate dehydrogenase complex; mitochondrial; putative chaperone""",Verified ORF
465,2,332691,-0.03309347480588,0.148636611030394,0.82393913080959,YBR048W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
466,2,333006,-0.134803772496958,0.148181516311961,0.363590617106022,YBR047W,FMP23,SGDID:S000000251,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; proposed to be involved in iron or copper homeostasis; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Uncharacterized ORF
468,2,335046,-0.111904534092838,0.146747687320213,0.446232586036041,YBR049C,REB1,SGDID:S000000253,CDS,CDS,"""RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription; Reb1p bound to DNA acts to block RNA polymerase II readthrough transcription""",Verified ORF
469,2,335049,-0.121472478409934,0.14735129865589,0.410284140650276,YBR049C,REB1,SGDID:S000000253,CDS,CDS,"""RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription; Reb1p bound to DNA acts to block RNA polymerase II readthrough transcription""",Verified ORF
470,2,335995,-0.178261612819489,0.146352538511879,0.224026506686229,YBR049C,REB1,SGDID:S000000253,CDS,CDS,"""RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription; Reb1p bound to DNA acts to block RNA polymerase II readthrough transcription""",Verified ORF
471,2,336060,-0.188590518164223,0.146117910747742,0.197661602651754,YBR049C,REB1,SGDID:S000000253,CDS,CDS,"""RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription; Reb1p bound to DNA acts to block RNA polymerase II readthrough transcription""",Verified ORF
472,2,338292,-0.118471599407658,0.146317248581212,0.418663871516674,YBR051W,YBR051W,SGDID:S000000255,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the REG2/YBR050C regulatory subunit of the Glc7p type-1 protein phosphatase""",Dubious ORF
473,2,339568,-0.202036082214697,0.146278934157102,0.168100360957034,YBR052C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
474,2,340466,-0.248511292177162,0.147351122865563,0.0925783110357341,YBR053C,YBR053C,SGDID:S000000257,CDS,CDS,"""Putative protein of unknown function; induced by cell wall perturbation""",Uncharacterized ORF
478,2,348480,-0.235602348289845,0.145917528785654,0.107284992041976,YBR056W,YBR056W,SGDID:S000000260,CDS,CDS,"""Putative glycoside hydrolase of the mitochondrial intermembrane space""",Verified ORF
479,2,350086,-0.265468600026985,0.145779136387863,0.0694482581650173,YBR056W,YBR056W,SGDID:S000000260,Close to 3'-UTR,Close to 3'-UTR,"""Putative glycoside hydrolase of the mitochondrial intermembrane space""",Verified ORF
480,2,351083,-0.21482238141643,0.147913853159401,0.147293132073176,YBR056W-A_NFR/NDR,,,Promoter,Promoter,,Promoter
481,2,351335,-0.221173528083717,0.146214425975128,0.13125936938839,YBR056W-A,MNC1,SGDID:S000028736,CDS,CDS,"""Putative membrane protein upregulated in toxic manganese levels; mRNA identified as translated by ribosome profiling data; partially overlaps dubious ORF YBR056C-B; YBR056W-A has a paralog ; YDR034W-B ; that arose from the whole genome duplication""",Uncharacterized ORF
482,2,351417,-0.206903866173522,0.146250371679499,0.158030996329914,YBR056W-A,MNC1,SGDID:S000028736,CDS,CDS,"""Putative membrane protein upregulated in toxic manganese levels; mRNA identified as translated by ribosome profiling data; partially overlaps dubious ORF YBR056C-B; YBR056W-A has a paralog ; YDR034W-B ; that arose from the whole genome duplication""",Uncharacterized ORF
483,2,351450,-0.269720723054601,0.146123193124812,0.0657519087854708,YBR056W-A,MNC1,SGDID:S000028736,CDS,CDS,"""Putative membrane protein upregulated in toxic manganese levels; mRNA identified as translated by ribosome profiling data; partially overlaps dubious ORF YBR056C-B; YBR056W-A has a paralog ; YDR034W-B ; that arose from the whole genome duplication""",Uncharacterized ORF
484,2,352302,-0.193639806571049,0.147627041569104,0.190479715026168,YBR057C,MUM2,SGDID:S000000261,CDS,CDS,"""Protein essential for meiotic DNA replication and sporulation; cytoplasmic protein; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation; also interacts with Orc2p ; which is a component of the origin recognition complex""",Verified ORF
485,2,352469,-0.203093461049896,0.146090579184037,0.165347541148686,YBR057C,MUM2,SGDID:S000000261,CDS,CDS,"""Protein essential for meiotic DNA replication and sporulation; cytoplasmic protein; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation; also interacts with Orc2p ; which is a component of the origin recognition complex""",Verified ORF
486,2,352562,-0.207841629090414,0.146672074299787,0.157350328382278,YBR057C,MUM2,SGDID:S000000261,CDS,CDS,"""Protein essential for meiotic DNA replication and sporulation; cytoplasmic protein; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation; also interacts with Orc2p ; which is a component of the origin recognition complex""",Verified ORF
487,2,352944,-0.201681471208534,0.146271035952529,0.168823243018811,YBR057C,MUM2,SGDID:S000000261,CDS,CDS,"""Protein essential for meiotic DNA replication and sporulation; cytoplasmic protein; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation; also interacts with Orc2p ; which is a component of the origin recognition complex""",Verified ORF
490,2,355266,-0.246334790104542,0.146077183025239,0.0926152017788522,YBR058C,UBP14,SGDID:S000000262,CDS,CDS,"""Ubiquitin-specific protease; specifically disassembles unanchored ubiquitin chains; involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; similar to human isopeptidase T""",Verified ORF
491,2,358277,-0.203523575094635,0.146287023217495,0.165022189653332,YBR059C,AKL1,SGDID:S000000263,CDS,CDS,"""Ser/Thr protein kinase; phosphorylates Pan1p ; Sla1p and Ent1p to negatively regulate endocytosis in response to membrane stress; regulates actin cytoskeleton organization and clathrin-dependent endocytosis; phosphorylated and inhibited by upstream kinase ; Fpk1p; member ; along with Ark1p and Prk1p ; of the Ark kinase family""",Verified ORF
492,2,358926,-0.171461207628121,0.146619649176166,0.243020021115001,YBR059C,AKL1,SGDID:S000000263,CDS,CDS,"""Ser/Thr protein kinase; phosphorylates Pan1p ; Sla1p and Ent1p to negatively regulate endocytosis in response to membrane stress; regulates actin cytoskeleton organization and clathrin-dependent endocytosis; phosphorylated and inhibited by upstream kinase ; Fpk1p; member ; along with Ark1p and Prk1p ; of the Ark kinase family""",Verified ORF
493,2,358948,-0.183607622259192,0.146624624450586,0.211315411978541,YBR059C,AKL1,SGDID:S000000263,CDS,CDS,"""Ser/Thr protein kinase; phosphorylates Pan1p ; Sla1p and Ent1p to negatively regulate endocytosis in response to membrane stress; regulates actin cytoskeleton organization and clathrin-dependent endocytosis; phosphorylated and inhibited by upstream kinase ; Fpk1p; member ; along with Ark1p and Prk1p ; of the Ark kinase family""",Verified ORF
494,2,359515,-0.191010727128724,0.146376617737078,0.192767884329335,YBR059C,AKL1,SGDID:S000000263,CDS,CDS,"""Ser/Thr protein kinase; phosphorylates Pan1p ; Sla1p and Ent1p to negatively regulate endocytosis in response to membrane stress; regulates actin cytoskeleton organization and clathrin-dependent endocytosis; phosphorylated and inhibited by upstream kinase ; Fpk1p; member ; along with Ark1p and Prk1p ; of the Ark kinase family""",Verified ORF
495,2,363190,-0.0931645629201124,0.148082030034148,0.529663294207125,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
496,2,363588,-0.0577436904582047,0.148717816519237,0.698045197699277,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
497,2,363888,-0.0792081115496919,0.147412792613803,0.591383865080983,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
498,2,363954,-0.0846626561436254,0.146817971189801,0.564543099341892,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
499,2,364199,-0.0827539731651956,0.146621401725096,0.572836417595405,SUT014,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
501,2,365981,-0.168138176023335,0.149377205534403,0.261101847054491,CUT019,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
502,2,366047,-0.108182642840333,0.146837075980966,0.46176198339853,CUT019,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
503,2,366936,-0.113690728956312,0.148517801399261,0.444483968214944,XUT_2F-146,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
504,2,369530,-0.147536084479058,0.146495765747458,0.314575897552822,YBR065C,ECM2,SGDID:S000000269,CDS,CDS,"""Pre-mRNA splicing factor; facilitates the cooperative formation of U2/U6 helix II in association with stem II in the spliceosome ; function may be regulated by Slu7p""",Verified ORF
506,2,369931,-0.120864773546124,0.147572345400327,0.413327310958277,YBR065C_NFR/NDR,,,Promoter,Promoter,,Promoter
507,2,371033,-0.209870132680514,0.146896254203698,0.15397577893175,YBR066C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
508,2,372919,-0.117931594479741,0.146549709748901,0.421522481193142,YBR067C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
509,2,373518,-0.0620705510866308,0.146563550267338,0.672184000942733,YBR067C,TIP1,SGDID:S000000271,Close to 3'-UTR,Close to 3'-UTR,"""Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins""",Verified ORF
510,2,376157,-0.146198461843264,0.14671812233761,0.319710168722566,YBR068C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
511,2,376172,-0.136048836153959,0.147809103879338,0.357973480678943,YBR068C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
514,2,381433,-0.101200533565833,0.147781353870047,0.493920103607,CUT023,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
515,2,381922,-0.0624248948297547,0.148991010726409,0.675482430996913,YBR072W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
516,2,382146,-0.0647003707493883,0.146745662760161,0.659554266108616,YBR072W,HSP26,SGDID:S000000276,CDS,CDS,"""Small heat shock protein (sHSP) with chaperone activity; forms hollow ; sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity""",Verified ORF
517,2,384206,-0.0419610393740473,0.147226054320494,0.775802884326995,YBR073W,RDH54,SGDID:S000000277,CDS,CDS,"""DNA-dependent ATPase; DNA recombination/repair translocase ; supercoils DNA ; promotes DNA strand opening; stimulates strand exchange by modifying dsDNA topology; involved in recombinational repair of DNA double-strand breaks (DSBs) during mitosis ; meiosis; implicated in cell divisions in telomerase-negative strains through adaptation to DNA damage ; which allows bypass of cell cycle arrest and contributes senescence-specific genome instability; phosphorylated in response to DNA damage""",Verified ORF
518,2,384955,-0.05331605149448,0.146887608328652,0.716843235350199,YBR073W,RDH54,SGDID:S000000277,CDS,CDS,"""DNA-dependent ATPase; DNA recombination/repair translocase ; supercoils DNA ; promotes DNA strand opening; stimulates strand exchange by modifying dsDNA topology; involved in recombinational repair of DNA double-strand breaks (DSBs) during mitosis ; meiosis; implicated in cell divisions in telomerase-negative strains through adaptation to DNA damage ; which allows bypass of cell cycle arrest and contributes senescence-specific genome instability; phosphorylated in response to DNA damage""",Verified ORF
520,2,387301,-0.0574900264174314,0.147631152716984,0.697202789651842,YBR074W,PFF1,SGDID:S000000278,CDS,CDS,"""Multi-spanning vacuolar membrane protease; glycosylated transmembrane protein bearing homology to the M28 family of metalloproteases; has a lumenal-facing protease domain; proposed role in vacuole physiology""",Verified ORF
521,2,388313,-0.0644171196394193,0.146746015769503,0.660951732476817,YBR074W,PFF1,SGDID:S000000278,CDS,CDS,"""Multi-spanning vacuolar membrane protease; glycosylated transmembrane protein bearing homology to the M28 family of metalloproteases; has a lumenal-facing protease domain; proposed role in vacuole physiology""",Verified ORF
524,2,390138,-0.101997863448213,0.147142879942839,0.488646611916688,ARS213,ARS213,SGDID:S000130152,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
525,2,391233,-0.0131407320145681,0.148059675542792,0.929328586063416,YBR076W,ECM8,SGDID:S000000280,CDS,CDS,"""Non-essential protein of unknown function""",Verified ORF
530,2,395606,-0.309796151373649,0.146275613991378,0.0348826258410246,YBR079C,RPG1,SGDID:S000000283,CDS,CDS,"""eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; essential for loading mRNA onto ribosome at entry and exit channels of preinitiation complex; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough""",Verified ORF
531,2,395726,-0.323270487134684,0.146138823699712,0.0276010753290313,YBR079C,RPG1,SGDID:S000000283,CDS,CDS,"""eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; essential for loading mRNA onto ribosome at entry and exit channels of preinitiation complex; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough""",Verified ORF
532,2,395853,-0.309483881674238,0.146645048220443,0.0355244908130997,YBR079C,RPG1,SGDID:S000000283,CDS,CDS,"""eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; essential for loading mRNA onto ribosome at entry and exit channels of preinitiation complex; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough""",Verified ORF
533,2,396484,-0.284313170684707,0.14613360576439,0.0524998726891347,YBR079C,RPG1,SGDID:S000000283,CDS,CDS,"""eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; essential for loading mRNA onto ribosome at entry and exit channels of preinitiation complex; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough""",Verified ORF
534,2,396705,-0.312687564159685,0.145897955238337,0.0327806461125496,YBR079C,RPG1,SGDID:S000000283,CDS,CDS,"""eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; essential for loading mRNA onto ribosome at entry and exit channels of preinitiation complex; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough""",Verified ORF
535,2,398759,-0.242457485139792,0.147481150938946,0.101068609442109,YBR080C,SEC18,SGDID:S000000284,CDS,CDS,"""AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi ; the 'priming' step in homotypic vacuole fusion ; autophagy ; and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)""",Verified ORF
536,2,400386,-0.228075430663638,0.146717068673381,0.120955171935219,YBR080C,SEC18,SGDID:S000000284,CDS,CDS,"""AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi ; the 'priming' step in homotypic vacuole fusion ; autophagy ; and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)""",Verified ORF
537,2,400847,-0.261999243635574,0.146420275007947,0.0744132987637905,YBR080C,SEC18,SGDID:S000000284,CDS,CDS,"""AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi ; the 'priming' step in homotypic vacuole fusion ; autophagy ; and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)""",Verified ORF
538,2,401130,-0.199929457109501,0.148048706711007,0.177743118224094,YBR080C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
539,2,401143,-0.22182194763282,0.147665168937024,0.133940636844726,YBR080C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
540,2,401979,-0.181684562174879,0.147728503374873,0.219570627031083,YBR081C,SPT7,SGDID:S000000285,CDS,CDS,"""Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex""",Verified ORF
541,2,403598,-0.16695105512725,0.146992223843027,0.256818528681299,YBR081C,SPT7,SGDID:S000000285,CDS,CDS,"""Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex""",Verified ORF
542,2,404844,-0.187234435262563,0.148571726756324,0.208419113429036,YBR081C,SPT7,SGDID:S000000285,CDS,CDS,"""Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex""",Verified ORF
543,2,405100,-0.175524627110873,0.147246464353497,0.23404377695895,YBR081C,SPT7,SGDID:S000000285,CDS,CDS,"""Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex""",Verified ORF
548,2,406181,-0.171115605388341,0.147356878629596,0.246331963851851,YBR081C,SPT7,SGDID:S000000285,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex""",Verified ORF
549,2,406688,-0.109184924456575,0.146670981326962,0.457117227419341,YBR082C,UBC4,SGDID:S000000286,CDS,CDS,"""Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of abnormal or excess proteins ; including calmodulin and histone H3; regulates levels of DNA Polymerase-{alpha} to promote efficient and accurate DNA replication; interacts with many SCF ubiquitin protein ligases; component of the cellular stress response; UBC4 has a paralog ; UBC5 ; that arose from the whole genome duplication""",Verified ORF
550,2,407621,-0.200245877792529,0.147605649964383,0.175766562924174,YBR082C,UBC4,SGDID:S000000286,Close to 3'-UTR,Close to 3'-UTR,"""Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of abnormal or excess proteins ; including calmodulin and histone H3; regulates levels of DNA Polymerase-{alpha} to promote efficient and accurate DNA replication; interacts with many SCF ubiquitin protein ligases; component of the cellular stress response; UBC4 has a paralog ; UBC5 ; that arose from the whole genome duplication""",Verified ORF
551,2,409016,-0.191711764775242,0.149123306041772,0.199428138601517,YBR083W,TEC1,SGDID:S000000287,Close to 3'-UTR,Close to 3'-UTR,"""Transcription factor targeting filamentation genes and Ty1 expression; Ste12p activation of most filamentation gene promoters depends on Tec1p and Tec1p transcriptional activity is dependent on its association with Ste12p; binds to TCS elements upstream of filamentation genes ; which are regulated by Tec1p/Ste12p/Dig1p complex; competes with Dig2p for binding to Ste12p/Dig1p; positive regulator of chronological life span; TEA/ATTS DNA-binding domain family member""",Verified ORF
552,2,410647,-0.143294038041869,0.147095787877863,0.330646851713509,YBR083W,TEC1,SGDID:S000000287,Close to 3'-UTR,Close to 3'-UTR,"""Transcription factor targeting filamentation genes and Ty1 expression; Ste12p activation of most filamentation gene promoters depends on Tec1p and Tec1p transcriptional activity is dependent on its association with Ste12p; binds to TCS elements upstream of filamentation genes ; which are regulated by Tec1p/Ste12p/Dig1p complex; competes with Dig2p for binding to Ste12p/Dig1p; positive regulator of chronological life span; TEA/ATTS DNA-binding domain family member""",Verified ORF
554,2,419803,-0.153049454224384,0.148103720613732,0.302127134511775,YBR085C-A,YBR085C-A,SGDID:S000007522,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus; protein abundance increases in response to DNA replication stress""",Verified ORF
555,2,419943,-0.141186297069677,0.149013850042078,0.344046982986743,YBR085C-A,YBR085C-A,SGDID:S000007522,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus; protein abundance increases in response to DNA replication stress""",Verified ORF
556,2,422349,-0.179723125761185,0.147062383096292,0.222489885102348,YBR086C,IST2,SGDID:S000000290,CDS,CDS,"""Cortical ER protein involved in ER-plasma membrane (PM) tethering; one of 6 proteins (Ist2 ; Scs2 ; Scs22 ; Tcb1 ; Tcb2 ; Tcb3) that connect ER to PM ; regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1 phosphatase to PI4P; required to locate Osh6 ; Osh7 in ER/PM contact site to allow phosphatidylserine transport from ER to PM; localizes to mother in small-budded cells ; to bud in medium- ; large-budded cells; mRNA transported to bud tip by actomyosin-driven process""",Verified ORF
557,2,425467,-0.0995387336655842,0.146748506836419,0.498029254863279,YBR088C,POL30,SGDID:S000000292,CDS,CDS,"""Proliferating cell nuclear antigen (PCNA); functions as the sliding replication clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic chromosomal DNA replication and for DNA repair; PCNA ubiquitination at K164 plays a crucial role during Okazaki fragment processing""",Verified ORF
560,2,429095,-0.0797963864476828,0.147652604274661,0.589239048024826,XUT_2F-177,,,Unstable transcript,XUT,ncRNA_STM,Unstable transcript
