SNP,Chr,Pos,Effect,SE,ERG11_ORM2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
2271,4,769848,-0.0119601800413637,0.0853907017457712,0.888689151467171,YDR156W,RPA14,SGDID:S000002563,CDS,CDS,"""RNA polymerase I subunit A14""",Verified ORF
2272,4,769943,-0.0776201286355984,0.0860005411977979,0.367378113413912,YDR157W,YDR157W,SGDID:S000002564,CDS,CDS,"""Putative protein of unknown function; conserved across S. cerevisiae strains""",Uncharacterized ORF
2273,4,778367,-0.0852212263458646,0.0865987345491206,0.325743695199874,YDR160W,SSY1,SGDID:S000002567,CDS,CDS,"""Component of the SPS plasma membrane amino acid sensor system; senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes; other members are Ssy1p ; Ptr3p ; and Ssy5p""",Verified ORF
2274,4,778573,-0.104934433928919,0.0855342628902817,0.220710993110608,YDR160W,SSY1,SGDID:S000002567,CDS,CDS,"""Component of the SPS plasma membrane amino acid sensor system; senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes; other members are Ssy1p ; Ptr3p ; and Ssy5p""",Verified ORF
2275,4,781689,-0.0518883177542468,0.0859290834786852,0.54633090598739,YDR163W,CWC15,SGDID:S000002570,CDS,CDS,"""Non-essential protein involved in pre-mRNA splicing; component of a complex containing Cef1p; has similarity to S. pombe Cwf15p""",Verified ORF
2276,4,782125,-0.0817779925718291,0.08488348216094,0.335998962986376,YDR164C,SEC1,SGDID:S000002571,CDS,CDS,"""Sm-like protein involved in docking and fusion of exocytic vesicles; binds to assembled SNARE complexes at the membrane and stimulates membrane fusion; localization to sites of secretion (bud neck and bud tip) is dependent on SNARE function; interacts directly with essential exocyst subunit Sec6p""",Verified ORF
2277,4,782960,-0.063020238333568,0.0852844388079016,0.460433372590179,YDR164C,SEC1,SGDID:S000002571,CDS,CDS,"""Sm-like protein involved in docking and fusion of exocytic vesicles; binds to assembled SNARE complexes at the membrane and stimulates membrane fusion; localization to sites of secretion (bud neck and bud tip) is dependent on SNARE function; interacts directly with essential exocyst subunit Sec6p""",Verified ORF
2278,4,783543,-0.070559001141705,0.0849079794265122,0.406532220619477,YDR164C,SEC1,SGDID:S000002571,CDS,CDS,"""Sm-like protein involved in docking and fusion of exocytic vesicles; binds to assembled SNARE complexes at the membrane and stimulates membrane fusion; localization to sites of secretion (bud neck and bud tip) is dependent on SNARE function; interacts directly with essential exocyst subunit Sec6p""",Verified ORF
2279,4,784282,-0.0531597662767698,0.0855491500618166,0.534741193754006,YDR164C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2280,4,789241,-0.0441539815004454,0.0850227920752817,0.603863506446831,YDR167W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2281,4,794376,-0.0082089476729813,0.0854755103960792,0.923544420152188,YDR169C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2282,4,794951,-0.0125989889184294,0.085606966194047,0.883079906499183,CUT071,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
2283,4,795775,-0.0270146895412934,0.0859545060875924,0.75348603535054,YDR170C,SEC7,SGDID:S000002577,Close to 3'-UTR,Close to 3'-UTR,"""Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors; involved in proliferation of the Golgi ; intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles""",Verified ORF
2284,4,795937,-0.0528903378764984,0.0865426764069921,0.541495290108546,YDR170C,SEC7,SGDID:S000002577,Close to 3'-UTR,Close to 3'-UTR,"""Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors; involved in proliferation of the Golgi ; intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles""",Verified ORF
2285,4,797067,-0.0384374305088381,0.0861848017657517,0.655878978736295,YDR170C,SEC7,SGDID:S000002577,CDS,CDS,"""Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors; involved in proliferation of the Golgi ; intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles""",Verified ORF
2286,4,797405,-0.0552441839452678,0.0868493907824719,0.525128795262926,YDR170C,SEC7,SGDID:S000002577,CDS,CDS,"""Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors; involved in proliferation of the Golgi ; intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles""",Verified ORF
2289,4,802519,-0.0160575865736751,0.084874559294394,0.850051077479409,YDR170C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2292,4,808113,-0.0365113585464748,0.0850901074991283,0.66811910171504,YDR172W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2295,4,811690,-0.0371775730235735,0.0852118229898496,0.66288873677275,YDR173C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2296,4,812053,-0.0173300155553657,0.0850060568075186,0.838574122867824,YDR174W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2297,4,814423,-0.051756389298368,0.0850811473380681,0.543367822469952,YDR176W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2299,4,816707,-0.0431144996369946,0.0848398413795431,0.61163966060768,YDR177W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2300,4,817314,-0.0381780528800315,0.0869656214621092,0.660928912052615,YDR177W,UBC1,SGDID:S000002584,CDS,CDS,"""Ubiquitin-conjugating enzyme; key E2 partner with Ubc4p for the anaphase-promoting complex (APC); mediates selective degradation of short-lived and abnormal proteins; plays a role in vesicle biogenesis and ER-associated protein degradation (ERAD); component of the cellular stress response; protein abundance increases in response to DNA replication stress key E2 partner with Ubc4p for the anaphase-promoting complex (APC)""",Verified ORF
2301,4,817489,-0.0737463055120376,0.0857510682376279,0.390370241313048,YDR177W,UBC1,SGDID:S000002584,CDS,CDS,"""Ubiquitin-conjugating enzyme; key E2 partner with Ubc4p for the anaphase-promoting complex (APC); mediates selective degradation of short-lived and abnormal proteins; plays a role in vesicle biogenesis and ER-associated protein degradation (ERAD); component of the cellular stress response; protein abundance increases in response to DNA replication stress key E2 partner with Ubc4p for the anaphase-promoting complex (APC)""",Verified ORF
2302,4,817645,-0.0283207662862908,0.0853370623632976,0.740184773108922,YDR178W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2303,4,817729,-0.0250375143222452,0.0851018622997441,0.768773096213822,YDR178W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2305,4,820654,-0.0455592903748334,0.0854381415601502,0.594200944216202,YDR179W-A,NVJ3,SGDID:S000002587,CDS,CDS,"""Protein with a potential role in tethering ER and vacuoles; localizes to nucleus-vacuole junctions in an Mdm1p-dependent manner; contains a lipid-binding PXA domain""",Verified ORF
2306,4,821138,-0.0140839417840585,0.0855899114993532,0.869391251330839,YDR180W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2307,4,825050,-0.0196561430951898,0.0851031787191198,0.817473177847744,YDR180W,SCC2,SGDID:S000002588,CDS,CDS,"""Subunit of cohesin loading factor (Scc2p-Scc4p); a complex required for loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during DSB repair via histone H2AX; promotes gene expression program that supports translational fidelity; evolutionarily-conserved adherin; relocalizes to cytosol in response to hypoxia; human disorder Cornelia de Lange syndrome is caused by mutations in NIPBL ; the human ortholog of SCC2; conserved role in NHEJ""",Verified ORF
2308,4,825273,-0.0436159099719339,0.0850779434217625,0.608511030868062,YDR180W,SCC2,SGDID:S000002588,CDS,CDS,"""Subunit of cohesin loading factor (Scc2p-Scc4p); a complex required for loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during DSB repair via histone H2AX; promotes gene expression program that supports translational fidelity; evolutionarily-conserved adherin; relocalizes to cytosol in response to hypoxia; human disorder Cornelia de Lange syndrome is caused by mutations in NIPBL ; the human ortholog of SCC2; conserved role in NHEJ""",Verified ORF
2309,4,826151,-0.0939732426249316,0.0851041367569069,0.270252106936015,YDR181C,SAS4,SGDID:S000002589,CDS,CDS,"""Subunit of the SAS complex (Sas2p ; Sas4p ; Sas5p); acetylates free histones and nucleosomes and regulates transcriptional silencing; required for the HAT activity of Sas2p""",Verified ORF
2310,4,826324,-0.0509747935843256,0.0851983528974487,0.550018616991355,YDR181C,SAS4,SGDID:S000002589,CDS,CDS,"""Subunit of the SAS complex (Sas2p ; Sas4p ; Sas5p); acetylates free histones and nucleosomes and regulates transcriptional silencing; required for the HAT activity of Sas2p""",Verified ORF
2313,4,831973,0.0649516572192212,0.0867040118134449,0.454284133601017,SUT061,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
2314,4,832289,0.0386563455421204,0.0848539219844466,0.648984025212192,SUT061,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
2315,4,834790,0.0357296757819045,0.0849897877830776,0.674449328618369,YDR186C,SND1,SGDID:S000002594,CDS,CDS,"""Protein involved in SRP-independent targeting of substrates to the ER; component of an alternative ER targeting pathway that has partial functional redundancy with the GET pathway; preference for substrates with downstream transmembrane domains; interacts with Env10p/Snd2p and Pho88p/Snd3p; can compensate for loss of SRP; co-purifies with ribosomes; GFP-fusion protein localizes to the cytoplasm""",Verified ORF
2316,4,835165,0.008430549227178,0.085135301679154,0.921174387109172,YDR186C,SND1,SGDID:S000002594,CDS,CDS,"""Protein involved in SRP-independent targeting of substrates to the ER; component of an alternative ER targeting pathway that has partial functional redundancy with the GET pathway; preference for substrates with downstream transmembrane domains; interacts with Env10p/Snd2p and Pho88p/Snd3p; can compensate for loss of SRP; co-purifies with ribosomes; GFP-fusion protein localizes to the cytoplasm""",Verified ORF
2317,4,835337,0.0524521292503372,0.0851890628984553,0.538479835816472,YDR186C,SND1,SGDID:S000002594,CDS,CDS,"""Protein involved in SRP-independent targeting of substrates to the ER; component of an alternative ER targeting pathway that has partial functional redundancy with the GET pathway; preference for substrates with downstream transmembrane domains; interacts with Env10p/Snd2p and Pho88p/Snd3p; can compensate for loss of SRP; co-purifies with ribosomes; GFP-fusion protein localizes to the cytoplasm""",Verified ORF
2318,4,838720,0.0087053479058009,0.0859611306819724,0.919393033486092,YDR189W,SLY1,SGDID:S000002597,CDS,CDS,"""Hydrophilic protein involved in ER/Golgi vesicle trafficking; SM (Sec1/Munc-18) family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex""",Verified ORF
2319,4,839960,0.0262982572935658,0.0869910074386432,0.76259374883918,YDR189W,SLY1,SGDID:S000002597,CDS,CDS,"""Hydrophilic protein involved in ER/Golgi vesicle trafficking; SM (Sec1/Munc-18) family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex""",Verified ORF
2320,4,842152,0.0167032872324794,0.086851743016979,0.84760250268172,YDR191W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2321,4,842326,0.0551798998629111,0.0855509951815727,0.519349872635898,YDR191W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2322,4,842566,0.055118413892252,0.0858045017880331,0.521048607190957,YDR191W,HST4,SGDID:S000002599,CDS,CDS,"""NAD(+)-dependent protein deacetylase; deacetylation targets are primarily mitochondrial proteins; involved along with Hst3p in silencing at telomeres ; cell cycle progression ; radiation resistance ; genomic stability and short-chain fatty acid metabolism; accumulates in mitochondria in response to biotin starvation and may link biotin metabolism with energy homeostasis; member of the Sir2 family and may be the functional equivalent of human SIRT3""",Verified ORF
2323,4,843045,0.0155877570061571,0.0852307570945752,0.854990207615817,YDR191W,HST4,SGDID:S000002599,CDS,CDS,"""NAD(+)-dependent protein deacetylase; deacetylation targets are primarily mitochondrial proteins; involved along with Hst3p in silencing at telomeres ; cell cycle progression ; radiation resistance ; genomic stability and short-chain fatty acid metabolism; accumulates in mitochondria in response to biotin starvation and may link biotin metabolism with energy homeostasis; member of the Sir2 family and may be the functional equivalent of human SIRT3""",Verified ORF
2324,4,843203,0.0259135150070623,0.0863513188086054,0.764282075771102,YDR191W,HST4,SGDID:S000002599,CDS,CDS,"""NAD(+)-dependent protein deacetylase; deacetylation targets are primarily mitochondrial proteins; involved along with Hst3p in silencing at telomeres ; cell cycle progression ; radiation resistance ; genomic stability and short-chain fatty acid metabolism; accumulates in mitochondria in response to biotin starvation and may link biotin metabolism with energy homeostasis; member of the Sir2 family and may be the functional equivalent of human SIRT3""",Verified ORF
2325,4,843659,0.0119807327837958,0.0862570172838215,0.889611736432407,YDR192C,NUP42,SGDID:S000002600,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2326,4,843707,0.0127209065564871,0.0849869567143426,0.881102022978504,YDR192C,NUP42,SGDID:S000002600,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2327,4,843818,-0.0226951715448902,0.0859649664204096,0.791930207306499,YDR192C,NUP42,SGDID:S000002600,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2328,4,843920,-0.026000017086178,0.0851144821312223,0.760187403637702,YDR192C,NUP42,SGDID:S000002600,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2329,4,843927,-0.0115823623321895,0.0858441535357819,0.892749545988588,YDR192C,NUP42,SGDID:S000002600,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2330,4,844384,-0.015296563925902,0.0858342372514864,0.858659875703074,YDR192C,NUP42,SGDID:S000002600,CDS,CDS,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2331,4,844958,-0.0215452913122869,0.0856429530312778,0.801518994821853,YDR192C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2332,4,845665,-0.0542237077074671,0.0851805217971797,0.524814909463822,YDR192C,NUP42,SGDID:S000002600,Close to 3'-UTR,Close to 3'-UTR,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2333,4,845722,-0.0679949240190286,0.0849139056981575,0.423814217747986,YDR192C,NUP42,SGDID:S000002600,Close to 3'-UTR,Close to 3'-UTR,"""FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p; human homolog NUP42 can complement yeast mutant""",Verified ORF
2335,4,846867,-0.0792816356255423,0.0850210792444506,0.351718696565023,YDR194C,MSS116,SGDID:S000002602,CDS,CDS,"""Mitochondrial transcription elongation factor; DEAD-box protein; required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing; promotes RNA folding by stabilizing an early assembly intermediate""",Verified ORF
2336,4,847743,-0.0691044536878993,0.0849314568816009,0.416394142210438,YDR194C,MSS116,SGDID:S000002602,CDS,CDS,"""Mitochondrial transcription elongation factor; DEAD-box protein; required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing; promotes RNA folding by stabilizing an early assembly intermediate""",Verified ORF
2337,4,847796,-0.0435198619973341,0.085935319529216,0.612873921377698,YDR194C,MSS116,SGDID:S000002602,CDS,CDS,"""Mitochondrial transcription elongation factor; DEAD-box protein; required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing; promotes RNA folding by stabilizing an early assembly intermediate""",Verified ORF
2338,4,847822,-0.0349195219596499,0.0851296451578976,0.681913753152043,YDR194C,MSS116,SGDID:S000002602,CDS,CDS,"""Mitochondrial transcription elongation factor; DEAD-box protein; required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing; promotes RNA folding by stabilizing an early assembly intermediate""",Verified ORF
2339,4,848136,-0.0304207985755905,0.0856052193018405,0.722531034081327,YDR194W-A,YDR194W-A,SGDID:S000028541,CDS,CDS,"""Putative protein of unknown function; identified by fungal homology and RT-PCR""",Uncharacterized ORF
2340,4,849577,-0.0320428592520541,0.0856336487103517,0.708491061659638,YDR195W,REF2,SGDID:S000002603,CDS,CDS,"""RNA-binding protein; involved in the cleavage step of mRNA 3'-end formation prior to polyadenylation ; and in snoRNA maturation; part of holo-CPF subcomplex APT ; which associates with 3'-ends of snoRNA- and mRNA-encoding genes; putative regulatory subunit of type 1 protein phosphatase Glc7p ; required for actomyosin ring formation ; and for timely dephosphorylation and release of Bnr1p from the division site; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2341,4,850450,-0.116645691584228,0.0859908350098488,0.175810285194205,YDR196C,CAB5,SGDID:S000002604,CDS,CDS,"""Subunit of the CoA-Synthesizing Protein Complex (CoA-SPC); subunits of this complex are: Cab2p ; Cab3p ; Cab4p ; Cab5p ; Sis2p and Vhs3p; probable dephospho-CoA kinase (DPCK) that catalyzes the last step in coenzyme A biosynthesis; involved in histone acylation; null mutant lethality is complemented by human homolog DCAKD and by E. coli coaE (encoding DPCK); detected in purified mitochondria in high-throughput studies; also localized to lipid droplets""",Verified ORF
2342,4,851053,-0.118780180443665,0.084874480654248,0.16254707673726,YDR197W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2343,4,851208,-0.0798335657795707,0.0854903952403691,0.351029483608663,YDR197W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2344,4,851282,-0.112253477092745,0.084907721174321,0.187002733699083,YDR197W,CBS2,SGDID:S000002605,CDS,CDS,"""Mitochondrial translational activator of the COB mRNA; interacts with translating ribosomes ; acts on the COB mRNA 5'-untranslated leader""",Verified ORF
2345,4,851750,-0.114022994499092,0.0851424878646047,0.181366559395921,YDR197W,CBS2,SGDID:S000002605,CDS,CDS,"""Mitochondrial translational activator of the COB mRNA; interacts with translating ribosomes ; acts on the COB mRNA 5'-untranslated leader""",Verified ORF
2346,4,852621,-0.0174214438490363,0.0851206807584367,0.837949806765291,YDR198C,RKM2,SGDID:S000002606,CDS,CDS,"""Ribosomal protein lysine methyltransferase; responsible for trimethylation of the lysine residue at position 3 of Rpl12Ap and Rpl12Bp""",Verified ORF
2347,4,855191,-0.0654291739086312,0.085094847866324,0.442468580238684,YDR200C,VPS64,SGDID:S000002608,CDS,CDS,"""Protein required for cytoplasm to vacuole targeting of proteins; forms a complex with Far3p and Far7p to Far11p involved in recovery from pheromone-induced cell cycle arrest; mutant has increased aneuploidy tolerance; VPS64 has a paralog ; FAR10 ; that arose from the whole genome duplication""",Verified ORF
2348,4,855322,-0.0973696465409603,0.0849786032404272,0.252648417741325,YDR200C,VPS64,SGDID:S000002608,CDS,CDS,"""Protein required for cytoplasm to vacuole targeting of proteins; forms a complex with Far3p and Far7p to Far11p involved in recovery from pheromone-induced cell cycle arrest; mutant has increased aneuploidy tolerance; VPS64 has a paralog ; FAR10 ; that arose from the whole genome duplication""",Verified ORF
2349,4,855709,-0.0743581126099048,0.086243519953501,0.389169499973768,YDR200C,VPS64,SGDID:S000002608,CDS,CDS,"""Protein required for cytoplasm to vacuole targeting of proteins; forms a complex with Far3p and Far7p to Far11p involved in recovery from pheromone-induced cell cycle arrest; mutant has increased aneuploidy tolerance; VPS64 has a paralog ; FAR10 ; that arose from the whole genome duplication""",Verified ORF
2350,4,856696,-0.0699174144749933,0.0851015793019156,0.411872791503372,YDR201W,SPC19,SGDID:S000002609,CDS,CDS,"""Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; also localized to nuclear side of spindle pole body""",Verified ORF
2351,4,857609,-0.0524802927173544,0.0853188888465466,0.53888001557192,YDR202C,RAV2,SGDID:S000002610,CDS,CDS,"""Subunit of RAVE complex (Rav1p ; Rav2p ; Skp1p); the RAVE complex associates with the V1 domain of the vacuolar membrane (H+)-ATPase (V-ATPase) and promotes assembly and reassembly of the holoenzyme""",Verified ORF
2352,4,857970,0.118274237097636,0.137048190659393,0.388716803488494,YDR203W,YDR203W,SGDID:S000002611,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; almost completely overlaps ORF RAV2/YDR202C""",Dubious ORF
2353,4,858371,-0.127839908864036,0.0853991641278271,0.135294874106855,YDR204W,COQ4,SGDID:S000002612,CDS,CDS,"""Protein with a role in ubiquinone (Coenzyme Q) biosynthesis; possibly functioning in stabilization of Coq7p; located on matrix face of mitochondrial inner membrane; component of a mitochondrial ubiquinone-synthesizing complex; human homolog COQ4 can complement yeast coq4 null mutant""",Verified ORF
2354,4,861346,-0.182775689367628,0.084314171335898,0.0308422453576407,YDR205W,MSC2,SGDID:S000002613,CDS,CDS,"""Endoplasmic reticulum zinc transporter; part of a heterodimeric transporter with Zrg17p that transfers zinc from the cytosol to the ER lumen; member of the cation diffusion facilitator family of efflux pumps; localizes to ER and nucleus; mutations affect the cellular distribution of zinc and also confer defects in meiotic recombination between homologous chromatids""",Verified ORF
2355,4,861441,-0.188820304326494,0.0850011444949632,0.0269587099148581,YDR205W,MSC2,SGDID:S000002613,CDS,CDS,"""Endoplasmic reticulum zinc transporter; part of a heterodimeric transporter with Zrg17p that transfers zinc from the cytosol to the ER lumen; member of the cation diffusion facilitator family of efflux pumps; localizes to ER and nucleus; mutations affect the cellular distribution of zinc and also confer defects in meiotic recombination between homologous chromatids""",Verified ORF
2356,4,861470,-0.197762727491454,0.0853643604201479,0.0210925511704376,YDR205W,MSC2,SGDID:S000002613,CDS,CDS,"""Endoplasmic reticulum zinc transporter; part of a heterodimeric transporter with Zrg17p that transfers zinc from the cytosol to the ER lumen; member of the cation diffusion facilitator family of efflux pumps; localizes to ER and nucleus; mutations affect the cellular distribution of zinc and also confer defects in meiotic recombination between homologous chromatids""",Verified ORF
2357,4,861549,-0.214517366511501,0.0846407049437611,0.0116940080838561,YDR206W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2358,4,861716,-0.235899592364482,0.0851926723374784,0.0059195550537474,YDR206W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2361,4,863847,-0.22670273029637,0.0845095832373368,0.0076495407411375,YDR206W,EBS1,SGDID:S000002614,CDS,CDS,"""Protein involved in translation inhibition and nonsense-mediated decay; interacts with cap binding protein Cdc33p and with Nam7p; localizes to P-bodies upon glucose starvation; mRNA abundance regulated by mRNA decay factors; EBS1 has a paralog ; EST1 ; that arose from the whole genome duplication""",Verified ORF
2362,4,863856,-0.210835521204337,0.0858582214496933,0.0145453925955322,YDR206W,EBS1,SGDID:S000002614,CDS,CDS,"""Protein involved in translation inhibition and nonsense-mediated decay; interacts with cap binding protein Cdc33p and with Nam7p; localizes to P-bodies upon glucose starvation; mRNA abundance regulated by mRNA decay factors; EBS1 has a paralog ; EST1 ; that arose from the whole genome duplication""",Verified ORF
2363,4,864546,-0.203441007043486,0.0847880099229323,0.0169393941433575,YDR206W,EBS1,SGDID:S000002614,CDS,CDS,"""Protein involved in translation inhibition and nonsense-mediated decay; interacts with cap binding protein Cdc33p and with Nam7p; localizes to P-bodies upon glucose starvation; mRNA abundance regulated by mRNA decay factors; EBS1 has a paralog ; EST1 ; that arose from the whole genome duplication""",Verified ORF
2366,4,865297,-0.189663457648168,0.0858679825913721,0.0278318783654591,YDR207C,UME6,SGDID:S000002615,CDS,CDS,"""Rpd3L histone deacetylase complex subunit; key transcriptional regulator of early meiotic genes; involved in chromatin remodeling and transcriptional repression via DNA looping; binds URS1 upstream regulatory sequence ; represses transcription by recruiting conserved histone deacetylase Rpd3p (through co-repressor Sin3p) and chromatin-remodeling factor Isw2p; couples metabolic responses to nutritional cues with initiation and progression of meiosis""",Verified ORF
2367,4,866929,-0.213162008097358,0.0853931582072529,0.0130071548609191,YDR207C,UME6,SGDID:S000002615,CDS,CDS,"""Rpd3L histone deacetylase complex subunit; key transcriptional regulator of early meiotic genes; involved in chromatin remodeling and transcriptional repression via DNA looping; binds URS1 upstream regulatory sequence ; represses transcription by recruiting conserved histone deacetylase Rpd3p (through co-repressor Sin3p) and chromatin-remodeling factor Isw2p; couples metabolic responses to nutritional cues with initiation and progression of meiosis""",Verified ORF
2368,4,867989,-0.214465599903601,0.0844669842588038,0.01154415677544,YDR208W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2369,4,870200,-0.203594726637397,0.0845499611361693,0.0165531958255376,YDR208W,MSS4,SGDID:S000002616,CDS,CDS,"""Phosphatidylinositol-4-phosphate 5-kinase; involved in actin cytoskeleton organization and cell morphogenesis; multicopy suppressor of stt4 mutation""",Verified ORF
2370,4,870855,-0.199742072848124,0.0856772176331038,0.0202981515926465,YDR210W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2371,4,871120,-0.189548622359861,0.0851206347823155,0.0265894286073056,YDR209C,YDR209C,SGDID:S000002617,CDS,CDS,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YDR209C is not an essential gene; partially overlaps uncharacterized gene YDR210W""",Uncharacterized ORF
2372,4,871373,-0.187819551416455,0.0850218721903166,0.0278112638067608,YDR209C,YDR209C,SGDID:S000002617,CDS,CDS,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YDR209C is not an essential gene; partially overlaps uncharacterized gene YDR210W""",Uncharacterized ORF
2384,4,884500,-0.176395649897792,0.0849067969829152,0.0384760048395948,YDR211W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2385,4,884706,-0.178450778872924,0.0845151968201886,0.0354348665875954,YDR211W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2388,4,888476,-0.145135455026808,0.0850981804631328,0.0889797879089056,YDR212W,TCP1,SGDID:S000002620,CDS,CDS,"""Alpha subunit of chaperonin-containing T-complex; complex mediates protein folding in the cytosol; involved in actin cytoskeleton maintenance; overexpression in neurons suppresses formation of pathogenic conformations of huntingtin protein""",Verified ORF
2389,4,889739,-0.125316647740106,0.0853761152801346,0.14304394208572,YDR212W,TCP1,SGDID:S000002620,Close to 3'-UTR,Close to 3'-UTR,"""Alpha subunit of chaperonin-containing T-complex; complex mediates protein folding in the cytosol; involved in actin cytoskeleton maintenance; overexpression in neurons suppresses formation of pathogenic conformations of huntingtin protein""",Verified ORF
