SNP,Chr,Pos,Effect,SE,ERG11_ERG5_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
2660,4,1391816,0.0601416143404265,0.0977858595879338,0.538928625540336,YDR464W,SPP41,SGDID:S000002872,CDS,CDS,"""Protein of unknown function; involved in negative regulation of expression of spliceosome components PRP4 and PRP3; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2661,4,1392181,0.0545755001098012,0.0973077306527735,0.575252397419465,YDR464W,SPP41,SGDID:S000002872,CDS,CDS,"""Protein of unknown function; involved in negative regulation of expression of spliceosome components PRP4 and PRP3; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2662,4,1392182,0.0537306984834982,0.0963722617937467,0.57751681184218,YDR464W,SPP41,SGDID:S000002872,CDS,CDS,"""Protein of unknown function; involved in negative regulation of expression of spliceosome components PRP4 and PRP3; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2663,4,1392187,0.0763115716529452,0.0972687378152429,0.433247336820805,YDR464W,SPP41,SGDID:S000002872,CDS,CDS,"""Protein of unknown function; involved in negative regulation of expression of spliceosome components PRP4 and PRP3; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2664,4,1411483,0.0380407848399102,0.0969473209262759,0.695009739011365,YDR476C,YDR476C,SGDID:S000002884,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YDR476C is not an essential gene""",Uncharacterized ORF
2665,4,1411837,0.050622375712023,0.0964635806176766,0.600063973166361,YDR476C,YDR476C,SGDID:S000002884,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YDR476C is not an essential gene""",Uncharacterized ORF
2666,4,1411853,0.0489765462381437,0.0966611823304735,0.612693821846639,YDR476C,YDR476C,SGDID:S000002884,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YDR476C is not an essential gene""",Uncharacterized ORF
2668,4,1418662,-0.0111324641185255,0.0965230193935896,0.908245326273118,YDR481C,PHO8,SGDID:S000002889,CDS,CDS,"""Repressible vacuolar alkaline phosphatase; controls polyphosphate content; regulated by levels of Pi and by Pho4p ; Pho9p ; Pho80p ; Pho81p and Pho85p; dephosphorylates phosphotyrosyl peptides; contributes to NAD+ metabolism by producing nicotinamide riboside from NMN""",Verified ORF
2669,4,1429971,0.0049287848641805,0.097435735100089,0.959684841048936,YDR488C,PAC11,SGDID:S000002896,CDS,CDS,"""Dynein intermediate chain ; microtubule motor protein; required for intracellular transport and cell division; acts in cytoplasmic dynein pathway; forms complex with dynein light chain Dyn2p that promotes Dyn1p homodimerization and potentiates motor processivity; Dyn2p-Pac11p complex is also important for interaction of dynein motor complex with dynactin complex; forms cortical cytoplasmic microtubule capture site with Num1p; essential in the absence of CIN8""",Verified ORF
2670,4,1432529,0.029940188088821,0.097932973198659,0.759997122978212,YDR490C,PKH1,SGDID:S000002898,CDS,CDS,"""Serine/threonine protein kinase; involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p ; components of signaling cascade required for maintenance of cell wall integrity; contains a PH-like domain; redundant with Pkh2p; PKH1 has a paralog ; PKH2 ; that arose from the whole genome duplication""",Verified ORF
2671,4,1432812,-0.0314089212389645,0.097697781276633,0.748028885647805,YDR490C,PKH1,SGDID:S000002898,CDS,CDS,"""Serine/threonine protein kinase; involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p ; components of signaling cascade required for maintenance of cell wall integrity; contains a PH-like domain; redundant with Pkh2p; PKH1 has a paralog ; PKH2 ; that arose from the whole genome duplication""",Verified ORF
2672,4,1433591,0.018694547055556,0.097861919691532,0.848612035320734,YDR490C,PKH1,SGDID:S000002898,CDS,CDS,"""Serine/threonine protein kinase; involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p ; components of signaling cascade required for maintenance of cell wall integrity; contains a PH-like domain; redundant with Pkh2p; PKH1 has a paralog ; PKH2 ; that arose from the whole genome duplication""",Verified ORF
2673,4,1434295,0.0232729011388495,0.0976968729378871,0.811852239142611,YDR490C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2674,4,1435743,0.0292325565276783,0.0983063126891909,0.766365105679713,YDR492W,IZH1,SGDID:S000002900,CDS,CDS,"""Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family; transcription is regulated directly by Zap1p ; expression induced by zinc deficiency and fatty acids; deletion increases sensitivity to elevated zinc; IZH1 has a paralog ; IZH4 ; that arose from the whole genome duplication""",Verified ORF
2675,4,1436351,0.0601349831081541,0.0989179524858274,0.543626206601229,YDR493W,MZM1,SGDID:S000002901,CDS,CDS,"""Protein required for assembly of the cytochrome bc(1) complex; acts as a chaperone for Rip1p and facilitates its insertion into the complex at a late stage of assembly; localized to the mitochondrial matrix; null mutant exhibits a respiratory growth defect and reduced mitochondrial zinc levels ; which is characteristic of mutations affecting bc(1) complex assembly; member of the LYR protein family; human LYRM7 is a functional ortholog""",Verified ORF
2676,4,1438464,0.0615882912850132,0.0986158658243549,0.532684841346921,YDR495C,VPS3,SGDID:S000002903,CDS,CDS,"""Component of CORVET membrane tethering complex; cytoplasmic protein required for the sorting and processing of soluble vacuolar proteins ; acidification of the vacuolar lumen ; and assembly of the vacuolar H+-ATPase""",Verified ORF
2679,4,1443836,0.0317560269079262,0.098872120317532,0.748261923158528,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
2680,4,1443911,0.0300832193374188,0.0989058250880378,0.761185033015225,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
2681,4,1444256,0.0298202174665381,0.100809950105798,0.767551949106138,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
2682,4,1444337,0.0306970757154263,0.0990481287569593,0.756804060609361,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
2683,4,1444364,0.144540442955519,0.0995099345103991,0.147244587896111,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
2684,4,1444711,0.144796622798771,0.0988906526991201,0.144026698223275,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
2685,4,1444817,0.127611062218853,0.0991347575820344,0.198851082164575,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
2686,4,1445462,0.0970238214561063,0.100091978926752,0.333035964184441,YDR497C,ITR1,SGDID:S000002905,CDS,CDS,"""Myo-inositol transporter; member of the sugar transporter superfamily; expression is repressed by inositol and choline via Opi1p and derepressed via Ino2p and Ino4p; relative distribution to the vacuole increases upon DNA replication stress; ITR1 has a paralog ; ITR2 ; that arose from the whole genome duplication""",Verified ORF
2694,4,1447568,0.0699744545542473,0.101146899858493,0.489511308291923,ACS_4_1447473_+_NFR/NDR,,,Promoter,Promoter,,Promoter
2695,4,1447682,0.123487369476333,0.0983980695267804,0.210317107789974,YDR499W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2696,4,1447719,0.12010095656706,0.0989243678976449,0.225533179679401,YDR499W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2697,4,1447777,0.095913607810179,0.0990590452914614,0.333584018962015,YDR499W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2698,4,1448144,0.136342922474143,0.0986522417774146,0.16782841294804,YDR499W,LCD1,SGDID:S000002907,CDS,CDS,"""Essential protein required for the DNA integrity checkpoint pathways; interacts physically with Mec1p and contributes to its activation; putative homolog of S. pombe Rad26 and human ATRIP; forms nuclear foci upon DNA replication stress""",Verified ORF
2699,4,1448153,0.100908686050881,0.0984516197667367,0.306085283989582,YDR499W,LCD1,SGDID:S000002907,CDS,CDS,"""Essential protein required for the DNA integrity checkpoint pathways; interacts physically with Mec1p and contributes to its activation; putative homolog of S. pombe Rad26 and human ATRIP; forms nuclear foci upon DNA replication stress""",Verified ORF
2700,4,1448315,0.092759701968262,0.0981695773453767,0.34536002779101,YDR499W,LCD1,SGDID:S000002907,CDS,CDS,"""Essential protein required for the DNA integrity checkpoint pathways; interacts physically with Mec1p and contributes to its activation; putative homolog of S. pombe Rad26 and human ATRIP; forms nuclear foci upon DNA replication stress""",Verified ORF
2702,4,1451946,0.0882564966902051,0.0976761402450823,0.366843622152881,YDR501W,PLM2,SGDID:S000002909,CDS,CDS,"""Putative transcription factor ; contains Forkhead Associated domain; found associated with chromatin; target of SBF transcription factor; induced in response to DNA damaging agents and deletion of telomerase; PLM2 has a paralog ; TOS4 ; that arose from the whole genome duplication""",Verified ORF
2703,4,1452368,0.0700901945524512,0.0979169238383853,0.474580126868575,YDR501W,PLM2,SGDID:S000002909,CDS,CDS,"""Putative transcription factor ; contains Forkhead Associated domain; found associated with chromatin; target of SBF transcription factor; induced in response to DNA damaging agents and deletion of telomerase; PLM2 has a paralog ; TOS4 ; that arose from the whole genome duplication""",Verified ORF
2704,4,1453498,0.0922987952847265,0.0975467886560225,0.344693691041842,YDR502C,SAM2,SGDID:S000002910,CDS,CDS,"""S-adenosylmethionine synthetase; catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; comparative analysis suggests that a mitochondrially targeted form may result from translation starting at a non-canonical codon upstream of the annotated start codon""",Verified ORF
2705,4,1455597,0.0659867961766818,0.0968824559505131,0.496253746855744,YDR503C,LPP1,SGDID:S000002911,CDS,CDS,"""Lipid phosphate phosphatase; catalyzes Mg(2+)-independent dephosphorylation of phosphatidic acid (PA) ; lysophosphatidic acid ; and diacylglycerol pyrophosphate; involved in control of the cellular levels of phosphatidylinositol and PA""",Verified ORF
2709,4,1457873,0.0582252071057081,0.0969813481870728,0.548641376308076,YDR505C,PSP1,SGDID:S000002913,CDS,CDS,"""Asn and gln rich protein of unknown function; high-copy suppressor of POL1 (DNA polymerase alpha) and partial suppressor of CDC2 (polymerase delta) and CDC6 (pre-RC loading factor) mutations; overexpression results in growth inhibition; PSP1 has a paralog ; YLR177W ; that arose from the whole genome duplication""",Verified ORF
2711,4,1459398,0.0609282120472845,0.0966919185319255,0.529019009146939,YDR505C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2714,4,1467660,0.066648658390998,0.098309664273329,0.498249963345797,YDR508C,GNP1,SGDID:S000002916,CDS,CDS,"""Broad specificity amino acid permease; high-affinity glutamine permease; major serine permease with minor contributions from paralog Agp1p; role in serine uptake impacts cellular sphingolipid homeostasis; also transports Leu ; Thr ; Cys ; Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids""",Verified ORF
2715,4,1469963,0.0545358488864631,0.0978510561253415,0.577651575259153,YDR511W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2716,4,1471998,0.0759624132279673,0.0975581026262519,0.436714807571456,YDR514C,YDR514C,SGDID:S000002922,CDS,CDS,"""Protein of unknown function that localizes to mitochondria; overexpression affects endocytic protein trafficking; YDR514C has a paralog ; GFD2 ; that arose from the whole genome duplication""",Verified ORF
2717,4,1472661,0.0742176629414033,0.0975619068753812,0.447329897767453,YDR514C,YDR514C,SGDID:S000002922,CDS,CDS,"""Protein of unknown function that localizes to mitochondria; overexpression affects endocytic protein trafficking; YDR514C has a paralog ; GFD2 ; that arose from the whole genome duplication""",Verified ORF
2718,4,1472720,0.0669111452746334,0.0976185387619777,0.493519448206951,YDR514C,YDR514C,SGDID:S000002922,CDS,CDS,"""Protein of unknown function that localizes to mitochondria; overexpression affects endocytic protein trafficking; YDR514C has a paralog ; GFD2 ; that arose from the whole genome duplication""",Verified ORF
2719,4,1474141,0.0810648854258651,0.0976372424882954,0.40694954845836,YDR515W,SLF1,SGDID:S000002923,CDS,CDS,"""RNA binding protein that associates with polysomes; may be involved in regulating mRNA translation; involved in the copper-dependent mineralization of copper sulfide complexes on cell surface in cells cultured in copper salts; SLF1 has a paralog ; SRO9 ; that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress""",Verified ORF
2720,4,1475645,0.058379291257372,0.0969810857784072,0.547583373470933,YDR516C,EMI2,SGDID:S000002924,CDS,CDS,"""Non-essential protein of unknown function; required for transcriptional induction of the early meiotic-specific transcription factor IME1; required for sporulation; expression regulated by glucose-repression transcription factors Mig1/2p; EMI2 has a paralog ; GLK1 ; that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress""",Verified ORF
2721,4,1483867,0.0600310993583468,0.098054870882028,0.540786715853967,SUT081,,,Unstable transcript,SUT,ncRNA_TFO,Unstable transcript
2723,4,1484621,0.075985787542487,0.096143258892755,0.429860308041376,XUT_4F-689,,,Unstable transcript,XUT,ncRNA_TFO,Unstable transcript
2724,4,1484733,0.069011094976754,0.0965283620533488,0.475124375444681,XUT_4F-689,,,Unstable transcript,XUT,ncRNA_TFO,Unstable transcript
2725,4,1484992,0.0887971211759748,0.0963806676303504,0.357514307297688,XUT_4F-689,,,Unstable transcript,XUT,ncRNA_TFO,Unstable transcript
2726,4,1486897,0.0600588122316805,0.0971968045393297,0.537033542521136,YDR523C,SPS1,SGDID:S000002931,CDS,CDS,"""STE20-family GCKIII protein kinase; required for prospore membrane closure ; efficient spore packaging ; and localization of enzymes involved in spore wall synthesis; component of a non-canonical Hippo pathway with Cdc15p involved in spindle disassembly and sustained release of Cdc14p during anaphase II; forms a complex with Cdc15p;  phosphorylation requires Cdc15p; required for Ssp1p phosphorylation and turnover; interacts with 14-3-3 proteins; expressed in late meiosis; nuclear and cytoplasmic""",Verified ORF
2727,4,1488575,0.0822963575819253,0.0972646289873787,0.398065817514544,YDR524C,AGE1,SGDID:S000002932,CDS,CDS,"""ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector; involved in the secretory and endocytic pathways; contains C2C2H2 cysteine/histidine motif""",Verified ORF
2729,4,1491666,0.066464949182502,0.0962453949861789,0.490284614167309,YDR527W,RBA50,SGDID:S000002935,CDS,CDS,"""Protein involved in transcription; interacts with RNA polymerase II subunits Rpb2p ; Rpb3 ; and Rpb11p; has similarity to human RPAP1""",Verified ORF
2730,4,1492451,0.0238664440696615,0.0975496505691057,0.806862279341841,YDR526C,YDR526C,SGDID:S000002934,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
2731,4,1493150,0.0824999508167213,0.0962314029531301,0.391856345502103,snR84_NFR/NDR,,,Promoter,Promoter,,Promoter
2732,4,1493956,0.0710917928254238,0.0962430804476956,0.460598768338229,YDR528W,HLR1,SGDID:S000002936,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in regulation of cell wall composition and integrity; also involved in cell wall response to osmotic stress; overproduction suppresses a lysis sensitive PKC mutation; HLR1 has a paralog ; LRE1 ; that arose from the whole genome duplication""",Verified ORF
2733,4,1493975,0.0740034478341536,0.0965107699533118,0.443719166692299,YDR528W,HLR1,SGDID:S000002936,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in regulation of cell wall composition and integrity; also involved in cell wall response to osmotic stress; overproduction suppresses a lysis sensitive PKC mutation; HLR1 has a paralog ; LRE1 ; that arose from the whole genome duplication""",Verified ORF
2734,4,1494542,0.0895326513478771,0.0966638310945642,0.354960813248264,YDR528W,HLR1,SGDID:S000002936,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in regulation of cell wall composition and integrity; also involved in cell wall response to osmotic stress; overproduction suppresses a lysis sensitive PKC mutation; HLR1 has a paralog ; LRE1 ; that arose from the whole genome duplication""",Verified ORF
2735,4,1494612,0.112183874872618,0.0962178139800422,0.24442721989202,YDR528W,HLR1,SGDID:S000002936,CDS,CDS,"""Protein involved in regulation of cell wall composition and integrity; also involved in cell wall response to osmotic stress; overproduction suppresses a lysis sensitive PKC mutation; HLR1 has a paralog ; LRE1 ; that arose from the whole genome duplication""",Verified ORF
2736,4,1494869,0.0962017758961009,0.0963652657080313,0.318816063061417,YDR528W,HLR1,SGDID:S000002936,CDS,CDS,"""Protein involved in regulation of cell wall composition and integrity; also involved in cell wall response to osmotic stress; overproduction suppresses a lysis sensitive PKC mutation; HLR1 has a paralog ; LRE1 ; that arose from the whole genome duplication""",Verified ORF
2737,4,1494944,0.096756805514659,0.0967373270787014,0.317898195816536,YDR528W,HLR1,SGDID:S000002936,CDS,CDS,"""Protein involved in regulation of cell wall composition and integrity; also involved in cell wall response to osmotic stress; overproduction suppresses a lysis sensitive PKC mutation; HLR1 has a paralog ; LRE1 ; that arose from the whole genome duplication""",Verified ORF
2738,4,1494974,0.0828746649594219,0.0975413441043222,0.396103191117825,YDR528W,HLR1,SGDID:S000002936,CDS,CDS,"""Protein involved in regulation of cell wall composition and integrity; also involved in cell wall response to osmotic stress; overproduction suppresses a lysis sensitive PKC mutation; HLR1 has a paralog ; LRE1 ; that arose from the whole genome duplication""",Verified ORF
2741,4,1512432,0.0767929648857004,0.0968846818379134,0.428530247963661,YDR539W,FDC1,SGDID:S000002947,CDS,CDS,"""Ferulic acid decarboxylase; involved in the decarboxylation of aromatic carboxylic acids such as phenylacrylic (cinnamic) acid ; ferulic acid and coumaric acid and formation of the corresponding vinyl derivatives; overexpression of both Pad1p and Fdc1p increases decarboxylase activity due to the Pad1p-catalyzed formation of a diffusible cofactor required for Fdc1p activity; homolog of E. coli UbiD; GFP-fusion protein localizes to the cytoplasm in an HTP study""",Verified ORF
2742,4,1512726,0.105920744929626,0.0962426406447982,0.271838370812972,YDR539W,FDC1,SGDID:S000002947,CDS,CDS,"""Ferulic acid decarboxylase; involved in the decarboxylation of aromatic carboxylic acids such as phenylacrylic (cinnamic) acid ; ferulic acid and coumaric acid and formation of the corresponding vinyl derivatives; overexpression of both Pad1p and Fdc1p increases decarboxylase activity due to the Pad1p-catalyzed formation of a diffusible cofactor required for Fdc1p activity; homolog of E. coli UbiD; GFP-fusion protein localizes to the cytoplasm in an HTP study""",Verified ORF
2744,4,1513733,0.136738229753153,0.0957559191694912,0.154179633929884,YDR539W,FDC1,SGDID:S000002947,Close to 3'-UTR,Close to 3'-UTR,"""Ferulic acid decarboxylase; involved in the decarboxylation of aromatic carboxylic acids such as phenylacrylic (cinnamic) acid ; ferulic acid and coumaric acid and formation of the corresponding vinyl derivatives; overexpression of both Pad1p and Fdc1p increases decarboxylase activity due to the Pad1p-catalyzed formation of a diffusible cofactor required for Fdc1p activity; homolog of E. coli UbiD; GFP-fusion protein localizes to the cytoplasm in an HTP study""",Verified ORF
2748,4,1517320,0.125684339889295,0.0957102434034229,0.1899767992109,YDR540C,IRC4,SGDID:S000002948,CDS,CDS,"""Protein similar to bacterial secreted DfsB proteins; null mutant displays increased levels of spontaneous Rad52p foci; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus""",Verified ORF
2751,4,1521315,0.132316540449935,0.0959631881687156,0.168821476436997,SUT085,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
2752,4,1521582,0.130982376182016,0.0958706704056486,0.1727332316312,SUT085,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
2753,4,1521747,0.132293099161574,0.0972008496187211,0.17437299221458,SUT085,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
2759,4,1522862,0.14334026090839,0.0958205714339868,0.13556702899625,YDR542W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2768,5,8786,-0.013839193071201,0.0956243508816805,0.885010932650483,ARS504,ARS504,SGDID:S000077379,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
2769,5,9566,-0.0225049241892486,0.0959827350459165,0.814757250873772,ARS504,ARS504,SGDID:S000077379,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
2770,5,11033,-0.0149599961945526,0.095318017864611,0.875375359428527,E:10020-13719,,,Intergenic region,Intergenic region,between ARS504 and YEL072W,Intergenic region
2771,5,11244,-0.0039338204207061,0.0955878970957955,0.96719642417982,E:10020-13719,,,Intergenic region,Intergenic region,between ARS504 and YEL072W,Intergenic region
2772,5,11370,-0.025208823276538,0.09546408846545,0.791883130541851,E:10020-13719,,,Intergenic region,Intergenic region,between ARS504 and YEL072W,Intergenic region
2773,5,13215,-0.0261921515635133,0.0952080746226254,0.783397050639818,YEL072W,RMD6,SGDID:S000000798,Close to 3'-UTR,Close to 3'-UTR,"""Protein required for sporulation""",Verified ORF
2774,5,13449,-0.0471419964129083,0.0969303984242807,0.627021579191896,YEL072W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2776,5,13639,-0.0422957685917716,0.0949436495287482,0.656243918254887,YEL072W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2777,5,13690,-0.0310714235434945,0.0955210399656787,0.745159185089688,YEL072W,RMD6,SGDID:S000000798,Close to 3'-UTR,Close to 3'-UTR,"""Protein required for sporulation""",Verified ORF
2778,5,14028,-0.0207915460754879,0.095087248797531,0.827043169387048,YEL072W,RMD6,SGDID:S000000798,CDS,CDS,"""Protein required for sporulation""",Verified ORF
2780,5,18746,-0.097618762391375,0.0968748089505254,0.314298554205364,YEL071W,DLD3,SGDID:S000000797,Close to 3'-UTR,Close to 3'-UTR,"""2-hydroxyglutarate transhydrogenase ; and minor D-lactate dehydrogenase; converts D-2-hydroxyglutarate (D-2HG) ; an oncometabolite ; to alpha-ketoglutarate in the presence of FAD ; with concomitant reduction of pyruvate to D-lactate; minor lactate dehydrogenase activity; component of the retrograde regulon that consists of genes whose expression are stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source; located in the cytoplasm""",Verified ORF
2781,5,18800,-0.0782176018494601,0.0960219328426304,0.415861621291885,YEL071W,DLD3,SGDID:S000000797,Close to 3'-UTR,Close to 3'-UTR,"""2-hydroxyglutarate transhydrogenase ; and minor D-lactate dehydrogenase; converts D-2-hydroxyglutarate (D-2HG) ; an oncometabolite ; to alpha-ketoglutarate in the presence of FAD ; with concomitant reduction of pyruvate to D-lactate; minor lactate dehydrogenase activity; component of the retrograde regulon that consists of genes whose expression are stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source; located in the cytoplasm""",Verified ORF
2790,5,19368,-0.14420131771164,0.0961102889385616,0.134411571648659,YEL070W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2819,5,23574,-0.104077574394135,0.0945920614618228,0.271960714573583,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2820,5,23653,-0.130024746675944,0.0943667817626223,0.169117596349563,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2821,5,24002,-0.0853793375247649,0.0949126980160292,0.36896952345184,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2822,5,24122,-0.10564961253653,0.0952627325072068,0.26817048681213,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2823,5,24148,-0.0903983902185412,0.0962772587507617,0.348404510870591,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2824,5,24163,-0.11404859038933,0.0964881446787351,0.238002940657453,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2825,5,24234,-0.0943993028963504,0.0953114473155341,0.322642459671717,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2826,5,24246,-0.0959372629531692,0.0951662405918826,0.314096078941225,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2828,5,24278,-0.0974694459451042,0.0951496763969698,0.306357189285648,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2829,5,24388,-0.109384703531115,0.0960121287480465,0.255358868565549,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2830,5,24487,-0.128626863226667,0.0953173337950221,0.178054306241421,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2831,5,24650,-0.10841303273728,0.0948581147712477,0.253855992092767,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2832,5,24820,-0.0826156940212849,0.0946565190969348,0.383368367778584,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2833,5,24909,-0.110795250941293,0.094971885763305,0.244154998248253,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2834,5,25103,-0.130961660011013,0.0948016277632963,0.168021026502373,XUT_5F-7,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2838,5,26058,-0.173187981999576,0.094737620038202,0.0683813359638045,YEL066W_NFR/NDR,,,Promoter,Promoter,,Promoter
2839,5,26197,-0.170112740565089,0.0941949629373159,0.0717755860775071,YEL067C,YEL067C,SGDID:S000000793,CDS,CDS,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Uncharacterized ORF
2840,5,26417,-0.140773532810184,0.0944693916905629,0.137077837682201,YEL067C,YEL067C,SGDID:S000000793,CDS,CDS,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Uncharacterized ORF
2841,5,27428,-0.0947203222674756,0.0947523433124369,0.318158833277156,YEL065W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2842,5,30505,-0.0664970488078078,0.0948383235660637,0.483663738660478,YEL064C,AVT2,SGDID:S000000790,CDS,CDS,"""Putative transporter; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters""",Verified ORF
2843,5,31263,-0.042709520062978,0.0958332930181471,0.656112636156775,YEL064C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2846,5,32038,-0.0532343625836131,0.0945866867902381,0.573921321011879,YEL063C,CAN1,SGDID:S000000789,CDS,CDS,"""Plasma membrane arginine permease; requires phosphatidyl ethanolamine (PE) for localization ; exclusively associated with lipid rafts; mutation confers canavanine resistance; CAN1 has a paralog ; ALP1 ; that arose from the whole genome duplication""",Verified ORF
