SNP,Chr,Pos,Effect,SE,ERG11_TPO4_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
2403,4,909524,0.13899363918233,0.159695099715438,0.384690346246005,YDR222W_NFR/NDR,,,Promoter,Promoter,,Promoter
2404,4,910018,0.149391038122325,0.159472918969549,0.349512191507812,YDR222W_NFR/NDR,,,Promoter,Promoter,,Promoter
2406,4,911766,0.115233582114508,0.160457882523159,0.473136934926352,YDR222W,YDR222W,SGDID:S000002630,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; YDR222W has a paralog ; YLR225C ; that arose from the whole genome duplication""",Uncharacterized ORF
2408,4,912509,0.217265947432352,0.159492189589781,0.173992090290175,YDR223W,CRF1,SGDID:S000002631,CDS,CDS,"""Transcriptional corepressor; involved in repression of ribosomal protein (RP) gene transcription via the TOR signaling pathway which promotes accumulation of Crf1p in the nucleus; role in repression of RP genes varies by strain; CRF1 has a paralog ; IFH1 ; that arose from the whole genome duplication""",Verified ORF
2409,4,912557,0.135389133728422,0.158899661595571,0.394768638409768,YDR223W,CRF1,SGDID:S000002631,CDS,CDS,"""Transcriptional corepressor; involved in repression of ribosomal protein (RP) gene transcription via the TOR signaling pathway which promotes accumulation of Crf1p in the nucleus; role in repression of RP genes varies by strain; CRF1 has a paralog ; IFH1 ; that arose from the whole genome duplication""",Verified ORF
2410,4,913736,0.135893165950052,0.160477860202283,0.39767853622077,ACS_4_913859_+_NFR/NDR,,,Promoter,Promoter,,Promoter
2413,4,914902,0.141764419218987,0.162230815768127,0.382797317775014,YDR224C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2414,4,914952,0.132569985148576,0.162771398171534,0.415933415850785,YDR224C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2415,4,915199,0.115172555043771,0.161976719002077,0.477526596094301,YDR224C,HTB1,SGDID:S000002632,Close to 3'-UTR,Close to 3'-UTR,"""Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB2; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates reassembly after DNA replication ; transcriptional activation ; meiotic DSB formation and H3 methylation""",Verified ORF
2419,4,916142,0.160492515166582,0.160654190070654,0.31848206351016,YDR226W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2420,4,916254,0.13107602299396,0.159580672501084,0.411985482910751,YDR226W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2421,4,916444,0.141520967993549,0.159840417125094,0.376549501273286,SUT476_NFR/NDR,,,Promoter,Promoter,,Promoter
2422,4,917149,0.245787114360485,0.160122743280774,0.125681586345348,YDR226W,ADK1,SGDID:S000002634,CDS,CDS,"""Adenylate kinase ; required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence; protein abundance increases in response to DNA replication stress; mutations affecting Adk1p catalytic activity deregulate expression of phosphate utilization genes PHO5 and PHO84; human homolog AK1 can complement yeast adk1 mutant""",Verified ORF
2423,4,917833,0.255373597188011,0.159620128691555,0.110519025224603,YDR227W,SIR4,SGDID:S000002635,CDS,CDS,"""SIR protein involved in assembly of silent chromatin domains; silent information regulator (SIR) along with SIR2 and SIR3; involved in assembly of silent chromatin domains at telomeres and the silent mating-type loci; some SIR4 alleles prolong lifespan; required for Ku-mediated telomerase recruitment ; telomere lengthening ; and telomere hypercluster formation in quiescent yeast cells""",Verified ORF
2424,4,918606,0.251623346343199,0.159415465955029,0.1153665573156,YDR227W,SIR4,SGDID:S000002635,CDS,CDS,"""SIR protein involved in assembly of silent chromatin domains; silent information regulator (SIR) along with SIR2 and SIR3; involved in assembly of silent chromatin domains at telomeres and the silent mating-type loci; some SIR4 alleles prolong lifespan; required for Ku-mediated telomerase recruitment ; telomere lengthening ; and telomere hypercluster formation in quiescent yeast cells""",Verified ORF
2425,4,923675,0.160756375529514,0.159735309788839,0.314916273297271,YDR228C,PCF11,SGDID:S000002636,CDS,CDS,"""mRNA 3' end processing factor; essential component of cleavage and polyadenylation factor IA (CF IA) ; involved in pre-mRNA 3' end processing and in transcription termination; binds C-terminal domain of largest subunit of RNA pol II (Rpo21p); required for gene looping; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2426,4,924091,-0.0839791313351164,0.159529973352088,0.598929790698437,YDR228C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2427,4,924619,-0.0182249633799556,0.160210201652502,0.909495434952201,YDR229W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2429,4,926384,-0.0380789222575159,0.160104466819963,0.812144750821825,YDR230W,YDR230W,SGDID:S000002638,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene COX20/YDR231C""",Dubious ORF
2430,4,926385,-0.0227102972985344,0.1597538820555,0.887036281579436,YDR230W,YDR230W,SGDID:S000002638,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene COX20/YDR231C""",Dubious ORF
2431,4,926405,-0.0428266215195493,0.158864184891026,0.787640831223589,YDR230W,YDR230W,SGDID:S000002638,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene COX20/YDR231C""",Dubious ORF
2432,4,926695,-0.0844114857271313,0.159901196818238,0.597901960378045,YDR231C,COX20,SGDID:S000002639,CDS,CDS,"""Mitochondrial inner membrane protein; required for proteolytic processing of Cox2p and its assembly into cytochrome c oxidase""",Verified ORF
2433,4,926907,-0.0903445325120411,0.15902033740566,0.570306581934832,YDR231C,COX20,SGDID:S000002639,CDS,CDS,"""Mitochondrial inner membrane protein; required for proteolytic processing of Cox2p and its assembly into cytochrome c oxidase""",Verified ORF
2434,4,927194,0.0093704934933104,0.159074709908904,0.953060117726223,YDR232W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2435,4,927218,0.0120692307635169,0.160450289606735,0.940081488410188,YDR232W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2436,4,927223,0.0105352602054309,0.16023262600067,0.947614258214397,YDR232W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2437,4,927509,-0.0550344146240087,0.159636552573064,0.730488982574674,YDR232W,HEM1,SGDID:S000002640,CDS,CDS,"""5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p""",Verified ORF
2438,4,927559,-0.0535860147781069,0.161223681548284,0.739806699449666,YDR232W,HEM1,SGDID:S000002640,CDS,CDS,"""5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p""",Verified ORF
2439,4,927577,0.0075137491551541,0.160072126520978,0.9625877735494,YDR232W,HEM1,SGDID:S000002640,CDS,CDS,"""5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p""",Verified ORF
2440,4,928575,-0.0569278134122858,0.161501586911273,0.724680624931303,YDR232W,HEM1,SGDID:S000002640,CDS,CDS,"""5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p""",Verified ORF
2441,4,929694,-0.026802961214505,0.16115659546091,0.868003295127002,YDR233C,RTN1,SGDID:S000002641,CDS,CDS,"""Reticulon protein; involved in nuclear pore assembly and maintenance of tubular ER morphology; promotes membrane curvature; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; increases tubular ER when overexpressed; mutants have reduced phosphatidylserine transfer between the ER and mitochondria; interacts with exocyst subunit Sec6p ; Yip3p ; and Sbh1p; member of the RTNLA subfamily""",Verified ORF
2442,4,930648,0.0347041105218121,0.160689499325344,0.829135876419813,YDR234W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2443,4,930822,-0.0116192960880577,0.160693762362124,0.942398484241488,YDR234W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2444,4,930823,0.0101246807008188,0.162860187037688,0.950464285890086,YDR234W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2445,4,930964,-0.0443523013565342,0.159852744623287,0.781591451197539,YDR234W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2446,4,932727,0.0117224657319853,0.161344285588245,0.942121823813294,YDR234W,LYS4,SGDID:S000002642,CDS,CDS,"""Homoaconitase; catalyzes the conversion of homocitrate to homoisocitrate ; which is a step in the lysine biosynthesis pathway""",Verified ORF
2447,4,934187,-0.0566054937692088,0.159841782890699,0.723449507037719,YDR235W,PRP42,SGDID:S000002643,CDS,CDS,"""U1 snRNP protein involved in splicing; required for U1 snRNP biogenesis; contains multiple tetriatricopeptide repeats""",Verified ORF
2448,4,934911,-0.0073292070516712,0.160970093390957,0.963709427323812,YDR235W,PRP42,SGDID:S000002643,CDS,CDS,"""U1 snRNP protein involved in splicing; required for U1 snRNP biogenesis; contains multiple tetriatricopeptide repeats""",Verified ORF
2449,4,936493,-0.087525866909122,0.161095566249638,0.587254878886281,YDR237W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2450,4,936521,-0.110737122247972,0.15989901521217,0.489051017334958,YDR236C,FMN1,SGDID:S000002644,Close to 3'-UTR,Close to 3'-UTR,"""Riboflavin kinase ; produces riboflavin monophosphate (FMN); FMN is a necessary cofactor for many enzymes; predominantly localizes to the microsomal fraction and also found in the mitochondrial inner membrane; human RFK functionally complements the lethality of the null mutation""",Verified ORF
2451,4,936663,-0.0445354798537133,0.160437920387701,0.781491915514841,YDR237W,MRPL7,SGDID:S000002645,CDS,CDS,"""Mitochondrial ribosomal protein of the large subunit; MRPL7 produces both YmL5 and YmL7 ; which are two different modified forms of the same protein""",Verified ORF
2452,4,937563,-0.0474630952772634,0.160043760749969,0.766974392453011,YDR237W,MRPL7,SGDID:S000002645,Close to 3'-UTR,Close to 3'-UTR,"""Mitochondrial ribosomal protein of the large subunit; MRPL7 produces both YmL5 and YmL7 ; which are two different modified forms of the same protein""",Verified ORF
2455,4,938323,-0.116051505390691,0.159490717637156,0.467317551430136,YDR238C,SEC26,SGDID:S000002646,CDS,CDS,"""Essential beta-coat protein of the COPI coatomer; involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology; shares 43% sequence identity with mammalian beta-coat protein (beta-COP)""",Verified ORF
2456,4,938510,-0.0596798324822897,0.161149837360277,0.711353124113737,YDR238C,SEC26,SGDID:S000002646,CDS,CDS,"""Essential beta-coat protein of the COPI coatomer; involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology; shares 43% sequence identity with mammalian beta-coat protein (beta-COP)""",Verified ORF
2457,4,938617,-0.13420999437978,0.159598676347559,0.400961041552502,YDR238C,SEC26,SGDID:S000002646,CDS,CDS,"""Essential beta-coat protein of the COPI coatomer; involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology; shares 43% sequence identity with mammalian beta-coat protein (beta-COP)""",Verified ORF
2458,4,941039,-0.0757747455632206,0.160182842723171,0.636468759120131,YDR238C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2459,4,941936,-0.0933262292580656,0.160563957089356,0.561449501218466,YDR239C,YDR239C,SGDID:S000002647,CDS,CDS,"""Protein of unknown function; may interact with ribosomes ; based on co-purification experiments""",Verified ORF
2460,4,942067,-0.0577047241304253,0.159252863280576,0.71730991526017,YDR239C,YDR239C,SGDID:S000002647,CDS,CDS,"""Protein of unknown function; may interact with ribosomes ; based on co-purification experiments""",Verified ORF
2461,4,942069,-0.0853588438255488,0.15877066117432,0.591175736836967,YDR239C,YDR239C,SGDID:S000002647,CDS,CDS,"""Protein of unknown function; may interact with ribosomes ; based on co-purification experiments""",Verified ORF
2462,4,942533,-0.0646956204465733,0.159690906066179,0.685627160490272,YDR239C,YDR239C,SGDID:S000002647,CDS,CDS,"""Protein of unknown function; may interact with ribosomes ; based on co-purification experiments""",Verified ORF
2463,4,944445,-0.03853741152749,0.159049747701723,0.808690090420745,YDR240C,SNU56,SGDID:S000002648,CDS,CDS,"""Component of U1 snRNP required for mRNA splicing via spliceosome; yeast specific ; no metazoan counterpart; interacts with mRNA in commitment complex""",Verified ORF
2464,4,947317,-0.123506375358871,0.159592701959157,0.439516850948893,YDR242W,AMD2,SGDID:S000002650,CDS,CDS,"""Putative amidase""",Verified ORF
2465,4,948413,-0.0546800892496166,0.159968393112049,0.732691201030349,YDR242W,AMD2,SGDID:S000002650,CDS,CDS,"""Putative amidase""",Verified ORF
2466,4,949523,-0.0629656356637946,0.159506829558987,0.693264344521942,YDR243C,PRP28,SGDID:S000002651,CDS,CDS,"""Pre-mRNA splicing factor; RNA binding protein involved in RNA isomerization at the 5' splice site and for exchange of U6 for U1 snRNA at the 5' splice site; similar to the RNA helicases of the DEAD-box family""",Verified ORF
2467,4,950108,-0.0421745393706037,0.159508558374328,0.791623713063361,YDR243C,PRP28,SGDID:S000002651,CDS,CDS,"""Pre-mRNA splicing factor; RNA binding protein involved in RNA isomerization at the 5' splice site and for exchange of U6 for U1 snRNA at the 5' splice site; similar to the RNA helicases of the DEAD-box family""",Verified ORF
2468,4,953287,-0.0862586897533092,0.160355039892264,0.590969074284355,YDR245W,MNN10,SGDID:S000002653,CDS,CDS,"""Subunit of a Golgi mannosyltransferase complex; complex mediates elongation of the polysaccharide mannan backbone; membrane protein of the mannosyltransferase family; other members of the complex are Anp1p ; Mnn9p ; Mnn11p ; and Hoc1p""",Verified ORF
2469,4,956734,-0.100781006054808,0.161013728981467,0.531774780095945,YDR247W,VHS1,SGDID:S000002655,CDS,CDS,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication""",Verified ORF
2471,4,959283,-0.118005117825596,0.159380447166547,0.459550116224482,YDR249C,YDR249C,SGDID:S000002657,CDS,CDS,"""Putative protein of unknown function""",Uncharacterized ORF
2472,4,960412,0.0971759184410596,0.161346286630152,0.54737329841099,YDR249C,YDR249C,SGDID:S000002657,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function""",Uncharacterized ORF
2473,4,960833,0.116535524111295,0.159836361236983,0.466428414377344,YDR251W,PAM1,SGDID:S000002659,CDS,CDS,"""Essential protein of unknown function; exhibits variable expression during colony morphogenesis; overexpression permits survival without protein phosphatase 2A ; inhibits growth ; and induces a filamentous phenotype; PAM1 has a paralog ; SVL3 ; that arose from the whole genome duplication""",Verified ORF
2474,4,961744,0.155802479982441,0.162307853251349,0.337752732387371,YDR251W,PAM1,SGDID:S000002659,CDS,CDS,"""Essential protein of unknown function; exhibits variable expression during colony morphogenesis; overexpression permits survival without protein phosphatase 2A ; inhibits growth ; and induces a filamentous phenotype; PAM1 has a paralog ; SVL3 ; that arose from the whole genome duplication""",Verified ORF
2475,4,962979,0.122849682500204,0.161436985865205,0.44717938876696,YDR251W,PAM1,SGDID:S000002659,CDS,CDS,"""Essential protein of unknown function; exhibits variable expression during colony morphogenesis; overexpression permits survival without protein phosphatase 2A ; inhibits growth ; and induces a filamentous phenotype; PAM1 has a paralog ; SVL3 ; that arose from the whole genome duplication""",Verified ORF
2477,4,964930,0.177940913893254,0.159553762366225,0.265505773083612,YDR254W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2478,4,965160,0.187818279465137,0.159069321984725,0.238504057387397,YDR254W,CHL4,SGDID:S000002662,CDS,CDS,"""Outer kinetochore protein required for chromosome stability; involved in new kinetochore assembly and sister chromatid cohesion; forms a stable complex with Iml3p; peripheral component of the Ctf19 kinetochore complex that interacts with Ctf19p ; Ctf3p ; and Mif2p; required for the spindle assembly checkpoint; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-N and fission yeast mis15""",Verified ORF
2479,4,969630,0.192133470928652,0.161490441303658,0.234943721302045,SUT063,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
2481,4,973283,0.245922228290393,0.159267180778454,0.123463469914598,YDR258C,HSP78,SGDID:S000002666,CDS,CDS,"""Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates""",Verified ORF
2482,4,974042,0.0820005810863126,0.159698827399868,0.607943705670182,YDR258C,HSP78,SGDID:S000002666,CDS,CDS,"""Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates""",Verified ORF
2483,4,974632,0.125271161336447,0.1603361336884,0.435147761809413,CUT075,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
2484,4,974689,0.164567342408608,0.161191360375135,0.307980168974058,CUT075,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
2485,4,974731,0.123228745096976,0.15871015527582,0.438009789827059,CUT075,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
2492,4,975090,0.180908461356701,0.15900125017538,0.255983966675449,YDR259C,YAP6,SGDID:S000002667,CDS,CDS,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2493,4,975108,0.171653821526171,0.160152661340125,0.284535924110292,YDR259C,YAP6,SGDID:S000002667,CDS,CDS,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2496,4,975252,0.143531549027793,0.159381792762893,0.368440670899534,YDR259C,YAP6,SGDID:S000002667,CDS,CDS,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2497,4,975354,0.203045492863412,0.159145215070033,0.202847270181607,YDR259C,YAP6,SGDID:S000002667,CDS,CDS,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2498,4,975573,0.221925595636396,0.160101302136058,0.166573803740376,YDR259C,YAP6,SGDID:S000002667,CDS,CDS,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2499,4,975702,0.177408778336086,0.160297186133184,0.269156014944579,YDR259C,YAP6,SGDID:S000002667,CDS,CDS,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2504,4,976707,0.214701596842058,0.161613720649557,0.184875728459155,YDR259C,YAP6,SGDID:S000002667,Close to 3'-UTR,Close to 3'-UTR,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication""",Verified ORF
2505,4,977037,0.190675576278687,0.160397448305001,0.235329513954546,YDR260C,SWM1,SGDID:S000002668,CDS,CDS,"""Subunit of the anaphase-promoting complex (APC); APC is an E3 ubiquitin ligase that regulates the metaphase-anaphase transition and exit from mitosis; required for activation of the daughter-specific gene expression and spore wall maturation""",Verified ORF
2506,4,977428,0.16296789614184,0.160340613557868,0.310141892538377,YDR260C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2507,4,979983,0.133257901268753,0.159467809628678,0.403921925119087,XUT_4F-449,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2508,4,980596,0.169199953741065,0.162457375848678,0.298354626875417,YDR261W-A,YDR261W-A,SGDID:S000007396,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag""",transposable_element_gene
2509,4,980779,0.0542551337432623,0.160134687326223,0.734954782518097,YDR261W-A,YDR261W-A,SGDID:S000007396,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag""",transposable_element_gene
2510,4,980835,0.104078315008097,0.159318339871202,0.514005781999453,YDRWdelta19_NFR/NDR,,,Promoter,Promoter,,Promoter
2511,4,996583,0.0992079266566659,0.160694765137555,0.537389552968889,YDR264C,AKR1,SGDID:S000002672,CDS,CDS,"""Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats; AKR1 has a paralog ; AKR2 ; that arose from the whole genome duplication; any of several human homologs encoding DHHC-type zinc fingers (ZDHHC) can complement temperature sensitivity of yeast akr1 null mutant""",Verified ORF
2512,4,997624,0.0753220612096298,0.160672055560306,0.639506414319083,YDR264C,AKR1,SGDID:S000002672,CDS,CDS,"""Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats; AKR1 has a paralog ; AKR2 ; that arose from the whole genome duplication; any of several human homologs encoding DHHC-type zinc fingers (ZDHHC) can complement temperature sensitivity of yeast akr1 null mutant""",Verified ORF
2513,4,998174,0.0838681263744617,0.159415170374358,0.599149940353155,YDR264C,AKR1,SGDID:S000002672,CDS,CDS,"""Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats; AKR1 has a paralog ; AKR2 ; that arose from the whole genome duplication; any of several human homologs encoding DHHC-type zinc fingers (ZDHHC) can complement temperature sensitivity of yeast akr1 null mutant""",Verified ORF
2514,4,1112991,0.123487600444919,0.159483758787536,0.4392741841572,YDR323C,PEP7,SGDID:S000002731,CDS,CDS,"""Adaptor protein involved in vesicle-mediated vacuolar protein sorting; multivalent adaptor protein; facilitates vesicle-mediated vacuolar protein sorting by ensuring high-fidelity vesicle docking and fusion ; which are essential for targeting of vesicles to the endosome; required for vacuole inheritance""",Verified ORF
2515,4,1118719,0.0898747600438469,0.159885120529625,0.574390435857581,YDR325W,YCG1,SGDID:S000002733,CDS,CDS,"""Subunit of the condensin complex; required for establishment and maintenance of chromosome condensation ; chromosome segregation and chromatin binding by the complex; required for tRNA genes clustering at the nucleolus; required for replication slow zone breakage following Mec1p inactivation; transcription is cell cycle regulated ; peaking in mitosis and declining in G1; protein is constitutively degraded by the proteasome; rate limiting for condensin recruitment to chromatin""",Verified ORF
2516,4,1123519,0.0962489942121221,0.160042988396236,0.547963176134253,YDR326C,YSP2,SGDID:S000002734,CDS,CDS,"""Sterol-binding protein; has a probable role in retrograde transport of sterols from the plasma membrane to the ER; contains two StART-like domains that bind sterols and a GRAM domain; co-localizes to puncta in the cortical ER with Sip3p; one of six StART-like domain-containing proteins in yeast that may be involved in sterol transfer between intracellular membranes; conserved across eukaryotes""",Verified ORF
2517,4,1123610,-0.0351430171477011,0.159292866991826,0.825516727008836,YDR326C,YSP2,SGDID:S000002734,CDS,CDS,"""Sterol-binding protein; has a probable role in retrograde transport of sterols from the plasma membrane to the ER; contains two StART-like domains that bind sterols and a GRAM domain; co-localizes to puncta in the cortical ER with Sip3p; one of six StART-like domain-containing proteins in yeast that may be involved in sterol transfer between intracellular membranes; conserved across eukaryotes""",Verified ORF
2518,4,1123959,-0.131513774939735,0.16005631308806,0.41181826303688,YDR326C,YSP2,SGDID:S000002734,CDS,CDS,"""Sterol-binding protein; has a probable role in retrograde transport of sterols from the plasma membrane to the ER; contains two StART-like domains that bind sterols and a GRAM domain; co-localizes to puncta in the cortical ER with Sip3p; one of six StART-like domain-containing proteins in yeast that may be involved in sterol transfer between intracellular membranes; conserved across eukaryotes""",Verified ORF
2519,4,1126543,-0.221061474188095,0.160567306869602,0.16946124858144,YDR329C,PEX3,SGDID:S000002737,CDS,CDS,"""Peroxisomal membrane protein (PMP); required for proper localization and stability of PMPs; anchors peroxisome retention factor Inp1p at the peroxisomal membrane; interacts with Pex19p""",Verified ORF
2520,4,1127480,-0.213460861632245,0.158669251042589,0.179385592519863,YDR329C,PEX3,SGDID:S000002737,CDS,CDS,"""Peroxisomal membrane protein (PMP); required for proper localization and stability of PMPs; anchors peroxisome retention factor Inp1p at the peroxisomal membrane; interacts with Pex19p""",Verified ORF
2521,4,1133634,-0.115194659338056,0.15920973178654,0.469827171789225,YDR333C,RQC1,SGDID:S000002741,CDS,CDS,"""Component of the ribosome quality control complex (RQC); RQC (Rqc1p-Rkr1p-Rqc2p-Cdc48p-Npl4p-Ufd1p) is a ribosome-bound complex required for the degradation of polypeptides arising from stalled translation; required along with Rkr1p for recruitment of the Cdc48p-Npl4p-Ufd1p AAA ATPase complex to the RQC""",Verified ORF
2522,4,1137173,-0.0067767441695432,0.159778342914084,0.966193119030834,YDR334W,SWR1,SGDID:S000002742,CDS,CDS,"""Swi2/Snf2-related ATPase; catalytic subunit of SWR1 complex ; which exchanges histone variant H2A.Z (Htz1p) for chromatin-bound histone H2A; N-terminus can deliver H2A.Z-H2B dimer to DNA-(H3-H4)2 tetrasome; relocalizes to cytosol in response to hypoxia; chronological aging factor ; mediates lifespan extension by dietary restriction""",Verified ORF
2523,4,1138274,-0.053418102673619,0.159992538767977,0.738669337341305,YDR334W,SWR1,SGDID:S000002742,CDS,CDS,"""Swi2/Snf2-related ATPase; catalytic subunit of SWR1 complex ; which exchanges histone variant H2A.Z (Htz1p) for chromatin-bound histone H2A; N-terminus can deliver H2A.Z-H2B dimer to DNA-(H3-H4)2 tetrasome; relocalizes to cytosol in response to hypoxia; chronological aging factor ; mediates lifespan extension by dietary restriction""",Verified ORF
2524,4,1138987,-0.0349224340823648,0.158849707833994,0.826118360364788,YDR334W,SWR1,SGDID:S000002742,CDS,CDS,"""Swi2/Snf2-related ATPase; catalytic subunit of SWR1 complex ; which exchanges histone variant H2A.Z (Htz1p) for chromatin-bound histone H2A; N-terminus can deliver H2A.Z-H2B dimer to DNA-(H3-H4)2 tetrasome; relocalizes to cytosol in response to hypoxia; chronological aging factor ; mediates lifespan extension by dietary restriction""",Verified ORF
