SNP,Chr,Pos,Effect,SE,HNM1_MAM33_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
1554,4,117170,-0.014868732508159,0.0600352736328929,0.804536365408249,YDL192W,ARF1,SGDID:S000002351,Close to 3'-UTR,Close to 3'-UTR,"""ADP-ribosylation factor; GTPase of the Ras superfamily involved in regulation of coated vesicle formation in intracellular trafficking within the Golgi; involved in mitochondrial morphology; ARF1 has a paralog ; ARF2 ; that arose from the whole genome duplication; arf1 arf2 double null mutation is complemented by human ARF1 ; ARF4 ; ARF5 ; or ARF6""",Verified ORF
1555,4,117432,0.0015134431095646,0.0608952112338173,0.98018607052486,YDL191W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1556,4,121939,0.0027218738051796,0.060859835153051,0.964352873102212,YDL189W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1557,4,121955,3.52734664502696e-05,0.0597846014519386,0.999529574055362,YDL189W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1558,4,122050,-0.0036498603932595,0.059932234779772,0.951473482520703,YDL190C,UFD2,SGDID:S000002349,Close to 3'-UTR,Close to 3'-UTR,"""Ubiquitin (Ub) chain assembly factor (E4); forms branched Ub chains on substrates destined for degradation ; catalyzing K48-linked multi-monoubiquitination of K29-linked Ub chains assembled by the Ub-ligase Ufd4p; involved in the Ub-fusion degradation pathway ; OLE membrane fluidity pathway ; stress response survival and the ERAD pathway for misfolded proteins ; where it promotes ubiquitination and transfer of ERAD substrates to Rad23p; U-box family member; homologous to human Ufd2a and Ufd2b""",Verified ORF
1559,4,122309,0.0073070709319647,0.0600392297677764,0.903201950908296,YDL189W,RBS1,SGDID:S000002348,CDS,CDS,"""Protein involved in assembly of the RNA polymerase III (Pol III) complex; high copy suppressor of Pol III assembly mutation and psk1 psk2 mutations that confer temperature-sensitivity for galactose utilization; physically interacts with Pol III; proposed to bind single-stranded nucleic acids via its R3H domain""",Verified ORF
1560,4,122365,-0.005386219523819,0.0601692318905611,0.928721145729565,YDL189W,RBS1,SGDID:S000002348,CDS,CDS,"""Protein involved in assembly of the RNA polymerase III (Pol III) complex; high copy suppressor of Pol III assembly mutation and psk1 psk2 mutations that confer temperature-sensitivity for galactose utilization; physically interacts with Pol III; proposed to bind single-stranded nucleic acids via its R3H domain""",Verified ORF
1561,4,122560,-0.0029203173508057,0.0598685333945126,0.961123135366637,YDL189W,RBS1,SGDID:S000002348,CDS,CDS,"""Protein involved in assembly of the RNA polymerase III (Pol III) complex; high copy suppressor of Pol III assembly mutation and psk1 psk2 mutations that confer temperature-sensitivity for galactose utilization; physically interacts with Pol III; proposed to bind single-stranded nucleic acids via its R3H domain""",Verified ORF
1562,4,122596,0.0042887039514472,0.0599763771551513,0.943035104866266,YDL189W,RBS1,SGDID:S000002348,CDS,CDS,"""Protein involved in assembly of the RNA polymerase III (Pol III) complex; high copy suppressor of Pol III assembly mutation and psk1 psk2 mutations that confer temperature-sensitivity for galactose utilization; physically interacts with Pol III; proposed to bind single-stranded nucleic acids via its R3H domain""",Verified ORF
1563,4,122617,0.0085245625261348,0.0597599950671929,0.886650644621428,YDL189W,RBS1,SGDID:S000002348,CDS,CDS,"""Protein involved in assembly of the RNA polymerase III (Pol III) complex; high copy suppressor of Pol III assembly mutation and psk1 psk2 mutations that confer temperature-sensitivity for galactose utilization; physically interacts with Pol III; proposed to bind single-stranded nucleic acids via its R3H domain""",Verified ORF
1564,4,123193,0.0063047784783341,0.059931610161359,0.91627721736911,YDL189W,RBS1,SGDID:S000002348,CDS,CDS,"""Protein involved in assembly of the RNA polymerase III (Pol III) complex; high copy suppressor of Pol III assembly mutation and psk1 psk2 mutations that confer temperature-sensitivity for galactose utilization; physically interacts with Pol III; proposed to bind single-stranded nucleic acids via its R3H domain""",Verified ORF
1565,4,123439,0.0044064563994449,0.0601043976594575,0.941598270141561,YDL189W,RBS1,SGDID:S000002348,CDS,CDS,"""Protein involved in assembly of the RNA polymerase III (Pol III) complex; high copy suppressor of Pol III assembly mutation and psk1 psk2 mutations that confer temperature-sensitivity for galactose utilization; physically interacts with Pol III; proposed to bind single-stranded nucleic acids via its R3H domain""",Verified ORF
1566,4,123976,0.0223196753635481,0.0601217394864988,0.710680489790986,YDL188C,PPH22,SGDID:S000002347,CDS,CDS,"""Catalytic subunit of protein phosphatase 2A ; PP2A; functionally redundant with Pph21p; C-terminally methylated; forms alternate complexes with several regulatory subunits; involved in signal transduction and regulation of mitosis; protein abundance increases in response to DNA replication stress; dephosphorylates Tel1p/Mec1p-phosphorylated Cdc13p to promote telomerase release from telomeres at G2/M; PPH22 has a paralog ; PPH21 ; that arose from the whole genome duplication""",Verified ORF
1567,4,126981,0.0067589113527588,0.0602345998274615,0.910720852142173,YDL185W,VMA1,SGDID:S000002344,CDS,CDS,"""Subunit A of the V1 peripheral membrane domain of V-ATPase; protein precursor undergoes self-catalyzed splicing to yield the extein Tfp1p and the intein Vde (PI-SceI) ; which is a site-specific endonuclease; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits; involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner""",Verified ORF
1568,4,127308,0.0103103703492501,0.0600205939771263,0.863708494681595,YDL185W,VMA1,SGDID:S000002344,CDS,CDS,"""Subunit A of the V1 peripheral membrane domain of V-ATPase; protein precursor undergoes self-catalyzed splicing to yield the extein Tfp1p and the intein Vde (PI-SceI) ; which is a site-specific endonuclease; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits; involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner""",Verified ORF
1569,4,127323,0.0444152779917435,0.0598695631745117,0.458660971227699,YDL185W,VMA1,SGDID:S000002344,CDS,CDS,"""Subunit A of the V1 peripheral membrane domain of V-ATPase; protein precursor undergoes self-catalyzed splicing to yield the extein Tfp1p and the intein Vde (PI-SceI) ; which is a site-specific endonuclease; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits; involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner""",Verified ORF
1570,4,132281,0.0412072921686553,0.0601845055979193,0.493993434724637,YDL183C,YDL183C,SGDID:S000002342,Close to 3'-UTR,Close to 3'-UTR,"""Protein that may form an active mitochondrial KHE system; mitochondrial inner-membrane protein; non-essential gene; KHE system stands for K+/H+ exchanger system""",Verified ORF
1571,4,132892,0.0262479783099973,0.0601536942666139,0.662850600499106,YDL182W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1572,4,132952,0.0141885677230986,0.059625386619225,0.812048741082592,YDL182W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1573,4,135298,0.0107424484807235,0.0598406306192976,0.857634270277619,YDL181W,INH1,SGDID:S000002340,CDS,CDS,"""Protein that inhibits ATP hydrolysis by the F1F0-ATP synthase; inhibitory function is enhanced by stabilizing proteins Stf1p and Stf2p; has a calmodulin-binding motif and binds calmodulin in vitro; INH1 has a paralog ; STF1 ; that arose from the whole genome duplication""",Verified ORF
1577,4,135873,0.0051233066251552,0.0595501823898709,0.931488616833932,YDL181W,INH1,SGDID:S000002340,Close to 3'-UTR,Close to 3'-UTR,"""Protein that inhibits ATP hydrolysis by the F1F0-ATP synthase; inhibitory function is enhanced by stabilizing proteins Stf1p and Stf2p; has a calmodulin-binding motif and binds calmodulin in vitro; INH1 has a paralog ; STF1 ; that arose from the whole genome duplication""",Verified ORF
1578,4,136069,0.0084125706634205,0.0600460689508674,0.888659353724023,YDL180W,YDL180W,SGDID:S000002339,CDS,CDS,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole""",Uncharacterized ORF
1579,4,136920,0.0187101010819545,0.0601271705896267,0.755850901672629,YDL180W,YDL180W,SGDID:S000002339,CDS,CDS,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole""",Uncharacterized ORF
1580,4,137351,0.037127810853645,0.0594473795223435,0.532670446802246,YDL180W,YDL180W,SGDID:S000002339,CDS,CDS,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole""",Uncharacterized ORF
1581,4,137511,0.0099047338326964,0.0593668489709879,0.867591885465445,YDL180W,YDL180W,SGDID:S000002339,CDS,CDS,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole""",Uncharacterized ORF
1582,4,141606,0.0119706554947669,0.0609156395438114,0.844322509139127,YDL177C,YDL177C,SGDID:S000002336,CDS,CDS,"""Putative protein of unknown function; similar to the mouse IMPACT gene; YDL177C is not an essential gene""",Uncharacterized ORF
1583,4,142711,0.0150071173065879,0.0603331090360808,0.803708354736049,YDL176W,YDL176W,SGDID:S000002335,CDS,CDS,"""Protein of unknown function involved in actin patch formation; null mutant displays a decreased number of actin cortical patches ; increased coat patches ; altered patch formation dynamics ; and defects in endocytic internalization; interacts with GID complex components and computationally predicted to be involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; non-essential gene""",Verified ORF
1584,4,143484,0.0337658981937833,0.0597661751958833,0.572455277531517,YDL176W,YDL176W,SGDID:S000002335,CDS,CDS,"""Protein of unknown function involved in actin patch formation; null mutant displays a decreased number of actin cortical patches ; increased coat patches ; altered patch formation dynamics ; and defects in endocytic internalization; interacts with GID complex components and computationally predicted to be involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; non-essential gene""",Verified ORF
1585,4,145738,0.0132916419264898,0.0596458636774148,0.823786864618603,YDL175C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1586,4,147035,0.0298080247172347,0.0597035109540994,0.617901934274129,YDL174C,DLD1,SGDID:S000002333,CDS,CDS,"""Major mitochondrial D-lactate dehydrogenase; oxidizes D-lactate to pyruvate ; transcription is heme-dependent ; repressed by glucose ; and derepressed in ethanol or lactate; located in the mitochondrial inner membrane""",Verified ORF
1587,4,147814,0.025168859791262,0.0598049312632168,0.674121275492157,YDL174C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1588,4,148075,0.0104467020588663,0.0608242799876483,0.863730786703974,YDL173W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1591,4,149457,0.0300338780912146,0.0600163056350542,0.617085135378039,XUT_4F-92,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
1592,4,149464,0.0268290685243032,0.0596614215570297,0.653210901913579,XUT_4F-92,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
1593,4,149678,0.032727436372106,0.0595734921212163,0.583104129939117,XUT_4F-92,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
1594,4,154434,0.0230208646414268,0.0593958323679265,0.698557623572007,YDL171C,GLT1,SGDID:S000002330,CDS,CDS,"""NAD(+)-dependent glutamate synthase (GOGAT); synthesizes glutamate from glutamine and alpha-ketoglutarate; with Gln1p ; forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source; assembles into filaments as cells approach stationary phase and under cytosolic acidification and starvation conditions""",Verified ORF
1595,4,156313,0.0176281100219385,0.059887750636422,0.768661561700394,YDL170W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1596,4,156362,0.0051508675586083,0.0602028739648493,0.93186589562695,YDL170W,UGA3,SGDID:S000002329,CDS,CDS,"""Transcriptional activator for GABA-dependent induction of GABA genes; binds to DNA elements found in the promoters of target genes and increases their expression in the presence of GABA (gamma-aminobutyrate); zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type; localized to the nucleus; examples of GABA genes include UGA1 ; UGA2 ; and UGA4""",Verified ORF
1597,4,156963,0.037032339631713,0.0599203349607517,0.536956559664081,YDL170W,UGA3,SGDID:S000002329,CDS,CDS,"""Transcriptional activator for GABA-dependent induction of GABA genes; binds to DNA elements found in the promoters of target genes and increases their expression in the presence of GABA (gamma-aminobutyrate); zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type; localized to the nucleus; examples of GABA genes include UGA1 ; UGA2 ; and UGA4""",Verified ORF
1599,4,158123,0.0439970274670485,0.0606464292615747,0.468645795184856,YDL169C,UGX2,SGDID:S000002328,CDS,CDS,"""Protein of unknown function; transcript accumulates in response to any combination of stress conditions""",Verified ORF
1600,4,158426,0.0461666605779454,0.0603655472850085,0.444910585631473,YDL169C,UGX2,SGDID:S000002328,CDS,CDS,"""Protein of unknown function; transcript accumulates in response to any combination of stress conditions""",Verified ORF
1601,4,158963,0.0552894286636244,0.0594469232341398,0.352973658980062,YDL169C,UGX2,SGDID:S000002328,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; transcript accumulates in response to any combination of stress conditions""",Verified ORF
1603,4,161760,0.0464321967034408,0.0597688617607531,0.437760062587184,YDL167C,NRP1,SGDID:S000002326,CDS,CDS,"""Putative RNA binding protein of unknown function; localizes to stress granules induced by glucose deprivation; predicted to be involved in ribosome biogenesis""",Verified ORF
1604,4,163032,0.0534028512150846,0.0603185983818014,0.376572532753686,YDL167C,NRP1,SGDID:S000002326,CDS,CDS,"""Putative RNA binding protein of unknown function; localizes to stress granules induced by glucose deprivation; predicted to be involved in ribosome biogenesis""",Verified ORF
1605,4,163327,0.0452634154673625,0.0600885980002043,0.451785005489483,YDL167C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1607,4,165032,0.0467897396836984,0.0595001270108311,0.432172178501827,YDL164C,CDC9,SGDID:S000002323,CDS,CDS,"""DNA ligase I found in nucleus and mitochondria; essential enzyme that joins Okazaki fragments during DNA replication; also acts in ribonucleotide excision repair ; base excision repair ; and recombination; DNA ligase I mutants trigger ubiquitination of PCNA at K107 ; facilitating Rad59p-mediated bypass of unligated Okazaki fragments; human homolog LIG1 can complement yeast cdc9 temperature-sensitive mutant at restrictive temperature""",Verified ORF
1608,4,165290,0.0312143161369492,0.0601411370819801,0.604073610379768,YDL164C,CDC9,SGDID:S000002323,CDS,CDS,"""DNA ligase I found in nucleus and mitochondria; essential enzyme that joins Okazaki fragments during DNA replication; also acts in ribonucleotide excision repair ; base excision repair ; and recombination; DNA ligase I mutants trigger ubiquitination of PCNA at K107 ; facilitating Rad59p-mediated bypass of unligated Okazaki fragments; human homolog LIG1 can complement yeast cdc9 temperature-sensitive mutant at restrictive temperature""",Verified ORF
1609,4,165509,0.0428621029841551,0.0596296657032733,0.472736593353008,YDL164C,CDC9,SGDID:S000002323,CDS,CDS,"""DNA ligase I found in nucleus and mitochondria; essential enzyme that joins Okazaki fragments during DNA replication; also acts in ribonucleotide excision repair ; base excision repair ; and recombination; DNA ligase I mutants trigger ubiquitination of PCNA at K107 ; facilitating Rad59p-mediated bypass of unligated Okazaki fragments; human homolog LIG1 can complement yeast cdc9 temperature-sensitive mutant at restrictive temperature""",Verified ORF
1610,4,167204,0.0426282611750473,0.0605445916882817,0.481846891003223,YDL164C,CDC9,SGDID:S000002323,CDS,CDS,"""DNA ligase I found in nucleus and mitochondria; essential enzyme that joins Okazaki fragments during DNA replication; also acts in ribonucleotide excision repair ; base excision repair ; and recombination; DNA ligase I mutants trigger ubiquitination of PCNA at K107 ; facilitating Rad59p-mediated bypass of unligated Okazaki fragments; human homolog LIG1 can complement yeast cdc9 temperature-sensitive mutant at restrictive temperature""",Verified ORF
1611,4,167436,0.0493413829947127,0.0599053122376952,0.410691043130213,YDL162C,YDL162C,SGDID:S000002321,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps ENT1/YDL161W ; a verified gene involved in endocytosis and actin cortical patch assembly""",Dubious ORF
1612,4,167687,0.0114216803364838,0.0593100954109213,0.847402055650496,YDL162C,YDL162C,SGDID:S000002321,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps ENT1/YDL161W ; a verified gene involved in endocytosis and actin cortical patch assembly""",Dubious ORF
1613,4,168238,0.0234034160326432,0.0595689245951857,0.694645543550396,YDL161W,ENT1,SGDID:S000002320,CDS,CDS,"""Epsin-like protein involved in endocytosis and actin patch assembly; functionally redundant with Ent2p; binds clathrin via a clathrin-binding domain motif at C-terminus; relocalizes from bud neck to cytoplasm upon DNA replication stress; ENT1 has a paralog ; ENT2 ; that arose from the whole genome duplication""",Verified ORF
1614,4,168256,0.0042705109383393,0.0603364968151977,0.943614332303942,YDL161W,ENT1,SGDID:S000002320,CDS,CDS,"""Epsin-like protein involved in endocytosis and actin patch assembly; functionally redundant with Ent2p; binds clathrin via a clathrin-binding domain motif at C-terminus; relocalizes from bud neck to cytoplasm upon DNA replication stress; ENT1 has a paralog ; ENT2 ; that arose from the whole genome duplication""",Verified ORF
1615,4,171883,-0.0199228662830477,0.0597189783628187,0.738871723961087,YDL160C,DHH1,SGDID:S000002319,CDS,CDS,"""Cytoplasmic DEAD-box helicase and mRNA decapping activator; interacts with decapping and deadenylase complexes to coordinate mRNA decapping and decay; regulates general translational repression; translational activator of select mRNAs during filamentous growth ; mating and autophagy; cooperates with Ngr1p to promote specific mRNA decay; ATP- and RNA-bound form promotes processing body assembly ; while ATPase stimulation by Not1p promotes disassembly; forms cytoplasmic foci on replication stress""",Verified ORF
1616,4,172408,-0.0200147575556286,0.0596391242578568,0.737373565026046,YDL159W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1617,4,173416,-0.022871832468225,0.0603261147111254,0.704814448893811,YDL159W,STE7,SGDID:S000002318,CDS,CDS,"""Signal transducing MAP kinase kinase; involved in pheromone response where it phosphorylates Fus3p; involved in the pseudohyphal/invasive growth pathway where it phosphorylates of Kss1p; phosphorylated by Ste11p; degraded by ubiquitin pathway""",Verified ORF
1618,4,173461,-0.0105809005156739,0.0597972202759072,0.859652002247897,YDL159W,STE7,SGDID:S000002318,CDS,CDS,"""Signal transducing MAP kinase kinase; involved in pheromone response where it phosphorylates Fus3p; involved in the pseudohyphal/invasive growth pathway where it phosphorylates of Kss1p; phosphorylated by Ste11p; degraded by ubiquitin pathway""",Verified ORF
1622,4,174546,-0.0126162603693016,0.0597160561727278,0.832797863647796,YDL157C,YDL157C,SGDID:S000002316,CDS,CDS,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",Uncharacterized ORF
1623,4,174974,0.0138348653115936,0.0621857917102272,0.824071780550877,YDL156W,CMR1,SGDID:S000002315,CDS,CDS,"""Nuclear protein with role in transcription ; protein quality control; localizes to the intranuclear quality control compartment (INQ) in response to proteasome inhibition or DNA replication stress; INQ likely sequesters proteins involved in DNA metabolism for degradation or re-folding; also localizes to coding regions of transcribed genes; contains three WD domains (WD-40 repeat); human ortholog WDR76 also exhibits perinuclear localization under similar stress conditions""",Verified ORF
1624,4,175467,-0.0060001374186466,0.0595688176577847,0.919825039304301,YDL156W,CMR1,SGDID:S000002315,CDS,CDS,"""Nuclear protein with role in transcription ; protein quality control; localizes to the intranuclear quality control compartment (INQ) in response to proteasome inhibition or DNA replication stress; INQ likely sequesters proteins involved in DNA metabolism for degradation or re-folding; also localizes to coding regions of transcribed genes; contains three WD domains (WD-40 repeat); human ortholog WDR76 also exhibits perinuclear localization under similar stress conditions""",Verified ORF
1625,4,177157,0.0658250206715617,0.0594363262751451,0.26883704597396,YDL155W,CLB3,SGDID:S000002314,CDS,CDS,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""",Verified ORF
1626,4,177207,0.0907367674018383,0.0591724367328886,0.126065755712448,YDL155W,CLB3,SGDID:S000002314,CDS,CDS,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""",Verified ORF
1627,4,177280,0.0693232960433993,0.0595914543101321,0.245489759878528,YDL155W,CLB3,SGDID:S000002314,CDS,CDS,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""",Verified ORF
1628,4,177330,0.0993577972606758,0.0594385020402541,0.0954880712823435,YDL155W,CLB3,SGDID:S000002314,CDS,CDS,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""",Verified ORF
1629,4,177633,0.102201284695303,0.05932079314281,0.085790036841766,YDL155W,CLB3,SGDID:S000002314,CDS,CDS,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""",Verified ORF
1630,4,177756,0.0663159201440994,0.0606294326250392,0.274792525030888,YDL155W,CLB3,SGDID:S000002314,CDS,CDS,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""",Verified ORF
1631,4,178032,0.0853757001113411,0.0594867061850391,0.15211371798397,YDL155W,CLB3,SGDID:S000002314,CDS,CDS,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""",Verified ORF
1632,4,178058,0.0987479627344259,0.0595339805978295,0.0980680365033311,YDL154W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1633,4,178267,0.082850131226005,0.0594868419146784,0.164572808678385,YDL154W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1634,4,178339,0.0617420144219427,0.060098137959894,0.304957625535124,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1635,4,178489,0.0845111441709489,0.0594062339387195,0.155736008912026,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1636,4,178698,0.083002672572592,0.0591596727067861,0.161487454516372,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1637,4,178705,0.0902800624339873,0.0600486061751822,0.133617202673113,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1638,4,178974,0.0608331318953419,0.059791194295624,0.309647497920225,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1639,4,179020,0.125497917870553,0.0596167905890822,0.03599086007758,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1640,4,179134,0.123553156782688,0.0603227616498111,0.0412796145435398,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1641,4,179240,0.126279793528887,0.0594647250089165,0.0343979614516078,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1642,4,179480,0.152078253298522,0.0591577106519241,0.0105577487306959,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1643,4,179651,0.160130821505601,0.0591133350665301,0.0070801213762336,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1644,4,179674,0.175599935089678,0.0599419212099655,0.0036157981464561,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1645,4,179696,0.158478805623346,0.059009065037032,0.0075803588138964,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1646,4,179726,0.171558993512928,0.0588480151443184,0.0037804913414117,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1647,4,179806,0.171558993512928,0.0588480151443184,0.0037804913414117,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1648,4,179890,0.1789104630262,0.0587931344223701,0.0025174487115949,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1649,4,180004,0.154493414837429,0.0594235910310502,0.0097175986618232,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
1650,4,180086,0.124410614113985,0.0591862580889161,0.0362597038966379,YDL154W,MSH5,SGDID:S000002313,CDS,CDS,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",Verified ORF
