SNP,Chr,Pos,Effect,SE,ERG11_PIS1_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
1454,4,52093,0.080429878767886,0.106989697025752,0.452700232874121,YDL226C,GCS1,SGDID:S000002385,CDS,CDS,"""ADP-ribosylation factor GTPase activating protein (ARF GAP); involved in ER-Golgi transport; required for prospore membrane formation; regulates phospholipase Spo14p; shares functional similarity with Glo3p; GCS1 has a paralog ; SPS18 ; that arose from the whole genome duplication""",Verified ORF
1455,4,52141,0.112235127502631,0.107322321559971,0.296379945327518,YDL226C,GCS1,SGDID:S000002385,CDS,CDS,"""ADP-ribosylation factor GTPase activating protein (ARF GAP); involved in ER-Golgi transport; required for prospore membrane formation; regulates phospholipase Spo14p; shares functional similarity with Glo3p; GCS1 has a paralog ; SPS18 ; that arose from the whole genome duplication""",Verified ORF
1456,4,52459,0.132686019520246,0.107584264987662,0.218276342041658,YDL225W,SHS1,SGDID:S000002384,CDS,CDS,"""Component of the septin ring that is required for cytokinesis; present at the ends of rod-like septin hetero-oligomers; C-terminal extension is important for recruitment of Bni5p to the mother-bud neck ; which in turn is required for Myo1p recruitment and cytokinesis; undergoes sumoylation and phosphorylation during mitosis; protein abundance increases in response to DNA replication stress""",Verified ORF
1457,4,53342,0.116826683727677,0.107176559514532,0.276439270870111,YDL225W,SHS1,SGDID:S000002384,CDS,CDS,"""Component of the septin ring that is required for cytokinesis; present at the ends of rod-like septin hetero-oligomers; C-terminal extension is important for recruitment of Bni5p to the mother-bud neck ; which in turn is required for Myo1p recruitment and cytokinesis; undergoes sumoylation and phosphorylation during mitosis; protein abundance increases in response to DNA replication stress""",Verified ORF
1458,4,55290,0.140313280275903,0.106690893294781,0.189317071933672,YDL224C,WHI4,SGDID:S000002383,CDS,CDS,"""Putative RNA binding protein; regulates the cell size requirement for passage through Start and commitment to cell division; WHI4 has a paralog ; WHI3 ; that arose from the whole genome duplication""",Verified ORF
1459,4,56089,0.126527001450775,0.10673972108033,0.236665065910756,YDL224C,WHI4,SGDID:S000002383,CDS,CDS,"""Putative RNA binding protein; regulates the cell size requirement for passage through Start and commitment to cell division; WHI4 has a paralog ; WHI3 ; that arose from the whole genome duplication""",Verified ORF
1461,4,57719,0.117138162819739,0.106965418223045,0.274218079424578,YDL223C,HBT1,SGDID:S000002382,CDS,CDS,"""Shmoo tip protein ; substrate of Hub1p ubiquitin-like protein; mutants are defective for mating projection formation ; thereby implicating Hbt1p in polarized cell morphogenesis; HBT1 has a paralog ; YNL195C ; that arose from the whole genome duplication""",Verified ORF
1464,4,60023,0.102761712131444,0.107060323704025,0.337788341366925,YDL223C,HBT1,SGDID:S000002382,CDS,CDS,"""Shmoo tip protein ; substrate of Hub1p ubiquitin-like protein; mutants are defective for mating projection formation ; thereby implicating Hbt1p in polarized cell morphogenesis; HBT1 has a paralog ; YNL195C ; that arose from the whole genome duplication""",Verified ORF
1465,4,60460,0.103938955527281,0.107260628643378,0.333192810468467,YDL223C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1466,4,61772,0.0383581248904543,0.10825623143649,0.723305266382313,YDL222C,FMP45,SGDID:S000002381,CDS,CDS,"""Integral membrane protein localized to mitochondria; required for sporulation and maintaining sphingolipid content; similar to SUR7; FMP45 has a paralog ; YNL194C ; that arose from the whole genome duplication""",Verified ORF
1467,4,62037,0.0804562678880642,0.108162558233572,0.457464575596268,YDL221W,YDL221W,SGDID:S000002380,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the 3' end of essential gene CDC13""",Dubious ORF
1468,4,62324,0.0565710732317769,0.108549687146624,0.602586467044301,YDL221W,YDL221W,SGDID:S000002380,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the 3' end of essential gene CDC13""",Dubious ORF
1469,4,62762,0.0449462939321033,0.108101279448517,0.677824014721471,YDL220C,CDC13,SGDID:S000002379,CDS,CDS,"""Single stranded DNA-binding protein found at TG1-3 telomere G-tails; key roles in regulation of telomerase ; telomere end protection ; conventional telomere replication; regulates telomere replication through recruitment of specific sub-complexes ; essential function is telomere capping; forms homodimer via N-terminus; disruption of dimerization leads to short telomeres; autophagy and proteasome are involved in Cdc13p degradation; differentially phosphorylated through cell cycle""",Verified ORF
1470,4,64285,0.0999379579468462,0.107844273032425,0.35472185222958,YDL220C,CDC13,SGDID:S000002379,CDS,CDS,"""Single stranded DNA-binding protein found at TG1-3 telomere G-tails; key roles in regulation of telomerase ; telomere end protection ; conventional telomere replication; regulates telomere replication through recruitment of specific sub-complexes ; essential function is telomere capping; forms homodimer via N-terminus; disruption of dimerization leads to short telomeres; autophagy and proteasome are involved in Cdc13p degradation; differentially phosphorylated through cell cycle""",Verified ORF
1471,4,65329,0.0520521513979948,0.107190666910885,0.627549653794165,YDL220C,CDC13,SGDID:S000002379,Close to 3'-UTR,Close to 3'-UTR,"""Single stranded DNA-binding protein found at TG1-3 telomere G-tails; key roles in regulation of telomerase ; telomere end protection ; conventional telomere replication; regulates telomere replication through recruitment of specific sub-complexes ; essential function is telomere capping; forms homodimer via N-terminus; disruption of dimerization leads to short telomeres; autophagy and proteasome are involved in Cdc13p degradation; differentially phosphorylated through cell cycle""",Verified ORF
1472,4,65934,0.0856265487415122,0.10721962223324,0.425054165277779,CUT470_NFR/NDR,,,Promoter,Promoter,,Promoter
1473,4,66022,0.0625741277010469,0.106666340927369,0.557824338835497,CUT470_NFR/NDR,,,Promoter,Promoter,,Promoter
1475,4,66159,0.0741917208334985,0.10724118617155,0.489504423465803,YDL219W,DTD1,SGDID:S000002378,Close to 3'-UTR,Close to 3'-UTR,"""D-Tyr-tRNA(Tyr) deacylase; functions in protein translation ; may affect nonsense suppression via alteration of the protein synthesis machinery; ubiquitous among eukaryotes""",Verified ORF
1476,4,66228,0.105997799658812,0.107926021966965,0.326706555143754,YDL219W,DTD1,SGDID:S000002378,Close to 3'-UTR,Close to 3'-UTR,"""D-Tyr-tRNA(Tyr) deacylase; functions in protein translation ; may affect nonsense suppression via alteration of the protein synthesis machinery; ubiquitous among eukaryotes""",Verified ORF
1477,4,66763,0.0419928441438619,0.106814102843583,0.6944537614956,YDL218W,YDL218W,SGDID:S000002377,CDS,CDS,"""Putative protein of unknown function; YDL218W transcription is regulated by Azf1p and induced by starvation and aerobic conditions; expression also induced in cells treated with the mycotoxin patulin""",Uncharacterized ORF
1478,4,68860,0.0213315693637648,0.106872110307868,0.841909114372866,YDL217C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1479,4,68911,0.0282611293189975,0.106657130302079,0.791185859339299,YDL217C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1480,4,69269,0.001005292314875,0.107226450276748,0.992524908015817,YDL216C,RRI1,SGDID:S000002375,CDS,CDS,"""Catalytic subunit of the COP9 signalosome (CSN) complex; acts as an isopeptidase in cleaving the ubiquitin-like protein Nedd8 from SCF ubiquitin ligases; metalloendopeptidase involved in the adaptation to pheromone signaling; involved in modulation of genes controlling amino acid and lipid metabolism ; and ergosterol biosynthesis""",Verified ORF
1481,4,70023,0.0281661068985611,0.107436627849442,0.793347274069701,YDL216C,RRI1,SGDID:S000002375,CDS,CDS,"""Catalytic subunit of the COP9 signalosome (CSN) complex; acts as an isopeptidase in cleaving the ubiquitin-like protein Nedd8 from SCF ubiquitin ligases; metalloendopeptidase involved in the adaptation to pheromone signaling; involved in modulation of genes controlling amino acid and lipid metabolism ; and ergosterol biosynthesis""",Verified ORF
1482,4,70129,-0.0324417706580379,0.106920178143146,0.761748196066271,YDL216C,RRI1,SGDID:S000002375,CDS,CDS,"""Catalytic subunit of the COP9 signalosome (CSN) complex; acts as an isopeptidase in cleaving the ubiquitin-like protein Nedd8 from SCF ubiquitin ligases; metalloendopeptidase involved in the adaptation to pheromone signaling; involved in modulation of genes controlling amino acid and lipid metabolism ; and ergosterol biosynthesis""",Verified ORF
1484,4,71282,0.0375970702749961,0.106581616308558,0.724483554489612,YDL215C,GDH2,SGDID:S000002374,CDS,CDS,"""NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis""",Verified ORF
1485,4,71689,0.0993683246401074,0.107697333735029,0.356813150618452,YDL215C,GDH2,SGDID:S000002374,CDS,CDS,"""NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis""",Verified ORF
1486,4,72324,0.0449570842215834,0.10667968075404,0.67370399871045,YDL215C,GDH2,SGDID:S000002374,CDS,CDS,"""NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis""",Verified ORF
1487,4,72434,0.104035973755578,0.108017517738925,0.336136660283984,YDL215C,GDH2,SGDID:S000002374,CDS,CDS,"""NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis""",Verified ORF
1488,4,72764,0.174882320335874,0.106373500018895,0.101058141097792,YDL215C,GDH2,SGDID:S000002374,CDS,CDS,"""NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis""",Verified ORF
1489,4,73313,0.117007236768902,0.106432655156083,0.272362583661489,YDL215C,GDH2,SGDID:S000002374,CDS,CDS,"""NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis""",Verified ORF
1490,4,74160,0.106031980454951,0.107224694225978,0.323400895238328,CUT050,,,Unstable transcript,CUT,ncRNA_TFO,Unstable transcript
1491,4,76499,0.122048669636873,0.106426730272855,0.252246840940154,XUT_4F-43,,,Unstable transcript,XUT,ncRNA_TFO,Unstable transcript
1493,4,77589,0.104379853934719,0.106771861940363,0.328943151000476,YDL213C,NOP6,SGDID:S000002372,CDS,CDS,"""rRNA-binding protein required for 40S ribosomal subunit biogenesis; contains an RNA recognition motif (RRM); hydrophilin essential to overcome the stress of the desiccation-rehydration process; NOP6 may be a fungal-specific gene as no homologs have been yet identified in higher eukaryotes""",Verified ORF
1494,4,77718,0.127391843162712,0.106402245631872,0.232006075203732,YDL213C,NOP6,SGDID:S000002372,CDS,CDS,"""rRNA-binding protein required for 40S ribosomal subunit biogenesis; contains an RNA recognition motif (RRM); hydrophilin essential to overcome the stress of the desiccation-rehydration process; NOP6 may be a fungal-specific gene as no homologs have been yet identified in higher eukaryotes""",Verified ORF
1495,4,77851,0.0337390473328641,0.107806942595725,0.754497370860787,YDL213C,NOP6,SGDID:S000002372,CDS,CDS,"""rRNA-binding protein required for 40S ribosomal subunit biogenesis; contains an RNA recognition motif (RRM); hydrophilin essential to overcome the stress of the desiccation-rehydration process; NOP6 may be a fungal-specific gene as no homologs have been yet identified in higher eukaryotes""",Verified ORF
1496,4,77997,0.0898170190786151,0.107455512724353,0.403802978901609,YDL213C,NOP6,SGDID:S000002372,Close to 3'-UTR,Close to 3'-UTR,"""rRNA-binding protein required for 40S ribosomal subunit biogenesis; contains an RNA recognition motif (RRM); hydrophilin essential to overcome the stress of the desiccation-rehydration process; NOP6 may be a fungal-specific gene as no homologs have been yet identified in higher eukaryotes""",Verified ORF
1497,4,79690,0.0916113466813097,0.106460216874918,0.390085499344411,YDL211C,YDL211C,SGDID:S000002370,CDS,CDS,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; YDL211C has a paralog ; TDA7 ; that arose from the whole genome duplication""",Uncharacterized ORF
1498,4,79853,0.102276759668564,0.107917772656446,0.343915962465052,YDL211C,YDL211C,SGDID:S000002370,CDS,CDS,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; YDL211C has a paralog ; TDA7 ; that arose from the whole genome duplication""",Uncharacterized ORF
1499,4,80944,0.124095473940173,0.106807418695393,0.246076518845678,XUT_4F-50,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
1500,4,82080,0.0872128718962837,0.107499655160112,0.417748618197747,XUT_4F-50,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
1501,4,82454,0.0994428257821907,0.107304578244507,0.354697704267096,XUT_4F-50,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
1506,4,83947,0.0814845447160088,0.107041209255924,0.447019204432075,YDL210W,UGA4,SGDID:S000002369,Close to 3'-UTR,Close to 3'-UTR,"""GABA (gamma-aminobutyrate) permease; serves as a GABA transport protein involved in the utilization of GABA as a nitrogen source; catalyzes the transport of putrescine and delta-aminolevulinic acid (ALA); localized to the vacuolar membrane""",Verified ORF
1507,4,84004,0.0803744756111997,0.108284537976839,0.458427925547387,YDL210W,UGA4,SGDID:S000002369,Close to 3'-UTR,Close to 3'-UTR,"""GABA (gamma-aminobutyrate) permease; serves as a GABA transport protein involved in the utilization of GABA as a nitrogen source; catalyzes the transport of putrescine and delta-aminolevulinic acid (ALA); localized to the vacuolar membrane""",Verified ORF
1508,4,84689,0.108582402861564,0.106228686154755,0.307406545366742,YDL210W,UGA4,SGDID:S000002369,CDS,CDS,"""GABA (gamma-aminobutyrate) permease; serves as a GABA transport protein involved in the utilization of GABA as a nitrogen source; catalyzes the transport of putrescine and delta-aminolevulinic acid (ALA); localized to the vacuolar membrane""",Verified ORF
1509,4,84692,0.0700532203526531,0.106643882975778,0.511680153516273,YDL210W,UGA4,SGDID:S000002369,CDS,CDS,"""GABA (gamma-aminobutyrate) permease; serves as a GABA transport protein involved in the utilization of GABA as a nitrogen source; catalyzes the transport of putrescine and delta-aminolevulinic acid (ALA); localized to the vacuolar membrane""",Verified ORF
1510,4,84897,0.0799503960290934,0.107316283398823,0.456768757416871,YDL210W,UGA4,SGDID:S000002369,CDS,CDS,"""GABA (gamma-aminobutyrate) permease; serves as a GABA transport protein involved in the utilization of GABA as a nitrogen source; catalyzes the transport of putrescine and delta-aminolevulinic acid (ALA); localized to the vacuolar membrane""",Verified ORF
1511,4,85322,0.0634196486710558,0.107326915843578,0.5549644828882,YDL210W,UGA4,SGDID:S000002369,CDS,CDS,"""GABA (gamma-aminobutyrate) permease; serves as a GABA transport protein involved in the utilization of GABA as a nitrogen source; catalyzes the transport of putrescine and delta-aminolevulinic acid (ALA); localized to the vacuolar membrane""",Verified ORF
1512,4,85809,0.0904966693777124,0.106355420322008,0.395407757462257,YDL210W,UGA4,SGDID:S000002369,CDS,CDS,"""GABA (gamma-aminobutyrate) permease; serves as a GABA transport protein involved in the utilization of GABA as a nitrogen source; catalyzes the transport of putrescine and delta-aminolevulinic acid (ALA); localized to the vacuolar membrane""",Verified ORF
1513,4,86292,0.0426694995242234,0.10863532293215,0.69472097421596,YDL209C,CWC2,SGDID:S000002368,CDS,CDS,"""Member of the NineTeen Complex (NTC); this complex contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2 ; U5 ; and U6 snRNAs; binds directly to U6 snRNA; similar to S. pombe Cwf2""",Verified ORF
1514,4,86372,-0.0219289157144649,0.106920110936415,0.837615125041926,YDL209C,CWC2,SGDID:S000002368,CDS,CDS,"""Member of the NineTeen Complex (NTC); this complex contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2 ; U5 ; and U6 snRNAs; binds directly to U6 snRNA; similar to S. pombe Cwf2""",Verified ORF
1515,4,86424,0.0501036074553647,0.107034420458939,0.639996655469557,YDL209C,CWC2,SGDID:S000002368,CDS,CDS,"""Member of the NineTeen Complex (NTC); this complex contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2 ; U5 ; and U6 snRNAs; binds directly to U6 snRNA; similar to S. pombe Cwf2""",Verified ORF
1516,4,86904,0.0143197955914929,0.10770625921838,0.894306855286501,YDL209C,CWC2,SGDID:S000002368,CDS,CDS,"""Member of the NineTeen Complex (NTC); this complex contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2 ; U5 ; and U6 snRNAs; binds directly to U6 snRNA; similar to S. pombe Cwf2""",Verified ORF
1517,4,90193,0.015052132917121,0.107524274447342,0.888749128213578,YDL206W,YDL206W,SGDID:S000002365,CDS,CDS,"""Putative protein of unknown function; YDL206W is not an essential protein""",Uncharacterized ORF
1518,4,90424,0.034926153036342,0.106903531508708,0.744082982748887,YDL206W,YDL206W,SGDID:S000002365,CDS,CDS,"""Putative protein of unknown function; YDL206W is not an essential protein""",Uncharacterized ORF
1519,4,90554,0.0290927098825388,0.107377414894948,0.786596445956276,YDL206W,YDL206W,SGDID:S000002365,CDS,CDS,"""Putative protein of unknown function; YDL206W is not an essential protein""",Uncharacterized ORF
1520,4,91087,0.0507047835283517,0.106580536226012,0.634552828421891,YDL206W,YDL206W,SGDID:S000002365,CDS,CDS,"""Putative protein of unknown function; YDL206W is not an essential protein""",Uncharacterized ORF
1521,4,91200,0.122837586277385,0.107382823532,0.253431050845182,YDL206W,YDL206W,SGDID:S000002365,CDS,CDS,"""Putative protein of unknown function; YDL206W is not an essential protein""",Uncharacterized ORF
1522,4,91234,0.16377980342878,0.106179319882128,0.1238521973338,YDL206W,YDL206W,SGDID:S000002365,CDS,CDS,"""Putative protein of unknown function; YDL206W is not an essential protein""",Uncharacterized ORF
1523,4,91966,0.173233015206,0.107851247678515,0.109119335337339,YDL206W,YDL206W,SGDID:S000002365,CDS,CDS,"""Putative protein of unknown function; YDL206W is not an essential protein""",Uncharacterized ORF
1524,4,92317,0.202118582092012,0.106478754186611,0.0584844362114162,YDL206W,YDL206W,SGDID:S000002365,CDS,CDS,"""Putative protein of unknown function; YDL206W is not an essential protein""",Uncharacterized ORF
1525,4,94122,0.208671454688584,0.108636543081694,0.0555593782613531,YDL204W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1526,4,95022,0.298596248378297,0.107995407677701,0.0059931139971639,YDL204W,RTN2,SGDID:S000002363,CDS,CDS,"""Reticulon protein; involved in nuclear pore assembly and maintenance of tubular ER morphology; promotes membrane curvature; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; interacts with Sec6p ; Yip3p ; and Sbh1p; less abundant than RTN1; member of RTNLA (reticulon-like A) subfamily; protein increases in abundance and relocalizes to plasma membrane upon DNA replication stress""",Verified ORF
1527,4,95148,0.178781534759924,0.108074806667182,0.0989678795734197,YDL204W,RTN2,SGDID:S000002363,CDS,CDS,"""Reticulon protein; involved in nuclear pore assembly and maintenance of tubular ER morphology; promotes membrane curvature; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; interacts with Sec6p ; Yip3p ; and Sbh1p; less abundant than RTN1; member of RTNLA (reticulon-like A) subfamily; protein increases in abundance and relocalizes to plasma membrane upon DNA replication stress""",Verified ORF
1528,4,95215,0.232601374135799,0.107324918645864,0.030882925295293,YDL204W,RTN2,SGDID:S000002363,CDS,CDS,"""Reticulon protein; involved in nuclear pore assembly and maintenance of tubular ER morphology; promotes membrane curvature; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; interacts with Sec6p ; Yip3p ; and Sbh1p; less abundant than RTN1; member of RTNLA (reticulon-like A) subfamily; protein increases in abundance and relocalizes to plasma membrane upon DNA replication stress""",Verified ORF
1529,4,95478,0.205872139062285,0.107908756108586,0.057223655232214,YDL204W,RTN2,SGDID:S000002363,CDS,CDS,"""Reticulon protein; involved in nuclear pore assembly and maintenance of tubular ER morphology; promotes membrane curvature; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; interacts with Sec6p ; Yip3p ; and Sbh1p; less abundant than RTN1; member of RTNLA (reticulon-like A) subfamily; protein increases in abundance and relocalizes to plasma membrane upon DNA replication stress""",Verified ORF
1530,4,96178,0.186151473715432,0.107291511730005,0.0836124446557466,YDL203C,ACK1,SGDID:S000002362,CDS,CDS,"""Protein that functions in the cell wall integrity pathway; functions upstream of Pkc1p; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS; non-tagged Ack1p is detected in purified mitochondria""",Verified ORF
1531,4,96325,0.183823550439157,0.10770534105822,0.0887523417530313,YDL203C,ACK1,SGDID:S000002362,CDS,CDS,"""Protein that functions in the cell wall integrity pathway; functions upstream of Pkc1p; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS; non-tagged Ack1p is detected in purified mitochondria""",Verified ORF
1532,4,98110,0.168673407841052,0.107180420429701,0.116444897971387,YDL202W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1533,4,98128,0.163496502243676,0.108422792328967,0.132460920209397,YDL202W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1534,4,98837,0.196328022537383,0.109166899294295,0.0729645581126626,YDL202W,MRPL11,SGDID:S000002361,CDS,CDS,"""Mitochondrial ribosomal protein of the large subunit; localizes to vacuole in response to H2O2""",Verified ORF
1535,4,98990,0.159859473504409,0.108977077913547,0.143291082018371,YDL202W,MRPL11,SGDID:S000002361,CDS,CDS,"""Mitochondrial ribosomal protein of the large subunit; localizes to vacuole in response to H2O2""",Verified ORF
1536,4,99543,0.164973975793286,0.108936385922563,0.130817607400032,YDL201W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1537,4,102509,0.164634476880561,0.106926259114846,0.124529124714918,YDL199C,YDL199C,SGDID:S000002358,CDS,CDS,"""Putative transporter; member of the sugar porter family""",Uncharacterized ORF
1538,4,102705,0.16445339120676,0.107043346451262,0.125354447972844,YDL199C,YDL199C,SGDID:S000002358,CDS,CDS,"""Putative transporter; member of the sugar porter family""",Uncharacterized ORF
1539,4,103444,0.14714421297807,0.10727023815591,0.171023312509853,YDL199C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1540,4,103991,0.159066966819057,0.107222019922641,0.138826221421639,YDL198C,GGC1,SGDID:S000002357,CDS,CDS,"""Mitochondrial GTP/GDP transporter; essential for mitochondrial genome maintenance; has a role in mitochondrial iron transport; member of the mitochondrial carrier family""",Verified ORF
1541,4,105908,0.156766835294476,0.107626214808974,0.146119584280319,YDL197C,ASF2,SGDID:S000002356,CDS,CDS,"""Anti-silencing protein; causes derepression of silent loci when overexpressed""",Verified ORF
1542,4,106371,0.156766835294476,0.107626214808974,0.146119584280319,YDL197C,ASF2,SGDID:S000002356,CDS,CDS,"""Anti-silencing protein; causes derepression of silent loci when overexpressed""",Verified ORF
1543,4,107525,0.180977213592438,0.1075878755625,0.0934271985395667,YDL195W,SEC31,SGDID:S000002354,CDS,CDS,"""Component of the Sec13p-Sec31p complex of the COPII vesicle coat; COPII coat is required for vesicle formation in ER to Golgi transport; mutant has increased aneuploidy tolerance""",Verified ORF
1544,4,108510,0.198252647083207,0.107120307884464,0.0650411240955439,YDL195W,SEC31,SGDID:S000002354,CDS,CDS,"""Component of the Sec13p-Sec31p complex of the COPII vesicle coat; COPII coat is required for vesicle formation in ER to Golgi transport; mutant has increased aneuploidy tolerance""",Verified ORF
1545,4,108791,0.148145858750829,0.107237764193371,0.16800795158729,YDL195W,SEC31,SGDID:S000002354,CDS,CDS,"""Component of the Sec13p-Sec31p complex of the COPII vesicle coat; COPII coat is required for vesicle formation in ER to Golgi transport; mutant has increased aneuploidy tolerance""",Verified ORF
1546,4,111205,0.144000123761955,0.107365549150354,0.180713433063687,YDL194W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1547,4,112474,0.144000123761955,0.107365549150354,0.180713433063687,YDL194W,SNF3,SGDID:S000002353,CDS,CDS,"""Plasma membrane low glucose sensor ; regulates glucose transport; high affinity sensor that contains 12 predicted transmembrane segments and a long C-terminal tail required for induction of hexose transporters; also senses fructose and mannose; SNF3 has a paralog ; RGT2 ; that arose from the whole genome duplication""",Verified ORF
1548,4,112969,0.143631872436479,0.107170466946596,0.181036203475709,YDL194W,SNF3,SGDID:S000002353,CDS,CDS,"""Plasma membrane low glucose sensor ; regulates glucose transport; high affinity sensor that contains 12 predicted transmembrane segments and a long C-terminal tail required for induction of hexose transporters; also senses fructose and mannose; SNF3 has a paralog ; RGT2 ; that arose from the whole genome duplication""",Verified ORF
1549,4,114992,0.138792627530047,0.107612177530897,0.197982386796758,YDL193W,NUS1,SGDID:S000002352,CDS,CDS,"""Forms dehydrodolichyl diphosphate synthase complex with RER2 or SRT1; tet-repressible mutant shows accumulation of hypoglycosylated forms of CPY ; suggesting that Nus1p may be involved in protein trafficking; mutations in human homolog NUS1 have been implicated in congenital scoliosis ; neurological impairment ; refractory epilepsy ; hearing deficit ; and visual impairment; human cis-prenyltransferase complex complements yeast null mutant""",Verified ORF
1550,4,115453,0.154701427489784,0.107863985818508,0.152392776065438,YDL193W,NUS1,SGDID:S000002352,CDS,CDS,"""Forms dehydrodolichyl diphosphate synthase complex with RER2 or SRT1; tet-repressible mutant shows accumulation of hypoglycosylated forms of CPY ; suggesting that Nus1p may be involved in protein trafficking; mutations in human homolog NUS1 have been implicated in congenital scoliosis ; neurological impairment ; refractory epilepsy ; hearing deficit ; and visual impairment; human cis-prenyltransferase complex complements yeast null mutant""",Verified ORF
1551,4,115541,0.13622307110536,0.1077746089821,0.207077469848186,YDL193W,NUS1,SGDID:S000002352,CDS,CDS,"""Forms dehydrodolichyl diphosphate synthase complex with RER2 or SRT1; tet-repressible mutant shows accumulation of hypoglycosylated forms of CPY ; suggesting that Nus1p may be involved in protein trafficking; mutations in human homolog NUS1 have been implicated in congenital scoliosis ; neurological impairment ; refractory epilepsy ; hearing deficit ; and visual impairment; human cis-prenyltransferase complex complements yeast null mutant""",Verified ORF
1553,4,116782,0.163890985207824,0.107284724359662,0.127500816439046,YDL192W,ARF1,SGDID:S000002351,CDS,CDS,"""ADP-ribosylation factor; GTPase of the Ras superfamily involved in regulation of coated vesicle formation in intracellular trafficking within the Golgi; involved in mitochondrial morphology; ARF1 has a paralog ; ARF2 ; that arose from the whole genome duplication; arf1 arf2 double null mutation is complemented by human ARF1 ; ARF4 ; ARF5 ; or ARF6""",Verified ORF
1554,4,117170,0.178935779983817,0.107247909527624,0.0961168102343865,YDL192W,ARF1,SGDID:S000002351,Close to 3'-UTR,Close to 3'-UTR,"""ADP-ribosylation factor; GTPase of the Ras superfamily involved in regulation of coated vesicle formation in intracellular trafficking within the Golgi; involved in mitochondrial morphology; ARF1 has a paralog ; ARF2 ; that arose from the whole genome duplication; arf1 arf2 double null mutation is complemented by human ARF1 ; ARF4 ; ARF5 ; or ARF6""",Verified ORF
1555,4,117432,0.147409059084157,0.108920592657816,0.176805802647269,YDL191W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
1556,4,121939,0.142739426970477,0.108874830999069,0.190695930081355,YDL189W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1557,4,121955,0.16536262873819,0.106849182795128,0.122608266788235,YDL189W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
