SNP,Chr,Pos,Effect,SE,PLM2_HNM1_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
2351,4,857609,-0.0713585313014514,0.0496282874344119,0.151359657765525,YDR202C,RAV2,SGDID:S000002610,CDS,CDS,"""Subunit of RAVE complex (Rav1p ; Rav2p ; Skp1p); the RAVE complex associates with the V1 domain of the vacuolar membrane (H+)-ATPase (V-ATPase) and promotes assembly and reassembly of the holoenzyme""",Verified ORF
2352,4,857970,0.0325109510272181,0.079974014141224,0.684607693809059,YDR203W,YDR203W,SGDID:S000002611,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; almost completely overlaps ORF RAV2/YDR202C""",Dubious ORF
2353,4,858371,-0.0884185318460259,0.0497291807048899,0.07626443394934,YDR204W,COQ4,SGDID:S000002612,CDS,CDS,"""Protein with a role in ubiquinone (Coenzyme Q) biosynthesis; possibly functioning in stabilization of Coq7p; located on matrix face of mitochondrial inner membrane; component of a mitochondrial ubiquinone-synthesizing complex; human homolog COQ4 can complement yeast coq4 null mutant""",Verified ORF
2354,4,861346,-0.0355226629311605,0.0494509502516218,0.473022004420185,YDR205W,MSC2,SGDID:S000002613,CDS,CDS,"""Endoplasmic reticulum zinc transporter; part of a heterodimeric transporter with Zrg17p that transfers zinc from the cytosol to the ER lumen; member of the cation diffusion facilitator family of efflux pumps; localizes to ER and nucleus; mutations affect the cellular distribution of zinc and also confer defects in meiotic recombination between homologous chromatids""",Verified ORF
2355,4,861441,-0.0352014351385014,0.0498715106721741,0.48075159675829,YDR205W,MSC2,SGDID:S000002613,CDS,CDS,"""Endoplasmic reticulum zinc transporter; part of a heterodimeric transporter with Zrg17p that transfers zinc from the cytosol to the ER lumen; member of the cation diffusion facilitator family of efflux pumps; localizes to ER and nucleus; mutations affect the cellular distribution of zinc and also confer defects in meiotic recombination between homologous chromatids""",Verified ORF
2356,4,861470,-0.0439401540110936,0.0500956569244022,0.381015276488186,YDR205W,MSC2,SGDID:S000002613,CDS,CDS,"""Endoplasmic reticulum zinc transporter; part of a heterodimeric transporter with Zrg17p that transfers zinc from the cytosol to the ER lumen; member of the cation diffusion facilitator family of efflux pumps; localizes to ER and nucleus; mutations affect the cellular distribution of zinc and also confer defects in meiotic recombination between homologous chromatids""",Verified ORF
2357,4,861549,-0.0030935259258844,0.0497980436485915,0.950501285611055,YDR206W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2358,4,861716,-0.0260799621444739,0.0501905405477494,0.603654766577528,YDR206W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2361,4,863847,-0.0175649486480071,0.0497658109352359,0.72433499629145,YDR206W,EBS1,SGDID:S000002614,CDS,CDS,"""Protein involved in translation inhibition and nonsense-mediated decay; interacts with cap binding protein Cdc33p and with Nam7p; localizes to P-bodies upon glucose starvation; mRNA abundance regulated by mRNA decay factors; EBS1 has a paralog ; EST1 ; that arose from the whole genome duplication""",Verified ORF
2362,4,863856,-0.0069681405599044,0.0504856312025909,0.890301527334834,YDR206W,EBS1,SGDID:S000002614,CDS,CDS,"""Protein involved in translation inhibition and nonsense-mediated decay; interacts with cap binding protein Cdc33p and with Nam7p; localizes to P-bodies upon glucose starvation; mRNA abundance regulated by mRNA decay factors; EBS1 has a paralog ; EST1 ; that arose from the whole genome duplication""",Verified ORF
2363,4,864546,-0.0330116881285991,0.0498077440680286,0.507902552747522,YDR206W,EBS1,SGDID:S000002614,CDS,CDS,"""Protein involved in translation inhibition and nonsense-mediated decay; interacts with cap binding protein Cdc33p and with Nam7p; localizes to P-bodies upon glucose starvation; mRNA abundance regulated by mRNA decay factors; EBS1 has a paralog ; EST1 ; that arose from the whole genome duplication""",Verified ORF
2366,4,865297,-0.0268752308830756,0.0503914069635694,0.594141037942964,YDR207C,UME6,SGDID:S000002615,CDS,CDS,"""Rpd3L histone deacetylase complex subunit; key transcriptional regulator of early meiotic genes; involved in chromatin remodeling and transcriptional repression via DNA looping; binds URS1 upstream regulatory sequence ; represses transcription by recruiting conserved histone deacetylase Rpd3p (through co-repressor Sin3p) and chromatin-remodeling factor Isw2p; couples metabolic responses to nutritional cues with initiation and progression of meiosis""",Verified ORF
2367,4,866929,-0.037224803610704,0.0501884948844784,0.458762327798797,YDR207C,UME6,SGDID:S000002615,CDS,CDS,"""Rpd3L histone deacetylase complex subunit; key transcriptional regulator of early meiotic genes; involved in chromatin remodeling and transcriptional repression via DNA looping; binds URS1 upstream regulatory sequence ; represses transcription by recruiting conserved histone deacetylase Rpd3p (through co-repressor Sin3p) and chromatin-remodeling factor Isw2p; couples metabolic responses to nutritional cues with initiation and progression of meiosis""",Verified ORF
2368,4,867989,-0.0283326805882833,0.0496748365423369,0.568794483939783,YDR208W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2369,4,870200,-0.0416828992690893,0.0496521140010858,0.401757534549571,YDR208W,MSS4,SGDID:S000002616,CDS,CDS,"""Phosphatidylinositol-4-phosphate 5-kinase; involved in actin cytoskeleton organization and cell morphogenesis; multicopy suppressor of stt4 mutation""",Verified ORF
2370,4,870855,-0.0373965794103318,0.0502994295402975,0.45768615523507,YDR210W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2371,4,871120,-0.0421527230996239,0.0499281540654559,0.399091676150461,YDR209C,YDR209C,SGDID:S000002617,CDS,CDS,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YDR209C is not an essential gene; partially overlaps uncharacterized gene YDR210W""",Uncharacterized ORF
2372,4,871373,-0.0469843201358215,0.0498523758667074,0.346597110491213,YDR209C,YDR209C,SGDID:S000002617,CDS,CDS,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YDR209C is not an essential gene; partially overlaps uncharacterized gene YDR210W""",Uncharacterized ORF
2384,4,884500,-0.0476613612362595,0.0497435698747787,0.338647346248158,YDR211W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2385,4,884706,-0.0334530343639701,0.0495563768554964,0.500085878222277,YDR211W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2388,4,888476,-0.0335989594571219,0.0497899697721699,0.500235788344616,YDR212W,TCP1,SGDID:S000002620,CDS,CDS,"""Alpha subunit of chaperonin-containing T-complex; complex mediates protein folding in the cytosol; involved in actin cytoskeleton maintenance; overexpression in neurons suppresses formation of pathogenic conformations of huntingtin protein""",Verified ORF
2389,4,889739,-0.0323226815503823,0.0499021566326939,0.517586366826842,YDR212W,TCP1,SGDID:S000002620,Close to 3'-UTR,Close to 3'-UTR,"""Alpha subunit of chaperonin-containing T-complex; complex mediates protein folding in the cytosol; involved in actin cytoskeleton maintenance; overexpression in neurons suppresses formation of pathogenic conformations of huntingtin protein""",Verified ORF
2390,4,889957,-0.044423108596039,0.0501719051964277,0.376533951098013,YDR213W,UPC2,SGDID:S000002621,CDS,CDS,"""Sterol regulatory element binding protein; induces sterol biosynthetic genes ; upon sterol depletion; acts as a sterol sensor ; binding ergosterol in sterol rich conditions; relocates from intracellular membranes to perinuclear foci upon sterol depletion; redundant activator of filamentation with ECM22 ; up-regulating the expression of filamentous growth genes; contains a Zn[2]-Cys[6] binuclear cluster; UPC2 has a paralog ; ECM22 ; that arose from the whole genome duplication""",Verified ORF
2391,4,891344,-0.0345624598385338,0.0496991216522234,0.48724089497323,YDR213W,UPC2,SGDID:S000002621,CDS,CDS,"""Sterol regulatory element binding protein; induces sterol biosynthetic genes ; upon sterol depletion; acts as a sterol sensor ; binding ergosterol in sterol rich conditions; relocates from intracellular membranes to perinuclear foci upon sterol depletion; redundant activator of filamentation with ECM22 ; up-regulating the expression of filamentous growth genes; contains a Zn[2]-Cys[6] binuclear cluster; UPC2 has a paralog ; ECM22 ; that arose from the whole genome duplication""",Verified ORF
2392,4,891466,-0.0305157137604347,0.0497066267284201,0.539665988140916,YDR213W,UPC2,SGDID:S000002621,CDS,CDS,"""Sterol regulatory element binding protein; induces sterol biosynthetic genes ; upon sterol depletion; acts as a sterol sensor ; binding ergosterol in sterol rich conditions; relocates from intracellular membranes to perinuclear foci upon sterol depletion; redundant activator of filamentation with ECM22 ; up-regulating the expression of filamentous growth genes; contains a Zn[2]-Cys[6] binuclear cluster; UPC2 has a paralog ; ECM22 ; that arose from the whole genome duplication""",Verified ORF
2393,4,892444,-0.004805449234701,0.050121299586084,0.923673151826843,YDR213W,UPC2,SGDID:S000002621,CDS,CDS,"""Sterol regulatory element binding protein; induces sterol biosynthetic genes ; upon sterol depletion; acts as a sterol sensor ; binding ergosterol in sterol rich conditions; relocates from intracellular membranes to perinuclear foci upon sterol depletion; redundant activator of filamentation with ECM22 ; up-regulating the expression of filamentous growth genes; contains a Zn[2]-Cys[6] binuclear cluster; UPC2 has a paralog ; ECM22 ; that arose from the whole genome duplication""",Verified ORF
2395,4,894785,0.0012132682740034,0.0495181331888699,0.980466435927538,YDR214W,AHA1,SGDID:S000002622,Close to 3'-UTR,Close to 3'-UTR,"""Co-chaperone that binds Hsp82p and activates its ATPase activity; plays a role in determining prion variants; similar to Hch1p; expression is regulated by stresses such as heat shock; protein abundance increases in response to DNA replication stress""",Verified ORF
2396,4,896181,0.0004195738549783,0.0497083380495807,0.993270132848543,YDR216W,ADR1,SGDID:S000002624,CDS,CDS,"""Carbon source-responsive zinc-finger transcription factor; required for transcription of the glucose-repressed gene ADH2 ; of peroxisomal protein genes ; and of genes required for ethanol ; glycerol ; and fatty acid utilization""",Verified ORF
2397,4,896785,-0.0226502281733859,0.049994030820904,0.650784855283517,YDR216W,ADR1,SGDID:S000002624,CDS,CDS,"""Carbon source-responsive zinc-finger transcription factor; required for transcription of the glucose-repressed gene ADH2 ; of peroxisomal protein genes ; and of genes required for ethanol ; glycerol ; and fatty acid utilization""",Verified ORF
2398,4,903873,-0.0397638756346596,0.0503446772419714,0.430155668242374,YDR218C,SPR28,SGDID:S000002626,CDS,CDS,"""Sporulation-specific homolog of the CDC3/10/11/12 family of genes; meiotic septin expressed at high levels during meiotic divisions and ascospore formation; the yeast CDC3/10/11/12 family is a family of bud neck microfilament genes""",Verified ORF
2400,4,906490,-0.041709455148113,0.0497404932943658,0.402294242190002,YDR219C,MFB1,SGDID:S000002627,CDS,CDS,"""Mitochondria-associated F-box protein; involved in maintenance of normal mitochondrial morphology; interacts with Skp1p through the F-box motif; preferentially localizes to the mother cell during budding""",Verified ORF
2401,4,908655,-0.0354725847580494,0.0496512216134834,0.475430222034303,YDR221W,GTB1,SGDID:S000002629,CDS,CDS,"""Glucosidase II beta subunit ; forms a complex with alpha subunit Rot2p; involved in removal of two glucose residues from N-linked glycans during glycoprotein biogenesis in the ER; relocalizes from ER to cytoplasm upon DNA replication stress""",Verified ORF
2402,4,909027,-0.0196139012946847,0.049944843350987,0.694769799525901,YDR221W,GTB1,SGDID:S000002629,CDS,CDS,"""Glucosidase II beta subunit ; forms a complex with alpha subunit Rot2p; involved in removal of two glucose residues from N-linked glycans during glycoprotein biogenesis in the ER; relocalizes from ER to cytoplasm upon DNA replication stress""",Verified ORF
2403,4,909524,-0.0065705215992659,0.0498069833150812,0.895122975107361,YDR222W_NFR/NDR,,,Promoter,Promoter,,Promoter
2404,4,910018,-0.0097514797119951,0.0497446426887526,0.844698894722433,YDR222W_NFR/NDR,,,Promoter,Promoter,,Promoter
2406,4,911766,-0.0051248401387291,0.0500282697378343,0.918466486799963,YDR222W,YDR222W,SGDID:S000002630,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; YDR222W has a paralog ; YLR225C ; that arose from the whole genome duplication""",Uncharacterized ORF
2408,4,912509,-0.0300705531579234,0.0497963602833802,0.546317603087226,YDR223W,CRF1,SGDID:S000002631,CDS,CDS,"""Transcriptional corepressor; involved in repression of ribosomal protein (RP) gene transcription via the TOR signaling pathway which promotes accumulation of Crf1p in the nucleus; role in repression of RP genes varies by strain; CRF1 has a paralog ; IFH1 ; that arose from the whole genome duplication""",Verified ORF
2409,4,912557,-0.0031845063597917,0.0495576162268466,0.948800637010638,YDR223W,CRF1,SGDID:S000002631,CDS,CDS,"""Transcriptional corepressor; involved in repression of ribosomal protein (RP) gene transcription via the TOR signaling pathway which promotes accumulation of Crf1p in the nucleus; role in repression of RP genes varies by strain; CRF1 has a paralog ; IFH1 ; that arose from the whole genome duplication""",Verified ORF
2410,4,913736,-0.0342398426945908,0.0500162981344167,0.494062170354668,ACS_4_913859_+_NFR/NDR,,,Promoter,Promoter,,Promoter
2413,4,914902,-0.0174714484118971,0.0505909777778516,0.730039123672404,YDR224C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2414,4,914952,-0.0186216910474427,0.0507512580027912,0.713897962137711,YDR224C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2415,4,915199,-0.0083467522003655,0.0504998899898571,0.868816180337402,YDR224C,HTB1,SGDID:S000002632,Close to 3'-UTR,Close to 3'-UTR,"""Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB2; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates reassembly after DNA replication ; transcriptional activation ; meiotic DSB formation and H3 methylation""",Verified ORF
2419,4,916142,-0.0132125100305692,0.0501194397641194,0.79222620626434,YDR226W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2420,4,916254,-0.0085231499181649,0.0497646232431038,0.864110187331802,YDR226W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2421,4,916444,-0.0183535582600382,0.0498458219405077,0.712939924131157,SUT476_NFR/NDR,,,Promoter,Promoter,,Promoter
2422,4,917149,0.0009402716205081,0.050054283988656,0.985023202800872,YDR226W,ADK1,SGDID:S000002634,CDS,CDS,"""Adenylate kinase ; required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence; protein abundance increases in response to DNA replication stress; mutations affecting Adk1p catalytic activity deregulate expression of phosphate utilization genes PHO5 and PHO84; human homolog AK1 can complement yeast adk1 mutant""",Verified ORF
2423,4,917833,0.0005284227013947,0.0499114639540591,0.991558774343168,YDR227W,SIR4,SGDID:S000002635,CDS,CDS,"""SIR protein involved in assembly of silent chromatin domains; silent information regulator (SIR) along with SIR2 and SIR3; involved in assembly of silent chromatin domains at telomeres and the silent mating-type loci; some SIR4 alleles prolong lifespan; required for Ku-mediated telomerase recruitment ; telomere lengthening ; and telomere hypercluster formation in quiescent yeast cells""",Verified ORF
2424,4,918606,-0.0051482012899354,0.0498419391250779,0.917791030434712,YDR227W,SIR4,SGDID:S000002635,CDS,CDS,"""SIR protein involved in assembly of silent chromatin domains; silent information regulator (SIR) along with SIR2 and SIR3; involved in assembly of silent chromatin domains at telomeres and the silent mating-type loci; some SIR4 alleles prolong lifespan; required for Ku-mediated telomerase recruitment ; telomere lengthening ; and telomere hypercluster formation in quiescent yeast cells""",Verified ORF
2425,4,923675,-0.0034410399586344,0.0498383887928438,0.944993717843188,YDR228C,PCF11,SGDID:S000002636,CDS,CDS,"""mRNA 3' end processing factor; essential component of cleavage and polyadenylation factor IA (CF IA) ; involved in pre-mRNA 3' end processing and in transcription termination; binds C-terminal domain of largest subunit of RNA pol II (Rpo21p); required for gene looping; relocalizes to the cytosol in response to hypoxia""",Verified ORF
2426,4,924091,-0.0351304747173756,0.0496877417377407,0.480017412611181,YDR228C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2427,4,924619,-0.0460456685149148,0.0498560537865249,0.35633992131101,YDR229W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2429,4,926384,-0.0333453643724047,0.0498548113429231,0.504028664030095,YDR230W,YDR230W,SGDID:S000002638,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene COX20/YDR231C""",Dubious ORF
2430,4,926385,-0.0451850563923833,0.0497164573452188,0.364046694913348,YDR230W,YDR230W,SGDID:S000002638,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene COX20/YDR231C""",Dubious ORF
2431,4,926405,-0.0385987823150323,0.0494584163911892,0.435661405283211,YDR230W,YDR230W,SGDID:S000002638,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene COX20/YDR231C""",Dubious ORF
2432,4,926695,-0.0410765625357375,0.0497907491342923,0.40993790848647,YDR231C,COX20,SGDID:S000002639,CDS,CDS,"""Mitochondrial inner membrane protein; required for proteolytic processing of Cox2p and its assembly into cytochrome c oxidase""",Verified ORF
2433,4,926907,-0.0426188051349679,0.0495153369518133,0.389976896107638,YDR231C,COX20,SGDID:S000002639,CDS,CDS,"""Mitochondrial inner membrane protein; required for proteolytic processing of Cox2p and its assembly into cytochrome c oxidase""",Verified ORF
2434,4,927194,-0.0111859206455161,0.0495582303168789,0.821555523360932,YDR232W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2435,4,927218,-0.0260477949220402,0.0499713132405793,0.602516021138266,YDR232W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2436,4,927223,-0.0242953938595442,0.0499058804776576,0.626684999639405,YDR232W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2437,4,927509,-0.0167294077585319,0.0497370138648868,0.736801300854414,YDR232W,HEM1,SGDID:S000002640,CDS,CDS,"""5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p""",Verified ORF
2438,4,927559,-0.0201864757398291,0.0502274688121353,0.688000023501567,YDR232W,HEM1,SGDID:S000002640,CDS,CDS,"""5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p""",Verified ORF
2439,4,927577,0.0136040202564849,0.0498672186725708,0.785162731137214,YDR232W,HEM1,SGDID:S000002640,CDS,CDS,"""5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p""",Verified ORF
2440,4,928575,0.0111762726671081,0.0503230233822413,0.824371753510624,YDR232W,HEM1,SGDID:S000002640,CDS,CDS,"""5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p""",Verified ORF
2441,4,929694,0.0051278455271383,0.0502114237359821,0.918715382380087,YDR233C,RTN1,SGDID:S000002641,CDS,CDS,"""Reticulon protein; involved in nuclear pore assembly and maintenance of tubular ER morphology; promotes membrane curvature; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; increases tubular ER when overexpressed; mutants have reduced phosphatidylserine transfer between the ER and mitochondria; interacts with exocyst subunit Sec6p ; Yip3p ; and Sbh1p; member of the RTNLA subfamily""",Verified ORF
2442,4,930648,0.0028004376147317,0.0500677547253243,0.955426859663908,YDR234W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2443,4,930822,0.0041519041842169,0.0500658803661852,0.933955145484131,YDR234W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2444,4,930823,0.0168429227265942,0.0507333300947952,0.740094370416665,YDR234W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2445,4,930964,0.0256259276624648,0.0497907211009715,0.607103802967996,YDR234W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2446,4,932727,0.0258011387776952,0.0502502902837913,0.607956015021093,YDR234W,LYS4,SGDID:S000002642,CDS,CDS,"""Homoaconitase; catalyzes the conversion of homocitrate to homoisocitrate ; which is a step in the lysine biosynthesis pathway""",Verified ORF
2447,4,934187,0.00809611325004,0.0498075348565598,0.870967370277266,YDR235W,PRP42,SGDID:S000002643,CDS,CDS,"""U1 snRNP protein involved in splicing; required for U1 snRNP biogenesis; contains multiple tetriatricopeptide repeats""",Verified ORF
2448,4,934911,0.0078612200185573,0.0501504932949139,0.875529446462125,YDR235W,PRP42,SGDID:S000002643,CDS,CDS,"""U1 snRNP protein involved in splicing; required for U1 snRNP biogenesis; contains multiple tetriatricopeptide repeats""",Verified ORF
2449,4,936493,0.0295486368794177,0.0501875296243182,0.55639579536343,YDR237W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2450,4,936521,0.0369362680046079,0.0498134389749886,0.458888173186754,YDR236C,FMN1,SGDID:S000002644,Close to 3'-UTR,Close to 3'-UTR,"""Riboflavin kinase ; produces riboflavin monophosphate (FMN); FMN is a necessary cofactor for many enzymes; predominantly localizes to the microsomal fraction and also found in the mitochondrial inner membrane; human RFK functionally complements the lethality of the null mutation""",Verified ORF
2451,4,936663,0.048778860315774,0.0499242809925458,0.329210113280898,YDR237W,MRPL7,SGDID:S000002645,CDS,CDS,"""Mitochondrial ribosomal protein of the large subunit; MRPL7 produces both YmL5 and YmL7 ; which are two different modified forms of the same protein""",Verified ORF
2452,4,937563,0.0555658940002596,0.0497819208093616,0.265101643563179,YDR237W,MRPL7,SGDID:S000002645,Close to 3'-UTR,Close to 3'-UTR,"""Mitochondrial ribosomal protein of the large subunit; MRPL7 produces both YmL5 and YmL7 ; which are two different modified forms of the same protein""",Verified ORF
2455,4,938323,0.0678423311862454,0.0495971561473962,0.172223735810072,YDR238C,SEC26,SGDID:S000002646,CDS,CDS,"""Essential beta-coat protein of the COPI coatomer; involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology; shares 43% sequence identity with mammalian beta-coat protein (beta-COP)""",Verified ORF
2456,4,938510,0.0769783190821177,0.0500504287366249,0.124940755330562,YDR238C,SEC26,SGDID:S000002646,CDS,CDS,"""Essential beta-coat protein of the COPI coatomer; involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology; shares 43% sequence identity with mammalian beta-coat protein (beta-COP)""",Verified ORF
2457,4,938617,0.079553385893087,0.0495941680850965,0.109589050152794,YDR238C,SEC26,SGDID:S000002646,CDS,CDS,"""Essential beta-coat protein of the COPI coatomer; involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology; shares 43% sequence identity with mammalian beta-coat protein (beta-COP)""",Verified ORF
2458,4,941039,0.0723763362296477,0.0497737840153367,0.146805558021793,YDR238C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2459,4,941936,0.0908207856587708,0.0498155057840577,0.0691273900778327,YDR239C,YDR239C,SGDID:S000002647,CDS,CDS,"""Protein of unknown function; may interact with ribosomes ; based on co-purification experiments""",Verified ORF
2460,4,942067,0.0984778081345805,0.0493487224774067,0.0467511222376173,YDR239C,YDR239C,SGDID:S000002647,CDS,CDS,"""Protein of unknown function; may interact with ribosomes ; based on co-purification experiments""",Verified ORF
2461,4,942069,0.0968185770199402,0.0492180492827078,0.0499503651481532,YDR239C,YDR239C,SGDID:S000002647,CDS,CDS,"""Protein of unknown function; may interact with ribosomes ; based on co-purification experiments""",Verified ORF
2462,4,942533,0.0868633889887446,0.0495498905005596,0.0804616080621905,YDR239C,YDR239C,SGDID:S000002647,CDS,CDS,"""Protein of unknown function; may interact with ribosomes ; based on co-purification experiments""",Verified ORF
2463,4,944445,0.0802007748568015,0.0493737240420922,0.105191215799771,YDR240C,SNU56,SGDID:S000002648,CDS,CDS,"""Component of U1 snRNP required for mRNA splicing via spliceosome; yeast specific ; no metazoan counterpart; interacts with mRNA in commitment complex""",Verified ORF
2464,4,947317,0.0974845388115685,0.0494938879392835,0.0496625655986231,YDR242W,AMD2,SGDID:S000002650,CDS,CDS,"""Putative amidase""",Verified ORF
2465,4,948413,0.0993882530663498,0.0495667704020555,0.0457112386029546,YDR242W,AMD2,SGDID:S000002650,CDS,CDS,"""Putative amidase""",Verified ORF
2466,4,949523,0.0950339838602158,0.0494491368276175,0.0554289664805767,YDR243C,PRP28,SGDID:S000002651,CDS,CDS,"""Pre-mRNA splicing factor; RNA binding protein involved in RNA isomerization at the 5' splice site and for exchange of U6 for U1 snRNA at the 5' splice site; similar to the RNA helicases of the DEAD-box family""",Verified ORF
2467,4,950108,0.0849599168306497,0.0494955179401452,0.0869446401487057,YDR243C,PRP28,SGDID:S000002651,CDS,CDS,"""Pre-mRNA splicing factor; RNA binding protein involved in RNA isomerization at the 5' splice site and for exchange of U6 for U1 snRNA at the 5' splice site; similar to the RNA helicases of the DEAD-box family""",Verified ORF
2468,4,953287,0.0301218388909068,0.0499552173270862,0.546911290170919,YDR245W,MNN10,SGDID:S000002653,CDS,CDS,"""Subunit of a Golgi mannosyltransferase complex; complex mediates elongation of the polysaccharide mannan backbone; membrane protein of the mannosyltransferase family; other members of the complex are Anp1p ; Mnn9p ; Mnn11p ; and Hoc1p""",Verified ORF
2469,4,956734,0.0405092993374863,0.0501471870871782,0.419745125063619,YDR247W,VHS1,SGDID:S000002655,CDS,CDS,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication""",Verified ORF
2471,4,959283,0.0373693546325886,0.0496555425698904,0.45220889703838,YDR249C,YDR249C,SGDID:S000002657,CDS,CDS,"""Putative protein of unknown function""",Uncharacterized ORF
2472,4,960412,0.0310993607227296,0.050267875331023,0.536531026164903,YDR249C,YDR249C,SGDID:S000002657,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function""",Uncharacterized ORF
2473,4,960833,0.0175392257944108,0.0498276016037676,0.72504965522279,YDR251W,PAM1,SGDID:S000002659,CDS,CDS,"""Essential protein of unknown function; exhibits variable expression during colony morphogenesis; overexpression permits survival without protein phosphatase 2A ; inhibits growth ; and induces a filamentous phenotype; PAM1 has a paralog ; SVL3 ; that arose from the whole genome duplication""",Verified ORF
2474,4,961744,0.011176510775848,0.0506313492006065,0.825420245673706,YDR251W,PAM1,SGDID:S000002659,CDS,CDS,"""Essential protein of unknown function; exhibits variable expression during colony morphogenesis; overexpression permits survival without protein phosphatase 2A ; inhibits growth ; and induces a filamentous phenotype; PAM1 has a paralog ; SVL3 ; that arose from the whole genome duplication""",Verified ORF
2475,4,962979,0.0259734840462272,0.0503198099170789,0.606060130235107,YDR251W,PAM1,SGDID:S000002659,CDS,CDS,"""Essential protein of unknown function; exhibits variable expression during colony morphogenesis; overexpression permits survival without protein phosphatase 2A ; inhibits growth ; and induces a filamentous phenotype; PAM1 has a paralog ; SVL3 ; that arose from the whole genome duplication""",Verified ORF
2477,4,964930,0.0364747085778476,0.0497604603127634,0.464041330681215,YDR254W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2478,4,965160,0.0264744892771225,0.0496376565367809,0.594123546079917,YDR254W,CHL4,SGDID:S000002662,CDS,CDS,"""Outer kinetochore protein required for chromosome stability; involved in new kinetochore assembly and sister chromatid cohesion; forms a stable complex with Iml3p; peripheral component of the Ctf19 kinetochore complex that interacts with Ctf19p ; Ctf3p ; and Mif2p; required for the spindle assembly checkpoint; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-N and fission yeast mis15""",Verified ORF
2479,4,969630,0.0147784776411112,0.0504088528278759,0.769562751163119,SUT063,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
