SNP,Chr,Pos,Effect,SE,MID2_RSN1_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
2059,4,567144,0.0337408110157678,0.0852319419620538,0.69243972342403,YDR057W,YOS9,SGDID:S000002464,CDS,CDS,"""ER quality-control lectin; integral subunit of the HRD ligase; participates in efficient ER retention of misfolded proteins by recognizing them and delivering them to Hrd1p; binds to glycans with terminal alpha-1,6 linked mannose on misfolded N-glycosylated proteins and participates in targeting proteins to ERAD; member of the OS-9 protein family""",Verified ORF
2060,4,567417,0.0684666523565916,0.086388367001672,0.428575381037942,YDR057W,YOS9,SGDID:S000002464,CDS,CDS,"""ER quality-control lectin; integral subunit of the HRD ligase; participates in efficient ER retention of misfolded proteins by recognizing them and delivering them to Hrd1p; binds to glycans with terminal alpha-1,6 linked mannose on misfolded N-glycosylated proteins and participates in targeting proteins to ERAD; member of the OS-9 protein family""",Verified ORF
2064,4,571075,0.0525861445876486,0.0854773050558952,0.538815128532813,YDR060W,MAK21,SGDID:S000002467,CDS,CDS,"""Constituent of 66S pre-ribosomal particles; required for large (60S) ribosomal subunit biogenesis; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein""",Verified ORF
2065,4,572183,0.0828336631024405,0.0854094020566485,0.332789070766058,YDR060W,MAK21,SGDID:S000002467,CDS,CDS,"""Constituent of 66S pre-ribosomal particles; required for large (60S) ribosomal subunit biogenesis; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein""",Verified ORF
2066,4,573409,0.0808489049507818,0.0856436226190714,0.345807401933728,YDR060W,MAK21,SGDID:S000002467,CDS,CDS,"""Constituent of 66S pre-ribosomal particles; required for large (60S) ribosomal subunit biogenesis; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein""",Verified ORF
2067,4,574801,0.05173807028633,0.0859324445732716,0.547508456381066,YDR061W,YDR061W,SGDID:S000002468,CDS,CDS,"""Protein with similarity to ABC transporter family members; lacks predicted membrane-spanning regions; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance""",Uncharacterized ORF
2068,4,575378,0.076368412993558,0.0852021700191779,0.37069268536085,YDR061W,YDR061W,SGDID:S000002468,CDS,CDS,"""Protein with similarity to ABC transporter family members; lacks predicted membrane-spanning regions; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance""",Uncharacterized ORF
2069,4,575468,0.0739477671363052,0.0854325028415198,0.387314171893532,YDR061W,YDR061W,SGDID:S000002468,CDS,CDS,"""Protein with similarity to ABC transporter family members; lacks predicted membrane-spanning regions; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance""",Uncharacterized ORF
2073,4,576758,0.0322987712983897,0.0866203644230201,0.709463528232589,YDR062W,LCB2,SGDID:S000002469,CDS,CDS,"""Component of serine palmitoyltransferase; responsible along with Lcb1p for the first committed step in sphingolipid synthesis ; which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine""",Verified ORF
2074,4,577415,-6.63179580788209e-05,0.0853178411998989,0.999380239730268,YDR062W,LCB2,SGDID:S000002469,CDS,CDS,"""Component of serine palmitoyltransferase; responsible along with Lcb1p for the first committed step in sphingolipid synthesis ; which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine""",Verified ORF
2075,4,577658,-0.0196929475486826,0.0866030040908911,0.820249528411198,YDR062W,LCB2,SGDID:S000002469,CDS,CDS,"""Component of serine palmitoyltransferase; responsible along with Lcb1p for the first committed step in sphingolipid synthesis ; which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine""",Verified ORF
2076,4,577740,0.0419084184399143,0.0853989092566988,0.623917274870997,YDR062W,LCB2,SGDID:S000002469,CDS,CDS,"""Component of serine palmitoyltransferase; responsible along with Lcb1p for the first committed step in sphingolipid synthesis ; which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine""",Verified ORF
2077,4,578506,0.0578512283845304,0.0859296428899431,0.501235466682317,YDR063W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2078,4,578512,0.0285484242563562,0.0855096168900385,0.738681826869563,YDR063W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2079,4,579070,0.0344395604226514,0.0855955024470783,0.687668183214202,YDR063W,AIM7,SGDID:S000002470,CDS,CDS,"""Protein that interacts with Arp2/3 complex; interacts with Arp2/3 complex to stimulate actin filament debranching and inhibit actin nucleation; has similarity to Cof1p and also to human glia maturation factor (GMF); null mutant displays elevated mitochondrial genome loss""",Verified ORF
2080,4,579494,-0.0023490661872233,0.0869650072960298,0.97846572550934,YDR063W,AIM7,SGDID:S000002470,Close to 3'-UTR,Close to 3'-UTR,"""Protein that interacts with Arp2/3 complex; interacts with Arp2/3 complex to stimulate actin filament debranching and inhibit actin nucleation; has similarity to Cof1p and also to human glia maturation factor (GMF); null mutant displays elevated mitochondrial genome loss""",Verified ORF
2081,4,579699,-0.0267781974522718,0.086080281974863,0.755920392778295,YDR063W,AIM7,SGDID:S000002470,Close to 3'-UTR,Close to 3'-UTR,"""Protein that interacts with Arp2/3 complex; interacts with Arp2/3 complex to stimulate actin filament debranching and inhibit actin nucleation; has similarity to Cof1p and also to human glia maturation factor (GMF); null mutant displays elevated mitochondrial genome loss""",Verified ORF
2082,4,579809,-0.105055362268577,0.0859434710050216,0.222380464521198,YDR063W,AIM7,SGDID:S000002470,Close to 3'-UTR,Close to 3'-UTR,"""Protein that interacts with Arp2/3 complex; interacts with Arp2/3 complex to stimulate actin filament debranching and inhibit actin nucleation; has similarity to Cof1p and also to human glia maturation factor (GMF); null mutant displays elevated mitochondrial genome loss""",Verified ORF
2083,4,579869,-0.0745591693585195,0.0851584458927677,0.381878419698728,YDR063W,AIM7,SGDID:S000002470,Close to 3'-UTR,Close to 3'-UTR,"""Protein that interacts with Arp2/3 complex; interacts with Arp2/3 complex to stimulate actin filament debranching and inhibit actin nucleation; has similarity to Cof1p and also to human glia maturation factor (GMF); null mutant displays elevated mitochondrial genome loss""",Verified ORF
2084,4,580657,-0.0619701826476326,0.0856058727506684,0.469605928835877,YDR064W,RPS13,SGDID:S000002471,Close to 3'-UTR,Close to 3'-UTR,"""Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S13 and bacterial S15""",Verified ORF
2085,4,582525,-0.0956211435259681,0.0866076371617803,0.27031355064243,YDR065W,RRG1,SGDID:S000002472,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; required for efficient 5' processing of mitochondrial tRNAs ; for respiratory growth and mitochondrial genome maintenance; required for vacuolar acidification; localizes to the matrix side of the inner mitochondrial membrane""",Verified ORF
2086,4,584486,-0.0548539094618718,0.085370048316047,0.520937907569762,YDR068W,DOS2,SGDID:S000002475,CDS,CDS,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm""",Verified ORF
2087,4,584912,-0.0523489420297482,0.0855447024506189,0.540965849884835,YDR068W,DOS2,SGDID:S000002475,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm""",Verified ORF
2088,4,588662,-0.0444778423816885,0.0868753790613733,0.608990095763629,YDR069C,DOA4,SGDID:S000002476,Close to 3'-UTR,Close to 3'-UTR,"""Ubiquitin hydrolase; deubiquitinates intralumenal vesicle (ILVs) cargo proteins; required for recycling ubiquitin from proteasome-bound ubiquitinated intermediates ; acts at the late endosome/prevacuolar compartment to recover ubiquitin from ubiquitinated membrane proteins destined for the vacuole; DOA4 has a paralog ; UBP5 ; that arose from the whole genome duplication""",Verified ORF
2090,4,590025,-0.0683294874492609,0.0860200586459735,0.427529088833652,YDR072C,IPT1,SGDID:S000002479,CDS,CDS,"""Inositolphosphotransferase; involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C) ; the most abundant sphingolipid; can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin""",Verified ORF
2091,4,590826,-0.0533291525926469,0.0859049807029614,0.535136884614801,YDR072C,IPT1,SGDID:S000002479,CDS,CDS,"""Inositolphosphotransferase; involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C) ; the most abundant sphingolipid; can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin""",Verified ORF
2092,4,590885,-0.0483272295603229,0.08721193966269,0.579836998470856,YDR072C,IPT1,SGDID:S000002479,CDS,CDS,"""Inositolphosphotransferase; involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C) ; the most abundant sphingolipid; can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin""",Verified ORF
2093,4,590984,-0.0373429906455585,0.0860298757822437,0.664502768170592,YDR072C,IPT1,SGDID:S000002479,CDS,CDS,"""Inositolphosphotransferase; involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C) ; the most abundant sphingolipid; can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin""",Verified ORF
2094,4,591356,-0.0471511261161772,0.0871886615493179,0.588990486680966,YDR072C,IPT1,SGDID:S000002479,Close to 3'-UTR,Close to 3'-UTR,"""Inositolphosphotransferase; involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C) ; the most abundant sphingolipid; can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin""",Verified ORF
2095,4,591435,-0.047880020088638,0.0863063747890192,0.579404646996582,YDR072C,IPT1,SGDID:S000002479,Close to 3'-UTR,Close to 3'-UTR,"""Inositolphosphotransferase; involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C) ; the most abundant sphingolipid; can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin""",Verified ORF
2097,4,591983,-0.0565557525209434,0.0863890417307918,0.513110754638406,YDR072C,IPT1,SGDID:S000002479,Close to 3'-UTR,Close to 3'-UTR,"""Inositolphosphotransferase; involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C) ; the most abundant sphingolipid; can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin""",Verified ORF
2100,4,592839,-0.145998901789645,0.0875349042876556,0.0962236402709557,YDR073W,SNF11,SGDID:S000002480,CDS,CDS,"""Subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; interacts with a highly conserved 40-residue sequence of Snf2p; relocates to the cytosol under hypoxic conditions""",Verified ORF
2108,4,593676,-0.131646438749886,0.0861780191627745,0.127504807848183,YDR074W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2109,4,594369,0.0053395768850444,0.0858002558679792,0.95041278712099,YDR074W,TPS2,SGDID:S000002481,CDS,CDS,"""Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex; involved in the synthesis of storage carbohydrate trehalose; positive regulator of autophagy involved in the dephosphorylation of Rim15p leading to ATG8 induction; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress""",Verified ORF
2110,4,597710,0.0817473227655037,0.0861273125075479,0.343196123327718,YDR075W,PPH3,SGDID:S000002482,CDS,CDS,"""Catalytic subunit of protein phosphatase PP4 complex; Pph3p and Psy2p form active complex ; Psy4p may provide substrate specificity; regulates recovery from the DNA damage checkpoint ; the gene conversion- and single-strand annealing-mediated pathways of meiotic double-strand break repair and efficient Non-Homologous End-Joining (NHEJ) pathway; involved in activation of Gln3p to alleviate nitrogen catabolite repression; Pph3p and Psy2p localize to foci on meiotic chromosomes""",Verified ORF
2111,4,598800,0.0379678872765169,0.0861228602582353,0.659586212955226,YDR076W,RAD55,SGDID:S000002483,CDS,CDS,"""Protein that stimulates strand exchange; stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad57p""",Verified ORF
2112,4,600513,0.0057017199903101,0.0859725888743142,0.947160439443604,YDR077W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2113,4,604043,-0.0309029991560484,0.0857134194977145,0.718660012905857,YDR080W,VPS41,SGDID:S000002487,CDS,CDS,"""Subunit of the HOPS endocytic tethering complex; vacuole membrane protein that functions as a Rab GTPase effector ; interacting specifically with the GTP-bound conformation of Ypt7p ; facilitating tethering ; docking and promoting membrane fusion events at the late endosome and vacuole; required for both membrane and protein trafficking; Yck3p-mediated phosphorylation regulates the organization of vacuolar fusion sites""",Verified ORF
2114,4,605641,-0.100915753993076,0.0867329679488746,0.245403462851948,YDR080W,VPS41,SGDID:S000002487,CDS,CDS,"""Subunit of the HOPS endocytic tethering complex; vacuole membrane protein that functions as a Rab GTPase effector ; interacting specifically with the GTP-bound conformation of Ypt7p ; facilitating tethering ; docking and promoting membrane fusion events at the late endosome and vacuole; required for both membrane and protein trafficking; Yck3p-mediated phosphorylation regulates the organization of vacuolar fusion sites""",Verified ORF
2115,4,605918,0.0046344250876173,0.0866405816395138,0.957371569029217,YDR080W,VPS41,SGDID:S000002487,CDS,CDS,"""Subunit of the HOPS endocytic tethering complex; vacuole membrane protein that functions as a Rab GTPase effector ; interacting specifically with the GTP-bound conformation of Ypt7p ; facilitating tethering ; docking and promoting membrane fusion events at the late endosome and vacuole; required for both membrane and protein trafficking; Yck3p-mediated phosphorylation regulates the organization of vacuolar fusion sites""",Verified ORF
2117,4,608349,-0.0569224097557933,0.0860932742674945,0.5089336990014,YDR081C,PDC2,SGDID:S000002488,CDS,CDS,"""Transcription factor for thiamine-regulated genes; required for expression of the two isoforms of pyruvate decarboxylase (PDC1 and PDC5) along with thiamine biosynthetic genes; binds a DNA sequence in the PDC5 promoter; mutant fails to grow on 2% glucose and thus is scored as inviable under standard conditions""",Verified ORF
2118,4,608355,-0.048101633703988,0.0859226419867165,0.57595394163774,YDR081C,PDC2,SGDID:S000002488,CDS,CDS,"""Transcription factor for thiamine-regulated genes; required for expression of the two isoforms of pyruvate decarboxylase (PDC1 and PDC5) along with thiamine biosynthetic genes; binds a DNA sequence in the PDC5 promoter; mutant fails to grow on 2% glucose and thus is scored as inviable under standard conditions""",Verified ORF
2119,4,609905,-0.0336576660833917,0.0860941233162835,0.69607717463329,YDR081C,PDC2,SGDID:S000002488,CDS,CDS,"""Transcription factor for thiamine-regulated genes; required for expression of the two isoforms of pyruvate decarboxylase (PDC1 and PDC5) along with thiamine biosynthetic genes; binds a DNA sequence in the PDC5 promoter; mutant fails to grow on 2% glucose and thus is scored as inviable under standard conditions""",Verified ORF
2120,4,610797,-0.0903682849932521,0.0859472673868475,0.293776373937285,YDR082W,STN1,SGDID:S000002489,CDS,CDS,"""Telomere end-binding and capping protein; plays a key role with Pol12p in linking telomerase action with completion of lagging strand synthesis ; and in a regulatory step required for telomere capping; similar to human Stn1""",Verified ORF
2121,4,611309,-0.0691832158521047,0.0862230288230074,0.422875831853155,YDR082W,STN1,SGDID:S000002489,CDS,CDS,"""Telomere end-binding and capping protein; plays a key role with Pol12p in linking telomerase action with completion of lagging strand synthesis ; and in a regulatory step required for telomere capping; similar to human Stn1""",Verified ORF
2122,4,613791,-0.106134907230832,0.0860609486555364,0.218302039482889,YDR084C,TVP23,SGDID:S000002491,CDS,CDS,"""Integral membrane protein; localized to late Golgi vesicles along with the v-SNARE Tlg2p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern""",Verified ORF
2123,4,614738,-0.0855966093618786,0.0862084047979077,0.321437190732973,SUT057,,,Unstable transcript,SUT,ncRNA_TFO,Unstable transcript
2124,4,618428,-0.0980926175179594,0.086483483871433,0.257465521334222,YDR087C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
2125,4,619541,-0.0956136586754983,0.0862712843955216,0.268490852800975,YDR088C,SLU7,SGDID:S000002495,CDS,CDS,"""RNA splicing factor; required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain""",Verified ORF
2126,4,620206,-0.111395645888673,0.0867627522618213,0.200015198009153,YDR088C,SLU7,SGDID:S000002495,Close to 3'-UTR,Close to 3'-UTR,"""RNA splicing factor; required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain""",Verified ORF
2127,4,620786,-0.0793179093421559,0.0878960431896456,0.367456610651759,D:620042-622111,,,Intergenic region,Intergenic region,between YNCD0013C and YDR089W,Intergenic region
2128,4,621613,-0.111297863657257,0.0876102966643717,0.204788012368975,SUT473_NFR/NDR,,,Promoter,Promoter,,Promoter
2132,4,622259,-0.145356080284911,0.0869566306486597,0.0954908072598471,YDR089W,VTC5,SGDID:S000002496,CDS,CDS,"""Novel subunit of the vacuolar transporter chaperone complex; vacuolar transmembrane protein that regulates biosynthesis of polyphosphate; deletion reduces and overexpression increases polyP accumulation; SPX domain (Syg1 ; Pho81 ; Xpr1)-containing protein involved in phosphate homeostasis; relocalizes from vacuole to cytoplasm upon DNA replication stress""",Verified ORF
2133,4,622563,-0.139031436530456,0.0853880712521681,0.104368210758302,YDR089W,VTC5,SGDID:S000002496,CDS,CDS,"""Novel subunit of the vacuolar transporter chaperone complex; vacuolar transmembrane protein that regulates biosynthesis of polyphosphate; deletion reduces and overexpression increases polyP accumulation; SPX domain (Syg1 ; Pho81 ; Xpr1)-containing protein involved in phosphate homeostasis; relocalizes from vacuole to cytoplasm upon DNA replication stress""",Verified ORF
2134,4,623642,-0.148191596695876,0.0857348536714069,0.0847753330675302,YDR089W,VTC5,SGDID:S000002496,CDS,CDS,"""Novel subunit of the vacuolar transporter chaperone complex; vacuolar transmembrane protein that regulates biosynthesis of polyphosphate; deletion reduces and overexpression increases polyP accumulation; SPX domain (Syg1 ; Pho81 ; Xpr1)-containing protein involved in phosphate homeostasis; relocalizes from vacuole to cytoplasm upon DNA replication stress""",Verified ORF
2135,4,624555,-0.138987618399628,0.085654271186496,0.105555159905779,YDR089W,VTC5,SGDID:S000002496,CDS,CDS,"""Novel subunit of the vacuolar transporter chaperone complex; vacuolar transmembrane protein that regulates biosynthesis of polyphosphate; deletion reduces and overexpression increases polyP accumulation; SPX domain (Syg1 ; Pho81 ; Xpr1)-containing protein involved in phosphate homeostasis; relocalizes from vacuole to cytoplasm upon DNA replication stress""",Verified ORF
2138,4,629973,-0.141712809424639,0.085765186587926,0.0993554434424449,YDR092W,UBC13,SGDID:S000002499,Close to 3'-UTR,Close to 3'-UTR,"""E2 ubiquitin-conjugating enzyme; involved in the error-free DNA postreplication repair pathway; interacts with Mms2p to assemble ubiquitin chains at the Ub Lys-63 residue; DNA damage triggers redistribution from the cytoplasm to the nucleus""",Verified ORF
2140,4,631409,-0.0793033895485638,0.086382381425047,0.359219250910241,YDR093W,DNF2,SGDID:S000002500,CDS,CDS,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF2 has a paralog ; DNF1 ; that arose from the whole genome duplication""",Verified ORF
2141,4,636237,-0.0936064733824832,0.0863481170647181,0.279078388031162,YDR095C,YDR095C,SGDID:S000002502,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
2142,4,636347,-0.114572603822507,0.0862470872630594,0.184896612343774,YDR095C,YDR095C,SGDID:S000002502,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
2143,4,636391,-0.0981751630862033,0.0867383289120145,0.258463923587415,YDR095C,YDR095C,SGDID:S000002502,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
2144,4,636810,-0.129210339200073,0.0862599699868214,0.135048277816209,YDR093W,DNF2,SGDID:S000002500,Close to 3'-UTR,Close to 3'-UTR,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF2 has a paralog ; DNF1 ; that arose from the whole genome duplication""",Verified ORF
2145,4,636879,-0.0974358877270671,0.0864223358337437,0.26032279223105,YDR093W,DNF2,SGDID:S000002500,Close to 3'-UTR,Close to 3'-UTR,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF2 has a paralog ; DNF1 ; that arose from the whole genome duplication""",Verified ORF
2147,4,638340,-0.102411007706594,0.0870729655517246,0.240326867970509,YDR096W,GIS1,SGDID:S000002503,CDS,CDS,"""Histone demethylase and transcription factor; regulates genes during nutrient limitation; activity modulated by proteasome-mediated proteolysis; has JmjC and JmjN domain in N-terminus that interact ; promoting stability and proper transcriptional activity; contains two transactivating domains downstream of Jmj domains and a C-terminal DNA binding domain; relocalizes to the cytosol in response to hypoxia; GIS1 has a paralog ; RPH1 ; that arose from the whole genome duplication""",Verified ORF
2148,4,639037,-0.0873077769279197,0.0870786632750601,0.316725661986216,YDR096W,GIS1,SGDID:S000002503,CDS,CDS,"""Histone demethylase and transcription factor; regulates genes during nutrient limitation; activity modulated by proteasome-mediated proteolysis; has JmjC and JmjN domain in N-terminus that interact ; promoting stability and proper transcriptional activity; contains two transactivating domains downstream of Jmj domains and a C-terminal DNA binding domain; relocalizes to the cytosol in response to hypoxia; GIS1 has a paralog ; RPH1 ; that arose from the whole genome duplication""",Verified ORF
2149,4,641585,-0.0462974698729834,0.0864796953305453,0.592740442993713,YDR097C,MSH6,SGDID:S000002504,CDS,CDS,"""Protein required for mismatch repair in mitosis and meiosis; forms a complex with Msh2p to repair both single-base & insertion-deletion mispairs; also involved in interstrand cross-link repair; potentially phosphorylated by Cdc28p; contains PIP motif that binds PCNA (Pol30p) and Rev1p""",Verified ORF
2150,4,641978,-0.0879709790255843,0.0861390832725103,0.307827474428553,YDR097C,MSH6,SGDID:S000002504,CDS,CDS,"""Protein required for mismatch repair in mitosis and meiosis; forms a complex with Msh2p to repair both single-base & insertion-deletion mispairs; also involved in interstrand cross-link repair; potentially phosphorylated by Cdc28p; contains PIP motif that binds PCNA (Pol30p) and Rev1p""",Verified ORF
2151,4,642192,-0.0592978443744251,0.086302291328356,0.492474215136756,YDR097C,MSH6,SGDID:S000002504,CDS,CDS,"""Protein required for mismatch repair in mitosis and meiosis; forms a complex with Msh2p to repair both single-base & insertion-deletion mispairs; also involved in interstrand cross-link repair; potentially phosphorylated by Cdc28p; contains PIP motif that binds PCNA (Pol30p) and Rev1p""",Verified ORF
2152,4,643795,-0.0554543180621889,0.0862928331758512,0.520881714251698,YDR097C,MSH6,SGDID:S000002504,CDS,CDS,"""Protein required for mismatch repair in mitosis and meiosis; forms a complex with Msh2p to repair both single-base & insertion-deletion mispairs; also involved in interstrand cross-link repair; potentially phosphorylated by Cdc28p; contains PIP motif that binds PCNA (Pol30p) and Rev1p""",Verified ORF
2153,4,644586,-0.0492491277593632,0.0859571924160183,0.567043679570945,YDR098C,GRX3,SGDID:S000002505,CDS,CDS,"""Glutathione-dependent oxidoreductase; hydroperoxide and superoxide-radical responsive monothiol glutaredoxin subfamily member with Grx4p and Grx5p; redundantly protects cells from oxidative damage along with GRX4 and GRX5; with Grx4p ; promotes the dissociation of Aft1p from iron regulon gene promoters and subsequent nuclear export in iron-replete conditions ; regulating iron homeostasis; involved with Grx4p in the deglutathionylation of Sir2p ; restoring deacetylase activity after disulfide stress""",Verified ORF
2154,4,645245,-0.0416642844723975,0.0857720646566026,0.627441632202412,tQ(UUG)D2_NFR/NDR,,,Promoter,Promoter,,Promoter
2157,4,657631,0.0147601769137055,0.0859441565003676,0.863739182142939,YDR103W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2158,4,660338,0.0080207835559247,0.0864613465559037,0.92614107490864,YDR103W,STE5,SGDID:S000002510,CDS,CDS,"""Pheromone-responsive MAPK scaffold protein; couples activation of the G-protein-coupled pheromone receptor to MAPK activation; intramolecular interaction of PH and VWA domains blocks activation of assembled signaling cascade components (Ste11p ; Ste7p and Fus3p) under basal conditions; Gbeta-gamma (Ste4p-Ste18p)-dependent docking at the plasma membrane and binding of PI(4,5)P2 by the PH domain relieves autoinhibition ; resulting in pheromone-dependent pathway activation""",Verified ORF
2159,4,663656,0.0056333211956163,0.0859040650640421,0.947751812719616,YDR104C,SPO71,SGDID:S000002511,CDS,CDS,"""Meiosis-specific protein required for prospore membrane morphogenesis; localizes to the prospore membrane (PSM) during sporulation; required for PSM elongation and closure; genetically antagonistic to SPO1; recruits Vps13p to the PSM during sporulation; interacts and functions cooperatively with Spo73p; mutants have defects in the PSM ; aberrant spore wall formation and reduced PtdIns-phosphate pools in the PSM; contains three PH-like domains""",Verified ORF
2160,4,664068,0.0127214536882642,0.0879771091526334,0.885109543608311,YDR104C,SPO71,SGDID:S000002511,CDS,CDS,"""Meiosis-specific protein required for prospore membrane morphogenesis; localizes to the prospore membrane (PSM) during sporulation; required for PSM elongation and closure; genetically antagonistic to SPO1; recruits Vps13p to the PSM during sporulation; interacts and functions cooperatively with Spo73p; mutants have defects in the PSM ; aberrant spore wall formation and reduced PtdIns-phosphate pools in the PSM; contains three PH-like domains""",Verified ORF
2161,4,664414,-0.0335949538821747,0.0865908869872469,0.698269630746692,YDR104C,SPO71,SGDID:S000002511,CDS,CDS,"""Meiosis-specific protein required for prospore membrane morphogenesis; localizes to the prospore membrane (PSM) during sporulation; required for PSM elongation and closure; genetically antagonistic to SPO1; recruits Vps13p to the PSM during sporulation; interacts and functions cooperatively with Spo73p; mutants have defects in the PSM ; aberrant spore wall formation and reduced PtdIns-phosphate pools in the PSM; contains three PH-like domains""",Verified ORF
2162,4,664456,-0.0232675745933749,0.0866960680056914,0.788562857006829,YDR104C,SPO71,SGDID:S000002511,CDS,CDS,"""Meiosis-specific protein required for prospore membrane morphogenesis; localizes to the prospore membrane (PSM) during sporulation; required for PSM elongation and closure; genetically antagonistic to SPO1; recruits Vps13p to the PSM during sporulation; interacts and functions cooperatively with Spo73p; mutants have defects in the PSM ; aberrant spore wall formation and reduced PtdIns-phosphate pools in the PSM; contains three PH-like domains""",Verified ORF
2163,4,665001,-0.0227402105239456,0.0868524510848998,0.793608473859916,YDR104C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2166,4,667986,-0.0126232869254855,0.0866200731797155,0.884216408059994,YDRWsigma2_NFR/NDR,,,Promoter,Promoter,,Promoter
2167,4,667994,-0.0441534139945334,0.086733675983445,0.611022003190143,YDRWsigma2_NFR/NDR,,,Promoter,Promoter,,Promoter
2168,4,668101,-0.0197355133329216,0.0859543577411704,0.818532036673648,YDRWsigma2,YDRWsigma2,SGDID:S000006856,Other features,LTR,"""Ty3 LTR""",long_terminal_repeat
2169,4,668118,-0.0616769768639115,0.0864524925769366,0.476056999418033,YDRWsigma2,YDRWsigma2,SGDID:S000006856,Other features,LTR,"""Ty3 LTR""",long_terminal_repeat
