SNP,SNPs_localization,GENE,snps_class_down,CLOSEST_GENE,description,Human_homologs
1423,YDL159W,STE7,Verified ORF,STE7,"""Signal transducing MAP kinase kinase; involved in pheromone response where it phosphorylates Fus3p; involved in the pseudohyphal/invasive growth pathway where it phosphorylates of Kss1p; phosphorylated by Ste11p; degraded by ubiquitin pathway""","MAP2K1, MAP2K2"
1424,YDL158C,YDL158C,Dubious ORF,YDL158C,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",
1425,YDL158C,YDL158C,Dubious ORF,YDL158C,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",
1426,YDL157C,YDL157C,Uncharacterized ORF,YDL157C,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",
1427,YDL157C,YDL157C,Uncharacterized ORF,YDL157C,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies""",
1428,YDL156W,CMR1,Verified ORF,CMR1,"""Nuclear protein with role in transcription ; protein quality control; localizes to the intranuclear quality control compartment (INQ) in response to proteasome inhibition or DNA replication stress; INQ likely sequesters proteins involved in DNA metabolism for degradation or re-folding; also localizes to coding regions of transcribed genes; contains three WD domains (WD-40 repeat); human ortholog WDR76 also exhibits perinuclear localization under similar stress conditions""",WDR76
1429,YDL156W,CMR1,Verified ORF,CMR1,"""Nuclear protein with role in transcription ; protein quality control; localizes to the intranuclear quality control compartment (INQ) in response to proteasome inhibition or DNA replication stress; INQ likely sequesters proteins involved in DNA metabolism for degradation or re-folding; also localizes to coding regions of transcribed genes; contains three WD domains (WD-40 repeat); human ortholog WDR76 also exhibits perinuclear localization under similar stress conditions""",WDR76
1430,YDL155W,CLB3,Verified ORF,CLB3,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""","CCNB2, CCNB1"
1431,YDL155W,CLB3,Verified ORF,CLB3,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""","CCNB2, CCNB1"
1432,YDL155W,CLB3,Verified ORF,CLB3,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""","CCNB2, CCNB1"
1433,YDL155W,CLB3,Verified ORF,CLB3,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""","CCNB2, CCNB1"
1434,YDL155W,CLB3,Verified ORF,CLB3,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""","CCNB2, CCNB1"
1435,YDL155W,CLB3,Verified ORF,CLB3,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""","CCNB2, CCNB1"
1436,YDL155W,CLB3,Verified ORF,CLB3,"""B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 ; then targeted for ubiquitin-mediated degradation; relative distribution to the nucleus increases upon DNA replication stress; CLB3 has a paralog ; CLB4 ; that arose from the whole genome duplication""","CCNB2, CCNB1"
1437,YDL154W_NFR/NDR,,Promoter,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1438,YDL154W_NFR/NDR,,Promoter,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1439,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1440,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1441,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1442,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1443,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1444,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1445,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1446,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1447,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1448,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1449,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1450,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1451,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1452,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1453,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1454,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1455,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1456,YDL154W,MSH5,Verified ORF,MSH5,"""Protein of the MutS family; forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans""",MSH5
1457,YDL153C,SAS10,Verified ORF,SAS10,"""Subunit of U3-containing Small Subunit (SSU) processome complex; involved in production of 18S rRNA and assembly of small ribosomal subunit; disrupts silencing when overproduced; mutant has increased aneuploidy tolerance; essential gene""",UTP3
1458,YDL149W,ATG9,Verified ORF,ATG9,"""Transmembrane protein involved in forming Cvt and autophagic vesicles; cycles between the phagophore assembly site (PAS) and other cytosolic punctate structures ; not found in autophagosomes; may be involved in membrane delivery to the PAS""","ATG9B, ATG9A"
1459,YDL149W,ATG9,Close to 3'-UTR,ATG9,"""Transmembrane protein involved in forming Cvt and autophagic vesicles; cycles between the phagophore assembly site (PAS) and other cytosolic punctate structures ; not found in autophagosomes; may be involved in membrane delivery to the PAS""","ATG9B, ATG9A"
1460,YDL147W,RPN5,Verified ORF,RPN5,"""Subunit of the CSN and 26S proteasome lid complexes; similar to mammalian p55 subunit and to another S. cerevisiae regulatory subunit ; Rpn7p; Rpn5p is an essential protein; the COP9 signalosome is also known as the CSN""",PSMD12
1461,YDL147W,RPN5,Close to 3'-UTR,RPN5,"""Subunit of the CSN and 26S proteasome lid complexes; similar to mammalian p55 subunit and to another S. cerevisiae regulatory subunit ; Rpn7p; Rpn5p is an essential protein; the COP9 signalosome is also known as the CSN""",PSMD12
1462,YDL147W,RPN5,Close to 3'-UTR,RPN5,"""Subunit of the CSN and 26S proteasome lid complexes; similar to mammalian p55 subunit and to another S. cerevisiae regulatory subunit ; Rpn7p; Rpn5p is an essential protein; the COP9 signalosome is also known as the CSN""",PSMD12
1463,YDL146W,LDB17,Verified ORF,LDB17,"""Protein involved in the regulation of endocytosis; transiently recruited to actin cortical patches in a SLA1-dependent manner after late coat component assembly; GFP-fusion protein localizes to the periphery ; cytoplasm ; bud ; and bud neck""",NCKIPSD
1464,YDL146W,LDB17,Verified ORF,LDB17,"""Protein involved in the regulation of endocytosis; transiently recruited to actin cortical patches in a SLA1-dependent manner after late coat component assembly; GFP-fusion protein localizes to the periphery ; cytoplasm ; bud ; and bud neck""",NCKIPSD
1465,YDL146W,LDB17,Verified ORF,LDB17,"""Protein involved in the regulation of endocytosis; transiently recruited to actin cortical patches in a SLA1-dependent manner after late coat component assembly; GFP-fusion protein localizes to the periphery ; cytoplasm ; bud ; and bud neck""",NCKIPSD
1466,YDL145C,COP1,Verified ORF,COP1,"""Alpha subunit of COPI vesicle coatomer complex; complex surrounds transport vesicles in the early secretory pathway""",COPA
1467,YDL145C,COP1,Verified ORF,COP1,"""Alpha subunit of COPI vesicle coatomer complex; complex surrounds transport vesicles in the early secretory pathway""",COPA
1468,YDL145C,COP1,Verified ORF,COP1,"""Alpha subunit of COPI vesicle coatomer complex; complex surrounds transport vesicles in the early secretory pathway""",COPA
1469,YDL145C,COP1,Verified ORF,COP1,"""Alpha subunit of COPI vesicle coatomer complex; complex surrounds transport vesicles in the early secretory pathway""",COPA
1470,YDL145C_NFR/NDR,,Promoter,COP1,"""Alpha subunit of COPI vesicle coatomer complex; complex surrounds transport vesicles in the early secretory pathway""",COPA
1471,YDL144C,YDL144C,Verified ORF,YDL144C,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YDL144C is not an essential gene; protein abundance increases in response to DNA replication stress""",
1472,YDL142C,CRD1,Close to 3'-UTR,CRD1,"""Cardiolipin synthase; produces cardiolipin ; which is a phospholipid of the mitochondrial inner membrane that is required for normal mitochondrial membrane potential and function and for correct integration of membrane-multispanning proteins into the mitochondrial outer membrane; required to maintain tubular mitochondrial morphology and functions in mitochondrial fusion; also required for normal vacuolar ion homeostasis""",CRLS1
1473,YDL141W,BPL1,Verified ORF,BPL1,"""Biotin:apoprotein ligase; covalently modifies proteins with the addition of biotin ; required for acetyl-CoA carboxylase (Acc1p) holoenzyme formation; comparative analysis suggests that a mitochondrially targeted form may result from translation starting at a non-canonical codon upstream of the annotated start codon; human homolog HLCS can complement yeast BPL1 mutant""",HLCS
1474,YDL140C,RPO21,Verified ORF,RPO21,"""RNA polymerase II largest subunit B220; part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime""",POLR2A
1475,YDL140C,RPO21,Close to 3'-UTR,RPO21,"""RNA polymerase II largest subunit B220; part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime""",POLR2A
1476,YDL140C,RPO21,Close to 3'-UTR,RPO21,"""RNA polymerase II largest subunit B220; part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime""",POLR2A
1477,YDL140C,RPO21,Close to 3'-UTR,RPO21,"""RNA polymerase II largest subunit B220; part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime""",POLR2A
1478,YDL140C,RPO21,Close to 3'-UTR,RPO21,"""RNA polymerase II largest subunit B220; part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime""",POLR2A
1479,YDL140C,RPO21,Close to 3'-UTR,RPO21,"""RNA polymerase II largest subunit B220; part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime""",POLR2A
1480,YDL140C_NFR/NDR,,Promoter,RPO21,"""RNA polymerase II largest subunit B220; part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime""",POLR2A
1481,YDL139C,SCM3,Verified ORF,SCM3,"""Nonhistone component of centromeric chromatin; binds to histone H3 variant ; Cse4p ; and recruits it to centromeres; involved in the assembly and maintenance of Cse4-H4 at centromeres; required for kinetochore assembly and G2/M progression; may protect Cse4p from ubiquitination; homolog of mammalian HJURP""",
1482,YDL139C,SCM3,Close to 3'-UTR,SCM3,"""Nonhistone component of centromeric chromatin; binds to histone H3 variant ; Cse4p ; and recruits it to centromeres; involved in the assembly and maintenance of Cse4-H4 at centromeres; required for kinetochore assembly and G2/M progression; may protect Cse4p from ubiquitination; homolog of mammalian HJURP""",
1483,ACS_4_212594_-_NFR/NDR,,Promoter,,,
1484,YDL138W,RGT2,Close to 3'-UTR,RGT2,"""Plasma membrane high glucose sensor that regulates glucose transport; low affinity sesnor that contains 12 predicted transmembrane segments and a long C-terminal tail required for hexose transporter induction; phosphorylation of the tail by Yck1p/Yck2p facilitates binding to the HXT co-repressors ; Mth1p and Std1p; RGT2 has a paralog ; SNF3 ; that arose from the whole genome duplication""","SLC2A6, SLC2A8"
1485,YDL138W,RGT2,Verified ORF,RGT2,"""Plasma membrane high glucose sensor that regulates glucose transport; low affinity sesnor that contains 12 predicted transmembrane segments and a long C-terminal tail required for hexose transporter induction; phosphorylation of the tail by Yck1p/Yck2p facilitates binding to the HXT co-repressors ; Mth1p and Std1p; RGT2 has a paralog ; SNF3 ; that arose from the whole genome duplication""","SLC2A6, SLC2A8"
1486,YDL136W_NFR/NDR,,Promoter,RPL35B,"""Ribosomal 60S subunit protein L35B; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35B has a paralog ; RPL35A ; that arose from the whole genome duplication""",RPL35
1487,YDL136W,RPL35B,Close to 3'-UTR,RPL35B,"""Ribosomal 60S subunit protein L35B; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35B has a paralog ; RPL35A ; that arose from the whole genome duplication""",RPL35
1488,YDL136W,RPL35B,Close to 3'-UTR,RPL35B,"""Ribosomal 60S subunit protein L35B; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35B has a paralog ; RPL35A ; that arose from the whole genome duplication""",RPL35
1489,YDL135C,RDI1,Verified ORF,RDI1,"""Rho GDP dissociation inhibitor; involved in the localization and regulation of Cdc42p and Rho1p; protein abundance increases in response to DNA replication stress""","ARHGDIB, ARHGDIG, ARHGDIA"
1490,YDL134C,PPH21,Verified ORF,PPH21,"""Catalytic subunit of protein phosphatase 2A ; PP2A; functionally redundant with Pph22p; C-terminally methylated; forms alternate complexes with several regulatory subunits; involved in signal transduction and regulation of mitosis; forms nuclear foci upon DNA replication stress; PPH21 has a paralog ; PPH22 ; that arose from the whole genome duplication""","PPP2CB, PPP2CA"
1491,YDL134C,PPH21,Verified ORF,PPH21,"""Catalytic subunit of protein phosphatase 2A ; PP2A; functionally redundant with Pph22p; C-terminally methylated; forms alternate complexes with several regulatory subunits; involved in signal transduction and regulation of mitosis; forms nuclear foci upon DNA replication stress; PPH21 has a paralog ; PPH22 ; that arose from the whole genome duplication""","PPP2CB, PPP2CA"
1492,YDL134C_NFR/NDR,,Promoter,PPH21,"""Catalytic subunit of protein phosphatase 2A ; PP2A; functionally redundant with Pph22p; C-terminally methylated; forms alternate complexes with several regulatory subunits; involved in signal transduction and regulation of mitosis; forms nuclear foci upon DNA replication stress; PPH21 has a paralog ; PPH22 ; that arose from the whole genome duplication""","PPP2CB, PPP2CA"
1493,YDL133C-A_NFR/NDR,,Promoter,RPL41B,"""Ribosomal 60S subunit protein L41B; comprises only 25 amino acids; rpl41a rpl41b double null mutant is viable; homologous to mammalian ribosomal protein L41 ; no bacterial homolog; RPL41B has a paralog ; RPL41A ; that arose from the whole genome duplication""",
1494,YDL133W,SRF1,Verified ORF,SRF1,"""Regulator of phospholipase D (Spo14p); interacts with Spo14p and regulates its catalytic activity; capable of buffering the toxicity of C16:0 platelet activating factor ; a lipid that accumulates intraneuronally in Alzheimer's patients""",
1495,YDL133W,SRF1,Verified ORF,SRF1,"""Regulator of phospholipase D (Spo14p); interacts with Spo14p and regulates its catalytic activity; capable of buffering the toxicity of C16:0 platelet activating factor ; a lipid that accumulates intraneuronally in Alzheimer's patients""",
1496,YDL133W,SRF1,Verified ORF,SRF1,"""Regulator of phospholipase D (Spo14p); interacts with Spo14p and regulates its catalytic activity; capable of buffering the toxicity of C16:0 platelet activating factor ; a lipid that accumulates intraneuronally in Alzheimer's patients""",
1497,YDL133W,SRF1,Verified ORF,SRF1,"""Regulator of phospholipase D (Spo14p); interacts with Spo14p and regulates its catalytic activity; capable of buffering the toxicity of C16:0 platelet activating factor ; a lipid that accumulates intraneuronally in Alzheimer's patients""",
1498,YDL132W,CDC53,Verified ORF,CDC53,"""Cullin; structural protein of SCF complexes (which also contain Skp1p ; Cdc34p ; Hrt1p and an F-box protein) involved in ubiquitination; SCF promotes the G1-S transition by targeting G1 cyclins and the Cln-CDK inhibitor Sic1p for degradation; human homolog CUL1 can complement yeast cdc53 null mutant""","CUL2, CUL1"
1499,YDL132W,CDC53,Verified ORF,CDC53,"""Cullin; structural protein of SCF complexes (which also contain Skp1p ; Cdc34p ; Hrt1p and an F-box protein) involved in ubiquitination; SCF promotes the G1-S transition by targeting G1 cyclins and the Cln-CDK inhibitor Sic1p for degradation; human homolog CUL1 can complement yeast cdc53 null mutant""","CUL2, CUL1"
1500,YDL132W,CDC53,Close to 3'-UTR,CDC53,"""Cullin; structural protein of SCF complexes (which also contain Skp1p ; Cdc34p ; Hrt1p and an F-box protein) involved in ubiquitination; SCF promotes the G1-S transition by targeting G1 cyclins and the Cln-CDK inhibitor Sic1p for degradation; human homolog CUL1 can complement yeast cdc53 null mutant""","CUL2, CUL1"
1501,YDL132W,CDC53,Close to 3'-UTR,CDC53,"""Cullin; structural protein of SCF complexes (which also contain Skp1p ; Cdc34p ; Hrt1p and an F-box protein) involved in ubiquitination; SCF promotes the G1-S transition by targeting G1 cyclins and the Cln-CDK inhibitor Sic1p for degradation; human homolog CUL1 can complement yeast cdc53 null mutant""","CUL2, CUL1"
1502,YDL131W,LYS21,Verified ORF,LYS21,"""Homocitrate synthase isozyme; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate ; which is the first step in the lysine biosynthesis pathway; LYS21 has a paralog ; LYS20 ; that arose from the whole genome duplication""","HMGCL, HMGCLL1"
1503,YDL129W,YDL129W,Close to 3'-UTR,YDL129W,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus; YDL129W is not an essential gene; relative distribution to the nucleus increases upon DNA replication stress""",
1504,YDL129W,YDL129W,Close to 3'-UTR,YDL129W,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus; YDL129W is not an essential gene; relative distribution to the nucleus increases upon DNA replication stress""",
1505,YDL129W,YDL129W,Close to 3'-UTR,YDL129W,"""Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus; YDL129W is not an essential gene; relative distribution to the nucleus increases upon DNA replication stress""",
1506,YDL127W_NFR/NDR,,Promoter,PCL2,"""Cyclin ; interacts with cyclin-dependent kinase Pho85p; member of the Pcl1,2-like subfamily ; involved in the regulation of polarized growth and morphogenesis and progression through the cell cycle; localizes to sites of polarized cell growth; PCL2 has a paralog ; PCL9 ; that arose from the whole genome duplication""",
1507,YDL127W_NFR/NDR,,Promoter,PCL2,"""Cyclin ; interacts with cyclin-dependent kinase Pho85p; member of the Pcl1,2-like subfamily ; involved in the regulation of polarized growth and morphogenesis and progression through the cell cycle; localizes to sites of polarized cell growth; PCL2 has a paralog ; PCL9 ; that arose from the whole genome duplication""",
1508,YDL126C,CDC48,Verified ORF,CDC48,"""AAA ATPase with protein-unfoldase activity; subunit of polyUb-selective segregase complex involved in ERAD ; INM-associated degradation (INMAD) ; mitotic spindle disassembly ; macroautophagy ; PMN ; ribosome-associated degradation ; ribophagy ; homotypic ER membrane fusion ; SCF complex disassembly ; cell wall integrity ; and telomerase regulation; mobilizes membrane-anchored transcription factors by regulated Ub/proteasome-dependent processing (RUP); human ortholog VCP complements a cdc48 mutant""",VCP
1509,YDL122W_NFR/NDR,,Promoter,UBP1,"""Ubiquitin-specific protease; removes ubiquitin from ubiquitinated proteins; cleaves at the C terminus of ubiquitin fusions irrespective of their size; capable of cleaving polyubiquitin chains""",USP30
1510,YDL122W,UBP1,Verified ORF,UBP1,"""Ubiquitin-specific protease; removes ubiquitin from ubiquitinated proteins; cleaves at the C terminus of ubiquitin fusions irrespective of their size; capable of cleaving polyubiquitin chains""",USP30
1511,YDL117W,CYK3,Verified ORF,CYK3,"""SH3-domain protein located in the bud neck and cytokinetic actin ring; relocalizes from bud neck to nucleus upon DNA replication stress; activates the chitin synthase activity of Chs2p during cytokinesis; suppressor of growth and cytokinesis defects of chs2 phospho-mutants""",KY
1512,YDL117W,CYK3,Verified ORF,CYK3,"""SH3-domain protein located in the bud neck and cytokinetic actin ring; relocalizes from bud neck to nucleus upon DNA replication stress; activates the chitin synthase activity of Chs2p during cytokinesis; suppressor of growth and cytokinesis defects of chs2 phospho-mutants""",KY
1513,YDL117W,CYK3,Verified ORF,CYK3,"""SH3-domain protein located in the bud neck and cytokinetic actin ring; relocalizes from bud neck to nucleus upon DNA replication stress; activates the chitin synthase activity of Chs2p during cytokinesis; suppressor of growth and cytokinesis defects of chs2 phospho-mutants""",KY
1514,YDL117W,CYK3,Verified ORF,CYK3,"""SH3-domain protein located in the bud neck and cytokinetic actin ring; relocalizes from bud neck to nucleus upon DNA replication stress; activates the chitin synthase activity of Chs2p during cytokinesis; suppressor of growth and cytokinesis defects of chs2 phospho-mutants""",KY
1515,YDL117W,CYK3,Verified ORF,CYK3,"""SH3-domain protein located in the bud neck and cytokinetic actin ring; relocalizes from bud neck to nucleus upon DNA replication stress; activates the chitin synthase activity of Chs2p during cytokinesis; suppressor of growth and cytokinesis defects of chs2 phospho-mutants""",KY
1516,YDL117W,CYK3,Close to 3'-UTR,CYK3,"""SH3-domain protein located in the bud neck and cytokinetic actin ring; relocalizes from bud neck to nucleus upon DNA replication stress; activates the chitin synthase activity of Chs2p during cytokinesis; suppressor of growth and cytokinesis defects of chs2 phospho-mutants""",KY
1517,YDL116W,NUP84,Verified ORF,NUP84,"""Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport and NPC biogenesis; also plays roles in several processes that may require localization of genes or chromosomes at the nuclear periphery ; including double-strand break repair ; transcription and chromatin silencing; homologous to human NUP107""",NUP107
1518,ARS411,ARS411,Replication,,,
1519,ARS411,ARS411,Replication,,,
1520,ARS411,ARS411,Replication,,,
1521,YDL113C,ATG20,Verified ORF,ATG20,"""Sorting nexin family member; required for the cytoplasm-to-vacuole targeting (Cvt) pathway ; endosomal sorting and selective autophagy; has a Phox homology domain that binds phosphatidylinositol-3-phosphate; interacts with Snx4p; potential Cdc28p substrate""",SNX4
1522,YDL113C,ATG20,Verified ORF,ATG20,"""Sorting nexin family member; required for the cytoplasm-to-vacuole targeting (Cvt) pathway ; endosomal sorting and selective autophagy; has a Phox homology domain that binds phosphatidylinositol-3-phosphate; interacts with Snx4p; potential Cdc28p substrate""",SNX4
1523,YDL112W,TRM3,Verified ORF,TRM3,"""2'-O-ribose methyltransferase; catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs""",TARBP1
1524,YDL112W,TRM3,Verified ORF,TRM3,"""2'-O-ribose methyltransferase; catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs""",TARBP1
1525,XUT_4F-137,,XUT,,,
1526,YDL110C_NFR/NDR,,Promoter,TMA17,"""Regulatory gamma subunit of fatty acid synthase (FAS); ATPase dedicated chaperone that adapts proteasome assembly to stress; induced upon stress; interacts with Rpt6p to assist its pairing to Rpt3p and early steps in proteasome biogenesis; associates with ribosomes; heterozygous deletion demonstrated increases in chromosome instability in a rad9 deletion background; protein abundance is decreased upon intracellular iron depletion""",
1527,YDL109C,YDL109C,Close to 3'-UTR,YDL109C,"""Putative lipase; involved in lipid metabolism; not an essential gene; YDL109C has a paralog ; ROG1 ; that arose from the whole genome duplication""",
1528,YDL109C,YDL109C,Close to 3'-UTR,YDL109C,"""Putative lipase; involved in lipid metabolism; not an essential gene; YDL109C has a paralog ; ROG1 ; that arose from the whole genome duplication""",
1529,YDL107W_NFR/NDR,,Promoter,MSS2,"""Peripherally bound inner membrane protein of the mitochondrial matrix; involved in membrane insertion of C-terminus of Cox2p ; interacts genetically and physically with Cox18p""",
1530,YDL107W,MSS2,Close to 3'-UTR,MSS2,"""Peripherally bound inner membrane protein of the mitochondrial matrix; involved in membrane insertion of C-terminus of Cox2p ; interacts genetically and physically with Cox18p""",
1531,YDL107W,MSS2,Close to 3'-UTR,MSS2,"""Peripherally bound inner membrane protein of the mitochondrial matrix; involved in membrane insertion of C-terminus of Cox2p ; interacts genetically and physically with Cox18p""",
1532,YDL106C,PHO2,Verified ORF,PHO2,"""Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO5 promoter; phosphorylation of Pho2p facilitates interaction with Pho4p; relocalizes to the cytosol in response to hypoxia""",
