,SNP,SNPs_localization,GENE,snps_class_down,CLOSEST_GENE,description
961,962.0,YCL036W,GFD2,Verified ORF,GFD2,"""Protein of unknown function; identified as a high-copy suppressor of a dbp5 mutation; GFD2 has a paralog ; YDR514C ; that arose from the whole genome duplication"""
962,963.0,YCL034W_NFR/NDR,,Promoter,LSB5,"""Protein involved in membrane-trafficking events at plasma membrane; interacts with actin regulators Sla1p and Las17p ; ubiquitin ; Arf3p to couple actin dynamics to membrane trafficking processes; similar structure to GGA family of proteins with N-terminal VHS domain and GAT domain; binds Las17p ; which is homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly ; actin polymerization; may mediate disassembly of Pan1 complex from endocytic coat"""
963,964.0,YCL034W_NFR/NDR,,Promoter,LSB5,"""Protein involved in membrane-trafficking events at plasma membrane; interacts with actin regulators Sla1p and Las17p ; ubiquitin ; Arf3p to couple actin dynamics to membrane trafficking processes; similar structure to GGA family of proteins with N-terminal VHS domain and GAT domain; binds Las17p ; which is homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly ; actin polymerization; may mediate disassembly of Pan1 complex from endocytic coat"""
964,965.0,YCL034W_NFR/NDR,,Promoter,LSB5,"""Protein involved in membrane-trafficking events at plasma membrane; interacts with actin regulators Sla1p and Las17p ; ubiquitin ; Arf3p to couple actin dynamics to membrane trafficking processes; similar structure to GGA family of proteins with N-terminal VHS domain and GAT domain; binds Las17p ; which is homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly ; actin polymerization; may mediate disassembly of Pan1 complex from endocytic coat"""
965,966.0,YCL034W,LSB5,Close to 3'-UTR,LSB5,"""Protein involved in membrane-trafficking events at plasma membrane; interacts with actin regulators Sla1p and Las17p ; ubiquitin ; Arf3p to couple actin dynamics to membrane trafficking processes; similar structure to GGA family of proteins with N-terminal VHS domain and GAT domain; binds Las17p ; which is homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly ; actin polymerization; may mediate disassembly of Pan1 complex from endocytic coat"""
966,967.0,YCL032W,STE50,Verified ORF,STE50,"""Adaptor protein for various signaling pathways; involved in mating response ; invasive/filamentous growth ; osmotolerance; acts as an adaptor that links G protein-associated Cdc42p-Ste20p complex to the effector Ste11p to modulate signal transduction"""
967,968.0,YCL032W,STE50,Close to 3'-UTR,STE50,"""Adaptor protein for various signaling pathways; involved in mating response ; invasive/filamentous growth ; osmotolerance; acts as an adaptor that links G protein-associated Cdc42p-Ste20p complex to the effector Ste11p to modulate signal transduction"""
968,969.0,YCL030C,HIS4,Verified ORF,HIS4,"""Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase; phosphoribosyl-AMP cyclohydrolase ; and histidinol dehydrogenase activities; catalyzes the second ; third ; ninth and tenth steps in histidine biosynthesis"""
969,970.0,YCL030C,HIS4,Verified ORF,HIS4,"""Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase; phosphoribosyl-AMP cyclohydrolase ; and histidinol dehydrogenase activities; catalyzes the second ; third ; ninth and tenth steps in histidine biosynthesis"""
970,971.0,YCL030C,HIS4,Verified ORF,HIS4,"""Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase; phosphoribosyl-AMP cyclohydrolase ; and histidinol dehydrogenase activities; catalyzes the second ; third ; ninth and tenth steps in histidine biosynthesis"""
971,972.0,CUT041,,CUT,,
972,973.0,YCL027W,FUS1,Verified ORF,FUS1,"""Membrane protein localized to the shmoo tip; required for cell fusion; expression regulated by mating pheromone; proposed to coordinate signaling ; fusion ; and polarization events required for fusion; potential Cdc28p substrate"""
973,974.0,YCL027W,FUS1,Verified ORF,FUS1,"""Membrane protein localized to the shmoo tip; required for cell fusion; expression regulated by mating pheromone; proposed to coordinate signaling ; fusion ; and polarization events required for fusion; potential Cdc28p substrate"""
974,975.0,ARS306,ARS306,Replication,,
975,976.0,YCL026C-A,FRM2,Verified ORF,FRM2,"""Type II nitroreductase ; using NADH as reductant; mutants are defective in fatty acid mediated repression of genes involved in fatty acid biosynthesis indicative of a role in lipid signaling; involved in the oxidative stress response; transcription induction by cadmium and selenite indicates a possible role in the metal stress response; expression induced in cells treated with the mycotoxin patulin"""
976,977.0,YCL026C-A_NFR/NDR,,Promoter,FRM2,"""Type II nitroreductase ; using NADH as reductant; mutants are defective in fatty acid mediated repression of genes involved in fatty acid biosynthesis indicative of a role in lipid signaling; involved in the oxidative stress response; transcription induction by cadmium and selenite indicates a possible role in the metal stress response; expression induced in cells treated with the mycotoxin patulin"""
977,978.0,YCL026C-A,FRM2,Close to 3'-UTR,FRM2,"""Type II nitroreductase ; using NADH as reductant; mutants are defective in fatty acid mediated repression of genes involved in fatty acid biosynthesis indicative of a role in lipid signaling; involved in the oxidative stress response; transcription induction by cadmium and selenite indicates a possible role in the metal stress response; expression induced in cells treated with the mycotoxin patulin"""
978,979.0,YCL025C,AGP1,Verified ORF,AGP1,"""Broad-specificity ; low-affinity amino acid permease; minor serine permease with major contributions from paralog Gnp1p; involved in uptake of asparagine ; glutamine ; and other amino acids; expression induced by amino acids and regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p)"""
979,980.0,YCL025C,AGP1,Verified ORF,AGP1,"""Broad-specificity ; low-affinity amino acid permease; minor serine permease with major contributions from paralog Gnp1p; involved in uptake of asparagine ; glutamine ; and other amino acids; expression induced by amino acids and regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p)"""
980,981.0,YCL025C,AGP1,Close to 3'-UTR,AGP1,"""Broad-specificity ; low-affinity amino acid permease; minor serine permease with major contributions from paralog Gnp1p; involved in uptake of asparagine ; glutamine ; and other amino acids; expression induced by amino acids and regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p)"""
981,982.0,YCL024W,KCC4,Verified ORF,KCC4,"""Protein kinase of the bud neck involved in the septin checkpoint; associates with septin proteins ; negatively regulates Swe1p by phosphorylation ; shows structural homology to bud neck kinases Gin4p and Hsl1p; KCC4 has a paralog ; GIN4 ; that arose from the whole genome duplication"""
982,983.0,YCL024W,KCC4,Verified ORF,KCC4,"""Protein kinase of the bud neck involved in the septin checkpoint; associates with septin proteins ; negatively regulates Swe1p by phosphorylation ; shows structural homology to bud neck kinases Gin4p and Hsl1p; KCC4 has a paralog ; GIN4 ; that arose from the whole genome duplication"""
983,984.0,YCL024W,KCC4,Verified ORF,KCC4,"""Protein kinase of the bud neck involved in the septin checkpoint; associates with septin proteins ; negatively regulates Swe1p by phosphorylation ; shows structural homology to bud neck kinases Gin4p and Hsl1p; KCC4 has a paralog ; GIN4 ; that arose from the whole genome duplication"""
984,985.0,tE(UUC)C_NFR/NDR,,Promoter,,
985,986.0,YCLWdelta15,YCLWdelta15,LTR,,
986,987.0,YCLWdelta2a,YCLWdelta2a,LTR,,
987,988.0,YCLWdelta3,YCLWdelta3,LTR,,
988,989.0,YCLWdelta3,YCLWdelta3,LTR,,
989,990.0,YCLWdelta2b_NFR/NDR,,Promoter,,
990,991.0,YCLWdelta2b_NFR/NDR,,Promoter,,
991,992.0,YCLWdelta2b_NFR/NDR,,Promoter,,
992,993.0,YCLWdelta2b_NFR/NDR,,Promoter,,
993,994.0,YCLWdelta2b_NFR/NDR,,Promoter,,
994,995.0,YCLWdelta2b_NFR/NDR,,Promoter,,
995,1002.0,YCLWdelta2b_NFR/NDR,,Promoter,,
996,996.0,YCLWdelta4,YCLWdelta4,LTR,,
997,997.0,YCLWTy2-1,YCLWTy2-1,LTR retrotransposon,,
998,998.0,YCLWTy2-1,YCLWTy2-1,LTR retrotransposon,,
999,999.0,YCLWTy2-1,YCLWTy2-1,LTR retrotransposon,,
1000,1000.0,YCLWTy2-1,YCLWTy2-1,LTR retrotransposon,,
1001,1001.0,YCLWTy2-1,YCLWTy2-1,LTR retrotransposon,,
1002,1003.0,YCL018W,LEU2,Close to 3'-UTR,LEU2,"""Beta-isopropylmalate dehydrogenase (IMDH); catalyzes the third step in the leucine biosynthesis pathway; can additionally catalyze the conversion of beta-ethylmalate into alpha-ketovalerate"""
1003,1004.0,YCL018W,LEU2,Close to 3'-UTR,LEU2,"""Beta-isopropylmalate dehydrogenase (IMDH); catalyzes the third step in the leucine biosynthesis pathway; can additionally catalyze the conversion of beta-ethylmalate into alpha-ketovalerate"""
1004,1005.0,YCL018W,LEU2,Close to 3'-UTR,LEU2,"""Beta-isopropylmalate dehydrogenase (IMDH); catalyzes the third step in the leucine biosynthesis pathway; can additionally catalyze the conversion of beta-ethylmalate into alpha-ketovalerate"""
1005,1006.0,YCL016C,DCC1,Verified ORF,DCC1,"""Subunit of a complex with Ctf8p and Ctf18p; shares some components with Replication Factor C; required for sister chromatid cohesion and telomere length maintenance"""
1006,1007.0,YCL014W,BUD3,Verified ORF,BUD3,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis"""
1007,1008.0,YCL014W,BUD3,Verified ORF,BUD3,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis"""
1008,1009.0,YCL014W,BUD3,Verified ORF,BUD3,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis"""
1009,1010.0,YCL014W,BUD3,Close to 3'-UTR,BUD3,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis"""
1010,1011.0,YCL012C_NFR/NDR,,Promoter,YCL012C,"""Protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively; orthologs are present in S. bayanus ; S. paradoxus and Ashbya gossypii; YCL012C is not an essential gene"""
1011,1012.0,YCL009C,ILV6,Verified ORF,ILV6,"""Regulatory subunit of acetolactate synthase; acetolactate synthase catalyzes the first step of branched-chain amino acid biosynthesis; enhances activity of the Ilv2p catalytic subunit ; localizes to mitochondria"""
1012,1013.0,YCL002C,YCL002C,Uncharacterized ORF,YCL002C,"""Putative protein of unknown function; YCL002C is not an essential gene"""
1013,1014.0,ARS308,ARS308,Replication,,
1014,1015.0,ARS308,ARS308,Replication,,
1015,1016.0,ARS308,ARS308,Replication,,
1016,1017.0,YCR003W,MRPL32,Verified ORF,MRPL32,"""Mitochondrial ribosomal protein of the large subunit; protein abundance increases in response to DNA replication stress"""
1017,1018.0,YCR004C,YCP4,Verified ORF,YCP4,"""Protein of unknown function; has sequence and structural similarity to flavodoxins; predicted to be palmitoylated; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies"""
1018,1019.0,CUT043_NFR/NDR,,Promoter,,
1019,1020.0,YCR006C,YCR006C,Uncharacterized ORF,YCR006C,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YCR006C is not an essential gene"""
1020,1021.0,tP(AGG)C_NFR/NDR,,Promoter,,
1021,1022.0,SUT031_NFR/NDR,,Promoter,,
1022,1023.0,YCR007C,YCR007C,Uncharacterized ORF,YCR007C,"""Putative integral membrane protein; member of DUP240 gene family; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; YCR007C is not an essential gene"""
1023,1024.0,YCR007C,YCR007C,Close to 3'-UTR,YCR007C,"""Putative integral membrane protein; member of DUP240 gene family; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; YCR007C is not an essential gene"""
1024,1025.0,YCR008W,SAT4,Close to 3'-UTR,SAT4,"""Ser/Thr protein kinase involved in salt tolerance ; nutrient response; functions in regulation of Trk1p-Trk2p potassium transporter; overexpression affects the Fe-S and lipoamide containing proteins in the mitochondrion; required for lipoylation of Lat1p ; Kgd2p and Gcv3p; partially redundant with Hal5p; has similarity to Npr1p; localizes to the cytoplasm and mitochondrion"""
1025,1026.0,CUT044,,CUT,,
1026,1027.0,YCR011C,ADP1,Verified ORF,ADP1,"""Putative ATP-dependent permease of the ABC transporter family"""
1027,1028.0,YCR011C,ADP1,Verified ORF,ADP1,"""Putative ATP-dependent permease of the ABC transporter family"""
1028,1029.0,YCR011C,ADP1,Verified ORF,ADP1,"""Putative ATP-dependent permease of the ABC transporter family"""
1029,1030.0,YCR011C,ADP1,Verified ORF,ADP1,"""Putative ATP-dependent permease of the ABC transporter family"""
1030,1031.0,YCR011C,ADP1,Verified ORF,ADP1,"""Putative ATP-dependent permease of the ABC transporter family"""
1031,1032.0,YCR011C,ADP1,Verified ORF,ADP1,"""Putative ATP-dependent permease of the ABC transporter family"""
1032,1033.0,YCR012W_NFR/NDR,,Promoter,PGK1,"""3-phosphoglycerate kinase; catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis"""
1033,1034.0,YCR014C,POL4,Verified ORF,POL4,"""DNA polymerase IV; undergoes pair-wise interactions with Dnl4p-Lif1p and Rad27p to mediate repair of DNA double-strand breaks by non-homologous end joining (NHEJ); homologous to mammalian DNA polymerase beta"""
1034,1035.0,YCRCdelta7,YCRCdelta7,LTR,,
1035,1036.0,YCR016W,YCR016W,Close to 3'-UTR,YCR016W,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus and nucleus; predicted to be involved in ribosome biogenesis"""
1036,1037.0,YCR016W_NFR/NDR,,Promoter,YCR016W,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus and nucleus; predicted to be involved in ribosome biogenesis"""
1037,1038.0,YCR016W,YCR016W,Uncharacterized ORF,YCR016W,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus and nucleus; predicted to be involved in ribosome biogenesis"""
1038,1039.0,YCR017C,CWH43,Verified ORF,CWH43,"""GPI lipid remodelase; responsible for introducing ceramides into GPI anchors having a C26:0 fatty acid in sn-2 of the glycerol moiety; can also use lyso-GPI protein anchors and various base resistant lipids as substrates; contains 14-16 transmembrane segments and several putative glycosylation and phosphorylation sites; null mutation is synthetically lethal with pkc1 deletion"""
1039,1040.0,YCR017C,CWH43,Verified ORF,CWH43,"""GPI lipid remodelase; responsible for introducing ceramides into GPI anchors having a C26:0 fatty acid in sn-2 of the glycerol moiety; can also use lyso-GPI protein anchors and various base resistant lipids as substrates; contains 14-16 transmembrane segments and several putative glycosylation and phosphorylation sites; null mutation is synthetically lethal with pkc1 deletion"""
1040,1041.0,YCR017C,CWH43,Verified ORF,CWH43,"""GPI lipid remodelase; responsible for introducing ceramides into GPI anchors having a C26:0 fatty acid in sn-2 of the glycerol moiety; can also use lyso-GPI protein anchors and various base resistant lipids as substrates; contains 14-16 transmembrane segments and several putative glycosylation and phosphorylation sites; null mutation is synthetically lethal with pkc1 deletion"""
1041,1042.0,YCR017C_NFR/NDR,,Promoter,CWH43,"""GPI lipid remodelase; responsible for introducing ceramides into GPI anchors having a C26:0 fatty acid in sn-2 of the glycerol moiety; can also use lyso-GPI protein anchors and various base resistant lipids as substrates; contains 14-16 transmembrane segments and several putative glycosylation and phosphorylation sites; null mutation is synthetically lethal with pkc1 deletion"""
1042,1043.0,XUT_3F-65,,XUT,,
1043,1044.0,XUT_3F-65,,XUT,,
1044,1045.0,XUT_3F-65,,XUT,,
1045,1046.0,YCR018C,SRD1,Verified ORF,SRD1,"""Protein involved in the processing of pre-rRNA to mature rRNA; contains a C2/C2 zinc finger motif; srd1 mutation suppresses defects caused by the rrp1-1 mutation"""
1046,1047.0,YCR018C,SRD1,Close to 3'-UTR,SRD1,"""Protein involved in the processing of pre-rRNA to mature rRNA; contains a C2/C2 zinc finger motif; srd1 mutation suppresses defects caused by the rrp1-1 mutation"""
1047,1048.0,YCRCtau1,YCRCtau1,LTR,,
1048,1049.0,YCR018C-A,YCR018C-A,Close to 3'-UTR,YCR018C-A,"""Putative protein of unknown function; encoded opposite a Ty1 LTR"""
1049,1050.0,YCR018C-A,YCR018C-A,Close to 3'-UTR,YCR018C-A,"""Putative protein of unknown function; encoded opposite a Ty1 LTR"""
1050,1056.0,YCR018C-A,YCR018C-A,Close to 3'-UTR,YCR018C-A,"""Putative protein of unknown function; encoded opposite a Ty1 LTR"""
1051,1057.0,YCR018C-A,YCR018C-A,Close to 3'-UTR,YCR018C-A,"""Putative protein of unknown function; encoded opposite a Ty1 LTR"""
1052,1051.0,YCRWdelta10,YCRWdelta10,LTR,,
1053,1052.0,YCRWdelta10,YCRWdelta10,LTR,,
1054,1053.0,YCRWdelta10,YCRWdelta10,LTR,,
1055,1054.0,YCRWdelta10,YCRWdelta10,LTR,,
1056,1055.0,YCRWdelta10,YCRWdelta10,LTR,,
1057,1058.0,YCR019W,MAK32,Close to 3'-UTR,MAK32,"""Protein necessary for stability of L-A dsRNA-containing particles"""
1058,1059.0,YCR021C,HSP30,Verified ORF,HSP30,"""Negative regulator of the H(+)-ATPase Pma1p; stress-responsive protein; hydrophobic plasma membrane localized; induced by heat shock ; ethanol treatment ; weak organic acid ; glucose limitation ; and entry into stationary phase"""
1059,1060.0,SUT032,,SUT,,
1060,1061.0,YCR025C,YCR025C,Uncharacterized ORF,YCR025C,"""Putative protein of unknown function; conserved across S. cerevisiae strains; YCR025C is not an essential gene"""
1061,1062.0,YCR026C,NPP1,Verified ORF,NPP1,"""Nucleotide pyrophosphatase/phosphodiesterase; mediates extracellular nucleotide phosphate hydrolysis along with Npp2p and Pho5p; activity and expression enhanced during conditions of phosphate starvation; involved in spore wall assembly; NPP1 has a paralog ; NPP2 ; that arose from the whole genome duplication ; and an npp1 npp2 double mutant exhibits reduced dityrosine fluorescence relative to the single mutants"""
1062,1063.0,YCR026C,NPP1,Verified ORF,NPP1,"""Nucleotide pyrophosphatase/phosphodiesterase; mediates extracellular nucleotide phosphate hydrolysis along with Npp2p and Pho5p; activity and expression enhanced during conditions of phosphate starvation; involved in spore wall assembly; NPP1 has a paralog ; NPP2 ; that arose from the whole genome duplication ; and an npp1 npp2 double mutant exhibits reduced dityrosine fluorescence relative to the single mutants"""
1063,1064.0,YCR026C_NFR/NDR,,Promoter,NPP1,"""Nucleotide pyrophosphatase/phosphodiesterase; mediates extracellular nucleotide phosphate hydrolysis along with Npp2p and Pho5p; activity and expression enhanced during conditions of phosphate starvation; involved in spore wall assembly; NPP1 has a paralog ; NPP2 ; that arose from the whole genome duplication ; and an npp1 npp2 double mutant exhibits reduced dityrosine fluorescence relative to the single mutants"""
1064,1065.0,ARS310,ARS310,Replication,,
1065,1066.0,YCR027C,RHB1,Close to 3'-UTR,RHB1,"""Putative Rheb-related GTPase; involved in regulating canavanine resistance and arginine uptake; member of the Ras superfamily of G-proteins"""
1066,1067.0,YCR028C,FEN2,Close to 3'-UTR,FEN2,"""Plasma membrane H+-pantothenate symporter; confers sensitivity to the antifungal agent fenpropimorph; relocalizes from vacuole to cytoplasm upon DNA replication stress"""
1067,1068.0,snR65_NFR/NDR,,Promoter,,
1068,1069.0,YCR030C,SYP1,Close to 3'-UTR,SYP1,"""Negative regulator of WASP-Arp23 complex; involved in endocytic site formation; directly inhibits Las17p stimulation of Arp23 complex-mediated actin assembly in vitro; may regulate assembly and disassembly of the septin ring; colocalizes and interacts with septin subunits; potential role in actin cytoskeletal organization"""
1069,1070.0,CUT048_NFR/NDR,,Promoter,,
1070,1071.0,YCR032W,BPH1,Verified ORF,BPH1,"""Protein homologous to Chediak-Higashi syndrome and Beige proteins; both of which are implicated in disease syndromes in human and mouse ; respectively ; due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting"""
1071,1072.0,YCR032W,BPH1,Verified ORF,BPH1,"""Protein homologous to Chediak-Higashi syndrome and Beige proteins; both of which are implicated in disease syndromes in human and mouse ; respectively ; due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting"""
1072,1073.0,YCR033W,SNT1,Verified ORF,SNT1,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia"""
1073,1074.0,YCR033W,SNT1,Verified ORF,SNT1,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia"""
1074,1075.0,YCR033W,SNT1,Verified ORF,SNT1,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia"""
1075,1076.0,YCR033W,SNT1,Verified ORF,SNT1,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia"""
1076,1077.0,YCR033W,SNT1,Verified ORF,SNT1,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia"""
1077,1078.0,YCR033W,SNT1,Verified ORF,SNT1,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia"""
1078,1079.0,YCR033W,SNT1,Verified ORF,SNT1,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia"""
1079,1080.0,YCR033W,SNT1,Verified ORF,SNT1,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia"""
1080,1081.0,YCR033W,SNT1,Verified ORF,SNT1,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia"""
1081,1082.0,YCR033W,SNT1,Verified ORF,SNT1,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia"""
1082,1083.0,YCR034W,ELO2,Verified ORF,ELO2,"""Fatty acid elongase ; involved in sphingolipid biosynthesis; acts on fatty acids of up to 24 carbons in length; mutations have regulatory effects on 1,3-beta-glucan synthase ; vacuolar ATPase ; and the secretory pathway; ELO2 has a paralog ; ELO1 ; that arose from the whole genome duplication; lethality of the elo2 elo3 double null mutation is functionally complemented by human ELOVL1 and weakly complemented by human ELOVL3 or ELOV7"""
1083,1084.0,YCR037C,PHO87,Verified ORF,PHO87,"""Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog ; PHO90 ; that arose from the whole genome duplication"""
1084,1085.0,YCR037C,PHO87,Verified ORF,PHO87,"""Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog ; PHO90 ; that arose from the whole genome duplication"""
1085,1086.0,YCR037C,PHO87,Verified ORF,PHO87,"""Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog ; PHO90 ; that arose from the whole genome duplication"""
1086,1087.0,YCR037C,PHO87,Verified ORF,PHO87,"""Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog ; PHO90 ; that arose from the whole genome duplication"""
1087,1088.0,YCR037C_NFR/NDR,,Promoter,PHO87,"""Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog ; PHO90 ; that arose from the whole genome duplication"""
1088,1089.0,YCR038C,BUD5,Verified ORF,BUD5,"""GTP/GDP exchange factor for Rsr1p (Bud1p); required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types"""
1089,1090.0,YCR038C,BUD5,Verified ORF,BUD5,"""GTP/GDP exchange factor for Rsr1p (Bud1p); required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types"""
1090,1091.0,YCR038C,BUD5,Verified ORF,BUD5,"""GTP/GDP exchange factor for Rsr1p (Bud1p); required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types"""
1091,1092.0,YCR038C,BUD5,Verified ORF,BUD5,"""GTP/GDP exchange factor for Rsr1p (Bud1p); required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types"""
1092,1093.0,YCR038C,BUD5,Verified ORF,BUD5,"""GTP/GDP exchange factor for Rsr1p (Bud1p); required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types"""
